#http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=C 	聲韻 	聲調 	字元 	字數
327 	tʰei 	去聲35 	蛻, 退		2
328 	tʰau 	陰平55 	濤, 韜, 滔, 掏, 燾		5
329 	tʰau 	陽平213 	陶, 淘, 桃, 萄, 逃		5
330 	tʰau 	上聲42 	討		1
331 	tʰau 	去聲35 	套		1
332 	tʰiau 	陰平55 	挑		1
333 	tʰiau 	陽平213 	調, 迢, 條		3
334 	tʰiau 	去聲35 	跳, 眺, 糶		3
335 	tʰəu 	陰平55 	偷		1
336 	tʰəu 	陽平213 	禿, 荼, 投, 頭, 途, 塗, 屠, 徒, 圖		9
337 	tʰəu 	上聲42 	吐, 土		2
338 	tʰəu 	去聲35 	透, 吐, 兔		3
339 	tʰan 	陰平55 	坍, 攤, 灘, 貪		4
340 	tʰan 	陽平213 	壇, 談, 彈, 曇, 檀, 梱, 譚, 團, 痰, 糰, 潭		11
341 	tʰan 	上聲42 	毯, 袒, 坦		3
342 	tʰan 	去聲35 	探, 炭, 嘆, 碳		4
343 	tʰiɛn 	陰平55 	添, 天		2
344 	tʰiɛn 	陽平213 	甜, 塡, 田		3
345 	tʰiɛn 	上聲42 	舔, 腆, 忝		3
346 	tʰiɛn 	去聲35 	掭		1
347 	tʰən 	陰平55 	吞		1
348 	tʰən 	陽平213 	騰, 謄, 藤, 屯, 囤, 疼, 豚, 臀, 飩		9
349 	tʰin 	陰平55 	廳, 汀, 聽		3
350 	tʰin 	陽平213 	亭, 庭, 停, 婷, 艇, 霆, 廷		7
351 	tʰin 	上聲42 	挺		1
352 	tʰin 	去聲35 	聽		1
353 	tʰaŋ 	陰平55 	湯		1
354 	tʰaŋ 	陽平213 	唐, 螳, 棠, 糖, 塘, 堂		6
355 	tʰaŋ 	上聲42 	淌, 倘, 躺		3
356 	tʰaŋ 	去聲35 	趟, 燙		2
357 	tʰoŋ 	陰平55 	通		1
358 	tʰoŋ 	陽平213 	筒, 童, 瞳, 桐, 彤, 同, 銅		7
359 	tʰoŋ 	上聲42 	捅, 統, 桶		3
360 	tʰoŋ 	去聲35 	痛		1
361 	na 	陰平55 	垃, 啦, 拉		3
362 	na 	陽平213 	納, 鑞, 捺, 辣, 邋, 拿, 瘌, 呐, 蠟, 臘		10
363 	na 	上聲42 	哪, 喇		2
364 	na 	去聲35 	那		1
365 	nia 	上聲42 	您		1
366 	nio 	陽平213 	虐, 略, 掠		3
367 	nuo 	陰平55 	囉		1
368 	nuo 	陽平213 	籮, 羅, 樂, 腡, 騾, 螺, 挪, 鑼, 絡, 落, 駱, 烙, 洛, 酪		14
369 	nuo 	上聲42 	裸		1
370 	nuo 	去聲35 	諾, 糯, 摞		3
371 	nɤ 	陰平55 	捋		1
372 	nɤ 	陽平213 	肋, 勒, 熱		3
373 	nɤ 	上聲42 	惹		1
374 	nie 	陽平213 	劣, 捏, 聶, 裂, 列, 鑷, 烈		7
