"繁体"	"简体"	"IPA"	"注释"	"来源"		"#符號說明："	"音標後的“-”表示文讀；“=”表示讀書音，口語中不用；“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"頑"	"顽"	"ɦuɛ2"		"墳派"			
"澴"	"澴"	"ɦuɛ2"		"墳派"			
"逭"	"逭"	"ɦuɛ4"		"墳派"			
"綰"	"绾"	"ɦuɛ4"	"~一个結"	"墳派"			
"娩"	"娩"	"ɦuɛ4"		"墳派"			
"挽"	"挽"	"ɦuɛ4"	"~留"	"墳派"			
"睅"	"睅"	"ɦuɛ4"		"墳派"			
"涴"	"涴"	"ɦuɛ4"		"墳派"			
"幻"	"幻"	"ɦuɛ6"	"變~"	"墳派"			
"患"	"患"	"ɦuɛ6"	"後~"	"墳派"			
"宦"	"宦"	"ɦuɛ6"		"墳派"			
"豢"	"豢"	"ɦuɛ6"		"墳派"			
"漶"	"漶"	"ɦuɛ6"		"墳派"			
"彎"	"弯"	"uɛ1"		"墳派"			
"灣"	"湾"	"uɛ1"		"墳派"			
"擐"	"擐"	"uɛ1"		"墳派"			
"劃"	"劃"	"ɦuɑʔ8"	"~一不二"	"墳派"			
"畫"	"畫"	"ɦuɑʔ8"	"一點一~"	"墳派"			
"划"	"划"	"ɦuo2"	"~船"	"墳派"			
"華"	"华"	"ɦuo2"		"墳派"			
"驊"	"骅"	"ɦuo2"		"墳派"			
"話"	"话"	"ɦuo6"		"墳派"			
"畫"	"画"	"ɦuo6"	"~圖"	"墳派"			
"山"	"山"	"ɦuo6"		"墳派"			
"鑊"	"镬"	"ɦuoʔ8"		"墳派"			
"埃"	"埃"	"iᴇ1="		"墳派"			
"野"	"野"	"ɦiᴇ4"		"墳派"			
"眼"	"眼"	"ɦiᴇ4"		"墳派"			
"獬"	"獬"	"ɦiᴇ6="		"墳派"			
"炎"	"炎"	"ɦiɛ2"		"墳派"			
"焉"	"焉"	"ɦiɛ2"		"墳派"			
"銜"	"衔"	"ɦiɛ2"		"墳派"			
"嫻"	"娴"	"ɦiɛ2"		"墳派"			
"鷼"	"鷼"	"ɦiɛ2"		"墳派"			
"延"	"延"	"ɦiɛ2"		"墳派"			
"言"	"言"	"ɦiɛ2"		"墳派"			
"賢"	"贤"	"ɦiɛ2"		"墳派"			
"舷"	"舷"	"ɦiɛ2"		"墳派"			
"筵"	"筵"	"ɦiɛ2"		"墳派"			
"埏"	"埏"	"ɦiɛ2"		"墳派"			
"綖"	"綖"	"ɦiɛ2"		"墳派"			
"賢"	"贤"	"ɦiɛ2"		"墳派"			
"顏"	"颜"	"ɦiɛ2"	"姓"	"墳派"			
"諴"	"諴"	"ɦiɛ2"		"墳派"			
"沿"	"沿"	"ɦiɛ2"		"墳派"			
"鹽"	"盐"	"ɦiɛ2"	"~棧"	"墳派"			
"湮"	"湮"	"ɦiɛ2"		"墳派"			
"蜒"	"蜒"	"ɦiɛ2"	"~蚰"	"墳派"			
"嫌"	"嫌"	"ɦiɛ2"	"~疑"	"墳派"			
"伣"	"伣"	"ɦiɛ4"		"墳派"			
"限"	"限"	"ɦiɛ4-"		"墳派"			
"伣"	"伣"	"ɦiɛ6"		"墳派"			
"現"	"现"	"ɦiɛ6"		"墳派"			
"焰"	"焰"	"ɦiɛ6"		"墳派"			
"陷"	"陷"	"ɦiɛ6"		"墳派"			
"豔"	"艳"	"ɦiɛ6"	"鮮~"	"墳派"			
"械"	"械"	"ɦiɛ6"	"軍~"	"墳派"			
"限"	"限"	"ɦiɛ6-"		"墳派"			
"行"	"行"	"ɦiɪn2"		"墳派"			
"刑"	"刑"	"ɦiɪn2"	"~罰"	"墳派"			
"醜"	"寅"	"ɦiɪn2"		"墳派"			
"淫"	"淫"	"ɦiɪn2"		"墳派"			
"營"	"营"	"ɦiɪn2"		"墳派"			
"盈"	"盈"	"ɦiɪn2"		"墳派"			
"幸"	"幸"	"ɦiɪn6"		"墳派"			
"旺"	"旺"	"ɦyɑ̃6"		"墳派"			
"芸"	"芸"	"ɦyən2"		"墳派"			
"勻"	"匀"	"ɦyən2"		"墳派"			
"紜"	"纭"	"ɦyən2"		"墳派"			
"沄"	"沄"	"ɦyən2"		"墳派"			
"耘"	"耘"	"ɦyən2"		"墳派"			
"妘"	"妘"	"ɦyən2"		"墳派"			
"筼"	"筼"	"ɦyən2"		"墳派"			
"畇"	"畇"	"ɦyən2"		"墳派"			
"筠"	"筠"	"ɦyən2"		"墳派"			
"縜"	"縜"	"ɦyən2"		"墳派"			
"惲"	"恽"	"ɦyən4"		"墳派"			
"允"	"允"	"ɦyən4="		"墳派"			
"吮"	"吮"	"ɦyən4="		"墳派"			
"運"	"运"	"ɦyən6"		"墳派"			
"暈"	"晕"	"ɦyən6"		"墳派"			
"鄆"	"郓"	"ɦyən6"		"墳派"			
"韻"	"韵"	"ɦyən6"		"墳派"			
"孕"	"孕"	"ɦyən6"		"墳派"			
"孕"	"孕"	"yən5"	"身~。聲調類推"	"蘇州同音常用字彙"			
"熨"	"熨"	"ɦyən6"		"墳派"			
"惲"	"恽"	"ɦyən6"		"墳派"			
"下"	"下"	"ɦio4="		"墳派"			
"夏"	"夏"	"ɦio6="		"墳派"			
"廈"	"厦"	"ɦio6="		"墳派"			
"瓜"	"瓜"	"kuo1"		"墳派"			
"寡"	"寡"	"kuo3"	"~居"	"墳派"			
"卦"	"卦"	"kuo5"	"變仔~哉"	"墳派"			
"絓"	"絓"	"kuo5"		"墳派"			
"詿"	"诖"	"kuo5"		"墳派"			
"罫"	"罫"	"kuo5"		"墳派"			
"褂"	"褂"	"kuo5"	"馬~"	"墳派"			
"姱"	"姱"	"kʰuo1"		"墳派"			
"跨"	"跨"	"kʰuo5"		"墳派"			
"胯"	"胯"	"kʰuo5"	"~下"	"墳派"			
"娃"	"娃"	"uo1"		"墳派"			
"哇"	"哇"	"uo1"		"墳派"			
"鮭"	"鲑"	"uo1"		"墳派"			
"媧"	"娲"	"uo1"		"墳派"			
"蝸"	"蜗"	"uo1"		"墳派"			
"撾"	"挝"	"uo1"		"墳派"			
"騧"	"騧"	"uo1"		"墳派"			
"搲"	"搲"	"uo1"	"~碎个"	"墳派"			
"椏"	"桠"	"uo1"	"～杈，用來擱置晾衣竹竿的椏"	"墳派"			
"惡"	"恶"	"uoʔ7"		"墳派"			
"堊"	"垩"	"uoʔ7"		"墳派"			
"沃"	"沃"	"uoʔ7"	"~土"	"墳派"			
"縕"	"缊"	"yən1"		"墳派"			
"氳"	"氲"	"yən1"		"墳派"			
"允"	"允"	"yən3"	"應~"	"墳派"			
"狁"	"狁"	"yən3"		"墳派"			
"隕"	"陨"	"yən3"		"墳派"			
"殞"	"殒"	"yən3"		"墳派"			
"胤"	"胤"	"yən3"		"墳派"			
"慍"	"愠"	"yən5"		"墳派"			
"蘊"	"蕴"	"yən5"	"~蓄"	"墳派"			
"蕰"	"蕰"	"yən5"		"墳派"			
"醞"	"酝"	"yən5"		"墳派"			
"孕"	"孕"	"yən5"		"墳派"			
"媵"	"媵"	"yən5"		"墳派"			
"隕"	"陨"	"yən5"		"墳派"			
"殞"	"殒"	"yən5"		"墳派"			
"韞"	"韫"	"yən5"		"墳派"			
"欃"	"欃"	"zɛ2"		"墳派"			
"毚"	"毚"	"zɛ2"		"墳派"			
"鑱"	"镵"	"zɛ2"		"墳派"			
"巉"	"巉"	"zɛ2"		"墳派"			
"瀺"	"瀺"	"zɛ2"	"~唾"	"墳派"			
"孱"	"孱"	"zɛ2"	"~弱"	"墳派"			
"潺"	"潺"	"zɛ2"	"水聲~~"	"墳派"			
"慙"	"慙"	"zɛ2"		"墳派"			
"慚"	"惭"	"zɛ2"		"墳派"			
"殘"	"残"	"zɛ2"		"墳派"			
"饌"	"馔"	"zɛ4"		"墳派"			
"譔"	"譔"	"zɛ4"		"墳派"			
"棧"	"栈"	"zɛ4"		"墳派"			
"暫"	"暂"	"zɛ6"		"墳派"			
"塹"	"堑"	"zɛ6"		"墳派"			
"綻"	"绽"	"zɛ6"	"蠶豆結得~得勒"	"墳派"			
"饌"	"馔"	"zɛ6"		"墳派"			
"篡"	"篡"	"zɛ6"		"墳派"			
"鏨"	"錾"	"zɛ6"		"墳派"			
"槧"	"椠"	"zɛ6"		"墳派"			
"儳"	"儳"	"zɛ6"		"墳派"			
"灒"	"灒"	"zɛ6"	"~得一身个泥"	"墳派"			
"撏"	"挦"	"ziɛ2"	"~~毛，剝剝皮"	"墳派"			
"䕭"	"䕭"	"ziɛ2"		"墳派"			
"燂"	"燂"	"ziɛ2"		"墳派"			
"踐"	"践"	"ziɛ4"	"~踏"	"墳派"			
"賤"	"贱"	"ziɛ6"	"貧~"	"墳派"			
"羨"	"羡"	"ziɛ6"		"墳派"			
"踐"	"践"	"ziɛ6"		"墳派"			
"俴"	"俴"	"ziɛ6"		"墳派"			
"㣼"	"忍"	"ȵiən4"		"墳派"			
"㨵"	"揃"	"tsiɛ3"		"墳派"			
"䭾"	"驮"	"dᵊu2"		"墳派"			
"並"	"并"	"biɪn6"		"墳派"			
"併"	"并"	"piɪn5"		"墳派"			
"并"	"并"	"piɪn1"	"~州。亦同“併”"	"蘇州同音常用字彙"			
"個"	"个"	"kᵊu5"		"墳派"			
"倮"	"裸"	"lᵊu4"		"墳派"			
"傎"	"颠"	"tiɛ1"		"墳派"			
"僊"	"仙"	"siɛ1"		"墳派"			
"僎"	"撰"	"zɛ4"		"墳派"			
"僱"	"雇"	"kᵊu5"		"墳派"			
"勉"	"勉"	"miɛ4"		"墳派"			
"勔"	"勉"	"miɛ6"		"墳派"			
"卄"	"廿"	"ȵiɛ6"		"墳派"			
"叢"	"从"	"dzoŋ2"		"墳派"			
"咊"	"和"	"ɦᵊu2"		"墳派"			
"唸"	"念"	"ȵiɛ6"		"墳派"			
"嘆"	"叹"	"tʰɛ5"		"墳派"			
"嘑"	"呼"	"hᵊu1"		"墳派"			
"嚥"	"咽"	"iɛ5"		"墳派"			
"嚵"	"馋"	"dzɛ2"		"墳派"			
"囌"	"苏"	"sᵊu1"	"噜噜~~"	"墳派"			
"囏"	"艰"	"tɕiɛ1"		"墳派"			
"塐"	"塑"	"sᵊu5"		"墳派"			
"塗"	"涂"	"dᵊu2"		"墳派"			
"夥"	"伙"	"hᵊu3"	"~計"	"墳派"			
"妬"	"妒"	"tᵊu5"	"~忌"	"墳派"			
"姦"	"奸"	"kɛ1"		"墳派"			
"姦"	"奸"	"tɕiɛ1"		"墳派"			
"尟"	"鲜"	"siɛ3"	"少"	"墳派"			
"崋"	"华"	"ɦuo6"	"~山"	"墳派"			
"從"	"从"	"dzoŋ2"		"墳派"			
"悮"	"误"	"ŋᵊu6"		"墳派"			
"慇"	"殷"	"iən1"		"墳派"			
"懃"	"勤"	"dʑiən2"		"墳派"			
"扡"	"拖"	"tʰᵊu1"		"墳派"			
"拕"	"拖"	"tʰᵊu1"		"墳派"			
"挱"	"挲"	"sᵊu1"		"墳派"			
"掛"	"挂"	"kuo5"		"墳派"			
"揿"	"搇"	"tɕʰiən5"	"~牢俚"	"墳派"			
"擔"	"担"	"tɛ1"		"墳派"			
"擔"	"担"	"tɛ3"		"墳派"			
"擔"	"担"	"tɛ3"		"墳派"			
"擥"	"揽"	"lɛ4"		"墳派"			
"攟"	"捃"	"dʑyən4"		"墳派"			
"攽"	"颁"	"pɛ1"	"~發"	"墳派"			
"斒"	"斑"	"pɛ1"		"墳派"			
"旛"	"幡"	"fɛ1"		"墳派"			
"旤"	"祸"	"ɦᵊu4"		"墳派"			
"杇"	"圬"	"ᵊu1"		"墳派"			
"槨"	"椁"	"kuoʔ7"	"棺~"	"墳派"			
"歎"	"叹"	"tʰɛ5"		"墳派"			
"汙"	"污"	"ᵊu1"		"墳派"			
"泝"	"溯"	"sᵊu5"		"墳派"			
"洊"	"荐"	"tsiɛ5"		"墳派"			
"淨"	"净"	"dziɪn6"	"乾~"	"墳派"			
"滷"	"卤"	"lᵊu4"	"咸菜~"	"墳派"			
"瀐"	"瀸"	"tsiɛ1"		"墳派"			
"灎"	"滟"	"ɦiɛ6"		"墳派"			
"煙"	"烟"	"iɛ1"		"墳派"			
"燅"	"燖"	"ziɛ2"		"墳派"			
"燻"	"熏"	"ɕyən1"	"~魚"	"墳派"			
"爓"	"燖"	"ziɛ2"		"墳派"			
"牁"	"柯"	"kʰᵊu1"		"墳派"			
"牋"	"笺"	"tsiɛ1"		"墳派"			
"琖"	"盏"	"tsɛ3"		"墳派"			
"璿"	"璇"	"ziɛ2"		"墳派"			
"甦"	"苏"	"sᵊu1"		"墳派"			
"疎"	"疏"	"sᵊu1"		"墳派"			
"礬"	"矾"	"vɛ2"		"墳派"			
"秈"	"籼"	"siɛ1"	"~米"	"墳派"			
"穫"	"获"	"ɦuoʔ8"	"收~"	"墳派"			
"窪"	"洼"	"uo1"	"低~个場化"	"墳派"			
"竝"	"并"	"biɪn6"		"墳派"			
"笵"	"范"	"vɛ4"		"墳派"			
"箝"	"钳"	"dʑiɛ2"		"墳派"			
"範"	"范"	"vɛ4"	"模~"	"墳派"			
"簑"	"蓑"	"sᵊu1"		"墳派"			
"簷"	"檐"	"ɦiɛ2"		"墳派"			
"簾"	"帘"	"liɛ2"	"蘆~"	"墳派"			
"籖"	"签"	"tsʰiɛ1"		"墳派"			
"籢"	"奁"	"liɛ2"		"墳派"			
"籤"	"签"	"tsʰiɛ1"		"墳派"			
"絃"	"弦"	"ɦiɛ2"	"~線"	"墳派"			
"綫"	"线"	"siɛ5"		"墳派"			
"線"	"线"	"siɛ5"		"墳派"			
"緜"	"绵"	"miɛ2"		"墳派"			
"縴"	"纤"	"tɕʰiɛ5"	"揹~"	"墳派"			
"繖"	"伞"	"sɛ3"		"墳派"			
"纖"	"纤"	"siɛ1"		"墳派"			
"罣"	"挂"	"kuo5"		"墳派"			
"羣"	"群"	"dʑyən2"		"墳派"			
"翦"	"剪"	"tsiɛ3"		"墳派"			
"聽"	"听"	"tʰiɪn1"		"墳派"			
"脧"	"朘"	"tsiɛ1"		"墳派"			
"膽"	"胆"	"tɛ3"		"墳派"			
"臌"	"鼓"	"kᵊu3"		"墳派"			
"臟"	"脏"	"dzɑ̃2"		"墳派"			
"菓"	"果"	"kᵊu3"		"墳派"			
"菸"	"烟"	"iɛ1"		"墳派"			
"蒨"	"茜"	"tsʰiɛ5"		"墳派"			
"裠"	"裙"	"dʑyən2"		"墳派"			
"覩"	"睹"	"tᵊu3"	"親眼目~"	"墳派"			
"觕"	"粗"	"tsʰᵊu1"		"墳派"			
"誇"	"夸"	"kʰuo1"		"墳派"			
"譁"	"哗"	"huo1"	"喧~"	"墳派"			
"譌"	"讹"	"ŋᵊu2"		"墳派"			
"讃"	"赞"	"tsɛ5"		"墳派"			
"讌"	"宴"	"iɛ5"		"墳派"			
"贊"	"赞"	"tsɛ5"	"稱~"	"墳派"			
"踈"	"疏"	"sᵊu1"		"墳派"			
"躭"	"耽"	"tɛ1"	"~擱"	"墳派"			
"醃"	"腌"	"iɛ1"		"墳派"			
"醆"	"盏"	"tsɛ3"		"墳派"			
"醼"	"宴"	"iɛ5"		"墳派"			
"鑑"	"鉴"	"kɛ5"		"墳派"			
"鑑"	"鉴"	"tɕiɛ5"		"墳派"			
"鑒"	"鉴"	"tɕiɛ5"		"墳派"			
"镟"	"旋"	"ziɛ6"		"墳派"			
"镮"	"环"	"ɡuɛ2"		"墳派"			
"閑"	"闲"	"ɦɛ2"		"墳派"			
"閑"	"闲"	"ɦiɛ2"		"墳派"			
"閒"	"闲"	"ɦɛ2"	"~空"	"墳派"			
"閒"	"闲"	"ɦiɛ2"	"~空"	"墳派"			
"闗"	"关"	"kuɛ1"		"墳派"			
"關"	"关"	"kuɛ1"	"姓"	"墳派"			
"阪"	"坂"	"pɛ3"		"墳派"			
"雲"	"云"	"ɦyən2"		"墳派"			
"韆"	"千"	"tsʰiɛ1"		"墳派"			
"餬"	"糊"	"ɦᵊu2"		"墳派"			
"饞"	"谗"	"zɛ2"		"墳派"			
"騐"	"验"	"ȵiɛ6"		"墳派"			
"鱻"	"鲜"	"siɛ3"		"墳派"			
"鴈"	"雁"	"iɛ5-"		"墳派"			
"鵞"	"鹅"	"ŋᵊu2"		"墳派"			
"鹹"	"咸"	"ɦiɛ2"		"墳派"			
"麕"	"麇"	"tɕyən1"		"墳派"			
"麤"	"粗"	"tsʰᵊu1"		"墳派"			
"面"	"面"	"miɛ6"	"~孔"	"墳派"			
"麵"	"面"	"miɛ6"	"肉~"	"墳派"			
"麪"	"面"	"miɛ6"	"肉~"	"墳派"			
"鼃"	"蛙"	"uo1"		"墳派"			
"𠑘"	"颠"	"tiɛ1"		"墳派"			
"𡍩"	"坼"	"sᵊu5"		"墳派"			
"𡹮"	"崦"	"iɛ1"		"墳派"			
"𡹮"	"崦"	"iɛ3"		"墳派"			
"𥑻"	"珗"	"siɛ1"		"墳派"			
"𥛜"	"诅"	"tsᵊu3"		"墳派"			
"真"	"真"	"tʂən1"	"~假"	"翹舌"			
"甄"	"甄"	"tʂən1"		"翹舌"			
"禛"	"禛"	"tʂən1"		"翹舌"			
"籈"	"籈"	"tʂən1"		"翹舌"			
"瞋"	"瞋"	"tʂən1"		"翹舌"			
"貞"	"贞"	"tʂən1"		"翹舌"			
"楨"	"桢"	"tʂən1"		"翹舌"			
"偵"	"侦"	"tʂən1"		"翹舌"			
"禛"	"禛"	"tʂən1"		"翹舌"			
"肫"	"肫"	"tʂən1"		"翹舌"			
"屯"	"屯"	"tʂən1"		"翹舌"			
"杶"	"杶"	"tʂən1"		"翹舌"			
"窀"	"窀"	"tʂən1"		"翹舌"			
"諄"	"谆"	"tʂən1"		"翹舌"			
"斟"	"斟"	"tʂən1"		"翹舌"			
"針"	"针"	"tʂən1"	"~線"	"翹舌"			
"砧"	"砧"	"tʂən1"	"~墩板"	"翹舌"			
"烝"	"烝"	"tʂən1"		"翹舌"			
"蒸"	"蒸"	"tʂən1"	"~籠"	"翹舌"			
"怔"	"怔"	"tʂən1"		"翹舌"			
"鉦"	"钲"	"tʂən1"		"翹舌"			
"珍"	"珍"	"tʂən1"	"~貴"	"翹舌"			
"整"	"整"	"tʂən3"	"~齊"	"翹舌"			
"枕"	"枕"	"tʂən3"		"翹舌"			
"軫"	"轸"	"tʂən3"		"翹舌"			
"紾"	"紾"	"tʂən3"		"翹舌"			
"袗"	"袗"	"tʂən3"		"翹舌"			
"診"	"诊"	"tʂən3"		"翹舌"			
"胗"	"胗"	"tʂən3"		"翹舌"			
"疹"	"疹"	"tʂən3"	"出~子"	"翹舌"			
"眕"	"眕"	"tʂən3"		"翹舌"			
"稹"	"稹"	"tʂən3"		"翹舌"			
"縝"	"缜"	"tʂən3"		"翹舌"			
"鬒"	"鬒"	"tʂən3"		"翹舌"			
"晸"	"晸"	"tʂən3"		"翹舌"			
"正"	"正"	"tʂən5"		"翹舌"			
"政"	"政"	"tʂən5"	"~治"	"翹舌"			
"振"	"振"	"tʂən5"	"~作"	"翹舌"			
"震"	"震"	"tʂən5"		"翹舌"			
"賑"	"赈"	"tʂən5"	"急~"	"翹舌"			
"鎮"	"镇"	"tʂən5"		"翹舌"			
"挋"	"挋"	"tʂən5"		"翹舌"			
"證"	"证"	"tʂən5"	"~書"	"翹舌"			
"㡧"	"㡧"	"tʂən5"		"翹舌"			
"幀"	"帧"	"tʂən5"		"翹舌"			
"春"	"春"	"tʂʰən1"		"翹舌"			
"椿"	"椿"	"tʂʰən1"	"香~頭"	"翹舌"			
"杶"	"杶"	"tʂʰən1"		"翹舌"			
"偁"	"偁"	"tʂʰən1"		"翹舌"			
"赬"	"赪"	"tʂʰən1"		"翹舌"			
"蟶"	"蛏"	"tʂʰən1"		"翹舌"			
"偵"	"侦"	"tʂʰən1"		"鄉音字類"			
"偵"	"侦"	"tʂən1"		"蘇州同音常用字彙"			
"檉"	"柽"	"tʂʰən1"		"翹舌"			
"竀"	"竀"	"tʂʰən1"		"翹舌"			
"瞫"	"瞫"	"tʂʰən1"		"翹舌"			
"稱"	"称"	"tʂʰən1"		"翹舌"			
"蠢"	"蠢"	"tʂʰən3"	"粗~"	"翹舌"			
"惷"	"惷"	"tʂʰən3"		"翹舌"			
"逞"	"逞"	"tʂʰən5"	"~意"	"翹舌"			
"趁"	"趁"	"tʂʰən5"	"~船"	"翹舌"			
"疢"	"疢"	"tʂʰən5"		"翹舌"			
"騁"	"骋"	"tʂʰən5"		"翹舌"			
"稱"	"称"	"tʂʰən5"		"翹舌"			
"秤"	"秤"	"tʂʰən5"	"大~"	"翹舌"			
"聲"	"声"	"ʂən1"		"翹舌"			
"深"	"深"	"ʂən1"		"翹舌"			
"身"	"身"	"ʂən1"		"翹舌"			
"娠"	"娠"	"ʂən1"		"翹舌"			
"未"	"申"	"ʂən1"	"姓"	"翹舌"			
"呻"	"呻"	"ʂən1"		"翹舌"			
"紳"	"绅"	"ʂən1"	"鄉~"	"翹舌"			
"伸"	"伸"	"ʂən1"	"~冤"	"翹舌"			
"柛"	"柛"	"ʂən1"		"翹舌"			
"審"	"审"	"ʂən3"	"~問"	"翹舌"			
"嬸"	"婶"	"ʂən3"	"~~"	"翹舌"			
"稔"	"稔"	"ʂən3"		"翹舌"			
"淰"	"淰"	"ʂən3"		"翹舌"			
"諗"	"谂"	"ʂən3"		"翹舌"			
"瞫"	"瞫"	"ʂən3"		"翹舌"			
"瀋"	"渖"	"ʂən3"		"翹舌"			
"哂"	"哂"	"ʂən3"		"翹舌"			
"矧"	"矧"	"ʂən3"		"翹舌"			
"簨"	"簨"	"ʂən3"		"翹舌"			
"𥯗"	"𥯗"	"ʂən3"		"翹舌"			
"沈"	"沈"	"ʂən3"	"姓"	"翹舌"			
"榫"	"榫"	"ʂən3"	"鑲~头"	"翹舌"			
"聖"	"圣"	"ʂən5"		"翹舌"			
"勝"	"胜"	"ʂən5"	"好~"	"翹舌"			
"舜"	"舜"	"ʂən5"		"翹舌"			
"蕣"	"蕣"	"ʂən5"		"翹舌"			
"瞬"	"瞬"	"ʂən5"		"翹舌"			
"眴"	"眴"	"ʂən5"		"翹舌"			
"𥆧"	"𥆧"	"ʂən5"		"翹舌"			
"人"	"人"	"ʐən2"		"翹舌"			
"仁"	"仁"	"ʐən2"		"翹舌"			
"神"	"神"	"ʐən2"		"翹舌"			
"卯"	"辰"	"ʐən2"		"翹舌"			
"晨"	"晨"	"ʐən2"	"朝~"	"翹舌"			
"宸"	"宸"	"ʐən2"		"翹舌"			
"唇"	"唇"	"ʐən2"		"翹舌"			
"漘"	"漘"	"ʐən2"		"翹舌"			
"純"	"纯"	"ʐən2"		"翹舌"			
"紉"	"纫"	"ʐən2"		"翹舌"			
"辛"	"壬"	"ʐən2"		"翹舌"			
"任"	"任"	"ʐən2"		"翹舌"			
"紝"	"纴"	"ʐən2"		"翹舌"			
"鵀"	"鵀"	"ʐən2"		"翹舌"			
"妊"	"妊"	"ʐən2"		"翹舌"			
"衽"	"衽"	"ʐən2"		"翹舌"			
"飪"	"饪"	"ʐən2"		"翹舌"			
"繩"	"绳"	"ʐən2"		"翹舌"			
"澠"	"渑"	"ʐən2"		"翹舌"			
"憴"	"憴"	"ʐən2"		"翹舌"			
"忍"	"忍"	"ʐən4"		"翹舌"			
"荏"	"荏"	"ʐən4"		"翹舌"			
"吮"	"吮"	"ʐən4*"	"辣嘴裏~一~"	"翹舌"			
"腎"	"肾"	"ʐən4*"		"翹舌"			
"葚"	"葚"	"ʐən4*"	"桑~"	"翹舌"			
"閏"	"闰"	"ʐən6"		"翹舌"			
"潤"	"润"	"ʐən6"		"翹舌"			
"慎"	"慎"	"ʐən6"	"謹~小心"	"翹舌"			
"昚"	"昚"	"ʐən6"		"翹舌"			
"蜃"	"蜃"	"ʐən6"		"翹舌"			
"認"	"认"	"ʐən6"		"翹舌"			
"仞"	"仞"	"ʐən6"		"翹舌"			
"訒"	"讱"	"ʐən6"		"翹舌"			
"韌"	"韧"	"ʐən6"		"翹舌"			
"軔"	"轫"	"ʐən6"		"翹舌"			
"刃"	"刃"	"ʐən6"		"翹舌"			
"順"	"顺"	"ʐən6"		"翹舌"			
"甚"	"甚"	"ʐən6"		"翹舌"			
"盛"	"盛"	"ʐən6"	"茂~"	"翹舌"			
"賃"	"赁"	"ʐən6="		"翹舌"			
"成"	"成"	"dʐən2"	"~功"	"翹舌"			
"誠"	"诚"	"dʐən2"	"~實"	"翹舌"			
"城"	"城"	"dʐən2"	"~頭"	"翹舌"			
"宬"	"宬"	"dʐən2"		"翹舌"			
"晟"	"晟"	"dʐən2"		"翹舌"			
"呈"	"呈"	"dʐən2"		"翹舌"			
"程"	"程"	"dʐən2"	"工~"	"翹舌"			
"裎"	"裎"	"dʐən2"		"翹舌"			
"酲"	"酲"	"dʐən2"		"翹舌"			
"仍"	"仍"	"dʐən2"		"翹舌"			
"礽"	"礽"	"dʐən2"		"翹舌"			
"陾"	"陾"	"dʐən2"		"翹舌"			
"乘"	"乘"	"dʐən2"		"翹舌"			
"塍"	"塍"	"dʐən2"		"翹舌"			
"塵"	"尘"	"dʐən2"	"灰~"	"翹舌"			
"陳"	"陈"	"dʐən2"	"姓"	"翹舌"			
"臣"	"臣"	"dʐən2"		"翹舌"			
"諶"	"谌"	"dʐən2"		"翹舌"			
"湛"	"湛"	"dʐən2"		"翹舌"			
"丞"	"丞"	"dʐən2"		"翹舌"			
"承"	"承"	"dʐən2"		"翹舌"			
"懲"	"惩"	"dʐən2"		"翹舌"			
"澂"	"澂"	"dʐən2"		"翹舌"			
"澄"	"澄"	"dʐən2"		"翹舌"			
"沉"	"沉"	"dʐən2*"	"~下去"	"翹舌"			
"朕"	"朕"	"dʐən4"		"翹舌"			
"眹"	"眹"	"dʐən4"		"翹舌"			
"鄭"	"郑"	"dʐən6"	"姓；~重其事"	"翹舌"			
"陣"	"阵"	"dʐən6"	"戰~"	"翹舌"			
"嵊"	"嵊"	"dʐən6"		"翹舌"			
"塍"	"塍"	"dʐən6"		"翹舌"			
"酖"	"酖"	"dʐən6"		"翹舌"			
"剩"	"剩"	"dʐən6*"		"翹舌"			
"霑"	"霑"	"tʂø1"		"翹舌"			
"沾"	"沾"	"tʂø1"		"翹舌"			
"覘"	"覘"	"tʂø1"		"翹舌"			
"苫"	"苫"	"tʂø1"		"翹舌"			
"怗"	"怗"	"tʂø1"		"翹舌"			
"氈"	"毡"	"tʂø1"	"~帽"	"翹舌"			
"氈"	"氈"	"tʂø1"		"翹舌"			
"鸇"	"鹯"	"tʂø1"		"翹舌"			
"饘"	"饘"	"tʂø1"		"翹舌"			
"旃"	"旃"	"tʂø1"		"翹舌"			
"旜"	"旜"	"tʂø1"		"翹舌"			
"專"	"专"	"tʂø1"	"~心致志學會一種本事"	"翹舌"			
"磚"	"砖"	"tʂø1"		"翹舌"			
"顓"	"颛"	"tʂø1"		"翹舌"			
"飦"	"飦"	"tʂø1"		"翹舌"			
"甎"	"甎"	"tʂø1"		"翹舌"			
"詹"	"詹"	"tʂø1"		"翹舌"			
"瞻"	"瞻"	"tʂø1"	"~仰"	"翹舌"			
"贍"	"赡"	"tʂø1"		"蘇州同音常用字彙"			
"鱣"	"鳣"	"tʂø1"		"翹舌"			
"邅"	"邅"	"tʂø1"		"翹舌"			
"展"	"展"	"tʂø3"		"翹舌"			
"輾"	"辗"	"tʂø3"	"~轉"	"翹舌"			
"皽"	"皽"	"tʂø3"		"翹舌"			
"轉"	"转"	"tʂø3"	"團團~"	"翹舌"			
"囀"	"啭"	"tʂø5"		"翹舌"			
"戰"	"战"	"tʂø5"	"~~兢兢"	"翹舌"			
"轉"	"转"	"tʂø5"		"翹舌"			
"襜"	"襜"	"tʂʰø1"		"翹舌"			
