字目	读音	注释	声母	韵母	声调	重复数	潮语拼音	罗马字拼音	(声母)	(声母序)	(韵母序)	(调序)	同音字个数	ID(暂定)	音节序(暂定)	文白区别工程
馱	=D809&E809&F809		tʰ	o	44	=COUNTIF(A:A,A809)	=IF(D809=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D809=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D809=0,"〇",D809)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I809)	3608	=IF(B809=B808,P808,P808+1)	=IF(LEN(C809)-LEN(SUBSTITUTE(C809,"白",""))=1,"白",(IF(LEN(C809)-LEN(SUBSTITUTE(C809,"文",""))=1,"文",(IF(LEN(C809)-LEN(SUBSTITUTE(C809,"训",""))=1,"训","无")))))
迌	=D810&E810&F810	tʰik7-～:玩耍	tʰ	o	44	=COUNTIF(A:A,A810)	=IF(D810=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D810=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D810=0,"〇",D810)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I810)	6353	=IF(B810=B809,P809,P809+1)	=IF(LEN(C810)-LEN(SUBSTITUTE(C810,"白",""))=1,"白",(IF(LEN(C810)-LEN(SUBSTITUTE(C810,"文",""))=1,"文",(IF(LEN(C810)-LEN(SUBSTITUTE(C810,"训",""))=1,"训","无")))))
鸵	=D811&E811&F811		tʰ	o	44	=COUNTIF(A:A,A811)	=IF(D811=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D811=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D811=0,"〇",D811)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I811)	6604	=IF(B811=B810,P810,P810+1)	=IF(LEN(C811)-LEN(SUBSTITUTE(C811,"白",""))=1,"白",(IF(LEN(C811)-LEN(SUBSTITUTE(C811,"文",""))=1,"文",(IF(LEN(C811)-LEN(SUBSTITUTE(C811,"训",""))=1,"训","无")))))
妥	=D812&E812&F812		tʰ	o	53	=COUNTIF(A:A,A812)	=IF(D812=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D812=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D812=0,"〇",D812)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I812)	3602	=IF(B812=B811,P811,P811+1)	=IF(LEN(C812)-LEN(SUBSTITUTE(C812,"白",""))=1,"白",(IF(LEN(C812)-LEN(SUBSTITUTE(C812,"文",""))=1,"文",(IF(LEN(C812)-LEN(SUBSTITUTE(C812,"训",""))=1,"训","无")))))
橢	=D813&E813&F813		tʰ	o	53	=COUNTIF(A:A,A813)	=IF(D813=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D813=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D813=0,"〇",D813)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I813)	3609	=IF(B813=B812,P812,P812+1)	=IF(LEN(C813)-LEN(SUBSTITUTE(C813,"白",""))=1,"白",(IF(LEN(C813)-LEN(SUBSTITUTE(C813,"文",""))=1,"文",(IF(LEN(C813)-LEN(SUBSTITUTE(C813,"训",""))=1,"训","无")))))
討	=D814&E814&F814		tʰ	o	53	=COUNTIF(A:A,A814)	=IF(D814=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D814=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D814=0,"〇",D814)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I814)	3610	=IF(B814=B813,P813,P813+1)	=IF(LEN(C814)-LEN(SUBSTITUTE(C814,"白",""))=1,"白",(IF(LEN(C814)-LEN(SUBSTITUTE(C814,"文",""))=1,"文",(IF(LEN(C814)-LEN(SUBSTITUTE(C814,"训",""))=1,"训","无")))))
退	=D815&E815&F815		tʰ	o	21	=COUNTIF(A:A,A815)	=IF(D815=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D815=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D815=0,"〇",D815)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I815)	3607	=IF(B815=B814,P814,P814+1)	=IF(LEN(C815)-LEN(SUBSTITUTE(C815,"白",""))=1,"白",(IF(LEN(C815)-LEN(SUBSTITUTE(C815,"文",""))=1,"文",(IF(LEN(C815)-LEN(SUBSTITUTE(C815,"训",""))=1,"训","无")))))
囉	=D816&E816&F816		l	o	22	=COUNTIF(A:A,A816)	=IF(D816=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D816=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D816=0,"〇",D816)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I816)	3700	=IF(B816=B815,P815,P815+1)	=IF(LEN(C816)-LEN(SUBSTITUTE(C816,"白",""))=1,"白",(IF(LEN(C816)-LEN(SUBSTITUTE(C816,"文",""))=1,"文",(IF(LEN(C816)-LEN(SUBSTITUTE(C816,"训",""))=1,"训","无")))))
哪	=D817&E817&F817	～吒	l	o	44	=COUNTIF(A:A,A817)	=IF(D817=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D817=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D817=0,"〇",D817)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I817)	3682	=IF(B817=B816,P816,P816+1)	=IF(LEN(C817)-LEN(SUBSTITUTE(C817,"白",""))=1,"白",(IF(LEN(C817)-LEN(SUBSTITUTE(C817,"文",""))=1,"文",(IF(LEN(C817)-LEN(SUBSTITUTE(C817,"训",""))=1,"训","无")))))
浪	=D818&E818&F818	流～囝（整天在外游手好闲的人）	l	o	44	=COUNTIF(A:A,A818)	=IF(D818=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D818=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D818=0,"〇",D818)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I818)	3683	=IF(B818=B817,P817,P817+1)	=IF(LEN(C818)-LEN(SUBSTITUTE(C818,"白",""))=1,"白",(IF(LEN(C818)-LEN(SUBSTITUTE(C818,"文",""))=1,"文",(IF(LEN(C818)-LEN(SUBSTITUTE(C818,"训",""))=1,"训","无")))))
螺	=D819&E819&F819		l	o	44	=COUNTIF(A:A,A819)	=IF(D819=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D819=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D819=0,"〇",D819)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I819)	3687	=IF(B819=B818,P818,P818+1)	=IF(LEN(C819)-LEN(SUBSTITUTE(C819,"白",""))=1,"白",(IF(LEN(C819)-LEN(SUBSTITUTE(C819,"文",""))=1,"文",(IF(LEN(C819)-LEN(SUBSTITUTE(C819,"训",""))=1,"训","无")))))
脶	=D820&E820&F820	指纹	l	o	44	=COUNTIF(A:A,A820)	=IF(D820=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D820=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D820=0,"〇",D820)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I820)	3688	=IF(B820=B819,P819,P819+1)	=IF(LEN(C820)-LEN(SUBSTITUTE(C820,"白",""))=1,"白",(IF(LEN(C820)-LEN(SUBSTITUTE(C820,"文",""))=1,"文",(IF(LEN(C820)-LEN(SUBSTITUTE(C820,"训",""))=1,"训","无")))))
牢	=D821&E821&F821		l	o	44	=COUNTIF(A:A,A821)	=IF(D821=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D821=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D821=0,"〇",D821)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I821)	3689	=IF(B821=B820,P820,P820+1)	=IF(LEN(C821)-LEN(SUBSTITUTE(C821,"白",""))=1,"白",(IF(LEN(C821)-LEN(SUBSTITUTE(C821,"文",""))=1,"文",(IF(LEN(C821)-LEN(SUBSTITUTE(C821,"训",""))=1,"训","无")))))
羅	=D822&E822&F822		l	o	44	=COUNTIF(A:A,A822)	=IF(D822=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D822=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D822=0,"〇",D822)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I822)	3694	=IF(B822=B821,P821,P821+1)	=IF(LEN(C822)-LEN(SUBSTITUTE(C822,"白",""))=1,"白",(IF(LEN(C822)-LEN(SUBSTITUTE(C822,"文",""))=1,"文",(IF(LEN(C822)-LEN(SUBSTITUTE(C822,"训",""))=1,"训","无")))))
鑼	=D823&E823&F823		l	o	44	=COUNTIF(A:A,A823)	=IF(D823=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D823=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D823=0,"〇",D823)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I823)	3695	=IF(B823=B822,P822,P822+1)	=IF(LEN(C823)-LEN(SUBSTITUTE(C823,"白",""))=1,"白",(IF(LEN(C823)-LEN(SUBSTITUTE(C823,"文",""))=1,"文",(IF(LEN(C823)-LEN(SUBSTITUTE(C823,"训",""))=1,"训","无")))))
蘿	=D824&E824&F824		l	o	44	=COUNTIF(A:A,A824)	=IF(D824=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D824=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D824=0,"〇",D824)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I824)	3696	=IF(B824=B823,P823,P823+1)	=IF(LEN(C824)-LEN(SUBSTITUTE(C824,"白",""))=1,"白",(IF(LEN(C824)-LEN(SUBSTITUTE(C824,"文",""))=1,"文",(IF(LEN(C824)-LEN(SUBSTITUTE(C824,"训",""))=1,"训","无")))))
邏	=D825&E825&F825		l	o	44	=COUNTIF(A:A,A825)	=IF(D825=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D825=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D825=0,"〇",D825)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I825)	3697	=IF(B825=B824,P824,P824+1)	=IF(LEN(C825)-LEN(SUBSTITUTE(C825,"白",""))=1,"白",(IF(LEN(C825)-LEN(SUBSTITUTE(C825,"文",""))=1,"文",(IF(LEN(C825)-LEN(SUBSTITUTE(C825,"训",""))=1,"训","无")))))
腡	=D826&E826&F826		l	o	44	=COUNTIF(A:A,A826)	=IF(D826=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D826=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D826=0,"〇",D826)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I826)	3698	=IF(B826=B825,P825,P825+1)	=IF(LEN(C826)-LEN(SUBSTITUTE(C826,"白",""))=1,"白",(IF(LEN(C826)-LEN(SUBSTITUTE(C826,"文",""))=1,"文",(IF(LEN(C826)-LEN(SUBSTITUTE(C826,"训",""))=1,"训","无")))))
裸	=D827&E827&F827		l	o	53	=COUNTIF(A:A,A827)	=IF(D827=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D827=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D827=0,"〇",D827)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I827)	3690	=IF(B827=B826,P826,P826+1)	=IF(LEN(C827)-LEN(SUBSTITUTE(C827,"白",""))=1,"白",(IF(LEN(C827)-LEN(SUBSTITUTE(C827,"文",""))=1,"文",(IF(LEN(C827)-LEN(SUBSTITUTE(C827,"训",""))=1,"训","无")))))
惱	=D828&E828&F828		l	o	53	=COUNTIF(A:A,A828)	=IF(D828=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D828=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D828=0,"〇",D828)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I828)	3699	=IF(B828=B827,P827,P827+1)	=IF(LEN(C828)-LEN(SUBSTITUTE(C828,"白",""))=1,"白",(IF(LEN(C828)-LEN(SUBSTITUTE(C828,"文",""))=1,"文",(IF(LEN(C828)-LEN(SUBSTITUTE(C828,"训",""))=1,"训","无")))))
躼	=D829&E829&F829		l	o	21	=COUNTIF(A:A,A829)	=IF(D829=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D829=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D829=0,"〇",D829)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I829)	3693	=IF(B829=B828,P828,P828+1)	=IF(LEN(C829)-LEN(SUBSTITUTE(C829,"白",""))=1,"白",(IF(LEN(C829)-LEN(SUBSTITUTE(C829,"文",""))=1,"文",(IF(LEN(C829)-LEN(SUBSTITUTE(C829,"训",""))=1,"训","无")))))
嚒	=D830&E830&F830		n	o	22	=COUNTIF(A:A,A830)	=IF(D830=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D830=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D830=0,"〇",D830)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I830)	5989	=IF(B830=B829,P829,P829+1)	=IF(LEN(C830)-LEN(SUBSTITUTE(C830,"白",""))=1,"白",(IF(LEN(C830)-LEN(SUBSTITUTE(C830,"文",""))=1,"文",(IF(LEN(C830)-LEN(SUBSTITUTE(C830,"训",""))=1,"训","无")))))
