调值	[1](阴平31 [2]阳平35 [3]上声213 [5]去声52 [7]阴入5 [8]阳入45 [0]轻声)		
摘	tsəʔ	7	
这	tsəʔ	7	
直	tsəʔ	8	
只	tsəʔ	7	量词
栽	tsɛ	1	
在	tsɛ	1	
车	tsʰɑ	1	
扯	tsʰɑ	3	
餐	tsʰæɳ	1	
蚕	tsʰæɳ	2	文
馋	tsʰæɳ	2	
铲	tsʰæɳ	3	
串	tsʰæɳ	5	~门
擦	tsʰæʔ	7	
插	tsʰæʔ	7	
煠	tsʰæʔ	8	
仓	tsʰɑŋ	1	
昌	tsʰɑŋ	1	
肠	tsʰɑŋ	2	
厂	tsʰɑŋ	3	
场	tsʰɑŋ	2	
唱	tsʰɑŋ	5	
长	tsʰɑŋ	2	
㪕	tsʰɑʔ	7	~板：洗衣板
昨	tsʰɑʔ	5	~个
𤵥	tsʰɔ	5	因饿而胃里不舒服
草	tsʰɔ	3	
抄	tsʰɔ	1	
朝	tsʰɔ	2	
吵	tsʰɔ	3	
锹	tsʰɔ	1	洋~：铁锹
抽	tsʰei	1	
酬	tsʰei	2	
丑	tsʰei	3	
醜	tsʰei	3	
臭	tsʰei	5	
初	tsʰəɯ	1	
锄	tsʰəɯ	2	
错	tsʰəɯ	5	
层	tsʰəŋ	2	
乘	tsʰəŋ	2	
澄	tsʰəŋ	2	
剩	tsʰəŋ	5	
㿭	tsʰəʔ	7	皮肤受冻而干裂；裂缝
才	tsʰɛ	2	
材	tsʰɛ	2	
菜	tsʰɛ	5	
柴	tsʰɛ	2	
蚕	tsʰo	2	白
穿	tsʰo	1	
串	tsʰo	5	
虫	tsʰoŋ	2	
𥅻	tsʰoŋ	5	瞌~：瞌睡
葱	tsʰoŋ	1	
从	tsʰoŋ	2	
穷	tsʰoŋ	2	
中	tsʰoŋ	1	
中	tsʰoŋ	5	
蹱	tsʰoŋ	5	走路跌跌撞撞
痴	tsʰɿ	1	
池	tsʰɿ	2	
迟	tsʰɿ	2	
刺	tsʰɿ	5	
粢	tsʰɿ	1	~饭
错	tsʰu	5	
鼠	tsʰu	3	
拳	tsʰuæɳ	2	划~
疮	tsʰuɑŋ	1	
窗	tsʰuɑŋ	1	
床	tsʰuɑŋ	2	
吹	tsʰuei	1	
出	tsʰuəʔ	7	~棺材：出殡
畜	tsʰuəʔ	7	
戳	tsʰuəʔ	7	
展	tso	3	
砖	tso	1	
坐	tso	5	
做	tso	5	~塄子：在耕地上培成的成型土埂
□	tsoŋ	1	坍~：丢脸
肿	tsoŋ	3	
翅	tsɿ	5	
之	tsɿ	1	
支	tsɿ	1	
知	tsɿ	1	
肢	tsɿ	1	
只	tsɿ	3	~有
纸	tsɿ	3	
指	tsɿ	3	
趾	tsɿ	3	
掷	tsɿ	5	~骰子
稚	tsɿ	5	~头：脸皮厚
资	tsɿ	1	
子	tsɿ	3	
子	tsɿ	0	后缀
籽	tsɿ	3	
字	tsɿ	5	
爪	tsuɑ	3	
壮	tsuɑŋ	5	
捉	tsuɑʔ	7	
桌	tsuɑʔ	7	
镯	tsuɑʔ	8	
嘴	tsuei	3	
烛	tsuəʔ	7	
足	tsuəʔ	7	
桌	tsuoʔ	7	
都	tu	1	
堵	tu	3	
肚	tu	3	
肚	tu	5	
掇	tuoʔ	7	
乌	u	1	
五	u	3	
午	u	3	
武	u	3	
鹉	u	3	
舞	u	3	
雾	u	1	
鸹	uɑ	5	老鸹：乌鸦
瓦	uɑ	3	
弯	uæɳ	1	
完	uæɳ	2	文
玩	uæɳ	2	
晚	uæɳ	3	
万	uæɳ	5	
腕	uæɳ	5	文
滑	uæʔ	8	
挖	uæʔ	7	
袜	uæʔ	8	
黄	uɑŋ	2	
蟥	uɑŋ	2	
王	uɑŋ	2	
网	uɑŋ	3	
往	uɑŋ	3	
危	uei	1	
微	uei	1	
围	uei	2	
尾	uei	3	
为	uei	2	
为	uei	5	
位	uei	5	
味	uei	5	
温	uəŋ	1	
闻	uəŋ	2	
问	uəŋ	5	
瓮	uəŋ	1	斗~：斗笠
外	uɛ	5	
𣝗	uoʔ	8	果核
活	uoʔ	8	
嗀	uoʔ	7	呕吐
捥	uoʔ	7	将物弄弯
屋	uoʔ	7	
物	uoʔ	8	
院	yəŋ	5	~墙
晕	yəŋ	1	
云	yəŋ	2	
纡	yᶨ	5	~子：纱锭
余	yᶨ	2	积聚
鱼	yᶨ	2	
雨	yᶨ	3	
玉	yᶨ	5	文，~米
芋	yᶨ	5	
若	zɑʔ	8	
扰	zɔ	3	
揉	zəɯ	2	
肉	zəɯ	5	文
人	zəŋ	2	
认	zəŋ	5	
纫	zəŋ	5	
扔	zəŋ	1	
热	zəʔ	8	文
肉	zoʔ	8	白
焴	zoʔ	8	在沸水沸油中煮食物
十	zɿ	0	三~夜
