漢字	IPA	注释
篝	kʰɐu⁴⁵	
抠	kʰɐu⁴⁵	
沟	kʰɐu⁴⁵	
榷	kʰɔk⁴	
确	kʰɔk⁴	
廓	kʰɔk⁴	
藿	kʰɔk⁴	
壑	kʰɔk⁴	
涸	kʰɔk⁴	
郭	kʰɔk⁴	
诳	kʰɔŋ²¹	
狂	kʰɔŋ²¹	
慷	kʰɔŋ³⁵	
扩	kʰɔŋ⁴⁴³	
矿	kʰɔŋ⁴⁴³	
况	kʰɔŋ⁴⁴³	
旷	kʰɔŋ⁴⁴³	
邝	kʰɔŋ⁴⁴³	
抗	kʰɔŋ⁴⁴³	
伉	kʰɔŋ⁴⁴³	
隙	kʰek⁴⁵	
茄	kʰɛ²¹	
瘸	kʰɛ³⁵	
企	kʰi²¹	
麒	kʰi²¹	
旗	kʰi²¹	
棋	kʰi²¹	
琪	kʰi²¹	
骐	kʰi²¹	
淇	kʰi²¹	
祈	kʰi²¹	
其	kʰi²¹	
岐	kʰi²¹	
祁	kʰi²¹	
骥	kʰi⁴⁴³	
冀	kʰi⁴⁴³	
龟	kʰi⁴⁵	白
崎	kʰi⁴⁵	
蹊	kʰi⁴⁵	
畸	kʰi⁴⁵	
却	kʰiak⁴	
襁	kʰiaŋ²¹	
强	kʰiaŋ²¹	
黔	kʰim²¹	
钳	kʰim²¹	
乾	kʰin²¹	
虔	kʰin²¹	
硖	kʰip⁵²	
撷	kʰit⁴	
蝎	kʰit⁴	
竭	kʰit⁴	
碣	kʰit⁴	
颉	kʰit⁴	
诘	kʰit⁴	
揭	kʰit⁴	
桥	kʰiu²¹	
荞	kʰiu²¹	
侨	kʰiu²¹	
乔	kʰiu²¹	
跷	kʰiu⁴⁵	
文	kʰo⁴⁵	
贿	kʰoi³⁵	
刽	kʰoi³⁵	
忾	kʰoi⁴⁴³	
慨	kʰoi⁴⁴³	
桧	kʰoi⁴⁴³	
概	kʰoi⁴⁴³	
溉	kʰoi⁴⁴³	
钙	kʰoi⁴⁴³	
丐	kʰoi⁴⁴³	
麹	kʰok⁴⁵	
蛐	kʰok⁴⁵	
曲	kʰok⁴⁵	
颧	kʰɵn²¹	
拳	kʰɵn²¹	
权	kʰɵn²¹	
穹	kʰoŋ²¹	
穷	kʰoŋ²¹	
阙	kʰɵt⁴	
缺	kʰɵt⁴	
了	kʰɵt⁴	
括	kʰɵt⁴	
厥	kʰɵt⁴	
诀	kʰɵt⁴	
决	kʰɵt⁴	
舅	kʰu²¹	
桕	kʰu²¹	
箍	kʰu⁴⁵	
衢	kʰy²¹	
渠	kʰy²¹	
距	kʰy²¹	
拒	kʰy²¹	
枢	kʰy⁴⁵	
驱	kʰy⁴⁵	
俱	kʰy⁴⁵	
跔	kʰy⁴⁵	
驹	kʰy⁴⁵	
拘	kʰy⁴⁵	
杞	ki³⁵	
纪	ki³⁵	
己	ki³⁵	
簋	ki³⁵	
鬼	ki³⁵	
诡	ki³⁵	
轨	ki³⁵	
寄	ki⁴⁴³	
既	ki⁴⁴³	
季	ki⁴⁴³	
记	ki⁴⁴³	
桂	ki⁴⁴³	
贵	ki⁴⁴³	
癸	ki⁴⁴³	
畿	ki⁴⁵	
箕	ki⁴⁵	
基	ki⁴⁵	
姬	ki⁴⁵	
矶	ki⁴⁵	
肌	ki⁴⁵	
机	ki⁴⁵	
玑	ki⁴⁵	
饥	ki⁴⁵	
叽	ki⁴⁵	
讥	ki⁴⁵	
归	ki⁴⁵	
妓	ki⁵²	
忌	ki⁵²	
技	ki⁵²	
伎	ki⁵²	
跪	ki⁵²	
柜	ki⁵²	
脚	kiak⁴	
疆	kiaŋ⁴⁵	
缰	kiaŋ⁴⁵	
彊	kiaŋ⁴⁵	
僵	kiaŋ⁴⁵	
姜	kiaŋ⁴⁵	
检	kim³⁵	
剑	kim⁴⁴³	
兼	kim⁴⁵	
俭	kim⁵²	
建	kin⁴⁴³	
见	kin⁴⁴³	
肩	kin⁴⁵	
坚	kin⁴⁵	
键	kin⁵²	
腱	kin⁵²	
健	kin⁵²	
件	kin⁵²	
涩	kip⁴	
劫	kip⁴	
结	kit⁴	
洁	kit⁴	
拮	kit⁴	
杰	kit⁵²	
缴	kiu³⁵	
叫	kiu⁴⁴³	
骄	kiu⁴⁵	
娇	kiu⁴⁵	
撬	kiu⁵²	
轿	kiu⁵²	
裹	ko³⁵	
果	ko³⁵	
过	ko⁴⁴³	
个	ko⁴⁴³	
歌	ko⁴⁵	
哥	ko⁴⁵	
戈	ko⁴⁵	
改	koi³⁵	
盖	koi⁴⁴³	
赅	koi⁴⁵	
该	koi⁴⁵	
菊	kok⁴⁵	
鞠	kok⁴⁵	
榖	kok⁴⁵	
谷	kok⁴⁵	
煽	kok⁵²	
局	kok⁵²	
管	kɵn³⁵	
莞	kɵn³⁵	
赶	kɵn³⁵	
秆	kɵn³⁵	
券	kɵn⁴⁴³	
眷	kɵn⁴⁴³	
罐	kɵn⁴⁴³	
鹳	kɵn⁴⁴³	
灌	kɵn⁴⁴³	
贯	kɵn⁴⁴³	
鹃	kɵn⁴⁵	
娟	kɵn⁴⁵	
涓	kɵn⁴⁵	
捐	kɵn⁴⁵	
棺	kɵn⁴⁵	
官	kɵn⁴⁵	
竿	kɵn⁴⁵	
杆	kɵn⁴⁵	
倦	kɵn⁵²	
拱	koŋ³⁵	
巩	koŋ³⁵	
贡	koŋ⁴⁴³	
汞	koŋ⁴⁴³	
龚	koŋ⁴⁵	
躬	koŋ⁴⁵	
蚣	koŋ⁴⁵	
恭	koŋ⁴⁵	
宫	koŋ⁴⁵	
供	koŋ⁴⁵	
攻	koŋ⁴⁵	
功	koŋ⁴⁵	
公	koŋ⁴⁵	
弓	koŋ⁴⁵	
工	koŋ⁴⁵	
共	koŋ⁵²	
葛	kɵt⁴	
割	kɵt⁴	
韭	ku³⁵	
久	ku³⁵	
九	ku³⁵	
鼓	ku³⁵	
蛊	ku³⁵	
牯	ku³⁵	
股	ku³⁵	
古	ku³⁵	
灸	ku⁴⁴³	白
救	ku⁴⁴³	
锢	ku⁴⁴³	
雇	ku⁴⁴³	
顾	ku⁴⁴³	
故	ku⁴⁴³	
固	ku⁴⁴³	
诂	ku⁴⁵	
觚	ku⁴⁵	
辜	ku⁴⁵	
菇	ku⁴⁵	
鸪	ku⁴⁵	
轱	ku⁴⁵	
姑	ku⁴⁵	
孤	ku⁴⁵	
沽	ku⁴⁵	
估	ku⁴⁵	
旧	ku⁵²	
榉	ky³⁵	
举	ky³⁵	
矩	ky³⁵	
踞	ky⁴⁴³	
锯	ky⁴⁴³	
据	ky⁴⁴³	
倨	ky⁴⁴³	
句	ky⁴⁴³	
居	ky⁴⁵	
飓	ky⁵²	
惧	ky⁵²	
炬	ky⁵²	
具	ky⁵²	
苣	ky⁵²	
巨	ky⁵²	
啦	la⁴⁵	
喇	la⁴⁵	
旯	la⁴⁵	
礼	lɐi²¹	
藜	lɐi²¹	
黎	lɐi²¹	
犁	lɐi²¹	
孻	lai⁴⁵	
拉	lai⁴⁵	
赖	lai⁵²	
蛎	lɐi⁵²	
俪	lɐi⁵²	
郦	lɐi⁵²	
荔	lɐi⁵²	
例	lɐi⁵²	
励	lɐi⁵²	
丽	lɐi⁵²	
鹂	lɐi⁵²	
砾	lak⁴⁵	
肋	lak⁵²	
勒	lak⁵²	
篮	lam²¹	
褴	lam²¹	
蓝	lam²¹	
婪	lam²¹	
岚	lam²¹	
廪	lɐm²¹	
凛	lɐm²¹	
霖	lɐm²¹	
淋	lɐm²¹	
临	lɐm²¹	
林	lɐm²¹	
榄	lam³⁵	
揽	lam³⁵	
览	lam³⁵	
滥	lam⁵²	
缆	lam⁵²	
舰	lam⁵²	
懒	lan²¹	
澜	lan²¹	
栏	lan²¹	
拦	lan²¹	
兰	lan²¹	
轮	lɐn²¹	
沦	lɐn²¹	
伦	lɐn²¹	
仑	lɐn²¹	
领	lɐn²¹	
岭	lɐn²¹	
鲮	lɐn²¹	
零	lɐn²¹	
绫	lɐn²¹	
翎	lɐn²¹	
菱	lɐn²¹	
陵	lɐn²¹	
凌	lɐn²¹	
铃	lɐn²¹	
囹	lɐn²¹	
灵	lɐn²¹	
伶	lɐn²¹	
鳞	lɐn²¹	
燐	lɐn²¹	
邻	lɐn²¹	
躝	lan⁴⁵	
烂	lan⁵²	
论	lɐn⁵²	
令	lɐn⁵²	
另	lɐn⁵²	
吝	lɐn⁵²	
冷	lɐŋ²¹	
垃	lap⁴	
笠	lɐp⁴⁵	
蜡	lap⁵²	
腊	lap⁵²	
立	lɐp⁵²	
㾊	lat⁴	
甩	lɐt⁴⁵	
雳	lɐt⁴⁵	
呖	lɐt⁴⁵	
迾	lat⁵²	
邋	lat⁵²	
聿	lɐt⁵²	
率	lɐt⁵²	
律	lɐt⁵²	
傈	lɐt⁵²	
砺	lɐt⁵²	
栗	lɐt⁵²	
沥	lɐt⁵²	
力	lɐt⁵²	
琉	lɐu²¹	文，～璃牢
柳	lɐu²¹	文
榴	lɐu²¹	文
馏	lɐu²¹	文
流	lɐu²¹	文
留	lɐu²¹	文
刘	lɐu²¹	文
搂	lɐu²¹	
楼	lɐu²¹	
喽	lɐu²¹	
溜	lɐu²¹	
老	lɐu²¹	
劳	lɐu²¹	
褛	lɐu⁴⁵	
捞	lɐu⁴⁵	
漏	lɐu⁵²	
陋	lɐu⁵²	
骆	lɔk⁴	
络	lɔk⁴	
洛	lɔk⁴	
酪	lɔk⁴	
烙	lɔk⁴	
落	lɔk⁵²	
乐	lɔk⁵²	
银	lɔŋ²¹	
塱	lɔŋ²¹	
朗	lɔŋ²¹	
螂	lɔŋ²¹	
廊	lɔŋ²¹	
狼	lɔŋ²¹	
郎	lɔŋ²¹	
浪	lɔŋ⁵²	
履	li²¹	
鲤	li²¹	
锂	li²¹	
理	li²¹	
娌	li²¹	
俚	li²¹	
里	li²¹	
李	li²¹	
篱	li²¹	
罹	li²¹	
梨	li²¹	
离	li²¹	
狸	li²¹	
厘	li²¹	
璃	li⁴⁵	
痢	li⁵²	
詈	li⁵²	
莅	li⁵²	
莉	li⁵²	
利	li⁵²	
吏	li⁵²	
厉	li⁵²	
饵	li⁵²	
略	liak⁵²	
掠	liak⁵²	
粱	liaŋ²¹	
粱	liaŋ²¹	
粮	liaŋ²¹	
梁	liaŋ²¹	
凉	liaŋ²¹	
良	liaŋ²¹	
靓	liaŋ⁴⁴³	
量	liaŋ⁵²	
辆	liaŋ⁵²	
谅	liaŋ⁵²	
亮	liaŋ⁵²	
殓	lim²¹	
敛	lim²¹	
镰	lim²¹	
廉	lim²¹	
帘	lim²¹	
脸	lim³⁵	
楝	lim⁵²	
蔹	lim⁵²	
涟	lin²¹	
莲	lin²¹	
怜	lin²¹	
连	lin²¹	
链	lin⁵²	
炼	lin⁵²	
练	lin⁵²	
猎	lip⁵²	
裂	lit⁵²	
烈	lit⁵²	
列	lit⁵²	
燎	liu²¹	
寮	liu²¹	
潦	liu²¹	
寥	liu²¹	
聊	liu²¹	
疗	liu²¹	
辽	liu²¹	
嫽	liu³⁵	
溜	liu⁴⁵	
廖	liu⁵²	
料	liu⁵²	
摞	lo²¹	
螺	lo²¹	
骡	lo²¹	
箩	lo²¹	
锣	lo²¹	
萝	lo²¹	
罗	lo²¹	
裸	lo³⁵	
颗	lo³⁵	
硒	loi²¹	
镭	loi²¹	
擂	loi²¹	
雷	loi²¹	
徕	loi²¹	
来	loi²¹	
垒	loi³⁵	
耒	loi⁵²	
睐	loi⁵²	
麓	lok⁴⁵	
辘	lok⁴⁵	
摝	lok⁴⁵	
碌	lok⁴⁵	
绿	lok⁵²	
戮	lok⁵²	
漉	lok⁵²	
禄	lok⁵²	
鹿	lok⁵²	
录	lok⁵²	
陆	lok⁵²	
六	lok⁵²	
鸾	lɵn²¹	
联	lɵn²¹	
卵	lɵn³⁵	
恋	lɵn³⁵	
乱	lɵn⁵²	
隆	loŋ²¹	
笼	loŋ²¹	
聋	loŋ²¹	
栊	loŋ²¹	
泷	loŋ²¹	
茏	loŋ²¹	
龙	loŋ²¹	
垄	loŋ³⁵	
拢	loŋ³⁵	
陇	loŋ³⁵	
窿	loŋ⁴⁵	
劣	lɵt⁴	
流	lu²¹	白，流失
柳	lu²¹	白
榴	lu²¹	白
馏	lu²¹	白
琉	lu²¹	白
留	lu²¹	白
刘	lu²¹	白
橹	lu²¹	
鲁	lu²¹	
虏	lu²¹	
卤	lu²¹	
炉	lu²¹	
庐	lu²¹	
芦	lu²¹	
卢	lu²¹	
瘤	lu²¹	
硫	lu²¹	
浏	lu²¹	
流	lu⁴⁵	白，流水
骝	lu⁴⁵	
露	lu⁵²	
鹭	lu⁵²	
璐	lu⁵²	
路	lu⁵²	
赂	lu⁵²	
履	ly²¹	
缕	ly²¹	
屡	ly²¹	
铝	ly²¹	
旅	ly²¹	
侣	ly²¹	
吕	ly²¹	
闾	ly²¹	
驴	ly²¹	
里	ly²¹	
蕾	ly³⁵	
滤	ly⁵²	
虑	ly⁵²	
戾	ly⁵²	
累	ly⁵²	
类	ly⁵²	
泪	ly⁵²	
唔	m²¹	
蚂	ma²¹	
码	ma²¹	
玛	ma²¹	
犸	ma²¹	
马	ma²¹	
嫲	ma²¹	
痳	ma²¹	
麻	ma²¹	
孖	ma⁴⁵	
吗	ma⁴⁵	
妈	ma⁴⁵	
买	mai²¹	
霾	mai²¹	
埋	mai²¹	
米	mɐi²¹	
谜	mɐi²¹	
迷	mɐi²¹	
眯	mɐi⁴⁴³	
迈	mai⁵²	
默	mak⁵²	
墨	mak⁵²	
陌	mak⁵²	
脉	mak⁵²	
麦	mak⁵²	
晚	man²¹	
蛮	man²¹	
吻	mɐn²¹	
刎	mɐn²¹	
雯	mɐn²¹	
闻	mɐn²¹	
纹	mɐn²¹	
酩	mɐn²¹	
铭	mɐn²¹	
冥	mɐn²¹	
茗	mɐn²¹	
鸣	mɐn²¹	
明	mɐn²¹	
名	mɐn²¹	
敏	mɐn²¹	
悯	mɐn²¹	
闽	mɐn²¹	
皿	mɐn²¹	
民	mɐn²¹	
氓	mɐn²¹	
璺	mɐn⁴⁴³	
焖	mɐn⁴⁵	
万	man⁵²	
慢	man⁵²	
漫	man⁵²	
蔓	man⁵²	
曼	man⁵²	
鳗	man⁵²	
馒	man⁵²	
问	mɐn⁵²	
命	mɐn⁵²	
盟	mɐŋ²¹	
萌	mɐŋ²¹	
盲	mɐŋ²¹	
蜢	mɐŋ³⁵	
孟	mɐŋ⁵²	
袜	mat⁵²	
物	mɐt⁵²	
勿	mɐt⁵²	
蜜	mɐt⁵²	
谧	mɐt⁵²	
幂	mɐt⁵²	
密	mɐt⁵²	
觅	mɐt⁵²	
牡	mau²¹	
铆	mau²¹	
昴	mau²¹	
卯	mau²¹	
锚	mau²¹	
茅	mau²¹	
矛	mau²¹	
亩	mɐu²¹	
某	mɐu²¹	
谋	mɐu²¹	
冇	mɐu²¹	
矛	mɐu²¹	
毛	mɐu²¹	
貌	mau⁵²	
缪	mɐu⁵²	
眸	mɐu⁵²	
谬	mɐu⁵²	
帽	mɐu⁵²	
贸	mɐu⁵²	
冒	mɐu⁵²	
茂	mɐu⁵²	
幕	mɔk⁴	
膜	mɔk⁴	
剥	mɔk⁴	
寞	mɔk⁵²	
莫	mɔk⁵²	
忘	mɔŋ²¹	
妄	mɔŋ²¹	
魍	mɔŋ²¹	
惘	mɔŋ²¹	
网	mɔŋ²¹	
亡	mɔŋ²¹	
蟒	mɔŋ²¹	
莽	mɔŋ²¹	
茫	mɔŋ²¹	
忙	mɔŋ²¹	
虻	mɔŋ⁴⁵	
忙	mɔŋ⁴⁵	
望	mɔŋ⁵²	
娓	mi²¹	
尾	mi²¹	
薇	mi²¹	
微	mi²¹	
靡	mi²¹	
媚	mi²¹	
镁	mi²¹	
美	mi²¹	
楣	mi²¹	
嵋	mi²¹	
眉	mi²¹	
溦	mi⁴⁵	
眯	mi⁴⁵	
味	mi⁵²	
未	mi⁵²	
魅	mi⁵²	
寐	mi⁵²	
缅	min²¹	
冕	min²¹	
娩	min²¹	
勉	min²¹	
免	min²¹	
棉	min²¹	
绵	min²¹	
眠	min²¹	
抿	min³⁵	
面	min⁵²	
瘪	mit⁴	
篾	mit⁵²	
蔑	mit⁵²	
灭	mit⁵²	
渺	miu²¹	
瞄	miu²¹	
描	miu²¹	
苗	miu²¹	
藐	miu³⁵	
秒	miu³⁵	
喵	miu⁴⁵	
猫	miu⁴⁵	
庙	miu⁵²	
妙	miu⁵²	
蘑	mo²¹	
摸	mo³⁵	
魔	mo⁴⁵	
嬷	mo⁴⁵	
摩	mo⁴⁵	
馍	mo⁴⁵	
摸	mo⁴⁵	
么	mo⁴⁵	
侮	moi²¹	
每	moi²¹	
煤	moi²¹	
媒	moi²¹	
脢	moi²¹	
梅	moi²¹	
莓	moi²¹	
枚	moi²¹	
穆	mok⁵²	
睦	mok⁵²	
钼	mok⁵²	
牧	mok⁵²	
苜	mok⁵²	
沐	mok⁵²	
目	mok⁵²	
木	mok⁵²	
门	mɵn²¹	
螨	mɵn²¹	
满	mɵn²¹	
瞒	mɵn²¹	
闷	mɵn⁵²	
朦	moŋ²¹	
蒙	moŋ²¹	
懵	moŋ³⁵	
瞢	moŋ³⁵	
梦	moŋ⁵²	
沫	mɵt⁵²	
末	mɵt⁵²	
没	mɵt⁵²	
鹉	mu²¹	
武	mu²¹	
毋	mu²¹	
无	mu²¹	
诬	mu²¹	
巫	mu²¹	
拇	mu²¹	
母	mu²¹	
模	mu²¹	
摹	mu²¹	
舞	mu³⁵	
雾	mu⁵²	
骛	mu⁵²	
婺	mu⁵²	
务	mu⁵²	
戊	mu⁵²	
暮	mu⁵²	
慕	mu⁵²	
墓	mu⁵²	
募	mu⁵²	
嗱	na²¹	
哪	na²¹	
拿	na²¹	
姆	na³⁵	
那	na⁵²	
氖	nai²¹	
乃	nai²¹	
昵	nɐi²¹	
怩	nɐi²¹	
泥	nɐi²¹	
尼	nɐi²¹	
妮	nɐi²¹	
腻	nɐi⁵²	
腩	nam²¹	
楠	nam²¹	
南	nam²¹	
男	nam²¹	
柠	nɐn²¹	
狞	nɐn²¹	
宁	nɐn²¹	
佞	nɐn³⁵	
能	nɐŋ²¹	
粒	nɐp⁴⁵	
凹	nɐp⁴⁵	
捺	nap⁵²	
纳	nap⁵²	
溺	nɐt⁴⁵	
匿	nɐt⁴⁵	
脑	nɐu²¹	
恼	nɐu²¹	
娆	nau³⁵	
妞	nɐu³⁵	
闹	nau⁵²	
诺	nɔk⁵²	
瓤	nɔŋ²¹	
囊	nɔŋ²¹	
裆	nɔŋ⁵²	白
昵	ni²¹	
你	ni²¹	
弥	ni²¹	
鲶	nim²¹	
稔	nim⁴⁵	
黏	nim⁴⁵	
拈	nim⁴⁵	
念	nim⁵²	
年	nin²¹	
撵	nin³⁵	
辇	nin³⁵	
镍	nip⁴	
涅	nip⁴	
聂	nip⁴	
捏	nip⁴	
孽	nip⁵²	
袅	niu²¹	
鸟	niu²¹	
尿	niu⁵²	
挪	no²¹	
娜	no²¹	
糯	no⁵²	
懦	no⁵²	
内	noi⁵²	
奈	noi⁵²	
暖	nɵn²¹	
嫩	nɵn⁵²	
秾	noŋ²¹	
脓	noŋ²¹	
浓	noŋ²¹	
侬	noŋ²¹	
农	noŋ²¹	
弩	nu²¹	
努	nu²¹	
奴	nu²¹	
纽	nu²¹	
杻	nu³⁵	
忸	nu³⁵	
扭	nu³⁵	
怒	nu⁵²	
女	ny²¹	
雅	ŋa²¹	
衙	ŋa²¹	
蚜	ŋa²¹	
蚜	ŋa²¹	
芽	ŋa²¹	
牙	ŋa²¹	
瓦	ŋa²¹	
讶	ŋa⁵²	
捱	ŋai²¹	
蚁	ŋɐi²¹	
巍	ŋɐi²¹	
危	ŋɐi²¹	
毅	ŋɐi⁵²	
羿	ŋɐi⁵²	
诣	ŋɐi⁵²	
呓	ŋɐi⁵²	
艺	ŋɐi⁵²	
魏	ŋɐi⁵²	
伪	ŋɐi⁵²	
鲵	ŋɐi⁵²	
倪	ŋɐi⁵²	
额	ŋak⁵²	
岩	ŋam²¹	
啱	ŋam⁴⁵	
眼	ŋan²¹	
颜	ŋan²¹	
顽	ŋan²¹	
龈	ŋɐn²¹	
银	ŋɐn²¹	
垠	ŋɐn²¹	
研	ŋan³⁵	白，动词，轧，滚压，碾压
赝	ŋan⁵²	
雁	ŋan⁵²	
硬	ŋɐŋ⁵²	
屹	ŋɐt⁵²	
兀	ŋɐt⁵²	
逆	ŋɐt⁵²	
仡	ŋɐt⁵²	
咬	ŋau²¹	
肴	ŋau²¹	
爻	ŋau²¹	
淆	ŋau²¹	
藕	ŋɐu²¹	
偶	ŋɐu²¹	
牛	ŋɐu²¹	
钩	ŋɐu⁴⁵	
勾	ŋɐu⁴⁵	
傲	ŋɐu⁵²	
熬	ŋɐu⁵²	
岳	ŋɔk⁵²	
乐	ŋɔk⁵²	
鳄	ŋɔk⁵²	
颚	ŋɔk⁵²	
锷	ŋɔk⁵²	
腭	ŋɔk⁵²	
愕	ŋɔk⁵²	
萼	ŋɔk⁵²	
鄂	ŋɔk⁵²	
昂	ŋɔŋ²¹	
戆	ŋɔŋ⁵²	
我	ŋo²¹	
蛾	ŋo²¹	
鹅	ŋo²¹	
娥	ŋo²¹	
峨	ŋo²¹	
俄	ŋo²¹	
讹	ŋo²¹	
柯	ŋo⁴⁵	
卧	ŋo⁵²	
饿	ŋo⁵²	
外	ŋoi⁵²	
碍	ŋoi⁵²	
岸	ŋɵn⁵²	
屙	o⁴⁵	
凯	oi³⁵	
霭	oi³⁵	
蔼	oi³⁵	
皑	oi³⁵	
媛	oi⁴⁴³	
爱	oi⁴⁴³	
埃	oi⁴⁵	
哀	oi⁴⁵	
屋	ok⁴⁵	
案	ɵn⁴⁴³	
按	ɵn⁴⁴³	
鞍	ɵn⁴⁵	
氨	ɵn⁴⁵	
桉	ɵn⁴⁵	
安	ɵn⁴⁵	
忤	oŋ²¹	
仵	oŋ²¹	
伍	oŋ²¹	
午	oŋ²¹	
五	oŋ²¹	
蜈	oŋ²¹	
梧	oŋ²¹	
吴	oŋ²¹	
瓮	oŋ⁴⁴³	
悟	oŋ⁵²	
误	oŋ⁵²	
靶	pa³⁵	
把	pa³⁵	
吧	pa⁴⁴³	
霸	pa⁴⁴³	
坝	pa⁴⁴³	
爸	pa⁴⁵	
粑	pa⁴⁵	
笆	pa⁴⁵	
疤	pa⁴⁵	
芭	pa⁴⁵	
叭	pa⁴⁵	
巴	pa⁴⁵	
罢	pa⁵²	
摆	pai³⁵	
湃	pai⁴⁴³	
拜	pai⁴⁴³	
蔽	pɐi⁴⁴³	
敝	pɐi⁴⁴³	
闭	pɐi⁴⁴³	
败	pai⁵²	
弊	pɐi⁵²	
毙	pɐi⁵²	
陛	pɐi⁵²	
毖	pɐi⁵²	
币	pɐi⁵²	
稗	pɐi⁵²	
伯	pak⁴⁵	
北	pak⁴⁵	
佰	pak⁴⁵	
百	pak⁴⁵	
卜	pak⁵²	
帛	pak⁵²	
白	pak⁵²	
版	pan³⁵	
板	pan³⁵	
扳	pan³⁵	
禀	pɐn³⁵	
炳	pɐn³⁵	
饼	pɐn³⁵	
秉	pɐn³⁵	
丙	pɐn³⁵	
柄	pɐn⁴⁴³	
鬓	pɐn⁴⁴³	
殡	pɐn⁴⁴³	
㿀	pan⁴⁵	
斑	pan⁴⁵	
颁	pan⁴⁵	
班	pan⁴⁵	
兵	pɐn⁴⁵	
冰	pɐn⁴⁵	
槟	pɐn⁴⁵	
滨	pɐn⁴⁵	
斌	pɐn⁴⁵	
彬	pɐn⁴⁵	
宾	pɐn⁴⁵	
奔	pɐn⁴⁵	
瓣	pan⁵²	
扮	pan⁵²	
办	pan⁵²	
病	pɐn⁵²	
笨	pɐn⁵²	
蹦	pɐŋ⁴⁵	
绷	pɐŋ⁴⁵	
崩	pɐŋ⁴⁵	
捌	pat⁴	
八	pat⁴	
不	pɐt⁴⁵	
璧	pɐt⁴⁵	
壁	pɐt⁴⁵	
碧	pɐt⁴⁵	
愎	pɐt⁴⁵	
筚	pɐt⁴⁵	
毕	pɐt⁴⁵	
笔	pɐt⁴⁵	
逼	pɐt⁴⁵	
拔	pat⁵²	
弼	pɐt⁵²	
饱	pau³⁵	
褓	pɐu³⁵	
堡	pɐu³⁵	
葆	pɐu³⁵	
保	pɐu³⁵	
宝	pɐu³⁵	
爆	pau⁴⁴³	
豹	pau⁴⁴³	
趵	pau⁴⁴³	
报	pɐu⁴⁴³	
鲍	pau⁴⁵	
胞	pau⁴⁵	
苞	pau⁴⁵	
包	pau⁴⁵	
褒	pɐu⁴⁵	
煲	pɐu⁴⁵	
龅	pau⁵²	
曝	pɐu⁵²	
暴	pɐu⁵²	
膊	pɔk⁴	
搏	pɔk⁴	
博	pɔk⁴	
驳	pɔk⁴	
泊	pɔk⁵²	
簿	pɔk⁵²	
礴	pɔk⁵²	
铂	pɔk⁵²	
薄	pɔk⁵²	
榜	pɔŋ³⁵	
绑	pɔŋ³⁵	
浜	pɔŋ⁴⁵	
帮	pɔŋ⁴⁵	
邦	pɔŋ⁴⁵	
谤	pɔŋ⁵²	
啤	pɛ⁴⁵	
琶	pʰa²¹	
爬	pʰa²¹	
杷	pʰa²¹	
耙	pʰa²¹	
钯	pʰa²¹	
扒	pʰa²¹	
怕	pʰa⁴⁴³	
葩	pʰa⁴⁵	
趴	pʰa⁴⁵	
牌	pʰai²¹	
排	pʰai²¹	
批	pʰɐi⁴⁵	
魄	pʰak⁴⁵	
珀	pʰak⁴⁵	
泊	pʰak⁴⁵	
拍	pʰak⁴⁵	
柏	pʰak⁴⁵	
平	pʰɐn²¹	文
萍	pʰɐn²¹	
瓶	pʰɐn²¹	
屏	pʰɐn²¹	
坪	pʰɐn²¹	
评	pʰɐn²¹	
频	pʰɐn²¹	
贫	pʰɐn²¹	
品	pʰɐn³⁵	
盼	pʰan⁴⁴³	
聘	pʰɐn⁴⁴³	
姘	pʰɐn⁴⁴³	
拼	pʰɐn⁴⁴³	
喷	pʰɐn⁴⁴³	
攀	pʰan⁴⁵	
娉	pʰɐn⁴⁵	
凭	pʰɐŋ²¹	
膨	pʰɐŋ²¹	
澎	pʰɐŋ²¹	
鹏	pʰɐŋ²¹	
硼	pʰɐŋ²¹	
棚	pʰɐŋ²¹	
彭	pʰɐŋ²¹	
朋	pʰɐŋ²¹	
棒	pʰɐŋ²¹	
烹	pʰɐŋ⁴⁵	
抨	pʰɐŋ⁴⁵	
僻	pʰɐt⁴⁵	
辟	pʰɐt⁴⁵	
癖	pʰɐt⁴⁵	
匹	pʰɐt⁴⁵	
霹	pʰɐt⁴⁵	
劈	pʰɐt⁴⁵	
汃	pʰat⁵²	
匏	pʰau²¹	
庖	pʰau²¹	
刨	pʰau²¹	
袍	pʰɐu²¹	
抱	pʰɐu²¹	
跑	pʰau³⁵	
炮	pʰau⁴⁴³	
奅	pʰau⁴⁴³	
疱	pʰau⁴⁵	
抛	pʰau⁴⁵	
孢	pʰau⁴⁵	
璞	pʰɔk⁴	
扑	pʰɔk⁴	
螃	pʰɔŋ²¹	
旁	pʰɔŋ²¹	
庞	pʰɔŋ²¹	
滂	pʰɔŋ²¹	
蚌	pʰɔŋ²¹	
貔	pʰi²¹	
蜱	pʰi²¹	
脾	pʰi²¹	
琵	pʰi²¹	
疲	pʰi²¹	
枇	pʰi²¹	
皮	pʰi²¹	
婢	pʰi²¹	
鄙	pʰi³⁵	
彼	pʰi³⁵	
屁	pʰi⁴⁴³	
铍	pʰi⁴⁵	
砒	pʰi⁴⁵	
披	pʰi⁴⁵	
坯	pʰi⁴⁵	
纰	pʰi⁴⁵	
丕	pʰi⁴⁵	
胚	pʰi⁴⁵	
呸	pʰi⁵²	
