"繁体字"	"简体字"	"新晃凳寨"	"国际音标"	"说明"	
"賜"	"赐"	"cii5"	"tsʰɿ45"		
"赤"	"赤"	"cii5"	"tsʰɿ45"		
"氰"	"氰"	"cin1"	"tsʰin13"	"老"	
"清"	"清"	"cin1"	"tsʰin13"	"老"	
"親"	"亲"	"cin1"	"tsʰin13"	"老"	
"青"	"青"	"cin1"	"tsʰin13"	"老"	
"情"	"情"	"cin2"	"tsʰin11"	"老"	
"晴"	"晴"	"cin2"	"tsʰin11"	"老"	
"秦"	"秦"	"cin2"	"tsʰin11"	"老"	
"蜻"	"蜻"	"cin2"	"tsʰin11"	"老"	
"寢"	"寝"	"cin3"	"tsʰin21"	"老"	
"請"	"请"	"cin3"	"tsʰin21"	"老"	
"侵"	"侵"	"cin5"	"tsʰin45"	"老"	
"唚"	"吣"	"cin5"	"tsʰin45"	"老"	
"沁"	"沁"	"cin5"	"tsʰin45"	"老"	
"浸"	"浸"	"cin5"	"tsʰin45"	"老"	
"秋"	"秋"	"ciu1"	"tsʰiəu13"	"老"	
"鞦"	"秋"	"ciu1"	"tsʰiəu13"	"老"	
"鰍"	"鳅"	"ciu1"	"tsʰiəu13"	"老"	
"搓"	"搓"	"co1"	"tsʰo13"		
"磋"	"磋"	"co1"	"tsʰo13"		
"蹉"	"蹉"	"co1"	"tsʰo13"		
"歠"	"歠"	"co1"	"tsʰo13"	"大吃"	
"戳"	"戳"	"co2"	"tsʰo11"	"文读"	
"撮"	"撮"	"co2"	"tsʰo11"		
"撮"	"撮"	"co2"	"tsʰo11"	"聚起"	
"挫"	"挫"	"co5"	"tsʰo45"		
"措"	"措"	"co5"	"tsʰo45"		
"綽"	"绰"	"co5"	"tsʰo45"		
"著"	"着"	"co5"	"tsʰo45"	"着凉"	
"銼"	"锉"	"co5"	"tsʰo45"		
"錯"	"错"	"co5"	"tsʰo45"		
"鑿"	"凿"	"co5"	"tsʰo45"		
"齪"	"龊"	"co5"	"tsʰo45"		
"着"	"着"	"co5"	"tsʰo45"	"着凉"	
"充"	"充"	"cong1"	"tsʰoŋ13"		
"匆"	"匆"	"cong1"	"tsʰoŋ13"		
"囪"	"囱"	"cong1"	"tsʰoŋ13"		
"沖"	"冲"	"cong1"	"tsʰoŋ13"		
"聰"	"聪"	"cong1"	"tsʰoŋ13"		
"舂"	"舂"	"cong1"	"tsʰoŋ13"		
"蔥"	"葱"	"cong1"	"tsʰoŋ13"		
"蟲"	"虫"	"cong1"	"tsʰoŋ11"		
"衝"	"冲"	"cong1"	"tsʰoŋ13"		
"叢"	"丛"	"cong2"	"tsʰoŋ11"		
"崇"	"崇"	"cong2"	"tsʰoŋ11"		
"從"	"从"	"cong2"	"tsʰoŋ11"		
"重"	"重"	"cong2"	"tsʰoŋ11"		
"寵"	"宠"	"cong3"	"tsʰoŋ21"		
"初"	"初"	"cou1"	"tsʰəu13"		
"抽"	"抽"	"cou1"	"tsʰəu13"		
"粗"	"粗"	"cou1"	"tsʰəu13"		
"謅"	"诌"	"cou1"	"tsʰəu13"		
"搊"	"搊"	"cou1"	"tsʰəu13"	"抬起"	
"愁"	"愁"	"cou2"	"tsʰəu11"		
"族"	"族"	"cou2"	"tsʰəu11"	"老"	
"滁"	"滁"	"cou2"	"tsʰəu11"		
"畜"	"畜"	"cou2"	"tsʰəu11"	"畜生"	
"疇"	"畴"	"cou2"	"tsʰəu11"		
"稠"	"稠"	"cou2"	"tsʰəu11"		
"籌"	"筹"	"cou2"	"tsʰəu11"		
"綢"	"绸"	"cou2"	"tsʰəu11"		
"躇"	"躇"	"cou2"	"tsʰəu11"		
"躊"	"踌"	"cou2"	"tsʰəu11"		
"酬"	"酬"	"cou2"	"tsʰəu11"		
"鋤"	"锄"	"cou2"	"tsʰəu11"		
"雛"	"雏"	"cou2"	"tsʰəu11"		
"丑"	"丑"	"cou3"	"tsʰəu21"		
"儲"	"储"	"cou3"	"tsʰəu21"		
"楚"	"楚"	"cou3"	"tsʰəu21"		
"礎"	"础"	"cou3"	"tsʰəu21"		
"貯"	"贮"	"cou3"	"tsʰəu21"		
"醜"	"丑"	"cou3"	"tsʰəu21"		
"促"	"促"	"cou5"	"tsʰəu45"		
"助"	"助"	"cou5"	"tsʰəu45"	"老"	
"湊"	"凑"	"cou5"	"tsʰəu45"	"文"	
"矗"	"矗"	"cou5"	"tsʰəu45"		
"祝"	"祝"	"cou5"	"tsʰəu45"		
"臭"	"臭"	"cou5"	"tsʰəu45"		
"觸"	"触"	"cou5"	"tsʰəu45"	"觸動"	
"醋"	"醋"	"cou5"	"tsʰəu45"		
"剷"	"铲"	"cuan3"	"tsʰuan21"		
"爨"	"爨"	"cuan5"	"tsʰuan45"		
"竄"	"窜"	"cuan5"	"tsʰuan45"		
"篡"	"篡"	"cuan5"	"tsʰuan45"		
"搭"	"搭"	"da2"	"ta11"		
"搭"	"搭"	"da2"	"ta11"		
"撻"	"挞"	"da2"	"ta11"		
"瘩"	"瘩"	"da2"	"ta11"		
"答"	"答"	"da2"	"ta11"		
"誻"	"誻"	"da2"	"ta11"		
"跶"	"跶"	"da2"	"ta11"	"摔到"	
"跌"	"跌"	"da2"	"ta11"	"白读，同“跶”"	
"踏"	"踏"	"da2"	"ta11"		
"達"	"达"	"da2"	"ta11"		
"韃"	"鞑"	"da2"	"ta11"		
"打"	"打"	"da3"	"ta21"		
"大"	"大"	"da5"	"ta45"		
"大"	"大"	"da5"	"ta45"		
"歹"	"歹"	"dai3"	"tai21"		
"逮"	"逮"	"dai3"	"tai21"		
"代"	"代"	"dai5"	"tai45"		
"岱"	"岱"	"dai5"	"tai45"		
"帶"	"带"	"dai5"	"tai45"		
"待"	"待"	"dai5"	"tai45"		
"怠"	"怠"	"dai5"	"tai45"		
"戴"	"戴"	"dai5"	"tai45"		
"殆"	"殆"	"dai5"	"tai45"		
"汏"	"汏"	"dai5"	"tai45"		
"玳"	"玳"	"dai5"	"tai45"		
"袋"	"袋"	"dai5"	"tai45"		
"貸"	"贷"	"dai5"	"tai45"		
"黛"	"黛"	"dai5"	"tai45"		
"丹"	"丹"	"dan1"	"tan13"		
"單"	"单"	"dan1"	"tan13"		
"擔"	"担"	"dan1"	"tan13"		
"耽"	"耽"	"dan1"	"tan13"		
"撣"	"掸"	"dan2"	"tan11"	"几掸掸"	
"展"	"展"	"dan3"	"tan21"	"白，展开"	
"膽"	"胆"	"dan3"	"tan21"		
"但"	"但"	"dan5"	"tan45"		
"彈"	"弹"	"dan5"	"tan45"		
"憚"	"惮"	"dan5"	"tan45"		
"擔"	"担"	"dan5"	"tan45"		
"旦"	"旦"	"dan5"	"tan45"		
"氮"	"氮"	"dan5"	"tan45"		
"淡"	"淡"	"dan5"	"tan45"		
"蛋"	"蛋"	"dan5"	"tan45"		
"誕"	"诞"	"dan5"	"tan45"		
"噹"	"当"	"dang1"	"taŋ13"		
"檔"	"档"	"dang1"	"taŋ13"		
"當"	"当"	"dang1"	"taŋ13"		
"擋"	"挡"	"dang3"	"taŋ21"		
"黨"	"党"	"dang3"	"taŋ21"		
"擋"	"挡"	"dang5"	"taŋ45"	"挡路"	
"當"	"当"	"dang5"	"taŋ45"		
"盪"	"荡"	"dang5"	"taŋ45"		
"蕩"	"荡"	"dang5"	"taŋ45"		
"刀"	"刀"	"dao1"	"tau13"		
"倒"	"倒"	"dao3"	"tau21"		
"搗"	"捣"	"dao3"	"tau21"		
"禱"	"祷"	"dao3"	"tau21"		
"著"	"著"	"dao3"	"tau21"	"等着"	
"倒"	"倒"	"dao5"	"tau45"		
"到"	"到"	"dao5"	"tau45"		
"導"	"导"	"dao5"	"tau45"		
"島"	"岛"	"dao5"	"tau45"		
"悼"	"悼"	"dao5"	"tau45"		
"盜"	"盗"	"dao5"	"tau45"		
"稻"	"稻"	"dao5"	"tau45"		
"道"	"道"	"dao5"	"tau45"		
"車"	"车"	"de1"	"te13"	"白"	
"得"	"得"	"de2"	"te11"		
"德"	"德"	"de2"	"te11"		
"堆"	"堆"	"dei1"	"təi13"		
"兌"	"兑"	"dei5"	"təi45"		
"對"	"对"	"dei5"	"təi45"		
"遞"	"递"	"dei5"	"təi45"	"白读"	
"隊"	"队"	"dei5"	"təi45"		
"墩"	"墩"	"den1"	"tən13"		
"敦"	"敦"	"den1"	"tən13"		
"燈"	"灯"	"den1"	"tən13"		
"登"	"登"	"den1"	"tən13"		
"蹲"	"蹲"	"den1"	"tən13"		
"盹"	"盹"	"den3"	"tən21"		
"等"	"等"	"den3"	"tən21"		
"凳"	"凳"	"den5"	"ten45"		
"噸"	"吨"	"den5"	"ten45"		
"沌"	"沌"	"den5"	"ten45"		
"燉"	"炖"	"den5"	"ten45"		
"盾"	"盾"	"den5"	"ten45"		
"瞪"	"瞪"	"den5"	"ten45"		
"蹬"	"蹬"	"den5"	"ten45"		
"遁"	"遁"	"den5"	"ten45"		
"鄧"	"邓"	"den5"	"ten45"		
"鈍"	"钝"	"den5"	"ten45"		
"頓"	"顿"	"den5"	"ten45"		
"飩"	"饨"	"den5"	"ten45"		
"𤢈"	"𤢈"	"den5"	"tən45"	"狗咬"	
"低"	"低"	"di1"	"ti13"		
"堤"	"堤"	"di1"	"ti13"		
"嘀"	"嘀"	"di2"	"ti11"		
"嫡"	"嫡"	"di2"	"ti11"		
"急"	"急"	"di2"	"ti11"	"白读，急忙"	
"敵"	"敌"	"di2"	"ti11"		
"滌"	"涤"	"di2"	"ti11"		
"滴"	"滴"	"di2"	"ti11"		
"狄"	"狄"	"di2"	"ti11"		
"的"	"的"	"di2"	"ti11"		
"笛"	"笛"	"di2"	"ti11"		
"糴"	"籴"	"di2"	"ti11"		
"翟"	"翟"	"di2"	"ti11"		
"迪"	"迪"	"di2"	"ti11"		
"底"	"底"	"di3"	"ti21"		
"抵"	"抵"	"di3"	"ti21"		
"牴"	"抵"	"di3"	"ti21"		
"邸"	"邸"	"di3"	"ti21"		
"地"	"地"	"di5"	"ti45"		
"娣"	"娣"	"di5"	"ti45"		
"弟"	"弟"	"di5"	"ti45"		
"渧"	"渧"	"di5"	"ti45"		
"第"	"第"	"di5"	"ti45"		
"締"	"缔"	"di5"	"ti45"		
"蒂"	"蒂"	"di5"	"ti45"		
"諦"	"谛"	"di5"	"ti45"		
"遞"	"递"	"di5"	"ti45"	"文读"	
"爹"	"爹"	"dia1"	"tia13"		
"巔"	"巅"	"dian1"	"tien13"		
"掂"	"掂"	"dian1"	"tien13"		
"滇"	"滇"	"dian1"	"tien13"		
"癲"	"癫"	"dian1"	"tien13"		
"典"	"典"	"dian3"	"tien21"		
"玷"	"玷"	"dian3"	"tien21"		
"碘"	"碘"	"dian3"	"tien21"		
"腆"	"腆"	"dian3"	"tien21"		
"點"	"点"	"dian3"	"tien21"		
"佃"	"佃"	"dian5"	"tien45"		
"墊"	"垫"	"dian5"	"tien45"		
"奠"	"奠"	"dian5"	"tien45"		
"店"	"店"	"dian5"	"tien45"		
"惦"	"惦"	"dian5"	"tien45"		
"殿"	"殿"	"dian5"	"tien45"		
"澱"	"淀"	"dian5"	"tien45"		
"甸"	"甸"	"dian5"	"tien45"		
"電"	"电"	"dian5"	"tien45"		
"靛"	"靛"	"dian5"	"tien45"		
"掂"	"掂"	"diang1"	"tiaŋ13"	"白讀"	
"凋"	"凋"	"diao1"	"tiau13"		
"刁"	"刁"	"diao1"	"tiau13"		
"叼"	"叼"	"diao1"	"tiau13"		
"彫"	"雕"	"diao1"	"tiau13"		
"挑"	"挑"	"diao1"	"tiau13"	"白，挑颈"	
"碉"	"碉"	"diao1"	"tiau13"		
"貂"	"貂"	"diao1"	"tiau13"		
"雕"	"雕"	"diao1"	"tiau13"		
"鵰"	"鵰"	"diao1"	"tiau13"		
"吊"	"吊"	"diao5"	"tiau45"		
"弔"	"吊"	"diao5"	"tiau45"		
"掉"	"掉"	"diao5"	"tiau45"		
"調"	"调"	"diao5"	"tiau45"		
"釣"	"钓"	"diao5"	"tiau45"		
"喋"	"喋"	"die2"	"tie11"		
"牒"	"牒"	"die2"	"tie11"		
"疊"	"迭"	"die2"	"tie11"		
"疊"	"叠"	"die2"	"tie11"		
"碟"	"碟"	"die2"	"tie11"		
"蝶"	"蝶"	"die2"	"tie11"		
"諜"	"谍"	"die2"	"tie11"		
"跌"	"跌"	"die2"	"tie11"		
"迭"	"迭"	"die2"	"tie11"		
"丁"	"丁"	"din1"	"tin13"		
"叮"	"叮"	"din1"	"tin13"		
"盯"	"盯"	"din1"	"tin13"		
"釘"	"钉"	"din1"	"tin13"		
"頂"	"顶"	"din3"	"tin21"		
"鼎"	"鼎"	"din3"	"tin21"		
"定"	"定"	"din5"	"tin45"		
"訂"	"订"	"din5"	"tin45"		
"釘"	"钉"	"din5"	"tin45"		
"錠"	"锭"	"din5"	"tin45"		
"丟"	"丢"	"diu1"	"tiəu13"		
"哆"	"哆"	"do1"	"to13"		
"多"	"多"	"do1"	"to13"		
"咄"	"咄"	"do2"	"to11"		
"奪"	"夺"	"do2"	"to11"		
"戳"	"戳"	"do2"	"to11"	"白读"	
"掇"	"掇"	"do2"	"to11"		
"踱"	"踱"	"do2"	"to11"		
"鐸"	"铎"	"do2"	"to11"		
"哚"	"哚"	"do3"	"to21"		
"垛"	"垛"	"do3"	"to21"		
"朵"	"朵"	"do3"	"to21"		
"朶"	"朶"	"do3"	"to21"		
"躲"	"躲"	"do3"	"to21"		
"剁"	"剁"	"do5"	"to45"		
"墮"	"堕"	"do5"	"to45"		
"惰"	"惰"	"do5"	"to45"		
"跺"	"跺"	"do5"	"to45"		
"冬"	"冬"	"dong1"	"toŋ13"		
"咚"	"咚"	"dong1"	"toŋ13"		
"東"	"东"	"dong1"	"toŋ13"		
"鼕"	"冬"	"dong1"	"toŋ13"		
"湩"	"湩"	"dong2"	"toŋ11"	"浑浊"	
"懂"	"懂"	"dong3"	"toŋ21"		
"董"	"董"	"dong3"	"toŋ21"		
"侗"	"侗"	"dong5"	"toŋ45"		
"凍"	"冻"	"dong5"	"toŋ45"		
"動"	"动"	"dong5"	"toŋ45"		
"恫"	"恫"	"dong5"	"toŋ45"		
"棟"	"栋"	"dong5"	"toŋ45"		
"洞"	"洞"	"dong5"	"toŋ45"		
"腖"	"胨"	"dong5"	"toŋ45"		
"兜"	"兜"	"dou1"	"təu13"		
"嘟"	"嘟"	"dou1"	"təu13"		
"株"	"株"	"dou1"	"təu13"	"白，颗"	
"督"	"督"	"dou1"	"təu13"	"监督"	
"都"	"都"	"dou1"	"təu13"		
"櫝"	"椟"	"dou2"	"təu11"		
"毒"	"毒"	"dou2"	"təu11"		
"瀆"	"渎"	"dou2"	"təu11"		
"牘"	"牍"	"dou2"	"təu11"		
"犢"	"犊"	"dou2"	"təu11"		
"獨"	"独"	"dou2"	"təu11"		
"督"	"督"	"dou2"	"təu11"	"督促"	
"篤"	"笃"	"dou2"	"təu11"		
"讀"	"读"	"dou2"	"təu11"		
"黷"	"黩"	"dou2"	"təu11"		
"堵"	"堵"	"dou3"	"təu21"		
"抖"	"抖"	"dou3"	"təu21"	"文"	
"斗"	"斗"	"dou3"	"təu21"		
"睹"	"睹"	"dou3"	"təu21"		
"肚"	"肚"	"dou3"	"təu21"	"猪肚"	
"肚"	"肚"	"dou3"	"təu21"		
"蚪"	"蚪"	"dou3"	"təu21"		
"賭"	"赌"	"dou3"	"təu21"		
"陡"	"陡"	"dou3"	"təu21"		
"妒"	"妒"	"dou5"	"təu45"		
"就"	"就"	"dou5"	"təu45"	"白"	
"度"	"度"	"dou5"	"təu45"		
"杜"	"杜"	"dou5"	"təu45"		
"渡"	"渡"	"dou5"	"təu45"		
"湊"	"凑"	"dou5"	"təu45"	"白读"	
"痘"	"痘"	"dou5"	"təu45"		
"竇"	"窦"	"dou5"	"təu45"		
"肚"	"肚"	"dou5"	"təu45"	"肚皮"	
"讀"	"读"	"dou5"	"təu45"		
"豆"	"豆"	"dou5"	"təu45"		
"逗"	"逗"	"dou5"	"təu45"		
"都"	"都"	"dou5"	"təu45"	"破音"	
"鍍"	"镀"	"dou5"	"təu45"		
"鬥"	"斗"	"dou5"	"təu45"		
"鬭"	"斗"	"dou5"	"təu45"		
"端"	"端"	"duan1"	"tuan13"		
"斷"	"断"	"duan3"	"tuan21"	"断车，断人"	
"短"	"短"	"duan3"	"tuan21"		
"斷"	"断"	"duan5"	"tuan45"		
"段"	"段"	"duan5"	"tuan45"		
"緞"	"缎"	"duan5"	"tuan45"		
"鍛"	"锻"	"duan5"	"tuan45"		
"嗯"	"嗯"	"en1"	"ʔən13"		
"化"	"化"	"fa1"	"fa13"	"怀化"	
"嘩"	"哗"	"fa1"	"fa13"		
"花"	"花"	"fa1"	"fa13"		
"譁"	"哗"	"fa1"	"fa13"		
"髮"	"发"	"fa1"	"fa13"		
"乏"	"乏"	"fa2"	"fa11"		
"伐"	"伐"	"fa2"	"fa11"		
"劃"	"划"	"fa2"	"fa11"		
"嘩"	"哗"	"fa2"	"fa11"		
"垡"	"垡"	"fa2"	"fa11"		
"法"	"法"	"fa2"	"fa11"		
"滑"	"滑"	"fa2"	"fa11"		
"猾"	"猾"	"fa2"	"fa11"		
"琺"	"珐"	"fa2"	"fa11"		
"發"	"发"	"fa2"	"fa11"		
"筏"	"筏"	"fa2"	"fa11"		
"罰"	"罚"	"fa2"	"fa11"		
"華"	"华"	"fa2"	"fa11"		
"譁"	"哗"	"fa2"	"fa11"		
"閥"	"阀"	"fa2"	"fa11"		
"划"	"划"	"fa5"	"fa45"		
"劃"	"划"	"fa5"	"fa45"		
"化"	"化"	"fa5"	"fa45"		
"樺"	"桦"	"fa5"	"fa45"		
"畫"	"画"	"fa5"	"fa45"		
"畫"	"画"	"fa5"	"fa45"		
"話"	"话"	"fa5"	"fa45"		
"懷"	"怀"	"fai2"	"fai11"		
"槐"	"槐"	"fai2"	"fai11"		
"淮"	"淮"	"fai2"	"fai11"		
"坏"	"坏"	"fai5"	"fai45"		
"壞"	"坏"	"fai5"	"fai45"		
"帆"	"帆"	"fan1"	"fan13"	"帆船"	
"歡"	"欢"	"fan1"	"fan13"		
"番"	"番"	"fan1"	"fan13"		
"翻"	"翻"	"fan1"	"fan13"		
"藩"	"藩"	"fan1"	"fan13"		
"瀿"	"瀿"	"fan1"	"fan1"	"水溢"	
"凡"	"凡"	"fan2"	"fan11"		
"帆"	"帆"	"fan2"	"fan11"	"帆布袋"	
"桓"	"桓"	"fan2"	"fan11"		
"樊"	"樊"	"fan2"	"fan11"		
"煩"	"烦"	"fan2"	"fan11"		
"環"	"环"	"fan2"	"fan11"		
"礬"	"矾"	"fan2"	"fan11"		
"繁"	"繁"	"fan2"	"fan11"		
"還"	"还"	"fan2"	"fan11"		
"釩"	"钒"	"fan2"	"fan11"		
"反"	"反"	"fan3"	"fan21"		
"緩"	"缓"	"fan3"	"fan21"		
"返"	"返"	"fan3"	"fan21"		
"遠"	"远"	"fan3"	"fan21"		
"阪"	"阪"	"fan3"	"fan21"		
"阪"	"坂"	"fan3"	"fan21"		
"喚"	"唤"	"fan5"	"fan45"		
"宦"	"宦"	"fan5"	"fan45"		
"幻"	"幻"	"fan5"	"fan45"		
"患"	"患"	"fan5"	"fan45"		
"換"	"换"	"fan5"	"fan45"		
"擐"	"擐"	"fan5"	"fan45"		
"梵"	"梵"	"fan5"	"fan45"		
"氾"	"泛"	"fan5"	"fan45"		
"泛"	"泛"	"fan5"	"fan45"		
"渙"	"涣"	"fan5"	"fan45"		
"煥"	"焕"	"fan5"	"fan45"		
"犯"	"犯"	"fan5"	"fan45"		
"畈"	"畈"	"fan5"	"fan45"		
"瘓"	"痪"	"fan5"	"fan45"		
"範"	"范"	"fan5"	"fan45"		
"范"	"范"	"fan5"	"fan45"		
"豢"	"豢"	"fan5"	"fan45"		
"販"	"贩"	"fan5"	"fan45"		
"飯"	"饭"	"fan5"	"fan45"		
"匚"	"匚"	"fang1"	"faŋ13"		
"坊"	"坊"	"fang1"	"faŋ13"		
"方"	"方"	"fang1"	"faŋ13"		
"肓"	"肓"	"fang1"	"faŋ13"		
"芳"	"芳"	"fang1"	"faŋ13"		
"荒"	"荒"	"fang1"	"faŋ13"		
"妨"	"妨"	"fang2"	"faŋ11"		
"彷"	"彷"	"fang2"	"faŋ11"		
"徨"	"徨"	"fang2"	"faŋ11"		
"徬"	"彷"	"fang2"	"faŋ11"		
"惶"	"惶"	"fang2"	"faŋ11"		
"房"	"房"	"fang2"	"faŋ11"		
"煌"	"煌"	"fang2"	"faŋ11"		
"磺"	"磺"	"fang2"	"faŋ11"		
"簧"	"簧"	"fang2"	"faŋ11"		
"肪"	"肪"	"fang2"	"faŋ11"		
"蝗"	"蝗"	"fang2"	"faŋ11"		
"蟥"	"蟥"	"fang2"	"faŋ11"		
"防"	"防"	"fang2"	"faŋ11"		
"隍"	"隍"	"fang2"	"faŋ11"		
"黃"	"黄"	"fang2"	"faŋ11"		
"仿"	"仿"	"fang3"	"fang21"		
"倣"	"仿"	"fang3"	"fang21"		
"幌"	"幌"	"fang3"	"faŋ21"		
"恍"	"恍"	"fang3"	"faŋ21"		
"慌"	"慌"	"fang3"	"faŋ21"		
"晃"	"晃"	"fang3"	"faŋ21"		
"紡"	"纺"	"fang3"	"faŋ21"		
"訪"	"访"	"fang3"	"faŋ21"		
"詤"	"詤"	"fang3"	"faŋ21"		
"謊"	"谎"	"fang3"	"faŋ21"		
"放"	"放"	"fang5"	"faŋ45"		
"晃"	"晃"	"fang5"	"faŋ45"	"新晃"	
"或"	"或"	"fe2"	"fe11"	"白读"	
"啡"	"啡"	"fei1"	"fəi13"		
"妃"	"妃"	"fei1"	"fəi13"		
"徽"	"徽"	"fei1"	"fəi13"		
"恢"	"恢"	"fei1"	"fəi13"		
"扉"	"扉"	"fei1"	"fəi13"		
"揮"	"挥"	"fei1"	"fəi13"		
"灰"	"灰"	"fei1"	"fəi13"		
"痱"	"痱"	"fei1"	"fəi13"		
"緋"	"绯"	"fei1"	"fəi13"		
"菲"	"菲"	"fei1"	"fəi13"		
"詼"	"诙"	"fei1"	"fəi13"		
"輝"	"辉"	"fei1"	"fəi13"		
"非"	"非"	"fei1"	"fəi13"		
"飛"	"飞"	"fei1"	"fəi13"		
"回"	"回"	"fei2"	"fəi11"		
"徊"	"徊"	"fei2"	"fəi11"		
"洄"	"洄"	"fei2"	"fəi11"		
"肥"	"肥"	"fei2"	"fəi11"		
"茴"	"茴"	"fei2"	"fəi11"		
"蛔"	"蛔"	"fei2"	"fəi11"		
"迴"	"回"	"fei2"	"fəi11"		
"匪"	"匪"	"fei3"	"fəi21"		
"悔"	"悔"	"fei3"	"fəi21"		
"毀"	"毁"	"fei3"	"fəi21"		
"燬"	"毁"	"fei3"	"fəi21"		
"誨"	"诲"	"fei3"	"fəi21"		
"誹"	"诽"	"fei3"	"fəi21"		
"匯"	"汇"	"fei5"	"fəi45"		
"卉"	"卉"	"fei5"	"fəi45"		
"吠"	"吠"	"fei5"	"fəi45"		
"喙"	"喙"	"fei5"	"fəi45"		
"廢"	"废"	"fei5"	"fəi45"		
"彗"	"彗"	"fei5"	"fəi45"		
"彙"	"汇"	"fei5"	"fəi45"		
"惠"	"惠"	"fei5"	"fəi45"		
"慧"	"慧"	"fei5"	"fəi45"		
"晦"	"晦"	"fei5"	"fəi45"		
"會"	"会"	"fei5"	"fəi45"		
"沸"	"沸"	"fei5"	"fəi45"		
"燴"	"烩"	"fei5"	"fəi45"		
"狒"	"狒"	"fei5"	"fəi45"		
"疿"	"疿"	"fei5"	"fəi45"		
"穗"	"穗"	"fei5"	"fəi45"		
"穢"	"秽"	"fei5"	"fəi45"		
"繪"	"绘"	"fei5"	"fəi45"		
"肺"	"肺"	"fei5"	"fəi45"		
"薈"	"荟"	"fei5"	"fəi45"		
"諱"	"讳"	"fei5"	"fəi45"		
"費"	"费"	"fei5"	"fəi45"		
"費"	"费"	"fei5"	"fəi45"		
"賄"	"贿"	"fei5"	"fəi45"		
"分"	"分"	"fen1"	"fən13"		
"吩"	"吩"	"fen1"	"fən13"		
"婚"	"婚"	"fen1"	"fən13"		
"昏"	"昏"	"fen1"	"fən13"		
"紛"	"纷"	"fen1"	"fən13"		
"芬"	"芬"	"fen1"	"fən13"		
"葷"	"荤"	"fen1"	"fən13"		
"酚"	"酚"	"fen1"	"fən13"		
"雰"	"雰"	"fen1"	"fən13"		
"墳"	"坟"	"fen2"	"fən11"		
"橫"	"横"	"fen2"	"fən11"	"白读"	
"汾"	"汾"	"fen2"	"fən11"		
"渾"	"浑"	"fen2"	"fən11"	"文读"	
"焚"	"焚"	"fen2"	"fən11"		
"餛"	"馄"	"fen2"	"fən11"	"文读"	
"魂"	"魂"	"fen2"	"fən11"		
"粉"	"粉"	"fen3"	"fən21"		
"份"	"份"	"fen5"	"fən45"		
"奮"	"奋"	"fen5"	"fən45"		
"忿"	"忿"	"fen5"	"fən45"		
"憤"	"愤"	"fen5"	"fən45"		
"氛"	"氛"	"fen5"	"fən45"		
"混"	"混"	"fen5"	"fən45"		
"渾"	"浑"	"fen5"	"fən45"	"混蛋"	
"糞"	"粪"	"fen5"	"fən45"		
"浮"	"浮"	"fou2"	"fəu11"	"老"	
"否"	"否"	"fou3"	"fəu21"		
"缶"	"缶"	"fou3"	"fəu21"		
"乎"	"乎"	"fu1"	"fu13"		
"伕"	"夫"	"fu1"	"fu13"		
"呼"	"呼"	"fu1"	"fu13"		
"呼"	"唿"	"fu1"	"fu13"		
"夫"	"夫"	"fu1"	"fu13"		
"扶"	"扶"	"fu1"	"fu13"	"白，让"	
"敷"	"敷"	"fu1"	"fu13"		
"膚"	"肤"	"fu1"	"fu13"		
"趺"	"趺"	"fu1"	"fu13"		
"麩"	"麸"	"fu1"	"fu13"		
"伏"	"伏"	"fu2"	"fu11"	"文读"	
"俘"	"俘"	"fu2"	"fu11"		
"囫"	"囫"	"fu2"	"fu11"		
"壺"	"壶"	"fu2"	"fu11"		
"孵"	"孵"	"fu2"	"fu11"		
"幅"	"幅"	"fu2"	"fu11"		
"弗"	"弗"	"fu2"	"fu11"		
"弧"	"弧"	"fu2"	"fu11"	"老"	
"彿"	"佛"	"fu2"	"fu11"		
"復"	"复"	"fu2"	"fu11"	"恢复，报复、重复"	
"忽"	"忽"	"fu2"	"fu11"		
"惚"	"惚"	"fu2"	"fu11"		
"扶"	"扶"	"fu2"	"fu11"		
"拂"	"拂"	"fu2"	"fu11"		
"斛"	"斛"	"fu2"	"fu11"		
"服"	"服"	"fu2"	"fu11"		
"氟"	"氟"	"fu2"	"fu11"		
"浮"	"浮"	"fu2"	"fu11"	"新"	
"涪"	"涪"	"fu2"	"fu11"		
"湖"	"湖"	"fu2"	"fu11"		
"狐"	"狐"	"fu2"	"fu11"		
"猢"	"猢"	"fu2"	"fu11"		
"瑚"	"瑚"	"fu2"	"fu11"		
"福"	"福"	"fu2"	"fu11"		
"符"	"符"	"fu2"	"fu11"		
"糊"	"糊"	"fu2"	"fu11"		
"糊"	"煳"	"fu2"	"fu11"		
"胡"	"胡"	"fu2"	"fu11"		
"芙"	"芙"	"fu2"	"fu11"		
"葫"	"葫"	"fu2"	"fu11"		
"蜉"	"蜉"	"fu2"	"fu11"		
"蝠"	"蝠"	"fu2"	"fu11"		
"蝴"	"蝴"	"fu2"	"fu11"		
"袱"	"袱"	"fu2"	"fu11"		
"複"	"复"	"fu2"	"fu11"		
"輻"	"辐"	"fu2"	"fu11"		
"醐"	"醐"	"fu2"	"fu11"		
"鬍"	"胡"	"fu2"	"fu11"		
"鳧"	"凫"	"fu2"	"fu11"		
"俯"	"俯"	"fu3"	"fu21"		
"府"	"府"	"fu3"	"fu21"		
"撫"	"抚"	"fu3"	"fu21"		
"斧"	"斧"	"fu3"	"fu21"		
