	注释：-白读，=文读
t	[55]弟{兄～姐妹，～子：弟弟}[42]池谍蝶□{□piɛ21～：（手）开裂}□{青～：鲇鱼}[33]地={～主}[24]碟={影～}牒{通～}秩跌{～□ku21：丢脸}
tʰ	[55]□{归拢、聚拢；拿开}□{拔拉（到桌面以外）}[22]啼{哭}[33]□{块：一～瓦；一～钱}[24]铁帖={字～，请～}
n	[42]你{原文“尔”}宜{便～}孽□{□ki55～：不错：挺好的}□{□kiẽĩ55～：怎么}[24]聂{姓}捏□{□ki55～的：什么样的；怎么样的}
l	[42]裂[22]篱{笊～}[33]例离{～开，～婚}[24]列烈□{角～子：椽}
ts	[55]支脂{胭～}芝{灵～，～城：地名}[21]姐-{表～}□{□kʰiɛ55～：顽皮}[22]祭{～祖}匙{锁～}[33]□{浸泡}[24]接捷哲折{存～；～扣（老派）}浙节={～约；守～}截={～肢}□{酒坛子}
tsʰ	[55]橛{𢫦～：打桩}□{～薯：扁形的山药}[42]妾{纳～}[22]砌[24]湿切{一～}
s	[55]撕曳□{鱼鳍}[22]世[24]谐携涉薛泄{～漏}设
k	[22]计{三十六～，～算}□{手残者}[24]劫杰揭结洁□{生气；讨厌}
kʰ	[55]□{～□tsiɛ21：顽皮}
ŋ	[55]掖{夹在腋下}[42]页业孽{做～：做冤家}□{捕猎用的夹子}
h	[55]穴{～道}协{～会}[24]□{～□tiɔŋ42：知道}
∅	[42]食{吃（动词），～斗头：打平伙}□{肏}[21]爷{老天～；老～}椅热[24]□{这么；这；～个：这个}□{□ke55～：这样}
#e	
p	[33]□{哑～：哑巴}
pʰ	[55]泡{鱼～；～子：泡泡}[21]否
m	[21]牡茉{～莉花}□{～□nɛ24子：老末儿}[22]猫茅[33]茂贸
t	[55]得{（动词），给：～你}[42]投□{骰子}[21]斗{一～米}[22]鬥{食～头：打平伙；～争}昼{食～：吃午饭}[33]豆{雪～：豌豆}逗痘脰{脖子}
tʰ	[55]偷[21]敨{～开，～气}[22]剃透头
n	[42]□{茬、桩；树～：树桩}[21]□{山窠～：山坳}
l	[55]□{抠（鼻子），挖，剜}[21]篓[22]楼[33]漏□{酒～子：酒提子}
ts	[55]糟{酒～}邹皱绉[42]愁[21]蚤走{跑}□{莲～：莲蓬}[22]宙骤{步～}灶奏□{均匀}□{底：瓯～，鼎～，碗～}□{～□pʰai21：屁股}
tsʰ	[21]巢{窝：燕～}[22]凑{～巧}臭{香～}
s	[55]叟老-{～嫲}[21]□{揎，掴（巴掌）}[22]嗽{咳～}扫{鸡毛～}
k	[55]镐{洋～}勾{𢫦～；～当}钩沟□{～□iɛ24：这样}[42]厚猴[21]垢{牙～}苟狗={奴～：男仆}虼{～蚤：跳蚤}笱{安在河中捕鱼的工具}[22]够{能～}□{～冰：结冰}□{牙～：牙杯}[33]购{统～}构{机～}[24]给{自～自足}
kʰ	[55]□{～人：巴结}[21]口[22]叩{～头}扣{～子}寇
ŋ	[21]藕偶{配～；～然}[33]□{歪，斜}
h	[55]後{～面}[33]后{皇～}候侯
