#符号说明	-白读音 =文读音  □本字不明  {}内容注释
#调值	[1]阴平21 [2]阳平35 [3]上声32 [5]阴去44 [6]阳去33 [7a]高阴入5 [8]阳入2 [7b]低阴入224
#ɿ	
ø	[1]衣伊依咿医[2]仪夷姨宜彝怡爷={叔父}疑移胰遗[3]以倚已椅矣蚁=□{食物绵软没有弹性}[5]异=亿意忆癔缢薏[6]易曳毅异-义艺谊议
#ʋ̩	
p	[2]□{拟声词}[3]補补[5]佈布怖
pʰ	[1]孵潽{液体沸腾溢出}□{扇动}铺铺埠{堤岸上供上下海的缺口，通道，后演变为聚落集市}[2]匍脯莆菩葡蒲{~芹}浮-{~水}[3]哺圃埔捕普浦溥甫脯谱辅附-{香~子：一种植物}[5]铺{简陋的床}[6]伏{鸡~窝}埠步簿部父-{父亲面称}
f	[1]夫伕俘敷稃肤衭麸咐[2]巫扶浮=符芙蜉诬凫[3]俯府抚斧腐腑釜{~㔶：锅盖}父{渔~}[5]付傅副富讣负赋赴[6]妇父=附=驸副{一~}
t	[1]都嘟[2]□{~拟声词，物体上升}[3]堵睹肚赌[5]妒
tʰ	[2]图涂屠徒荼途[3]土吐[5]兔[6]度杜渡肚镀
n	[2]奴孥驽[3]努弩[6]怒
l	[1]噜[2]芦庐摅泸炉卢颅鲈鸬[3]乳{~胶漆}掳橹虏镥鲁卤蕊-{花~}[5]那-{~个}[6]赂路露鹭
ts	[1]租[3]祖组阻
tsʰ	[1]粗[5]措醋
s	[1]苏稣酥[5]嗉塑溯素诉
tʂ	[1]猪侏朱株珠蛛诛诸铢[3]主拄煮[5]注疰著蛀注贮铸驻
tʂʰ	[1]初刍[2]橱滁蜍锄除雏[3]储暑杵楚础处褚鼠[5]处[6]住助柱箸{~笼}柱苎{~麻}
ʂ	[1]舒抒书梳枢毹疏蔬输[2]殊{特~}[3]数署薯黍[5]庶恕戍数殊漱[6]墅树竖柱{~棵：柱子}
ʐ	[2]如儒孺濡茹蠕[3]乳汝
k	[1]姑咕孤箍菇菰蛄辜□{牙~：讲话不清}[2]咕{拟声词}[3]估古股鼓[5]雇固故锢雇顾
kʰ	[1]枯骷[2]糊-{口齿不清}𦙶{涨起、凸起}喖{气～～：生气}[3]苦[5]库裤
x	[1]呼乎[2]□{来~：打长牌}壶弧湖狐猢瑚糊=胡=葫蝴[3]浒{水~}琥虎[5]□{手臂挥舞}[6]互户=扈沪瓠=糊护=□{往地上随意扔}
ø	[1]乌呜污邬钨[2]吴吾唔梧无胡-{~蜂}芜蜈[3]五仵伍侮午捂武舞鹉[5]恶焐雾[6]务寤悟戊户-{~槛}晤瓠-{~子}误护-{~短}
#yᶨ	
ȵ	[3]女
l	[2]驴榈闾{姓}[3]侣吕旅缕铝偻履褛膂[6]虑滤
tɕ	[1]车{~马炮}居=拘驹[3]咀嘴沮矩举[5]俱具=句=惧据醉锯=
tɕʰ	[1]催-崔-摧-区岖蛆趋躯驱[2]徐-渠瞿衢随-{~你}齐-{~人：好看}[3]取娶[5]去=脆-趣砌-{~墙}[6]具-句-巨序{字~}拒叙炬穗绪罪聚距遂荠-{~菜}剂-{一~药}
ɕ	[1]尿{~素}嘘墟荽虚需须西-{~瓜}吁{气喘~~}[2]徐=[3]浒{~澪}许=[5]婿=序=岁-煦碎-絮酗细-{小}
ø	[1]於{姓}淤瘀迂[2]于余俞围-{~腰儿}娱愉愚于榆渔瑜盂臾虞逾余鱼圩-{~田}猬{刺~}[3]予宇禹羽与语雨[5]餧{~奶}[6]喻寓御愈玉=御吁芋裕谕誉豫遇预驭
#ɛ	
p	[2]拜=[3]摆[5]拜□{不要}
pʰ	[1]□{感叹词}□{不要}[2]俳排牌[5]派湃[6]败稗{~草}
m	[2]埋[3]买晚-{~后朝}[5]卖迈
ʋ̩	[1]歪=[2]怀-{~里}[3]崴[6]外□{河蚌}
t	[1]呆[3]傣歹逮[5]带戴
tʰ	[1]胎苔拖-{下垂}[2]抬台苔薹跆[3]大-{~细}[5]太态汰泰[6]代大-{~斧}待怠汏袋=贷逮黛
n	[1]奶{~子}[3]乃奶艿[6]奈耐
l	[2]来=[3]咧[6]擸濑癞籁赖俫{我~：我们}
ts	[1]灾哉栽=[3]宰崽载[5]再载
tsʰ	[1]猜[2]才材裁财[3]彩采睬踩=[5]菜蔡刬{全，都}[6]在载-
s	[1]鳃揌腮=[5]塞赛
tʂ	[1]斋[3]者[5]债寨
tʂʰ	[1]钗[2]豺[5]虿
ʂ	[1]筛[2]柴[5]晒舍={宿~}[6]社=
k	[1]街㨟{使移动}垓枷{连~：农具，常用于打黄豆}秸街该赅陔阶-皆-居-{拥有}[3]改解-{~结}[5]丐介-届-械-戒诫-概溉界-疥盖钙解{押~}解{锯}锯-{~子}
kʰ	[1]开揩[3]䬵{打嗝}凯恺慨楷铠[5]隑{倚靠}
ŋ	[1]挨哀唉埃[2]呆{~板}挨皑[3]毐矮蔼霭[5]爱暧瑷隘艾=[5]砹碍艾-
x	[1]□{感叹词表意外}桸{料~：捕鱼的网兜}[2]孩谐-还鞋骸[3]海蟹[5]许-{哪~：哪里}[6]亥害氦骇懈-{~怠}解{姓}
ø	[1]哎[5]爱
#iɛ	
tɕ	[1]阶=皆=[3]解=[5]介=届=械=界=诫=
tɕʰ	[3]且=
ɕ	[2]携=谐=[3]写=[5]懈=
ø	[3]也=[5]液
#uɛ	
k	[1]乖[3]拐[5]怪
kʰ	[2]块{~钱}[3]擓[5]块快筷[6]擓{拎，提}
x	[1]竵{不正}[2]怀=槐淮踝[6]坏
ts	[1]栽-{失足}[5]啐
tsʰ	[3]踩-
tʂ	[3]跩[5]拽㧳{拄着}
tʂʰ	[1]揣搋{~酵：以拳使劲揿揉发酵面团}[3]揣[5]踹
ʂ	[1]摔衰[3]甩[5]帅率
#a	
p	[1]扒吧巴疤笆粑芭[3]㞎把靶[5]坝欛爸霸[6]叭
pʰ	[1]趴葩[2]扒掱爬琶筢耙螃[5]帕怕[6]罢
m	[1]妈[2]嘛麻蟆麻[3]玛码蚂马[6]骂
ʋ̩	[1]□{扣}哇洼蛙[2]划-{~船}娃[3]搲{用瓢~米}瓦[5]凹洼[6]画-划-{~玻璃}
t	[1]咑[3]打[5]大=
tʰ	[1]他她它
n	[1]南{~无啊弥陀佛}[2]拿[3]哪=[5]那=[6]娜
l	[1]拉啦垃[2]□{屎尿遗身，~尿：尿床}哪{~个}[3]哪
s	[3]洒
ts	[3]咋
tʂ	[1]遮喳奓查楂渣碴挓{张开手指，嘴巴}[3]□{舞~：横七竖八，杂乱}砟[5]吒榨蔗蚱诈
tʂʰ	[1]车叉差杈蛼{～螯：文蛤}[2]搽{抹：~粉}查茬茶[3]扯[5]岔诧
ʂ	[1]沙奢痧砂纱莎裟赊鲨[2]佘蛇[3]傻捨{~不得}[5]厦嗄{~喉咙}舍-赦□{耳~儿：耳屎}[6]射{~箭}社-
ʐ	[2]蘘（~荷）
k	[1]家-伽-加-痂袈傢-{~伙}[2]嘎{拟声词}[3]玍{~古}[5]尬架{~子}界{不搭~}稼-驾-
kʰ	[1]咖抲{硬塞}[2]□{~蹦：大腿根部}□{~嗓子：咽喉部不适}骑{强占、跨}[3]卡[5]揢{掐对方脖子}
x	[1]虾{麻~儿雨}哈颬{用手指挠痒痒}𨉣{驼背}㗇{喘气}[2]瘕{~虚：傻瓜}[3]□{糊涂：~儿糊儿}[6]下
ŋ	[1]桠丫-吖鸦挜{硬塞}腌{~臜}哑{呕~}[2]伢牙芽蚜庌{门漏缝}睚[3]哑[5]垩{施肥}掗[6]枒{瓜果等的一瓣}閕{缺口}砑{碾、压}
ø	[1]阿[2]啊{感叹词}[5]阿{~姨：新派文读}
#ia	
p	[1]□{眼睛斜视着看人：眼睛~阿~的}啪{拟声词}
pʰ	[1]啪{拟声词}[6]□{掌击的拟声词}
m	[1]乜{眯着眼睛斜视}咩{羊叫声}[2]𥄲{醉过去了或小睡一会}
t	[1]爹[3]嗲{发~}
n	[3]□{你家合音}
l	[3]俩
tɕ	[1]佳加=嘉家=枷=苴{~镇：如东东北部小镇}傢={~具}[3]假姐贾蠽{~蝼：知了}[5]借价嫁架=稼=驾=
tɕʰ	[1]笡{不正：~头儿}[2]斜茄邪详{不~意：没想到}[3]且-[5]笡{不正}[6]□{排泄，~尿：撒尿}谢
ɕ	[1]虾=些[2]暇瑕遐霞[3]写[5]卸泻吓{惊~}[6]下=厦夏
ø	[1]椰丫=呀耶[2]涯爷{父亲}衙[3]也-冶野雅[5]亚氩讶[6]夜
#ua	
tʂ	[1]抓 [3]爪
ʂ	[3]耍䵘{不黏不糯}
k	[1]瓜呱[3]剐寡[5]卦挂掛褂
kʰ	[1]夸[2]铧{用刀，勺刮}[3]侉{粗野}垮[5]挎跨
x	[1]花[2]划=哗华桦铧{犁~}[3]□{破烂之极；融化}[5]化划{计~}[6]划=桦画=华{姓}话
ŋ	[3]□{我家合音}
ø	[1]搲{用凹状器皿把东西取出来}[3]咓{呕吐}
#ya	
tɕʰ	[2]瘸
ɕ	[1]靴□{用手打}
ø	[1]𦚢{身体僵硬}曰
#ɔ	
p	[1]包孢胞苞褒[3]保堡宝葆褓饱[5]报暴=爆=豹趵鲍=□{溅射}
pʰ	[1]抛泡胞[2]咆炮袍跑{走路}[5]泡炮[6]刨抱龅暴-爆-鲍-
m	[2]猫-毛牦矛茅锚髦[3]卯铆昴[6]冒帽耄貌毷{霉菌}
t	[1]刀叨{唠~}朝-{今~}[3]倒岛捣祷[5]倒到
tʰ	[1]涛掏滔韬叨{~扰}[2]啕桃淘萄逃陶[3]导-讨蹈[5]套[6]悼盗稻道
n	[1]孬[2]挠铙{乐器}[3]恼瑙脑[6]闹
l	[1]捞[2]劳唠捞{多管闲事}牢痨[3]佬老[6]涝
ts	[1]遭糟[3]早枣澡藻蚤[5]灶躁{发~}
tsʰ	[1]操[2]嘈曹槽漕艚[3]草[5]噪燥糙造-{~桥}[6]皂造={制~}
s	[1]臊搔缫骚{~脚：双脚乱蹬}[3]嫂扫[5]䴛{咸}臊
tʂ	[1]招昭朝=钊[3]找沼爪[5]照罩
tʂʰ	[1]超抄钞[2]嘲巢朝潮[3]吵炒[5]耖{~田}[6]兆召{大声喊叫}肇赵
ʂ	[1]烧捎梢稍艄[2]绍韶[3]少[5]哨少稍肖[6]佋{呆，不正}
ʐ	[2]饶娆桡[3]扰绕[6]绕
k	[1]交-{遍、次、回}教皋睾篙糕羔膏胶{~黏}茭{~瓜：茭白}跤高[3]搞搅杲稿绞-铰狡-{~赖}[5]告窖觉{困~}较-酵-㽱{腹痛}教-{大~场}叫-{~花子}校-
kʰ	[1]敲-[3]拷烤考巧-{细~}[5]犒铐靠[6]□{交叉、叠}
ŋ	[1]鏖{~糟}凹爊[2]嗷敖熬翱遨鳌[3]咬[5]奥懊拗澳[6]傲
x	[1]蒿薅□{油脂酸败味}[2]嗥嚎壕毫濠号蚝豪[3]好[5]好耗浩[6]浩灏皓号
ø	[1]噢[3]袄
#iɔ	
p	[1]彪䁃{盯着一处看}标滮膘镖[3]婊表裱[5]嫑{不要合音}
pʰ	[1]飘嘌漂螵[2]嫖瓢[3]漂[5]漂票鳔
m	[2]苗描瞄猫={熊~}[3]秒[6]妙庙缪{姓}
t	[1]叼凋刁碉貂雕刟{牛羊以角触人}[3]屌[5]吊调钓
tʰ	[1]挑{~水}[2]条笤{~帚}调迢[3]斢{调换}挑{～拨}[5]眺跳粜[6]掉调铫{烧水的器具}
n	[3]鸟袅[6]尿=
l	[1]撩[2]聊僚寥撩潦燎獠疗缭辽镣[3]了[6]尥廖撂料瞭镣
tɕ	[1]交=姣娇椒浇焦胶蕉蛟郊骄[3]佼侥剿搅狡=皎矫绞=缴饺[5]叫=教=校=较=
tɕʰ	[1]敲=跷悄橇锹[2]侨乔憔樵桥翘荞轿{~车}[3]巧=[5]俏峭撬窍翘鞘[6]轿{~子}
ɕ	[1]哓嚣宵𣻏{物薄}枭消浇潇硝箫萧逍销霄[2]淆爻肴[3]小晓[5]哮啸孝笑肖酵=[6]效校{学~}
ø	[1]妖么吆{驱赶动物}喓夭腰邀闄{牌局开始时，切断牌}[2]尧姚摇瑶窑谣遥肴鳐[3]仸{衣物等不平不顺}杳舀[5]要[6]耀鹞{~子：风筝的旧称}
#ʊ	
p	[1]波播玻菠[3]簸跛[5]簸{~箕}
pʰ	[1]坡颇[2]婆鄱[3]叵[5]破
m	[1]磨[2]摩摹模磨蘑魔[3]姆母沫牡[5]拇{大~指头}[6]募墓幕慕暮磨
t	[1]多哆都[3]朵躲[5]刴
tʰ	[1]拖=[2]坨砣陀驮驼[3]妥椭[5]唾堕蜕{~壳}[6]堕惰舵{~手}
n	[2]挪傩哪娜[6]懦糯
l	[1]啰螺[2]啰摞{叠放}逻箩罗腡{手指上闭环的圆形纹路}萝螺逻锣骡[3]剆{割，划}裸[5]那
ts	[3]左佐[5]做
tsʰ	[1]搓[5]挫锉错[6]□{~tɕʰ6：催促}坐座
s	[1]蓑唆娑梭[3]唢所琐锁
k	[1]哥戈歌过{~了}锅[3]哿果裹[5]个过{~来}
kʰ	[1]窠{巢穴}柯棵珂科稞苛蝌颗[3]可坷[5]课
ŋ	[2]鹅俄娥峨蛾讹[3]我[6]卧-饿
x	[1]呵{蒸}呵欢{~喜}[2]何和=河禾荷[3]伙火[5]货[6]和祸=贺
ø	[1]屙{~屎}倭婀挝涡窝莴蜗[2]和{~尚}[5]卧=[6]祸-{~害}
#iʊ	
m	[6]谬
t	[1]丢=
l	[2]硫=
ȵ	[1]妞[2]牛={~奶}[3]扭纽钮
tɕ	[1]揪纠赳鬏{头发盘成的结}阄鸠[3]久九灸玖酒韭[5]㾭{猛地收缩}救究[6]究{考~}
tɕʰ	[1]秋丘蚯邱鳅[2]仇俅囚求泅球裘酋[6]就臼舅旧袖-{衣~}
ɕ	[1]休修羞馐[3]朽[5]嗅宿溴秀绣臭袖=锈
ø	[1]优幽悠忧[2]又尤油游犹由疣蝣游邮鱿[3]友有莠酉[5]幼[6]佑右宥柚祐诱釉
#ɪi	
p	[1]背=卑悲杯碑[3]扁{~食}[5]倍狈背=贝辈
pʰ	[1]呸=胚[2]便{~宜}培徘蓓裴赔陪[5]佩呸沛配=[6]备币-毙-弊避-悖惫焙
m	[2]煤=媒=枚梅=玫眉=莓霉=[3]每美镁[6]妹=昧=媚魅
f	[1]啡妃扉绯菲霏非飞[2]淝肥[3]匪斐翡诽[5]䉬{芦~：芦席，用芦苇篾或高粱秆篾编织而成，方形或长方形，用来铺垫或苫盖物资}废沸肺费
v	[1]偎威煨萎[2]危唯喂围=圩=巍帷帏微=惟桅为维薇=违韦[3]伟伪委尾=炜猥玮痿纬萎苇[5]尉慰畏喂胃蔚[6]位味未渭为卫谓魏
n	[3]馁=[6]内=
l	[2]雷=蕾=镭=[3]儡=垒=磊=蕾=[6]擂=泪=累=类=
ʂ	[2]谁=
k	[3]给[5]给
x	[1]嘿
#uɪi	
t	[1]堆[3]怼=[5]对队兑=
tʰ	[1]推梯-{~子}[2]帝-{皇~}[3]腿[5]蜕退剃-{~头}[6]兑-
n	[3]馁-[6]内-
l	[2]雷-蕾-镭-[3]儡-垒-磊-蕾-[6]擂-泪-累-类-
ts	[3]嘴=[5]最醉=
tsʰ	[1]崔=催=摧=[2]隋随={~变}[3]璀[5]悴淬翠脆=隧[6]遂=
s	[1]虽[2]随=[3]髓[5]岁=碎=祟
ʐ	[3]蕊=[5]瑞{~典}
k	[1]龟圭归瑰硅规闺鲑[3]癸轨鬼[5]刽桂贵鳜
kʰ	[1]亏盔窥[2]奎葵逵馗魁[3]傀{~儡}[5]愧[6]跪柜
x	[1]灰徽恢挥晖辉[2]回洄茴蛔[3]悔毁[5]卉晦{~气}秽诲讳贿[6]汇惠慧会桧烩绘荟
tʂ	[1]追椎锥[5]缀赘坠=
tʂʰ	[1]吹炊[2]捶棰椎槌锤垂=[6]坠-
ʂ	[2]谁-垂-[3]水[5]瑞睡税
#əɪ	
pʰ	[1]剖
m	[2]牟眸谋[3]某亩[6]茂-贸-
f	[2]浮{轻~}[3]否
t	[1]丢兜[3]抖斗蚪陡[5]斗
tʰ	[1]偷[2]投头[5]透[6]痘窦豆逗袋-{~儿}
n	[2]揉-
l	[1]溜[2]刘榴楼流浏琉留瘤硫蝼鎏镏馏髅来-{转~、~事}[3]搂柳篓绺[6]漏遛陋
ts	[1]邹[3]走[5]奏揍
tsʰ	[5]凑
s	[1]馊嗖搜艘飕腮-{颌~：嘴巴}[3]叟擞[5]嗽
tʂ	[1]周州洲舟[3]帚肘[5]咒昼皱绉
tʂʰ	[1]抽蛼{～螯：文蛤}[2]仇愁畴稠筹绸酬[3]丑[5]臭[6]宙骤
ʂ	[1]收[3]守手首[5]兽瘦[6]受售寿授绶
ʐ	[2]柔揉=
k	[1]沟佝勾篝钩[3]枸狗苟[5]垢够购
kʰ	[1]扣抠[3]口[5]叩寇扣
ŋ	[1]欧=沤=殴=瓯=讴=鸥=[2]牛[3]偶呕=藕
x	[1]齁[2]侯喉猴[3]吼[5]鲎{一阵}□{汤烧干}
ø	[1]欧-沤-殴-瓯-讴-鸥-[3]呕-[5]沤{长时间浸泡，往往伴有发酵}
#ɚ	
ø	[2]儿而[3]洱尔耳迩饵[6]二贰=
ĩ	
p	[1]边煸编蝙鞭鳊[3]匾扁贬[5]变
pʰ	[1]偏篇编翩[2]便=[5]片遍骗[6]便遍卞辨辫辩
m	[2]棉眠绵[3]免勉娩愐缅[6]面
t	[1]颠巅掂癫[3]典碘点[5]店惦殿甸癜踮电
tʰ	[1]天添[2]填甜田[3]舔[5]舚{用舌头吐鱼卡，泥螺壳等}[6]垫奠殿淀靛电{~力}
ȵ	[1]拈[2]严年研粘鲶黏[3]捻碾[6]念砚
l	[2]连帘廉怜帘联莲镰鲢[3]脸[6]恋楝炼练链
tɕ	[1]间=兼坚尖搛沾煎瞻肩詹[3]俭剪展捡检茧謇辗[5]占健剑建战-毽箭荐见键
tɕʰ	[1]仟佥千牵签签芊谦迁[2]乾前婵寻潜禅缠荨虔蝉蟾钳钱黔[3]浅谴遣阐[5]倩欠歉纤芡茜[6]件渐缠贱践
ɕ	[1]䘆仙先扇掀搧氙煽纤苫锨鲜[2]嫌弦舷贤□{小孩调皮淘气}[3]藓蚬闪陕险显鲜[5]宪扇献线腺苫骟[6]善擅现禅县缮羡膳赡
ø	[1]咽嫣焉烟燕胭腌菸蔫阉[2]严=妍延檐沿炎研=芫蜒言闫阎盐[3]奄掩演魇[5]䞁{比较长短}厌咽宴燕□{小孩好玩}
#yĩ	
ɕ	[1]宣籼鲜{~甜}渲揎{剥叶}籼[2]悬-[3]癣选[5]绚-
tɕʰ	[2]全痊诠铨荃醛[3]犬-[6]旋-
#ã	
p	[1]帮梆泵浜邦[3]榜绑膀[5]谤
pʰ	[1]滂乓[2]旁磅膀庞[3]髈{大腿}[5]胖□{浮在水面上}[6]棒磅
m	[2]忙氓盲芒芒{麦芒}茫虻硭{~纸}[3]漭莽蟒猛-{~火}□{密}
f	[1]坊妨-方芳[2]妨=房肪防[3]仿纺访[5]放
v	[1]汪[2]亡王黄-簧-蝗-蟥-隍-[3]往惘枉网魍[5]旺=[6]妄忘旺望□{障~：用芦柴茎编成的板状物，作建材}横-{~财}
t	[1]当裆铛[2]噹{锣声}[3]挡党[5]档当
tʰ	[1]汤蹚[2]唐堂塘搪棠糖膛螗螳糖场-肠-{肚~}[3]倘淌躺[5]烫趟畅-{~心}[6]宕盪{洗}蕩{草~}丈-{姑~}
n	[1]囔{叹息词}[2]囊瓤[3]攮{~子刀：工具铁制，头尖，口锋利，有短柄，似匕首，主要用于宰杀猪羊等牲口}齉{鼻音重}
l	[1]啷[2]狼廊榔琅螂躴郎[3]朗[6]㫰浪
ts	[1]髒{肮~}脏臧{姓}[5]臟=葬藏=
tsʰ	[1]仓沧舱苍[2]藏[6]藏-臟-{五~}
s	[1]丧桑[3]嗓[5]丧
tʂ	[1]张彰樟漳璋章蟑[3]掌涨长[5]仗帐涨胀账障
tʂʰ	[1]娼昌猖鲳[2]场=嫦常=肠=长[3]厂敞[5]倡唱畅=[6]丈=仗杖
ʂ	[1]伤商殇熵[2]偿尝裳场-{落~}常-[3]晌赏[6]上尚
ʐ	[2]瓤穰{~草}蘘{~荷}[3]壤嚷攘[6]让=
k	[1]江-刚冈纲缸罡肛豇钢[2]刚{~刚}[3]岗港-讲-[5]杠焵{煎}虹降-{霜~}
kʰ	[1]康慷糠[2]吭{对方说的话：他~……}扛[5]亢囥抗炕[6]戆{~头}
ŋ	[1]肮[2]昂□{推}[5]盎=
x	[1]夯□{喘气：~气}[2]杭航行{银行}绗{缝}[3]㨔{给，表被动}[5]炕{一种烹调方法，将食品放在锅里或炉中，用小火慢慢地烤熟}[6]巷项-{~圈}
ø	[1]咉{答应声}[5]盎-
#iã	
ȵ	[1]嬢[2]娘[3]仰[6]酿让-{放纵}
l	[2]梁椋凉粱粮良量[3]魉两{斤~}[6]亮谅量辆
tɕ	[1]将僵江=浆疆缰姜将[3]桨奖蒋讲=港={掘~：地名}[5]将犟=酱降=
tɕʰ	[1]呛枪羌腔戗{急~：因为生气或者愤怒而失去理智}[2]强墙祥翔蔷襁详降{投~}[3]抢[5]戗{撑}弶{捉鸟雀的工具}呛[6]像匠强橡犟-象-
ɕ	[1]厢湘相箱缃襄乡镶香[2]降[3]享想响饷[5]向向向相象=[6]项=
ø	[1]央殃泱秧鸯[2]佯徉扬杨洋痒疡羊阳[3]氧痒养[5]旺-{火旺}䬬{令人难以下咽而导致的恶心欲吐感觉}[6]样
#uã	
tʂ	[1]妆桩庄装[3]奘{粗壮}□{使整齐}[5]壮
tʂʰ	[1]窗[2]床[3]闯[5]创[6]撞状幢=
ʂ	[1]双霜[2]漺{滴}[3]爽
k	[1]光胱[3]广[5]逛光{~火；刮}
kʰ	[1]匡框眶筐桄{一～线}[2]狂[5]况旷矿
x	[1]慌荒黄-{蛋~}[2]凰潢煌璜皇磺簧=蝗=蟥=隍=黄=[3]幌恍谎[5]晃
ø	[2]黄{又读}
#ɛ᷉	
p	[1]扳攽斑班瘢般=蓖颁[3]坂板版舨阪[5]扮瓣办=
pʰ	[1]攀[2]爿□{淌水}[5]盼襻[6]办-{~酒}
m	[1]蛮[2]蛮[3]晚-{~后朝：大后天}[6]慢曼漫蔓
f	[1]幡番翻[2]凡帆樊烦矾繁藩[3]反返晚-{早~：时候}[5]㽹泛贩[6]犯范饭
v	[1]弯湾[2]玩顽[3]挽晚=[5]弯{拐进、绕道去}[6]万
t	[1]担丹单郸[3]掸胆[5]担旦
tʰ	[1]坍摊滩痑瘫[2]坛弹檀痰谈谭=[3]坦毯袒[5]叹炭碳[6]弹惮氮淡蛋诞𨂞{下滑}
n	[2]难[6]难{困~}
l	[2]拦栏澜篮蓝兰阑[3]俩两懒揽榄缆览[6]滥烂
ts	[1]簪=劗{剁}[3]攒[5]灒{溅}赞錾{在石头上凿；~子}
tsʰ	[1]参餐[2]惭残[3]惨馓[5]灿[6]暂绽{丰满}
s	[1]三参叁[2]涎[3]伞散[5]散
tʂ	[3]崭斩盏[5]站蘸
tʂʰ	[1]掺搀[2]孱巉潺谗馋[3]铲产铲[5]忏[6]栈湛
ʂ	[1]删姗山杉珊舢衫跚[2]馋[5]汕疝讪
ʐ	[2]然=
k	[1]尴监-{监~}间-{房~}[3]碱拣柬减-简-裥{衣服上的褶子}[5]间-{~苗}监-𢵧{~屁股}
kʰ	[1]铅鹐{鸟禽啄食}[2]函-{~子：儿棺}䶠{挑，拣，夹}[3]槛[5]嵌
ŋ	[1]淹[2]癌岩□{蟹钳}颜[3]眼[5]晏[6]雁
x	[1]□{慢}[2]函=衔鹹[3]喊[5]喊{~哪个}[6]苋限-{~定：非得}陷-粯{~子}
ø	[1]安=
#iɛ᷉	
tɕ	[1]间-{时~}监=[3]减=简=[5]间-{~谍}监=
ɕ	[6]限=陷=馅
#uɛ᷉	
ʂ	[1]删拴栓赸{追赶}闩[5]涮
k	[1]关鳏{无妻或丧妻的人}[3]管={不~}[6]惯
kʰ	[2]环鬟寰[6]掼
x	[1]□{僵硬不灵活}[2]还[5]幻=患=[6]幻-患-
#ʊ̃	
p	[1]搬[5]半
pʰ	[1]拚{~得：舍得}潘[2]槃盘磐般-{一~}蟠[5]判叛畔[6]伴拌
m	[2]瞒馒鳗[3]满[6]墁幔漫
t	[1]㴷{蘸}端[3]短[5]锻=
tʰ	[1]湍贪[2]团抟{使物成团装}昙潭团谭-{姓}罈{花~}[5]探-[6]断段缎-
n	[2]南男[3]暖腩
l	[2]孪峦挛栾滦銮鸾𢺈{笼聚、积聚}[3]卵漤{粘附}[6]乱
