正體	簡體	音標	調類	備註
鞭	鞭	pie	①	
編	编	pie	①	
邊	边	pie	①	夜快～：傍晚
蝙	蝙	pie	①	
貶	贬	pie	③ⓐ	
扁	扁	pie	③ⓐ	
匾	匾	pie	③ⓐ	
變	变	pie	⑤	
遍	遍	pie	⑤	
篇	篇	pʰie	①	
偏	偏	pʰie	①	～生：硬是要
騙	骗	pʰie	⑤	
片	片	pʰie	⑤	
偏	偏	bie	②	衹有，【偏我一個人】
辨	辨	bie	④	
辯	辩	bie	④	
辮	辫	bie	④	
便	便	bie	⑥	～當：方便
汴	汴	bie	⑥	
卞	卞	bie	⑥	
綿	绵	mie	②	
棉	棉	mie	②	
眠	眠	mie	②	～床
免	免	mie	④	
勉	勉	mie	④	
娩	娩	mie	④	
緬	缅	mie	④	
面	面	mie	⑥	～孔
麵	面	mie	⑥	麵粉或麵條兒
覅	覅	ʔvie	③ⓐ	～伊：不要它；～得：不需要；～得多得：不需要很多
顛	颠	tie	①	
點	点	tie	③ⓐ	～～戳戳：指指點點；～心：午飯
典	典	tie	③ⓐ	
店	店	tie	⑤	
添	添	tʰie	①	
天	天	tʰie	①	
舔	舔	tʰie	③ⓑ	
腆	腆	tʰie	③ⓑ	
靦	腼	tʰie	③ⓑ	
忝	忝	tʰie	③ⓑ	
掭	掭	tʰie	⑤	
甜	甜	die	②	
田	田	die	②	
填	填	die	②	
錢	钱	die	②	(白)價值高，捨不得；銅～：錢
鈿	钿	die	②	(錢)；價值高，捨不得；銅～：錢
電	电	die	⑥	
殿	殿	die	⑥	
奠	奠	die	⑥	
佃	佃	die	⑥	
墊	垫	die	⑥	
廉	廉	lie	②	
鐮	镰	lie	②	
簾	帘	lie	②	
連	连	lie	②	
聯	联	lie	②	
憐	怜	lie	②	
蓮	莲	lie	②	
戀	恋	lie	②	
斂	敛	lie	④	
殮	殓	lie	⑥	
練	练	lie	⑥	
鍊	炼	lie	⑥	
尖	尖	ʨie	①	
兼	兼	ʨie	①	
艱	艰	ʨie	①	
間	间	ʨie	①	兄妹之～
奸	奸	ʨie	①	文
煎	煎	ʨie	①	
肩	肩	ʨie	①	～胛：肩膀
堅	坚	ʨie	①	
箋	笺	ʨie	①	
湔	湔	ʨie	①	
櫼	櫼	ʨie	①	
檢	检	ʨie	③ⓐ	
簡	简	ʨie	③ⓐ	
柬	柬	ʨie	③ⓐ	
剪	剪	ʨie	③ⓐ	
繭	茧	ʨie	③ⓐ	
鑑	鉴	ʨie	③ⓐ	～定
間	间	ʨie	⑤	～斷
箭	箭	ʨie	⑤	
建	建	ʨie	⑤	
薦	荐	ʨie	⑤	
諫	谏	ʨie	⑤	
見	见	ʨie	⑤	
鑑	鉴	ʨie	⑤	
毽	毽	ʨie	⑤	
餞	饯	ʨie	⑤	
簡	简	ʨie	⑤	～書
簽	签	ʨʰie	①	
謙	谦	ʨʰie	①	
遷	迁	ʨʰie	①	
殲	歼	ʨʰie	①	
千	千	ʨʰie	①	
☐	☐	ʨʰie	①	～跟頭：翻跟頭
牽	牵	ʨʰie	①	
扦	扦	ʨʰie	①	
槧	椠	ʨʰie	①	
且	且	ʨʰie	③ⓑ	
淺	浅	ʨʰie	③ⓑ	
遣	遣	ʨʰie	③ⓑ	
歉	歉	ʨʰie	⑤	
芡	芡	ʨʰie	⑤	
欠	欠	ʨʰie	⑤	～債
潛	潜	ʥie	②	
鉗	钳	ʥie	②	
潛	潜	ʥie	②	～龍：壁虎
錢	钱	ʥie	②	
掮	掮	ʥie	②	肩扛：～米
揵	揵	ʥie	②	
乾	干	ʥie	②	
虔	虔	ʥie	②	
前	前	ʥie	②	～世：絕對不可能
全	全	ʥie	②	
泉	泉	ʥie	②	
漸	渐	ʥie	④	
儉	俭	ʥie	④	
踐	践	ʥie	④	
件	件	ʥie	④	炒事～：雞鴨等內臟炒成的菜
鍵	键	ʥie	④	
旋	旋	ʥie	④	
賤	贱	ʥie	⑥	
羨	羡	ʥie	⑥	
健	健	ʥie	⑥	輕～：步伐輕快有力
腱	腱	ʥie	⑥	
仙	仙	ɕie	①	
鮮	鲜	ɕie	①	～～菱
掀	掀	ɕie	①	
軒	轩	ɕie	①	
先	先	ɕie	①	
宣	宣	ɕie	①	
秈	籼	ɕie	①	～米
險	险	ɕie	③ⓐ	
顯	显	ɕie	③ⓐ	
選	选	ɕie	③ⓐ	
癬	癣	ɕie	③ⓐ	
線	线	ɕie	⑤	
綫	线	ɕie	⑤	
憲	宪	ɕie	⑤	
獻	献	ɕie	⑤	
欠	欠	ɕie	⑤	呵～
箲	箲	ɕie	⑤	豁～：刷馬桶竹具
筅	筅	ɕie	⑤	
騸	骟	ɕie	⑤	～雞：閹過的雞
☐	☐	ɕie	⑤	～雞：閹過的雞
閃	闪	ɕie	⑤	霍～：閃電
研	研	ʔȵie	①	
粘	粘	ʔȵie	①	
嚴	严	ȵie	②	
鮎	鲇	ȵie	②	
年	年	ȵie	②	舊～：去年
☐	☐	ȵie	②	仍舊
☐	☐	ȵie	④	～頭：癮頭
染	染	ȵie	④	
儼	俨	ȵie	④	
驗	验	ȵie	⑥	
釅	酽	ȵie	⑥	
硯	砚	ȵie	⑥	
銜	衔	ɦie	②	文
炎	炎	ɦie	②	
鹽	盐	ɦie	②	
閻	阎	ɦie	②	
檐	檐	ɦie	②	床～
嫌	嫌	ɦie	②	
顏	颜	ɦie	②	文
延	延	ɦie	②	
賢	贤	ɦie	②	
弦	弦	ɦie	②	
沿	沿	ɦie	②	
言	言	ɦie	②	
諺	谚	ɦie	②	
蜒	蜒	ɦie	②	蚰～：蝸牛
演	演	ɦie	④	
焰	焰	ɦie	④	
淹	淹	ie	①	
閹	阉	ie	①	
醃	腌	ie	①	
焉	焉	ie	①	
菸	烟	ie	①	
煙	烟	ie	①	
咽	咽	ie	①	
掩	掩	ie	③ⓐ	
匽	匽	ie	③ⓐ	
燕	燕	ie	⑤	
嚥	咽	ie	⑤	
液	液	ie	⑤	
厭	厌	ie	⑤	惹～：討厭；麻煩
懈	懈	ie	⑤	
雁	雁	ie	⑤	(文)大～
豔	艳	ie	⑤	
械	械	ie	⑤	
堰	堰	ie	⑤	
陷	陷	ie	⑤	
現	现	ie	⑤	
宴	宴	ie	⑤	
䞁	䞁	ie	⑤	
也	也	ie	⑤	文
圭	圭	kue	①	
閨	闺	kue	①	
龜	龟	kue	①	文
規	规	kue	①	定～：一定會，一定要
歸	归	kue	①	
軌	轨	kue	③ⓐ	
鬼	鬼	kue	③ⓐ	文
詭	诡	kue	③ⓐ	
會	会	kue	⑤	～計
劊	刽	kue	⑤	
檜	桧	kue	⑤	
桂	桂	kue	⑤	
貴	贵	kue	⑤	文
鱖	鳜	kue	⑤	
盔	盔	kʰue	①	
魁	魁	kʰue	①	
恢	恢	kʰue	①	
奎	奎	kʰue	①	
虧	亏	kʰue	①	(文)吃～
窺	窥	kʰue	①	
傀	傀	kʰue	③ⓑ	～儡
塊	块	kʰue	⑤	
愧	愧	kʰue	⑤	
癸	癸	ɡue	②	
逵	逵	ɡue	②	
葵	葵	ɡue	②	
跪	跪	ɡue	④	文
潰	溃	ɡue	④	
櫃	柜	ɡue	⑥	
灰	灰	hue	①	
揮	挥	hue	①	
輝	辉	hue	①	
徽	徽	hue	①	
麾	麾	hue	①	
毁	毁	hue	③ⓐ	
悔	悔	hue	③ⓐ	
賄	贿	hue	③ⓐ	
繪	绘	hue	⑤	又
諱	讳	hue	⑤	
晦	晦	hue	⑤	尋～氣：故意肇事
回	回	ɦue	②	～頭：拒絕
茴	茴	ɦue	②	
違	违	ɦue	②	
圍	围	ɦue	②	文
危	危	ɦue	②	
緯	纬	ɦue	②	
爲	为	ɦue	②	
桅	桅	ɦue	②	
偉	伟	ɦue	④	
葦	苇	ɦue	④	
繪	绘	ɦue	⑥	又
猥	猥	ue	①	
威	威	ue	①	
萎	萎	ue	①	
回	回	ue	①	
委	委	ue	③ⓐ	
會	会	ue	⑤	～鈔：付錢
餵	喂	ue	⑤	文
穢	秽	ue	⑤	
衛	卫	ue	⑤	
位	位	ue	⑤	
畏	畏	ue	⑤	
慰	慰	ue	⑤	
胃	胃	ue	⑤	
謂	谓	ue	⑤	
僞	伪	ue	⑤	
惠	惠	ue	⑤	
慧	慧	ue	⑤	
滙	汇	ue	⑤	
匯	汇	ue	⑤	
蝟	猬	ue	⑤	
追	追	tsʮe	①	
錐	锥	tsʮe	①	
最	最	tsʮe	⑤	
綴	缀	tsʮe	⑤	
贅	赘	tsʮe	⑤	
醉	醉	tsʮe	⑤	
摧	摧	tsʰʮe	①	
崔	崔	tsʰʮe	①	
炊	炊	tsʰʮe	①	～事員
脆	脆	tsʰʮe	⑤	
翠	翠	tsʰʮe	⑤	
雖	虽	sʮe	①	
綏	绥	sʮe	①	
歳	歳	sʮe	⑤	
稅	税	sʮe	⑤	倒～氣：得意時潑冷水
粹	粹	sʮe	⑤	
銳	锐	sʮe	⑤	
碎	碎	sʮe	⑤	文
錘	锤	zʮe	②	
誰	谁	zʮe	②	
隨	随	zʮe	②	
垂	垂	zʮe	②	
槌	槌	zʮe	②	
罪	罪	zʮe	④	(文)犯～
蕊	蕊	zʮe	④	
芮	芮	zʮe	⑥	
遂	遂	zʮe	⑥	
隧	隧	zʮe	⑥	
穗	穗	zʮe	⑥	
墜	坠	zʮe	⑥	
瑞	瑞	zʮe	⑥	
班	班	pɛ	①	
斑	斑	pɛ	①	
頒	颁	pɛ	①	
扳	扳	pɛ	①	～斷：彎斷
☐	☐	pɛ	①	疤～：疤痕；出壞～：出壞主意
癍	癍	pɛ	①	疤～：疤痕
板	板	pɛ	③ⓐ	光腳～｜腳底～
版	版	pɛ	③ⓐ	
扮	扮	pɛ	⑤	
𢲔	𢲔	pɛ	⑤	
攀	攀	pʰɛ	①	
襻	襻	pʰɛ	⑤	
盼	盼	pʰɛ	⑤	
爿	爿	pʰɛ	⑤	又
爿	爿	bɛ	②	一～田｜柴～
𨂝	𨂝	bɛ	②	紐～｜搭～
辦	办	bɛ	⑥	
蠻	蛮	ʔmɛ	①	～好
蠻	蛮	mɛ	②	野～
晚	晚	mɛ	④	～爺：後父｜～來了：末了，後一步來
慢	慢	mɛ	⑥	
邁	迈	mɛ	⑥	年～
漫	漫	mɛ	⑥	～畫
藩	藩	fɛ	①	
翻	翻	fɛ	①	
番	番	fɛ	①	今～：最近
蕃	蕃	fɛ	①	～茄
反	反	fɛ	③ⓐ	
泛	泛	fɛ	⑤	
販	贩	fɛ	⑤	
☐	☐	fɛ	⑤	來回晃動：旗子～～｜手巾水～開來
☐	☐	fɛ	⑤	～色：衣褪色或色染到別的衣服上
㽹	㽹	fɛ	⑤	靜～：清靜
凡	凡	vɛ	②	
帆	帆	vɛ	②	
煩	烦	vɛ	②	
繁	繁	vɛ	②	
礬	矾	vɛ	②	
犯	犯	vɛ	④	
晚	晚	vɛ	④	(文)～會
範	范	vɛ	④	
范	范	vɛ	④	
飯	饭	vɛ	⑥	
萬	万	vɛ	⑥	
丹	丹	tɛ	①	
單	单	tɛ	①	
擔	担	tɛ	①	～任
耽	耽	tɛ	①	
獃	呆	tɛ	①	
膽	胆	tɛ	③ⓐ	
撣	掸	tɛ	③ⓐ	
擔	担	tɛ	⑤	挑～
旦	旦	tɛ	⑤	
誕	诞	tɛ	⑤	
戴	戴	tɛ	⑤	姓
胎	胎	tʰɛ	①	
灘	滩	tʰɛ	①	
攤	摊	tʰɛ	①	
台	台	tʰɛ	①	(又)天～
苔	苔	tʰɛ	①	舌～
☐	☐	tʰɛ	①	破損：～脱
態	态	tʰɛ	③ⓑ	
毯	毯	tʰɛ	③ⓑ	
坦	坦	tʰɛ	③ⓑ	
炭	炭	tʰɛ	⑤	
嘆	叹	tʰɛ	⑤	
太	太	tʰɛ	⑤	文
臺	台	dɛ	②	
檯	台	dɛ	②	～子：桌子
擡	抬	dɛ	②	
薹	薹	dɛ	②	
台	台	dɛ	②	
談	谈	dɛ	②	
痰	痰	dɛ	②	
檀	檀	dɛ	②	
壇	坛	dɛ	②	
彈	弹	dɛ	②	～琴
譚	谭	dɛ	②	又
待	待	dɛ	④	～伊吃頓飯｜～伊一包煙
怠	怠	dɛ	④	
殆	殆	dɛ	④	
淡	淡	dɛ	④	
代	代	dɛ	⑥	
袋	袋	dɛ	⑥	包胸～：圍嘴兒
貸	贷	dɛ	⑥	
但	但	dɛ	⑥	
彈	弹	dɛ	⑥	子～
蛋	蛋	dɛ	⑥	
難	难	nɛ	②	
乃	乃	nɛ	④	
耐	耐	nɛ	④	～性：耐心
難	难	ʔnɛ	⑤	患～
奈	奈	nɛ	⑥	
難	难	nɛ	⑥	逃～
來	来	lɛ	②	
藍	蓝	lɛ	②	
籃	篮	lɛ	②	
蘭	兰	lɛ	②	
攔	拦	lɛ	②	
欄	栏	lɛ	②	
覧	覧	lɛ	④	
攬	揽	lɛ	④	
欖	榄	lɛ	④	
懶	懒	lɛ	④	
纜	缆	lɛ	④	
爛	烂	ʔlɛ	⑤	
濫	滥	ʔlɛ	⑤	
災	灾	tsɛ	①	
栽	栽	tsɛ	①	
劗	劗	tsɛ	①	剁：～肉
哉	哉	tsɛ	①	
宰	宰	tsɛ	③ⓐ	
斬	斩	tsɛ	③ⓐ	
盞	盏	tsɛ	③ⓐ	小湯～：小碗
㜺	㜺	tsɛ	③ⓐ	又
再	再	tsɛ	⑤	
載	载	tsɛ	⑤	
寨	寨	tsɛ	⑤	又
蘸	蘸	tsɛ	⑤	
贊	赞	tsɛ	⑤	
㜺	㜺	tsɛ	⑤	又
猜	猜	tsʰɛ	①	
攙	搀	tsʰɛ	①	
餐	餐	tsʰɛ	①	
參	参	tsʰɛ	①	～差
☐	☐	tsʰɛ	①	僅在⋯⋯範圍內
☐	☐	tsʰɛ	①	推：我一記
彩	彩	tsʰɛ	③ⓑ	
采	采	tsʰɛ	③ⓑ	
採	采	tsʰɛ	③ⓑ	
踩	踩	tsʰɛ	③ⓑ	
睬	睬	tsʰɛ	③ⓑ	覅～伊：別理他
鏟	铲	tsʰɛ	③ⓑ	
燦	灿	tsʰɛ	③ⓑ	
菜	菜	tsʰɛ	⑤	
腮	腮	sɛ	①	
鰓	鳃	sɛ	①	
衰	衰	sɛ	①	
三	三	sɛ	①	
杉	杉	sɛ	①	
衫	衫	sɛ	①	包～｜罩～
珊	珊	sɛ	①	
山	山	sɛ	①	
刪	删	sɛ	①	
散	散	sɛ	③ⓐ	鞋帶子～開了
傘	伞	sɛ	③ⓐ	
賽	赛	sɛ	⑤	
帥	帅	sɛ	⑤	又
碎	碎	sɛ	⑤	白
散	散	sɛ	⑤	分～
疝	疝	sɛ	⑤	
才	才	zɛ	②	
材	材	zɛ	②	
財	财	zɛ	②	
裁	裁	zɛ	②	
豺	豺	zɛ	②	
慚	惭	zɛ	②	
饞	馋	zɛ	②	
讒	谗	zɛ	②	
殘	残	zɛ	②	
在	在	zɛ	④	
罪	罪	zɛ	④	(白)～過：可憐，作孽；謝謝
寨	寨	zɛ	⑥	又
暫	暂	zɛ	⑥	
站	站	zɛ	⑥	
賺	赚	zɛ	⑥	
綻	绽	zɛ	⑥	
灒	灒	zɛ	⑥	水～到身上
棧	栈	zɛ	⑥	～房：旅館
該	该	kɛ	①	
尷	尴	kɛ	①	～里勿～尬：進退難處
監	监	kɛ	①	
姦	奸	kɛ	①	白
奸	奸	kɛ	①	白
間	间	kɛ	①	灶頭～
減	减	kɛ	③ⓐ	勻給，減去：飯～本我點
改	改	kɛ	③ⓐ	
襇	裥	kɛ	③ⓐ	折～｜打～：衣上做成褶子
揀	拣	kɛ	③ⓐ	
碱	碱	kɛ	③ⓐ	
概	概	kɛ	⑤	
溉	溉	kɛ	⑤	
蓋	盖	kɛ	⑤	
丐	丐	kɛ	⑤	
開	开	kʰɛ	①	
鉛	铅	kʰɛ	①	
𦈲	𦈲	kʰɛ	①	
凱	凯	kʰɛ	③ⓑ	
艦	舰	kʰɛ	③ⓑ	
慨	慨	kʰɛ	⑤	
嵌	嵌	kʰɛ	⑤	
隑	隑	ɡɛ	④	斜靠：～勒床上
☐	☐	ɡɛ	④	～頭：傻瓜
許	许	hɛ	③ⓐ	
海	海	hɛ	③ⓐ	
喊	喊	hɛ	③ⓐ	
駭	骇	hɛ	③ⓐ	
☐	☐	hɛ	③ⓐ	帽子～脱
莧	苋	hɛ	⑤	
孩	孩	ɦɛ	②	
呆	呆	ɦɛ	②	～扳：必定(要)
鹹	咸	ɦɛ	②	
閒	闲	ɦɛ	②	
言	言	ɦɛ	②	
顏	颜	ɦɛ	②	白
銜	衔	ɦɛ	②	(白)～頭：官職，背景
亥	亥	ɦɛ	④	
眼	眼	ɦɛ	④	～烏珠：眼球
限	限	ɦɛ	④	
害	害	ɦɛ	⑥	
餡	馅	ɦɛ	⑥	又
艾	艾	ɦɛ	⑥	
憨	憨	ɦɛ	⑥	
哀	哀	ɛ	①	
埃	埃	ɛ	①	
還	还	ɛ	①	～有一個
餡	馅	ɛ	③ⓐ	又
愛	爱	ɛ	⑤	
藹	蔼	ɛ	⑤	
隘	隘	ɛ	⑤	
晏	晏	ɛ	⑤	～到：晚到
廿	廿	ȵiɛ	⑥	～二：二十二｜兩百～：二百二十
唸	念	ȵiɛ	⑥	～佛
關	关	kuɛ	①	
慣	惯	kuɛ	⑤	
筷	筷	kʰuɛ	①	
環	环	ɡuɛ	②	耳～｜～行
摜	掼	ɡuɛ	④	扔，棄，摔：～過去｜～跤
☐	☐	ɡuɛ	④	把毛巾等掛到繩子或竹竿上去
甩	甩	huɛ	⑤	菜上水～干
還	还	ɦuɛ	②	～原
外	外	ɦuɛ	⑥	(文)在～：別的，其他的｜～交
彎	弯	uɛ	①	～斷
灣	湾	uɛ	①	
挽	挽	uɛ	③ⓐ	
幻	幻	uɛ	⑤	
患	患	uɛ	⑤	
宦	宦	uɛ	⑤	
巴	巴	po	①	盼。俗作巴
疤	疤	po	①	壞～頭：膿瘡，癒合的傷疤
芭	芭	po	①	
幫	帮	po	①	相～我：幫我
把	把	po	③ⓐ	～握
霸	霸	po	⑤	～家：時時刻刻想著家裡的利益
壩	坝	po	⑤	
欛	欛	po	⑤	～柄
怕	怕	pʰo	⑤	
爬	爬	bo	②	
琶	琶	bo	②	
杷	杷	bo	②	
巴	巴	bo	②	下～
䶕	䶕	bo	⑥	
麻	麻	mo	②	
痳	痳	mo	②	
模	模	mo	②	～范
☐	☐	mo	②	肉湯上污沫兒
馬	马	mo	④	
碼	码	mo	④	
牡	牡	mo	④	
駡	骂	mo	⑥	
拿	拿	ʔno	①	白
遮	遮	tso	①	～牢
渣	渣	tso	①	出～吃
查	查	tso	①	山～
詐	诈	tso	⑤	
炸	炸	tso	⑤	
蔗	蔗	tso	⑤	
榨	榨	tso	⑤	
叉	叉	tsʰo	①	
車	车	tsʰo	①	
差	差	tsʰo	①	～勿多
杈	杈	tsʰo	①	
岔	岔	tsʰo	⑤	白
沙	沙	so	①	
紗	纱	so	①	
奢	奢	so	①	～侈
賒	赊	so	①	
痧	痧	so	①	發～：中暑｜出～子：麻疹
捨	舍	so	③ⓐ	～勿得：捨不得｜勿～得：對受委屈的小孩安慰語
舍	舍	so	③ⓐ	～姆娘：產婦｜做～姆：坐月子
曬	晒	so	⑤	
赦	赦	so	⑤	
茶	茶	zo	②	
查	查	zo	②	
蛇	蛇	zo	②	
佘	畲	zo	②	
乍	乍	zo	⑥	～浦：地名
瓜	瓜	ko	①	
卦	卦	ko	⑤	
掛	挂	ko	⑤	
挂	挂	ko	⑤	
跨	跨	kʰo	⑤	～過來｜～一腳
蝦	虾	ho	①	炒～仁
花	花	ho	①	
呵	呵	ho	①	打～欠
☐	☐	ho	①	刀割肉等軟物
化	化	ho	⑤	～開來：變幻出多種樣形式
華	华	ɦo	②	
剗	刬	ɦo	②	～船
下	下	ɦo	④	～底：下面
夏	夏	ɦo	④	姓
廈	厦	ɦo	④	～門
瓦	瓦	ɦo	④	～爿
下	下	ɦo	⑥	～去
畫	画	ɦo	⑥	
蛙	蛙	o	①	
窪	洼	o	①	
鴉	鸦	o	①	賴～：烏鴉
椏	桠	o	①	
搲	搲	o	①	
啞	哑	o	③ⓐ	～子：啞巴
夏	夏	o	⑤	～天
話	话	o	⑤	說～：話，話語｜～本伊聽：說給他聽
掗	挜	o	⑤	
褒	褒	pɔ	①	
包	包	pɔ	①	
胞	胞	pɔ	①	
保	保	pɔ	③ⓐ	
寶	宝	pɔ	③ⓐ	～貝：擁抱親吻
堡	堡	pɔ	③ⓐ	
飽	饱	pɔ	③ⓐ	
報	报	pɔ	⑤	申～紙：當紙用的報紙
豹	豹	pɔ	⑤	
爆	爆	pɔ	⑤	
抛	抛	pʰɔ	①	
㯱	㯱	pʰɔ	①	
脬	脬	pʰɔ	①	豬尿～：豬膀胱
炮	炮	pʰɔ	⑤	
泡	泡	pʰɔ	⑤	
跑	跑	bɔ	②	～路：走路
袍	袍	bɔ	②	
抱	抱	bɔ	④	
雹	雹	bɔ	④	
鮑	鲍	bɔ	④	
暴	暴	bɔ	⑥	
鉋	刨	bɔ	⑥	
毛	毛	mɔ	②	
茅	茅	mɔ	②	
貓	猫	mɔ	②	
錨	锚	mɔ	②	
☐	☐	mɔ	②	上～：上次
卯	卯	mɔ	④	
冒	冒	mɔ	⑥	
帽	帽	mɔ	⑥	
貌	貌	mɔ	⑥	
刀	刀	tɔ	①	
倒	倒	tɔ	③ⓐ	～大來：到最後，副詞
禱	祷	tɔ	③ⓐ	
島	岛	tɔ	③ⓐ	
到	到	tɔ	⑤	
滔	滔	tʰɔ	①	
討	讨	tʰɔ	③ⓑ	
套	套	tʰɔ	⑤	
淘	淘	dɔ	②	～米｜～蘿
逃	逃	dɔ	②	
桃	桃	dɔ	②	
陶	陶	dɔ	②	
萄	萄	dɔ	②	
濤	涛	dɔ	②	
掏	掏	dɔ	②	
道	道	dɔ	④	
稻	稻	dɔ	④	
盜	盗	dɔ	⑥	
導	导	dɔ	⑥	
撓	挠	nɔ	⑥	
腦	脑	nɔ	④	
惱	恼	nɔ	④	攪～：打攪
鬧	闹	nɔ	⑥	～熱
撈	捞	ʔlɔ	①	
牢	牢	lɔ	②	～監
癆	痨	lɔ	②	
勞	劳	lɔ	②	～碌
𤎤	𤎤	lɔ	②	
老	老	lɔ	④	
佬	佬	lɔ	④	
憦	憦	lɔ	⑥	
遭	遭	tsɔ	①	前～：前夫
糟	糟	tsɔ	①	烏～：髒亂
朝	朝	tsɔ	①	生～：生日
招	招	tsɔ	①	
昭	昭	tsɔ	①	
抓	抓	tsɔ	①	～癢
早	早	tsɔ	③ⓐ	
棗	枣	tsɔ	③ⓐ	
蚤	蚤	tsɔ	③ⓐ	虼～
澡	澡	tsɔ	③ⓐ	又
沼	沼	tsɔ	③ⓐ	
爪	爪	tsɔ	③ⓐ	腳～：腳指甲｜豬等的蹄
竈	灶	tsɔ	⑤	～頭間：廚房
罩	罩	tsɔ	⑤	
照	照	tsɔ	⑤	
詔	诏	tsɔ	⑤	
澡	澡	tsɔ	⑤	又
操	操	tsʰɔ	①	
糙	糙	tsʰɔ	①	
抄	抄	tsʰɔ	①	
超	超	tsʰɔ	①	
草	草	tsʰɔ	③ⓑ	
炒	炒	tsʰɔ	③ⓑ	
吵	吵	tsʰɔ	③ⓑ	
鈔	钞	tsʰɔ	③ⓑ	
躁	躁	tsʰɔ	⑤	脾氣～
騷	骚	sɔ	①	
梢	梢	sɔ	①	市～頭：城市邊緣｜包～：全部買下或吃掉
燒	烧	sɔ	①	
稍	稍	sɔ	①	
臊	臊	sɔ	①	
掃	扫	sɔ	③ⓐ	動詞
嫂	嫂	sɔ	③ⓐ	
少	少	sɔ	③ⓐ	量～
掃	扫	sɔ	⑤	～帚
少	少	sɔ	⑤	～年
燥	燥	sɔ	⑤	
曹	曹	zɔ	②	
槽	槽	zɔ	②	
巢	巢	zɔ	②	
朝	朝	zɔ	②	～代
潮	潮	zɔ	②	
韶	韶	zɔ	②	
邵	邵	zɔ	②	
召	召	zɔ	②	
𡮦	𡮦	zɔ	②	
紹	绍	zɔ	④	
皂	皂	zɔ	④	
造	造	zɔ	④	
趙	赵	zɔ	④	
☐	☐	zɔ	④	～煙：煙絲
擾	扰	zɔ	④	
☐	☐	zɔ	④	浪費：～場子｜胡攪：～壞脱
高	高	kɔ	①	
膏	膏	kɔ	①	
膠	胶	kɔ	①	白
羔	羔	kɔ	①	
糕	糕	kɔ	①	
交	交	kɔ	①	白
茭	茭	kɔ	①	
攪	搅	kɔ	③ⓐ	～腸挖肚：左思右想，坐立不安
絞	绞	kɔ	③ⓐ	～～干｜一～絨線
稿	稿	kɔ	③ⓐ	
告	告	kɔ	⑤	
覺	觉	kɔ	⑤	睏～
校	校	kɔ	⑤	～對
教	教	kɔ	⑤	～化子：乞丐
敲	敲	kʰɔ	①	～人｜～門
考	考	kʰɔ	③ⓑ	
攷	考	kʰɔ	③ⓑ	
烤	烤	kʰɔ	③ⓑ	
靠	靠	kʰɔ	⑤	
犒	犒	kʰɔ	⑤	
☐	☐	ɡɔ	②	放，置：～點糖
☐	☐	ɡɔ	④	～七～八：胡搞；糾纏不清
蒿	蒿	hɔ	①	
☐	☐	hɔ	①	脂肪變質
好	好	hɔ	③ⓐ	～壞
好	好	hɔ	⑤	喜～
耗	耗	hɔ	⑤	
孝	孝	hɔ	⑤	戴～
熬	熬	ɦɔ	②	
豪	豪	ɦɔ	②	
壕	壕	ɦɔ	②	
毫	毫	ɦɔ	②	
號	号	ɦɔ	②	呼～
浩	浩	ɦɔ	④	
咬	咬	ɦɔ	④	
號	号	ɦɔ	⑥	～數
凹	凹	ɔ	①	～進去
鏖	鏖	ɔ	①	～糟：髒，彆扭不愉快
要	要	ɔ	①	～詐：要挾詐取。又稱鏖詐
拗	拗	ɔ	③ⓐ	
奧	奥	ɔ	⑤	
懊	懊	ɔ	⑤	
傲	傲	ɔ	⑤	
襖	袄	ɔ	⑤	
標	标	piɔ	①	～來：表現出神氣的樣子
膘	膘	piɔ	①	
彪	彪	piɔ	①	
表	表	piɔ	③ⓐ	
錶	表	piɔ	③ⓐ	
飄	飘	pʰiɔ	①	
漂	漂	pʰiɔ	③ⓑ	
票	票	pʰiɔ	⑤	
瓢	瓢	biɔ	②	
嫖	嫖	biɔ	②	
苗	苗	miɔ	②	
描	描	miɔ	②	
妙	妙	ʔmiɔ	③ⓐ	又
秒	秒	ʔmiɔ	③ⓐ	
藐	藐	ʔmiɔ	③ⓐ	
渺	渺	ʔmiɔ	③ⓐ	
廟	庙	miɔ	⑥	
妙	妙	miɔ	⑥	又
刁	刁	tiɔ	①	～精：要求苛細，難伺候
貂	貂	tiɔ	①	
雕	雕	tiɔ	①	
鳥	鸟	tiɔ	③ⓐ	麻～：麻雀｜拨～：男陰
𧜣	𧜣	tiɔ	③ⓐ	縫
釣	钓	tiɔ	⑤	
吊	吊	tiɔ	⑤	
弔	吊	tiɔ	⑤	
挑	挑	tʰiɔ	①	
跳	跳	tʰiɔ	⑤	
糶	粜	tʰiɔ	⑤	
條	条	diɔ	②	
調	调	diɔ	②	蛋～一～
調	调	diɔ	⑥	～動｜勿入～：不規矩
掉	掉	diɔ	⑥	
撩	撩	ʔliɔ	①	～起來
燎	燎	liɔ	②	
聊	聊	liɔ	②	
遼	辽	liɔ	②	
療	疗	liɔ	②	
寥	寥	liɔ	②	
䩍	䩍	ʔliɔ	③ⓐ	
了	了	liɔ	④	～結
瞭	瞭	liɔ	④	
廖	廖	liɔ	⑥	
料	料	liɔ	⑥	～拉：料定，必然是
交	交	ʨiɔ	①	(文)性命～關：關係重大
郊	郊	ʨiɔ	①	
膠	胶	ʨiɔ	①	文
焦	焦	ʨiɔ	①	
蕉	蕉	ʨiɔ	①	
