#符号说明：-白=文/书*俗?待考	
#调值	［1］⁵³［2］³¹［3］⁴⁴［4］²²［5］³⁵［6］¹³［7］⁴［8］²
#ɿ	
z	［2］船蚕馋谗孱潺惭残侪（都）豺=［4］罪善鳝站（车~）栈在（所~，地方，场所）暂赚馔巉㟞（陡峭）篅（一种盛放谷物的器具）［6］传站（~立）暂绽溅-灒撰蹔（～□，蟋蟀）□（焦急）
k	［1］间（房~）监-（~牢）奸-姦-（强~）尴閒［3］改硷碱-减-拣-柬-裥-涧-锏-钙橄敢感耞（连枷）［5］鉴-监（~生）间（~苗）摡（大便后擦拭肛门，~臀）閒感盖□（痂，~头）
kʰ	［1］铅-舰-龛开［3］肷槛-□（~点，相当多）［5］嵌-看（表示尝试）
g	［2］钳［6］戤（~斯林，汽油）
ŋ	［2］呆-颜-皚-□（~~调，正巧）［4］眼-［6］雁-谚-□（~傲，羡妒）
h	［1］嗨壗（表示某处，边沿，河~）［5］骇喊苋
ɦ	［2］衔（头~，用嘴叼）函闲-閒-咸（~淡）炎-痫寒［4］限-馅-［6］□（叹词，表赞同）陷-雁
ø	［1］腌（~臜）还（副词）欸（叹词，表应答）嗳（招呼声）［5］晏（晚，迟，睏~早）哎欸
#iɛ	
ʄ	［1］监=奸=街=间=［3］减=碱=拣=柬=涧=锏=裥=［5］谏=柬=缄=鉴=监=间=
cʰ	［1］铅舰槛［3］槛［5］嵌
ɲ	［1］□（~~头，童语，食物，零食）［6］念-廿-罱
ç	［3］蟹=［5］骇=解=（姓）懈=苋=
ɦ	［2］炎=琰谐偕咸（~丰）闲=衔（军~）［4］限=野=眼=也=［6］械懈=邂艳滟焰陷=雁=颜=
ø	［3］也=（~是园，茶馆）［5］夜=
#uɛ	
k	［1］鳏关纶（~巾）乖=瘝［3］拐=［5］惯怪=
kʰ	［3］筷［5］快=蒯=块=
g	［2］环寰鬟［4］□(把衣服、毛巾搁在绳上)［6］掼（摔，丢）
ŋ	［2］顽
ɦ	［2］还
ø	［1］弯湾［3］範犯腕晚=挽绾幻玩=顽=［5］宦豢
#e	
ɓ	［1］卑碑俾裨杯悲搬□（用力拽）煸编［3］彼［5］背褙贝狈钡辈半
pʰ	［1］丕坯邳呸胚沛辔潘拚［5］配判沛辔
b	［2］培陪赔裴盘槃磐蟠瀊（水满溢出）［4］倍蓓拌［6］佩畔伴叛泮倍蓓掊备惫被=（~动）悖□偝（~野猫）痱-（~子）焙俾□（躲藏）陛
m	［1］鞔（在鞋帮上缝白布）埋=每［2］枚玫眉嵋楣湄煤媒梅霉莓酶瞒馒鳗（~鲤）䓣襔（~裆裤）□（~~子，谜语）谜黴鞔（~裆裤）［3］美镁每［4］满［5］妹［6］妹寐昧魅袂媚煝（有烟无火的燃烧）
ɸ	［1］灰恢诙挥辉晖徽欢麾獾［3］麾虺［5］毁悔诲晦贿卉讳喙奂唤涣焕痪
