音標	調類	調值	
sɑŋ	6	44	上尚
sən	1	22	深身申伸娠孫升勝鬆嵩
sən	2	21	神辰晨臣唇純蒓醇乘繩承丞
sən	3	53	沈審嬸損省慫
sən	5	213	遜勝聖送宋誦頌訟
sən	6	44	葚甚滲腎愼順舜剩盛
səu	1	22	疏書舒樞輸殊輸收蘇酥梳蔬
səu	3	53	數手首守
səu	5	213	素訴塑恕數戍漱獸授售
səu	6	44	鼠署豎樹受壽
səu	7	45	速叔熟淑束屬宿
sɤ	1	22	羶搧酸閂拴
sɤ	2	21	船蟬
sɤ	5	213	扇算蒜涮
sɤ	6	44	善鱔
sɤ	7	45	濕十什拾實失室術述秫食蝕識飾適釋攝涉舌設折刷說
sɔ	1	22	沙紗奢賒杉
sɔ	2	21	蛇佘
sɔ	5	213	曬
sɔ	6	44	社射麝赦舍
sɔ	7	45	刷石
sɿ	1	22	師絲斯廝撕施私師獅尸屍司絲思思詩
sɿ	2	21	匙時鰣
sɿ	3	53	所死矢屎使史駛始
sɿ	5	213	世勢四肆試式
sɿ	6	44	誓逝是氏示視嗜似祀巳士仕柿事市恃侍
sʊ	1	22	蓑梭唆
sʊ	3	53	鎖瑣所
sʊ	7	45	索勺芍朔縮
ta	1	22	獃耽擔丹單
ta	3	53	膽撣
ta	5	213	戴带擔旦
ta	7	45	答搭
tau	1	22	刀叨朝招
tau	3	53	禱島倒
tau	5	213	到倒照詔
tɑŋ	3	53	整（~病）
ti	1	22	低堤堆
ti	3	53	底抵
ti	5	213	帝對碓隊兑
tin	1	22	釘砧
tin	3	53	頂鼎
tin	5	213	釘
tiɑŋ	1	22	丁釘靪疔
tiɑŋ	5	213	釘訂
tiəu	1	22	丟
tiɛ	1	22	掂顛登燈
tiɛ	3	53	點典等
tiɛ	5	213	店凳鐙
tiɛ	7	45	跌得
tiɔ	1	22	爹
tiʊ	1	22	雕刁
tiʊ	3	53	抖鳥斗陡
tiʊ	5	213	釣
tɑŋ	1	22	當張章
tɑŋ	3	53	黨擋長漲掌
tɑŋ	5	213	當脹障瘴
tən	1	22	針斟珍眞敦墩蹲蒸征東冬中忠鐘鍾盅正
tən	3	53	拯枕枕診疹準准董懂冢種腫
tən	5	213	振盾頓扽鈍遁盾證症凍棟中眾種正
