				惠		wɐi31
				匯		wɵy31
				賄		fɵy35
				會	會計	wɵy31
				會	懂得	wɵy23
				慧		wɐi31
				薈		wɵy31
				繪	繪圖,彩繪	kʰɵy33
				婚		fɐn53
				葷		fɐn53
				魂		wɐn21
				餛		wɐn31
				活		wut21
				火		fɔ35
				火		fɔ35
				伙		fɔ35
				夥		fɔ35
				或	未然之詞疑詞也	wak21
				捇		tɕʰɪk55
				貨		fɔ33
				惑	迷惑疑惑	wak21
				禍	文讀	wɔ23
				霍		kʰɔk33
				獲		wʊk21
				藿		kʰɔk33
				鑊	鍋	wɔk21
				圾		ɬap33
				刏		kai33
				肌		ki53
				㚻		ki53
				飢		ki53
				屐		kʰɪk55
				屐		kɪk55
				姬		ki53
				基		ki53
				畸		kʰi53
				箕		ki53
				嘰		ki53
				稽		kʰɐi53
				緝	緝鞋口	tʰɐp55
				緝		tsʰɐp55
				機		ki53
				積		tɪk55
				激		kɪk55
				激		kɪk55
				擊		kɪk55
				磯		ki53
				雞		kɐi53
				譏		ki53
				鐖		kɐi53
				饑		ki53
				鷄		kɐi53
				癪		tɪk55
				癪		tsɪk55
				及		kap21
				吉		kɐt55
				汲		kʰɐp55
				即		tɪk55
				即		tsɪk55
				卽		tɪk55
				卽		tsɪk55
				急		kɐp55
				級		kʰɐp55
				䞘		kɐt21
				疾		tɐt21
				極		kɪk21
				棘		kɪk55
				集		tsap21
				蝍		tɐt55
				輯		tsʰɐp55
				藉		tɪk21
				籍		tɪk21
				几	茶几	ki53
				己		ki35
				脊		tɪk33
				戟		kɪk55
				幾	幾個	ki35
				幾	幾乎	ki53
				擠		tɐi53
				技		ki31
				忌		ki31
				妓		ki31
				季		kʷɐi33
				計	計數，計劃	kɐi33
				計	計謀	kɐi31
				既		ki33
				紀		ki35
				記		ki33
				偈		kɐi31
				旣		ki33
				徛	站立	kʰi23
				祭		tɐi33
				寄		ki33
				寂		tɪk21
				勣		tɪk55
				跡		tɪk55
				際		tɐi33
				髻		kɐi33
				劑		tɐi53
				劑？		tɕɐi53
				績		tɪk55
				蹟		tɪk55
				鯽		tɐk55
				鯽		tɐk55
				繫	聯繫	hɐi31
				繼		kɐi33
				加		ka53
				佳		kai53
				家		ka53
				傢		ka53
				嘉		ka53
				夾		kiɐp21
				莢？		hap33
				甲		kap33
				胛	肩胛	kap33
				假		ka35
				假		ka33
				賈	商賈	ku35
				賈	賈姓	ka35
				鉀		kap33
				瘕		ha53
				架		ka33
				嫁		ka33
				稼		ka53
				價		ka33
				駕		ka33
				駱		lɔk33
				尖		tim53
				奸		kæn53
				肩		kin53
				姦		kæn53
				兼		kim53
				菅		kæn53
				堅		kin53
				間	空間，房間	kæn53
				間	間接，間隔	kæn33
				煎		tin53
				監	監督，監獄	kam53
				監	太監，	kam33
				箋		tʰim53
				艱		kæn53
				柬		kæn35
				梘		kæn35
				剪		tin35
				揀		kæn35
				減		kam35
				儉		kim31
				翦		tin35
				撿		kim35
				檢		kim35
				繭		kæn35
				簡		kæn35
				鹹		ham21
				件		kin31
				見		kin33
				建		kin31
				荐		tin33
				健		kin31
				漸		tim21
				賤		tin31
				箭		tin33
				劍		kim33
				薦		tsin33
				鍵		kin31
				濺		tin31
				艦		lam31
				鑒		kam33
				鑑		kam33
				江		kɔŋ53
				姜	姓	kœŋ53
				將	將來	tœŋ53
				將	將領	tsœŋ33
				僵		kœŋ53
				漿		tœŋ53
				薑	生薑	kœŋ53
				殭		kœŋ53
				礓		kœŋ53
				疆		kœŋ53
				繮		kœŋ53
				韁		kœŋ53
				蔣		tsœŋ35
				奬		tœŋ35
				槳		tœŋ35
				獎		tœŋ35
				講		kɔŋ35
				匠		tœŋ31
				降	下降；投降、降伏又讀	hɔŋ21
				降	投降、降伏	kɔŋ33
				滰		kʰɪŋ21
				醬		tœŋ33
				交		kau53
				交		kiɐu53
				郊		kau53
				茭		kau53
				姣		kau35
				姣		hiɐu21
				姣		hau21
				椒		tiu53
				蛟		kau53
				焦		tiu53
				跤		kau53
				蕉		tiu53
				骹		kau33
				膠		kau53
				嬌		kiu53
				礁		tiu53
				驕		kiu53
				角		kɔk33
				狡		kau35
				皎		kau35
				絞		kau35
				腳		kœk33
				僥		hiu53
				鉸	鉸剪，門鉸	kau33
				餃		kau35
				矯		kiu35
				繳		kiu35
				攪		kau35
				叫		kiu33
				珓	占卜用，正反兩片竹片	kau35
				教		kau33
				窖		kau33
				較		kau33
				酵		hau53
				噍		tsiɐu31
				轎		kiu31
				皆		kai53
				接		tip33
				階		kai53
				揭		kʰit33
				揭	擔，起	kɐt21
				街		kai53
				劫		kip33
				捷		tit21
				傑		kit21
				結		kit33
				節		tit33
				截		tsit33
				竭	竭力	kʰit33
				竭	稠	kut21
				潔		kit33
				姐		tiɐ35
				解	分開	kai35
				介		kai33
				戒		kai33
				芥		kai33
				屆		kai33
				界		kai33
				借		tiɐ33
				誡		kai33
				巾		kɐn53
				斤		kɐn53
				今		kɐm53
				金		kɐm53
				津		tɐn53
				筋		kɐn53
				襟		kʰɐm53
				僅		kɐn35
				緊		kɐn35
				瑾		kɐn35
				槿		kɐn35
				錦		kɐm35
				謹		kɐn35
				近		kʰɐn23
				妗		kʰɐm23
				勁	勁敵	kɪŋ31
				晉		tɐn33
				浸		tɐm33
				進		tɐn33
				禁		kɐm33
				禁		kʰɐm53
				盡		tɐn31
				噤		kɐm31
				京		kɪŋ53
				荊		kɪŋ53
				涇		ɬɪŋ53
				晶		tɪŋ53
				睛		tɪŋ53
				粳		kɪŋ53
				經		kɪŋ53
				兢		kɪŋ53
				精		tɪŋ53
				鯨		kʰɪŋ21
				驚		kɪŋ53
				井		tɪŋ35
				阱		tɪŋ35
				景		kɪŋ35
				儆		kɪŋ35
				儆		kɪŋ31
				頸		kɪŋ35
				警		kɪŋ35
				徑		kɪŋ33
				竟		kɪŋ35
				淨		tɪŋ31
				敬		kɪŋ33
				靖		tɪŋ31
				境		kɪŋ35
				靜		tɪŋ31
				鏡		kɪŋ33
				競		kɪŋ31
				究		kɐu33
				糾		tsɐu35
				赳		tsɐu35
				揪	～心	ȵɐu53
				鳩		kɐu53
				九		kɐu35
				久		kɐu35
				玖		kɐu35
				韭		kɐu35
				酒		tɐu35
				臼		kʰɐu23
				救		kɐu33
				䊆		kɐu31
				就		tɐu31
				舅		kʰɐu23
				舊		kɐu31
				拘		ky53
				苴		tɕa35
				居		ky53
				掬		kʊk55
				局		kʊk21
				侷		kʊk21
				桔		kɐt55
				菊		kʊk55
				焗		kʊk21
				跼		kʊk21
				矩		ky35
				舉		ky35
				巨		ky31
				句		ky33
				拒		kʰy35
				具		ky31
				炬		ky31
				俱		ky53
				距		kʰy35
				跙		tsʰiɐ35
				聚		tsy31
				劇	劇烈	kʰɪk21
				據		ky33
				鋸		kœ33
				懼		ky31
				捐		kun53
				涓		kun53
				娟		kun53
				鵑		kun53
				卷		kun35
				眷		kun33
				抉		kʰut33
				決		kʰut33
				玦		kʰut33
				倔		kʷɐt21
				掘		kʷɐt21
				桷		kʰɔk33
				崛		kʷɐt21
				訣		kʰut33
				絕		tsut21
				爵		tœk33
				覺	睡覺	kau33
				覺	知覺	kɔk33
				钁	鐝頭	kʷɐk55
				钁		kʰʷɐk55
				均		kʷɐn53
				君		kʷɐn53
				軍		kʷɐn53
				菌		kʰʷɐn23
				鈞		kʷɐn53
				俊		tɐn33
				郡		kʷɐn31
				峻		tɐn33
				𧥺		kʰʷɐn53
				駿		tɐn33
				卡		kʰa53
				揩		hai53
				開		hɔi53
				凱		hɔi35
				慨		kʰɔi33
				嘅		kiɐ33
				刊		hɔn53
				勘	勘誤	hom33
				堪		hom53
				冚	全，整	hom31
				坎	坎坷,心坎	hom35
				砍		tɕam35
				砍		hom35
				欿		hɐn31
				檻		kʰam23
				檻		lam33
				看	看守	hɔn53
				看	看見	hɔn33
				墈	墈崩	hom33
				磡		hom33
				康		hɔŋ53
				漮	乾爽，缺油	hɔŋ35
				糠		hɔŋ53
				扛		kʰɔŋ53
				伉		kʰɔŋ33
				抗		kʰɔŋ33
				炕	焙，烘	hɔŋ33
				炕		hɔŋ31
				考		hau35
				烤		hau53
				犒	犒勞	kʰɔu33
				靠		kʰau33
				科		fɔ53
				棵		pʰɔ53
				磕		hop55
				磕		hop33
				瞌		hɐp55
				蝌		fɔ53
				樖		pʰɔ53
				可	可汗	hɔ35
				渴		hɔt33
				克		hɐk55
				刻	時刻	hɐk55
				剋		hɐk55
				客		hak33
				課		fɔ33
				肯		hɐŋ35
				啃		hɐŋ35
				墾		hɐn35
				懇		hɐn35
				劥		kʰɐŋ33
				坑		haŋ53
				鏗		hɐŋ53
				空	空虛	hʊŋ53
				孔		hʊŋ35
				恐		hʊŋ35
				控		hʊŋ33
				摳		kʰɐu53
				口		hɐu35
				叩		kʰɐu33
				扣		kʰɐu33
				釦		kʰɐu33
				寇		kʰɐu33
				蔻		kʰɐu33
				枯		fu53
				哭		hʊk55
				窟		fɐt55
				苦		fu35
				庫		fu33
				焅		kʊk21
				酷	極,甚,程度深 熟,虐,慘,痛恨	hʊk21
				褲		fu33
				夸		kʰʷa53
				誇		kʰʷa53
				快		fai33
				塊		fai33
				筷		fai33
				寬		fun53
				款		fun35
				𦧺		lai23
				筐		kʰɔŋ53
				軭	圓形物品或事情被破壞	waŋ53
				軭	事情被破壞	wɔŋ53
				狂		kʰɔŋ21
				框		kʰɔŋ53
				眶		kʰɔŋ53
				鄺		kʰɔŋ33
				曠		kʰɔŋ33
				盔		fɵy53
				窺		kʰʷɐi53
				虧		kʰʷɐi53
				葵		kʰʷɐi21
				魁		fɵy53
				愧		kʰʷɐi35
				潰		kʰɵy33
				坤		kʰʷɐn53
				昆		kʰʷɐn53
				崐		kʰʷɐn53
				崑		kʰʷɐn53
				堃		kʰʷɐn53
				琨		kʰʷɐn53
				焜		kʰʷɐn53
				髡		kʰʷɐn53
				醌		kʰʷɐn53
				錕		kʰʷɐn53
				鵾		kʰʷɐn53
				鯤		kʰʷɐn53
				捆		kʰʷɐn35
				困		kʰʷɐn33
				睏		hɐn33
				廓		kʰʷak55
				擴		kʰɔŋ33
				闊		fut33
				垃	垃圾	lap21
				垃	垃雜	lap21
				拉		lai53
				邋		læt21
				喇		la31
				喇	喇叭	la33
				辣		læt21
				臘		lap21
				蠟		lap21
				鑞	錫镴	lap21
				來		lɔi21
				來	口語	lɐi21
				萊		lɔi21
				賴		lai31
				攋		lai23
				攋		lai31
				瀨		lai23
				瀨		lai31
				癩		læt33
				籟		lai31
				婪		lam21
				嵐		lam21
				藍		lam21
				闌		læn21
				攔		læn21
				蘭		læn21
				籃		lam21
				籃		lam53
				瀾		læn21
				欄		læn21
				欄		læn53
				斕		læn21
				躝		læn53
				罱	用容器裝水	nam35
				懶		læn23
				覽		lam35
				攬		lam35
				攬		lom35
				欖		lam35
				纜		lam31
				濫		lam31
				爛		læn31
				糷	飯爛相粘著,糷飯	læn31
				郎		lɔŋ21
				狼		lɔŋ21
				琅		lɔŋ21
				廊		lɔŋ21
				榔		lɔŋ21
				螂		lɔŋ21
				閬		lɔŋ33
				朗		lɔŋ23
				浪		lɔŋ31
				撈		lau53
				撈		lɔu53
				牢		lɔu21
				勞		lɔu21
				老		lɔu23
				佬		lɔu35
				烙		lɔk33
				酪		lɔk33
				澇		lɔu31
				叻		liɐk55
				竻		lɐk21
				簕		lɐk21
				了	了結	liu23
				勒		lɐk21
				雷		lɵy21
				擂		lɵy21
				擂		lɵy53
				礌		lɵy21
				鐳		lɵy21
				蕾		lɵy21
				儡		lɵy23
				壘		lɵy23
				肋		lɐk21
				累	累積	lɵy23
				累	連累	lɵy31
				累	勞累，又	lɵy33
				累？		lɵy53
				淚		lɵy31
				酹		lai31
				酹		lai23
				類		lɵy23
				棱		lɪŋ21
				冷		laŋ23
				厘		li21
				狸		li21
				梨		li21
				犁		lɐi21
				剺		li53
				漓		li21
				璃	玻璃	li53
				貍	山貓	li21
				黎		lɐi21
				籬		li53
				釐		li21
				嚟		lɐi21
				離	離開	li21
				灕		li21
				李		li23
				里		li23
				理		li23
				裏		ly23
				禮		lɐi23
				鯉		li23
				力		lɪk21
				立		lɐp21
				吏		li31
				利		li31
				例		lɐi31
				荔		lɐi31
				莉		li31
				栗		lɐt21
				笠		lɐp55
				脷		li21
				粒		nɐp55
				痢		li31
				痢		li53
				厲		lɐi31
				勵		lɐi31
				歷		lɪk21
				曆		lɪk21
				壢		lɪk55
				麗		lɐi31
				靂		lɪk55
				連		lin21
				蓮		lin21
				憐		lin21
				聯		lun21
				聯		lyun21
				簾		lim21
				鐮		lim21
				斂		lim35
				斂		liɐm35
				楝		lin31
				煉		lin31
				練		lin31
				殮		lim35
				鍊		lin31
				鏈		lin31
				良		lœŋ21
				涼		lœŋ21
				梁		lœŋ21
				粱		lœŋ21
				糧		lœŋ21
				兩	斤兩	lœŋ23
				兩	兩個	lœŋ35
				亮		lœŋ31
				量		lœŋ21
				量	數量	lœŋ31
				晾		lɔŋ31
				靚		liɐŋ33
				諒		lœŋ31
				撩		liɐu53
				撩		liu21
				撩		liɐu53
				聊		liu21
				寥		liu21
				寥		liɐu53
				遼		liu21
				嫽		liɐu23
				療		liu21
				繚		liɐu35
				鷯		liu53
				鷯		liɐu53
				炓		tʰɐu33
				料		liu31
				廖		liu31
				瞭		liu21
				瞭		liu23
				列		lit21
				劣		lut21
				冽		lit21
				迾		læt21
				烈		lit21
				裂		lit21
				擸	laap3的又音	lop33
				擸	包攬，擼起袖子，擄掠	lap33
				獵		lit21
				䁽		lap33
				林		lɐm21
				淋		lɐm21
				琳		lɐm21
				鄰		lɐn21
				粼		lɐn21
				㷠		lɐn21
				嶙		lɐn21
				遴		lɐn31
				潾		lɐn21
				璘		lɐn21
				霖		lɐm21
				燐		lɐn21
				臨		lɐm21
				磷		lɐn21
				鱗		lɐn21
				麟		lɐn21
				伶		lɪŋ21
				玲		lɪŋ21
				玲		lɪŋ21
				瓴		lɪŋ21
				凌		lɪŋ21
				陵		lɪŋ21
				聆		lɪŋ21
				菱		lɪŋ21
				蛉		lɪŋ21
				羚		lɪŋ21
				羚		lɪŋ21
				零		lɪŋ21
				鈴		lɪŋ21
				鈴		lɪŋ21
				鯪		lɪŋ21
				齡		lɪŋ21
				靈		lɪŋ21
				靈		lɪŋ53
				領		lɪŋ23
				嶺		lɪŋ23
				另		lɪŋ31
				令		lɪŋ31
				令		lɪŋ31
				令		lɪŋ21
				呤		lɪŋ21
				溜	往下滑	lɐu33
				溜	蹽，偷偷逃跑	liu53
				留		lɐu21
				流		lɐu21
				硫	石硫黃藥名	lɐu21
				榴		lɐu21
				劉		lɐu21
				瘤		lɐu21
				餾		lɐu31
				瀏		lɐu21
				騮		lɐu53
				柳		lɐu23
				六		lʊk21
				囖		lɔ33
				隆		lʊŋ21
				龍		lʊŋ21
				窿	穹隆天勢俗加穴	lʊŋ53
				嚨		lʊŋ21
				瓏		lʊŋ21
				朧		lʊŋ21
				籠	鳥籠	lʊŋ21
				籠	籠罩；木箱	lʊŋ23
				聾		lʊŋ21
				隴		lʊŋ23
				壟		lʊŋ35
				竉		lʊŋ53
				樓		lɐu21
				陋		lɐu31
				漏		lɐu31
				漏		lɐu33
				盧		lu21
				蘆		lu21
				廬		lu21
				爐		lu21
				顱		lu21
				鸕		lu21
				鹵		lu23
				虜		lu23
				滷		lu23
				魯		lu23
				擄		lu23
				櫓		lu23
				陸		lʊk21
				鹿		lʊk21
				祿		lʊk21
				碌		lʊk55
				賂		lu31
				睩		lʊk55
				睩		lɔk55
				路		lu31
				廘		lʊk21
				熝		lʊk21
				戮		lʊk21
				錄		lʊk21
				潞		lu31
				璐		lu31
				轆		lʊk55
				露		lu31
				鷺		lu31
				巒		lun21
				灓	將溢貌	lɐn23
				攣		lyn53
				卵		lun23
				亂		lun31
				掄	尋找	lɐn35
				倫		lɐn21
				圇？	凭～吞	lyn53
				淪		lɐn21
				綸		lɐn53
				輪		lɐn21
				論	言有理	lɐn31
				論		lɐn33
				論		lɐn31
				論		lɐn31
				腡		lɔ21
				螺		lɔ21
				羅		lɔ21
				騾		lɔ21
				蘿		lɔ21
				邏		lɔ21
				籮		lɔ21
				鑼		lɔ21
				裸		lɔ35
				攞	取	lɔ35
				洛		lɔk33
				珞		lɔk21
				落	下落	lɔk21
				絡		lɔk33
				櫚		ly23
				呂		ly23
				侶		ly23
				捋		lut21
				捋		lyt55
				旅		ly23
				鋁		ly23
				屢		lɵy23
				履		ly23
				褸		lɐu53
				律		lɐt21
				率	率領	ɬɐt21
				率	速率	lɐt21
				氯		lʊk21
				綠		lʊk21
				慮		ly31
				濾		ly31
				掠		lœk33
				略		lœk33
				媽		ma53
				麻		ma21
				馬		ma23
				瑪		ma23
				碼		ma23
				螞		ma23
				罵		ma31
				埋		mai21
				霾		mai21
				買		mai23
				脈		mɐk21
				麥		mɐk21
				賣		mai31
				邁		mai31
				瞞		mun21
				饅		mæn21
				蠻		mæn21
				屘		mit55
				屘		miɐt55
				𩛎	嬰兒飯	mom53
				𩛎	無牙的咀嚼	ŋom21
				滿		mun23
				曼		mæn31
				摱		mæn53
				漫		mæn31
				慢		mæn31
				芒		mɔŋ21
				芒		mɔŋ53
				忙		mɔŋ21
				盲		maŋ21
				茫		mɔŋ21
				莽		mɔŋ23
				貓		mau53
				毛		mɔu21
				毛		mɔu53
				矛		mau21
				茅		mau21
				髦		mɔu21
				錨		mau21
				冇		mɐu23
				卯		mau23
				茂		mau31
				冒		mɔu31
				帽		mɔu31
				貿		mau31
				貌		mau31
				孭		miɐ53
				沒	沉沒	mut21
				枚		mɵy21
				眉		mi21
				莓		mɵy21
				梅		mɵy21
				脢		mɵy21
				郿		mi21
				嵋		mi21
				湄		mi21
				媒		mɵy21
				楣		mi21
				煤		mɵy21
				酶		mɵy21
				霉		mɵy21
				每		mɵy23
				美		mi23
				鎂		mi23
				妹		mɵy53
				妹	女孩，又	mɵy35
				寐		mi31
				媚		mi31
				睸		mi53
				魅		mi31
				門		mun21
				悶		mun31
				悶		mun21
				擝		mɐŋ53
				萌		mɐŋ21
				蒙		mʊŋ21
				盟		mɐŋ21
				濛		mʊŋ21
				濛		mʊŋ53
				朦		mʊŋ53
				矇		mʊŋ21
				猛		maŋ23
				蜢		maŋ35
				蜢？		maŋ35
				懵	心亂皃	mʊŋ35
				懵		mʊŋ35
				孟		maŋ31
				夢		mʊŋ31
				眯		mi53
				迷		mɐi21
				謎		mɐi21
				米	大米	mɐi23
				瞇		mi53
				銤		mɐi53
				泌	分泌	pi33
				泌	隔渣倒液體	pi33
				祕		pi33
				秘		pi33
				覓		mɪk21
				密		mɐt21
				蜜		mɐt21
				謐		mɐt21
				眠		min21
				棉		min21
				綿		min21
				免		min23
				勉		min23
				冕		min23
				面	面對,面臨,面積	min31
				麫		min31
				麪	麵包,麵粉,麵條	min31
				麵		min31
				苗		miu21
				䖢		ɕa53
				描		miu21
				秒		miu23
				渺		miu23
				藐		miu23
				妙	好也	miu31
				廟		miu31
				乜		mɐt55
				咩		miɐ53
				搣		mit55
				滅		mit21
				蔑		mit21
				篾	竹篾	mit21
				衊		mit21
				民		mɐn21
				冧		lɐm33
				皿		mɪŋ35
				敏		mɐn23
				憫		mɐn23
				名		mɪŋ21
				明		mɪŋ21
				冥		mɪŋ21
				鳴		mɪŋ21
				銘		mɪŋ21
				螟		mɪŋ21
				命		mɪŋ31
				謬		mɐu31
				摸		mɔ53
				摹		mu53
				模		mu53
				膜		mɔk33
				摩		mɔ53
				磨		mɔ21
				嬤		ma21
				魔		mɔ53
				抹		mut33
				抹		mæt33
				𣋟		ma53
				末		mut21
				茉		mut21
				沫		mut21
				莫	姓	mɔk21
				漠		mɔk33
				寞		mɔk21
				墨		mɐk21
				默		mɐk21
				牟		mɐu21
				踎		mɐu53
				謀		mɐu21
				某		mɐu31
				母		mu23
				牡		mau23
				拇		mu23
				畝		mau23
				木		mʊk21
				目		mʊk21
				沐		mʊk21
				牧		mʊk21
				募		mu31
				墓		mu31
				幕		mɔk33
				睦		mʊk21
				慕		mu31
				暮		mu31
				霂		mʊk21
				穆		mʊk21
				乸		na35
				𪐀		na53
				𪐀		na53
				衲		nap33
				納		nap21
				捺		næt33
				鈉		nap21
				孻		lai53
				乃		nai23
				奶		nai23
				奶		nai53
				氖		nai23
				奈		nɔi31
				柰		nɔi31
				耐		nɔi31
				男		nam21
				南		nam21
				喃		nam53
				楠		nam21
				難		næn21
				難		næn31
				揇	揇水	lam33
				腩		nam23
				囊		nɔŋ21
				儾		nɔŋ23
				𧟘		nɔŋ33
				撓		ȵau53
				撓	撓癢	ŋau53
				撓	又音	ȵau53
				腦		nɔu23
				鬧		nau31
				呢	呢喃	ni21
				呢	語氣助詞	niɐ53
				內		nɵy31
				恁		nɐm35
				嫩		nun31
				能		nɐŋ21
				尼		ni21
				泥		nɐi21
				怩		ȵi53
				倪		ŋɐi21
				霓		ŋɐi21
				你		ni23
				擬		ni23
				逆		ŋɪk21
				膩		ni31
				拈		nim53
				年		nin21
				黏		nim53
				鯰		nim31
				捻		nin35
				捻		niɐn35
				淰		nɐm53
				碾		tɕin35
				廿		ȵa31
				廿		ȵa31
				念		nim31
				娘		nœŋ21
				釀		ȵœŋ31
				鳥		niu23
				嫋		niɐu23
				嫋		niɐu53
				嬲		nɐu53
				尿		niu31
				捏		nin35
				𠱃		niɐp33
				聶		nip21
				苧	苧麻,麻苧	ɕy31
				寧		nɪŋ21
				凝		ŋɪŋ21
				凝		ȵɪŋ21
				擰	扭	nɪŋ31
				擰	提	nɪŋ53
				牛		ŋɐu21
				扭		nɐu35
				忸		ȵʊk55
				紐		nɐu35
				農		nʊŋ21
				濃		nʊŋ21
				膿		nʊŋ21
				燶		nʊŋ53
				燶		nʊŋ53
				𪒬		nʊŋ53
				弄		lʊŋ31
				弄		lʊŋ31
				奴		nu21
				努		nu23
				怒		nu31
				𧿔		ȵʊk55
				搙？		nʊk55
				暖		nun23
				虐	虐待	ȵœk21
				挪		nɔ21
				搦		nɪk55
				諾		nɔk21
				糯		nɔ31
				女		ny23
				女		ny35
				哦	語氣詞	ʔɔ21
				漚		ʔɐu33
				甌		ʔɐu53
				歐		ʔɐu53
				毆		ʔɐu53
				毆		ʔɐu53
				熰		ʔɐu33
				謳		ʔɐu53
				謳？		ʔɐu53
				鷗		ʔɐu53
				偶		ŋɐu35
				嘔		ʔɐu35
				藕		ŋɐu35
				慪		ʔɐu33
				趴		pʰa53
				杷		pʰa21
				爬		pʰa21
				琶		pʰa21
				怕		pʰa33
				拍		pʰak33
				排		pʰai21
				牌		pʰai21
				派		pʰai33
				潘		pʰun53
				攀		pʰæn53
				盤		pʰun21
				判		pʰun33
				盼		pʰæn33
				叛		pʰun33
				𨭌		pʰaŋ53
				彷	彷彿	fɔŋ35
				彷	彷徨	pʰɔŋ21
				旁		pʰɔŋ21
				龐		pʰɔŋ21
				耪		pʰɔŋ53
				耪		pʰɔŋ53
				拋		pʰau53
				脬		pʰau53
				刨		pʰau21
				刨		pau31
				袍		pʰɔu21
				跑		pʰau35
				奅		pʰau33
				泡	浸	pʰau33
				泡	燈泡，塑料泡沫，起泡	pʰau53
				泡	水泡沫	pʰɔu23
				炮		pʰau33
				砲		pʰau33
				胚		pʰɵy53
				陪		pʰɵy21
				培		pʰɵy21
				裴		pʰɵy21
				賠		pʰɵy21
				沛		pʰɵy33
				配		pʰɵy33
				噴	噴水	pʰɐn33
				盆		pʰun21
				抨	抨擊	pʰaŋ53
				抨	驅趕	pʰaŋ53
				怦		pʰaŋ53
				嘭		pom31
				朋		pʰɐŋ21
				彭		pʰaŋ21
				棚		pʰaŋ21
				塳	塵隨風起	pʰʊŋ53
				蓬		pʰʊŋ21
				蓬	又音，一般地名用	fʊŋ21
				蓬	食物很粉很綿	pʰʊŋ53
				𧌇		pɐŋ53
				澎		pʰaŋ21
				篷		pʰʊŋ21
				膨		pʰaŋ21
				鵬		pʰɐŋ21
				鬔	食物很粉很綿	pʰʊŋ53
				捧	捧碗	pʊŋ35
				捧	捧場	pʰʊŋ35
				碰		pʰʊŋ33
				批		pʰɐi53
				坯		pʰɵy53
				披		pʰi53
				𠜱		pʰɐi53
				紕		pʰi53
				劈		pʰɪk33
				劈		pʰɪk55
				錍		pʰɐi53
				霹		pʰɪk55
				皮		pʰi21
				枇		pʰi21
				疲		pʰi21
				啤		piɐ53
				琵		pʰi21
				脾		pʰi21
				匹		pʰɐt55
				屁		pʰi33
				䏘？		pʰiɐt55
				辟		pʰɪk55
				潎		pʰit33
				僻		pʰɪk55
				偏		pʰin53
				篇		pʰin53
				翩		pʰin53
				片		pʰin33
				騙		pʰin33
				飄		pʰiu53
				嫖		pʰiu21
				瓢		pʰiu21
				票	車票	pʰiu33
				漂		pʰiu33
				漂	漂亮	pʰiu33
				撇	撇捺、撇開	pʰit33
				拼		pʰɪŋ33
				貧		pʰɐn21
				頻		pʰɐn21
				品		pʰɐn35
				聘		pʰɪŋ33
				平		pʰɪŋ21
				坪		pʰɪŋ21
				苹		pʰɪŋ21
				凭	文憑	pɐŋ31
				屏	屏风	pʰɪŋ21
				瓶		pʰɪŋ21
				萍		pʰɪŋ21
				評		ku53
				憑		pʰɐŋ21
				憑		pɐŋ31
				坡		pʰɔ53
				泊		pʰɔk33
				泊		pʰak33
				潑		pʰut33
				婆		pʰɔ21
				破		pʰɔ33
				剖		pʰɐu35
				抔	量詞，堆	pʰɐu53
				仆		pʰʊk55
				撲		pʰɔk33
				鋪		pʰu53
				鋪		pʰu33
				莆		pʰu21
				菩		pʰɔ21
				葡		pʰu21
				蒲		pʰu21
				圃		pʰu35
				浦		pʰu35
				普		pʰu35
				樸		pʰɔk33
				樸		pʊk21
				譜		pʰu35
				瀑		pɔu31
				曝		pɔu31
				七		tʰɐt55
				妻		tʰɐi53
				柒		tʰɐt55
				萋		tʰɐi53
				戚		tʰɪk55
				淒		tʰɐi53
				悽		tʰɐi53
				期	一周年,一整月	kʰi21
				欺		hi53
				漆		tʰɐt55
				祁		kʰi21
				圻		kʰi21
				芪		kʰi21
				岐		kʰi21
				其		kʰi21
				奇	奇數	kʰi21
				歧		kʰi21
				祈		kʰi21
				淇		kʰi21
				琪		kʰi21
				琦		kʰi21
				棋		kʰi21
				齊		tʰɐi21
				旗		kʰi21
				騎		kʰiɐ21
				臍		tʰɐi31
				麒		kʰi21
				鰭		kʰi21
				乞		hɐt55
				企		kʰi23
				杞		ki35
				起		hi35
				豈		hi35
				啟		kʰɐi35
				啓		kʰɐi35
				汽		hi33
				契	契約	kʰɐi33
				砌		tʰɐi33
				氣		hi33
				棄		hi33
				器		hi33
				千		tʰin53
				仟		tʰin53
				阡		tʰin53
				牽		hin53
				鉛		jun21
				摼		hɐŋ53
				慳		hæn53
				遷		tʰin53
				謙		him53
				簽		tʰim53
				鵮	鳥禽啄東西	tam53
				鵮		tiɐm53
				籤		tʰim53
				韆		tʰin53
				前		tʰin21
				虔		ŋin21
				乾	乾燥	kɔn53
				乾	乾坤	kʰin21
				潛		tsʰim21
				錢		tʰin21
				黚		kʰɐm21
				淺		tʰin35
				遣		hin35
				欠		him33
				歉		him33
				縴		hin53
				腔		hɔŋ53
				槍		tʰœŋ53
				強		kʰœŋ21
				樯		tʰœŋ21
				墻		tʰœŋ21
				薔		tʰœŋ21
				嬙		tʰœŋ21
				檣		tʰœŋ21
				牆		tʰœŋ21
				搶		tʰœŋ35
				嗆		tʰœŋ33
				敲		hau53
				蹺		kʰiu53
				喬		kʰiu21
				僑		kʰiu21
				橋		kʰiu21
				巧		hau35
				巧	又讀	kʰiu35
				俏		tsʰiu33
				殼		hɔk33
				撬		kiɐu31
				撬		kʰiɐu33
				翹	連翹，翹楚，翹首	kʰiu21
