"tsʰ"	"［1］□{刺穿：用筷子～到}［2］邪{～眉～眼：精神病人的眼神}斜{日头～西}［3］且［6］谢藉{～口}褯{～哩：尿片}"	""	""	""	""	""	""
"s"	"［1］些［2］邪=斜={贴～来：贴歪了}［3］写［5］卸泻"	""	""	""	""	""	""
"ʃ"	"［1］舐［2］□{高大而笨拙：真长得～}［5］□{～嘴哩：嘴不牢靠的人}［6］□{向前急跳：～沟}"	""	""	""	""	""	""
"k"	"［1］嗝{打～}［2］□{～公哩：二胡京胡一类乐器的通称}［3］□{挖：～芋头，～坑}［5］锯{～子，～木头}［6］□{～粗：很粗}"	""	""	""	""	""	""
"h"	"［1］厚?{厚：～皮。厚脸皮的：～牯哩（本字亦可能是“吞”，不明）}"	""	""	""	""	""	""
"#iɛ"	""	""	""	""	""	""	""
"ts"	"［5］□{～人：声音刺耳}"	""	""	""	""	""	""
"tɕ"	"［3］□{如如～～：反应迟钝，口齿不清}"	""	""	""	""	""	""
"tɕʰ"	"［2］渠{单数第三人称代词}［5］去"	""	""	""	""	""	""
"ȵ"	"［2］鱼"	""	""	""	""	""	""
"∅"	"［1］□{～开：有意避开}［2］□{因过量而生厌：吃～来（吃腻了）}［3］野惹也"	""	""	""	""	""	""
"#uɛ"	""	""	""	""	""	""	""
"∅"	"［1］□{～子：骗子}□{～子：下眼皮外翻的人}"	""	""	""	""	""	""
"#ai"	""	""	""	""	""	""	""
"p"	"［3］摆［5］拜"	""	""	""	""	""	""
"pʰ"	"［1］□{让，躲：车来了快～开}［2］排牌［3］□{拼拼～～：醉后走路样子}［5］派［6］败"	""	""	""	""	""	""
"m"	"［2］埋［3］买［6］卖迈"	""	""	""	""	""	""
"t"	"［1］呆［3］歹［5］戴带"	""	""	""	""	""	""
"tʰ"	"［1］胎［2］台{～湾}抬［5］太泰［6］态贷代待怠大{～夫，～黄，～人}"	""	""	""	""	""	""
"l"	"［2］来［3］奶乃［6］耐奈赖癞"	""	""	""	""	""	""
"ts"	"［1］灾斋［3］宰崽{又}［5］再载{～重}债"	""	""	""	""	""	""
"tsʰ"	"［1］猜差{出～}［2］才材财裁豺［3］彩採睬［5］菜蔡［6］在寨"	""	""	""	""	""	""
"s"	"［1］腮鳃筛［2］柴［3］洒［5］赛"	""	""	""	""	""	""
"k"	"［1］街皆阶［3］解{～开}［5］介界届芥尬疥戒解{～刀：做砖瓦的工具}"	""	""	""	""	""	""
"kʰ"	"［1］揩［3］楷"	""	""	""	""	""	""
"ŋ"	"［1］挨{～近，～到}［2］涯崖捱{～骂}［3］矮［5］隘［6］外艾"	""	""	""	""	""	""
"h"	"［2］鞋谐［3］解荷-{扛}［6］懈械"	""	""	""	""	""	""
"#uai"	""	""	""	""	""	""	""
"ɸ"	"［2］怀槐淮［6］坏"	""	""	""	""	""	""
"k"	"［1］乖［3］拐［5］怪"	""	""	""	""	""	""
"kʰ"	"［5］块会{～计}刽蒯快筷"	""	""	""	""	""	""
"∅"	"［1］歪［3］□{～船：用力使船晃动}"	""	""	""	""	""	""
"#ɔi"	""	""	""	""	""	""	""
"p"	"［1］杯［5］背{～后}"	""	""	""	""	""	""
"pʰ"	"［1］胚坯［2］赔［3］□{～到脚：扭伤了脚}［6］倍背{～书；～诵}"	""	""	""	""	""	""
"m"	"［2］媒煤梅{～树}［6］妹"	""	""	""	""	""	""
"t"	"［1］堆［5］碓"	""	""	""	""	""	""
"tʰ"	"［1］推［3］腿"	""	""	""	""	""	""
"l"	"［1］□{～子：口吃的人}［2］雷□{双手搓物：～衣裳}［3］蕾□{～：小疖子}［5］□{哩～：淋巴结}［6］累"	""	""	""	""	""	""
"ts"	"［5］□{打个～：打个结}"	""	""	""	""	""	""
"s"	"［5］碎"	""	""	""	""	""	""
