	注释：-白读；=文读
ts	[7b]作昨[8]凿濯
tsʰ	[7b]□{摇晃}
s	[7b]索{～性}塑
k	[7b]角各觉{～悟}阁搁
kʰ	[7b]确
ŋ	[8]岳愕鳄乐{音～}
h	[7b]壳[8]学鹤
kʷ	[7b]国帼蝈郭廓
w	[7b]获[8]镬{锅}
∅	[7b]恶{凶～}
#ok	
p	[7a]卜[8]仆{～人}瀑伏
pʰ	[7a]仆{～低，倒下}
m	[8]木沐目牧睦穆
f	[7a]福幅蝠辐複{重～}腹覆[8]伏茯袱服復{恢～}
t	[7a]督笃[8]读独毒
tʰ	[7a]秃
l	[7a]碌辘[8]六陆录绿禄鹿戮
ts	[7a]足捉祝筑烛嘱粥触{又音}[8]俗族续浊逐轴
tsʰ	[7a]促束速畜蓄触
s	[7a]肃粟叔宿{～舍}缩[8]属蜀赎淑孰熟塾
j	[7a]郁沃旭[8]玉肉育欲狱辱褥
k	[7a]谷鹄菊鞠[8]局焗{焖}
kʰ	[7a]曲
h	[7a]哭[8]酷
∅	[7a]屋
#m̩	
∅	[2]唔{不}
#ŋ̍	
∅	[2]吴蜈吾梧[4]五伍午仵忤[6]误悟晤
