漢字	雲陽話	訪仙話	河陽話	埤城話
苔（青苔，舌苔）	tʰæ33	tai31青苔、tʰai55舌苔	tʰæ24	tʰæ51
抬	tʰæ15	tai31	tæ24	tæ25
來	læ33	lai55	læ33	læ51
災	ʦæ33	ʦai55	ʦæ33	ʦæ51
栽	ʦæ33	ʦai55	ʦæ33	ʦæ51
猜	ʦʰæ33	ʦʰai55	ʦʰæ33	ʦʰæ51
才	ʦʰæ25	sai31	ʦʰæ24	ʦʰæ25
材	ʦʰæ25	sai31	ʦʰæ24	ʦʰæ25
財	ʦæ25	sai31	ʦæ24	ʦʰæ25
裁	ʦʰæ31	sai31	sæ24	sæ25
才剛才	ʦʰæ15	sai31	ʦʰæ24	ʦʰæ25
腮	sæ33	sai55	sæ33	sæ51
鰓	sæ33	sai55	sæ33	sæ51
該	kæ33	kai55	kæ33	kæ51
開	kʰæ33	kʰai55	kʰæ33	kʰæ51
呆	tæ33	tai55	tæ33	ŋæ25
待	tæ31	tai325	tæ31	tæ41
怠	tæ31	tai325	tæ31	tæ33
宰	ʦæ31	ʦai434	ʦæ55	ʦæ33
載年載	ʦæ31	ʦai434	ʦæ31	ʦʰæ33
彩	ʦʰæ25	ʦʰai434	ʦʰæ31	ʦʰæ25
采	ʦʰæ55	ʦʰai41	ʦʰæ24	ʦʰæ25
睬	ʦʰæ55	ʦʰai41	ʦʰæ55	ʦʰæ25
在	ʦæ31	lai55	ʦæ31	ʦæ51
改	kæ55	kai41	kæ55	kæ33
凱	kʰæ55	kʰai434	kʰæ55	kʰæ25
海	xæ55	xai41	xæ31	xæ33
亥	xæ55		xæ31	xæ33
戴	tɑ424	tᴀ434	tɑ24	tæ25
態	tʰæ424	tʰᴀ41	tʰæ31	tʰæ41
貸	tæ424	tai325	tæ31	tæ25
代	tæ31	tai325	tæ31	tæ41
袋	tæ31	tai325	tæ31	tæ41
耐	næ31	nai434	næ31	næ41
再	ʦæ31	ʦai325	ʦæ31	ʦæ25
載（載重）	ʦæ424	ʦai55	ʦæ31	ʦæ25
菜	ʦʰæ424	ʦʰai434	ʦʰæ24	ʦʰæ25
載（滿載）	ʦæ31	ʦai55	ʦæ31	ʦæ41
賽	sæ424	sai434	sæ24	sæ25
概	kæ424	kai434	kæ31	kæ41
溉	kæ424	kai434	kæ31	kæ41
慨（慷慨,感激）		kʰai434	kʰæ31	kʰæ41
咳（咳嗽）	kʰəʔ44	kʰəʔ44	kʰəʔ44	kʰəʔ44
礙	ŋæ25	ŋai434	ŋæ31	ŋæ41
愛	æ31	ai434	æ24	æ25
貝	pᴇ424	pɘi434	pᴇ24	pe41
沛	pʰᴇ424	pʰɘi434	pʰᴇ24	pʰe41
帶	tɑ424	tᴀ434	tɑ24	tæ41
太	tʰæ424	tʰai434	tʰæ31	tʰæ41
泰	tʰæ424	tʰᴀ434	tʰæ31	tʰæ41
大（大夫）	tɑ31	tᴀ31	tʰɑ31	tæ41
奈	næ31	nai434	nɑ31	næ41
賴	læ31	lᴀ434	lɑ31	lᴀ41
癩（癩子，癩皮）	læ31	lᴀʔ44	lɑʔ33	lᴀ41
蔡	ʦʰæ424	ʦʰᴀ434	ʦʰɑ24	ʦʰæ25
蓋	kæ424	kai434	kæ31	kæ41
丐（乞丐）	kæ424	kai434	kæ31	kæ41
艾	æ31	ŋai41	æ33	ŋæ41
害	xæ31	xai325	xæ31	xæ41
排	pæ25	pᴀ31	pɑ24	pᴀ25
埋	mæ31	mᴀ55	mɑ33	mæ51
齋	ʦæ33	ʦᴀ55	ʦɑ33	ʦᴀ51
豺	ʦʰæ25	sai31	ʦʰæ24	ʦʰæ25
階	kɑ33	ʨiᴀ434	ʨiɛʔ33	ʨiɛ51
稭（麥~）	ʨiəʔ44	ʨiɛʔ44	ʨiɛʔ33	ʨiɛʔ44
揩	kʰɑ33	kʰᴀ55	kʰɑ33	kʰæ51
諧	ɕiəʔ44	ɕiɛʔ44	ɕiɛ24	ɕiɛʔ44
挨（挨近,挨住）	ŋæ33	ai55	æ33	ŋæ51
楷	kʰæ25	kʰai434	kʰɑ55	kʰæ25
駭（驚駭）	xæ31	xəʔ31	xæ31	xæ33
拜	pɑ424	pᴀ434	pɑ31	pᴀ41
介	ʨiɑ424	ʨiᴀ434	ʨiɛ31	kᴀ41
界	kɑ424	kᴀ434	kɑ31	kᴀ41
芥	kɑ424	kᴀ55	ʨiɛ31	kᴀ41
尬（尷尬）	kɑ424	kᴀ41	kɑ31	kᴀ41
疥（疥瘡,疥癬,頭疥,疥虱,疥癩）	kɑ424	kᴀ434		kᴀ25
屆	ʨiɑ424	ʨiᴀ434	ʨiɛ31	ʨiɛ25
戒	kɑ424	kᴀ434	kɑ31	kᴀ41
械	ʨiə31	ʨiᴀ434	ʨiɛ31	ʨiɛ25
牌	pɑ25	pᴀ31	pɑ24	pᴀ25
釵	ʦʰɑ33	ʦʰᴀ55	ʦʰu33	ʦʰʊ51
差（出差）	ʦʰɑ33	ʦʰᴀ55	ʦʰɑ33	ʦʰᴀ51
柴	sɑ31	sᴀ31	sɑ31	sᴀ25
篩（篩子）	sɑ33	sᴀ55	sɑ33	sᴀ51
佳	ʨiɑ33	ʨiᴀ55	ʨiɑ33	ʨiᴀ33
街	kɑ33	kᴀ55	kɑ33	kᴀ51
涯（天涯）	iɑ25	iᴀ55	iɑ31	iᴀ51
崖（山崖）	iɑ25	iᴀ31	iɑ31	iᴀ25
捱（捱打,捱罵）	ɑ33	ai55	æ33	ŋæ51
鞵	xɑ31	xᴀ31	xɑʔ31	xᴀ25
擺	pɑ55	pᴀ41	pɑ24	pᴀ25
罷	pɑ31	pᴀ41	pɑ31	pᴀ51
買	mɑ25	mᴀ325	mɑ24	mᴀ25
奶(嬭)	nɑ25	nᴀ325	ȵɑ24	ȵæ25
灑	sɑ55	sᴀ41	sɑ24	sᴀ33
解（解開）	kɑ55	kᴀ41	kɑ55	kᴀ33
解（姓）		ɕiɛ434	xɑ55	xᴀ51
解（曉也）	ʨiɑ55	ʨiᴀ434		ʨiɛ33
蟹	xɑ55	xᴀ41	xɑ31	xᴀ33
矮	ɑ55	ᴀ41	ɑ55	ᴀ33
派	pʰɑ424	pʰᴀ434	pɑ24	pʰæ25
稗	pɑ31	pᴀ31	pɑ31	pæ41
賣	mɑ31	mᴀ325	mɑ31	mᴀ41
債	ʦɑ424	ʦᴀ434	ʦɑ31	ʦᴀ25
曬	su424	sʊ434	su24	,sᴀ25
懈	ɕiɑ424	ɕiɛ434	ɕiɛ31	ɕiɛ41
敗	pɑ31	pᴀ325	pɑ31	pᴀ41
邁	mæ31	mᴀ31	mɑ31	mæ41
寨	ʦæ31	ʦᴀ31	ʦæ31	ʦæ25
蔽	pɿ424	pɿ325	pɿ31	pɿ41
弊	pɿ31	pɿ325	pɿ31	pɿ41
幣	pɿ31	pɿ31	pɿ31	pɿ41
斃	pɿ25	pɿ31	pɿ24	lɿ41
例	lɿ31	lɿ325	lɿ31	lɿ41
厲	lɿ31	lɿ31	lɿ31	lɿ41
勵	lɿ25	lɿ31	lɿ31	lɿ41
祭	ʨɿ424	ʨɿ434	ʨɿ31	ʨɿ41
際	ʨɿ424	ʨɿ31	ʨɿ31	ʨɿ41
滯	ʦɿ55	ʦəʔ44	ʨɿ31	ʦɿ41
制	ʦɿ31	ʦɿ434	ʨɿ31	ʦɿ41
製（~造）	ʦɿ31	ʦɿ434	ʨɿ31	ʦɿ41
世	sɿ424	sɿ434	sɿ31	sɿ41
勢	sɿ31	sɿ434	sɿ31	sɿ41
誓	sɿ31	sɿ434	sɿ31	sɿ41
逝	sɿ31	sɿ41	sɿ31	sɿ41
藝	ɿ31	nɿ55	ɿ31	nɿ41
蓖（蓖麻）	pɿ33	pi55	pɿ31	pɿ51
批	pʰɿ33	pʰɿ55	pʰɿ33	pɿ51
迷	mɿ31	mɿ55	mɿ31	mɿ51
低	tɿ33	tɿ55	tɿ31	tɿ51
堤	tɿ33	tɿ31		tʰɿ25
梯	tʰɿ33	tʰɿ55	tʰɿ33	tʰɿ25
題	tʰɿ31	tɿ31	tʰɿ24	tʰɿ25
提	tʰɿ31	tɿ31	tʰɿ24	tʰɿ25
蹄	tɿ31	tɿ31	tʰɿ24	tʰɿ25
啼	tʰɿ31	tɿ31	tʰɿ24	tʰɿ25
泥	nɿ33	nɿ31	ȵɿ31	ȵɿ51
犁	lɿ25	lɿ55	lɿ31	lɿ51
黎	lɿ25	lɿ31	lɿ31	lɿ25
妻	ʨʰɿ33	ʨʰɿ55	ʦʰɿ33	ʨʰɿ51
齊	ʨɿ25	ɕɿ31	ɕɿ24	ʨʰɿ25
臍	ʨɿ25	ʨɿ31	ʦɿ31	ʨʰɿ25
西	ɕɿ33	ɕɿ55	ɕɿ33	ɕɿ51
棲	ɕɿ33	ʨʰɿ55	ɕɿ33	ɕɿ51
犀	ɕɿ33	ɕɿ55	ɕɿ33	ɕɿ51
雞	ʨɿ33	ʨɿ55	ʨɿ33	ʨɿ51
稽	ʨɿ33	ʨɿ55	ʨɿ31	ʨɿ51
溪	ɕɿ33	ɕɿ55	ɕɿ33	ɕɿ51
倪	nɿ25	nɿ31	ȵɿ24	ȵɿ51
奚	ɕɿ33	ɕɿ55	ɕɿ33	ɕɿ51
陛（陛下）	pɿ31	pɿ41		pɿ25
米	mɿ25	mɿ325	mɿ24	mɿ25
底	tɿ55	tɿ41	tɿ31	tɿ33
抵	tɿ55	tɿ41	tɿ55	tɿ33
體	tʰɿ55	tʰɿ41	tʰɿ55	tʰɿ25
弟	tɿ31	tɿ325	tɿ31	tɿ51
禮	lɿ25	lɿ325	lɿ24	lɿ25
擠	ʨɿ55	ʦɿ41	ʦɿ33	ʨɿ33
薺	ʨɿ55	ɕɿ41	ʦʰɿ24	ɕɿ51
洗	ɕɿ55	ɕɿ41	ɕɿ33	ɕɿ33
啟	ʨʰɿ25	ʨʰɿ41	ʨʰɿ24	ʨʰɿ25
閉	pɿ424	pɿ434	pɿ31	pɿ41
謎	mɿ31	mɿ55	mɿ31	mɿ41
帝	tɿ55	tɿ41	tɿ31	tɿ41
替	tʰɿ424	tʰɿ434	tʰɿ31	tʰɿ41
涕	tʰɿ424	tʰɿ41	tʰɿ31	tʰɿ41
剃	tʰɿ424	tʰɿ41	tʰɿ31	tʰɿ41
屜	tʰɿ33	ʦɿ55	tɿ31	tʰɿ41
第	tɿ31	tɿ31	tɿ31	tɿ41
遞	tɿ31	tɿ31	tɿ31	tʰɿ41
麗	lɿ55	lɿ31	lɿ25	
隸	lɿ33	lɿ31	lɿ31	lɿ41
濟	ʨɿ55	ʨɿ434	ʨɿ24	ʨɿ33
砌	ʨʰɿ424	ʨʰɿ41	ʨʰɿ31	ʨʰɿ41
劑（一劑藥）	ʨɿ31	ʨɿ55	ʨɿ31	ʨɿ41
細	ɕɿ31	ɕɿ434	ɕɿ31	ɕɿ41
婿（女婿）	ɕʮ33	ɕʮ55	ɕɿ31	ɕɿ41
計	ʨɿ424	ʨɿ434	ʨɿ31	ʨɿ41
繼	ʨɿ424	ʨɿ434	ʨɿ31	ʨɿ41
繫（~鞵帶）	ʨɿ424	ʨɿ434	ʨɿ31	ʨɿ41
契（契約）		ʨʰiɛʔ44	ʨʰɿ33	ʨʰɿ41
系（系統）	ɕɿ31	ɕɿ41	ɕɿ31	ɕɿ41
繫（聯繫）	ɕɿ33	ɕɿ41	ɕɿ31	ɕɿ41
係（確~實情）	ɕɿ31	ɕɿ55	ɕɪ31	ɕɿ41
杯	pᴇ33	pɘi55	pᴇ33	pe51
胚	pʰᴇ33	pʰai55	pʰᴇ33	pʰe51
坯		pʰai31	pʰᴇ33	pʰe51
培	pᴇ31	pɘi31	pʰᴇ33	pʰe25
陪	pᴇ31	pai31	pᴇ24	pe25
賠	pᴇ25	pai31	pᴇ24	pe25
裴	pᴇ25	pai31	pᴇ24	pe25
梅	mᴇ25	mai55	mᴇ24	me25
枚	mᴇ25		mᴇ24	me25
媒	mᴇ33	mai31	mæ24	mæ25
煤	mᴇ33	mai55	mᴇ33	me51
堆	tuᴇ33	tai55	tuᴇ33	tue51
推	tʰuᴇ33	tʰai55	tʰuᴇ33	tʰue51
雷	lᴇ33	lɘi55	lᴇ33	lue51
催	ʦʰuᴇ33	ʨʰyɘi55	ʨʰyᴇ33	ʨʰye51
崔	ʦʰuᴇ33	ʨʰyɘi55	ʨʰyᴇ33	ʨʰye51
盔	kʰuᴇ33	kʰuɘi55	kʰuᴇ33	kʰue51
魁	kʰuᴇ25	kuɘi31	kʰuᴇ24	kʰue25
恢	xuᴇ33	xuɘi55	xuᴇ33	xue51
桅	uᴇ25	uɘi325	uᴇ33	ue25
灰	xuɑ33	xuai55	xuɑ33	xue51
回	xuᴇ25	uɘi31	xuᴇ24	xue25
茴	xuᴇ25	uai31	xuᴇ24	xue25
煨	uᴇ33	uɘi55	uᴇ33	ve51
倍	pᴇ31	pɘi325	pᴇ31	pe51
每	mɤ55	mɘi434	mᴇ24	me25
腿	tʰuᴇ55	tʰɘi41	tʰuᴇ55	tʰue25
儡	lᴇ55	lɘi41	lᴇ24	lue51
罪	ʦuᴇ25	suɘi325	ʦuᴇ24	ʨye51
傀	kʰuᴇ55	kʰuɘi41	kʰuᴇ24	kʰue25
賄	xuᴇ31	xuɘi434	xuᴇ31	xue51
悔	xuᴇ25	xuɘi41	xuᴇ24	xue51
匯	xuᴇ31	uai434	xuᴇ31	xue51
輩	pᴇ424	pɘi41	pᴇ31	pæ41
背	pᴇ424	pai434	pæ31	pæ41
配	pʰᴇ424	pʰɘi434	pʰᴇ24	pʰe25
佩	pʰᴇ31	pʰɘi434	pʰᴇ31	pʰe25
背背誦	pᴇ31	pai325	pæ31	pæ41
妹	mæ31	mai434	mæ31	mæ41
昧	mᴇ31	mai434		mæ41
對	tuᴇ424	tɘi434	tuᴇ31	tue25
退	tʰuᴇ424	tʰɘi434	tʰuᴇ31	tʰue41
隊	tuᴇ31	tɘi325	tuᴇ31	tue41
內	luᴇ31	nɘi325	luᴇ31	lue41
碎	suᴇ424	suɘi434	suᴇ24	ɕye25
塊	kʰuæ424	kʰuai434	kuæ24	kʰuæ25
晦	xuᴇ424	xuai41		xue41
潰	kʰuᴇ424	kʰuɘi434	kʰuᴇ31	kʰue41
蛻		tʰɘi434	tʰuᴇ31	tʰue41
兌	tuᴇ31	tɘi325	tuᴇ31	tue41
最	ʦuᴇ424	ʨyɘi41	ʦuᴇ55	ʨye25
會（會計）	kuæ424	kuai434	kuæ31	kʰuᴀ41
劊	kʰuæ424	kʰuai434	kuᴇ31	kʰuᴀ41
檜	xuᴇ424	kuɘi41	xuᴇ31	kue41
外	væ31	uᴀ434	uɑ31	vᴀ41
會（開會）	væ31	uai325	uɑ31	xue41
會（會不會）	væ31	uai325	uɑ31	væ41
繪		xuɘi434	xuᴇ31	xue41
乖	kuɑ33	kua55	kuɑ33	kuᴀ51
懷	xuɑ25	ua31	xuɑ24	xuæ25
槐	xuɑ31	ua325	xuɑ24	vᴀ25
淮	xuɑ31	xuai31	xuɑ24	xuæ25
拽	ʦuæ31	ʨyai41		ʨyæ41
怪	kuɑ424	kua434	kuɑ31	kuᴀ25
蒯	kʰuɑ424	kʰua434	kʰuɑ24	kʰuᴀ41
塊	kʰuæ424	kʰuai434	kʰuæ31	kʰuæ25
壞	uɑ31	ua325	uɑ31	xuæ41
歪	uɑ33	ua55	uɑ33	vᴀ51
蛙	uɑ33	ua55	uɑ33	
拐	kuɑ55	kua41	kuɑ31	kuᴀ25
掛	kʊ424	kʊ434	ku31	kuᴀ41
卦	kʊ424	kʊ434	kuɑ31	kuᴀ41
畫	ʊ31	ʊ325	xu31	ʊ41
快	kʰuæ424	kʰuᴀ434	kʰuɑ31	kʰuᴀ41
筷	kʰuæ424	kʰuᴀ434	kʰuɑ31	kʰuᴀ41
話	ʊ31	ʊ325	u31	ʊ41
脆	ʦʰʮ424	ʦʰʮ434文讀、ʦʰɿ434白讀	ʦʰɿ31	ʨʰye25
歲	ɕʮ31	ɕɿ434	ɕɿ31	ɕye25
贅	ʦuᴇ424		ʨuᴇ31	ʨye41
稅	suᴇ424	suɘi434	suᴇ24	ɕye25
芮		ɕyɘi325	nᴇ31	lue41
鱖	kuᴇ55	kuɘi55	kuᴇ55	kue41
衛	uᴇ424	uɘi434	uᴇ31	ue25
銳		luɘi434		lue41
廢	fɿ424	fɿ434	fɿ24	fe25
肺	fɿ424	fɿ434	fɿ31	fe25
閨	kuᴇ33	kuɘi55	kuᴇ33	kue33
奎	kʰuᴇ25	kʰuɘi55	kʰuᴇ24	kʰue25
桂	kuᴇ33	kuɘi55	kuᴇ33	kue41
惠	xuᴇ31	xuɘi55	xuᴇ31	xue41
慧	xuᴇ31	xuɘi55	xuᴇ31	xue41
碑	pᴇ33	pɘi55	pᴇ33	pe51
卑	pᴇ33	pɘi55	pᴇ33	pe51
披	pʰɿ33	pʰɿ55	pʰɿ33	pʰɿ51
皮	pʰɿ25	pɿ31	pɿ24	pɿ25
疲	pʰɿ25	pɿ31	pʰɿ24	pʰɿ25
脾	pɿ25	pɿ31	pɿ24	pɿ25
糜	mɿ25	mɿ325	mɿ24	mɿ25
糜（粥）	mɿ25	mɿ325	mɿ24	mɿ25
彌	mɿ25	mɿ325	mɿ24	mɿ25
離（離別）	lɿ25	lɿ55	lɿ31	lɿ25
籬	lɿ25	lɿ31	lɿ31	lɿ25
璃	lɿ33	lɿ55	lɿ31	lɿ51
雌	ʦɿ33	ʦʰɿ325	ʦʰɿ24	ʦʰɿ25
疵	ʦʰɿ33	ʦʰɿ434	ʦʰɿ24	sɿ51
斯	sɿ33	sɿ55	sɿ33	sɿ51
廝	sɿ33	sɿ55	sɿ33	sɿ51
撕	sɿ33	sɿ55	sɿ33	sɿ51
知	ʦɿ33	ʦɿ55	ʦɿ33	ʦɿ51
蜘	ʦɿ33	ʦɿ55	ʦɿ33	ʦɿ51
池	ʦɿ25	ʦɿ31	ʦɿ24	ʦʰɿ25
馳	ʦʰɿ25	ʦɿ31	ʦʰɿ24	ʦʰɿ25
差（參差）		ʦʰɿ55	ʦʰɿ33	
篩	sɑ33	sᴀ55	sɑ24	sᴀ51
支	ʦɿ33	ʦɿ55	ʦɿ33	ʦɿ51
枝	ʦɿ33	ʦɿ55	ʦɿ33	ʦɿ51
肢	ʦɿ33	ʦɿ55	ʦɿ33	ʦɿ51
梔	ʦɿ33	ʦɿ55	ʦɿ33	ʦəʔ44
眵	ʦʰɿ33	ʦʰɿ55	ʦʰɿ33	ʦʰɿ25
施	sɿ33	sɿ55	sɿ33	sɿ51
匙	ʦʰɿ33	ʦʰɿ31	ʦʰɿ33	ʦʰɿ33
兒	e25	nɿ31白讀、æ434	ᴇ24	ɯ25
奇	ʨɿ25	ʨɿ31	ʨʰɿ24	ʨʰɿ25
騎	ʨɿ25	ʨɿ31	ʨɿ24	ʨɿ25
岐	ʨɿ25	ʨɿ31	ʨʰɿ24	ʨʰɿ25
宜（便宜）	ɿ33	nɿ325	ɿ24	ɿ51
儀	ɿ31	ɿ31	ɿ24	ɿ51
犧	ɕɿ33	ɕɿ434	ɕɿ33	ɕɿ51
移	ɿ31	ɿ325	ɿ24	ɿ25
彼	pɿ55	pɿ434	pɿ31	pɿ25
被	pɿ25	pɿ31	pɿ31	pe51
紫	ʦɿ55	ʦɿ41	ʦɿ55	ʦɿ33
此	ʦʰɿ25	ʦʰɿ325	ʦʰɿ55	ʦʰɿ25
璽	ɕɿ55	ɕɿ41		ɕɿ51
徙	ɕɿ25	ɕɿ41	ɕɿ55	ɕɿ51
紙	ʦɿ55	ʦɿ434	ʦɿ55	ʦɿ33
只	ʦəʔ44	ʦəʔ44	ʦʰəʔ33	ʦəʔ44
侈	ʦʰɿ55	ʦʰɿ41	ʦʰɿ33	ʦʰɿ33
是	sɿ31	sɿ325	sɿ24	sɿ25
氏	sɿ31	sɿ325	sɿ31	sɿ51
爾	ᴇ25	æ434	ᴇ24	ɯ25
企	ʨʰɿ25	ʨʰɿ434	ʨʰɿ24	ʨʰɿ25
技	ʨɿ31	ʨɿ31	ʨɿ31	ʨɿ51
妓	ʨɿ55	ʨɿ31	ʨɿ31	ʨɿ51
蟻	mɿ25	mɿ31	mɿ24	mɿ33
倚	ɿ25	ɿ325	ɿ24	ɿ51
椅	ɿ55	ɿ55	ɿ31	ɿ25
臂	pɿ25	pʰɿ41	pʰɿ31	piɛʔ44
譬	pɿ31	pʰɿ434	pʰɿ31	pɿ25
避	pɿ31	pɿ325	pɿ31	pɿ25
荔	liəʔ31	liɛʔ31	liɛʔ31	liɛʔ44
離（離開半寸）	lɿ31	lɿ31	lɿ31	lɿ41
刺	ʦʰɿ424	ʦʰɿ434	ʦʰɿ24	ʦʰɿ41
賜	ʦʰɿ424	ʦʰɿ434	ʦʰɿ31	ʦʰɿ41
智	ʦɿ31	ʦɿ434	ʦɿ31	ʦɿ41
翅	ʦʰɿ424	ʦʰɿ434	ʦʰɿ31	ʦʰɿ41
豉	ʦɿ33	ʦɿ31	ʨɿ31	ʨɿ25
寄	ʨɿ424	ʨɿ434	ʨɿ31	ʨɿ41
誼	ɿ31	nɿ55	ȵɿ31	ȵɿ41
義	ɿ31	ɿ31	ɿ31	ɿ41
議	ɿ31	ɿ31	ɿ31	ɿ41
戲	ɕɿ424	ɕɿ434	ɕɿ31	ɕɿ25
易	ɿ33	ɿ41	ɿ31	ɿ41
悲	pe33	pɘi55	pᴇ33	pe51
丕	pʰɿ33	pʰɿ55	pʰɿ33	pʰɿ25
琵	pɿ31	pɿ31	pɿ24	pɿ25
枇	piəʔ12	piɛʔ31	piɛʔ33	piɛʔ44
眉	mɿ31	mɘi31	mɿ31	me25
楣	mᴇ25	mɘi31	mᴇ31	me25
黴	mæ33	mai55	mᴇ31	mæ51
尼	nɿ25	nɿ31	ȵɿ24	ȵɿ25
梨	lɿ31	lɿ31	lɿ31	lɿ25
資	ʦɿ33	ʦɿ41	ʦɿ33	ʦɿ51
姿	ʦɿ33	ʦɿ41	ʦɿ33	ʦɿ51
咨	ʦɿ33	ʦɿ41	ʦɿ33	ʦɿ51
瓷	ʦʰɿ31	ʦɿ325	ʦɿ24	ʦʰɿ25
糍		ʦʰɿ31	ʦʰɿ31	ʦʰɿ25
私	sɿ33	sɿ55	sɿ33	sɿ51
遲	ʦʰɿ33	ʦɿ31	ʦʰɿ24	ʦɿ25
師	sɿ33	sɿ55	sɿ33	sɿ51
獅	sɿ33	sɿ55	sɿ33	sɿ51
脂	ʦɿ33	ʦɿ55	ʦɿ33	ʦɿ51
屍	sɿ33	sɿ55	sɿ33	sɿ51
屍屍體	sɿ33	sɿ55	sɿ33	sɿ51
饑	ʨɿ33	ʨɿ41	ʨɿ33	ʨɿ51
肌	ʨɿ33	ʨɿ41	ʨɿ33	ʨɿ51
祁	ʨʰɿ25	ʨɿ31	ʨʰɿ24	ʨʰɿ25
鰭	ʨʰɿ25	ʨɿ31		
伊	ɿ33	ɿ55	ɿ33	ɿ51
夷	ɿ31		ɿ24	ɿ51
姨	ɿ33	ɿ55	ɿ24	ɿ25
鄙	pɿ55	pɿ41	pɿ55	pɿ25
比	pɿ55	pɿ41	pɿ55	pɿ33
秕	piəʔ44		pɿ31	piɛʔ44
美	mᴇ25	mɘi55	mᴇ24	me25
履	lʮ55	lʮ434	lʮ24	
姊	ʦɿ55	ʦɿ434	ʦɿ31	ʦɿ41
死	sɿ55	sɿ41	sɿ55	sɿ33
旨	ʦɿ55	ʦɿ434	ʦɿ55	ʦɿ51
指	ʦɿ55	ʦɿ55	ʦɿ55	ʦɿ33
屎	sɿ55	sɿ41	sɿ55	sɿ33
幾茶几	ʨɿ55	ʨɿ55	ʨɿ55	ʨɿ33
泌	miəʔ12	miɛʔ31	miɛʔ31	pɿ41
庇	pɿ424	pɿ325	pɿ55	pɿ41
痹	pɿ55	pɿ325	pʰɿ31	pʰɿ41
屁	pʰɿ424	pʰɿ434	pʰɿ31	pʰɿ41
備	pᴇ31	pɘi325	pᴇ31	pe25
鼻	piəʔ12	piɛʔ31	piɛʔ31	piɛʔ44
篦		pi55	pɿ31	pɿ41
媚	mᴇ25	mɘi55	mᴇ31	me25
寐	mᴇ25		mᴇ31	me25
地	tɿ31	tɿ325	tɿ31	tɿ41
膩	ȵiəʔ12	ȵiɛʔ24	nɿ31	nɿ41
利	lɿ31	lɿ434	lɿ31	lɿ41
痢	lɿ31	lɿ31	lɿ31	lɿ41
次	ʦʰɿ424	ʦʰɿ434	ʦʰɿ24	ʦʰɿ41
自	ʦɿ31	sɿ31	ʦɿ31	ʦɿ41
四	sɿ51	sɿ434	sɿ24	sɿ41
肆	sɿ51	sɿ434	sɿ31	sɿ41
致	ʦɿ424	ʦɿ41	ʦɿ31	ʦɿ41
稚	ʦɿ31	ʦɿ41	ʦɿ31	ʦɿ41
至	ʦɿ424	ʦɿ41	ʦɿ31	ʦɿ41
示	sɿ31	sɿ325	sɿ31	sɿ41
視	sɿ31	sɿ325	sɿ31	sɿ41
嗜	sɿ31	sɿ434	sɿ31	sɿ41
二	ᴇ31	æ325	ᴇ31	ɯ41
貳	ᴇ31	æ325	ᴇ31	ɯ41
冀	ʨɿ424	ʨɿ434	ʨɿ31	ʨɿ41
器	ʨʰɿ424	ʨʰɿ41	ʨʰɿ31	ʨʰɿ41
棄	ʨʰɿ424	ʨʰɿ434	ʨʰɿ31	ʨʰɿ41
厘	lɿ25	lɿ55	lɿ31	lɿ25
狸（野貓）	lɿ25	lɿ55	lɿ31	lɿ25
茲	ʦɿ33	ʦɿ55	ʦʰɿ33	ʦʰɿ25
滋	ʦɿ33	ʦɿ41	ʦɿ33	ʦɿ51
慈	ʦʰɿ25	ʦɿ31	ʦʰɿ24	ʦʰɿ25
磁	ʦʰɿ25	ʦɿ325	ʦʰɿ24	ʦʰɿ25
司	sɿ33	sɿ55	sɿ33	sɿ51
絲	sɿ33	sɿ55	sɿ33	sɿ51
思	sɿ33	sɿ55	sɿ33	sɿ51
辭	sɿ31	ʦɿ31	ʦʰɿ24	ʦʰɿ25
詞	ʦʰɿ25	ʦʰɿ325	ʦʰɿ24	ʦʰɿ215
祠	ʦʰɿ31	sɿ31	ʦɿ24	sɿ215
癡	ʦʰɿ33	ʦʰɿ55	ʦʰɿ33	ʦʰɿ51
持	ʦʰɿ33	sɿ31	ʦʰɿ24	ʦʰɿ25
輜	ʦɿ33	ʦɿ55	ʦɿ31	
之	ʦɿ33	ʦɿ55	ʦɿ33	ʦɿ51
芝	ʦɿ33	ʦɿ55	ʦɿ33	ʦɿ51
嗤	ʦʰɿ33	ʦʰɿ55	ʦʰɿ33	ʦʰɿ51
詩	sɿ33	sɿ55	sɿ33	sɿ51
時	sɿ25	sɿ325	sɿ31	sɿ25
鰣	sɿ25	sɿ31	sɿ31	sɿ25
而	ᴇ25	æ325	ᴇ24	ɯ51
基	ʨɿ33	ʨɿ55	ʨɿ33	ʨɿ51
欺	ʨʰɿ33	ʨʰɿ41	ʨʰɿ33	ʨʰɿ51
其	ʨʰɿ31	ʨɿ31	ʨʰɿ24	ʨʰɿ25
棋	ʨʰɿ25	ʨɿ31	ʨɿ24	ʨɿ25
期	ʨʰɿ33	ʨɿ31	ʨʰɿ33	ʨʰɿ51
旗	ʨʰɿ33	ʨɿ31	ʨʰɿ24	ʨʰɿ25
疑	nɿ25	nɿ31	nɿ33	nɿ25
嬉	ɕɿ33	ɕɿ434	ɕɿ33	ɕɿ51
熙	ɕɿ33	ɕɿ434	ɕɿ33	ɕɿ51
醫	ɿ33	ɿ55	ɿ33	ɿ51
你	ŋ̩25	nɿ325	ŋ̩24	nɿ25
李	lɿ25	lɿ325	lɿ24	nɿ25
裏	lɿ25	lɿ325	lɿ24	nɿ25
