繁體	简体	=_xlfn.CONCAT(E1,F1,G1)	註釋	聲	韻	調			
波	波	=_xlfn.CONCAT(E981,F981,G981)		p	ɔ	45			
簸	簸	=_xlfn.CONCAT(E982,F982,G982)		p	ɔ	42			
播	播	=_xlfn.CONCAT(E983,F983,G983)		p	ɔ	214			
玻	玻	=_xlfn.CONCAT(E984,F984,G984)		p	ɔ	45			
癶	癶	=_xlfn.CONCAT(E985,F985,G985)		p	ɔ	214			
袚	袚	=_xlfn.CONCAT(E986,F986,G986)		p	ɔ	214			
茇	茇	=_xlfn.CONCAT(E987,F987,G987)		p	ɔ	214			
盋	盋	=_xlfn.CONCAT(E988,F988,G988)		p	ɔ	214			
鱍	鱍	=_xlfn.CONCAT(E989,F989,G989)		p	ɔ	214			
䢌	䢌	=_xlfn.CONCAT(E990,F990,G990)		p	ɔ	214			
襏	袯	=_xlfn.CONCAT(E991,F991,G991)		p	ɔ	214			
㤄	㤄	=_xlfn.CONCAT(E992,F992,G992)		p	ɔ	214			
缽	钵	=_xlfn.CONCAT(E993,F993,G993)		p	ɔ	214			
撥	拨	=_xlfn.CONCAT(E994,F994,G994)		p	ɔ	214			
潑	泼	=_xlfn.CONCAT(E995,F995,G995)	活潑	p	ɔ	214			
博	博	=_xlfn.CONCAT(E996,F996,G996)		p	ɔ	214			
亳	亳	=_xlfn.CONCAT(E997,F997,G997)		p	ɔ	214			
箔	箔	=_xlfn.CONCAT(E998,F998,G998)		p	ɔ	214			
簿	簿	=_xlfn.CONCAT(E999,F999,G999)	也有读pu214的	p	ɔ	214			
䥬	䥬	=_xlfn.CONCAT(E1000,F1000,G1000)		p	ɔ	214			
踄	踄	=_xlfn.CONCAT(E1001,F1001,G1001)		p	ɔ	214			
䭦	䭦	=_xlfn.CONCAT(E1002,F1002,G1002)		p	ɔ	214			
薄	薄	=_xlfn.CONCAT(E1003,F1003,G1003)		p	ɔ	214			
薄	薄	=_xlfn.CONCAT(E1004,F1004,G1004)	薄荷	p	ɔ	214			
泊	泊	=_xlfn.CONCAT(E1005,F1005,G1005)	门泊东吴万里船	pʰ	ɔ	214			
剝	剥	=_xlfn.CONCAT(E1006,F1006,G1006)		p	ɔ	214			
駁	驳	=_xlfn.CONCAT(E1007,F1007,G1007)		p	ɔ	214			
卜	卜	=_xlfn.CONCAT(E1008,F1008,G1008)		pʰ	ɔ	214			
頗	颇	=_xlfn.CONCAT(E1009,F1009,G1009)		pʰ	ɔ	45			
坡	坡	=_xlfn.CONCAT(E1010,F1010,G1010)		pʰ	ɔ	45			
破	破	=_xlfn.CONCAT(E1011,F1011,G1011)		pʰ	ɔ	214			
婆	婆	=_xlfn.CONCAT(E1012,F1012,G1012)		pʰ	ɔ	21			
訃	讣	=_xlfn.CONCAT(E1013,F1013,G1013)		pʰ	ɔ	214			
剖	剖	=_xlfn.CONCAT(E1014,F1014,G1014)	白讀，作動詞。如：～魚	pʰ	ɔ	214			
剖	剖	=_xlfn.CONCAT(E1015,F1015,G1015)		pʰ	ɔ	42			
潑	泼	=_xlfn.CONCAT(E1016,F1016,G1016)	潑水	pʰ	ɔ	214			
粕	粕	=_xlfn.CONCAT(E1017,F1017,G1017)		pʰ	ɔ	214			
膊	膊	=_xlfn.CONCAT(E1018,F1018,G1018)		pʰ	ɔ	214			
㩧	㩧	=_xlfn.CONCAT(E1019,F1019,G1019)		pʰ	ɔ	214			
璞	璞	=_xlfn.CONCAT(E1020,F1020,G1020)		pʰ	ɔ	214			
娑	娑	=_xlfn.CONCAT(E1021,F1021,G1021)		s	ɔ	45			
睃	睃	=_xlfn.CONCAT(E1022,F1022,G1022)		s	ɔ	21			
蓑	蓑	=_xlfn.CONCAT(E1023,F1023,G1023)		s	ɔ	45			
梭	梭	=_xlfn.CONCAT(E1024,F1024,G1024)		s	ɔ	45			
趖	趖	=_xlfn.CONCAT(E1025,F1025,G1025)		s	ɔ	45			
唆	唆	=_xlfn.CONCAT(E1026,F1026,G1026)		s	ɔ	45			
鎖	锁	=_xlfn.CONCAT(E1027,F1027,G1027)		s	ɔ	42			
瑣	琐	=_xlfn.CONCAT(E1028,F1028,G1028)		s	ɔ	42			
所	所	=_xlfn.CONCAT(E1029,F1029,G1029)		s	ɔ	42			
𠻜	𠻜	=_xlfn.CONCAT(E1030,F1030,G1030)		s	ɔ	214			
𠴪	𠴪	=_xlfn.CONCAT(E1031,F1031,G1031)		s	ɔ	214			
說	说	=_xlfn.CONCAT(E1032,F1032,G1032)		s	ɔ	214			
率	率	=_xlfn.CONCAT(E1033,F1033,G1033)	极老派	s	ɔ	214			
索	索	=_xlfn.CONCAT(E1034,F1034,G1034)		s	ɔ	214			
嗦	嗦	=_xlfn.CONCAT(E1035,F1035,G1035)		s	ɔ	214			
溹	溹	=_xlfn.CONCAT(E1036,F1036,G1036)		s	ɔ	214			
㮦	㮦	=_xlfn.CONCAT(E1037,F1037,G1037)		s	ɔ	214			
𦵫	𦵫	=_xlfn.CONCAT(E1038,F1038,G1038)		s	ɔ	214			
𩌈	𩌈	=_xlfn.CONCAT(E1039,F1039,G1039)		s	ɔ	214			
𢱢	𢱢	=_xlfn.CONCAT(E1040,F1040,G1040)		s	ɔ	214			
勺	勺	=_xlfn.CONCAT(E1041,F1041,G1041)		s	ɔ	214			
芍	芍	=_xlfn.CONCAT(E1042,F1042,G1042)		s	ɔ	214			
仢	仢	=_xlfn.CONCAT(E1043,F1043,G1043)		s	ɔ	214			
杓	杓	=_xlfn.CONCAT(E1044,F1044,G1044)		s	ɔ	214			
汋	汋	=_xlfn.CONCAT(E1045,F1045,G1045)		s	ɔ	214			
爍	烁	=_xlfn.CONCAT(E1046,F1046,G1046)		s	ɔ	214			
鑠	铄	=_xlfn.CONCAT(E1047,F1047,G1047)		s	ɔ	214			
獡	獡	=_xlfn.CONCAT(E1048,F1048,G1048)		s	ɔ	214			
㜰	㜰	=_xlfn.CONCAT(E1049,F1049,G1049)		s	ɔ	214			
䁻	䁻	=_xlfn.CONCAT(E1050,F1050,G1050)		s	ɔ	214			
䟏	䟏	=_xlfn.CONCAT(E1051,F1051,G1051)		s	ɔ	214			
碩	硕	=_xlfn.CONCAT(E1052,F1052,G1052)		s	ɔ	214			
欶	欶	=_xlfn.CONCAT(E1053,F1053,G1053)		s	ɔ	214			
矟	矟	=_xlfn.CONCAT(E1054,F1054,G1054)		s	ɔ	214			
槊	槊	=_xlfn.CONCAT(E1055,F1055,G1055)		s	ɔ	214			
蒴	蒴	=_xlfn.CONCAT(E1056,F1056,G1056)		s	ɔ	214			
箾	箾	=_xlfn.CONCAT(E1057,F1057,G1057)		s	ɔ	214			
𦂗	𦂗	=_xlfn.CONCAT(E1058,F1058,G1058)		s	ɔ	214			
㮶	㮶	=_xlfn.CONCAT(E1059,F1059,G1059)		s	ɔ	214			
揱	揱	=_xlfn.CONCAT(E1060,F1060,G1060)		s	ɔ	214			
朔	朔	=_xlfn.CONCAT(E1061,F1061,G1061)		s	ɔ	214			
𢷾	𢷾	=_xlfn.CONCAT(E1062,F1062,G1062)		s	ɔ	214			
多	多	=_xlfn.CONCAT(E1063,F1063,G1063)		t	ɔ	45			
舵	舵	=_xlfn.CONCAT(E1064,F1064,G1064)		t	ɔ	214			
朵	朵	=_xlfn.CONCAT(E1065,F1065,G1065)	耳朵	t	ɔ	45			
朵	朵	=_xlfn.CONCAT(E1066,F1066,G1066)		t	ɔ	42			
躲	躲	=_xlfn.CONCAT(E1067,F1067,G1067)		t	ɔ	42			
剁	剁	=_xlfn.CONCAT(E1068,F1068,G1068)	剁，剁碎	t	ɔ	214			
惰	惰	=_xlfn.CONCAT(E1069,F1069,G1069)		t	ɔ	214			
挩	捝	=_xlfn.CONCAT(E1070,F1070,G1070)	動詞，可能是戳的白读的后造字	t	ɔ	214			
奪	夺	=_xlfn.CONCAT(E1071,F1071,G1071)		t	ɔ	214			
敠	敠	=_xlfn.CONCAT(E1072,F1072,G1072)		t	ɔ	214			
裰	裰	=_xlfn.CONCAT(E1073,F1073,G1073)		t	ɔ	214			
咄	咄	=_xlfn.CONCAT(E1074,F1074,G1074)		t	ɔ	214			
祋	祋	=_xlfn.CONCAT(E1075,F1075,G1075)		t	ɔ	214			
掇	掇	=_xlfn.CONCAT(E1076,F1076,G1076)		t	ɔ	214			
剟	剟	=_xlfn.CONCAT(E1077,F1077,G1077)		t	ɔ	214			
鵽	鵽	=_xlfn.CONCAT(E1078,F1078,G1078)		t	ɔ	214			
鐸	铎	=_xlfn.CONCAT(E1079,F1079,G1079)		t	ɔ	214			
䐾	䐾	=_xlfn.CONCAT(E1080,F1080,G1080)		t	ɔ	214			
㤞	㤞	=_xlfn.CONCAT(E1081,F1081,G1081)		t	ɔ	214			
喥	喥	=_xlfn.CONCAT(E1082,F1082,G1082)		t	ɔ	214			
仛	仛	=_xlfn.CONCAT(E1083,F1083,G1083)		t	ɔ	214			
𨍏	𨍏	=_xlfn.CONCAT(E1084,F1084,G1084)		t	ɔ	214			
踱	踱	=_xlfn.CONCAT(E1085,F1085,G1085)		t	ɔ	214			
戳	戳	=_xlfn.CONCAT(E1086,F1086,G1086)	白讀	t	ɔ	214			
拖	拖	=_xlfn.CONCAT(E1087,F1087,G1087)		tʰ	ɔ	45			
駝	驼	=_xlfn.CONCAT(E1088,F1088,G1088)		tʰ	ɔ	21			
陀	陀	=_xlfn.CONCAT(E1089,F1089,G1089)		tʰ	ɔ	21			
馱	驮	=_xlfn.CONCAT(E1090,F1090,G1090)		tʰ	ɔ	21			
妥	妥	=_xlfn.CONCAT(E1091,F1091,G1091)		tʰ	ɔ	42			
唾	唾	=_xlfn.CONCAT(E1092,F1092,G1092)		tʰ	ɔ	214			
墮	堕	=_xlfn.CONCAT(E1093,F1093,G1093)		tʰ	ɔ	214			
脫	脱	=_xlfn.CONCAT(E1094,F1094,G1094)		tʰ	ɔ	214			
託	托	=_xlfn.CONCAT(E1095,F1095,G1095)		tʰ	ɔ	214			
托	托	=_xlfn.CONCAT(E1096,F1096,G1096)		tʰ	ɔ	214			
跅	跅	=_xlfn.CONCAT(E1097,F1097,G1097)		tʰ	ɔ	214			
𪜲	𪜲	=_xlfn.CONCAT(E1098,F1098,G1098)		tʰ	ɔ	214			
橐	橐	=_xlfn.CONCAT(E1099,F1099,G1099)		tʰ	ɔ	214			
袥	袥	=_xlfn.CONCAT(E1100,F1100,G1100)		tʰ	ɔ	214			
魠	魠	=_xlfn.CONCAT(E1101,F1101,G1101)		tʰ	ɔ	214			
籜	箨	=_xlfn.CONCAT(E1102,F1102,G1102)		tʰ	ɔ	214			
拓	拓	=_xlfn.CONCAT(E1103,F1103,G1103)		tʰ	ɔ	214			
馲	馲	=_xlfn.CONCAT(E1104,F1104,G1104)		tʰ	ɔ	214			
蘀	蘀	=_xlfn.CONCAT(E1105,F1105,G1105)		tʰ	ɔ	214			
侂	侂	=_xlfn.CONCAT(E1106,F1106,G1106)		tʰ	ɔ	214			
飥	饦	=_xlfn.CONCAT(E1107,F1107,G1107)		tʰ	ɔ	214			
沰	沰	=_xlfn.CONCAT(E1108,F1108,G1108)		tʰ	ɔ	214			
矺	矺	=_xlfn.CONCAT(E1109,F1109,G1109)		tʰ	ɔ	214			
左	左	=_xlfn.CONCAT(E1110,F1110,G1110)		ts	ɔ	42			
佐	佐	=_xlfn.CONCAT(E1111,F1111,G1111)	佐料	ts	ɔ	214			
坐	坐	=_xlfn.CONCAT(E1112,F1112,G1112)		ts	ɔ	214或45			
座	座	=_xlfn.CONCAT(E1113,F1113,G1113)		ts	ɔ	214或45			
繓	繓	=_xlfn.CONCAT(E1114,F1114,G1114)	一撮	ts	ɔ	214			
輟	辍	=_xlfn.CONCAT(E1115,F1115,G1115)		tsʰ	ɔ	214			
茁	茁	=_xlfn.CONCAT(E1116,F1116,G1116)		ts	ɔ	214			
作	作	=_xlfn.CONCAT(E1117,F1117,G1117)		ts	ɔ	214			
昨	昨	=_xlfn.CONCAT(E1118,F1118,G1118)		ts	ɔ	45			
酢	酢	=_xlfn.CONCAT(E1119,F1119,G1119)		ts	ɔ	214			
莋	莋	=_xlfn.CONCAT(E1120,F1120,G1120)		ts	ɔ	214			
筰	筰	=_xlfn.CONCAT(E1121,F1121,G1121)		ts	ɔ	214			
柞	柞	=_xlfn.CONCAT(E1122,F1122,G1122)		ts	ɔ	214			
𦁎	𦁎	=_xlfn.CONCAT(E1123,F1123,G1123)		ts	ɔ	214			
㸲	㸲	=_xlfn.CONCAT(E1124,F1124,G1124)		ts	ɔ	214			
𢂃	𢂃	=_xlfn.CONCAT(E1125,F1125,G1125)		ts	ɔ	214			
岞	岝	=_xlfn.CONCAT(E1126,F1126,G1126)		ts	ɔ	214			
䎰	䎰	=_xlfn.CONCAT(E1127,F1127,G1127)		ts	ɔ	214			
飵	飵	=_xlfn.CONCAT(E1128,F1128,G1128)		ts	ɔ	214			
秨	秨	=_xlfn.CONCAT(E1129,F1129,G1129)		ts	ɔ	214			
葃	葃	=_xlfn.CONCAT(E1130,F1130,G1130)		ts	ɔ	214			
鈼	鈼	=_xlfn.CONCAT(E1131,F1131,G1131)		ts	ɔ	214			
䋏	䋏	=_xlfn.CONCAT(E1132,F1132,G1132)		ts	ɔ	214			
櫡	櫡	=_xlfn.CONCAT(E1133,F1133,G1133)		ts	ɔ	214			
𥖛	𥖛	=_xlfn.CONCAT(E1134,F1134,G1134)		ts	ɔ	214			
鐯	鐯	=_xlfn.CONCAT(E1135,F1135,G1135)		ts	ɔ	214			
𣃈	𣃈	=_xlfn.CONCAT(E1136,F1136,G1136)		ts	ɔ	214			
擆	擆	=_xlfn.CONCAT(E1137,F1137,G1137)		ts	ɔ	214			
著	着	=_xlfn.CONCAT(E1138,F1138,G1138)	着落、着火	ts	ɔ	214			
斲	斲	=_xlfn.CONCAT(E1139,F1139,G1139)		ts	ɔ	214			
涿	涿	=_xlfn.CONCAT(E1140,F1140,G1140)		ts	ɔ	214			
斀	斀	=_xlfn.CONCAT(E1141,F1141,G1141)		ts	ɔ	214			
諑	诼	=_xlfn.CONCAT(E1142,F1142,G1142)		ts	ɔ	214			
噣	噣	=_xlfn.CONCAT(E1143,F1143,G1143)		ts	ɔ	214			
䐁	䐁	=_xlfn.CONCAT(E1144,F1144,G1144)		ts	ɔ	214			
倬	倬	=_xlfn.CONCAT(E1145,F1145,G1145)		ts	ɔ	214			
晫	晫	=_xlfn.CONCAT(E1146,F1146,G1146)		ts	ɔ	214			
菿	菿	=_xlfn.CONCAT(E1147,F1147,G1147)		ts	ɔ	214			
𢽚	𢽚	=_xlfn.CONCAT(E1148,F1148,G1148)		ts	ɔ	214			
卓	卓	=_xlfn.CONCAT(E1149,F1149,G1149)		ts	ɔ	214			
桌	桌	=_xlfn.CONCAT(E1150,F1150,G1150)		ts	ɔ	214			
琢	琢	=_xlfn.CONCAT(E1151,F1151,G1151)		ts	ɔ	214			
啄	啄	=_xlfn.CONCAT(E1152,F1152,G1152)		ts	ɔ	214			
齺	齺	=_xlfn.CONCAT(E1153,F1153,G1153)		ts	ɔ	214			
篧	篧	=_xlfn.CONCAT(E1154,F1154,G1154)		ts	ɔ	214			
澩	泶	=_xlfn.CONCAT(E1155,F1155,G1155)		ts	ɔ	214			
灂	灂	=_xlfn.CONCAT(E1156,F1156,G1156)		ts	ɔ	214			
鋜	鋜	=_xlfn.CONCAT(E1157,F1157,G1157)		ts	ɔ	214			
丵	丵	=_xlfn.CONCAT(E1158,F1158,G1158)		ts	ɔ	214			
浞	浞	=_xlfn.CONCAT(E1159,F1159,G1159)		ts	ɔ	214			
鷟	鷟	=_xlfn.CONCAT(E1160,F1160,G1160)		ts	ɔ	214			
斮	斮	=_xlfn.CONCAT(E1161,F1161,G1161)		ts	ɔ	214			
穱	穱	=_xlfn.CONCAT(E1162,F1162,G1162)		ts	ɔ	214			
𥼚	𥼚	=_xlfn.CONCAT(E1163,F1163,G1163)		ts	ɔ	214			
穛	穛	=_xlfn.CONCAT(E1164,F1164,G1164)		ts	ɔ	214			
捉	捉	=_xlfn.CONCAT(E1165,F1165,G1165)		ts	ɔ	214			
鐲	鐲	=_xlfn.CONCAT(E1166,F1166,G1166)		ts	ɔ	214			
濯	濯	=_xlfn.CONCAT(E1167,F1167,G1167)		ts	ɔ	214			
擢	擢	=_xlfn.CONCAT(E1168,F1168,G1168)		ts	ɔ	214			
嬥	嬥	=_xlfn.CONCAT(E1169,F1169,G1169)		ts	ɔ	214			
鵫	鵫	=_xlfn.CONCAT(E1170,F1170,G1170)		ts	ɔ	214			
㺟	㺟	=_xlfn.CONCAT(E1171,F1171,G1171)		ts	ɔ	214			
鸀	鸀	=_xlfn.CONCAT(E1172,F1172,G1172)		ts	ɔ	214			
蠗	蠗	=_xlfn.CONCAT(E1173,F1173,G1173)		ts	ɔ	214			
鸐	鸐	=_xlfn.CONCAT(E1174,F1174,G1174)		ts	ɔ	214			
䞰	䞰	=_xlfn.CONCAT(E1175,F1175,G1175)		ts	ɔ	214			
斫	斫	=_xlfn.CONCAT(E1176,F1176,G1176)		ts	ɔ	214			
灼	灼	=_xlfn.CONCAT(E1177,F1177,G1177)		ts	ɔ	214			
彴	彴	=_xlfn.CONCAT(E1178,F1178,G1178)		ts	ɔ	214			
𧘑	𧘑	=_xlfn.CONCAT(E1179,F1179,G1179)		ts	ɔ	214			
㣿	㣿	=_xlfn.CONCAT(E1180,F1180,G1180)		ts	ɔ	214			
酌	酌	=_xlfn.CONCAT(E1181,F1181,G1181)		ts	ɔ	214			
焯	焯	=_xlfn.CONCAT(E1182,F1182,G1182)	罕用	ts	ɔ	214			
搓	搓	=_xlfn.CONCAT(E1183,F1183,G1183)		tsʰ	ɔ	45			
銼	锉	=_xlfn.CONCAT(E1184,F1184,G1184)		tsʰ	ɔ	214			
矬	矬	=_xlfn.CONCAT(E1185,F1185,G1185)		tsʰ	ɔ	21			
錯	错	=_xlfn.CONCAT(E1186,F1186,G1186)		tsʰ	ɔ	214			
攥	攥	=_xlfn.CONCAT(E1187,F1187,G1187)	摘	tsʰ	ɔ	214			
撮	撮	=_xlfn.CONCAT(E1188,F1188,G1188)	一撮，少，頭髮一撮厘兒	tsʰ	ɔ	214			
襊	襊	=_xlfn.CONCAT(E1189,F1189,G1189)		tsʰ	ɔ	214			
歠	歠	=_xlfn.CONCAT(E1190,F1190,G1190)		tsʰ	ɔ	214			
啜	啜	=_xlfn.CONCAT(E1191,F1191,G1191)		tsʰ	ɔ	214			
拙	拙	=_xlfn.CONCAT(E1192,F1192,G1192)		tsʰ	ɔ	214			
莡	莡	=_xlfn.CONCAT(E1193,F1193,G1193)		tsʰ	ɔ	214			
錯	错	=_xlfn.CONCAT(E1194,F1194,G1194)		tsʰ	ɔ	214			
縒	縒	=_xlfn.CONCAT(E1195,F1195,G1195)		tsʰ	ɔ	214			
剒	剒	=_xlfn.CONCAT(E1196,F1196,G1196)		tsʰ	ɔ	214			
逪	逪	=_xlfn.CONCAT(E1197,F1197,G1197)		tsʰ	ɔ	214			
䱜	䱜	=_xlfn.CONCAT(E1198,F1198,G1198)		tsʰ	ɔ	214			
鑿	凿	=_xlfn.CONCAT(E1199,F1199,G1199)		tsʰ	ɔ	214			
著	着	=_xlfn.CONCAT(E1200,F1200,G1200)	睡著	tsʰ	ɔ	45			
逴	逴	=_xlfn.CONCAT(E1201,F1201,G1201)		tsʰ	ɔ	214			
趠	趠	=_xlfn.CONCAT(E1202,F1202,G1202)		tsʰ	ɔ	214			
晫	晫	=_xlfn.CONCAT(E1203,F1203,G1203)		tsʰ	ɔ	214			
踔	踔	=_xlfn.CONCAT(E1204,F1204,G1204)		tsʰ	ɔ	214			
㪬	㪬	=_xlfn.CONCAT(E1205,F1205,G1205)		tsʰ	ɔ	214			
齪	龊	=_xlfn.CONCAT(E1206,F1206,G1206)		tsʰ	ɔ	214			
齱	齱	=_xlfn.CONCAT(E1207,F1207,G1207)		tsʰ	ɔ	214			
娕	娕	=_xlfn.CONCAT(E1208,F1208,G1208)		tsʰ	ɔ	214			
擉	擉	=_xlfn.CONCAT(E1209,F1209,G1209)		tsʰ	ɔ	214			
䃗	䃗	=_xlfn.CONCAT(E1210,F1210,G1210)		tsʰ	ɔ	214			
娖	娖	=_xlfn.CONCAT(E1211,F1211,G1211)		tsʰ	ɔ	214			
簎	簎	=_xlfn.CONCAT(E1212,F1212,G1212)		tsʰ	ɔ	214			
戳	戳	=_xlfn.CONCAT(E1213,F1213,G1213)		tsʰ	ɔ	214			
濁	浊	=_xlfn.CONCAT(E1214,F1214,G1214)		tsʰ	ɔ	214			
呵	呵	=_xlfn.CONCAT(E1215,F1215,G1215)	呵呵笑	x	ɔ	45			
呵	呵	=_xlfn.CONCAT(E1216,F1216,G1216)	呵斥	x	ɔ	214			
訶	诃	=_xlfn.CONCAT(E1217,F1217,G1217)	表示哄騙	x	ɔ	45			
何	何	=_xlfn.CONCAT(E1218,F1218,G1218)		x	ɔ	21			
河	河	=_xlfn.CONCAT(E1219,F1219,G1219)		x	ɔ	21			
荷	荷	=_xlfn.CONCAT(E1220,F1220,G1220)	荷花池	x	ɔ	21			
荷	荷	=_xlfn.CONCAT(E1221,F1221,G1221)	负荷	x	ɔ	214			
賀	贺	=_xlfn.CONCAT(E1222,F1222,G1222)		x	ɔ	214			
火	火	=_xlfn.CONCAT(E1223,F1223,G1223)		x	ɔ	42			
夥	伙	=_xlfn.CONCAT(E1224,F1224,G1224)		x	ɔ	42			
貨	货	=_xlfn.CONCAT(E1225,F1225,G1225)		x	ɔ	214			
禾	禾	=_xlfn.CONCAT(E1226,F1226,G1226)		x	ɔ	21			
和	和	=_xlfn.CONCAT(E1227,F1227,G1227)	和平	x	ɔ	21			
禍	祸	=_xlfn.CONCAT(E1228,F1228,G1228)		x	ɔ	214			
和	和	=_xlfn.CONCAT(E1229,F1229,G1229)	附和	x	ɔ	214			
喝	喝	=_xlfn.CONCAT(E1230,F1230,G1230)	喝水（老），喝斥	x	ɔ	214			
喝	喝	=_xlfn.CONCAT(E1231,F1231,G1231)	喝水（新）	x	ɔ	45			
郃	郃	=_xlfn.CONCAT(E1232,F1232,G1232)		x	ɔ	214			
䢔	䢔	=_xlfn.CONCAT(E1233,F1233,G1233)		x	ɔ	214			
榙	榙	=_xlfn.CONCAT(E1234,F1234,G1234)		x	ɔ	214			
㭘	㭘	=_xlfn.CONCAT(E1235,F1235,G1235)		x	ɔ	214			
詥	詥	=_xlfn.CONCAT(E1236,F1236,G1236)		x	ɔ	214			
耠	耠	=_xlfn.CONCAT(E1237,F1237,G1237)		x	ɔ	214			
𪘁	𪘁	=_xlfn.CONCAT(E1238,F1238,G1238)		x	ɔ	214			
頜	頜	=_xlfn.CONCAT(E1239,F1239,G1239)		x	ɔ	214			
合	合	=_xlfn.CONCAT(E1240,F1240,G1240)		x	ɔ	214			
欱	欱	=_xlfn.CONCAT(E1241,F1241,G1241)		x	ɔ	214			
㽺	㽺	=_xlfn.CONCAT(E1242,F1242,G1242)		x	ɔ	214			
㾑	㾑	=_xlfn.CONCAT(E1243,F1243,G1243)		x	ɔ	214			
盒	盒	=_xlfn.CONCAT(E1244,F1244,G1244)		x	ɔ	214			
𠿒	𠿒	=_xlfn.CONCAT(E1245,F1245,G1245)		x	ɔ	214			
猲	猲	=_xlfn.CONCAT(E1246,F1246,G1246)		x	ɔ	214			
𦤦	𦤦	=_xlfn.CONCAT(E1247,F1247,G1247)		x	ɔ	214			
㿣	㿣	=_xlfn.CONCAT(E1248,F1248,G1248)		x	ɔ	214			
曷	曷	=_xlfn.CONCAT(E1249,F1249,G1249)		x	ɔ	214			
䫘	䫘	=_xlfn.CONCAT(E1250,F1250,G1250)		x	ɔ	214			
褐	褐	=_xlfn.CONCAT(E1251,F1251,G1251)		x	ɔ	214			
毼	毼	=_xlfn.CONCAT(E1252,F1252,G1252)		x	ɔ	214			
鶡	鹖	=_xlfn.CONCAT(E1253,F1253,G1253)		x	ɔ	214			
餲	餲	=_xlfn.CONCAT(E1254,F1254,G1254)		x	ɔ	214			
鶻	鹘	=_xlfn.CONCAT(E1255,F1255,G1255)		x	ɔ	214			
鞨	鞨	=_xlfn.CONCAT(E1256,F1256,G1256)		x	ɔ	214			
眓	眓	=_xlfn.CONCAT(E1257,F1257,G1257)		x	ɔ	214			
濊	濊	=_xlfn.CONCAT(E1258,F1258,G1258)	水聲	x	ɔ	214			
奯	奯	=_xlfn.CONCAT(E1259,F1259,G1259)		x	ɔ	214			
豁	豁	=_xlfn.CONCAT(E1260,F1260,G1260)	动词，骗人	x	ɔ	45			
豁	豁	=_xlfn.CONCAT(E1261,F1261,G1261)	豁达	x	ɔ	214			
䄆	䄆	=_xlfn.CONCAT(E1262,F1262,G1262)		x	ɔ	214			
鬠	鬠	=_xlfn.CONCAT(E1263,F1263,G1263)		x	ɔ	214			
佸	佸	=_xlfn.CONCAT(E1264,F1264,G1264)		x	ɔ	214			
秳	秳	=_xlfn.CONCAT(E1265,F1265,G1265)	秳蔴	x	ɔ	214			
姡	姡	=_xlfn.CONCAT(E1266,F1266,G1266)	1.羞愧的樣子    2.狡猾，狡詐	x	ɔ	214			
活	活	=_xlfn.CONCAT(E1267,F1267,G1267)		x	ɔ	214或45			
穫	获	=_xlfn.CONCAT(E1268,F1268,G1268)	收穫	x	ɔ	214			
鑊	镬	=_xlfn.CONCAT(E1269,F1269,G1269)		x	ɔ	214			
㦜	㦜	=_xlfn.CONCAT(E1270,F1270,G1270)		x	ɔ	214			
檴	檴	=_xlfn.CONCAT(E1271,F1271,G1271)		x	ɔ	214			
𢋒	𢋒	=_xlfn.CONCAT(E1272,F1272,G1272)		x	ɔ	214			
濩	濩	=_xlfn.CONCAT(E1273,F1273,G1273)		x	ɔ	214			
𤻙	𤻙	=_xlfn.CONCAT(E1274,F1274,G1274)		x	ɔ	214			
擭	擭	=_xlfn.CONCAT(E1275,F1275,G1275)		x	ɔ	214			
𤐰	𤐰	=_xlfn.CONCAT(E1276,F1276,G1276)		x	ɔ	214			
䨥	䨥	=_xlfn.CONCAT(E1277,F1277,G1277)		x	ɔ	214			
壑	壑	=_xlfn.CONCAT(E1278,F1278,G1278)		x	ɔ	214			
熇	熇	=_xlfn.CONCAT(E1279,F1279,G1279)		x	ɔ	214			
鄗	鄗	=_xlfn.CONCAT(E1280,F1280,G1280)		x	ɔ	214			
㕡	㕡	=_xlfn.CONCAT(E1281,F1281,G1281)		x	ɔ	214			
蠚	蠚	=_xlfn.CONCAT(E1282,F1282,G1282)	1.~蔴：一种植物 2.作動詞，表示使身上發癢	x	ɔ	214			
謞	謞	=_xlfn.CONCAT(E1283,F1283,G1283)		x	ɔ	214			
郝	郝	=_xlfn.CONCAT(E1284,F1284,G1284)		x	ɔ	214			
鰝	鰝	=_xlfn.CONCAT(E1285,F1285,G1285)		x	ɔ	214			
熇	熇	=_xlfn.CONCAT(E1286,F1286,G1286)		x	ɔ	214			
嗃	嗃	=_xlfn.CONCAT(E1287,F1287,G1287)		x	ɔ	214			
矐	矐	=_xlfn.CONCAT(E1288,F1288,G1288)		x	ɔ	214			
歊	歊	=_xlfn.CONCAT(E1289,F1289,G1289)		x	ɔ	214			
臛	臛	=_xlfn.CONCAT(E1290,F1290,G1290)		x	ɔ	214			
霍	霍	=_xlfn.CONCAT(E1291,F1291,G1291)		x	ɔ	214			
藿	藿	=_xlfn.CONCAT(E1292,F1292,G1292)		x	ɔ	214			
攉	攉	=_xlfn.CONCAT(E1293,F1293,G1293)		x	ɔ	214			
瀖	瀖	=_xlfn.CONCAT(E1294,F1294,G1294)		x	ɔ	214			
劐	劐	=_xlfn.CONCAT(E1295,F1295,G1295)		x	ɔ	214			
癨	癨	=_xlfn.CONCAT(E1296,F1296,G1296)		x	ɔ	214			
