#ɿ
tsɿ ①之芝猪诸朱诛蛛珠株支枝肢知蜘栀资咨姿兹孶滋脂辎鲻智{新}子{~弹}锥{~钻}孜 ③子只{~有}旨指梓滓籽仔主拄{~臂}煮址趾嘴姊紫纸 ⑤注蛀驻制至致志痣疰帜质{人~}智挚恣铸翅{又音}著止
gʋei ②葵逵 ④跪 ⑥溃愧柜匮馈
ŋʋei ②危伪桅
xʋei ①灰诙恢挥辉晖徽麾 ③悔毁烩 ⑤讳贿晦诲卉喙

#en
pen ①奔崩畚 ③本
pʰen ①喷烹 ⑤喷{~香}
ben ②盆朋□{末端不尖} ④笨 ⑥坌{翻地}
men ①萌焖盟 ③猛 ⑤闷 ②门们蚊扪 ⑥孟问
fen ①分吩芬纷 ③粉奋 ⑤粪
fven ②文坟汶纹蚊闻焚 ⑥愤忿份氛分{~子}问刎吻紊
ʋən ①温瘟蕰{~草} ③稳□{麦~：打麦后留下的麦芒，麦秸混合物}□{游鱼搅起的旋涡}
ven ②魂浑馄 ⑥混
ten ①敦墩蹲登灯吨 ③等戥趸 ⑤凳顿炖□{用手掂重量}
tʰen ①吞 ③氽
den ②誊腾滕藤豚臀疼停屯囤{又音}饨 ④囤 ⑥邓钝盾遁沌□{既无灵活性又无好声气的脾气}□{用夸大对方优长的手法以讽刺对方}
nen ②能 ⑥嫩
len ②仑伦沦论{~语}轮囵邻鳞棱 ⑥论愣{~嘴：口吃}
tsen ①针珍诊疹真曾增憎争筝罾挣睁正{~月}征症{~结}贞侦臻肫斟尊遵蒸櫼{楔子}精{~肉}□{用劲捏} ③准怎拯枕{~头} ⑤正政证症{病~}镇振震赈枕{动}整甑{糕~}
tsʰen ①春椿村称蛏皴 ③忖逞蠢䫈{丑}骋 ⑤趁寸衬剩舂乘{~车}秤称{对~}
dzen ②沉岑陈成城存臣曾{~经}层澄橙惩尘承乘{~法}丞呈程诚唇晨辰□{点播：~寒豆}仍 ⑥阵赠剩{又音}郑
sen ①生甥笙牲声申伸身深升森参{人~}呻僧孙狲 ③审婶沈损榫笋 ⑤圣胜舜瞬渗逊□{~酒：（用菜）下酒}□{裁（纸）}
zen ②神辰晨人仁唇尘成城任{姓}层纯醇绳盛{动}蹲 ④吮忍 ⑥任慎肾刃认韧顺润盛{兴~}甚忍{又音}闰
ken ①根跟耕更{~改}庚 ③耿 ⑤更{~加}
kʰen ①□{翻寻} ③肯啃恳垦 ⑤□{皮肤上的积垢}
gen ②□{用肩肘着力推撞} ④□{性子直，言行粗鲁}
xen ①哼亨 ③狠 ⑤很
xɣen ②痕恒衡□{都，皆} ④□{象声词} ⑥恨
en ①恩 ⑤摁

#in
pin ①兵宾滨殡缤冰彬斌 ③丙炳饼禀秉并{合~} ⑤柄屏{~气}鬓
pʰin ①乒拼姘 ③品牝 ⑤聘
bin ②平评坪萍苹频濒屏{~风}瓶凭 ④并 ⑥病
min ①鸣闽泯铭 ③敏皿闵悯 ②民明名冥暝螟 ④抿 ⑥命
tin ①丁叮疔钉{名} ③顶鼎 ⑤钉{动}订澄{使杂质沉淀}
tʰin ①汀厅桯{床~}听{~从} ③挺艇听{~头：罐头} ⑤听{闻}
din ②亭停廷庭蜓 ④锭{一种迷信品} ⑥定锭{纱~}
lin ①拎 ③吝凛 ②林淋邻鳞辚麟遴伶玲铃翎凌陵龄临灵廷庭蜓 ④领 ⑥另岭令
tɕin ①今金京惊精睛巾均钧斤津军筋菌君荆经晶襟兢 ③井谨槿锦紧警颈茎境尽{~管} ⑤浸劲俊竣浚骏禁晋敬镜进经{又音}竟
tɕʰin ①青清蜻侵轻氢倾亲钦卿 ③请顷寝 ⑤揿庆磬
dʑin ②情晴巡旬循殉群裙禽擒擎琴芹秦鲸勤 ④近 ⑥尽静靖瑾仅竞妗净郡
ȵin ②吟迎银龈宁泞柠凝人仁任{姓}壬蝇{苍~} ④忍 ⑥闰认韧宁{~可}赁净{干~}
ɕin ①心芯星腥惺新薪辛欣馨兴{~旺}勋薰䗌{~蜓} ③醒省{反~} ⑤性姓信讯汛迅训兴{高~}荀
ʑin ②寻秦 ④静{风~}蕈 ⑥净
in ①因茵姻婴樱缨鹦鹰莺应{~该}音阴英荫{树~} ③隐影{旧}洇{墨水在纸上花开或透过纸背}印{纸覆在原稿上替样} ⑤印饮应{答~}引瀴{太凉}荫{庇~}映□{熄灭}影
ɦin ②行云耘形型刑邢营萤茔莹蝇赢寅淫盈 ④引{逗引：~小官}蒀{万年青} ⑥运晕尹幸孕颖瘾韵行{品~}熨蚓

#ʋən
kʋən ③滚{~动}绲{~边} ⑤滚{（液体）翻腾}□{~脓：溃脓}
kʰʋən ①昆坤 ③捆困{~难} ⑤困{睡}
xʋən ①昏婚荤□{~嚏：喷嚏} ⑤□{不称心而气闷}□{雷雨前的闷热}

#ã
pã ①浜绷泵 ⑤迸{裂：~开}
pʰã ①烹{~酒}乒 ③碰{妨碍，触动} ⑤碰{打牌用话，一个碰上两个}□{~雨}
bã ②彭膨{~胀}蟛{~蜞}朋棚鹏庞浜{地名：汲~镇} ④蚌碰{~头：会面} ⑥甏膨{鼓起}□{（彭耳）上下合并成为一个字，俗写字，聋~：聋子}
mã ①□{醉醺醺的样子} ②□{~当中：正中间} ④□{稠密}猛{旧} ⑥孟
ʋã ①横{~蛮}
vã ②横{~竖} ④横{又音：~蛮} ⑥横{不讲理：张三~来}□{~址：马虎}□{开~：在畦上开行}
tã ①当{象声词} ③打
tʰã ①铴{~锣：小锣}□{“胎生”的合音，原本，确实} ⑤□{象声词，状铴锣声。}
dã ④□{象声词，状急步声}
nã ④□{（冉阝），怎样：~办}
lã ④冷
tsã ①章樟张争{~气}彰 ③掌涨长 ⑤帐涨{又音}胀仗{打~}障幛瘴
tsʰã ①昌菖娼猖撑创{~伤} ③厂敞 ⑤创{~造}倡怅畅牚
dzã ②长常嫦裳尝偿场肠仍 ⑥丈杖仗{倚~}盛{姓}长{剩}
sã ①生甥笙牲商丧{~事}伤声 ③省赏爽{风~：风大} ⑤丧{~失}
zã ④上 ⑥上{又音}尚让嚷壤
kã ①更{五~}粳埂耕羹庚 ③耿哽梗
kʰã ①坑
gã ②□{挤人} ④□{象声词，状大声说话} ⑥□{卡住口子}
ŋã ⑥硬
xã ①夯亨{大~} ⑤□{有较长时间稳定的天气：成~}
xɣã ②行{~船；时兴}桁 ④□{鸭屁股上面突出的部分} ⑥杏
ã ①樱鹦

#iã
liã ②凉良粮量{动}梁粱 ④两 ⑥两{量}亮辆谅量{名}
tɕiã ①僵疆缰姜雀{麻~}浆将{~来} ③奖蒋桨 ⑤将{~官}酱雀{鸟类的统称}
tɕʰiã ①枪抢{~头}羌炝{~虾}腔戗{方向相反：反~} ③抢强{勉~} ⑤呛戗{支撑}□{动量：跑一~}
dʑiã ②祥详翔墙强□{便宜}樯 ④犟 ⑥匠强{倔~}
ȵiã ①酿{酒~}瓤{瓜~} ⑤仰{又音} ②娘 ④仰 ⑥让酿{酝~}
ɕiã ①相箱厢湘襄镶乡香 ③想响 ⑤向飨享饷鲞相{~貌}
ʑiã ②墙樯蔷□{大把地撒向四处} ④象像橡 ⑥匠
iã ①央秧殃鸯
ɦiã ②羊佯洋烊蛘阳扬杨疡 ④养痒 ⑥样漾飏烊{打~：关门停业}

#ʋã
kʋã ①光{~火} ③广{~告}矿{~灰：生石灰}□{（广刂），裂：~㿭}
kʰʋã ①哐{象声词}
gʋã ②狂□{泼洒：~水，~粪}
xʋã ①□{象声词} ⑤□{~出去：豁出去}

#ɑ̃ˠ
pɑ̃ˠ ①邦帮 ③绑榜膀{肩~} ⑤谤
pʰɑ̃ˠ ①滂降胮{虚肿} ③髈{大腿} ⑤胖
bɑ̃ˠ ②旁螃鳑{~魮}膀{~胱}防 ④棒 ⑥傍{靠、近}
mɑ̃ˠ ②忙茫盲芒虻 ④网蜢 ⑥莽蟒望梦忘甍{俗用字。~板}氓{流~}
fɑ̃ˠ ①方芳坊妨 ③纺访仿肪 ⑤放
fvɑ̃ˠ ②房亡 ⑥忘妄望
ʋɑ̃ˠ ①汪 ③枉晃{摇晃；扶着使不晃动} ⑤往
vɑ̃ˠ ②王黄簧璜潢磺蟥皇隍惶徨蝗凰 ⑥旺晃{日头~：日光照到的地方}
tɑ̃ˠ ①当{应~}裆 ③党挡 ⑤当{典~；~天}档
tʰɑ̃ˠ ①汤□{（汤手）上下合并成一个字，~风}荡{浪~：游手好闲的无赖} ③淌躺倘 ⑤烫趟摥{~网}
dɑ̃ˠ ②唐塘糖搪溏堂棠螳膛 ④荡{草~} ⑥宕荡{放~}
nɑ̃ˠ ②囊瓤 ④□{两头固定，中间上下震动}
lɑ̃ˠ ①浪{~荡} ②郎廊螂狼 ⑥浪㫰{~衣裳}朗
tsɑ̃ˠ ①脏{肮~}庄桩赃妆装 ③□{纵身：打肩~} ⑤壮葬
tsʰɑ̃ˠ ①仓沧苍疮窗 ③闯磢{磨、擦：~~干净} ⑤唱
dzɑ̃ˠ ②藏{储~}裳{又音} ④撞 ⑥藏{储存大量东西的地方：柴藏}状脏{内~}
sɑ̃ˠ ①桑霜孀双丧{又音：~事} ③磉嗓爽{凉~}晌{憩~；休息}搡 ⑤丧{又音，~失}
zɑ̃ˠ ②尝{品~}床裳 ④上 ⑥上{又音}
kɑ̃ˠ ①冈刚岗纲钢扛缸肛豇江 ③讲港 ⑤杠降{~落}
kʰɑ̃ˠ ①康糠慷筐□{（土匡）左右合并成为一个字，地名}框 ③慷{又音} ⑤抗炕囥{藏}圹{墓穴}
gɑ̃ˠ ④戆{~大} ⑥进{又音}
ŋɑ̃ˠ ②昂
xɑ̃ˠ ①□{气喘}
xɣɑ̃ˠ ②杭航降{投~}行{~业}绗 ④项{姓} ⑥巷项笐{}晒东西的设施{用凳、杠子、竹子、帘子等搭成的架子}
ɑ̃ˠ ①肮

#iɑ̃ˠ
tɕiɑ̃ˠ ①江 ③讲 ⑤降{~落}
iɑ̃ˠ ②王{姓} ④旺{稗子的讳称} ⑥旺

#ʋɑ̃ˠ
kʋɑ̃ˠ ①光 ③广 ⑤逛{荡~}□{抚摸}
kʰʋɑ̃ˠ ①匡筐眶框□{（土匡）左右合并成为一个字，地名} ③矿 ⑤旷
xʋɑ̃ˠ ①荒慌黄{蛋~}肓 ③谎恍晃{~动}况

#oŋ
poŋ ⑤蹦迸{溅}
pʰoŋ ①□{绒状物或丝状物松散开} ③捧
boŋ ②蓬篷塳{~尘：灰尘} ④埲{尘土扬起}
moŋ ①蒙{~~亮} ②蒙朦 ④瞢
foŋ ①风枫疯封丰峰蜂锋 ⑤讽俸{薪~}
fvoŋ ②冯逢缝{动} ⑥凤缝{名}奉
toŋ ①东冬 ③董懂 ⑤冻栋
tʰoŋ ①通 ③统 ⑤痛
doŋ ②同铜桐茼筒童瞳彤 ④动桶 ⑥洞胴
noŋ ②农脓 ④哝 ⑥弄
loŋ ①□{~空：蜷缩} ②龙笼聋咙砻隆 ④拢垄陇 ⑥弄{~堂}
tsoŋ ①中忠钟盅衷宗棕鬃踪综终众{~生} ③总肿种{~类}踵 ⑤种{~树}众中{打~}纵综{布机部件}粽惷
tsʰoŋ ①冲充匆葱聪囱从{~容} ③宠 ⑤舂{又音。~米}憃{坍~}□{头低下}□{~手：抓手}
dzoŋ ②从丛虫崇重{~复}戎□{捅} ④重{轻~} ⑥仲颂讼诵
soŋ ①松怂嵩 ③耸悚 ⑤宋送
zoŋ ②㞞{精液}
koŋ ①弓躬工功攻公蚣恭供{~给}宫肛{胴~} ③巩拱{打~} ⑤贡汞供{~奉}赣
kʰoŋ ①空{天~} ③孔恐 ⑤控空{~闲}
goŋ ⑥共
xoŋ ①轰烘哄 ③哄{~骗} ⑤蕻嗅{闻，亲嘴}
xɣoŋ ②红弘宏洪鸿虹 ④哄{（人）聚在一起：~勒一淘}
oŋ ①翁 ⑤瓮齆{鼻塞：~鼻头}□{（（（巛巴）上下合并成为一个字）臭）再左右合并成为一个字，~臭}

#yoŋ
tɕyoŋ ①龚弓{专指弹棉花用的弓} ③炯迥窘
dʑyoŋ ②琼穷穹
ȵyoŋ ②浓绒戎{姓}蓉
ɕyoŋ ①兄凶汹匈胸
yoŋ ①臃□{没有拉直，有折皱，达不到实际长度：~脱} ③永甬涌勇踊拥恿 ⑤泳咏壅痈
ɦyoŋ ②容蓉溶熔荣雄熊融庸佣{雇~}营{~生} ④涌{又音} ⑥用佣{~金}

#m
m ①姆{~㜥：母亲}

#n
n ②儿{~子}吴呒{无} ④五尔{你}母{丈~}

#ŋ
ŋ ②鹅俄娥蛾哦{表应承的语气词} ④我吾 ⑥饿

#eʔ
peʔ ⑦不拨迫钵擘{~划}
pʰeʔ ⑦泼
beʔ ⑧孛勃荸脖帛钹{~刀：菜刀}□{~交：摔交}
meʔ ⑧末抹沫没墨默物陌
feʔ ⑦弗拂彿勿
fveʔ ⑧佛物
ʋeʔ ⑦屋{~里}
veʔ ⑧活惑或获{~得}□{（枂骨）左右合并成为一个字，果核}核{果核}囫猢{~狲：猴子}
teʔ ⑦得德答掇□{粘}□{~头：点头}□{~脚：跺脚}□{啄}
tʰeʔ ⑦脱忒□{（兑皮）左右合并成为一个字，表皮脱落}
deʔ ⑧特夺叠突
neʔ ⑧纳呐
leʔ ⑧捋肋勒栗垃
tseʔ ⑦这则侧折浙职织只{~有}责质者窒{~息}炙哲拙茁卒执汁
tsʰeʔ ⑦出斥测恻赤撤辍辙彻猝
dzeʔ ⑧术述直值植殖泽择侄蛰杂掷涉蜇
seʔ ⑦识说设率{~领}蟀色塞室失瑟虱湿涩摄撒式刷适释饰圾䅴{~头:穗}散{鞋带~脱}
zeʔ ⑧十什拾入舌实日食蚀昨{~日}贼折{打~脚}蛰{又音}硕
keʔ ⑦革葛割合{十分之一升；合用}疙鸽蛤胳□{~个：那个}
kʰeʔ ⑦克恪{~实}搕{抱取}刻渴磕瞌咳{~嗽}
geʔ ⑧搿{用力抱住；夹在腋下}
ŋeʔ ⑧兀杌
xeʔ ⑦黑喝郝赫
xɣeʔ ⑧合曷褐核劾阂阖盍
eʔ ⑦厄扼遏呃□{~豆芽}

#ieʔ
pieʔ ⑦必碧逼煏{焙}笔滗壁璧毕鳖憋瘪别{区~}
pʰieʔ ⑦撇瞥辟霹僻劈匹
bieʔ ⑧鼻枇别{离~}
mieʔ ⑧灭觅蔑篾密蜜
tieʔ ⑦的跌滴摘{~葱}嫡□{（石啇），~棰：捣衣棒}窒{塞：~头}杓{锹柄横头：~子}扚{用手指使劲拧肌肉}
tʰieʔ ⑦帖贴剔踢惕趯铁
dieʔ ⑧凸迪敌笛狄荻迭涤碟蝶谍翟{姓}
lieʔ ⑧力历沥立笠粒雳列烈裂劣溧律率{效~}捩砾猎
tɕieʔ ⑦孑节鲫即吉洁结拮桔{~梗}脊瘠峡荚髻积迹绩接揭劫击激棘稷急级给挟{~镊}汲
tɕʰieʔ ⑦七乞吃讫迄切泣妾辑缉漆戚怯隙膝
dʑieʔ ⑧夕汐及极汲{~浜镇}习集绝截疾捷席袭竭寂籍藉{狼~}急{又音}
ȵieʔ ⑧热业匿昵聂蹑镊孽蘖溺逆
ɕieʔ ⑦吸惜雪歇息熄媳屑析锡悉恤膝泄胁圾
ʑieʔ ⑧拾绝截席{又音}
ieʔ ⑦一乙揖咽噎壹益溢抑谒邑
ɦieʔ ⑧页叶侠挟佚轶易{贸~}洽译翼逸协

#ʋeʔ
kʋeʔ ⑦骨国帼
kʰʋeʔ ⑦阔窟{把东西放在水里泡一段时间}
xʋeʔ ⑦忽惚寣{困一~}□{货物的质量差：~货}□{由于不通风，器物的质地变坏：~坏脱}

#aʔ
paʔ ⑦八捌
baʔ ⑧拔跋
maʔ ⑧袜
faʔ ⑦法发
fvaʔ ⑧伐罚乏筏
ʋaʔ ⑦挖斡
vaʔ ⑧滑猾□{~水：倒水}
taʔ ⑦答{又音}搭褡鎝{铁~：一种农具}瘩嗒{象声词}沓{一~纸}
tʰaʔ ⑦塔榻塌遢蹋塌獭㳠{滑~}趿{~鞋子}
daʔ ⑧达沓{杂~}踏鞑阘{窗~}
naʔ ⑧捺纳{一种针法}
laʔ ⑧腊蜡辣邋瘌
tsaʔ ⑦匝咂札扎眨窄{又音}
tsʰaʔ ⑦察擦插
dzaʔ ⑧杂{又音}
saʔ ⑦□{（目臿），~眼}眨杀煞刹萨霎
zaʔ ⑧铡闸煠{和水煮，油炸}□{~差：窥伺}
kaʔ ⑦甲夹隔膈
kʰaʔ ⑦恰掐□{压}
gaʔ ⑧轧
ŋaʔ ⑧齾{缺损}
xaʔ ⑦瞎喝{~酒}
xɣaʔ ⑧盒匣狭□{咬住：~勒钩子浪}
aʔ ⑦阿鸭

#ʋaʔ
kʋaʔ ⑦刮括
gʋaʔ ⑧□{用板或笆把房子分隔成两起；卡住}
xʋaʔ ⑦豁辖搳{~拳}

#ɑˠʔ
pɑˠʔ ⑦百伯柏擘{用手分剖东西}
pʰɑˠʔ ⑦拍魄
bɑˠʔ ⑧白
mɑˠʔ ⑧麦脉陌
vɑˠʔ ⑧划{计~}
lɑˠʔ ⑧栏{栅~}
tsɑˠʔ ⑦着{~衣裳}只{量}酌摘{又音}斫仄灼蚱责{旧}
tsʰɑˠʔ ⑦尺拆㿭{□（广刂）~}册赤焯{把菜放在开水里一煮就取出}绰
dzɑˠʔ ⑧着{困~}宅掷
sɑˠʔ ⑦栅{~栏}烁湿
zɑˠʔ ⑧石硕若芍弱掷□{（走䪞），蹿}
kɑˠʔ ⑦格隔{又音}
kʰɑˠʔ ⑦客
ŋɑˠʔ ⑧额□{反复摇撼使松动：拿木桩~出来}
xɑˠʔ ⑦吓
ɑˠʔ ⑦押压

#iɑˠʔ
liɑˠʔ ⑧略掠
tɕiɑˠʔ ⑦脚雀{~斑}谻{跛}爵
tɕʰiɑˠʔ ⑦雀鹊皵{表皮裂开，星反戗态势：~丝，~疤}
ȵiɑˠʔ ⑧捏虐疟箬
ɕiɑˠʔ ⑦削
ʑiɑˠʔ ⑧嚼
iɑˠʔ ⑦跃约押{着花~}
ɦiɑˠʔ ⑧药钥{~匙}曰

#ʋɑˠʔ
kʋɑˠʔ ⑦碱{裂开}

#oʔ
poʔ ⑦北卜博搏剥驳膊薄{近}
pʰoʔ ⑦朴扑仆{倒：合~}泊{湖~}粕舶璞□{（革页），不结实：~肉}
boʔ ⑧薄{厚~}曝瀑仆{~人}卜{萝~}泊{停~}箔
moʔ ⑧莫摸寞目苜木沐么{什~}牧睦无{南~}
foʔ ⑦复腹覆福蝠幅辐
fvoʔ ⑧伏服复{~兴；恢~}缚
toʔ ⑦笃督厾{俗写字，扔}沰{一~血}□{（火笃），俗写字，用文火煨}裰□{咬舌子}
tʰoʔ ⑦托拓秃庹
doʔ ⑧□{“泽”三点水改为“冫”}读犊渎独毒度{猜~}踱讟{怨恨：触~}
noʔ ⑧诺
loʔ ⑧洛落络骆烙六录禄绿戮陆鹿乐碌氯
tsoʔ ⑦作足捉桌卓龊竹筑祝粥烛嘱㔉{割}斲{砍}啄琢瘃{冻~}
tsʰoʔ ⑦戳促触畜{~生}矗蹴蹙错{交~}龊{又音}束
dzoʔ ⑧蜀镯浊族濯擢轴妯勺{~子}逐
soʔ ⑦宿缩蓿束欶{吮吸}叔粟索朔肃夙数{屡次}
zoʔ ⑧孰熟塾续赎俗属凿辱褥肉镯{又音}淑射
koʔ ⑦各阁搁角桷{竹~子}谷觉郭
kʰoʔ ⑦扩哭酷壳确□{（告皮）左右合并成为一个字，片状物晒干后失去平服状态：起~}
goʔ ⑧个{量}搁{又音。~浅}
xoʔ ⑦霍藿嗀{~痰：喉咙使劲祛痰}□{紧贴}壑
xɣoʔ ⑧学斛获{收~}鹤镬□{打夯}
oʔ ⑦恶屋握龌哕

#ʋoʔ
ʋoʔ ⑦沃幄

#yoʔ
tɕyoʔ ⑦孓觉决诀锔珏掬鞠菊厥撅蹶橘
tɕʰyoʔ ⑦曲屈缺确却阙
dʑyoʔ ⑧局剧倔掘屐{木~}矍攫
ȵyoʔ ⑧月肉玉狱褥{小~子}搦{~干面}浴
ɕyoʔ ⑦血畜{~牧}蓄旭噱
yoʔ ⑦育粵郁
ɦyoʔ ⑧学役疫月越乐{音~}穴悦欲浴域阅
