调值	[1]21(阴平阳去   [2]45 阳平   [3]213 上声  [5]44 阴去  [7]4 阴入  [8]45 阳入  [0]0 轻声)		
恶	ŋɑʔ	7	~心
咬	ŋɔ	3	
懊	ŋɔ	5	
藕	ŋəi	3	
牛	ŋəi	2	
硬	ŋəŋ	1	
额	ŋəʔ	8	
我	ŋɤɯ	3	
饿	ŋɤɯ	5	
鹅	ŋɤɯ	2	
齾	ŋiæʔ	8	缺口
轧	ŋiæʔ	8	
鸭	ŋiæʔ	7	
压	ŋiæʔ	7	
碍	ŋʲɛ	1	
艾	ŋʲɛ	1	艾草
矮	ŋʲɛ	3	
捱	ŋʲɛ	2	被
雁	ŋʲɛ̃	5	
晏	ŋʲɛ̃	5	晚
眼	ŋʲɛ̃	3	
颜	ŋʲɛ̃	2	
淹	ŋʲɛ̃	1	
㞎	pa	1	粪便
把	pa	3	
把	pa	1	斤~
把	pa	5	
笆	pa	1	
疤	pa	1	
扒	pa	1	~饭
巴	pa	1	
膀	pɑŋ	3	~子
绑	pɑŋ	3	
帮	pɑŋ	1	
膊	pɑʔ	7	
剥	pɑʔ	7	
宝	pɔ	3	
饱	pɔ	3	
胞	pɔ	1	
包	pɔ	1	
碰	pɔŋ	5	
绷	pɔŋ	1	
□	pɔŋ	0	~个：表示方位，如东~个、旁~个
卜	pɔʔ	7	占~
伯	pɔʔ	7	
百	pɔʔ	7	
背	pəi	1	
背	pəi	5	~脊
贝	pəi	5	
本	pəŋ	3	
不	pəʔ	7	
怕	pʰa	5	
琶	pʰa	5	
爬	pʰa	2	
㗘	pʰa	7	𠹥~:闲谈
耙	pʰa	2	
耙	pʰa	1	
胖	pʰɑŋ	5	
旁	pʰɑŋ	2	
棒	pʰɑŋ	1	
膀	pʰɑŋ	2	~胱
膀	pʰɑŋ	0	翅~
□	pʰɑŋ	5	漂浮
朴	pʰɑʔ	8	~刀：菜刀
杷	pʰɑʔ	7	
薄	pʰɑʔ	8	
雹	pʰɑʔ	8	
疤	pʰɑʔ	7	另读，节~：植物的节
炮	pʰɔ	5	
泡	pʰɔ	1	~儿
泡	pʰɔ	5	~菜
刨	pʰɔ	1	
刨	pʰɔ	1	
暴	pʰɔ	1	
抱	pʰɔ	1	
捧	pʰɔŋ	3	
篷	pʰɔŋ	2	
蓬	pʰɔŋ	2	
棚	pʰɔŋ	2	
彭	pʰɔŋ	2	
朴	pʰɔʔ	7	~素
拍	pʰɔʔ	7	
蔔	pʰɔʔ	8	萝~
北	pʰɔʔ	7	
白	pʰɔʔ	8	
赔	pʰəi	2	
陪	pʰəi	2	
备	pʰəi	1	
盆	pʰəŋ	2	
喷	pʰəŋ	1	
笨	pʰəŋ	5	
荸	pʰəʔ	8	
剖	pʰɤɯ	5	
婆	pʰɤɯ	2	
屁	pʰɪ	5	另读，~眼
𠷨	pʰia	3	歪
拔	pʰiæʔ	8	
漂	pʰiɔ	1	水~
漂	pʰiɔ	3	~白
漂	pʰiɔ	5	~亮
瓢	pʰiɔ	2	
骗	pʰiɪ̃	5	
片	pʰiɪ̃	5	
辫	pʰiɪ̃	1	
遍	pʰiɪ̃	5	一~
便	pʰiɪ̃	1	~当
枇	pʰiɪʔ	7	
劈	pʰiɪʔ	7	
别	pʰiɪʔ	8	
鼻	pʰiɪʔ	8	
瓶	pʰiŋ	2	
平	pʰiŋ	2	
病	pʰiŋ	1	
病	pʰiŋ	1	
派	pʰʲɛ	5	
稗	pʰʲɛ	1	~子
铺	pʰɯ	1	
铺	pʰɯ	5	
蒲	pʰɯ	2	
葡	pʰɯ	2	
菩	pʰɯ	2	
伏	pʰɯ	1	~小鸡
部	pʰɯ	1	
步	pʰɯ	1	
屁	pʰɿ	5	
脾	pʰɿ	2	
琵	pʰɿ	2	
皮	pʰɿ	2	
披	pʰɿ	1	
赔	pʰɿ	2	存疑
陪	pʰɿ	2	存疑
痱	pʰɿ	1	
