#a									
p	[44]巴芭疤笆[54]把饱[31]霸壩[22]罢		阴平	阳平	上声	阴去	阳去	阴入	阳入
f	[5]法髮發[34]乏罚								
t	[34]达								
n	[34]捺								
l	[34]蜡辣力栗								
ɬ	[5]萨虱塞								
tɕ	[5]节{量词}[34]实{坚~}								
tɕʰ	[5]察彻撤[34]贼								
j	[34]逸								
h	[5]□{这么,那么}								
#ɔt									
p	[5]拨								
m	[5]乜{~侬:谁}[34]末没{~收}								
#it									
p	[5]鳖{团鱼}笔毕必煏{爆}								
pʰ	[5]匹{布匹}								
m	[34]密{保~}								
t	[5]得[34]直{挺~}蛰{惊~}								
ɬ	[5]失室泄[34]实{~在}术{苍~}折{~本}翼								
tɕ	[5]折{拍~:打折}浙质即{这}鲫织{~布}[34]舌								
tɕʰ	[5]设七漆切{一~}								
ȵ	[34]日{只用于"日头"}								
j	[5]乙一{第~,十~}[34]日								
k	[5]吉橘[34]汔{稠}								
#ut									
p	[5]不{~三~四}								
m	[34]物								
tʰ	[34]突								
l	[34]律率{效~}捋								
ɬ	[5]戌[34]術{技~}								
tɕ	[34]秫{糯米}								
tɕʰ	[5]出[34]擦								
k	[5]骨[34]滑								
kʰ	[5]窟[34]□{~头装:短裤}								
h	[34]核{果核}佛{~山}								
#iet									
p	[34]别{区~,~人}								
pʰ	[5]撇{撇捺}								
m	[34]灭								
t	[5]节{~目}[34]侄{侄子}绝{~对}								
l	[34]列烈								
ȵ	[34]热{~闹}								
k	[5]结[34]杰撅								
kʰ	[5]揭决缺乞								
Ø	[34]阅越								
#uat									
kʰ	[5]括								
Ø	[5]识{训,认识,懂}								
#ak									
p	[5]北膊[34]缚								
pʰ	[5]魄								
t	[5]□{骹~:脚后跟}则								
tʰ	[5]踢赤								
tɕ	[5]酌责								
tɕʰ	[5]侧测								
k	[5]觉{感觉}角[34]嗝{打嗝}								
kʰ	[5]□{砖~:半截砖}[34]级{码~:台阶}								
h	[5]克{量词}[34]礐{屎~:厕所,原文记作𥨍}								
Ø	[5]压握沃{浇,淋}								
#ɔk									
p	[5]博卜剥[34]□{一~葡萄}								
pʰ	[5]扑仆{倒}								
m	[5]剥{又}[34]木目{~的}穆莫寞								
t	[5]督斲{斫,砍}作{~风}[34]独毒俗								
tʰ	[5]促[34]续								
l	[5]□{骹~:小腿}[34]鹿禄绿錄{记录}陆{大~,~续}								
ɬ	[5]速肃塑{塑料}粟{姓}宿缩[34]赎								
tɕ	[5]足叔[34]逐轴								
tɕʰ	[5]触筑粟{稻谷}束								
k	[5]国菊谷{~雨}								
kʰ	[5]郭廓霍确搉{敲击}								
h	[5]福副複覆{覆盖}復{恢复}[34]服伏{三~}								
Ø	[5]恶{凶}								
#ok									
p	[34]薄{厚薄}								
t	[5]桌								
tʰ	[5]託托{茶~}								
l	[34]落乐								
ɬ	[5]索{绳}[34]镯{手~}								
tɕ	[5]作{工~}借[34]石								
tɕʰ	[5]尺[34]席{席子}								
k	[5]各胳								
h	[34]鹤学								
Ø	[5]兀{那}								
#ek									
p	[5]逼迫								
pʰ	[5]僻闢								
t	[5]德积迹的{目~}滴绩[34]籍席{酒~}								
tʰ	[5]剔[34]敌								
l	[34]笠歷曆								
ɬ	[5]息熄色识{知~}式饰惜適释锡析								
tɕ	[5]职织{组~}[34]直{~达}值一{训,数数,本字蜀}蜀{数数}								
tɕʰ	[5]斥								
k	[5]击激								
kʰ	[34]极								
ŋ	[34]逆{误~:作对}								
h	[34]易{交~}译								
Ø	[5]忆亿抑益								
#iak									
p	[5]壁								
pʰ	[5]劈								
t	[34]糴								
tʰ	[5]拆策册{量词}								
l	[34]掠{捉拿}								
ɬ	[34]涉{干~}								
k	[5]脚{~跟:丫鬟}[34]屐{木鞋}								
h	[34]额{~头}								
Ø	[34]热{上火,发烧}								
#iɔk									
t	[5]烛竹祝{姓}								
ɬ	[5]削[34]属熟								
ȵ	[34]褥								
k	[34]局焗{~茶:沏茶}								
kʰ	[5]曲{弯~}								
Ø	[5]育[34]浴								
#iok									
t	[5]擢{扯,拉}[34]着{遭受,在}								
ȵ	[34]弱跃额{名~}玉								
kʰ	[5]挈{捡,拾取,原文记作攫}								
Ø	[5]约[34]药箬{叶子}								
#aʔ									
pʰ	[5]拍{打}[34]曝{晒}								
m	[5]肉{训}[34]墨默目{眼睛}								
t	[5]答搭[34]沓{一~纸}踏{踩}								
tʰ	[5]塔塌[34]特读								
l	[34]腊六陆{六}								
ɬ	[5]□{重孙}[34]煠{水煮}								
tɕ	[5]隻脊[34]泽铡{~刀}食								
tɕʰ	[5]插[34]凿								
k	[5]盖{盖被子}甲胛革{~命}裌								
kʰ	[5]壳								
h	[5]□{芋~:芋苗}								
Ø	[5]鸭押								
#eʔ									
p	[5]百柏伯八{数目字}擘{掰开}[34]白								
m	[34]麦脉蜜								
f	[5]血{训}								
tʰ	[34]摕{拿,取下}								
n	[5]□{凹,凹陷}								
ɬ	[5]雪薛								
tɕ	[5]节{~日}[34]截{用刀切}绝{~种}								
tɕʰ	[5]册{书}								
k	[5]格革{改~}隔								
kʰ	[5]客								
ŋ	[5]挾								
h	[5]歇{原文训做住}吓{恐吓}								
Ø	[34]狭{窄}								
#iʔ									
m	[34]篾{竹~}								
t	[34]碟{味碟}								
tʰ	[5]铁								
l	[34]裂								
tɕ	[5]接{接人}								
#uaʔ									
p	[5]钵[34]跋{~缴:赌博}								
pʰ	[5]泼								
l	[5]痢{~痢头}[34]热{天热}								
ɬ	[5]杀刹{刹车}撒{撒种}								
tɕ	[34]蚻{虼~:蟑螂,原文记作□}								
tɕʰ	[5]獭{水獭}								
k	[5]割								
kʰ	[5]阔渴								
Ø	[34]猾{狡~}活								
#ueʔ									
k	[5]刮								
Ø	[5]挖[34]月画袜划{计划}								
