無錫新派	
#ɪʔ	
p	⑦憋瘪笔滗*逼壁碧鳖毕必璧☐{折腾：～剥}
pʰ	⑦匹劈撇*辟僻霹
b	⑧别☐*{~快快}☐*{扭，侧}弼蹩鼻=
m	⑧灭蜜幂密篾觅蔑
t	⑦跌☐*{～佗一把肉}的
tʰ	⑦贴踢铁帖惕
d	⑦叠碟敌笛蝶迭谍喋牒狄迪
l	⑧力立粒历裂列隶厉栗沥烈咧率律
ts	⑦节接积即绩迹脊
tsʰ	⑦切七漆窃妾戚缉辑
s	⑦薛雪锡刷鳕些屑惜息悉熄昔夕析
z	⑦集席截拾2{捡}捷藉籍辑习袭寂疾睫绝
#oʔ	
p	⑦剥北驳博搏膊缚-
pʰ	⑦扑泊1{湖泊}朴璞仆1{～倒}
b	⑧薄箔卜☐{合～}仆2{～人}泊2{停泊}瀑2曝2
m	⑦模目木穆莫漠膜幕牧沐陸苜
f	⑦幅福蝠辐复腹覆
v	⑧伏服缚=袱
t	⑦厾*☐*{久煮}沰*{淋}☐*{～舌头}笃督蠹
tʰ	⑦秃托庹拓魄{落~}
d	⑧读毒踱独渎犊牍铎
n	⑧诺
l	⑧落录陆绿鹿骆☐*{（用油）炸：油~花生}烙络洛乐2{快乐}碌赂禄麓漉辘戮
ts	⑦作*捉祝足粥桌竹筑卒拙卓酌灼斫{又“斵”}焯筑竺烛啄琢嘱瞩
tsʰ	⑦撮戳1*蹙触辍啜绰猝簇蹴促畜
s	⑦叔缩束秫速宿夙肃粟索烁铄朔
z	⑧热昨俗逐凿败浊族戳2*怍酢濯擢镯硕躅续孰垫淑属蜀辱
k	⑦各谷角搁郭觉2-{~知；～着：觉得}阁
kʰ	⑦搉哭壳酷窟廓
g	⑧☐{漱口}
ŋ	⑧岳鹤☐{仰首}鳄萼愕鄂
x	⑦霍☐{贴近}淴{～浴：洗澡}忽藿
	⑦恶握屋噩沃龌{龌龊}⑧学镬
#ioʔ	
tɕ	⑦菊2桔2锔2觉2={觉悟}决2诀2抉2鞠2掬2厥2蹶2攫2谲2孓2
tɕʰ	⑦缺2曲屈阙2确2却2蛐2炔2
dʑ	⑧橛2局轴
ɕ	⑦畜2{畜牧}蓄旭恤2
ȵ	⑧褥玉肉☐{揉，搓}
	⑦郁☐{用酒、酱油练浸藏鱼肉}⑧浴欲育狱煜昱毓乐2域2
#ɚ	
	③尔耳=⑤三=贰=饵②儿=而
#n̩	
	①嗯{～娘，奶奶}
#m̩	
	①姆4亩-呒
#ŋ̍	
	②鱼-吴-{姓}④五-伍2-{数字}午{端午}
