语素	音标	注释
赖	lɑ6	~账；~皮
癞	lɑ6	~团：癞蛤蟆；~痢头：癞痢
垃	lɑ4/6	~圾
喇	lɑ9	哈~气：油质食品变质的气味
□	lɑ9	架~子：架子
奓	ʦɑ1	分，拿个秧么~~开
遮	ʦɑ1	奢~：炫耀、自鸣得意
斋	ʦɑ1	祭拜，~土地公公/灶央公公
抓	ʦɑ1	
咱	ʦɑ1	~们<读字>
□	ʦɑ1	放置（令人不满地），如：东西覅~勒=搭=
爪	ʦɑ3	鹰~
笊	ʦɑ3	~篱
□	ʦɑ3	猫爪抓人
债	ʦɑ5	
乍	ʦɑ1	初来~到
差	ʦʰɑ1	派遣，~人做事体；出~
扯	ʦʰɑ1	~扇：折扇；~篷船：帆船
扯	ʦʰɑ3h	歪、斜；~肩胛：歪肩膀；~霍闪：打闪电；
岔	ʦʰɑ5	瞎打~
蔡	ʦʰɑ5	东~、西~、~巷：西山地名
丈	ʣɑ4	~人/~母：岳父/岳母
□	ʣɑ4	~眼/斜眼：斜眼
□	ʣɑ6	排泄，如：~屎/~尿/~屁；~子：虫产卵；肚皮~：拉肚子
□	ʣɑ9	~~：随便做做
筛	sɑ1	~子；汏谷~：谷筛
撒	sɑ1	~娇<读字>
酾	sɑ1	倒，~水/~酒/~茶
傻	sɑ1	~子<读字>
耍	sɑ1	~权术；玩~22-22
洒	sɑ3	
啥	sɑ1/3	~个：什么（又读）
厦	sɑ3	高楼大~
三	sɑ1/5	~四个
柴	zɑ2	硬~：木柴；稻~：稻草
惹	zɑ4	~嫌：讨厌
□	zɑ6	这么/那么（合音形式）；竟然
家	kɑ1	~公/~婆：丈夫/妻子；~生：工具、家具
加	kɑ1	参~
嘉	kɑ1	~兴
葭	kɑ1	菉~河头：西山地名
阶	kɑ1	~沿：台阶；~头：铺筑阶梯的坡
街	kɑ1	~浪=：镇上；上~
胛	kɑ1	肩~：肩膀
咖	kɑ1	~辣粉：咖喱粉
稼	kɑ1ǃ	秧~绳：插秧时为使秧苗在一条直线上用的绳子
芥	kɑ1	~菜
戒	kɑ1	~指
哥	kɑ3	~~33-41：哥哥（面称）
假	kɑ3	~触头：假装；~痴~呆/诈痴带呆：故意装糊涂
□	kɑ3	~袖：袖套
假	kɑ5	放~
嫁	kɑ5	~人；改~
架	kɑ5	~子；绷~：刺绣用的工具
介	kɑ5	就~：就这样；索~（kɑʔ）：索性这样；~咾：所以
价	kɑ5	~钱：价格
界	kɑ5	一天世~：一塌糊涂；弗搭~：没关系
尬	kɑ5	尴~
解	kɑ5	锯，~木头；~毒；~厌气：解闷儿；~释
疥	kɑ5	癞~头疮：疥疮
咖	kʰɑ1	~啡
揩	kʰɑ1	擦；~面：洗脸；~布：抹布
楷	kʰɑ3h	~书
快	kʰɑ1/5	~活（ʊ31）
卡	kʰɑ5	关~；尊老~
茄	ɡɑ2	~子；番~；雪~
□	ɡɑ2	汪=~鱼：黄颡鱼
解	ɡɑ4	~鞋带；~开
骱	ɡɑ6	关节；手腕；脱~：脱臼
懈	ɡɑ4	~门相22-44-31：（对某事/物）不感兴趣
澥	ɡɑ4	粥/汤由稠变稀
□	ɡɑ2/6	~下：腋下
□	ɡɑ9	若~：这样/那样
捱	ŋɑ1	拖延，~辰光：拖延时间
□	ŋɑ1	硬给、强给
牙	ŋɑ2	~子：牙齿；~子凳：凳腿和凳身有连接的长凳
芽	ŋɑ2	~茶；催~
蚜	ŋɑ2	~虫
□	ŋɑ2	啃，~骨头
外	ŋɑ6	~国人<读字>
衙	ŋɑ2	~里：西山地名
哈	hɑ1	呵气；~喇气：油质食品编制的气味
𨉣	hɑ1	点头~腰<读字>
蒿	hɑ1	蓬~菜：茼蒿
□	hɑ1	撕
蟹	hɑ3	
罅	hɑ5	~~、~档、~里：空档、空隙
阿	ɑ1	~姨：母之妹
挨	ɑ1	~下来：接下来；~模样：（时间）差不多了
晏	ɑ1	~点：晚点（又读）
鞋	ɑ2	~子/棉~/草~/蒲~；套~：雨靴
虾	ɑ2	~蟆：蝌蚪
矮	ɑ3	~小
外	ɑ6	~公/~婆：外祖父/外祖母
爹	tiɑ1	阿~/~~（老）：祖父；公阿~：丈夫之父
嗲	tiɑ3	发~：撒娇；引~：过分宠爱22-41
姐	ʦiɑ3	~~/阿~：姐姐（面称/背称）
借	ʦiɑ5	~口
□	ʦiɑ0	完整体标记，“啧呀”的合音
七	ʦʰiɑ1	~八个
笡	ʦʰiɑ5	斜
写	siɑ3	~字台：书桌；~意：舒服
泻	siɑ5	落雨一~就~得脱个：下雨一泻就泻得掉的
卸	siɑ5	~货；装~
邪	ziɑ2	驱~
斜	ziɑ2	~塘：原吴县地名
谢	ziɑ6	花落；~~；~姑山：西山地名
□	ziɑ6	阵（雨的量词），一~雨
家	ʨiɑ1	~访；~境
加	ʨiɑ1	越~：更加；爽~：索性
嘉	ʨiɑ1	~庆子：李子的一种
皆	ʨiɑ1	~大欢喜
阶	ʨiɑ1	~级斗争；~段44-31；~层33-41
佳	ʨiɑ1	
稼	ʨiɑ1	庄~
解	ʨiɑ3	~放
假	ʨiɑ3	~使：如果；冤~错案
架	ʨiɑ5	相骂打~
界	ʨiɑ5	~界
届	ʨiɑ5	一~
嫁	ʨiɑ5	~接
介	ʨiɑ5	~绍
戒	ʨiɑ5	~严
价	ʨiɑ5	评~；~值
驾	ʨiɑ5	三~马车；~驶员
贾	ʨiɑ5	~宝玉
解	ʨiɑ5	姓氏
□	ʥiɑ2	能干
茄	ʥiɑ2	~克衫；~梗：扑克牌中的J
廿	ȵiɑ2/6	~五（又读）：二十五
奢	ɕiɑ1	~威：得意洋洋的样子
下	ɕiɑ3	低~；当~
耶	iɑ1	~稣
椰	iɑ1	~子
霞	iɑ1	<读字>
鸦	iɑ1	~片烟；乌~<读字>
亚	iɑ1	~洲
雅	iɑ1	~量33-41
爷	iɑ2	父亲；五老~：西山本地神祇
瑕	iɑ2	~疵
遐	iɑ2	~想
暇	iɑ2	闲~
涯	iɑ2	天~
崖	iɑ2	悬~
野	iɑ4	~鸡
夜	iɑ6	天色晚；~里：晚上；~快：傍晚；~饭：晚饭；半~/成更半~：半夜
呀	iɑ0	语气词
乖	kuɑ1	
拐	kuɑ3	~拉杖：拐杖
怪	kuɑ5	奇~
蒯	kuɑ5	~祥
剐	kuɑ5	千刀万~
快	kʰuɑ5	天亮~：黎明前；~嘴：心直口快
垮	kʰuɑ5	
筷	kʰuɑ1	~子；~子笼：筷笼；酒盅~棒
夸	kʰuɑ1	浮~风
拐	ɡuɑ4	~脚：瘸子
歪	huɑ1	
化	huɑ3	人口老龄~
娃	uɑ1	~~<读字>
槐	uɑ2	洋~；~树
淮	uɑ2	~河；~南子
怀	uɑ2	~孕<读字>
坏	uɑ5	~脱：坏了，又可指小孩夭折
外	uɑ6	~头：外面；~甥：外甥、外孙
坏	uɑ6	
哇	uɑ0	劝诱语气词，如：你去~：你去吧
巴	pʊ1	希望，~望；手枕在桌子上的动作；词尾，如：尾~，嘴~
疤	pʊ1	
芭	pʊ1	~蕉；~蕾
笆	pʊ1	（枪=）篱~：篱笆；山~/~斗：容器，可用于打水、买米
吧	pʊ1	~台
把	pʊ3	量词，一~米；~尿/~屎/~脉；个~/百~/只~；靠~：椅子
坝	pʊ5	筑~：填补田埂缺
霸	pʊ5	
膊	pʊ9	臂~（<poʔ）：手臂
□	pʊ9	花=~亩=：蕨菜
□	pʊ9	到~：（年纪）差不多了
怕	pʰʊ5	~事：胆小；长=~：恐怕
爬	bʊ2	
扒	bʊ2	~饭；~屎虫：蜣螂
琶	bʊ2	琵~
杷	bʊ2	枇~
钯	bʊ2	铁~：铁搭；摘~、耥~、~篱：农具
巴	bʊ9	下~
母	mʊ1	（读字，如：~法；父~双亲）
磨	mʊ2	<读字>
摩	mʊ2	~擦
麻	mʊ2	~烦；~将；~油
麻	mʊ2	~子；~风病
□	mʊ2	~石：花岗石
马	mʊ4	
码	mʊ4	靠~头：靠岸；起~
蚂	mʊ4	~蚁；~蟥
□	mʊ4	~soŋ44子：蠓虫
墓	mʊ6	陆~：原吴县地名；~地
骂	mʊ6	相~：骂；吵相~：吵架
模	mʊ2	~式；~样；~范；像~moh像样
魔	mʊ2	~鬼
□	mʊ2/4/6	斋#~22~44：过家家
姆	mʊ9	保~；萨达~
嬷	mʊ9	姆~：父之姊妹
幕	mʊ4	~布；谢~
拿	nʊ2	<读字>
挪	nʊ2	~用公款
萝	lʊ2	~卜，又称“老卜”
□	lʊ2	渣~头：渣子
□	lʊ1/2	猪~~：猪（爱称）
哪	lʊ4	谁
□	lʊ2/4	底~：底下、下
渣	ʦʊ1	油~
楂	ʦʊ1	山~
遮	ʦʊ1	~没
蔗	ʦʊ1ǃ	~糖
赭	ʦʊ1	~石颜色：棕色
瘃	ʦʊ3	冻~（<ʦoʔ）：冻疮
榨	ʦʊ5	~油；~菜；生~菜：腮腺炎
炸	ʦʊ5	~弹
诈	ʦʊ5	~人
乍	ʦʊ1ǃ	~浦
差	ʦʰʊ1	~弗多：差不多；错：弄~；~误
车	ʦʰʊ1	~子：车；~水：灌溉；风~
叉	ʦʰʊ1	~东西；~袋：麻袋；~麻将：打麻将
杈	ʦʰʊ1	丫~头：晾衣杆
钗	ʦʰʊ1	轧~：发卡
□	ʦʰʊ1	~鳊鱼：海里的鳊鱼
查	ʣʊ2	检~；~考
茶	ʣʊ2	~缸；~叶；~脚：茶渣；吃讲~：在茶馆中吃茶评理
蛇	ʣʊ2	四脚~：蜥蜴
佘	ʣʊ2	~山；~太君
畲	ʣʊ2	~族
勺	ʣʊ2	~子：舀水用的勺子，如：广~、铜~
社	ʣʊ4	~会
麝	ʣʊ4	~香
射	ʣʊ4	发~
沙	sʊ1	~胡桃：小核桃
纱	sʊ1	~橱
砂	sʊ1	~纸；~砂
痧	sʊ1	发~：中暑
赊	sʊ1	~账
奢	sʊ1	~侈
舍	sʊ3	弗~得：舍不得
啥	sʊ3	什么，~个（<soʔ5kuoʔ5）；~辰光/为~/做~：什么时候/为什么/做什么
产	sʊ3	~姆娘：产妇；做~姆：坐月子
赦	sʊ3	十恶不~
晒	sʊ5	
庶	sʊ3	~民
恕	sʊ3	~罪；饶~22-22
署	sʊ3	~名33-41
瓜	kʊ1	冬~/西~/黄~/丝~/北~；熟~：香瓜/甜瓜
□	kʊ1	畔=~~：捉迷藏
□	kʊ1	鸡~~：鸡（爱称）
寡	kʊ3	~妇
褂	kʊ3	马~22-41
挂	kʊ5	
卦	kʊ5	卜~；起~
□	kʊ9	石马~：门墩头
夸	kʰʊ1	~大；~张
跨	kʰʊ5	~塘：原吴县地名
挎	kʰʊ5	一~：拇指到其他四指间距离
绔	kʰʊ5	纨~子弟
□	ɡʊ2	~~：体型中等的蝉
下	ŋʊ4	~巴
瓦	ŋʊ4	~爿：瓦片；滴水~
虾	hʊ1	白~；焯（毛）~：青虾；糠~
𨉣	hʊ1	~驼：临时性的驼背状态
花	hʊ1	~鲢：鲢鱼；金~菜：苜蓿；上天~：上腭
□	hʊ1	用刀轻划
下	hʊ3	~种子：撒种
化	hʊ5	洇水
□	hʊ5	场~：地方；几~：多少
□	hʊ1/5	~pʊ33m̩31：蕨菜
□	hʊ1/5	打~ɕie31：打哈欠
华	hʊ9	法~寺：西山旧寺庙名
搲	ʊ1	用手抓、握；~空：事情白做/没做成
挜	ʊ1	硬给
鸦	ʊ1	~鹊：喜鹊；老~：乌鸦；水老~：鱼鹰
丫	ʊ1	小~头：女孩、小姑娘；讨~头：青年女佣；脚~：脚趾间的缝
桠	ʊ1	树~枝：树枝；~枝柴：树枝柴
蛙	ʊ1	青~（口语说“田鸡”）
洼	ʊ1	低~；~地
华	ʊ2	精~；~山
划	ʊ2	~龙船：划龙舟；~水肩：鱼的侧鳍
厦	ʊ2	~门22-41
桦	ʊ2	~树22-22
哑	ʊ3	哑~：哑巴
垩	ʊ5	~肥/~灰：施肥；~壅：肥料
下	ʊ4	~底：下面；~脚：泔水，下水/杂碎
夏	ʊ4	~泾、镇~：西山地名
画	ʊ4	~图：画画
夏	ʊ6	立~/~至；~枯草；立（<li）~团；消~湾：西山地名
话	ʊ6	说、讲；闲~：话，方言
活	ʊ6	快（kʰɑ44）~
□	ʊ9	砚~/砚瓦：砚台
倭	ʊ3	~寇33-41
握	ʊ3	把~（或为“搲”训读）
褒	pɔ1	~义；~奖
煲	pɔ1	电饭~
包	pɔ1	大~子：馒头；背~田螺：蜗牛；~心菜：包菜
胞	pɔ1	双~胎
保	pɔ3	~佑
葆	pɔ3	~旺：西山地名
宝	pɔ3	蚕~~：蚕
饱	pɔ3	
堡	pɔ3	前~/后~/黄家~：西山地名
报	pɔ5	
豹	pɔ5	~子
爆	pɔ5	~炒米：爆米花；~鱼：熏鱼；~发
炮	pʰɔ5	~仗：爆竹
泡	pʰɔ5	~茶；~~；鱼~~：鱼鳔；尿尿~：膀胱；~粥：米饭加水所烧的粥
脬	pʰɔ1	卵~
抛	pʰɔ1	~梁
跑	bɔ2	走；~江湖：走江湖；~亲眷：走亲戚
袍	bɔ2	旗~；长~
鲍	bɔ2	姓氏
抱	bɔ4	
刨	bɔ6	~子；~花：长条的木屑
雹	bɔ6	冰~
暴	bɔ6	刚刚，~腌、~解放；粗~
曝	bɔ4	~晒；~光
毛	mɔ2	~豆；小~头/~~头：婴儿；寒~
茅	mɔ2	~柴：可用镰刀砍的柴；~草棚：茅屋
茆	mɔ2	白~山：西山地名
猫	mɔ2	雄~/雌~；夜~子：猫头鹰
锚	mɔ2	抛~
髦	mɔ2	时~
矛	mɔ2	~盾
帽	mɔ2	~子；草凉~/雨凉~：草帽/斗笠，统称凉~
貌	mɔ2	~虎顶：西山一山名
牡	mɔ4	~丹
卯	mɔ4	地支第四；~牢：榫头和榫眼结合扣好
马	mɔ2/4	养~圩：西山地名
冒	mɔ6	~烟
刀	tɔ1	切菜~：菜刀；铲~：锅铲
叨	tɔ1	唠~
倒	tɔ3	丁~：颠倒；~运：倒霉；~垃圾/~水
祷	tɔ3	~告；祈~
捣	tɔ3	~乱
到	tɔ5	~处；晏~：迟到；~学堂：上学；~家：形容做事认真细致
倒	tɔ5	~是：反而、反倒
岛	tɔ5	三山~、长沙~：原吴县地名
滔	tʰɔ1	~天；~~不绝
韬	tʰɔ1	邹~奋
讨	tʰɔ3h	讨（要）；~bu13：孵蛋；~厌/厌烦：麻烦
套	tʰɔ5	~鞋：雨靴；手~
□	tʰɔ1/5	~悠走：慢走
涛	tʰɔ1	~~江水；波~
桃	dɔ2	~子；~脂：桃胶；樱~
逃	dɔ2	~脱：逃走
淘	dɔ2	搅拌（稀的东西）；~米；一~：一起；姊妹~里/弟兄~里：姐妹/兄弟
萄	dɔ2	葡~
陶	dɔ2	~器；~瓷
悼	dɔ2	~词；追~会
道	dɔ4	~婆：尼姑；~地：地道，形容做事认真细致；味~；运~：运气
稻	dɔ4	早~/晏~：早稻/晚稻；~床：打稻工具；~场：晒谷场
蹈	dɔ4	舞~
导	dɔ6	领~；~弹
盗	dɔ6	强~；男~女娼
掏	dɔ6	~粪；~出来
脑	nɔ4	~子；头~子：脑子；樟~；后~壳：后脑勺；鱼虾头~：泛指鱼虾水产
闹	nɔ6	~猛：热闹，如：轧~猛/做~猛：凑热闹
恼	nɔ4	苦~（子）：可怜（又读nɑ）
捞	lɔ1	
唠	lɔ1	~叨
劳	lɔ2	~碌：忙碌；~村：西山地名
痨	lɔ2	~病
牢	lɔ2	结实；~监/监~：监狱
□	lɔ2	~zɔ31：杂乱零碎或陈旧破烂的东西
老	lɔ4	~鬼：老练；~娘：接生婆；~卜：萝卜
佬	lɔ4	赤~：骂人用语
栳	lɔ4	栲（kʰəʔ3）~：装稻谷、麦子的大容器
□	lɔ4	哪，如：~一个/~一点/~搭：哪个/哪些/哪里
涝	lɔ6	“三亩棉花三亩稻，干也好嘞~也好”（农谚）
恅	lɔ9	懊~：后悔
糟	ʦɔ1	~蹋；懊~热：闷热；一团~
遭	ʦɔ1	~殃
朝	ʦɔ1	今~/明~/日~：今天/明天/每天；睏晏~：睡懒觉
昭	ʦɔ1	秦~公
招	ʦɔ1	~女婿：入赘/招赘；~手
钊	ʦɔ1	章士~
沼	ʦɔ1	~气
找	ʦɔ3	~铜钱：找钱
早	ʦɔ3	~饭；~浪=/~晨头：早上
蚤	ʦɔ3	
爪	ʦɔ3	脚~：爪子；猪脚~：猪蹄
灶	ʦɔ5	~头：灶；~下间：厨房；~膛灰；~家菩萨：灶神
罩	ʦɔ5	饭~；~衫/~裤：外衣/外裤
照	ʦɔ5	~片；拍~；关~：吩咐、叮嘱；对~：对面
诏	ʦɔ5	待~：从事吹打的人
枣	ʦɔ3	~子；白蒲~；马眼~
操	ʦʰɔ1	~场
抄	ʦʰɔ1	洋~：铲子；饭~：盛饭用勺子
超	ʦʰɔ1	
躁	ʦʰɔ1	烦~
草	ʦʰɔ3h	四爿头~：四叶草，一种野菜；种~：血统、遗传基因
炒	ʦʰɔ3h	
吵	ʦʰɔ3h	~相骂：吵架
钞	ʦʰɔ3h	~票
燥	ʦʰɔ5	枯~
糙	ʦʰɔ5	粗~
朝	ʣɔ2	往、向，如：~前走
潮	ʣɔ2	潮湿；来~：来月经；~烟
赵	ʣɔ4	
韶	ʣɔ4	~山；~关
邵	ʣɔ4	（又读zɔ4）
骚	sɔ1	
臊	sɔ1	羊~气
筲	sɔ1	饭~箕：盛饭竹器
捎	sɔ1	~口信
稍	sɔ1	~为：稍微
梢	sɔ1	竹~；~~头：末梢；龙~：龙尾
艄	sɔ1	船尾，推~、扳~
烧	sɔ1	~饭/~菜；~酒：白酒
哨	sɔ1	~子<读字>
嫂	sɔ3	~~/阿~：嫂子（面称/背称）
扫	sɔ3	~地；~帚星：彗星
少	sɔ3	不多；
少	sɔ3	~爷；~年
燥	sɔ5	干燥；干~
躁	sɔ5	快速下降；豪=~：赶快；撇=~：手脚麻利
肖	sɔ3/5	生~
曹	zɔ2	~家底：西山地名（读字又读ʣɔ2）
槽	zɔ2	猪~：猪食槽；~头肉：猪颈肉
嘈	zɔ2	心~：烧心；闲~白夹：闲谈
□	zɔ2	lɔ24~：杂乱零碎或陈旧破烂的东西
皂	zɔ2	肥~
扰	zɔ2	~民；骚~
造	zɔ4	~房子
兆	zɔ4	~头
绍	zɔ4	~兴；~兴戏：越剧；~山（也可读ʣɔ）：西山地名；介~
召	zɔ4	号~24-31
唣	zɔ4/6	罗~：吵闹、声音杂乱
高	kɔ1	~粱；~兴：愿意；节节~：竹制挂物架
膏	kɔ1	~药；汏头~：洗发水；卖狗皮~药个：夸大其词的人
篙	kɔ1	竹~
镐	kɔ1	洋~：镐子
羔	kɔ1	羊~
糕	kɔ1	条头~/定胜~/门印子~/年~/粢饭~；风~：发糕
交	kɔ1	~代；~节气
胶	kɔ1	橡~
教	kɔ1	~书
跤	kɔ1	跌~/掼~：摔跤
茭	kɔ1	~白
稿	kɔ3	
绞	kɔ3	~干：拧干；~丝帮：绞丝旁；~力棒：麻花；~手臂筋：掰手腕
校	kɔ3	~准44-31；~手表
告	kɔ5	~送=：告诉；~花子：乞丐
窖	kɔ5	地~；山薯~：地瓜窖
觉	kɔ5	睡醒；睏~：睡觉；打中~：睡午觉
酵	kɔ5	老~；发~粉
犒	kɔ1	~劳33-41
敲	kʰɔ1	~门；~耳光：打耳光；~竹杠：讹人
考	kʰɔ3h	~试
拷	kʰɔ3h	舀；买（酒、油等液体）
靠	kʰɔ5	将近， ~十日天：将近十天；~把/~背凳：椅子
铐	kʰɔ5	手~
烤	kʰɔ5	~肉
峧	ɡɔ2	~上（lɑ̃22）：西山地名
搞	ɡɔ4	~产业：从事农业
绞	ɡɔ4	~叉
熬	ŋɔ2	忍受
傲	ŋɔ3	~气44-44
咬	ŋɔ4	~卵：发火、生气、怄气
□	ŋɔ4	抬头的动作
蒿	hɔ1	<读字>
□	hɔ1	油变质
好	hɔ3	~看；~日：结婚；天~：晴天；~婆：祖母；可以、能够
耗	hɔ3	损~
孝	hɔ5	戴~
凹	ɔ1	
坳	ɔ1	山~~/~凼：山谷
豪	ɔ2	~躁：赶快
壕	ɔ2	~沟
毫	ɔ2	~升
拗	ɔ3	~断：折断
浩	ɔ4	~劫；~~野天：无边无际
奥	ɔ5	偏僻；深~；~运会
澳	ɔ5	~门
懊	ɔ5	~恅：后悔；~糟热：闷热
爊	ɔ5	~鹅33-41
袄	ɔ5	棉~；夹~
号	ɔ6	~头：月份；绰~
标	piɔ1	~榜
膘	piɔ1	肥~
彪	piɔ1	林~
□	piɔ1	液体喷射
表	piɔ3	~弟兄：表兄弟；光~：形容物体表面不粗糙的状态
表	piɔ3	手~
婊	piɔ3	~子
飘	pʰiɔ1	
漂	pʰiɔ1	浮（在水面上）
缥	pʰiɔ1	~缈峰：西山最高峰
漂	pʰiɔ3	~亮
票	pʰiɔ5	钞~/~子：钱
瓢	biɔ2	调羹；~虫
薸	biɔ2	浮~草：浮萍
嫖	biɔ2	吃喝~赌
苗	miɔ2	蒜~；秧~
描	miɔ2	~出来
秒	miɔ2	
妙	miɔ2	~计；巧~
缈	miɔ3	缥~峰：西山最高峰
渺	miɔ3	~茫
藐	miɔ3	~视
庙	miɔ6	禹王~，娘娘~：天后宫，关老爷~：关帝庙
谬	miɔ1	~论；荒~
覅	fiɔ1	不要、别（“弗要”的合音）
貂	tiɔ1	~皮
凋	tiɔ1	~谢；~零
雕	tiɔ1	泥水木~：泥塑像
碉	tiɔ1	~堡
刁	tiɔ1	~嘴~舌：说话口齿不清；~钻
鸟	tiɔ3	麻~：麻雀
钓	tiɔ5	~鱼
吊	tiɔ5	~煞：缢死；~桶：吊井水的桶
铫	tiɔ5	铜~：铜制烧水壶；~子：烧水壶
□	tiɔ1/5	~眼：眼睛上部因有痘痘把眼皮拉上去，从而使眼睛呈现突出的状态
挑	tʰiɔ1	~水； ~八条头绳个：肩挑手扛做小买卖的人
跳	tʰiɔ5	~板；~绳；豁虎~：侧手翻
眺	tʰiɔ5	凭~
条	diɔ2	被子/席子的量词；桁~；~头糕
调	diɔ2	空~
笤	diɔ2	~帚：扫帚
□	diɔ4	~柜：床头柜
掉	diɔ6	~龙灯：舞龙
调	diɔ6	换，~只碗；别~：倔强；~蛋：蒸鸡蛋
跳	diɔ6	~脚：跺脚；~板：老式床脚边放置的踏板
撩	liɔ1	~起来
聊	liɔ2	无~
橑	liɔ2	~檐头；~檐水：屋檐上滴下来的水
燎	liɔ2	~原
疗	liɔ2	医~
辽	liɔ2	~宁
僚	liɔ2	官~
镣	liɔ2	脚~
寥	liɔ2	~~无几
廖	liɔ2	~承志
了	liɔ4	弗得~：不得了；~头：结束，与“起头”相对
□	liɔ2/4	马~头：马兰头
料	liɔ6	作~；~作：衣料；~子：粪勺；~红：橘子品种
□	liɔ6	~鱼
焦	ʦiɔ1	枯~
蕉	ʦiɔ1	香~
椒	ʦiɔ1	辣~
醮	ʦiɔ5	打~
缲	ʦʰiɔ1	挽（袖子）；~边儿
□	ʦʰiɔ1	换尿布的动作，~尿布
悄	ʦʰiɔ1	静~~
□	ʦʰiɔ3h	为争夺某样物品哄抬价格，类似拍卖
俏	ʦʰiɔ5	显眼，搿件衣裳着得~得嘞：这件衣服穿着很很显眼
瞧	ʦʰiɔ1	<读字>
樵	ʣiɔ2	~夫
缫	ʣiɔ2	~丝
巢	ʣiɔ2	雀~咖啡
剿	ʣiɔ2	反围~
销	siɔ1	开~；报~
箫	siɔ1	
宵	siɔ1	良~
霄	siɔ1	云~
硝	siɔ1	~烟；~酸
逍	siɔ1	~遥
消	siɔ1	~夏湾：西山地名；吃弗~：吃不消、受不了
萧	siɔ1	~条
□	siɔ1	乌~蛇/黄~蛇：乌梢蛇/黄梢蛇；青~蛇：青蛇/竹叶青
小	siɔ3	~人：小孩；~气；~菜：菜肴
筱	siɔ3	竹~头笤帚：用细小竹子制作的笤帚
□	siɔ3	~籽：产卵
笑	siɔ5	
□	ziɔ6	搅拌；涮洗马桶的动作
娇	ʨiɔ1	撒~<读字>
浇	ʨiɔ1	~粪：施肥
交	ʨiɔ1	~通；~关：非常，许多
郊	ʨiɔ1	~区
蛟	ʨiɔ1	出~：山谷或半山里的地下水涌出发生的山洪
骄	ʨiɔ1	~傲
缴	ʨiɔ1	~费
矫	ʨiɔ1	~枉过正
饺	ʨiɔ1	~子；蛋~
狡	ʨiɔ1	~猾44-31
嘦	ʨiɔ3	[只要]的合音，~得
搅	ʨiɔ3	~拌
校	ʨiɔ3	~对
较	ʨiɔ5	比~；计~
叫	ʨiɔ5	叫、喊；雇；助词，好好~：好好地；吹~：哨子
教	ʨiɔ5	~育
敲	ʨʰiɔ1	推~
跷	ʨʰiɔ1	~脚：瘸子33-41
巧	ʨʰiɔ3h	碰~/正~/齐~：恰巧、正巧
翘	ʨʰiɔ5	
窍	ʨʰiɔ5	七~
桥	ʥiɔ2	长~、枫~、北~、黄~：原吴县地名
荞	ʥiɔ2	~麦
侨	ʥiɔ2	华~
侨	ʥiɔ2	
轿	ʥiɔ2	~子
□	ʥiɔ2	~ʦʰie31：三走架一端三根绑在一起的杆子的统称，单位是“走”
撬	ʥiɔ4	
饶	ȵiɔ2	~让：饶
桡	ȵiɔ2	划（桨）
鸟	ȵiɔ3	啄木~
尿	ȵiɔ3	糖~病
绕	ȵiɔ6	
挠	ȵiɔ2	不屈不~
枵	ɕiɔ1	薄~~：薄薄的
嚣	ɕiɔ1	~张
枭	ɕiɔ1	~雄
骁	ɕiɔ1	~勇善战35
□	ɕiɔ1	不要、别（“休要”的合音）
□	ɕiɔ1	掀开
晓	ɕiɔ3	~得：知道；~星：启明星
孝	ɕiɔ5	忠~节义
酵	ɕiɔ5	发~
哮	ɕiɔ5	~喘病<读字>
侥	ɕiɔ3	~幸33-41
妖	iɔ1	~怪
夭	iɔ1	~折
邀	iɔ1	
腰	iɔ1	~眼：腰；~子：肾脏
要	iɔ1	~求
幺	iɔ1	
吆	iɔ1	~喝<读字>
鹞	iɔ1	~鹰：老鹰
摇	iɔ2	~船；天~地动：地震
谣	iɔ2	~言
姚	iɔ2	
遥	iɔ2	~逍
窑	iɔ2	~上（lɑ̃22）：地名
尧	iɔ2	~舜禹
肴	iɔ2	美味佳~
鹞	iɔ2	~子：风筝
杳	iɔ3	~无音信
□	iɔ3	折（~被子/衣服/纸）
淆	iɔ3	混~
舀	iɔ4	
耀	iɔ4	~眼：（光芒）刺眼
效	iɔ4	~果
要	iɔ5	~紧；弗~紧：要紧
校	iɔ6	技~；~长
班	pɛ1	上~
斑	pɛ1	寿~/色~：老人斑；脚=子~：雀斑
颁	pɛ1	~布
扳	pɛ1	~差头：找茬
般	pɛ1	一~
板	pɛ3	木~；天花~；一定，~要、还~
版	pɛ3	（书的）页
扮	pɛ5	打~
绊	pɛ5	~一跤
摆	pɛ1	打~子：发疟疾
攀	pʰɛ1	~亲：订婚
襻	pʰɛ5	提手（篮子或马桶上的），~头
爿	bɛ2	片、瓣，一~西瓜、瓦~/叶~：瓦片、叶片、四~头草：四叶草
𨂝	bɛ2	爬，~起来：爬起来
办	bɛ6	~喜事：结婚
瓣	bɛ6	<读字>
蛮	mɛ1	很
蛮	mɛ2	~皮：顽皮
□	mɛ2	~石
晚	mɛ4	~爷/~娘：继父/继母；后~来（li）：后来
漫	mɛ4	~长；~画；~山遍野
慢	mɛ6	
迈	mɛ6	~步
蔓	mɛ2	藤~；~延
翻	fɛ1	
番	fɛ1	~茄
藩	fɛ1	曾国~
贩	fɛ1	~子
反	fɛ3	~正；~酸；~抄耳光：手反过来打耳光
泛	fɛ3	广~
幡	fɛ3/5	麻~
矾	vɛ2	净水用的物质
帆	vɛ2	~布
凡	vɛ2	~是
烦	vɛ2	麻~/厌~：麻烦
