罗马字	IPA	汉字
côh	tʃɔʔ	捉琢筑□{～实：确实}□{捡拾}
c'ôh	tʃʰɔʔ	啄喫戳触龊
djôh	dʒɔʔ	着{2}逐
shôh	ʃɔʔ	搠朔缩
wôh	ɦuɔʔ	镬矆
ôh	ɔʔ	屋恶□{2，～人相：害羞状}
poh	poʔ	北卜
p'oh	pʰoʔ	扑瀑趴
boh	boʔ	仆剥搏匐曝葡{2}薄
moh	moʔ	墨木沐漠牧目睦穆摸莫□{～百：部落首领}□{～事：异象}
foh	foʔ	幅復{2}福腹蝠覆辐馥
voh	voʔ	伏復{3}服袱
toh	toʔ	笃督啄{白读}
doh	doʔ	渎度{2}毒独读
noh	noʔ	诺{以～}
loh	loh	六咯洛漉碌录络陆骆落绿
tsoh	tsoʔ	作促
ts'oh	tsʰoʔ	蹙簇{～崭新：簇新；～齐：很齐}
soh	soʔ	束速
zoh	zoʔ	族
koh	koʔ	各国谷
ngoh	ŋoʔ	乐{3}
oh	ɦoʔ	惑或
coh	tʃoʔ	嘱属{1}烛祝竹筑足桌
c'oh	tʃʰoʔ	吃{白读}矗蛐麯龊□{～怒：大怒}
djoh	dʒoʔ	局轴
shoh	ʃoʔ	叔宿属{1}粟肃蓄缩
joh	ʒoʔ	俗塾孰淑熟续肉{2，亲骨～}蜀褥赎辱属{2}
kwoh	kuoʔ	郭
woh	ɦuoʔ	握
oh	oʔ	恶{2}龌{2}屋
pih	piʔ	哔必璧毕碧笔辟逼鳖瘪
p'ih	pʰiʔ	僻劈匹撇疋{1}霹
bih	biʔ	别弼鼻辟{开～}
mih	miʔ	密灭蜜觅□{节～头：指头；趾头}
tih	tiʔ	嫡滴的跌
t'ih	tʰiʔ	僣剔帖惕铁踢□{这样}
dih	diʔ	垤{小土丘}迪敌沓{1}狄叠碟籴耋蝶笛
lih	liʔ	凓列力律裂栗历冽沥烈疬立
tsih	tsiʔ	节即执折拮接褶棘汁浙洁炙疖积绩只织职脊蛤{1}赤迹鲫质结侧{～耳朵：侧耳}
ts'ih	tsʰiʔ	七切妾尺戚缉敕漆疙窃迄{2}饬赤
dzih	dziʔ	值侄屐掷殖直讫
sih	siʔ	些失媳室屑式息悉惜拭湿胁膝{1}薛虱亵设识释锡饰歇{1}泄
zih	ziʔ	什入十夕嫉寂实{1}截拾涉疾石籍习舌蒺袭陟集食蚀术{1}绝{1}
kih	kiʔ	割{1}
k'ih	kʰiʔ	揭
kyih	ciʔ	亟劫吉吸圾急戟掇击级结给激洁
ky'ih	cʰiʔ	乞怯{1}泣渴{2}挈
gyih	ɟiʔ	杰及极汲竭迄{2}
nyih	ɲiʔ	匿囡孽捏捻日业溺热逆
hyih	çiʔ	歇{2}蝎膝{2}□{放置}
c'ih	tʃʰiʔ	出
djih	dʒiʔ	着{1，望～：看到}
shih	ʃiʔ	说雪些释□{理睬}
jih	ʒiʔ	术{2}述绝{2}叶实{2，厚}
yih	ɦiʔ	佾协合{2}易益盍叶蜴蝎译逸阖页驿翼{翼～：翅膀}
ih	iʔ	一乙噎壹抑揖遏邑
suh	suʔ	摔率瑟
shuh	ʃuʔ	刷戍
k'üih	kʰyɪʔ	倔
cüih	tʃyɪʔ	决抉掬決菊诀蹶拙
c'üih	tʃʰyɪʔ	屈崛缺鞠□{～分}
shüih	ʃyɪʔ	恤
jüih	ʒyɪʔ	绝{3}
gyüih	ɟyɪʔ	厥掘术{3}橛
nyüih	ɲyɪʔ	月
hyüih	çyɪʔ	血
yüih	ɦyɪʔ	穴粤{1}越{1}□{手～～：摆手示意}
üih	yɪʔ	越{2}
liah	liaʔ	掠略
tsiah	tsiaʔ	勺嚼{1}爵酌脚着{3，～衣裳}
ts'iah	tsʰiaʔ	雀鹊□{个～：这时候；那么；就}
dziah	dziaʔ	着{4}□{～得：情愿；愿意}
siah	siaʔ	削谑
ziah	ziaʔ	嚼{2}弱若
kyiah	ciaʔ	脚峡
ky'iah	cʰiaʔ	怯{2}绰却
nyiah	ɲiaʔ	虐疟{～病}箬
yiah	ɦiaʔ	钥药越{3}
iah	iaʔ	约
ky'üoh	cʰyoʔ	曲屈吃{白读}确喫
gyüoh	ɟyoʔ	镯局
nyüoh	ɲyoʔ	狱玉𢫭{～粉：揉粉；和面}
hyüoh	çyoʔ	旭畜蓄
yüoh	ɦyoʔ	彧役欲毓浴疫育
üoh	yoʔ	悦郁
m	m	某
n	n	儿
ng	ŋ	五午吾鱼耳{2}尔{你}
ts	tsɿ	之仔咨子置茲志支致旨智枝梓止炽猪知祉笞纸紫翅肢至芝蜘痣咨辎姊煮滋{～润}𣥼{盛；装}
ts'	tsʰɿ	刺耻次此雌齿厕
dz	dzɿ	持池治滋雉踟迟苎伺
s	sɿ	使史司四尸屎思撕斯施死私筛丝肆蛳诗试豕驶
z	zɿ	事仕似伺侍匙嗣士始字寺巳市慈是时氏疵示祀而自词赐辞珥{书～}
r	əl	耳{1，文读}儿{文读}
