繁	简	国际音标	备注	调类			调值																																										
綵	彩	tshɛ	张灯结~；剪~。	3																																													
採	采	tshɛ		3																																													
睬	睬	tshɛ		3																																													
菜	菜	tshɛ		4																																													
才	才	tshɛ		2																																													
財	财	tshɛ		2																																													
材	材	tshɛ		2																																													
裁	裁	tshɛ		2																																													
在	在	tsɛ		4																																													
賽	赛	sɛ		4																																													
該	该	kɛ		1																																													
改	改	kɛ		3																																													
概	概	kɛ		4																																													
開	开	khɛ		1																																													
慨	慨	khɛ		3																																													
礙	碍	ɛ		4																																													
海	海	χɛ		3																																													
孩	孩	χɛ		2																																													
哀	哀	ɛ		1																																													
愛	爱	ɛ		4																																													
貝	贝	pɪ		4																																													
沛	沛	phɪ		4																																													
帶	带	tɛ		4																																													
太	太	thɛ		4																																													
泰	泰	thɛ		4																																													
奈	奈	nɛ/lɛ		4																																													
賴	赖	lɛ		4																																													
蔡	蔡	tshɛ		4																																													
蓋	盖	kɛ		4																																													
艾	艾	ɛ		4																																													
艾	艾	iəʔ		5																																													
害	害	χɛ		4																																													
拜	拜	pɛ		4																																													
拜	拜	pɛ	拜拜。（英语借词）	2																																													
排	排	phɛ		2																																													
埋	埋	mɛ		2																																													
齋	斋	tsɛ	【文读】	1																																													
齋	斋	tshɛ	【白读】	1																																													
豺	豺	tshɛ		2																																													
皆	皆	tɕiɛ	【文读】	1																																													
皆	皆	kɛ	【白读】	1																																													
階	阶	tɕiɛ	【文读】~段。	1																																													
階	阶	kɛ	【白读】	1																																													
介	介	tɕiɛ	【文读】	4																																													
介	介	kɛ	【白读】	4																																													
界	界	tɕiɛ	【文读】~线。	4																																													
界	界	kɛ	【白读】	4																																													
界	界	ka	【白读】搭~。（吴语借词）	4																																													
戒	戒	tɕiɛ	【文读】~严。	4																																													
戒	戒	kɛ	【白读】	4																																													
屆	届	tɕiɛ	【文读】~时；第一~。	4																																													
屆	届	kɛ	【白读】	4																																													
械	械	tɕiɛ	【文读】	4																																													
械	械	kɛ	【白读】	4																																													
楷	楷	khɛ		3																																													
挨	挨	ɛ		2																																													
擺	摆	pɛ		3																																													
派	派	phɛ		4																																													
牌	牌	phɛ		2																																													
罷	罢	pa		4																																													
買	买	mɛ		3																																													
賣	卖	mɛ		4																																													
奶	奶	nɛ/lɛ		3																																													
債	债	tsɛ		4																																													
釵	钗	tshɛ		1																																													
柴	柴	tshɛ		2																																													
篩	筛	sɛ		1																																													
曬	晒	sɛ		4																																													
佳	佳	tɕia	【文读】	1																																													
佳	佳	ka	【白读】	1																																													
街	街	kɛ		1																																													
解	解	kɛ	【白读】	3																																													
解	解	tɕiɛ	【文读】~放。	3																																													
解	解	χɛ	姓。	4																																													
涯	涯	a		2																																													
鞋	鞋	χɛ		2																																													
蟹	蟹	χɛ		3																																													
矮	矮	ɛ		3																																													
隘	隘	ɛ		4																																													
敗	败	pɛ		4																																													
邁	迈	mɛ		4																																													
弊	弊	piʑ		4																																													
幣	币	piʑ		4																																													
斃	毙	piʑ		4																																													
例	例	liʑ		4																																													
厲	厉	liʑ		4																																													
祭	祭	tɕiʑ		4																																													
際	际	tɕiʑ		4																																													
制	制	tsɿ		4																																													
製	制	tsɿ		4																																													
世	世	sɿ		4																																													
勢	势	sɿ		4																																													
誓	誓	sɿ		4																																													
逝	逝	sɿ		4																																													
藝	艺	iʑ		4																																													
閉	闭	piʑ		4																																													
批	批	phiʑ		1																																													
迷	迷	miʑ		2																																													
米	米	miʑ		3																																													
謎	谜	miʑ		2																																													
低	低	tiʑ		1																																													
堤	堤	tiʑ		2																																													
底	底	tiʑ		3																																													
抵	抵	tiʑ		3																																													
帝	帝	tiʑ		4																																													
梯	梯	thiʑ		1																																													
體	体	thiʑ		3																																													
替	替	thiʑ		4																																													
涕	涕	thiʑ		4																																													
剃	剃	thiʑ		4																																													
題	题	thiʑ		2																																													
提	提	thiʑ		2																																													
啼	啼	thiʑ		2																																													
蹄	蹄	thiʑ		2																																													
弟	弟	tiʑ/tɪ		4																																													
第	第	tiʑ/tɪ		4																																													
泥	泥	niʑ/nɪ		2																																													
犁	犁	liʑ		2																																													
黎	黎	liʑ		2																																													
禮	礼	liʑ		3																																													
麗	丽	liʑ		4																																													
隸	隶	liʑ		4																																													
擠	挤	tɕiʑ		3																																													
濟	济	tɕiʑ		4																																													
濟	济	tɕiʑ	~南。	3																																													
妻	妻	tɕhiʑ		1																																													
齊	齐	tɕhiʑ		2																																													
臍	脐	tɕhiʑ		2																																													
西	西	ɕiʑ		1																																													
栖	栖	tɕhiʑ		1																																													
洗	洗	ɕiʑ		3																																													
細	细	ɕiʑ		4																																													
婿	婿	ɕʮ		4																																													
胥	胥	ɕʮ		1																																													
稽	稽	tɕiʑ		1																																													
