單字	音標	註
瞎	hak33	
舌	sɪʔ23	
山	saŋ32	
閒	haŋ21	
艱	kaŋ32	
盞	tsaŋ45	
鏟	tsʰaŋ45	
棧	tsaŋ45	
產	tsʰaŋ45	
揀	kaŋ45	
簡	kaŋ45	
眼	ŋaŋ23	
限	haŋ43	
幻	vaŋ43	
瓣	paŋ43	
辦	paŋ43	
盼	pʰaŋ23	
紮	tsa23	
扎	tsa23	
察	tsʰa23	
猾	vak33	
八	pa23	
連	lɪŋ21	
令	lɐŋ43	令到
煎	tsɪŋ32	
遷	tsʰɪŋ32	
全	tsʰɪŋ21	
錢	tsʰɪŋ21	
泉	tsʰɪŋ21	
鮮	sɪŋ32	新鮮
鮮	sɪŋ45	鮮有
仙	sɪŋ32	
宣	sɪŋ32	
專	tsɪŋ32	
川	tsʰɪŋ32	
穿	tsʰɪŋ32	
扇	sɪŋ23	
船	sɪŋ21	
燃	jɪŋ21	
然	jɪŋ21	
捐	kɪŋ32	
鉛	jɪŋ21	
緣	jɪŋ21	
沿	jɪŋ21	
延	jɪŋ21	
鞭	pɪŋ32	
便	pɪŋ43	方便
便	pʰɪŋ21	大腹便便
平	pʰœŋ/ɐŋ21	
棉	mɪŋ21	
綿	mɪŋ21	
篇	pʰɪŋ32	
偏	pʰɪŋ32	
剪	tsɪŋ45	
踐	tsʰɪŋ23	
選	sɪŋ45	
喘	tsʰɪŋ45	
善	sɪŋ43	
軟	jɪŋ23	
遣	hɪŋ45	
演	jɪŋ45	
戀	lɪŋ45	
箭	tsɪŋ23	
賤	tsɪŋ43	
線	sɪŋ23	
顫	tsɪŋ23	
戰	tsɪŋ23	
絹	kɪŋ23	
面	mɪŋ43	
劣	lɪʔ23	
烈	lɪk33	
裂	lɪk33	
絕	tsɪk33	
雪	sɪʔ23	
浙	tsɪʔ23	
設	sɪʔ23	
熱	jɪk33	
悅	jɪk33	
閱	jɪk33	
滅	mɪk33	
鏈	lɪŋ45	
傳	tsʰɪŋ21	傳下來
傳	tsɪŋ43	傳記
纏	tsʰɪŋ21	
圓	jɪŋ21	
捲	kɪŋ45	
權	kʰɪŋ21	
卷	kɪŋ45	試卷
拳	kʰɪŋ21	
展	tsɪŋ45	
轉	tsɪŋ45	轉眼
轉	tsɪŋ23	公轉
辨	pɪŋ43	
辯	pɪŋ43	
免	mɪŋ23	
勉	mɪŋ23	
件	kɪŋ43	
這	tsɛ23	
變	pɪŋ23	
倦	kɪŋ43	
哲	tsɪʔ23	
撤	tsʰɪʔ23	
徹	tsʰɪʔ23	
別	pɪk33	
杰	kɪk33	
傑	kɪk33	
顛	tɪŋ32	
天	tʰɪŋ32	
田	tʰɪŋ21	
年	nɪŋ21	
零	lɐŋ21	
蓮	lɪŋ21	
憐	lɪŋ21	
淺	tsʰɪŋ45	
千	tsʰɪŋ32	
前	tsʰɪŋ21	
先	sɪŋ32	
肩	kɪŋ32	
堅	kɪŋ32	
縴	hɪŋ32	
牽	hɪŋ32	
縣	jɪŋ43	
絃	jɪŋ21	
懸	jɪŋ21	
賢	jɪŋ21	
弦	jɪŋ21	
燕	jɪŋ23	燕子
咽	jɪŋ32	鼻咽
煙	jɪŋ32	
邊	pɪŋ32	
編	pʰɪŋ32	
眠	mɪŋ21	
典	tɪŋ45	
繭	kaŋ45	
犬	hɪŋ45	
顯	hɪŋ45	
宴	jɪŋ23	
辮	pɪŋ32	
電	tɪŋ43	
殿	tɪŋ43	
練	lɪŋ43	
鍊	lɪŋ43	
薦	tsɪŋ23	
荐	tsɪŋ23	
見	kɪŋ23	見到
硯	hɪŋ45	
現	hɪŋ43	
嚥	jɪŋ23	
遍	pʰɪŋ23	
麵	mɪŋ43	
片	pʰɪŋ23	
鐵	tʰɪʔ23	
跌	tɪʔ23	
捏	nɪk33	
節	tsɪʔ23	
竊	sɪʔ23	
截	tsɪk33	
桔	kɐk55	
結	kɪʔ23	
潔	kɪʔ23	
缺	kʰɪʔ23	
決	kʰɪʔ23	
血	hɪʔ23	
頁	jɪk33	
穴	jɪk33	
篾	mɪk33	
蔑	mɪk33	
刀	tɐu32	
滔	tʰɐu32	
叨	tɐu32	嘮嘮叨叨
綢	tsʰɔ21	
掏	tʰɐu21	
逃	tʰɐu21	
桃	tʰɐu21	
濤	tʰɐu21	
萄	tʰɐu21	
撈	lɔ21	
牢	lɐu21	
勞	lɐu21	勞動
勞	lɐu21	犒勞
糟	tsɐu32	
槽	tsʰɐu21	
遭	tsɐu32	
操	tsʰɐu32	操場
操	tsʰɐu32	操守
嘈	tsʰɐu21	
膏	kɐu32	
高	kɐu32	
熬	ŋɐu21	
撓	jau45	
號	hɐu43	名詞
豪	hɐu21	
毫	hɐu21	
袍	pʰɐu21	
毛	mɐu21	
島	tɐu45	
倒	tɐu45	倒掉
倒	tɐu23	倒刺
套	tʰɐu23	
討	tʰɐu45	
道	tɐu43	
稻	tɐu43	
腦	nɐu23	
惱	nɐu23	
老	lɐu23	
棗	tsɐu45	
早	tsɐu45	
澡	tsʰɐu23	
草	tsʰɐu45	
造	tsʰɐu23	仿造
造	tsʰɐu23	登峯造極
掃	sɐu23	
燥	tsʰɐu23	
嫂	sɐu45	
考	hau45	
好	hɐu45	好壞
好	hɐu23	爱好
浩	hɐu43	
襖	ɐu23	
寶	pɐu45	
堡	pɐu45	
保	pɐu45	
抱	pʰɐu23	
到	tɐu23	
悼	tɐu43	
蹈	tɐu43	
導	tɐu43	
盜	tɐu43	
躁	tsʰɐu23	
糙	tsʰɐu23	
告	kɐu23	告訴
靠	kʰɔ23	
傲	ŋɐu43	
奧	ɐu23	
報	pɐu23	
暴	pɐu43	施暴
帽	mɐu43	
冒	mɐu43	冒險
抓	tsa/au32/45	
鈔	tsʰau32	
抄	tsʰau32	
巢	tsʰau21	
梢	sau32	
交	kau32	
教	kau32	教書
教	kau23	教師
咬	ŋau23	
郊	kau32	
膠	kau32	
敲	hau32	
胞	pau32	
苞	pau32	
包	pau32	
跑	pʰau45	
炮	pʰau23	大炮
炮	pʰau23	炮製
茅	mau21	
泡	pʰau23	泡茶
泡	pʰau32	肺泡
泡	pʰɐu23	水泡
拋	pʰau32	
爪	tsau45	
炒	tsʰau45	
攪	kau45	
絞	kau45	
狡	kau45	
巧	hau45	
飽	pau45	
鮑	pau32	鮑魚
鬧	nau43	
罩	tsau23	
稍	sau45	
覺	kau23	睡覺
覺	kɔ23	感覺
較	kau23	
樂	lɔk43	快樂
樂	ŋɔk43	音樂
孝	hau23	
校	hau43	學校
校	kau23	校準
效	hau43	
爆	pau23	
貌	mau43	
蕉	tsiu32	
焦	tsiu32	
椒	tsiu32	
消	siu32	
宵	siu32	
哨	sau23	
銷	siu32	
招	tsiu32	
燒	siu32	
饒	jiu21	
要	jiu32	要求
要	jiu23	重要
腰	jiu32	
遙	jiu21	
搖	jiu21	
陶	tʰɐu21	陶器
謠	jiu21	
窯	jiu21	
標	piu32	
飄	pʰiu32	
漂	pʰiu32	漂流
漂	pʰiu23	漂染
翹	kʰiu21	翹楚
翹	kiu43	翹腳
悄	tsʰiu45	
小	siu45	
紹	siu23	
少	siu45	不少
少	siu23	少爺
擾	jiu45	
繞	jiu45	
吵	tsʰau45	
秒	miu23	
療	liu21	
笑	siu23	
照	tsiu23	
約	jœʔ23	
耀	jiu43	
妙	miu43	
朝	tsiu32	朝早
朝	tsʰiu21	朝代
超	tsʰiu32	
潮	tsʰiu21	
驕	kiu32	
喬	kʰiu21	
嬌	kiu32	
妖	jiu45	
描	miu21	
苗	miu21	
貓	miu45	
橋	kʰiu21	
轎	kiu43	
僑	kʰiu21	
趙	tsiu43	
兆	siu43	
表	piu45	
召	tsiu43	召集
廟	miu43	
雕	tiu32	
鵰	tiu32	
挑	tʰiu32	挑剔
跳	tʰiu23	
條	tʰiu21	
遼	liu21	
料	liu43	
僚	liu21	
寮	liu21	
艘	sɔ45	
簫	siu32	
澆	hiu32	
邀	jiu32	
鳥	t/niu45/23	
掉	tiu43	
了	liu23	
繳	kiu45	
曉	hiu45	
弔	tiu23	
釣	tiu23	
尿	niu43	
激	kɐk55	
叫	kiu23	
多	tu32	
他	tʰa32	
它	tʰa32	
駝	tʰu21	
挪	nu21	
那	na23	那裡
囉	lu32	囉嗦
囉	lu21	嘍囉
蘿	lu21	
羅	lu21	
騾	lui21	
籮	lu21	
鑼	lu21	
螺	lu21	
搓	tsʰai32	
獻	hɪŋ23	
過	ku23	
哥	ku32	
鍋	ku32	
歌	ku32	
課	fu23	
科	fu32	
蛾	ŋu21	
鵝	ŋu21	
靴	hɛ32	
何	hu21	
荷	hu21	荷兰
荷	hu43	负荷
和	vu21	和平
和	vu43	一唱一和
河	hu21	
禾	vu21	
阿	u32	阿胶
阿	ɐk33	阿公
波	pu32	
婆	pʰu21	
摩	mu32	
魔	mu32	
磨	mu21	名詞
磨	mu43	動詞
坡	pu32	
玻	pu32	
茄	kʰɛ21	茄子
茄	ka32	
朵	tu45	
妥	tʰu23	
惰	tu43	
左	tsu45	
坐	tsʰ/tsu23/43	
鎖	su45	
裹	ku45	
果	ku45	
可	hu45	
顆	fu45	
我	ŋu23	
火	fu45	
禍	vu43	
跛	pɔi32	跛豪
爸	pa32	
麼	mu32	
拖	tʰu32	
座	tsu43	
個	ku23	
餓	ŋu43	
臥	ŋu43	
貨	fu23	
賀	hu43	
播	pu23	
縛	pɔ23	
破	pʰu23	
些	sɛ32	
爹	tɛ32	
茶	tsʰa21	
渣	tsa32	
紗	sa32	
沙	sa32	
遮	tsɛ32	
若	jœk33	若然
加	ka32	
瓜	ka32	
嘉	ka32	
家	ka32	大家
跨	kʰa32	
夸	kʰa32	
誇	kʰa32	
芽	ŋa21	
呀	a32	
牙	ŋa21	
譁	va32	
花	fa32	
划	va32	划艇
划	fa23	划算
蝦	ha32	虾公
蝦	ha32	蝦蟆
霞	ha21	
華	va21	中華
鴉	a32	
斜	tsʰɛ21	
椰	jɛ21	
邪	tsʰɛ21	
巴	pa32	
爬	pʰa21	
麻	ma21	
吧	pa32	酒吧
吧	pa43	語氣詞
姐	tsɛ45	
瀉	sɛ23	
寫	sɛ45	
傻	su21	
者	tsɛ45	
社	sɛ23	
捨	sɛ45	
舍	sɛ23	校舍
惹	jɛ23	
寡	ka45	
假	ka45	真假
假	ka23	假期
雅	ŋa23	
瓦	ŋa23	
夏	ha43	
廈	ha43	
下	ha43	下底
下	ha43	睇下
啞	a45	啞仔
冶	jɛ23	
也	ja23	
把	pa45	
罵	ma43	
碼	ma23	
馬	ma23	
借	tsɛ23	
卸	sɛ23	
謝	tsɛ43	
榨	tsa23	
蔗	tsɛ23	
斥	tsʰɐk55	
價	ka23	
嫁	ka23	
駕	ka23	
架	ka23	
嚇	ha23	
化	fa23	
亞	a23	
夜	jɛ43	
射	sɛ43	
霸	pa23	
怕	pʰa23	
檔	tɔŋ23	大排檔
檔	tɔŋ45	檔案
當	tɔŋ32	充當
當	tɔŋ23	典當
盪	tɔŋ43	
糖	tʰɔŋ21	
塘	tʰɔŋ21	
唐	tʰɔŋ21	
堂	tʰɔŋ21	
囊	nɔŋ21	
郎	lɔŋ21	
浪	lɔŋ43	流浪
廊	lɔŋ21	
狼	lɔŋ21	
贓	tsɔŋ32	
滄	tsʰɔŋ32	
蒼	tsʰɔŋ32	
倉	tsʰɔŋ32	
藏	tsʰɔŋ21	埋藏
藏	tsɔŋ43	西藏
桑	sɔŋ32	
喪	sɔŋ32	出喪
喪	sɔŋ23	喪命
剛	kɔŋ32	
崗	kɔŋ32	
光	kɔŋ32	
岡	kɔŋ32	
橫	vaŋ21	
綱	kɔŋ32	
鋼	kɔŋ23	
康	hɔŋ32	
昂	ŋɔŋ21	
炕	hɔŋ23	
荒	fɔŋ32	
航	hɔŋ21	
行	hɔŋ21	一行
行	hɐŋ21	行為
行	haŋ21	行雷
行	hɐŋ43	罪行
抗	kʰɔŋ23	
皇	vɔŋ21	
黃	vɔŋ21	
煌	vɔŋ21	
汪	vɔŋ32	
幫	pɔŋ32	
膀	pʰɔŋ21	翅膀
膀	pɔŋ45	肩膀
旁	pʰɔŋ21	
傍	pɔŋ43	依傍
傍	pʰɔŋ21	傍身
忙	mɔŋ21	
茫	mɔŋ21	
黨	tɔŋ45	
蕩	tɔŋ43	
朗	lɔŋ23	
廣	kɔŋ45	
慌	fɔŋ32	
映	jɐŋ45	
擋	tɔŋ23	排擋
擋	tɔŋ45	擋住
葬	tsɔŋ23	
曠	kʰɔŋ23	
擴	kʰɔŋ23	
魄	pʰa23	魄力
魄	tʰɔ23	同“拓”
託	tʰɔ23	
落	lɔk33	落車
駱	lɔ23	
昨	tsʰu43	
索	sɔ23	
格	ka23	
閣	kɔ23	
胳	ka23	
各	kɔ23	
郭	kʰɔ23	
霍	kʰɔ23	
穫	vɔk33	
鶴	hɔk33	
博	pɔ23	
薄	pɔk33	
泊	pɔk33	
莫	mɔk33	
漠	mɔk33	
幕	mɔk33	
膊	pɔ23	
娘	nœŋ21	
糧	lœŋ21	
量	lœŋ21	測量
量	lœŋ43	衡量
粱	lœŋ21	
良	lœŋ21	
涼	lœŋ21	
梁	lœŋ21	
將	tsœŋ32	將軍
將	tsœŋ23	大將
漿	tsœŋ32	
搶	tsʰœŋ45	搶錢
搶	tsʰœŋ45	呼天搶地
槍	tsʰœŋ32	
牆	tsʰœŋ21	
相	sœŋ32	相睇
相	sœŋ23	丞相
箱	sœŋ32	
祥	tsʰœŋ21	
張	tsœŋ32	
漲	tsœŋ23	
長	tsʰœŋ21	長短
長	tsœŋ45	長高
腸	tsʰœŋ21	
場	tsʰœŋ21	
莊	tsɔŋ32	
裝	tsɔŋ32	
創	tsʰɔŋ23	創傷
創	tsʰɔŋ23	創造
瘡	tsʰɔŋ32	
床	tsʰɔŋ21	
霜	sɔŋ32	
障	tsœŋ23	
樟	tsœŋ32	
章	tsœŋ32	
倡	tsʰœŋ23	提倡
昌	tsʰœŋ32	
嘗	sœŋ21	
常	sœŋ21	
償	sœŋ21	
尚	sœŋ43	
裳	sœŋ21	
商	sœŋ32	
傷	sœŋ32	
湯	tʰɔŋ32	
疆	kœŋ32	
薑	kœŋ32	
僵	kœŋ32	
姜	kœŋ32	
框	kʰaŋ32	
筐	hɔŋ32	
鄉	hœŋ32	
香	hœŋ32	
央	jœŋ32	
殃	jœŋ32	
秧	jœŋ32	
王	vɔŋ21	大王
揚	jœŋ21	
詳	tsʰœŋ21	
洋	jœŋ21	
羊	jœŋ21	
陽	jœŋ21	
楊	jœŋ21	
方	fɔŋ32	
防	fɔŋ21	
房	fɔŋ21	
坊	fɔŋ32	坊間
亡	mɔŋ21	
望	mɔŋ43	
芒	mɔŋ21	光芒
芒	mɔŋ32	芒果
妨	fɔŋ21	
芳	fɔŋ32	
強	kʰœŋ21	強大
強	kʰœŋ23	強制
狂	kʰɔŋ21	
兩	lœŋ23	兩部
兩	lœŋ45	斤两
獎	tsœŋ45	
槳	tsœŋ45	
想	sœŋ45	
橡	tsœŋ43	
像	tsœŋ43	
象	tsœŋ43	
仗	tsœŋ43	倚仗
仗	tsœŋ23	打仗
丈	tsœŋ43	
爽	sɔŋ45	
掌	tsœŋ45	
敞	tʰɔŋ45	
廠	tsʰɔŋ45	
上	sœŋ23	上去
上	sœŋ43	上高
賞	sœŋ45	
壤	jœŋ43	
仰	jœŋ23	
嚮	hœŋ23	
響	hœŋ45	
往	vɔŋ23	
癢	jœŋ23	
養	jœŋ23	
放	fɔŋ23	
網	mɔŋ23	
仿	fɔŋ45	
紡	fɔŋ45	
釀	jœŋ43	
亮	lœŋ43	
掠	lœk33	
諒	lœŋ43	
醬	tsœŋ23	
匠	tsœŋ43	
帳	tsœŋ23	
脹	tsœŋ23	
暢	tsʰœŋ23	
壯	tsɔŋ23	
狀	tsɔŋ43	
唱	tsʰœŋ23	
向	hœŋ23	
讓	jœŋ43	
況	fɔŋ23	
旺	vɔŋ43	
妄	mɔŋ23	
忘	mɔŋ21	
訪	fɔŋ45	
略	lœk33	
雀	tsʰœʔ23	
鵲	tsœʔ23	
嚼	tsœʔ23	
削	sœʔ23	
勺	sœk33	
弱	jœk33	
腳	kœʔ23	
卻	kʰœʔ23	
躍	jœk33	
藥	jœk33	
鑰	jœk33	
盯	tœŋ32	
牲	saŋ32	
甥	saŋ32	
生	saŋ32	
羹	kaŋ32	
更	kɐŋ32	更新
更	kaŋ32	三更
更	ɐŋ23	更加
京	kɐŋ32	
驚	kɐŋ/œŋ32	
坑	haŋ32	
迎	jɐŋ21	
兄	hɐŋ32	
衡	hɐŋ21	
英	jɐŋ32	
榮	jɐŋ21	
兵	pɐŋ32	
棚	pʰaŋ21	
榜	pɔŋ45	
膨	pʰaŋ21	
評	pʰɐŋ21	
盲	maŋ21	
鳴	mɐŋ21	
盟	mɐŋ21	
明	mɐŋ21	
打	ta45	打交
打	ta32	一打
省	sɐŋ45	反省
省	saŋ45	省長
哽	kʰɐŋ45	
礦	kʰɔŋ23	
梗	kɐŋ45	
境	kɐŋ45	
警	kɐŋ45	
景	kɐŋ45	
杏	hɐŋ43	
影	jɐŋ45	
永	vɐŋ23	
丙	pɐŋ45	
猛	maŋ23	
敬	kɐŋ23	
鏡	kœŋ23	
竟	kɐŋ45	
慶	hɐŋ23	
詠	vɐŋ43	
泳	vɐŋ43	
柄	pœŋ23	
病	pœŋ/ɐŋ43	
孟	maŋ43	
命	mœŋ/ɐŋ43	
競	kɐŋ23	
宅	tsak33	
澤	tsak33	
擇	tsak33	
窄	tsa23	
客	ha23	
隙	kʰɐk55	
額	ŋak33	
逆	jɐk33	
柏	pʰa23	
伯	pak33	伯伯
百	pa23	
迫	pɐk55	
白	pak33	
拍	pʰa23	
劇	kʰɛk33	
丁	tɐŋ32	
爭	tsaŋ32	
箏	tsaŋ32	
耕	kaŋ32	
宏	vɐŋ21	
莖	kɐŋ23	
櫻	jɐŋ32	
拼	pʰɐŋ23	
庄	tsɔŋ23	
萌	mɐŋ21	
倖	hɐŋ43	
幸	hɐŋ43	
硬	ŋaŋ43	
摘	tsak33	
責	tsa23	
冊	tsʰa23	
策	tsʰa23	
隔	ka23	
革	ka23	
獲	vɔk33	
核	fɐk33	
劃	vak33	
麥	mak33	
脈	mɐk33	
精	tsɐŋ32	
睛	tsɐŋ32	
蜻	tsɐŋ32	
晶	tsɐŋ32	
清	tsʰɐŋ32	
情	tsʰɐŋ21	
請	tsʰɐŋ45	
晴	tsʰɐŋ21	
正	tsɐŋ32	正月
正	tsɐŋ23	正反
征	tsɐŋ32	
誠	sɐŋ21	
成	sœŋ/ɐŋ21	
城	sœŋ/ɐŋ21	
盛	sɐŋ43	全盛
盛	sɐŋ21	盛載
聲	sœŋ/ɐŋ32	
頃	kʰɐŋ45	
傾	kʰɐŋ32	
輕	hœŋ/ɐŋ32	
營	jɐŋ21	
盈	jɐŋ21	
贏	jœŋ21	
屏	pʰɐŋ21	屏风
名	mœŋ/ɐŋ45/21	
頸	kœŋ45	
嶺	lœŋ23	
領	lœŋ/ɐŋ23	
井	tsœŋ/ɐŋ45	
靜	tsɐŋ43	
整	tsɐŋ45	
餅	pœŋ45	
併	pʰɐŋ23	
淨	tsɐŋ43	
性	sɐŋ23	
姓	sɐŋ23	
政	tsɐŋ23	
聖	sɐŋ23	
勁	kɐŋ23	勁敵
勁	kɐŋ43	有勁
跡	tsɐk55	
蹟	tsɐk55	
脊	tsɛ23	
籍	tsɐk33	
惜	sɐk55	
夕	tsɐk33	
蓆	tsɛk/ɐk33	
席	tsɛk/ɐk33	
隻	tsɛ23	
尺	tsʰɛ23	
赤	tsʰɛ23	
石	sɛk33	
釋	sɐk55	
適	sɐk55	
益	jɐk55	
亦	jɐk33	
疫	jɐk33	
液	jɐk33	
譯	jɐk33	
役	jɐk33	
闢	pʰɐk55	
僻	pʰɐk55	
貞	tsɐŋ32	
偵	tsɐŋ32	
程	tsʰɐŋ21	
呈	tsʰɐŋ21	
鄭	tsœŋ43	
碧	pɐk55	
釘	tœŋ45	名詞
釘	tœŋ32	動詞
叮	tɐŋ32	
聽	tʰœŋ/ɐŋ32/23	聽見
聽	tʰɐŋ23	聽命
訂	tɐŋ23	
廳	tʰœŋ32	
亭	tʰɐŋ21	
挺	tʰɐŋ23	副詞
挺	tʰɐŋ45	動詞
蜓	tʰɐŋ21	
停	tʰɐŋ21	
庭	tʰɐŋ21	
寧	nɐŋ21	
齡	lɐŋ21	
冷	laŋ23	
鈴	lɐŋ21	
伶	lœŋ21	
拎	nɐŋ32	
靈	lɐŋ21	
青	tsʰœŋ/ɐŋ32	
醒	sɐŋ45	
腥	sœŋ23	
星	sœŋ/ɐŋ32	
經	kɐŋ32	
刑	jɐŋ21	
型	jɐŋ21	
形	jɐŋ21	
瓶	pʰɐŋ21	
萍	pʰɐŋ21	
頂	tœŋ/ɐŋ45	
艇	tʰœŋ23	
並	pɐŋ43	
定	tɐŋ43	
徑	kɐŋ23	
的	tɐk55	
滴	tɐk33	
踢	tʰɛ23	
剔	tʰɐk55	
惕	tʰɐk55	
笛	tɛk33	
敵	tɐk33	
瀝	lɛk33	地名
曆	lɐk33	
歷	lɐk33	
績	tsɐk55	
戚	tsʰɐk55	
錫	sɛ/ɐk23/55	
析	sɐk55	
擊	kɐk55	
壁	pɐk55	
劈	pʰɛ23	
燈	tɐŋ32	
登	tɐŋ32	
騰	tʰɐŋ21	
藤	tʰɐŋ21	
增	tsɐŋ32	
曾	tsɐŋ32	曾祖
曾	tsʰɐŋ21	未曾
層	tsʰɐŋ21	
僧	tsɐŋ43	
恆	hɐŋ21	
朋	pʰɐŋ/aŋ21	
肯	hɐŋ45	
凳	tɐŋ23	
贈	tsɐŋ43	
德	tɐk55	
得	tɐk55	
特	tɐk33	
勒	lɐk33	
則	tsɐk55	
賊	tsʰɐk33	
國	kɔ23	
剋	hɐk55	
刻	hɐk55	
克	hɐk55	
黑	hɐk55	
惑	vak33	
或	vak33	
北	pɐk55	
蔔	pak33	
墨	mɐk33	
默	mɐk33	
陵	lɐŋ21	
徵	tsɐŋ32	徵兆
癥	tsɐŋ32	
懲	tsʰɐŋ21	
蒸	tsɐŋ32	
稱	tsʰɐŋ32	稱作
稱	tsʰɐŋ23	稱職
承	sɐŋ21	
升	sɐŋ32	
昇	sɐŋ32	
勝	sɐŋ23	勝任
勝	sɐŋ23	勝利
繩	sɐŋ21	
乘	sɐŋ21	乘車
仍	jɐŋ21	
扔	jɐŋ21	
凝	jɐŋ21	
興	hɐŋ32	復興
興	hɐŋ23	高興
應	jɐŋ32	應該
應	jɐŋ23	應答
鷹	jɐŋ32	
蠅	jɐŋ21	
冰	pɐŋ32	
憑	pʰɐŋ21	文憑
憑	pɐŋ43	憑靠
證	tsɐŋ23	
秤	tsʰɐŋ23	秤砣
秤	pʰɐŋ21	天秤
剩	sɐŋ43	
孕	jɐŋ43	
力	lɐk33	
即	tsɐk55	
熄	sɐk55	
息	sɐk55	
直	tsɐk33	
側	tsɐk55	
測	tsɐk55	
色	sɐk55	
職	tsɐk55	
殖	tsɐk33	
飾	sɐk55	
式	sɐk55	
蝕	sɐk33	
億	jɐk55	
憶	jɐk55	
域	vɐk33	
翼	jɐk33	
逼	pɐk55	
極	kɐk33	
榴	lɔ21	
流	lɔ21	
劉	lɔ21	
留	lɔ21	
秋	tsʰɔ32	
脩	sɔ32	
羞	sɔ32	
修	sɔ32	
抽	tsʰɔ32	
稠	tsʰɔ21	
籌	tsʰɔ21	
愁	sɔ21	
蒐	sɔ45	
州	tsɔ32	
洲	tsɔ32	
舟	tsɔ32	
周	tsɔ32	
酬	tsʰɔ21	
收	sɔ32	
柔	jɔ21	
揉	jɔ21	
丘	jɔ32	
牛	ŋɔ21	
休	h/jau/ɔ32	
優	jɔ32	
憂	jɔ32	
尤	jɔ21	
郵	jɔ21	
遊	jɔ21	
悠	jɔ21	
游	jɔ21	
猶	jɔ21	
油	jɔ21	
由	jɔ21	
不	pɐk55	
浮	fɔ21	
謀	mɔ21	
矛	mau21	
求	kʰɔ21	
仇	sɔ21	仇恨
球	kʰɔ21	
紐	nɔ45	
扭	nɔ45	
柳	lɔ23	
酒	tsɔ45	
丑	tsʰɔ45	
醜	tsʰɔ45	
壽	sɔ43	
受	sɔ43	
守	sɔ45	
手	sɔ45	
首	sɔ45	
灸	kɔ23	
九	kɔ45	
久	kɔ45	
朽	nɔ45	
有	jɔ23	
右	jɔ43	
友	jɔ23	
誘	jɔ23	
負	fu43	
婦	pʰ/fɐu/u23/43	
舅	kʰɔ23	
溜	lɔ43	
就	tsɔ43	
繡	sɔ23	
宿	sək55	星宿
宿	sək55	住宿
秀	sɔ23	
袖	tsɔ43	
晝	tsɔ23	
畜	tsʰək55	
宙	tsɔ43	
皺	tsɔ23	
驟	tsau43	
瘦	sɔ23	
祝	tsək55	
臭	tsʰɔ23	
授	sɔ43	
售	sɔ43	
獸	sɔ23	
救	kɔ23	
究	kɔ23	
又	jɔ43	
富	fu23	
複	fək55	
復	fək33	修復
復	fək55	同“覆”
伏	fək33	
覆	fək55	
副	fu23	
舊	kɔ43	
兜	tɔ32	
偷	tʰɔ32	
投	tʰɔ21	
頭	tʰɔ21	
樓	lɔ21	
溝	kʰɔ32	
鉤	ŋɔ32	
夠	kɔ23	
喉	hɔ21	
猴	hɔ21	
歐	ɔ32	
嘔	ɔ45	肚嘔
斗	tɔ45	
抖	tɔ45	
走	tsɔ45	
趣	tsʰui23	
狗	kɔ45	
口	hɔ45	
扣	kʰɔ23	
藕	ŋɔ23	
偶	ŋɔ23	
吼	hɔ23	
後	hɔ43	
厚	hɔ23	厚薄
厚	hɔ43	厚街（東莞鎮名）
后	hɔ43	
某	mɔ23	
畝	mɔ23	
母	mɐu23	
鬥	tɔ23	
透	tʰɔ23	
豆	tɔ43	
竇	tɔ23	
漏	lɔ43	
奏	tsɔ23	
湊	tsʰɔ23	
嗽	sɔ23	
構	kʰɔ23	
購	kʰɔ23	
寇	kʰɔ23	
候	hɔ43	
茂	mɔ43	
貿	mɔ43	
糾	tɔ45	
幼	jɔ23	
淋	lɔŋ21	
臨	lɔŋ21	
林	lɔŋ21	
浸	tsɔŋ23	
侵	tsʰɔŋ32	
心	sɔŋ32	
尋	tsʰɔŋ21	
針	tsɔŋ32	
斟	tsɔŋ32	
深	sɔŋ32	
任	jɔŋ43	責任
甚	sɔŋ43	
審	sɔŋ45	
笠	lɔk55	
粒	lɔk55	
立	lɔk33	
集	tsɔk33	
襲	tsɔk33	
習	tsɔk33	
汁	tsɔk55	
執	tsɔk55	
什	tsak33	同“雜”
什	sɔŋ33	什麼
十	sɔk33	
拾	sɔk33	
溼	sɔk55	
濕	sɔk55	
入	jɔk33	
沉	tsʰɔŋ21	
沈	sɔŋ45	
枕	tsɔŋ45	枕頭
森	sɔŋ32	
參	sɔŋ32	人參
參	tsʰaŋ32	參賽
參	tsʰɔŋ32	參差
參	saŋ32	同“三”
金	kɔŋ32	
襟	kʰɔŋ32	
今	kɔŋ32	
禁	kɔŋ23	禁令
禁	kɔŋ23	弱不禁風
陰	jɔŋ32	
音	jɔŋ32	
琴	kʰɔŋ21	
禽	kʰɔŋ21	
錦	kɔŋ45	
飲	jɔŋ45	飲茶
品	pʰɐŋ45	
闖	tsʰɔŋ45	
滲	sɔŋ23	
急	kɔk55	
給	kʰɔk55	
級	kʰɔk55	
吸	kʰɔk55	
及	kʰɔk33	
擔	taŋ32	動詞
擔	taŋ23	名詞
淡	taŋ43	文讀
淡	tʰaŋ23	白讀
談	tʰaŋ21	
痰	tʰaŋ21	
藍	laŋ21	
籃	laŋ21	
三	saŋ32	
柑	kaŋ32	
甘	kaŋ32	
膽	taŋ45	
毯	tsɪŋ45	
覽	laŋ23	
欖	laŋ45	
敢	kaŋ45	
喊	haŋ23	
暫	tsaŋ43	
