漢字	注釋	周城	金華	洛本卓	營盤	共興	大華
今	今(天)	kɛ¹	kɛ¹	qõ¹	qɛ¹	qe¹	qɯ̃¹
夕	夜		ɕɛ⁷		ɕɛ⁷	ʂɛ⁷	
歲	年；年齡	sua⁷	sua⁷	sua⁷	sua⁷	sua⁷	sua⁷
□	一	a⁶	a⁶	a⁶	a⁶	a⁴	a⁴
一	一	ji⁷	ji⁷	ji⁷	ji⁷	ji⁷	ji⁷
兩	二	kou³	kõ³	kv³	ku³	kõ³	kv³
三	三	sa¹	sã¹	sã¹	sa¹	sã¹	sã¹
四	四	ɕi⁷	ɕi⁷	ɕi⁷	si⁷	ɕi⁷	si⁷
五	五	mu⁴	ŋv⁴	ŋv⁴	ŋu⁴	ŋõ⁴	mv⁴
六	六	fv⁷	fv⁷	fo⁷	fø⁷	fv⁵	fv⁷
七	七	tɕʰi⁷	tɕʰi⁷	tsʰi⁷	tsʰi⁷	tɕʰi⁷	tsʰi⁷
八	八	pia⁷	pia⁷	tɕua⁷	pia⁷	tɕua⁷	piɛ⁷
九	九	tɕɯ³	tɕɯ³	tɕi³	tɕɯ³	tɕi³	tɕɯ̃³
十	十	tsi⁸	tsɛ⁸	tʂɛ⁸	tsɿ⁸	tʂʅ⁸	tʂʅ⁸
二	二(十~)	ne⁷	ne⁷		nɛ⁷	nẽ⁷	
百	百	pɛ⁷	pɛ⁷	pa⁷	pɛ⁷	pɛ⁷	pɔ⁷
千	千	tɕʰi¹	tɕʰĩ¹	tsʰĩ¹	tsʰi¹	tɕʰɛ̃¹	tɕʰi¹
萬	萬	ŋv⁵	ŋv⁵		mɛ⁵		
□	一半	po²	po²		pø²	po²	
□	一條(路)	tsv⁷	tsv⁷	tsɛ⁷	tsɿ⁷	tʂɛ⁷	tʂʅ⁷
張	張(一~弓、網、桌子)	tsou¹	tsõ¹	ʈõ¹	tiø¹	tʂõ¹	tõ¹
□	把	tsi³	tsi³	tsi³	tsɿ³	tsi³	tsi³
樹	棵；樹	tsɯ⁶	tsɯ⁶	ɖɯ⁶	diɯ⁶	dʐɿ⁶	dʑɯ̃⁶
撮	一把；一撮	tsʰua⁷	tsʰua⁷		tsʰua⁷		
□	堆；摞	tse⁴	tsẽ⁴	ɖɛ̃⁴	diᴇ⁴	dʐɛ̃⁴	de⁴
顆	一塊(肉)		kʰo¹		qʰø¹	qʰo¹	kʰo¹
□	一件	kʰou¹	kʰõ¹	kʰũ¹	kʰø¹	kʰṽ¹	kʰv¹
雙	一雙	sv¹	sṽ¹	ɕõ¹	ɕø¹	ʂõ¹	ʂʅ¹
節	竹節；關節，骨節	tse⁷	tse⁷	tsɛ⁷	tsɛ⁷	tse⁷	tsɛ⁷
□	隻	pʰo⁷	pʰo⁷	pʰo⁷	pʰo⁷	pʰv⁷	kʰv⁷
端	匹；豎；直，正；坦誠，正直		tuĩ¹	tyi¹	tyᴇ¹	tyĩ¹	tuĩ¹
□	一捆	ke¹	ke¹	qẽ¹	qᴇ¹	qe¹	qe¹
囊	口袋	nv²	no²	nṽ²	nø²	nõ²	nõ²
□	一滴	to⁷	to⁷	to⁷			
面	一面(~鏡子)	mi⁵	mi⁵		mi⁵		
間	一間(房)		kẽ¹	qo¹	qɛ¹	qẽ¹	
包	包	po¹	(pao¹)	po¹	pø¹		kou¹
□	庹	pʰe⁶	pʰɛ⁶			pʰe⁶	
□	庹	ji²	ɕĩ²jĩ²		zi²		
□	拃	tʰo⁶	tʰo⁶	tʰo⁶	tʰø⁶	tʰua⁶	tʰo⁶
日	白天；一天	ȵi⁷	jĩ⁷	ȵi⁷	ȵi⁷	ȵi⁷	ȵi⁷
夜	夜裏	jo⁶	jo⁶	jo⁶	jø⁶		
輩	輩(晚輩)	pe⁵	pe⁵		pɛ⁵	pe⁵	
步	步		pu⁶	pv⁶	bɯ⁶	gv⁶	kv⁶
比	每；連		pi²				
我	我	ŋo⁶	ŋo⁶	ŋo⁶	ŋø⁶	ŋa⁶	ȵĩ¹
陽	咱們	ȵa¹	jã¹	ȵa¹			
□	你	no⁶	no⁶	no⁶	nø⁶	na⁶	nɯ⁶
□	你們	na¹	na¹	ȵi¹	ȵi¹	ȵi¹	
□	他	po⁶	mo⁶	bo⁶	vø⁶	ba⁶	bɯ⁶
□	他們	pa¹	ma¹	bi¹	vi¹	bi¹	bei¹
□	那	pɯ⁶	mɯ⁶	bo⁶	vɯ⁶		bɯ⁶
大	大，巨大；極，很；年長；重要的	to⁶	to⁵	do⁶	dø⁶	da⁶	do⁶
細	細小；瑣屑的	se⁵	se⁶	sẽ⁶	sɛ⁶	se⁶	si⁶
粗	粗糙；粗大	tsʰu¹	tsʰu¹	tɕʰu¹	tɕʰu¹	tɕʰu¹	tsʰõ¹
□	細	mo⁵	mo⁵	mo⁵	mø⁵	mã⁵	mõ⁵
高	高	ka¹	kã¹	qõ¹	qõ¹	qã¹	qã¹
庳	低；矮	pi⁴	pi⁴	dʑui⁴	dzuɛ⁴	dʑui⁴	pi⁴
長	長，不短；長久	tsou²	tsõ²	ʈõ²	tiø²	dʑo²	do²
□	短	tsʰɯ¹	tsʰɯ¹	tɕʰi¹			tsʰi¹
□	短		tsʰv⁷	tsʰo⁷	tsʰø⁷	tsʰou⁷	
□	遠	tui³	tuĩ³	tyĩ¹	tyᴇ³	tyĩ³	tuɛ³
近	近	tɕi⁴	tɕĩ⁴		dʑi⁴	dʑĩ⁴	dʑĩ⁴
闊	寬	kʰua⁷	kʰua⁷	qʰua⁷	qʰua⁷	qʰua⁷	qʰua⁷
□	狹窄；(心胸)不寬廣		kɛ⁸				
窄	窄	tsɛ³	tsɛ⁷	tʂɛ⁷	tiɛ⁷	tʂɛ⁷	tʂʅ⁷
厚	厚；深	kɯ⁴	kɯ⁴	qɯ⁵	ɢɯ⁴	qɯ⁵	kɯ⁵
薄	薄；輕微，少；味淡；貧窮，不肥沃；席子	po⁸	po⁸	po⁸	bɯ⁸	bo⁸	kv⁸
深	深	si¹	sɛ̃¹	ʂɛ¹	sɿ¹	ʂʅ̃¹	ʂʅ¹
淺	淺	tɕʰi³	tɕʰĩ³			tɕʰĩ³	
滿	充滿；飽滿；達到某一限度	ma⁴	ma⁴	mie⁴	miᴇ⁴	mĩ⁴	mẽ⁴
空	空的；空間；白白	kʰv¹	kʰṽ¹	kʰõ¹		kʰõ¹	kʰõ¹
㩼	多	tɕi¹	tɕi¹	ti¹	ti¹	ti¹	tɕi¹
少	少	ɕou³	ɕu³	ɕu³	ɕu³	ɕui³	su³
圓	圓形的	ui²	ŋui²	uɛ̃²	uɛ̃²	uĩ²	zuɛ²
扁	扁；癟	piɛ³	piɛ̃³	tɕuĩ	piɛ³	piɛ̃³	piɛ⁷
尖	尖	tɕi¹	tɕĩ¹	tsɛ̃¹	tsi¹	tsɯ̃¹	tsɛ¹
平	平坦；平地；平均	pɛ²	pɛ̃²	pã²	pɛ²	bɛ²	pa²
歪	歪	uɛ¹	uɛ¹	o¹	uᴇ¹		ue¹
橫	橫	kuɛ²	kuɛ̃²	kua²	guɛ²		kua²
曲	彎曲；彎折	kʰv⁷	kʰv⁷	kʰyi⁷	kʰø⁷	kʰou⁷	
□	黑色		kv⁵				
黑	黑色；黑暗，昏暗	xɯ⁷	xɯ⁷	xɯ⁷	χɯ⁷	xɯ⁷	xɯ⁷
白	白色；明亮；純潔	pɛ⁸	pɛ⁸	pa⁸	pɛ⁸	bɛ⁸	pɔ⁸
赤	紅色；光著，裸露	tsʰɛ⁷	tsʰɛ⁷	ʈʰa⁷	tʰiɛ⁷	tʰɛ⁷	tʰo⁷
黃	黃	ŋv²	ŋv²	ŋo²/õ²	ʁø²	ʁõ²	ŋõ²
綠	綠		lv⁷				
青	青；蘭色	tɕʰɛ¹	tɕʰɛ̃¹	tɕʰã¹	tɕʰɛ¹	tʂʰɛ̃¹	tɕʰo¹
碧	藍色		piɛ⁷		piɛ⁷		
重	重；貴重	tsv⁴	tsṽ⁴	dʑõ⁴	dʑø⁴	dʐo⁴	dzɿ⁴
輕	輕	tsʰɛ¹	tsʰɛ̃¹	ʈʰã¹	tʰiɛ¹	tʂʰɛ̃¹	tɕʰo¹
□	快		tsua⁸		tsua⁸	tsua⁸	tsuɛ⁸
□	慢	kʰua¹	kʰuã¹	qʰõ¹	qʰua¹		kʰuã¹
早	早	tsu³	tsu³	tsui³	tɕui³	tsu³	tsou³
晚	晩	me⁴	me⁴	me⁴	me⁴	mẽ⁴	me⁴
利	快；鋒利	ji⁶	ji⁶	ji⁶	jø⁶		
□	鈍				tua⁸		
鈍	鈍	tui⁶	tua⁶	die⁶	dyᴇ⁶	dyi⁶	di⁶
清	清澈；靜；盡，完；公正清廉；清楚明白	tɕʰɛ¹	tɕʰɛ̃¹	tɕʰã¹	tɕʰɛ¹	tʂʰɛ̃¹	tɕʰo¹
濁	渾濁	tsv⁸	tsv⁸	tɕo⁸	tɕø⁸	dʐo⁸	tʂʅ⁸
□	瘦		tsʰa⁷	ʈʰa⁷			
乾	乾，乾燥，旱	ka¹	kã¹	qõ¹	qõ¹	qã¹	qã¹
□	濕		xɛ̃¹	xã¹	xiɛ¹	xiẽ¹	
□	稠；粘糊	ku¹	ku¹			kv¹	kõ¹
清	稀(粥)	tɕʰɛ¹	tɕʰɛ̃¹		tɕʰɛ¹	tʂʰɛ̃¹	tɕʰo¹
□	稀(織得~)		xɛ⁶	xã⁶	χɛ⁶	χɛ⁶	
硬	硬	ŋɛ⁵	ŋɛ⁵		ȵɛ⁵	ŋe⁵	ŋa⁵
□	軟	pʰɛ¹	pʰɛ¹	pʰɔ²	pʰɛ¹	pʰɛ¹	pʰo¹
滑	光滑		ua⁸				
□	滑	tsui⁸	tsui⁸	ʈuɛ⁸	dyᴇ⁸	dʐue⁸	pi⁸
真	真；真誠	tsi¹	tsɛ̃¹	tʂɛ̃¹	tsɿ¹	tʂʅ̃¹	tʂʅ¹
新	新；剛出現的；剛收穫的糧食或蔬果；沒用過的	ɕi¹	ɕĩ¹	sẽ¹	si¹	ɕĩ¹	sʰẽ¹
舊	陳舊；過去的，從前的	kɯ⁶	kɯ⁶	ɡɯ̃⁶	ɡɯ⁶	ɡɯ⁶	ɡɯ⁶
好	好	xu³	xu³	xu³	xu³		
壞	毀壞		kui⁵	quɛ⁵	quᴇ⁵	que⁵	kuɛ⁵
老	(菜)老	ku⁴	ku⁴	ɡv⁴	ɡu⁴	ɡv⁴	ɡv⁴
柔	嫩	ȵɯ²	jɯ̃²	ȵi²	ȵɯ²	ȵẽ²	ŋɯ²
老	(人)老	ku³	ku³	ku³	ku³	ku³	kv³
醜	醜，不好看；次，質量不好；羞愧，慚愧；可惡，污穢		tsʰɯ³		tʰiɯ³	tʂʰɿ³	
熱	熱	ȵi⁷	jĩ⁷	ȵi⁷	ȵi⁷	ȵi⁷	ȵi⁷
寒	冷	ka²	ka²	qa²			
□	冷	kɯ¹	kɯ¹	kɯ¹	kɯ¹	kɯ¹	kɯ̃¹
難	困難	na²	ni²	ne²	nɛ²		nõ²
□	容易	ou⁸	ɣo⁸	uo⁸	u⁸	uo⁸	uo⁸
臭	臭	tsʰu⁶	tsʰu⁶	ʈʰv⁶	tʰiu⁶	tʂʰu⁶	tʰv⁶
香	香，好吃，好聞	ɕou¹	ɕõ¹	ɕõ¹	ɕø¹	ɕõ¹	ɕõ¹
酸	酸	sua¹	suã¹		ɕuɛ¹	suã¹	ɕui¹
辛	辣	tɕʰi¹	tɕʰĩ¹	tsʰẽ¹	tsʰi¹	tɕʰi¹	tsʰɛ¹
苦	鹹；苦	kʰu³	kʰu³	qʰu³	qʰu³	qʰo³	kʰṽ³
□	鹹	tsʰou⁶	tsʰõ⁶	tsʰõ⁶	tsø⁶	tsʰõ⁶	tsʰõ⁶
□	淡	piɛ⁵	piɛ⁵		pia⁵		piɛ⁵
澀	澀	ɕi⁷	sɛ⁷	ʂɛ⁷	sɿ⁷	ɕi⁷	ʂʅ⁷
腥	腥	ɕɛ¹	ɕɛ̃¹		ɕɛ¹	ʂɛ̃¹	
婟	富	ko²	ko²	ko²	kø²	ɡo²	ko²
邋	髒	la⁷	la⁷		la⁷		
生	活的；生，不熟；生長；天生的	xɛ¹	xɛ̃¹	xã¹	xiɛ¹	xiẽ¹	xo¹
死	死；失去生命；拼死	ɕi³	ɕi³	ɕi³	si³	ɕi³	sɿ³
惡	兇惡		o⁷	o⁷	ou⁷	u⁷	v⁷
歡	高興		xua¹				
□	陡	pʰiɛ¹	pʰiɛ¹	tɕʰuã¹	pʰiɛ¹	tɕʰuẽ¹	pʰiɛ¹
□	愛	ko²	ko²	ko²	kø²	ɡo²	ko²
壓	壓	ja⁷	ja⁷	a⁷	ja⁷	ja⁷	ja⁷
□	熬；燉	kou⁵	ko⁵	ko⁵		ko⁵	kv⁵
□	拔		ma¹				
拔	拔	pia⁸	pia⁸	(tɕõ⁷)	pia⁸	dʑua⁸	(tɕo⁷)
耙	耙(田)	pɛ²	pɛ²	pa²	pɛ²	bɛ²	pɔ²
㨹	掰	sui⁷	sui⁷			sui⁷	
皮	剝(皮)；皮膚；獸皮	pe²	pe²	tɕui²	pi²	bi²	pi²
飽	飽	pu³	pu³	pv³	pɯ³	pv³	kv³
抱	抱；懷抱	pia⁴	pu⁴	pv⁴	bɯ⁴	bv⁴	kv⁴
負	背(柴)		vu⁴	vɛ⁴			v⁴
□	背(小孩)		ma⁶	bo⁶	bø⁶	ba⁶	bo⁶
□	背(柴)	jɛ⁵	jɛ̃⁵	vɛ⁵	jɛ⁵	jĩ⁵	
眯	閉(眼；嘴)	me¹	me¹	mi¹	mi¹		mi¹
編	編結；編輯	pi¹	pĩ¹	tɕuĩ¹	tsuᴇ¹	tɕuĩ¹	pi¹
變	變	pi⁵	pĩ⁵	pɛ̃	pᴇ⁵		
□	生病		ta²				
病	病	pɛ⁶	pɛ̃⁶			bɛ̃⁶	pã⁶
恙	生病	si⁶	sṽ⁶	sõ⁶	sø⁶	sã⁶	sʰɯ̃⁶
補	縫補；修補	pu³	pu³	pv³	pu³	pv³	kv³
拭	揩；擦	sɯ⁷	sɯ⁷	ɕi⁷	ɕɯ⁷	ʂo⁷	ʂʅ⁷
蹋	踩	ta⁸	ta⁸	ta⁸	ta⁸	da⁸	tua⁸
藏	隱藏	tsou²	tsõ²	tso⁵	tso⁵	dzõ⁵	tso²
㧙	插	pe⁸	pe⁸	pɛ⁸	pᴇ⁵	pei⁸	
坼	拆(房子)	tʰe⁷	tʰe⁷	ʈʰɛ⁷		tʰi⁷	
嘗	嘗	tsou²	tsõ²	ʈõ²	tiø²	dʐõ²	do²
熬	炒(菜)		ŋo²	ŋo²	ʁø²		
炒	炒	tsʰu³		tʰiu³	tɕʰu³	tʰv³	tsʰu³
□	盛；舀	kɯ¹	kɯ¹	kɯ¹	kɯ¹	kɯ¹	kɯ̃¹
食	吃	jɯ⁷	jɯ⁷	jɯ⁷	ji²ji⁸	jou⁷	ʐɿ⁷
□	舂		ta⁸				
衣	穿(衣服)	ji⁵	ji⁵	ji⁵	ji⁵	ji⁵	ji⁵
著	穿(~鞋)；穿(衣服)；戴(~項鏈)	tso⁷	tso⁷	ʈo⁷	tiu⁷	tʂu⁷	tou⁷
□	傳染	li⁴	li⁴	li⁴	li⁴	li⁴	li⁴
哹	吹	pʰɯ¹	pʰɯ¹		pʰɯ¹		
□	打；敲(鑼)	tɛ⁷	tɛ̃⁷	ta⁷	ta⁷	tã⁷	tã⁷
將	帶領；領路	tso¹	tsõ¹	tsõ¹			
戴	戴(~帽子)	tɯ⁵	tɯ̃⁵	tɯ̃⁵	tɯ⁵	ti⁵	tɯ⁷
崩	倒；垮；崩塌；死	pɯ̃¹	pɯ̃¹	pɯ̃¹	pɯ¹	pẽ¹	pɯ̃¹
□	到	pʰia⁷	pʰia⁷	tɕʰua⁷	pʰia⁷	tɕʰua⁷	tɕʰua⁷
得	得到；能，會	tɯ⁷	tɯ⁷	ʈɯ⁷	tiɯ⁷	ti⁷	ti⁷tɯ̃⁷
候	暗中等待		ɣɯ⁴				
待	等候	tɯ⁴	tɯ⁴	ɖɯ⁴	diɯ⁴	di⁴	dʑɯ̃⁴
鞠	點頭；彎腰	kɯ⁵	kɯ⁵		qɯ⁵	qɯ⁵	qɯ⁷
□	點(火)	ke⁶	kẽ⁶		ɢɛ⁴	ɢɛ⁶	qɛ⁶
燒	燒	su¹	su¹/xu¹	fv¹	xu¹	ɕu¹	
□	着火		jĩ⁴	ȵi⁴	ȵɯ⁴		ȵi⁴
墜	掉	tua⁸	tua⁸	tua⁸	tua⁸		tua⁸
□	跌倒	to⁷	to⁷	to⁷		tu⁷	to⁷
釘	釘(~釘子)	tɕɛ⁵	tɕɛ̃⁵		tɕɛ⁵	tɕɛ̃⁵	tɕɛ⁵
省	懂		sẽ³		suɛ³		suɛ³
識	懂		sɯ⁷	si⁷		ɕi⁷	
塞	塞	tsʰɯ¹	tsʰɯ¹	tɕʰi¹	tɕʰɯ¹	tɕʰi¹	tsʰi¹
折	斷(繩子~)；摘；斷(花)	tse⁷	tse⁷	ʈɛ⁷	tiɛ⁷	ti⁷	tɕi⁷
剁	剁	to⁵	tõ⁵	to⁵	tø⁵	tua⁵	to⁵
飛	飛	fv¹	fv¹	(fe¹)	fɛ¹	fv¹	fv¹
分	分(東西)	fv¹	fṽ¹	fɛ¹	fɛ¹		fɛ¹
□	分家		kʰui⁷	kʰyi¹	kʰui¹	kʰui¹	
瘋	瘋	vu²	vu²	v²			v²
□	縫	tse²	tsẽ²	ʈɛ̃²	tiᴇ²	tiɛ̃²	dɛ²
伏	孵	vu⁷	vu⁷	uɛ⁷	ɛ⁷	ɯ⁷	uɛ⁷
□	蓋(瓦；被)	tʰa⁷	tʰa⁷	tʰa⁷	tʰua⁷	tʰa⁷	tʰua⁷
□	敢		jĩ⁴	ȵi⁴	ȵi⁴		
析	分割；鋸	sɛ⁷	sɛ⁷	ɕa⁷	ɕɛ⁷	ʂɛ⁷	ɕʰo⁷
隔	隔開	kɛ⁷	kɛ⁷	qa⁷	qɛ⁷	qɛ⁷	
□	給	zɯ⁶	si⁶	zi⁶	zɿ⁶	zi⁶	zi⁶
作	耕，犁		tso⁷				
鉤	鉤子；鉤取	kɯ¹	kɯ¹	qɯ¹	qɯ¹	qɯ¹	qɯ̃¹
餘	足夠	lu¹	lu¹	lv¹	lu¹	ly¹	lv¹
□	關進(圈裏)		nv⁵	nõ⁵	lø⁵	lõ⁵	
跪	跪	kv⁶	kv⁶	dʑĩ⁶	dzɿ⁶	dʐɿ⁶	
□	滾		lu⁴	li⁴	li⁴	li⁴	li⁴
過	經過；度過		ko⁵				
驚	怕	kɛ¹	kɛ̃¹	kẽ¹	kɛ¹	kẽ¹	kõ¹
飲	喝	ɣɯ³	ɯ̃³	ɯ̃³	ɯ̃³	ɯ̃³	ɯ̃³
忌	恨，怨恨；嫉妒		kɯ⁵/kɯ⁸				
□	烤火		kõ⁶	ɡõ⁶	ɡø⁶	ɡu⁶	ɡe⁶
□	還(錢)	sɯ¹	sɯ¹	ɕi¹	ɕɯ¹	ɕi¹	si¹
更	換	ke⁶	kɛ̃⁶	qa⁶	qa⁶	qɛ̃⁶	kɛ⁶
貿	換	mɯ⁴	mɯ⁴	mɯ̃⁴	mɯ⁴	mũ⁴	mɯ̃⁴
□	招手；搖擺	si¹	sɛ̃¹	ʂe¹	sɿ¹		ʂʅ¹
□	回(家)		ja⁷	ja⁷	ja⁷	ja⁷	ja⁵ja⁸
巧	會；巧；善於	kʰu³	kʰu³	qʰu³	qʰu³		
養	生育；供養；飼養	sou³	sõ³	ɕõ³	ɕø³	ʂõ³	ɕõ³
□	和(泥)		ɣo⁶		ʁø⁶		
□	擠(蝨子)	tsa⁷	tsa⁷	tsa⁷	tsa⁷	tsa⁷	tsɛ⁵
職	記得	(tɕi⁷)	tsɯ⁷	ʈɯ⁷	tiɯ⁷		tɕɯ̃⁷
挾	夾(菜)	kɛ⁸	kɛ⁸	qa⁸	qɛ⁸	qɛ⁸	qo⁸
拾	拾	tsi⁸	tsɛ⁸	tʂɛ⁸	tsɿ⁸	tʂʅ⁸	tʂʅ⁸
夾	剪	kɛ⁸	kɛ⁸	qa⁸	qɛ⁸	qɛ⁸	qo⁸
□	澆水		lɛ⁷			le⁷	lɛ⁶
沃	澆(水)		o⁷	o⁷	ou⁷		
焦	焦，糊；焦急		tsã¹	tsã¹	tsɛ¹	tse¹	tsɿ̃¹
□	嚼		tsa⁶	za⁶	dzɛ⁶		
嚼	嚼	tsou⁸	tso⁸			dzu⁸	
教	教	ka¹	kã¹	qã¹	qa¹	qã¹	qã¹
吠	吠	pia⁸	pia⁸	tɕua⁸	pia⁸	dʑua⁸	
撩	揭；掀	la¹	la¹	lo¹	lø¹	lɔu¹	la¹
借	借	tɕɛ⁷	tɕɛ⁷	tɕa⁷		tʂɛ⁷	tɕo⁷
沉	浸泡	tsi²	tsɯ²	tse²	tsɿ²	tsɿ²	tsɿ²
入	進	ȵi⁷	jĩ⁷	ȵi⁷	ȵi⁷	ȵi⁷	ȵi⁷
驚	受驚		kɛ̃³				
救	救	kɯ⁵	kɯ⁵	kɯ⁵	kɯ⁵	kɯ⁵	kɯ⁵
踞	居住	kv⁵	kv⁵	kv⁵	ku⁵	ko⁵	kv⁷
齊	整齊；全，齊全	tse²	tse²	tse²	tɕɯ²	tɕĩ²	tsɿ²
□	哽，卡		kʰɛ⁷	kʰa⁷	kʰɛ⁷	kʰɛ⁷	kʰo⁷
開	開(門)；打開，張開；打通，開闢	kʰɯ¹	kʰɯ¹	qʰɯ̃¹	qʰɯ¹	qʰɯ¹	qʰɯ¹
□	沸；融化	xua⁷	xua⁷	xua⁷	xua⁷	xua⁷	xua⁷
□	砍		tsɛ²	tsɛ²	tsɛ²		
□	砍	tso⁷	tso⁷	ʈo⁷	(tso⁸)	tʂu⁷	tiv⁷
□	看		ã³	e³	ɛ³	ĩ³	i³
見	看見	ke⁵	kẽ⁵	qe⁵	qɛ⁵		
□	磕頭	to⁷	to⁷	to⁷	tu⁷	tv⁷	ti⁷
渴	口渴	kʰa⁷	kʰa⁷	qʰa⁷	qʰa⁷	qʰa⁷	kʰa⁷
刳	刻		kʰu¹	kʰɯ̃¹	kʰu¹	kʰɯ¹	kʰɯ̃¹
閒	閒；休息	ɕa¹	ɕã¹	ɕõ¹	ɕa¹	ɕã¹	ɕã¹
哭	哭	kʰo⁷	kʰo⁷	qʰo⁷	qʰu⁷	qʰu⁷	
□	拉；拖	tɕi⁴	tɕi⁴		dʑi⁴	dʑi⁴	
遺	拉(屎)	ji³	ji³	ji³	ji¹	ji³	
□	捆；勒		kɯ⁷	kɯ⁷	kɯ⁷	kɯ⁷	ke⁷
苦	累；辛苦		kʰu³				
接	連接；接待；迎接；[洛本卓]承接；托住	tɕa⁷	tɕa⁷	tɕa⁷	tɕa⁷	tʂa⁷	tɕa⁷
□	晾(衣)	sou⁷	sõ¹	sõ¹	suᴇ¹	sõ¹	sõ¹
迸	裂開	pɛ¹	pɛ̃¹	pɛ¹	pɛ¹		
□	裂開		kɛ⁷		qɛ⁷	qɛ⁷	
□	淋雨	mia⁷	mia⁷	ȵua¹	mia⁷		mia⁷
流	流(水)	kɯ²	kɯ²	kɯ²	kɯ²	ɡɯ²	kɯ²
聾	聾	kv¹	kṽ¹	kṽ¹	kø¹	kõ¹	kõ¹
摟	摟		ɣu²		u²	uo²	
漏	漏	ɣɯ⁸	ɣɯ⁸	ɣɯ⁸	ʁɯ⁸	ʁɯ⁸	ɣɯ⁸
瀝	過濾	li⁷	li⁷		li⁷	li⁷	li⁷
□	罵		lɯ⁷	lɯ⁷	lɯ⁷	ly⁷	
喝	罵；驅趕		xɛ⁷	xɛ⁷	χɛ⁷		
買	買	mɛ⁵	mɛ⁵	ma⁵	mɛ⁵	mɛ⁵	ma⁵
□	賣	kɯ²	kɯ²	qɯ²	qɯ²	qɯ²	kɯ²
□	沒有	mu⁴	mo⁴	mv⁴	mɯ⁴	mu⁴	mv⁴
□	蓋；罩		kʰa⁷	qʰa⁷	qʰa⁷	qʰa⁷	
鳴	啼叫；鳴叫；說；啼哭；響	mɛ²	mɛ²	ma²	mɛ²	mɛ̃²	ma²
明	明亮；明瞭，懂得		mɛ²				
磨	磨(刀)	mo²	mo²	mo²	mø²	ma²	mo²
□	擰，扭轉；扭傷		ji⁸	ji⁸	ji⁸	ji⁸	ji⁸
凝	凝		ŋɯ²	ŋɯ²/ɯ̃²	ŋɯ²	ŋɯ²	ŋɯ²
□	嘔吐		kʰui³	qʰuɛ³	qʰue³		
□	爬	mɛ⁷	mɛ⁷	mã⁷	mɛ⁷	mɛ⁷	mɛ⁷
□	拍	pou⁷	po⁷		pɯ⁷	po⁷	
賠	賠償		pɛ²	pã²	pɛ²	bɛ²	pɔ²
□	劈；剖；破		kʰo¹	kʰo¹			
破	劈；破爛	pʰo⁶	pʰo⁶	pʰo⁶	pʰø⁶		pʰo⁶
浮	漂浮	pɯ²	pɯ²	pɯ²	bɯ²		pɯ²
□	破爛	tʰɛ⁷	tʰɛ⁷		tʰɛ⁷		
□	剖	pʰɛ⁷	pʰɛ⁷		pʰɛ⁷		
□	鋪牀	kʰou¹	kʰõ¹	kʰũ¹	kʰø¹	kʰṽ¹	kʰv¹
騎	騎	kɯ²	kɯ²	kɯ²	kɯ²	ɡɯ²	kɯ²
牽	牽(牛)	kʰe¹	kʰẽ¹	qʰɛ¹	qʰɛ¹	qʰẽ¹	qʰe¹
負	欠		vu⁴		vᴇ⁴	vɛ⁴	
□	切	tsʰua³	tsʰuã³	tsʰuĩ³	tɕʰuɛ³	tsʰuã³	tsʰue³
□	取	ta¹	tã¹	ti¹	tiɛ¹	tĩ¹	ti¹
□	去		ŋɛ²		ŋɛ³		
□	缺(~了一塊)	kʰu¹	kʰu¹	kʰv¹	kʰu¹	kʰu¹	kʰv¹
溫	加熱；使變熱；暖和；溫暖	ui¹	uĩ¹	uĩ¹	uᴇ¹	uĩ¹	ue¹
揉	搓洗；揉	ȵɯ¹	jɯ̃¹	ȵi¹	ȵɯ¹		ŋɯ¹
撒	撒	sa⁷	sa⁷	sa⁷	sa⁷	sa⁷	sa⁷
脫	解開		tʰua⁷	tʰua⁷	tʰua⁷	tʰua⁷	tʰua⁷
蠚	吹；掃；蜇		tsʰo⁷	ʈʰo⁷	tʰiu⁷	tʂʰu⁷	tʰo⁷
殺	殺	ɕa⁷	ɕa⁷xa⁷	ɕa⁷	xa⁷	xa⁷	ɕa⁷
□	曬(衣服)	xo⁶	xo⁶	xo⁶	xø⁶	xa⁶	xo⁶
上	上(山)	tso⁴	tsõ⁴	ɖõ⁴	diø⁴	do⁴	dõ⁴
射	射	tsou⁸	tsõ⁸	ʈõ⁸	tiu⁸	dʐu⁸	do⁸
著	中		tso⁸				
長	伸		tsõ²				
□	是		tsɯ⁴				
是	是	tso⁴	tsɯ⁴	ɖõ⁴	diø⁴	dʐo⁴	dʑõ⁴
收	收回；收集；收藏，保存	sɯ¹	sɯ¹	ɕi¹	ɕɯ¹	ʂʅ¹	
守	守護		sɯ³	ɕi³	ɕɯ³	ʂʅ³	
梳	梳(頭)	sv⁶	sv⁶	ɕu⁶	ɕø⁶	ʂou⁶	si⁶
失	輸	tsʰi¹	tsʰi¹	tʂʰʅ̃¹	tsʰi¹	tʂʰʅ¹	tʂʰʅ¹
熟	(果實)成熟；煮熟；熟悉	tsv⁸	tsv⁸	tɕo⁸	tɕø⁸	dʐo⁸	tʂʅ⁸
蕩	涮；涮洗；漱		tõ⁴				dõ⁴
寢	睡	tsʰɛ³	tsʰɛ̃³		tsʰɿ³		
□	吸，吮		tɕi⁷	tɕi⁷	tsi⁷	tsi⁷	tsi⁷
