// HSD Syllabary Data Partition
tɕ	ia	去聲	假2{~期} 架 駕 嫁 價
tɕʰ	ia	上聲	卡2{~子}
tɕʰ	ia	去聲	恰 洽
ɕ	ia	陰平	蝦
ɕ	ia	陽平	霞 匣{~子} 轄{管~}
ɕ	ia	去聲	下 夏 廈2{~門} 嚇
Ø	ia	陰平	丫{~環} 芽
Ø	ia	陽平	牙 椏{~杈} 衙
Ø	ia	上聲	啞 雅
Ø	ia	去聲	亞 壓 軋{被車~}
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	p	pʰ	m	t	n	l	tɕ	tɕʰ	ɕ	Ø
@FIN	iau
@TON	陰平	213
@TON	陽平	44
@TON	上聲	313
@TON	去聲	53

// Initial	Final	Tone	CharList (Space separated)
p	iau	陰平	鑣 標 彪
p	iau	上聲	表 錶
p	iau	去聲	鰾{~膠}
pʰ	iau	陰平	飄 漂1{~浮}
pʰ	iau	陽平	瓢 嫖
pʰ	iau	去聲	票 漂2{~亮}
m	iau	陽平	苗 描
m	iau	上聲	藐 渺 秒
m	iau	去聲	廟 妙
t	iau	陰平	刁 貂 雕
t	iau	去聲	釣 弔 掉 調1{音~}
n	iau	陽平	□{巧}
n	iau	上聲	鳥
n	iau	去聲	尿
l	iau	陽平	燎1{~泡} 療 聊 遼 撩
l	iau	上聲	瞭2{~毛了~結}
l	iau	去聲	瞭{料} 廖{姓} 炮{~蹶子}
tɕ	iau	陰平	交 郊 膠 教1{~書} 狡 焦 蕉 椒{青~} 嬌 澆 驕
tɕ	iau	陽平	嚼 椒2{青~}
tɕ	iau	上聲	絞 餃 攪
tɕ	iau	去聲	教2{校2} 較 窖 覺1{睡~;蘸} 瞧{倒~;叫}
tɕʰ	iau	陰平	敲 鍬 瞧 俏 挑
tɕʰ	iau	陽平	喬 僑 橋 蕎 條 調2{~和}
tɕʰ	iau	上聲	巧
tɕʰ	iau	去聲	俏 跳 耀 竅
ɕ	iau	陰平	消 宵 霄 硝 銷 囂 蕭 簫
ɕ	iau	陽平	學1{~不會}
ɕ	iau	上聲	小 曉
ɕ	iau	去聲	酵 孝 效 校1{學~;笑} 鞘{刀~}
Ø	iau	陰平	淆 妖 邀 腰 要1{~求} 幺{~二三} 吆{~喝}
Ø	iau	陽平	搖 窯 姚
Ø	iau	上聲	咬 舀 杳
Ø	iau	去聲	勒{襪~} 要2{重~} 耀 鵲 躍1{大~進}
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	p	pʰ	m	t	n	l	tɕ	tɕʰ	ɕ	Ø
@FIN	iaʔ
@TON	入聲	3

// Initial	Final	Tone	CharList (Space separated)
p	iaʔ	入聲	別 蹩 蝙 夜{~蝠} 憋 百 柏 伯 白2{~粉子} 擘
pʰ	iaʔ	入聲	撇 迫 拍 魄 騙
m	iaʔ	入聲	滅 默 麥 脈
t	iaʔ	入聲	跌 疊 碟 牒 蝶 諜 滴
n	iaʔ	入聲	聶 鑷 躡 孽 捏 虐
l	iaʔ	入聲	獵 列 烈 裂 掠 略
tɕ	iaʔ	入聲	皆 夾 袂 甲 接 捷 挾1{~菜} 傑 揭 節 切 截 結 潔 腳 覺1{知~} 角 劫
tɕʰ	iaʔ	入聲	帖 貼 掐 怯 鐵 切 雀 鵲 客2{~人}
ɕ	iaʔ	入聲	諧 擓 蟹 脅 協 瞎 歇 蠍 楔 挾2{要~學}
Ø	iaʔ	入聲	鴨 押 葉 頁 業 噎 約 藥 鑰 獄 岳 樂1{音~}
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	p	pʰ	m	t	n	l	tɕ	tɕʰ	ɕ	Ø
@FIN	iãn
@TON	陰平	213
@TON	陽平	44
@TON	上聲	313
@TON	去聲	53

// Initial	Final	Tone	CharList (Space separated)
p	iãn	陰平	鞭 編 邊
p	iãn	上聲	匾 貶
p	iãn	去聲	辨 辯 變 汴 便1{方~辦遍}
pʰ	iãn	陰平	偏 便2{~宜}
pʰ	iãn	上聲	篇
pʰ	iãn	去聲	片
m	iãn	陽平	綿 棉
m	iãn	上聲	免 勉 娩
m	iãn	去聲	面 麵
t	iãn	陰平	掂 巔
t	iãn	上聲	點 典
t	iãn	去聲	店 電 殿 奠 佃 墊
n	iãn	陽平	撚 蔫 年 黏
n	iãn	上聲	碾
n	iãn	去聲	念
l	iãn	陰平	憐
l	iãn	陽平	鐮 簾 連 聯 蓮
l	iãn	上聲	臉 斂
l	iãn	去聲	殮 練 鍊
tɕ	iãn	陰平	監 尖 兼 艱 間1{~斷} 奸 煎 堅 肩 健{~牛}
tɕ	iãn	上聲	減 鹼 檢 儉 簡 揀 剪 繭 趼
tɕ	iãn	去聲	鑒 漸 劍 銅 見 健 建 鍵 賤 濺 箭 件 踐 間2{~諜}
tɕʰ	iãn	陰平	鴿 籤 簽 拊 添 謙 鉛 牽 千 天 遷
tɕʰ	iãn	陽平	潛 錢 鉗 甜 前 田 填
tɕʰ	iãn	上聲	舔 淺 遣
tɕʰ	iãn	去聲	嵌 欠 歉 愜
ɕ	iãn	陰平	仙 先
ɕ	iãn	陽平	鹹 銜 嫌 閑 鮮1{心~;心愛} 賢
ɕ	iãn	上聲	險 鮮2{新~;癬} 顯
ɕ	iãn	去聲	陷 餡 限 線 羨 憲 獻 現 縣
Ø	iãn	陰平	淹 醃 煙
Ø	iãn	陽平	嚴 巖 鹽 閻 簷 顏 延 言 研 緣 沿1{~着}
Ø	iãn	上聲	掩 眼 演
Ø	iãn	去聲	驗 厭 炎 豔 焰 釅 雁 諺 燕 嚥 宴 沿2{~子} 硯
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	t	n	l	tɕ	tɕʰ	ɕ	Ø
@FIN	iəu
@TON	陰平	213
@TON	陽平	44
@TON	上聲	313
@TON	去聲	53

// Initial	Final	Tone	CharList (Space separated)
t	iəu	陰平	丟
n	iəu	陽平	牛
n	iəu	上聲	紐 扭
l	iəu	陽平	流 劉 留 榴 硫1{~酸}
l	iəu	上聲	柳
l	iəu	去聲	溜 餾 六
tɕ	iəu	陰平	摰 髻 糾 鳩
tɕ	iəu	上聲	酒 九 久 韭 灸 臼{蒜~子}
tɕ	iəu	去聲	就 舅 咎 救 究 舊
tɕʰ	iəu	陰平	秋 鞦 球
tɕʰ	iəu	陽平	囚 求
ɕ	iəu	陰平	修 羞 休
ɕ	iəu	上聲	朽
ɕ	iəu	去聲	秀 繡 宿1{星~} 鏽 袖 嗅
Ø	iəu	陰平	憂 優 猶
Ø	iəu	陽平	尤 郵 由 油 游
Ø	iəu	去聲	誘 又 右 祐 柚 幼
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	p	pʰ	m	t	n	l	tɕ	tɕʰ	ɕ	Ø
@FIN	iəʔ
@TON	入聲	3

// Initial	Final	Tone	CharList (Space separated)
p	iəʔ	入聲	鼻 筆 畢 必 北 逼 壁
pʰ	iəʔ	入聲	匹 僻 闢 劈
m	iəʔ	入聲	祕 泌 密 蜜 墨
t	iəʔ	入聲	得 德 的 笛 敵 狄
n	iəʔ	入聲	逆
l	iəʔ	入聲	立 粒 力 歷 曆
tɕ	iəʔ	入聲	稽 急 級 及 疾 吉 即 極 積 跡 脊 籍 續 擊 激 緝1{通~} 集 輯
tɕʰ	iəʔ	入聲	緝2{~鞋口} 曝{~乾} 七 漆 乞 踢 剔 戚
ɕ	iəʔ	入聲	習 襲 吸 悉 膝 息 熄 媳 惜 席 夕 錫 析 隙
Ø	iəʔ	入聲	揖 乙 一 逸 抑 益 譯 疫 役 亦
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	p	pʰ	m	t	n	l	tɕ	tɕʰ	ɕ	Ø
@FIN	iə̃ŋ
@TON	陰平	213
@TON	陽平	44
@TON	上聲	313
@TON	去聲	53

// Initial	Final	Tone	CharList (Space separated)
p	iə̃ŋ	陰平	冰 兵 彬 賓
