"單字"	"聲紐"	"呼"	"等"	"韻部"	"聲調"	"組"	"攝"	"聲母"	"韻母"	"聲調"	"注释"
"舛"	"昌"	"合"	"三"	"仙A"	"上"	"章"	"山"	"c"	"un"	2	"下江異讀"
"舛"	"昌"	"合"	"三"	"仙A"	"上"	"章"	"山"	"c"	"in"	2	
"喘"	"昌"	"合"	"三"	"仙A"	"上"	"章"	"山"	"c"	"un"	2	"下江異讀"
"喘"	"昌"	"合"	"三"	"仙A"	"上"	"章"	"山"	"c"	"in"	2	
"善"	"常"	"開"	"三"	"仙A"	"上"	"章"	"山"	"s"	"un"	6	"下江異讀"
"善"	"常"	"開"	"三"	"仙A"	"上"	"章"	"山"	"s"	"in"	6	
"軟"	"日"	"合"	"三"	"仙A"	"上"	"日"	"山"	"ng"	"in"	5	
"軟"	"日"	"合"	"三"	"仙A"	"上"	"日"	"山"	"ngw"	"in"	5	"下江異讀"
"軟"	"日"	"合"	"三"	"仙A"	"上"	"日"	"山"	"w"	"in"	5	
"遣"	"溪"	"開"	"三"	"仙A"	"上"	"見"	"山"	"h"	"in"	2	
"衍"	"以"	"開"	"三"	"仙A"	"上"	"以"	"山"	"j"	"in"	4	
"演"	"以"	"開"	"三"	"仙A"	"上"	"以"	"山"	"j"	"in"	5	
"緬"	"明"	"開"	"三"	"仙A"	"上"	"幫"	"山"	"m"	"in"	5	
"戀"	"來"	"合"	"三"	"仙A"	"去"	"來"	"山"	"l"	"un"	2	"下江異讀"
"戀"	"來"	"合"	"三"	"仙A"	"去"	"來"	"山"	"l"	"in"	2	
"箭"	"精"	"開"	"三"	"仙A"	"去"	"精"	"山"	"d"	"in"	3	
"賤"	"從"	"開"	"三"	"仙A"	"去"	"精"	"山"	"t"	"in"	6	"上江din6"
"渲"	"心"	"合"	"三"	"仙A"	"去"	"精"	"山"	"sl"	"un"	1	"下江異讀"
"渲"	"心"	"合"	"三"	"仙A"	"去"	"精"	"山"	"sl"	"in"	1	
"線"	"心"	"開"	"三"	"仙A"	"去"	"精"	"山"	"sl"	"in"	3	
"顫"	"章"	"開"	"三"	"仙A"	"去"	"章"	"山"	"s"	"un"	2	"下江異讀"
"顫"	"章"	"開"	"三"	"仙A"	"去"	"章"	"山"	"s"	"in"	2	
"戰"	"章"	"開"	"三"	"仙A"	"去"	"章"	"山"	"z"	"in"	3	
"擅"	"常"	"開"	"三"	"仙A"	"去"	"章"	"山"	"s"	"un"	2	"下江異讀"
"擅"	"常"	"開"	"三"	"仙A"	"去"	"章"	"山"	"s"	"in"	2	
"繕"	"常"	"開"	"三"	"仙A"	"去"	"章"	"山"	"s"	"un"	6	"下江異讀"
"繕"	"常"	"開"	"三"	"仙A"	"去"	"章"	"山"	"s"	"in"	6	
"絹"	"見"	"合"	"三"	"仙A"	"去"	"見"	"山"	"gw"	"in"	1	
"絹"	"見"	"合"	"三"	"仙A"	"去"	"見"	"山"	"g"	"in"	1	
"譴"	"溪"	"開"	"三"	"仙A"	"去"	"見"	"山"	"h"	"in"	2	
"面"	"明"	"開"	"三"	"仙A"	"去"	"幫"	"山"	"m"	"in"	1	"形容詞"
"面"	"明"	"開"	"三"	"仙A"	"去"	"幫"	"山"	"m"	"in"	6	
"劣"	"來"	"合"	"三"	"仙A"	"入"	"來"	"山"	"l"	"ut"	3	"下江異讀"
"劣"	"來"	"合"	"三"	"仙A"	"入"	"來"	"山"	"l"	"it"	3	
"冽"	"來"	"開"	"三"	"仙A"	"入"	"來"	"山"	"l"	"it"	6	
"烈"	"來"	"開"	"三"	"仙A"	"入"	"來"	"山"	"l"	"it"	6	
"裂"	"來"	"開"	"三"	"仙A"	"入"	"來"	"山"	"l"	"et"	6	"下江異讀"
"裂"	"來"	"開"	"三"	"仙A"	"入"	"來"	"山"	"l"	"it"	6	
"絕"	"從"	"合"	"三"	"仙A"	"入"	"精"	"山"	"t"	"ut"	6	"下江異讀"
"絕"	"從"	"合"	"三"	"仙A"	"入"	"精"	"山"	"t"	"it"	6	
"雪"	"心"	"合"	"三"	"仙A"	"入"	"精"	"山"	"sl"	"ut"	3	"下江異讀"
"雪"	"心"	"合"	"三"	"仙A"	"入"	"精"	"山"	"sl"	"it"	3	
"薛"	"心"	"開"	"三"	"仙A"	"入"	"精"	"山"	"sl"	"ut"	3	"下江異讀"
"薛"	"心"	"開"	"三"	"仙A"	"入"	"精"	"山"	"sl"	"it"	3	
"浙"	"章"	"開"	"三"	"仙A"	"入"	"章"	"山"	"z"	"it"	3	
"拙"	"章"	"合"	"三"	"仙A"	"入"	"章"	"山"	"z"	"it"	3	
"設"	"書"	"開"	"三"	"仙A"	"入"	"章"	"山"	"t"	"it"	3	
"熱"	"日"	"開"	"三"	"仙A"	"入"	"日"	"山"	"nj"	"it"	6	
"悅"	"以"	"合"	"三"	"仙A"	"入"	"以"	"山"	"w"	"it"	6	
"閱"	"以"	"合"	"三"	"仙A"	"入"	"以"	"山"	"w"	"it"	6	
"滅"	"明"	"開"	"三"	"仙A"	"入"	"幫"	"山"	"m"	"it"	6	
"鏈"	"徹"	"開"	"三"	"仙B"	"平"	"知"	"山"	"l"	"un"	4	"下江異讀"
"鏈"	"徹"	"開"	"三"	"仙B"	"平"	"知"	"山"	"l"	"in"	4	
"傳"	"澄"	"合"	"三"	"仙B"	"平"	"知"	"山"	"c"	"un"	6	"下江異讀：~記"
"傳"	"澄"	"合"	"三"	"仙B"	"平"	"知"	"山"	"c"	"in"	6	"~記"
"傳"	"澄"	"合"	"三"	"仙B"	"平"	"知"	"山"	"c"	"un"	4	"下江異讀：流~"
"傳"	"澄"	"合"	"三"	"仙B"	"平"	"知"	"山"	"c"	"in"	4	"流~"
"纏"	"澄"	"開"	"三"	"仙B"	"平"	"知"	"山"	"c"	"un"	4	"下江異讀"
"纏"	"澄"	"開"	"三"	"仙B"	"平"	"知"	"山"	"c"	"in"	4	
"栓"	"生"	"合"	"三"	"仙B"	"平"	"莊"	"山"	"sl"	"un"	6	"下江異讀"
"栓"	"生"	"合"	"三"	"仙B"	"平"	"莊"	"山"	"sl"	"in"	6	
"騫"	"溪"	"開"	"三"	"仙B"	"平"	"見"	"山"	"h"	"in"	1	
"嫣"	"曉"	"開"	"三"	"仙B"	"平"	"影"	"山"	"j"	"in"	1	
"圓"	"云"	"合"	"三"	"仙B"	"平"	"影"	"山"	"w"	"in"	4	
"捲"	"群"	"合"	"三"	"仙B"	"平"	"見"	"山"	"gw"	"en"	2	"下江異讀"
"捲"	"群"	"合"	"三"	"仙B"	"平"	"見"	"山"	"gw"	"in"	2	
"捲"	"群"	"合"	"三"	"仙B"	"平"	"見"	"山"	"gw"	"en"	2	"下江異讀"
"捲"	"群"	"合"	"三"	"仙B"	"平"	"見"	"山"	"gw"	"in"	2	
"捲"	"群"	"合"	"三"	"仙B"	"平"	"見"	"山"	"g"	"in"	2	
"虔"	"群"	"開"	"三"	"仙B"	"平"	"見"	"山"	"k"	"in"	4	
"蜷"	"群"	"合"	"三"	"仙B"	"平"	"見"	"山"	"gw"	"in"	4	
"蜷"	"群"	"合"	"三"	"仙B"	"平"	"見"	"山"	"g"	"in"	4	
"鍵"	"群"	"開"	"三"	"仙B"	"平"	"見"	"山"	"k"	"in"	6	"上江gin6"
"權"	"群"	"合"	"三"	"仙B"	"平"	"見"	"山"	"k"	"in"	4	
"卷"	"群"	"合"	"三"	"仙B"	"平"	"見"	"山"	"gw"	"in"	2	
"卷"	"群"	"合"	"三"	"仙B"	"平"	"見"	"山"	"g"	"in"	2	
"拳"	"群"	"合"	"三"	"仙B"	"平"	"見"	"山"	"k"	"in"	4	
"展"	"知"	"開"	"三"	"仙B"	"上"	"知"	"山"	"s"	"un"	2	"下江異讀"
"展"	"知"	"開"	"三"	"仙B"	"上"	"知"	"山"	"s"	"in"	2	
"輾"	"知"	"開"	"三"	"仙B"	"上"	"知"	"山"	"s"	"un"	2	"下江異讀"
"輾"	"知"	"開"	"三"	"仙B"	"上"	"知"	"山"	"s"	"in"	2	
"轉"	"知"	"合"	"三"	"仙B"	"上"	"知"	"山"	"z"	"un"	2	"下江異讀：旋~"
"轉"	"知"	"合"	"三"	"仙B"	"上"	"知"	"山"	"z"	"in"	2	"旋~"
"轉"	"知"	"合"	"三"	"仙B"	"上"	"知"	"山"	"z"	"un"	3	"下江異讀：調~"
"轉"	"知"	"合"	"三"	"仙B"	"上"	"知"	"山"	"z"	"in"	3	"調~"
"轉"	"知"	"合"	"三"	"仙B"	"上"	"知"	"山"	"z"	"in"	1	
"辨"	"並"	"開"	"三"	"仙B"	"上"	"幫"	"山"	"b"	"in"	6	"上江bbin6"
"辯"	"並"	"開"	"三"	"仙B"	"上"	"幫"	"山"	"b"	"en"	6	
"辯"	"並"	"開"	"三"	"仙B"	"上"	"幫"	"山"	"b"	"in"	6	"上江bbin6"
"冕"	"明"	"開"	"三"	"仙B"	"上"	"幫"	"山"	"m"	"in"	5	
"免"	"明"	"開"	"三"	"仙B"	"上"	"幫"	"山"	"m"	"in"	5	
"勉"	"明"	"開"	"三"	"仙B"	"上"	"幫"	"山"	"m"	"in"	5	
"件"	"群"	"開"	"三"	"仙B"	"上"	"見"	"山"	"k"	"in"	5	"上江gin5"
"碾"	"娘"	"開"	"三"	"仙B"	"去"	"知"	"山"	"ng"	"en"	3	"用輪子軋"
"碾"	"娘"	"開"	"三"	"仙B"	"去"	"知"	"山"	"ng"	"en"	2	"輪子"
"眷"	"見"	"合"	"三"	"仙B"	"去"	"見"	"山"	"gw"	"in"	3	
"眷"	"見"	"合"	"三"	"仙B"	"去"	"見"	"山"	"g"	"in"	3	
"這"	"疑"	"開"	"三"	"仙B"	"去"	"見"	"山"	"z"	"e"	2	
"諺"	"疑"	"開"	"三"	"仙B"	"去"	"見"	"山"	"ng"	"in"	6	
"諺"	"疑"	"開"	"三"	"仙B"	"去"	"見"	"山"	"nj"	"in"	6	
"彥"	"疑"	"開"	"三"	"仙B"	"去"	"見"	"山"	"ng"	"in"	6	
"彥"	"疑"	"開"	"三"	"仙B"	"去"	"見"	"山"	"nj"	"in"	6	
"變"	"幫"	"開"	"三"	"仙B"	"去"	"幫"	"山"	"bb"	"in"	3	
"汴"	"並"	"開"	"三"	"仙B"	"去"	"幫"	"山"	"b"	"in"	6	"上江bbin6"
"倦"	"群"	"合"	"三"	"仙B"	"去"	"見"	"山"	"k"	"in"	6	"上江gin6"
"吶"	"娘"	"合"	"三"	"仙B"	"入"	"知"	"山"	"n"	"aap"	6	
"哲"	"知"	"開"	"三"	"仙B"	"入"	"知"	"山"	"z"	"it"	3	
"轍"	"澄"	"開"	"三"	"仙B"	"入"	"知"	"山"	"c"	"ut"	3	"下江異讀"
"轍"	"澄"	"開"	"三"	"仙B"	"入"	"知"	"山"	"c"	"it"	3	
"撤"	"澄"	"開"	"三"	"仙B"	"入"	"知"	"山"	"c"	"ut"	3	"下江異讀"
"撤"	"澄"	"開"	"三"	"仙B"	"入"	"知"	"山"	"c"	"it"	3	
"徹"	"澄"	"開"	"三"	"仙B"	"入"	"知"	"山"	"c"	"ut"	3	"下江異讀"
"徹"	"澄"	"開"	"三"	"仙B"	"入"	"知"	"山"	"c"	"it"	3	
"澈"	"澄"	"開"	"三"	"仙B"	"入"	"知"	"山"	"c"	"ut"	3	"下江異讀"
"澈"	"澄"	"開"	"三"	"仙B"	"入"	"知"	"山"	"c"	"it"	3	
"別"	"並"	"開"	"三"	"仙B"	"入"	"幫"	"山"	"b"	"it"	6	"上江bbit6"
"杰"	"群"	"開"	"三"	"仙B"	"入"	"見"	"山"	"k"	"it"	6	"上江git6"
"傑"	"群"	"開"	"三"	"仙B"	"入"	"見"	"山"	"k"	"it"	6	"上江git6"
"癲"	"端"	"開"	"四"	"先"	"平"	"端"	"山"	"dd"	"in"	1	
"巔"	"端"	"開"	"四"	"先"	"平"	"端"	"山"	"dd"	"in"	1	
"顛"	"端"	"開"	"四"	"先"	"平"	"端"	"山"	"dd"	"in"	1	
"天"	"透"	"開"	"四"	"先"	"平"	"端"	"山"	"t"	"in"	1	
"闐"	"定"	"開"	"四"	"先"	"平"	"端"	"山"	"d"	"un"	4	"下江異讀"
"闐"	"定"	"開"	"四"	"先"	"平"	"端"	"山"	"d"	"in"	4	"上江tin4"
"田"	"定"	"開"	"四"	"先"	"平"	"端"	"山"	"d"	"in"	4	"上江tin4"
"佃"	"定"	"開"	"四"	"先"	"平"	"端"	"山"	"d"	"in"	4	"上江tin4"
"年"	"泥"	"開"	"四"	"先"	"平"	"端"	"山"	"n"	"in"	4	
"零"	"來"	"開"	"四"	"先"	"平"	"來"	"山"	"l"	"ing"	4	
"蓮"	"來"	"開"	"四"	"先"	"平"	"來"	"山"	"l"	"un"	4	"下江異讀"
"蓮"	"來"	"開"	"四"	"先"	"平"	"來"	"山"	"l"	"in"	4	
"憐"	"來"	"開"	"四"	"先"	"平"	"來"	"山"	"l"	"un"	4	"下江異讀"
"憐"	"來"	"開"	"四"	"先"	"平"	"來"	"山"	"l"	"in"	4	
"淺"	"精"	"開"	"四"	"先"	"平"	"精"	"山"	"t"	"in"	2	
"箋"	"精"	"開"	"四"	"先"	"平"	"精"	"山"	"t"	"in"	2	
"濺"	"精"	"開"	"四"	"先"	"平"	"精"	"山"	"t"	"in"	3	
"仟"	"清"	"開"	"四"	"先"	"平"	"精"	"山"	"t"	"im"	1	
"仟"	"清"	"開"	"四"	"先"	"平"	"精"	"山"	"t"	"in"	1	
"阡"	"清"	"開"	"四"	"先"	"平"	"精"	"山"	"t"	"im"	1	
"阡"	"清"	"開"	"四"	"先"	"平"	"精"	"山"	"t"	"in"	1	
"千"	"清"	"開"	"四"	"先"	"平"	"精"	"山"	"t"	"in"	1	
"前"	"從"	"開"	"四"	"先"	"平"	"精"	"山"	"t"	"in"	5	"~天"
"前"	"從"	"開"	"四"	"先"	"平"	"精"	"山"	"t"	"in"	4	"~面"
"先"	"心"	"開"	"四"	"先"	"平"	"精"	"山"	"sl"	"in"	1	
"肩"	"見"	"開"	"四"	"先"	"平"	"見"	"山"	"g"	"in"	1	
"堅"	"見"	"開"	"四"	"先"	"平"	"見"	"山"	"g"	"in"	1	
"涓"	"見"	"合"	"四"	"先"	"平"	"見"	"山"	"gw"	"in"	1	
"涓"	"見"	"合"	"四"	"先"	"平"	"見"	"山"	"g"	"in"	1	
"鵑"	"見"	"合"	"四"	"先"	"平"	"見"	"山"	"gw"	"in"	1	
"鵑"	"見"	"合"	"四"	"先"	"平"	"見"	"山"	"g"	"in"	1	
"縴"	"溪"	"開"	"四"	"先"	"平"	"見"	"山"	"h"	"in"	1	
"牽"	"溪"	"開"	"四"	"先"	"平"	"見"	"山"	"h"	"in"	1	
"妍"	"疑"	"開"	"四"	"先"	"平"	"見"	"山"	"ng"	"in"	4	
"妍"	"疑"	"開"	"四"	"先"	"平"	"見"	"山"	"nj"	"in"	4	
"研"	"疑"	"開"	"四"	"先"	"平"	"見"	"山"	"ng"	"en"	3	"~磨"
"研"	"疑"	"開"	"四"	"先"	"平"	"見"	"山"	"ng"	"in"	4	"~究"
"研"	"疑"	"開"	"四"	"先"	"平"	"見"	"山"	"nj"	"in"	4	"~究"
"眩"	"匣"	"合"	"四"	"先"	"平"	"影"	"山"	"w"	"in"	4	
"縣"	"匣"	"合"	"四"	"先"	"平"	"影"	"山"	"w"	"in"	6	
"絃"	"匣"	"開"	"四"	"先"	"平"	"影"	"山"	"w"	"in"	4	
"懸"	"匣"	"合"	"四"	"先"	"平"	"影"	"山"	"w"	"in"	4	
"賢"	"匣"	"開"	"四"	"先"	"平"	"影"	"山"	"j"	"in"	4	
"弦"	"匣"	"開"	"四"	"先"	"平"	"影"	"山"	"j"	"in"	4	
"玄"	"匣"	"合"	"四"	"先"	"平"	"影"	"山"	"w"	"in"	4	
"燕"	"影"	"開"	"四"	"先"	"平"	"影"	"山"		"in"	3	"~子"
"燕"	"影"	"開"	"四"	"先"	"平"	"影"	"山"	"j"	"in"	3	"~子"
"燕"	"影"	"開"	"四"	"先"	"平"	"影"	"山"	"j"	"in"	1	"~國"
"淵"	"影"	"合"	"四"	"先"	"平"	"影"	"山"	"w"	"in"	1	
"咽"	"影"	"開"	"四"	"先"	"平"	"影"	"山"		"in"	1	
"咽"	"影"	"開"	"四"	"先"	"平"	"影"	"山"	"j"	"in"	1	
"煙"	"影"	"開"	"四"	"先"	"平"	"影"	"山"		"in"	1	
"煙"	"影"	"開"	"四"	"先"	"平"	"影"	"山"	"j"	"in"	1	
"邊"	"幫"	"開"	"四"	"先"	"平"	"幫"	"山"	"bb"	"in"	1	"~緣"
"邊"	"幫"	"開"	"四"	"先"	"平"	"幫"	"山"	"b"	"in"	6	"方位詞；上江bbin4"
"蝙"	"幫"	"開"	"四"	"先"	"平"	"幫"	"山"	"p"	"in"	1	
"編"	"幫"	"開"	"四"	"先"	"平"	"幫"	"山"	"b"	"en"	5	
"編"	"幫"	"開"	"四"	"先"	"平"	"幫"	"山"	"p"	"in"	1	
"胼"	"並"	"開"	"四"	"先"	"平"	"幫"	"山"	"p"	"in"	1	
"眠"	"明"	"開"	"四"	"先"	"平"	"幫"	"山"	"m"	"in"	4	
"典"	"端"	"開"	"四"	"先"	"上"	"端"	"山"	"dd"	"in"	2	
"腆"	"透"	"開"	"四"	"先"	"上"	"端"	"山"	"t"	"in"	2	"上江din2"
"靦"	"透"	"開"	"四"	"先"	"上"	"端"	"山"	"m"	"in"	2	
"繭"	"見"	"開"	"四"	"先"	"上"	"見"	"山"	"g"	"aan"	2	
"犬"	"溪"	"合"	"四"	"先"	"上"	"見"	"山"	"f"	"in"	2	
"顯"	"曉"	"開"	"四"	"先"	"上"	"影"	"山"	"h"	"in"	2	
"宴"	"影"	"開"	"四"	"先"	"上"	"影"	"山"	"j"	"in"	3	
"匾"	"幫"	"開"	"四"	"先"	"上"	"幫"	"山"	"bb"	"en"	2	
"辮"	"並"	"開"	"四"	"先"	"上"	"幫"	"山"	"bb"	"in"	1	
"唸"	"端"	"開"	"四"	"先"	"去"	"端"	"山"	"dd"	"in"	1	
"奠"	"定"	"開"	"四"	"先"	"去"	"端"	"山"	"d"	"in"	6	"上江ddin6"
"電"	"定"	"開"	"四"	"先"	"去"	"端"	"山"	"d"	"in"	6	"上江ddin6"
"殿"	"定"	"開"	"四"	"先"	"去"	"端"	"山"	"d"	"in"	6	"上江ddin6"
"甸"	"定"	"開"	"四"	"先"	"去"	"端"	"山"	"d"	"in"	6	"上江ddin6"
"澱"	"定"	"開"	"四"	"先"	"去"	"端"	"山"	"d"	"in"	6	"上江ddin6"
"練"	"來"	"開"	"四"	"先"	"去"	"來"	"山"	"l"	"un"	6	"下江異讀"
"練"	"來"	"開"	"四"	"先"	"去"	"來"	"山"	"l"	"in"	6	
"鍊"	"來"	"開"	"四"	"先"	"去"	"來"	"山"	"l"	"un"	6	"下江異讀"
"鍊"	"來"	"開"	"四"	"先"	"去"	"來"	"山"	"l"	"in"	6	
"薦"	"精"	"開"	"四"	"先"	"去"	"精"	"山"	"t"	"un"	3	"下江異讀"
"薦"	"精"	"開"	"四"	"先"	"去"	"精"	"山"	"t"	"in"	3	
"倩"	"清"	"開"	"四"	"先"	"去"	"精"	"山"	"c"	"im"	3	
"荐"	"從"	"開"	"四"	"先"	"去"	"精"	"山"	"t"	"un"	3	"下江異讀"
"荐"	"從"	"開"	"四"	"先"	"去"	"精"	"山"	"t"	"in"	3	
"見"	"見"	"開"	"四"	"先"	"去"	"見"	"山"	"g"	"in"	3	
"硯"	"疑"	"開"	"四"	"先"	"去"	"見"	"山"	"j"	"in"	6	
"絢"	"曉"	"合"	"四"	"先"	"去"	"影"	"山"	"f"	"in"	3	
"炫"	"匣"	"合"	"四"	"先"	"去"	"影"	"山"	"ngw"	"in"	6	"下江異讀"
"炫"	"匣"	"合"	"四"	"先"	"去"	"影"	"山"	"ng"	"in"	6	
"炫"	"匣"	"合"	"四"	"先"	"去"	"影"	"山"	"j"	"in"	6	
"現"	"匣"	"開"	"四"	"先"	"去"	"影"	"山"	"ngw"	"in"	6	"下江異讀"
"現"	"匣"	"開"	"四"	"先"	"去"	"影"	"山"	"ng"	"in"	6	
"現"	"匣"	"開"	"四"	"先"	"去"	"影"	"山"	"j"	"in"	6	
"嚥"	"影"	"開"	"四"	"先"	"去"	"影"	"山"	"j"	"in"	3	
"嚥"	"影"	"開"	"四"	"先"	"去"	"影"	"山"		"in"	3	
"遍"	"幫"	"開"	"四"	"先"	"去"	"幫"	"山"	"p"	"in"	3	
"麵"	"明"	"開"	"四"	"先"	"去"	"幫"	"山"	"m"	"in"	6	
"片"	"滂"	"開"	"四"	"先"	"去"	"幫"	"山"	"p"	"en"	3	
"片"	"滂"	"開"	"四"	"先"	"去"	"幫"	"山"	"p"	"en"	1	"特指小片"
"片"	"滂"	"開"	"四"	"先"	"去"	"幫"	"山"	"p"	"ong"	1	"特指大片"
"鐵"	"透"	"開"	"四"	"先"	"入"	"端"	"山"	"t"	"it"	3	
"跌"	"定"	"開"	"四"	"先"	"入"	"端"	"山"	"dd"	"it"	3	
"迭"	"定"	"開"	"四"	"先"	"入"	"端"	"山"	"d"	"ip"	6	
"迭"	"定"	"開"	"四"	"先"	"入"	"端"	"山"	"d"	"it"	6	"上江ddit6"
"捏"	"泥"	"開"	"四"	"先"	"入"	"端"	"山"	"n"	"ik"	1	
"節"	"精"	"開"	"四"	"先"	"入"	"精"	"山"	"d"	"it"	3	
"癤"	"精"	"開"	"四"	"先"	"入"	"精"	"山"	"d"	"it"	3	
"竊"	"清"	"開"	"四"	"先"	"入"	"精"	"山"	"c"	"ut"	3	"下江異讀"
"竊"	"清"	"開"	"四"	"先"	"入"	"精"	"山"	"c"	"it"	3	
"沏"	"清"	"開"	"四"	"先"	"入"	"精"	"山"	"t"	"ai"	3	
"截"	"從"	"開"	"四"	"先"	"入"	"精"	"山"	"t"	"it"	6	"上江dit6"
"訣"	"見"	"合"	"四"	"先"	"入"	"見"	"山"	"kw"	"it"	3	
"訣"	"見"	"合"	"四"	"先"	"入"	"見"	"山"	"k"	"it"	3	
"桔"	"見"	"開"	"四"	"先"	"入"	"見"	"山"	"g"	"at"	1	
"結"	"見"	"開"	"四"	"先"	"入"	"見"	"山"	"g"	"it"	3	
"鍥"	"見"	"開"	"四"	"先"	"入"	"見"	"山"	"k"	"it"	3	
"抉"	"見"	"合"	"四"	"先"	"入"	"見"	"山"	"kw"	"it"	3	
"抉"	"見"	"合"	"四"	"先"	"入"	"見"	"山"	"k"	"it"	3	
"潔"	"見"	"開"	"四"	"先"	"入"	"見"	"山"	"g"	"it"	3	
"缺"	"溪"	"合"	"四"	"先"	"入"	"見"	"山"	"kw"	"it"	3	
"缺"	"溪"	"合"	"四"	"先"	"入"	"見"	"山"	"k"	"it"	3	
"決"	"曉"	"合"	"四"	"先"	"入"	"影"	"山"	"kw"	"it"	3	
"決"	"曉"	"合"	"四"	"先"	"入"	"影"	"山"	"k"	"it"	3	
"血"	"曉"	"合"	"四"	"先"	"入"	"影"	"山"	"f"	"it"	3	
"頁"	"匣"	"開"	"四"	"先"	"入"	"影"	"山"	"j"	"ip"	6	
"穴"	"匣"	"合"	"四"	"先"	"入"	"影"	"山"	"w"	"it"	6	
"噎"	"影"	"開"	"四"	"先"	"入"	"影"	"山"		"at"	1	"白讀"
"癟"	"並"	"開"	"四"	"先"	"入"	"幫"	"山"	"b"	"it"	3	"訓讀；上江bbit3"
"篾"	"明"	"開"	"四"	"先"	"入"	"幫"	"山"	"m"	"it"	6	
"蔑"	"明"	"開"	"四"	"先"	"入"	"幫"	"山"	"m"	"it"	6	
"瞥"	"滂"	"開"	"四"	"先"	"入"	"幫"	"山"	"bb"	"it"	3	
"刀"	"端"	"開"	"一"	"豪"	"平"	"端"	"效"	"dd"	"ooau"	1	"上江ddou1"
"滔"	"透"	"開"	"一"	"豪"	"平"	"端"	"效"	"t"	"ooau"	1	"上江tou1"
"絛"	"透"	"開"	"一"	"豪"	"平"	"端"	"效"	"t"	"ooau"	1	"上江tou1"
"叨"	"透"	"開"	"一"	"豪"	"平"	"端"	"效"	"t"	"ooau"	1	"上江tou1"
"綢"	"透"	"開"	"一"	"豪"	"平"	"端"	"效"	"c"	"au"	4	
"掏"	"定"	"開"	"一"	"豪"	"平"	"端"	"效"	"d"	"ooau"	4	"上江tou4"
"逃"	"定"	"開"	"一"	"豪"	"平"	"端"	"效"	"d"	"ooau"	4	"上江tou4"
"桃"	"定"	"開"	"一"	"豪"	"平"	"端"	"效"	"d"	"ooau"	4	"上江tou4"
"啕"	"定"	"開"	"一"	"豪"	"平"	"端"	"效"	"d"	"ou"	4	"上江tou4"
"濤"	"定"	"開"	"一"	"豪"	"平"	"端"	"效"	"d"	"ou"	4	"上江tou4"
"萄"	"定"	"開"	"一"	"豪"	"平"	"端"	"效"	"d"	"ooau"	4	"上江tou4"
"撈"	"來"	"開"	"一"	"豪"	"平"	"來"	"效"	"l"	"eoi"	1	"上江lui1"
"撈"	"來"	"開"	"一"	"豪"	"平"	"來"	"效"	"l"	"ooau"	1	"上江lou1"
"牢"	"來"	"開"	"一"	"豪"	"平"	"來"	"效"	"l"	"ooau"	4	"上江lou4"
"勞"	"來"	"開"	"一"	"豪"	"平"	"來"	"效"	"l"	"ooau"	4	"上江lou4"
"糟"	"精"	"開"	"一"	"豪"	"平"	"精"	"效"	"d"	"ooau"	1	"上江dou1"
"槽"	"精"	"開"	"一"	"豪"	"平"	"精"	"效"	"t"	"ooau"	4	"上江tou4"
"遭"	"精"	"開"	"一"	"豪"	"平"	"精"	"效"	"d"	"ooau"	1	"上江dou1"
"操"	"清"	"開"	"一"	"豪"	"平"	"精"	"效"	"t"	"ooau"	1	"上江tou1"
"嘈"	"從"	"開"	"一"	"豪"	"平"	"精"	"效"	"t"	"ooau"	4	"上江tou4"
"曹"	"從"	"開"	"一"	"豪"	"平"	"精"	"效"	"t"	"ooau"	4	"上江tou4"
"搔"	"心"	"開"	"一"	"豪"	"平"	"精"	"效"	"sl"	"ooau"	1	"上江slou1"
"騷"	"心"	"開"	"一"	"豪"	"平"	"精"	"效"	"sl"	"ooau"	1	"上江slou1"
"膏"	"見"	"開"	"一"	"豪"	"平"	"見"	"效"	"g"	"ooau"	1	"上江gou1"
"高"	"見"	"開"	"一"	"豪"	"平"	"見"	"效"	"g"	"ooau"	1	"上江gou1"
"羔"	"見"	"開"	"一"	"豪"	"平"	"見"	"效"	"g"	"ooau"	1	"上江gou1"
"篙"	"見"	"開"	"一"	"豪"	"平"	"見"	"效"	"g"	"ooau"	1	"上江gou1"
"咎"	"見"	"開"	"一"	"豪"	"平"	"見"	"效"	"g"	"au"	3	
"熬"	"疑"	"開"	"一"	"豪"	"平"	"見"	"效"	"ng"	"ooau"	6	"上江ngou6"
"翱"	"疑"	"開"	"一"	"豪"	"平"	"見"	"效"	"ng"	"ooau"	4	"上江ngou4"
"遨"	"疑"	"開"	"一"	"豪"	"平"	"見"	"效"	"j"	"iu"	1	
"敖"	"疑"	"開"	"一"	"豪"	"平"	"見"	"效"	"ng"	"ooau"	4	"上江ngou4"
"螯"	"疑"	"開"	"一"	"豪"	"平"	"見"	"效"	"ng"	"ooau"	4	"上江ngou4"
"撓"	"曉"	"開"	"一"	"豪"	"平"	"影"	"效"	"nj"	"aau"	1	"白讀"
"撓"	"曉"	"開"	"一"	"豪"	"平"	"影"	"效"	"n"	"aau"	4	
"蒿"	"曉"	"開"	"一"	"豪"	"平"	"影"	"效"	"g"	"ooau"	2	"上江gou2"
"號"	"匣"	"開"	"一"	"豪"	"平"	"影"	"效"	"h"	"ooau"	6	"上江hou6"
"豪"	"匣"	"開"	"一"	"豪"	"平"	"影"	"效"	"h"	"ooau"	4	"上江hou4"
