星宿	ɕin1 ɕiɵu2	星星
腌臜	ŋa1 tsa1	脏
恶撮	ŋo2 tsʰo2	
水水	suei3 suei3	比汤还要稀
汤汤水水	tʰaŋ1 tʰaŋ1 suei3 suei3	
嘎	ka3	肉
精嘎	tɕin1 ka3	瘦肉
精肉	tɕin1 zu2	
肥嘎	fei2 ka3	肥肉
皮得很	pʰi2 tɛ xən3	做事很慢
在行	tsæe5 xaŋ2	说话做事得体
不在行	pu2 tsæe5 xaŋ2	差劲
灵醒	lin2 ɕin3	聪明
黄昏	xuaŋ2 xən1	糊涂
狗夹	kɵu3 tɕia2	吝啬
更	kən3	整
梱	kʰun2	圆的，整的
周身	tsɵu1 sən1	全身
堡堡	pɐɤ1 pɐɤ1	蹦起来，地面凸起的地方
崩崩	poŋ poŋ	地面凸起的地方
崩	pʰoŋ	物体浮起来
窝窝	o1 o1	低于地面的地方
活络	xo2 lo3	轻松，脑筋转得快
白卡卡	pei2 kʰa3 kʰa3	苍白
将将	tɕiaŋ1 tɕiaŋ1	刚好，恰好
恰恰	tɕʰia2 tɕʰia2	刚好
净	tɕin5	光：～吃米，不吃面
差一颗米	tsʰa1 i2 kʰo3 mi3	差点
着	tsɐɤ2	被
好	xɐɤ5	不要，配合摇手或摇头表示动作
凯	kʰæe5	个，只，头
胴	toŋ3	用于比较大的物件的量词。例：字～棒棒浪个大，你扛得起也。
强	tɕʰiaŋ2	乌罗高洞地方所说的量词
楛	kʰu1一～香
棚	pʰoŋ2	一～稻草
砣	tʰo2	一～泥巴，一～肉
一扑	i2 pʰu2	一串，～葡萄
一□	i2 iua3	一串，～葡萄
一拃	i2 tɕʰia3	大拇指与中指张开的长度
庹	pʰæe3	两臂平伸两手伸直的长度
一撮	i2 tsʰo2	～毛，一～包谷
巴 pa1 ①粘连：饭~锅了。②粘贴。③爬：~树子。④扶：~倒墙走。⑤名词后缀：泥~ ‖ 盐~。
巴身 pa1 sən1 形容衣服的尺寸很适合：这件衣服穿起来好~。
巴边 pa1 piɛ̃1 说话切题：说了半天还不~。
巴里不得 pa1 li3 pu2 tei2 迫切希望：~早点下雪。
巴家 pa1 ɕia1 顾家：他很~。
巴谱 pa1 pʰu5 切合题旨：说话不~。又作“靠谱”。
扳本 pæ̃1 pən3 翻本，指输了以后重新赢回来。
扁 piɛ̃3 ①搞、处置：由他张个~。②钻研：看不出来呢，他硬是~出个名堂了。
标杆直 piɐɤ1 kæ̃3 tsɿ3 非常直
捹 pən5 ①拉：我俩把它~直起。②朝着利于自己的方面讲：明明自家没有道理，他偏要紧~。
把 pa2 ①拦，把守：你~倒起，不要让他进来。②占据，又作“霸”。你个人~倒起，一点都不给我。③扶：你~倒起，不要跶倒。
罢脚 pa5 tɕio2 剩余的东西：茄子早打完了，都~了。
拜继 pæe5 tɕi5 使自己的儿女人无血缘关系的人作干父母：孩子就~给你作干儿子了。
扳 pæ̃1 ①扭：那颗螺丝~不动了。②翻本：钱财输多了，~不回来了。③强词夺理：没得道理还要硬~。
板 pæ̃3 ①挣扎：那条鱼~得好凶。②乱动：睡好，不要乱~。
□澡 pæ̃3 tsɐɤ3 游泳。
半中拦腰 pæ̃5 tsoŋ1 læ̃2 ɐɤ1 ①物体的中部。②事情进行到中途：他帮我开车，~就不开了。
背 pei5 ①承受：责任下来，你~不起。②耗费：~料 ‖ ~工。③避、暗地：他~倒大家不晓得在干懒样？④不走运、倒霉：这一会真~，打牌天天输。
背黑锅 pei1 xei2 ko1 替别人承担过错、责任。
背时 pei5 sɿ2 ①倒运：这段时间最~，做什么都不顺。②骂人的话，带有贬义色彩：你个~的。
拌 pən5 ①拌和：~点凉菜吃。②用力挣扎：把绳子捆紧点，小心它~脱。
滗 pi2 滤去水汁：淘米时把米~干净点，不要再有浑水了。
鼻涕痂痂 pi2 li5 ka2 ka2 已凝固的鼻涕。
鼻齈口呆 pi2 loŋ2 kʰɐɤ3 tæe1 流鼻涕的样子。
彪 piɐɤ1 ①喷射：~口水。②高速前进：那匹马~得太快了。
逼 pi1 ①扭曲物体或身体：桌子太矮了，~得脚好痛。②逼迫：你不要~我去做这件事。③勉强：没有办法，只好~倒答应他。
并 pin3 ①合并：把东西~在一堆。②以物作价，整个出卖：张三把房子~给李四了。
不赢 pu5 in2 用在动词后表示“……不及”：题量太大，做都做~
□ pu5 窥视、暗中看：你去~哈，他们来了没？
□ poŋ1 聚拢来：散开点，不要~拢来。
□ pʰa1 ①熟软：鸡炖~了。②无力：脚~手软。
□耳朵 pʰa1 ɚ1 to1 怕老婆，对老婆言听计从的男人。
□和 pʰa1 xe5 ①软和：这张床好~。②软弱：不要以为我~好欺。③便宜：又捡倒过~。④容易：就这样过了他，没有这么~。
□聋聋 pʰa1 loŋ1 loŋ1 形容食物蒸煮得很软：萝卜煮得~的。
□ pʰa1 量词，堆，只用于来形容粪便：一~屎。
□□ pʰa1 pʰa1 便宜：他捡了个~。
盘 pʰæ̃2 ①缠绕：蛇~在树枝上。②经营：~点水果到街上去卖。③抚育：好不容易把孩子~大了。④仔细查问：不要老是来~问我。⑤动量词，次、回：我们再打一~（牌）。
□ pʰaŋ3 分量相近：他俩年纪有一~。他俩打架有一~。
□ pʰaŋ3 碰、撞、触动：我在写字，不要~我。
刨 pʰɐɤ2 用筷子将碗中的饭往嘴里送：把饭~干净了再走。
泡汤 pʰɐɤ5 tʰaŋ1 ①用菜汤加进饭中：我吃饭不喜欢~。②落空：这件事又~了。
皮面 pʰi2 miɛ̃5 面、上面：衣服就放在箱子~。
皮皮翻翻 pʰi2 pʰi2 fæ̃1 fæ̃1 皮屑脱落状，或说话做事不干练。
疲 pʰi2 ①迟缓、拖沓：他做哪样都~得很。②麻木，习以为常：这娃娃着你打~了。
皮脱 pʰi2 tʰo2 ①干脆不哆嗦：他办事很~。②客气话：你~点，没得懒样菜。③容易：不交钱，就想拿货，你想得到~。
屁 pʰi5 差：现在的东西~得很。
扑爬 pʰu2 pʰa2 跟斗、摔倒。
谱谱 pʰu3 pʰu3 门道、路子：跑了哪多路，这事件硬是一点~都没得。
骈 pʰiɛ̃3 ①砍平。拿猫头（斧头）来，我把这根树子~一下。②说、侃：她最会~嘴巴子。③谈判：~价。
偏偏 pʰiɛ̃1 pʰiɛ̃1 ①在正房边搭的侧屋。②姘头：他又耍了个~。③不属某范围或计划内：我搭个~，好不？
抛撒 pʰɐɤ¹ sa¹ ①浪费：~了好多粮食。②补足，使分量多：饭做~点，不然不够吃。
骗赖 piɛ̃5 læe5 ①不依许诺：要说话算话，不许~。②耍赖：你紧~，我不管你啦。
□ pʰia3 ①脚向外斜：他的脚有点~。②蔫：菜叶子黄~啦。③某种约定俗成的：不合~子。
熛 pʰiɐɤ3 ①火苗从物体上掠过：眉毛着火~了。②大面积被火烧：~山了，快去扑火。
瞟 pʰiɐɤ3 略略地一看：我进教室~一眼就走了。
撇 pʰi3 将物体折断或分开。
□ pʰin5 比，与别人对等势力的较量：硬是和人家~倒搞。
□ pʰoŋ1（烟尘）飞扬：不要扫地了，灰尘到处~来起来了。
铺笼帐被 pʰu1 loŋ2 tsaŋ5 pei5 床上用品。
潽pʰu2 粥、水等因沸而溢出炊具：哎呀，快关火，水都~出来了。
匍 pʰu2 ①伏：他~在桌子上睡了。②将器皿口朝下放：把碗~起。
麻 ma2 欺骗。不要~我，你以为我不晓得。
麻眨 ma2 tsa2 ①天色较暗，已接近傍晚：打~了，鸡都要进罩（鸡笼）了。②马虎：他的字写得~。
麻麻杂杂 ma2 ma2 tsa2 tsa2 纷乱复杂，摸不着头绪的样子。
马 ma3 ①占据：他~倒起，硬不拿给我。②强行做某事：他~倒起做。③因生气做出难看的表情：一天都~起个脸，不晓得哪个得罪你了。又作“罢”。
马马肩 ma3 ma3 tɕiɛ̃1 让小孩子骑在大人的脖子上：小孩要是哭了，你就打~。
沕 mi5 ①潜：~到水里。②低，埋头：~起脑壳，就是不说话。③溺水：他在水里~死了。
沕子 mi5 tsɿ5 潜泳：他一个~就过河了。
沕功 mi5 koŋ1 极短的时间：他一个~就不知道到哪里去了。
母 mu3 粗大而不美观：这东西~得很。又作“母实”。
默 mei2 ①盘算：我~了一下，划得来。②估计，猜算：你~一下，有好多？
闷倒 mən1 tɐɤ3 以为、估计到。你做这件事，人家~不晓得？
毛焦火辣 mɐɤ1 tɕiɐɤ1 xo3 tɕiɐɤ2 心急火燎、烦躁不安的样子：我心里~的，不晓得要发生哪样事。
卯 mɐɤ3 ①僵、对立：不要把关系搞~了。②估算。你~一下，有好多斤？
慢港 mæ̃5 kaŋ3 一会儿：~再走。又作“慢忙”。
闷古 mən5 ku3 比喻沉默寡言而又性格孤僻的人，含贬义。
明打明 min2 ta3 min2 公开、明明白白：你对我有哪样意见，就~的说出来。
□ maŋ1 ①胖：~子。②笨、傻：他~得很，着人家骗了还不晓得。
莽 maŋ3 ①形容数量庞大：~有些人在搞传销。②粗声大气：他说话声音很~。
□□ maŋ1 maŋ1 哄小孩子吃饭：他该吃~了。
莽撞 maŋ5 tsuaŋ5 做事不够稳重。
默倒 mei2 tɐɤ3 自认为：我~你早就来了。
绵 miɛ̃2 ①有韧性：肉炒得不好，还是~的。②拖延：时间到了，不要再~了。③有耐力：他都连干了几个小时了，好经~哟。
绵扯扯 miɛ̃2 tsʰɛ3 tsʰɛ3 ①形容食物柔软而不易嚼烂：牛肉烧得~的。②行动缓慢，皮：做懒样事，都~的。
绵扎 miɛ̃2 tsa2 有韧性，多用来形容竹木类制品：这根竹扁担好~哦。
苗 miɐɤ2 说话口无遮拦、野性：这女孩说话太~了。
末 mo1 哆嗦：他做事最~。
磨 mo2 消耗，拖延时间：你不要~人家，人家有事。
磨 mo5 微微移动地方：你稍微往那边~点。
蒙 moŋ2 用布遮盖：她把脸~起来，不让我看。
蒙moŋ1 ①遮盖：他~倒起被条睡。②欺骗：他~你的。又作“翁”。③猜测：他手里有什么，着他~倒了。
懵里懵懂 moŋ3 li3 moŋ3 tsʰoŋ3 糊里糊涂，又作“梦里梦冲（阳平）”、“猛里猛冲”。
木 mu2 麻木：我的手都被你压~了。
木鱼脑壳 mu2 y2 lɐɤ3 kʰo2 比喻愚蠢迟钝的人：你真是个~。
木头 mu3 tʰɵu3 棺材一种避讳的称法。
木朵朵 mu2 to5 to5 ①木材切割成小方块状。②形容某人反应迟钝：你连这点事就办不好，真是个~。
跶 ta2 ①跌：他不小心就在路上~倒了。②把物品用力往外扔：他生气后，把杯子使劲往墙上~。
打 ta3 ①插在重叠的单音节形容词之间，表好似强调：明~明地跟你说，他不行。②插在重叠的数量结构之间，而前一数量结构不用量词，表示强调：都十~十年了，你还是老样子。
打岔 ta3 tsʰa5 故意扰乱别人正在进行的工作或说话的行为：我正说得起劲，请你不要~好不？
打屯 ta44 tən3 说话、读书中途停顿。
打比 ta3 pi3 假如，假定：~你是我，你也会这么去做的。
打镖枪 ta3 piɐɤ1 tɕʰiaŋ1 ①泄腹：谁偷了我的果子，吃了要~。②比喻从口中吐出唾沫、食物：吃饭少讲话，防止~。
打早 ta3 tsɐɤ3 清晨：你明天~来帮我挖马铃薯。
打个调 ta3 ko3 tiɐɤ3 朝相反的方向转弯：前面没有路了，我只好把车~。
打头 ta3 tʰɵu2 ①因喝酒或吃药而感觉到头部昏沉：这个酒不好喝，~得很。②领头：晚上上山，就由你~吧。
打落 ta3 lo2 ①遗失：昨天我的钱~了。②使用工具强行使其落下：他用石子把桃子给~下来了。
打脱 ta3 tʰo2 ①逃掉：鸡都关进圈了，没有一个~。②损失因得的机会：这么好的机会白白让你给~了。
打脚 ta3 tɕio2 因鞋子小等原因使脚被魔伤：这鞋子~得很。
打被窝 ta3 pi5 o1 睡着后因太热等原因而蹬开被条：经常~的人容易感冒。
打黑膜 ta3 xæ̃2 mo1 趁天黑以后或在黑暗中干活：今天的活路怕要~了。
打整 ta3 tsən3 ①整理、布置：把房间~一下。②处置、整治、对待：再你张个~。
打别 ta3 pi2 发脾气。
打脑壳 ta3 lɐɤ2 kʰo2 酒、药等喝后使头腹痛不舒服：这酒喝了有点~。
大声八气 ta5 tsən1 pa2 tɕʰi2 粗声大气。
躲懒 to2 læ̃5 偷懒。又作“躲尖”。
倒嵌 tɐɤ5 tɕʰiɛ̃5 因缺乏维生素，使指甲根部发炎而脱出的细皮：我手上长~了，你帮我剪哈。
兜 tɵu1 ①挑逗：他最爱~妹妹了。②招惹：这个娃娃好~人爱啊！相当于“逗”。
兜起闹 tɵu1 tɕʰi3 lɐɤ5 故意制造纠纷。
当头 taŋ1 tʰɵu2 物体的两端：房子的两~有人。
吊 tiɐɤ3 ①自由散漫。②装大气：这个人~得很。
吊儿郎当 tiɐɤ3 ɚ2 liaŋ3 taŋ1 自由散漫
□ tiaŋ1 ①提：快去~桶水来。②捉、抓。他偷东西着人家~倒了。
逮 tæe3 ①抓：河里的鱼，~到一条算一条。②拉：这绳子好扎实，~都~不断。③咬：我的脚着狗~了一口。
代过 tæe5 ko5 替别人承担责任：他做错事了，就拿我们~。
干精瘦壳 kæ̃1 tɕin1 sɵu5 kʰo2 身体瘦小：他~的，我怕他扛不起。
当餐 taŋ1 tsʰæ̃1 ①趁时间：这菜要~就吃完，否则放坏了。②当饭吃：水果能吃~么？
砀 taŋ5 将刀放在磨石或其他器物上来回摩擦，使刀刃锋利：把菜刀~一下再切。
刀头 tɐɤ1 tʰɵu2 祭祀用的整个猪头、鸡或成方形的猪肉。
倒床 tɐɤ3 tsʰuaŋ2 ①病倒在床上：他在家~好几天了。②疲惫不堪：他在外面乐乐一天了，一回到家就~了。
到转 tɐɤ5 tsuæ̃3 ①走回头路、反转过来：我们~走山路了。②反而，有转折之意：你先把事情做砸了，现在~来怪我了。
得行 tɛ2 ɕin2 在行，有本领，能胜任某事：干这种坏事他最~。
墩 tən1 矮胖壮实：他家的孩子长得矮~~的。又作“墩毒 tən1 tu2”。
等港港 tən¹ kaŋ¹ kaŋ¹ 等一会儿：你~，我拿东西给你。又作“等一港 tən3 i2 kaŋ3”和“等下下 tən3 xa5 xa5”。
撴 tən5 放置：把锅~在灶上。
点点 tiɛ̃3 tiɛ̃3 很少、很小，属形容词：饭别给我盛多了，我只要~。又作“懒浪点点 læ̃1 laŋ2 tiɛ̃3 tiɛ̃3”。
迭忙 ti2 maŋ2 急忙、赶忙：饭都熟了，你~做菜啊。
抵 ti3 ①相当，可代替：你们几个一起上也~不过他一个人。②经得住：吃五谷杂粮非常~饿。③顶住：他拿脚把我~起，我起来不倒了。④相持不下，一比高低：我准备开个店和他~倒卖。
迭倒 ti3 tɐɤ3 赶快、立马：天要黑了，我们~走吧。
顶嘴 tin3 tsuei3 与某人对着讲，不听话：那个小孩最爱~。
抵脚 ti3 tɕio2 指鞋子的尺寸太短，使脚在鞋里很紧。
点水 tiɛ̃3 suei3 秘密被人告发：他们这次被警察抓是有人~了。
垫背 tiɛ̃5 pei5 代人受过：你自己出了问题，还想要找个~的。
锭 tin5 袭击某人：他老是拿石头~人。
多嘴 to1 tsuei3 随便岔别人话的不礼貌行为：今天，领导讲话时，你可不能再~了。
垛 to5 ①被刀等锋利物所伤：他手指拇被菜刀~了。②砍：你把柴~一下，好烧火。
蔸蔸头 tɵu1 tɵu1 tʰɵu2 箩筐里面。
捝 tɐɤ5 ①合伙凑集：大家把钱~起来，我们下午去吃饭。②把散的拼合成一个整体：你去把桌子~起。③冲着，正对着：你~倒别人的脑壳上倒水。
懟头 tɵu5 tʰɵu2 对头。①吻合、正确：你看哈这些东西~不？②合得来：我们两个人的脾气不~。③冤家：我和他是死~。
厾厾 tu2 tu2 器皿的底部：吃饭时，你抓好~就不会滑。
端飞碗 tuæ̃1 fei1 uæ̃3 蓄意夺取本属于别人的东西：小心你的东西被人~。
断 tuæ̃3 堵截、拦住：你快去村口~强盗。
兔眉日眼 tʰu5 mi2 zɿ2 iɛ̃3 不通情理。又作“兔眉兔眼”。
砣砣 tʰo2 tʰo2 团状物：这肥~肉，哪个能吃哦。
砣子 tʰo2 tsɿ3 拳头：再惹我就给你一~。
堕 tʰo3 下坠：天太热了，狗舌条~得好长。
踏屑 tʰa2 ɕy2 贬低、侮辱：你不要乱~人。
胎合 tʰæe1 xo2 胆量：这个人~大得很，懒样事情都赶做；~足。
淌 tʰaŋ3 ①承受：他的力气太大了，我经不起~。②把磨好的米浆用勺子均匀地分布在锅里：你会~绿豆粉吗？
烫 tʰaŋ5 ①买卖中期骗人的行为：我今天买衣服着~了。②被火、开水等伤害：他的手是不小心被开水~的。③用熨斗把皱的衣物使其平整。
套套 tʰɐɤ5 tʰɐɤ5 ①用绳索打的结：我们用~把兔子套住了。②圈套：我们编个~等他来钻。
□ tʰən3 上下颠簸：这段路山路太差，坐车很~。
□ tʰən3 ①等，稍过一会儿：我现在没空，~哈再说。②磨蹭，拖延：你要~到哪天才和我回家。③作短暂的停顿：他因为在演讲过程中很紧张，~了一下才接着演讲。
舔肥 tʰiɛ̃3 fei2 讨好：我才不去和他~呢。
拖疲 tʰo1 pʰi2 故意拖延：这件事他恐怕是~吧。
亸 tʰo3 下垂：他爷爷的胡子都~下来了。
拖疲 tʰo1 pʰi2 做事慢
兔 tʰu5 ①吝啬：他这个人对别人最~。②不通情理。
团转 tʰuæ̃2 tsuæ̃5 附近：~都是我家的土地。
栾转 luæ̃2 tsuæ̃5附近：~都是我家的土地。
拉稀 la1 ɕi1 拉肚子。
拉沙 la1 sa1 后缀词，依附于名词之后，构成形容词性词语，表示纷乱之意：才几天不见，你就胡子~的。
拉屎拉尿 la1 sɿ3 la1 niɐɤ3 盘儿养女别称：我~把你们盘（养）大，你们倒变成黄野狗了。
邋遢 la2 tʰa2 ①不讲卫生。你太~了。②不修边幅：他~得很，不注意个人形象。
哪暂 la3 tsæ̃3 什么时候。你~走学校去？
□ lia1 女孩子说话做事娇气：她都十多岁了，还这么~。②指小孩喜欢接近某人。这孩子是~他爸点，还是~他妈点？③依靠：那老人家~他大崽坐。
撸 lu1 向内或向自己的方向扒：把东西~拢来。
路路 lu5 lu5 细而长的痕迹：他着老婆打了，脸上尽是些~。
拿捏 la2 li1 ①捉弄，为难：不要总~人家。②估计，办法：这件事我~不准。
搂 lɵu3 笼络，扶持：我跟你这么久，你要~倒起哟。
老 lɐɤ3 ①扛：上坡去~把柴转来。②举起：把手~高点。
恼火 lɐɤ3 xo3 ①病情加重：病~了。②事情难办：这件事办起来有点~。③惨：昨晚上我输~了。
潦 liɐɤl 稍微煮烫一下：把猪脚~一下。
偻餿 lɵu2 sɵu5 ①寒酸：他搞得好~哟。②吃相鲁莽，不文雅：他像八辈子没得吃似的，吃得啷个~。
偻偻垮垮 lɵu2 lɵu2 kʰua3 kʰua3 邋遢至极，又作“偻偻馊馊”：你看他穿得~的，可能是没人管。
漤 læ̃3 ①用盐浸渍：腊肉在炕之前都是用盐~过的。②用面粉等包裹：~点面面到包子上。
狼个 laŋ2  ko1 哪样，又作“懒样”。
落教 lo2 tɕiɐɤ5 言语举止合人意：这人~得很。
□ lia2 ①脱掉，脱下：快把衣服~了，身上有虱子。②身体疲惫：我~得很，想休息一下。
流汤滴水 liu2 tʰaŋ1 ti2 suei¹3 ①吃相不规矩。②办事不果断，不干脆。
搛 tɕiɛ̃1 用筷子挟：吃饭时，你多~点菜吃。
拈阄 tɕiɛ̃1 tɕiu1 抓阄。
冷屁煪烟 lən3 pʰi5 tɕʰiɵu1 iɛ̃1 冷寂的样子：婆娘不在家，屋里头~的。
癞巴癞疙 læe5 pa1 læe5 kei5 粗糙，不光滑：这块石头~的。
□ laŋ1 体形瘦长的样子：这孩子长得也太~了。
□□子 laŋ1 laŋ1 tsɿ3 形容体质较差。
□精精 laŋ1 tɕin1 tɕin1 形容瘦弱的样子。
攮 laŋ3 ①来回摇晃器皿中的液体来清理容器：把杯子~一下。②把衣服放入水中来回揉动：请把衣服~干净后再晒。
㫰 liaŋ5 ①晒：~衣服。②雨过天晴：等天~了我们在赶路。
浪个 liaŋ5 ko5 那样：~多人来看热闹啊？
痨痢壳壳 lɐɤ2 li5 kʰo2 kʰo2 肺病。
□ lia2 脱落：皮子都晒~了。
亮绍 liaŋ5 sɐɤ5 明亮。
潦 liɐɤ2 把生菜放在开水里烫一下：~酸菜。
□光 lin1 kuaŋ1 没有剩一点东西：昨晚上打牌输得个~。
搂起 lɵu1 tɕʰi3 ①使劲：你要~往上抬。②用绳索绑住某物使其不掉下。
拢 loŋ3 到达：你~了没有。
漉 lu1 从液体中捞、网某物：我们今天去~鱼。
□ luei1 追：他跑了，你快去~。
轧 ka2 ①割，剪：他把电线~了。②掐：把面条~断。
嘎 ka3 ①猪肉：想买点~回去。②形容人长得肥胖：他这人一身的~。
干 kæ̃1 ①未劳而获：~得了好多钱。②少的，没有多余的：一天~做这些。③手边经济紧张：这几天手里~得很。④无意义：这回~讲，没有人听。⑤毫无目的地：你一天~走；~调皮。⑥净的，没有附加：~工资。⑦白白地忙活：~忙了一场。
干筋筋 kæ̃1 tɕin1 tɕin1 干瘦的样子：~，瘦壳壳。
干筋瘦壳 kæ̃¹ tɕin1 sɵu5 kʰo2 单薄瘦弱的样子：~，日屄万恶。
干焦焦 kæ̃1 tɕiɐɤ1 tɕiɐɤ1 形容水分少，干燥：没有水喝，嘴巴~的。
干扯 kæ̃1 tsʰɛ3 毫无意义地说说。
干燥 kæ̃1 sɐɤ5 干燥：室内好~。
干兴 kæ̃1 ɕin5 全部，大家：~下午到我家吃饭。
搞豪 kɐɤ5 xɐɤ3 ①贪心：他吃饭太~了。②小孩性情不定：他~得很，一天都到捞。
隔奶 kei2 læe3 小孩子长到一定年龄就不再让他喝母亲的奶汁。
□ kɛ3 粪便：屙~。
□ kei2 ①割：帮这块肉~下来。②杀掉：他再乱说，我们把他~了。
跟倒 kən1 tɐɤ3 ①随即：天黑了，你要~我们走。②顺着、沿着：你~这条山路走就到了。
哽 kən3 噎住：吃饭~住了。
裹 ko3 ①染、粘：你的衣服上到哪点~的灰。②混在一起：你不要一天都和那些二流子~了。③缠绕：帮我头上的帕子~好点。④发生不正常的性关系：他两个~在一起了。
过 ko5 ①采取…的方式：教育学生~打不行。②与之前相比变小了：火要~了勒，加点柴。③离开原地：这里太窄了，再走~去点。
钩 kɵu1 用带钩的针编织：你帮我~件毛衣吧。
够 kɵu5 ①满意了：我吃~饭了。②竭力伸长手臂去拿或摸：我的手~不着书啊。
够得 kɵu5 tei2 需要很多时间：这本书~你看。
躬 kɵu2 弯着身子：睡平起，不要~起睡。
拱 koŋ3 ①用头去顶或撞某物：猪又到~圈了。②冒出：他的头上~起个大包。
拱 koŋ5 钻：人太多了，~都~不通。
古 ku3 ①执拗：他的脾气越来越~了。又作“日古”。②耍痞：这孩子太~人了。③欺压：你不要~我。
古倒起吃 ku3 tɐɤ3 tɕʰi3 tsʰɿ2 优势明显，但表现得很霸道：你的牌好，你就~。
古倒 ku3 tɐɤ3 坚持：天黑了，但他~要走。
圪腻 kei2 li3 人体皮肤上的污垢：小孩自己下河洗澡一般都不搓~。
卡 kʰa3 阻拦：~倒点他，不让他投篮。
刮毒 kʰua2 tu2 阴险狠毒。
挂角亲 kʰua5 tɕiɐɤ2 tɕʰin1 指已疏远的亲戚关系。
拐 kʰuæe3 糟糕：这回搞~了。又作“拐火”。
归一 kʰuei1 i2 完，尽：你把这事搞~起。又作“收火”。
鬼火戳 kʰuei3 xo3 tsʰo2 极想发怒的样子。
鬼眉实眼 kʰuei3 mei2 sɿ2 iɛ̃3 不成样子，又作“花罩吉稀”。
跪搓衣板 kʰuei5 tsʰo1 i1 pæ̃3 小孩受家长或丈夫受妻子的惩罚：你再不回去，要着老妑妑（老婆）~。
交 kɐɤ1 遍：到处找~了，都没找到。
搞倒事 kɐɤ3 tɐɤ3 sɿ5 得到好处，成功：这回着他~了。
关火 kuæ̃1 xo3 ①管用。他说话不~？②厉害，含有贬义色彩：你~，你来做这件事。
关风 kuæ̃1 fən1 守口如瓶。
国 kuæ̃2 自己：你~不展劲，还怪哪个？
灌 kuæ̃5 感染化脓。脓包疮~了。
刚kaŋ3 ①一会儿。②阵，股：一~风。
刚刚kaŋ1 kaŋ3 一小会儿。又作“等刚刚”。
光生 kuaŋ1 sən3 平滑而光洁。
光板 kuaŋ5 pæ̃3 指麻将白板。
拱 koŋ3 暗中使坏：你这回升官，有好多人~你呢。
寡 kʰua3 ①缺少油水：你看这菜炒得清汤~水的。②很：这汤~咸。
寡母子 kʰua3 mu3 tsɿ3 孤苦一人。
寡丁崽 kʰua3 tin1 tsæe3 孤儿。
寡蛋 kʰua3 tæ̃5 孵小鸡孵坏后而变质的蛋。
乖 kʰuæe1 ①可爱：这孩子长得好~。②依顺、听话：张三是个~孩子。③漂亮：这女孩子长得好~哟。
拐 kʰuæe3 出错了：这件事搞~了。
拐拐 kʰuæe3 kʰuæe3 转弯处。
拐弯磨脚 kʰuæe3 uæ̃1 mo5 tɕio2 形容说话不直爽，又具有隐含的话语：他~说你啊。
怪值不得 kʰuæe5 tsɿ2 pu2 tɛ2 表示很惊奇的样子：~他没来和我们玩，原来是他要在家做作业。
惯肆 kʰuæ̃5 sɿ5 溺爱、放纵：你不要太~孩子，这样对他不好。
光胯胯 kuaŋ1 kʰuæ̃3 kʰuæ̃3 形容赤身露体。
光波 kuaŋ5 po1 剃光后的头。
归着 kʰuei1 tso2 ①整齐、工整：他的字写得~；他这一身穿得太~了。
□ kʰa1 ①双手掐住：我用手~死你。②夹住：我的脚被石头~住了。③故意刁难：他想~你。④量词，大指与食指张开的距离：我的笔有一~长。
旮旮 kʰa1 kʰa1 角落。又作“旮旯”。
旮旮角角 kʰa1 kʰa1 ko2 ko2 每个角落：我们找遍了~，都不见他的踪影。
开麻生子 kʰæe1 ma2 sən1 tsɿ3 皮肤因受冻而裂口。
开顶 kʰæe1 tin3 头顶掉发。
开黄腔 kʰæe1 xuaŋ2 tɕʰiaŋ1 说外行话，不懂装懂。
开交 kʰæe1 tɕiɐɤ1 应付：你现在不好好学，晓得将来张个~。
揩屁股 kʰæe1 pʰi5 ku3 替别人收拾残局：你搞起这个烂摊子，要我来给你~。
坎脑壳哩 kʰæ̃3 lɐɤ3 kʰo2 li2 骂人的话。
坎切 kʰæ̃3 tɕʰi2 果断：你做事应该点~。
靠头 kʰɐɤ5 tʰɵu2 依靠：他太穷了，都没有~了。
壳拽 kʰo2 tsæe5 用手指去敲打对方的头。你在说话，等哈我科你两~。
瞌睡眯须 kʰo2 suei5 mi2 ɕy1 ①昏昏欲睡的样子。②疲倦的样子。
空绍 kʰoŋ1 sɐɤ5 ①房子、场地等空旷。这房子太~了。②头脑聪明：他的脑壳太~了。
空捞捞 kʰoŋ1 lɐɤ1 lɐɤ1 相当于“空荡荡”。例如：车里~的。
抠 kʰɵu1 ①挖：到土头去~地萝卜吃。②抓、挠：~背。③小气、吝啬：他这个人最~。
箍 kʰu1 ①双手怀抱：放开手，你~倒我了。②看管：你要帮他~倒起，不要让他乱来。
磕 kʰo1 敲打头部：他如果不听话，你就~他几下。又作“敲磕拽”。
垮杆 kʰua3 kæ̃3 失败：他这次~了，着警察抓了。
开叫 kʰæe1 tɕiɐɤ5 ①指公鸡成熟后的第一次叫声。②开始：我的牌，都还没~，你就和了。
快当 kʰuæe5 taŋ5 速度快。还不~点。
考人 kʰɐɤ3 zən2 棘手，难办，为难人：这件事有点~哦。
看 kʰæ̃5 欠：（打牌时）~你一手。
宽稍 kʰuæ̃1 sɐɤ1 宽敞。
侃 kʰuæ̃3 ①夸海口：你不要一天到处~大话。②碰倒，拦倒：你~倒我脚杆了。
诓 kʰuaŋ1 ①看管，哄，逗：你帮我~一下娃娃。②哄骗：~鸡进笼。
