聲韻	調	
pʱiɑᵘ	˩˦	瓢嫖薸樸
pʱiɑᵘ	˧˥	瞟漂剽剖
pʱiɑᵘ	˥˥˦	票漂₂
miɑᵘ	˦˦˧	瞄₁喵
miɑᵘ	˩˦	苗描瞄₂貓(白)謀
miɑᵘ	˩	秒緲渺藐邈某畝牡
miɑᵘ	˥˥˦	秒妙繆謬
miɑᵘ	˨˨˧	廟茂貿
tiɑᵘ	˦˦˧	刁叼貂碉凋雕
tiɑᵘ	˧˥	鳥(白)屌
tiɑᵘ	˥˥˦	吊₂(文)釣調₁(文)掉(文)悼
tʱiɑᵘ	˦˦˧	挑₁佻祧(～fu：堂屋也)
tʱiɑᵘ	˩˦	調₂條迢
tʱiɑᵘ	˧˥	斢窕
tʱiɑᵘ	˥˥˦	眺跳佻糴糶
tʱiɑᵘ	˨˨˧	吊₂(白)掉調(白)撂
liɑᵘ	˩˦	遼療僚潦瞭₁撩燎寥聊嬲
liɑᵘ	˩	了瞭₂
liɑᵘ	˥˥˦	廖(文)
liɑᵘ	˨˨˧	料廖(白)尦
ʦiɑᵘ	˦˦˧	焦蕉礁椒
ʦiɑᵘ	˧˥	剿
ʦiɑᵘ	˥˥˦	醮
ʦʱiɑᵘ	˦˦˧	繰劁鍬邀(訓)
ʦʱiɑᵘ	˩˦	樵瞧憔
ʦʱiɑᵘ	˧˥	悄
ʦʱiɑᵘ	˥˥˦	俏鞘峭
ʦʱiɑᵘ	˨˨˧	噍
siɑᵘ	˦˦˧	肖宵霄逍消銷硝蛸蕭瀟簫
siɑᵘ	˧˥	小筱
siɑᵘ	˥˥˦	笑嘯肖₂
kiɑᵘ	˦˦˧	驕嬌澆交(文)膠(文)蛟郊
kiɑᵘ	˧˥	繳矯僥鉸狡餃絞皎攪(文)
kiɑᵘ	˥˥˦	叫₁教(文)校₁(文)較₁(文)
kʱiɑᵘ	˦˦˧	蹺翹
kʱiɑᵘ	˩˦	喬蕎橋僑
kʱiɑᵘ	˧˥	巧(文)
kʱiɑᵘ	˩	藠撬□(發～)
kʱiɑᵘ	˥˥˦	竅
kʱiɑᵘ	˨˨˧	轎
ŋiɑᵘ	˦˦˧	蹘(猶言翹也)
ŋiɑᵘ	˩˦	饒堯蕘(～塘水庫)撓鐃
ŋiɑᵘ	˩	繞
ŋiɑᵘ	˥˥˦	尿(文：射～)
ŋiɑᵘ	˨˨˧	尿
xiɑᵘ	˦˦˧	囂嘵
xiɑᵘ	˩˦	肴淆爻
xiɑᵘ	˧˥	曉
xiɑᵘ	˥˥˦	孝(文)酵哮
xiɑᵘ	˨˨˧	效₂校効俲
Ǿiɑᵘ	˦˦˧	要₁腰妖夭麼邀
Ǿiɑᵘ	˩˦	窯搖謠徭瑤遙姚爻
Ǿiɑᵘ	˧˥	窈
Ǿiɑᵘ	˩	舀擾
Ǿiɑᵘ	˥˥˦	要₂
Ǿiɑᵘ	˨˨˧	耀鷂
təᵚ	˦˦˧	都
təᵚ	˧˥	堵睹賭肚₁
təᵚ	˥˥˦	妒蠹
tʱəᵚ	˩˦	圖塗途徒屠
tʱəᵚ	˧˥	土
tʱəᵚ	˩	肚₂
tʱəᵚ	˥˥˦	兔吐
tʱəᵚ	˨˨˧	杜度渡鍍
ləᵚ	˦˦˧	氌鑪(言鏽也)low(言水準不高也)
ləᵚ	˩˦	盧廬蘆鸕爐奴
ləᵚ	˧˥	□(言塗抹也)
ləᵚ	˩	魯櫓鹵虜努
ləᵚ	˥˥˦	漉□(打～：一種迷信活動也)
ləᵚ	˨˨˧	路鷺露怒
ʦəᵚ	˧˥	阻(又)
ʦʱəᵚ	˧˥	楚(又)
səᵚ	˧˥	數₂(～一～二)所(又：～以)
səᵚ	˥˥˦	數₁(又)素(又)
ʧəᵚ	˦˦˧	周州洲舟
ʧəᵚ	˧˥	肘帚
ʧəᵚ	˥˥˦	晝咒籀
ʧʱəᵚ	˦˦˧	抽
ʧʱəᵚ	˩˦	酬綢稠籌儔疇躊售誰讎仇(文)
ʧʱəᵚ	˧˥	丑醜
ʧʱəᵚ	˥˥˦	臭
ʃəᵚ	˦˦˧	收
ʃəᵚ	˩˦	仇(白)讎
ʃəᵚ	˧˥	守手首
ʃəᵚ	˩	叔(變，～叔)
ʃəᵚ	˥˥˦	獸叔(變，叔～)
ʃəᵚ	˨˨˧	壽受授綬
tiᵚ	˦˦˧	丟
liᵚ	˦˦˧	溜₁飗
liᵚ	˩˦	留瑠榴流硫琉劉瀏
liᵚ	˩	柳榴
liᵚ	˥˥˦	綹溜₂廖(又)
liᵚ	˨˨˧	餾鎦瘤溜₃
ʦiᵚ	˦˦˧	揪
ʦiᵚ	˩˦	□(言人集在一起也)
ʦiᵚ	˧˥	酒
ʦiᵚ	˥˥˦	鷲㲃
ʦʱiᵚ	˦˦˧	秋湫
ʦʱiᵚ	˩˦	囚泅虯酋
ʦʱiᵚ	˥˥˦	鰍
ʦʱiᵚ	˨˨˧	就袖
siᵚ	˦˦˧	修羞
siᵚ	˥˥˦	秀繡鏽
kiᵚ	˦˦˧	糾赳鳩鬮
kiᵚ	˧˥	九久玖灸韭
kiᵚ	˥˥˦	救究咎廄疚
kʱiᵚ	˦˦˧	丘邱
kʱiᵚ	˩˦	求球裘
kʱiᵚ	˩	舅臼
kʱiᵚ	˥˥˦	梂
kʱiᵚ	˨˨˧	舊柩
ŋiᵚ	˦˦˧	妞
ŋiᵚ	˩˦	牛揉(白)
ŋiᵚ	˩	扭(文)紐鈕
ŋiᵚ	˥˥˦	扭(白)拗₂
xiᵚ	˦˦˧	休
xiᵚ	˧˥	朽
xiᵚ	˩	□(言很神氣、很自大貌也)
xiᵚ	˥˥˦	嗅(文)
Ǿiᵚ	˦˦˧	攸悠幽優憂
Ǿiᵚ	˩˦	游遊尤猶由油郵柔₁蹂揉(文)
Ǿiᵚ	˩	有友酉
Ǿiᵚ	˥˥˦	幼誘
Ǿiᵚ	˨˨˧	又右佑柚釉
fɛʸ	˩˦	浮
fɛʸ	˧˥	否
fɛʸ	˨˨˧	阜覆(又)缶
tɛʸ	˦˦˧	兜蔸逗₁
tɛʸ	˧˥	斗₁抖陡
tɛʸ	˥˥˦	鬥₂
tʱɛʸ	˦˦˧	偷
tʱɛʸ	˩˦	頭投
tʱɛʸ	˧˥	敨
tʱɛʸ	˥˥˦	透
tʱɛʸ	˨˨˧	豆逗痘竇
lɛʸ	˦˦˧	摳(訓)瞘(訓)
lɛʸ	˩˦	樓
lɛʸ	˩	婁縷摟簍屢
lɛʸ	˥˥˦	褥
lɛʸ	˨˨˧	漏陋
ʦɛʸ	˦˦˧	鄒鯫諏
ʦɛʸ	˧˥	走
ʦɛʸ	˥˥˦	揍皺縐
ʦʱɛʸ	˦˦˧	搊掫(搬也)
ʦʱɛʸ	˩˦	愁
ʦʱɛʸ	˥˥˦	奏湊
ʦʱɛʸ	˨˨˧	驟
sɛʸ	˦˦˧	搜餿
sɛʸ	˧˥	叟艘擻
sɛʸ	˥˥˦	瘦漱嗽
kɛʸ	˦˦˧	勾鉤溝篝
kɛʸ	˧˥	狗枸苟
kɛʸ	˥˥˦	購構夠垢
kʱɛʸ	˦˦˧	摳瞘
kʱɛʸ	˩˦	□(言搔癢也)
kʱɛʸ	˧˥	口
kʱɛʸ	˥˥˦	扣叩蔻寇
ŋɛʸ	˦˦˧	謳歐毆鷗
ŋɛʸ	˧˥	嘔
ŋɛʸ	˩	偶藕鳥(文)
ŋɛʸ	˥˥˦	慪漚
xɛʸ	˦˦˧	齁
xɛʸ	˩˦	猴喉䞀侯瘊
xɛʸ	˧˥	吼
xɛʸ	˩	厚
xɛʸ	˨˨˧	后後候
xiɛ	˧˥	曉(又，不～得)
pan	˦˦˧	班斑頒掰扳
pan	˧˥	板版
pan	˥˥˦	扮跘
pʱan	˦˦˧	攀
pʱan	˧˥	爿
pʱan	˩	□(扔也)
pʱan	˥˥˦	盼襻絆袢
pʱan	˨˨˧	辦瓣
man	˩˦	蠻
man	˩	晚₁(～崽：言排行最小也)
man	˥˥˦	邁漫(文)□(看也)
man	˨˨˧	曼蔓幔慢墁
fan	˦˦˧	番蕃藩翻
fan	˩˦	凡帆礬還(文)環寰煩樊繁
fan	˧˥	反返□(罵人也)
fan	˩	犯(白：制～，一種迷信活動也)
fan	˥˥˦	販泛
fan	˨˨˧	飯犯(文)氾范範患宦幻
tan	˦˦˧	擔丹單耽眈覘
tan	˧˥	膽撣
tan	˥˥˦	旦擔石₁
tʱan	˦˦˧	灘攤癱坍
tʱan	˩˦	彈₂痰談檀壇曇
tʱan	˧˥	坦袒毯啖誕
tʱan	˩	但淡氮
tʱan	˥˥˦	嘆歎炭碳
tʱan	˨˨˧	但(又)蛋彈₁憚撣
lan	˩˦	藍籃蘭攔欄難₁
lan	˩	欖纜攬懶讕
lan	˥˥˦	覽濫難₂(文)
lan	˨˨˧	爛難₂(白)
ʦan	˦˦˧	掙
ʦan	˧˥	攢斬嶄盞
ʦan	˥˥˦	贊灒瓚站₁綻䋎蘸
ʦʱan	˦˦˧	餐攙摻羼
ʦʱan	˩˦	殘慚涎(白)饞讒□(蜇也)
ʦʱan	˧˥	產鏟
ʦʱan	˩	湛棧□(擋住)
ʦʱan	˥˥˦	粲璨燦懺孱潺綻(破～)
ʦʱan	˨˨˧	暫站₂賺棧
san	˦˦˧	三山訕衫刪珊閂栓拴
san	˧˥	散₁傘
san	˥˥˦	散₂涮疝
ʧan	˦˦˧	占沾粘氈詹瞻
ʧan	˧˥	展輾
ʧan	˥˥˦	占佔戰顫
ʧʱan	˩˦	纏禪(又)蟬(文，又)
ʧʱan	˧˥	闡
ʃan	˦˦˧	扇₁膻羶
ʃan	˩˦	禪蟬(文嬋)
ʃan	˧˥	閃陝
ʃan	˥˥˦	扇₂煽□(語氣詞)
ʃan	˨˨˧	善蟮繕膳贍擅單
kan	˦˦˧	間₁奸尷監₁
kan	˧˥	簡柬揀擀減堿
kan	˥˥˦	間₂諫艦監₂鑒鑑
kʱan	˦˦˧	艱戡
kʱan	˧˥	檻槏(～眼：窗戶)
kʱan	˥˥˦	嵌看₁(旁)
ŋan	˦˦˧	淹(白)庵鵪
ŋan	˩˦	顏嚴頑□(～媳婦)
ŋan	˧˥	掩(白)□(～事：舊事)
ŋan	˩	眼俺
ŋan	˥˥˦	晏諺(白)
ŋan	˨˨˧	雁
xan	˦˦˧	艱(又)
xan	˩˦	咸鹹銜閑邯還₂(白)
xan	˧˥	喊瞰
xan	˩	□(～□□□，言正好也)
xan	˥˥˦	□(□□～□，言正好也)
xan	˨˨˧	陷限莧
kwan	˦˦˧	關鰥
kwan	˥˥˦	慣
kʱwan	˩	摜
Ǿwan	˦˦˧	彎灣豌
Ǿwan	˩˦	頑(文)玩(文)還(白)紈
Ǿwan	˧˥	挽輓
Ǿwan	˩	晚
Ǿwan	˥˥˦	灣(又)
Ǿwan	˨˨˧	萬
ʧʯan	˦˦˧	涓捐娟鵑專磚占₂(又：～卦)沾(又)粘(又)氈(又)詹(又)瞻(又)
ʧʯan	˧˥	卷₁轉₁展(又)輾(又)
ʧʯan	˥˥˦	卷₂棬眷絹轉₂顫(又)
ʧʱʯan	˦˦˧	圈川穿釧
ʧʱʯan	˩˦	拳權顴傳纏(又)
ʧʱʯan	˧˥	犬吠喘舛闡(又)
ʧʱʯan	˥˥˦	勸券串
ʧʱʯan	˩	□(用手巾掃掉灰塵也)
ʧʱʯan	˨˨˧	倦傳篆
ɳʯan	˩˦	原(文)源(文)塬鉛(舊)元阮
ɳʯan	˩	軟
ɳʯan	˨˨˧	硯(白)願
ʃʯan	˦˦˧	軒喧掀揎
ʃʯan	˩˦	玄(文)眩懸椽船蟬(白)
ʃʯan	˥˥˦	炫眩(又)絢□(丟也)
ʃʯan	˨˨˧	縣
Ǿʯan	˦˦˧	冤淵箢鴛
Ǿʯan	˩˦	員圓園袁轅猿援媛緣垣然燃(文)完₂(白)丸
Ǿʯan	˩	遠
Ǿʯan	˥˥˦	怨
Ǿʯan	˨˨˧	院苑
pɔn	˦˦˧	般搬
pɔn	˥˥˦	半
pʱɔn	˦˦˧	潘
pʱɔn	˩˦	盤磐槃
pʱɔn	˩	伴拌
pʱɔn	˥˥˦	拚判叛畔泮
mɔn	˩˦	饅瞞
mɔn	˩	滿
mɔn	˨˨˧	漫(白，溢出也)
fɔn	˦˦˧	歡
fɔn	˩˦	桓完₁(文)
fɔn	˧˥	皖
fɔn	˩	緩
fɔn	˥˥˦	煥浣
fɔn	˨˨˧	喚換
tɔn	˦˦˧	端篅
tɔn	˧˥	短□(攔截也)
tɔn	˥˥˦	椴□(罵也)
tʱɔn	˦˦˧	貪
tʱɔn	˩˦	譚潭罈團
tʱɔn	˧˥	毯(舊)湍
tʱɔn	˩	斷緞氹
tʱɔn	˥˥˦	探
tʱɔn	˨˨˧	段鍛塅
lɔn	˦˦˧	喃
lɔn	˩˦	男南楠喃欒圞鸞婪
lɔn	˩	暖
lɔn	˨˨˧	亂
ʦɔn	˦˦˧	簪鑽₁
ʦɔn	˧˥	纂
ʦɔn	˥˥˦	鑽₂
ʦʱɔn	˦˦˧	參竄氽
ʦʱɔn	˩˦	蠶䂎
ʦʱɔn	˧˥	慘
ʦʱɔn	˩	撰噆躥
ʦʱɔn	˥˥˦	竄篡
ʦʱɔn	˨˨˧	鏨
sɔn	˦˦˧	酸痠
sɔn	˥˥˦	蒜算
kɔn	˦˦˧	甘泔柑幹₁(文)乾杆肝竿
kɔn	˧˥	敢橄感
kɔn	˥˥˦	幹幹₂贛
kʱɔn	˦˦˧	刊勘堪龕瞰看₂(～護)
kʱɔn	˩˦	□(彎也：～腰)
kʱɔn	˧˥	坎砍侃
kʱɔn	˩	弇(訓，拿被子蓋著也)
kʱɔn	˥˥˦	磡看₁(文：～望)
ŋɔn	˦˦˧	安鞍諳
ŋɔn	˧˥	揞(低頭也)
ŋɔn	˥˥˦	暗按案
ŋɔn	˨˨˧	岸玩(白)
xɔn	˦˦˧	鼾憨酣
xɔn	˩˦	寒函含韓涵
xɔn	˩	旱悍撼罕
xɔn	˥˥˦	漢熯
xɔn	˨˨˧	汗焊銲憾翰
kwɔn	˦˦˧	幹₁(白)官棺觀₁冠₁訖(訓)
kwɔn	˧˥	管館趕稈果(又)
kwɔn	˥˥˦	貫灌罐瓘觀₂冠₂
kʱwɔn	˦˦˧	寬
kʱwɔn	˧˥	款
Ǿwɔn	˩˦	圞(訓：～心)完₁(文)
Ǿwɔn	˧˥	碗腕
Ǿwɔn	˩	宛婉惋
pen	˦˦˧	崩
pʱen	˦˦˧	抨(～擊)烹
pʱen	˩˦	彭(文)膨(文)澎(文)
pʱen	˩	憑(訓：靠住也)
pʱen	˨˨˧	憑(訓：靠住也)
men	˩˦	萌盟
men	˥˥˦	□(牽、拉也)
fen	˦˦˧	轟訇
fen	˩˦	橫(文)
ten	˦˦˧	燈登鐙蹬(文)
ten	˧˥	等磴戥
ten	˥˥˦	凳瞪
tʱen	˦˦˧	吞
tʱen	˩˦	騰滕藤謄疼
tʱen	˧˥	*隥
tʱen	˥˥˦	僜(～頭：鄰居也（見《詞源》）)
tʱen	˨˨˧	鄧□(說話時斷時停也)
len	˦˦˧	撚
len	˩˦	能楞
len	˩	冷(文)棱(文)撚(～緊：握緊也)
ʦen	˦˦˧	砧榛臻曾₁增僧罾爭(文)箏掙睜(文)
ʦen	˧˥	□(損、朽也)
ʦen	˥˥˦	憎甑
ʦʱen	˦˦˧	參₂撐(文)
ʦʱen	˩˦	岑涔梣層曾₂
ʦʱen	˩	撳(用手壓也，或作“捘”)
ʦʱen	˥˥˦	襯蹭
ʦʱen	˨˨˧	贈
sen	˦˦˧	森參₂僧生(文)牲笙甥
sen	˧˥	省(文)眚
ken	˦˦˧	根跟更₁(文)庚羹(文)耕(文)
ken	˧˥	哽(文)粳耿梗(文)整(訓)
ken	˥˥˦	更₂埂亙
kʱen	˦˦˧	坑
kʱen	˧˥	很(又)墾懇肯啃
ŋen	˦˦˧	恩
ŋen	˧˥	摁(硌也)
ŋen	˨˨˧	硬(文)
xen	˦˦˧	亨哼
xen	˩˦	衡恆痕
xen	˧˥	佷很狠
xen	˩	□(言有把柄抓在人手裏也)
xen	˨˨˧	恨
piɛn	˦˦˧	邊鞭鲏鳑(～屎：魚名也，即鳑鲏)
piɛn	˧˥	扁編蝙匾貶
piɛn	˥˥˦	變遍
pʱiɛn	˦˦˧	偏篇編(又)翩
pʱiɛn	˩˦	便₂駢
pʱiɛn	˧˥	匾(又)
pʱiɛn	˥˥˦	片騙汴避₂
pʱiɛn	˨˨˧	辯辨辮便₁
miɛn	˩˦	棉綿□(～秤)眠
miɛn	˩	免勉緬娩冕
miɛn	˥˥˦	□(牽、拉也)
miɛn	˨˨˧	面麫麺
tiɛn	˦˦˧	顛癲巔踮掂
tiɛn	˧˥	點典碘
tiɛn	˥˥˦	店癲巔踮掂
tʱiɛn	˦˦˧	添天
tʱiɛn	˩˦	田甜恬填
tʱiɛn	˧˥	舔腆
tʱiɛn	˩	簟
tʱiɛn	˥˥˦	拼(訓，～命)
tʱiɛn	˨˨˧	奠電殿佃墊澱靛
liɛn	˩˦	簾聯憐連鰱蓮漣簾濂廉鐮奩
liɛn	˩	臉斂
liɛn	˥˥˦	煉練斂(又)
liɛn	˨˨˧	殮鏈戀
ʦiɛn	˦˦˧	尖煎₁殲箋
ʦiɛn	˧˥	剪
ʦiɛn	˥˥˦	箭煎₂餞薦僭牮
ʦʱiɛn	˦˦˧	千遷芊簽
ʦʱiɛn	˩˦	錢潛前泉全痊挦
ʦʱiɛn	˧˥	淺
ʦʱiɛn	˥˥˦	倩塹
ʦʱiɛn	˨˨˧	漸踐賤濺旋
siɛn	˦˦˧	仙鮮先宣
siɛn	˩˦	潛(又)涎(文)旋璿漩
siɛn	˧˥	選癬
siɛn	˥˥˦	線羨腺鏾
kiɛn	˦˦˧	肩掮兼堅𣚙
kiɛn	˧˥	繭儉撿檢筧
kiɛn	˥˥˦	建劍見
kʱiɛn	˦˦˧	謙牽₁繾(～布)
kʱiɛn	˩˦	鉗箝乾虔黔
kʱiɛn	˧˥	遣譴歉
kʱiɛn	˥˥˦	歉(又)牽₂欠芡纖
kʱiɛn	˨˨˧	件儉健鍵腱
ŋiɛn	˦˦˧	拈研蔫
ŋiɛn	˩˦	年閻言原(白)源(白)燃(白)
ŋiɛn	˩	儼輦攆碾染撚冉□(猶言“哪”也)
ŋiɛn	˥˥˦	諺(文)□(踮起腳後跟也)
ŋiɛn	˨˨˧	念驗硯(文)釅
xiɛn	˦˦˧	掀(又)
xiɛn	˩˦	賢嫌玄(白)弦舷
xiɛn	˧˥	險顯
xiɛn	˥˥˦	憲獻餡
xiɛn	˨˨˧	現
Ǿiɛn	˦˦˧	煙菸胭閹淹(文)醃焉燕₁
Ǿiɛn	˩˦	鹽炎延筵簷沿芫
Ǿiɛn	˧˥	厴
Ǿiɛn	˩	演掩(文)魘衍
Ǿiɛn	˥˥˦	宴厭咽燕₂堰
Ǿiɛn	˨˨˧	豔焰
pən	˦˦˧	畚奔₁錛
pən	˧˥	本
pən	˥˥˦	奔₂賁
pʱən	˦˦˧	噴烹(又)
pʱən	˩˦	盆湓豮(～豬)
pʱən	˩	笨坌(訓，混也)
mən	˦˦˧	蚊(訓：～蟲，蚊子也)
mən	˩˦	門們
mən	˧˥	□(言木材腐爛變質也)
mən	˥˥˦	燜懣蚊(訓)
mən	˨˨˧	悶
fən	˦˦˧	分₁紛芬氛渾葷昏婚
fən	˩˦	墳渾(又)魂餛焚
fən	˧˥	粉
fən	˩	混
fən	˥˥˦	奮糞忿憤噴
fən	˨˨˧	分₂份諢
tən	˦˦˧	蹲(餘虎～，“餘蠻子”原名也)蹬(白)敦(文)墩(三～：平江地名也)礅
tən	˧˥	□(小木頭塊也)
tən	˥˥˦	燉飩噸頓盾敦(白)
tʱən	˩˦	豚臀屯囤
tʱən	˧˥	□(打～：言話事停住也)
tʱən	˥˥˦	退(訓，退後也)
tʱən	˨˨˧	遁鈍₁
lən	˦˦˧	□(～子：小魚也)
lən	˩˦	侖淪輪論₁倫崙
lən	˧˥	淪(訓：掉也)
lən	˥˥˦	落(訓：掉也)
lən	˨˨˧	嫩論₂
ʦən	˦˦˧	尊樽遵
ʦən	˧˥	怎
ʦən	˥˥˦	俊浚竣峻
ʦʱən	˦˦˧	村邨皴
ʦʱən	˩˦	存
ʦʱən	˧˥	忖
ʦʱən	˥˥˦	寸
sən	˦˦˧	孫猻
sən	˩˦	旬詢荀徇殉巡循
sən	˧˥	損
sən	˥˥˦	遜絢滲瘆
ʧən	˦˦˧	真珍針貞偵勘斟蒸正₁(文)征
ʧən	˧˥	診枕賑拯整₁(文)
ʧən	˥˥˦	震振賑鎮疹正₂(文)症證政
ʧʱən	˦˦˧	抻蟶稱₁秤₁
ʧʱən	˩˦	陳沉忱塵臣橙澄呈程(文)成(文)誠城(文)盛₁丞承(文)
ʧʱən	˧˥	懲逞騁
ʧʱən	˥˥˦	趁稱₂秤₂
ʧʱən	˨˨˧	陣朕鄭(文)
ʃən	˦˦˧	身申伸紳深娠升聲(文)
ʃən	˩˦	神辰唇晨成(文，又)乘繩塍承(白)
ʃən	˧˥	沈審嬸
ʃən	˩	甚(～物)
ʃən	˥˥˦	勝聖
ʃən	˨˨˧	甚葚慎腎盛₂剩
pin	˦˦˧	賓繽濱檳彬斌瀕豳兵冰
pin	˧˥	稟餅(文)丙柄炳秉
pin	˥˥˦	殯鬢並₁倂
pʱin	˦˦˧	拼姘娉
pʱin	˩˦	貧嬪頻瀕(文)憑平(文)蘋評坪(文)萍瓶屏
pʱin	˧˥	牝品乒
pʱin	˥˥˦	聘
pʱin	˨˨˧	並₁(白)病(文)
min	˦˦˧	抿
min	˩˦	民泯緡閩鳴明(文)名(文)銘冥螟瞑緡
min	˩	敏憫皿
min	˥˥˦	茗
min	˨˨˧	命(文)
tin	˦˦˧	丁(文)釘(文)疔(文)叮
tin	˧˥	頂鼎
tin	˥˥˦	釘(文)訂(文)
tʱin	˦˦˧	汀廳
tʱin	˩˦	亭停渟婷廷庭霆蜓寧(又)
tʱin	˧˥	挺艇
tʱin	˥˥˦	聽₁(文)
tʱin	˨˨˧	定(文)錠
lin	˦˦˧	□(輕輕地也)
lin	˩˦	臨林淋琳鄰鱗燐粼磷麟陵菱淩₁靈玲鈴伶拎零(文)翎(文)寧
lin	˩	凜檁廩領(文)嶺(文)
lin	˥˥˦	令(文，周～釗，平江畫家也)
lin	˨˨˧	令(白)淩₂另
ʦin	˦˦˧	津精(文)睛(文)旌晶
ʦin	˧˥	侭(猶言“蠻”也)井(文)阱
ʦin	˥˥˦	進晉浸
ʦʱin	˦˦˧	親₁侵廳(白)青(文)清(文)蜻
ʦʱin	˩˦	秦尋(白)情晴(文)
ʦʱin	˧˥	寢請(文)
ʦʱin	˩	吮(白)
ʦʱin	˥˥˦	沁親₂
ʦʱin	˨˨˧	盡燼靖靜(文)淨(文)
sin	˦˦˧	心新薪辛鋅星(文)
sin	˩˦	尋(文)蕁秦(又)
sin	˧˥	筍榫醒(文)
sin	˥˥˦	信擤迅訊殉腥(文)性(文)姓
kin	˦˦˧	金禁₁襟今巾斤筋徑涇經(文)京(文)鯨驚(文)荊兢
kin	˧˥	緊謹瑾錦景頸(文)警(文)
kin	˥˥˦	禁₂勁徑莖競竟境鏡(文)敬
kʱin	˦˦˧	欽卿氫輕(文)傾(文)
kʱin	˩˦	琴禽擒芹勤擎(文)瓊
kʱin	˧˥	頃
kʱin	˩	近僅妗
kʱin	˥˥˦	慶(文)罄(文)磬(文)
ŋin	˩˦	銀齦凝吟寧(又)您人(白)
ŋin	˩	擰
ŋin	˥˥˦	吝佞𨈓(猶言“點兒”也)人(包括式也，我～)意(生～)
ŋin	˨˨˧	認
xin	˦˦˧	欣鑫馨興₁
xin	˩˦	形刑邢型行₂
xin	˩	嚚(蠢也)
xin	˥˥˦	釁興₂
xin	˨˨˧	幸杏
Ǿin	˦˦˧	因姻殷音喑陰蔭₁英鷹鶯嬰櫻纓鸚
Ǿin	˩˦	淫贏(文)仍扔寅迎蠅盈營螢(文)瑩熒縈
Ǿin	˧˥	隱
Ǿin	˩	引癮飲₁影(文)穎
Ǿin	˥˥˦	印飲₂蔭₂映應
kwən	˧˥	滾袞鯀
kwən	˥˥˦	棍
kʱwən	˦˦˧	昆鯤焜琨坤堃
kʱwən	˧˥	捆
kʱwən	˥˥˦	困睏
Ǿwən	˦˦˧	溫瘟
Ǿwən	˩˦	文紋蚊(文)雯玟炆聞
Ǿwən	˧˥	穩吻刎
Ǿwən	˩	紊
Ǿwən	˥˥˦	汶蘊
Ǿwən	˨˨˧	問
ʧʯən	˦˦˧	軍皸君均鈞諄
ʧʯən	˧˥	准凖
ʧʯən	˥˥˦	圳
ʧʱʯən	˦˦˧	春椿
ʧʱʯən	˩˦	群裙蓴鶉
ʧʱʯən	˧˥	窘蠢
ʧʱʯən	˩	菌覃郡肫
ʃʯən	˦˦˧	熏薰勳
ʃʯən	˩˦	純淳醇
ʃʯən	˧˥	炯迥瞬盾(舊)
ʃʯən	˥˥˦	訓馴楦舜
ʃʯən	˨˨˧	順
ɳʯən	˨˨˧	閏潤
Ǿʯən	˦˦˧	暈
Ǿʯən	˩˦	云雲芸耘勻筠鄖榮螢(文)人(文)仁仍(又：～至)
Ǿʯən	˧˥	惲
Ǿʯən	˩	允尹永忍
Ǿʯən	˥˥˦	韻醞熨(文)韞慍氳蘊泳詠刃韌仞紉
Ǿʯən	˨˨˧	運孕認(文)壬任妊
pɑŋ	˦˦˧	繃(白，～緊)浜梆(～硬)
pʱɑŋ	˦˦˧	嘭乓(訓)□(猶言一群、一夥也)
pʱɑŋ	˩˦	彭(白澎白膨白棚白：瓜～龐白)
pʱɑŋ	˩	甏(大缸也)呯(～門)
pʱɑŋ	˥˥˦	嘭(～式一下)
mɑŋ	˥˥˦	幪(白)
fɑŋ	˩˦	橫(～批)
fɑŋ	˥˥˦	□(～清)
tɑŋ	˦˦˧	噹(白)鐺
tʱɑŋ	˦˦˧	嘡(白)
lɑŋ	˦˦˧	□(言細、不結實也)
lɑŋ	˩˦	棱(白，印跡也)閬(～場，猶言“地方”也)
lɑŋ	˩	冷(白)
lɑŋ	˥˥˦	□(撐也)
ʦɑŋ	˦˦˧	爭(白)睜(白)
ʦɑŋ	˥˥˦	掙(白)
ʦʱɑŋ	˦˦˧	撐(白)
ʦʱɑŋ	˩˦	□(言不用的物件自己搶佔，不給別人用也)
ʦʱɑŋ	˥˥˦	牚
sɑŋ	˦˦˧	生(白)
sɑŋ	˧˥	省
ʧɑŋ	˦˦˧	正₁(白)
ʧɑŋ	˧˥	整(白)
ʧɑŋ	˥˥˦	正₂(白)
ʧʱɑŋ	˩˦	城(白)程(白：～家園)
ʧʱɑŋ	˨˨˧	鄭(白)
ʃɑŋ	˦˦˧	聲(白)
ʃɑŋ	˩˦	成(白)
kɑŋ	˦˦˧	更₁(白)羹(白)耕(白)
kɑŋ	˧˥	哽(白)
kɑŋ	˩	鯁
kɑŋ	˥˥˦	筻(漁具也)
kʱɑŋ	˦˦˧	坑(白)
kʱɑŋ	˩˦	扛(白)
kʱɑŋ	˧˥	謦(咳嗽也)
kʱɑŋ	˩	□(跨大步也)
kʱɑŋ	˥˥˦	吭(狗～：狗叫也)□(活～～)
ŋɑŋ	˥˥˦	□(言執拗也)
ŋɑŋ	˨˨˧	硬(白)
piɑŋ	˧˥	餅(白)
pʱiɑŋ	˩˦	坪平(白)
pʱiɑŋ	˧˥	□(猶言一“片”也)
pʱiɑŋ	˨˨˧	病(白)
miɑŋ	˩˦	明(白)名(白)
miɑŋ	˨˨˧	命(白)
