漢字	注釋	清流城關	清流林畬	清流長校(長校村)	清流長校(江坊村)	寧化石壁
怖	恐怖	pu²⁴	pʰu²⁴	─	─	─
步		pʰu⁴³	pʰu⁵⁵	pʰu⁵⁵	pʰu⁴⁴	pʰu⁴⁵
墓		─	mu⁵⁵	buʔ⁵⁴	buʔ⁵³	bu⁴⁵
募		─	mu⁵⁵	buʔ⁵⁴	buʔ⁵³	bu⁵³
吐	嘔吐	─	─	tʰu⁴⁵	tʰu⁵⁵	tʰu³¹³
兔		tʰu²⁴	tʰu²⁴	tʰu⁴⁵	tʰu⁵⁵	tʰu³¹³
度		tʰu⁴³	tʰu⁵⁵	tʰu⁵⁵	tʰu⁴⁴	tʰu⁴⁵
渡		tʰu⁴³	tʰu⁵⁵	─	─	tʰu⁴⁵
鍍		tʰu⁴³	tʰu⁵⁵	─	─	tʰu⁴⁵
怒		lu²⁴	lu⁵⁵	─	lu⁵⁵	lu⁴⁵
路		lu⁴³	lu⁵⁵	─	lu⁴⁴	lu⁴⁵
賂		─	lu⁵⁵	─	─	─
露		lu²⁴	lu²⁴~水；lu⁵⁵白~	lu⁴⁵	─	lu³¹³~水；lu⁴⁵白~
鷺		─	lu⁵⁵	─	─	lu⁴⁵
做		tsu²⁴	tsɿ²⁴	─	tso⁵⁵	tsuo³¹³
醋		tsʰu²⁴	tsʰu²⁴	─	tsʰɿ⁵⁵	tsʰu³¹³
措		tsʰo²⁴	─	─	─	tsʰuo³¹³
錯		tsʰo²⁴	tsʰɵ²⁴	─	─	tsʰuo³¹³
素		su²⁴	su⁵⁵	─	sɿ⁵⁵	su³¹³
訴		su²⁴	─	─	sɿ⁵⁵	su³¹³
塑		su²⁴	si⁵⁵	sɿʔ⁵⁴	sɿʔ⁵³	suoʔ⁵⁴
故		ku²⁴	ku²⁴	ku⁴⁵	ku⁵⁵	ku³¹³
固		ku²⁴	ku²⁴	─	─	ku³¹³
雇		─	ku²⁴	─	─	─
顧		ku²⁴	─	─	ku⁵⁵	ku³¹³
庫		kʰu²⁴	kʰu²⁴	─	kʰu⁵⁵	kʰu³¹³
褲		kʰu²⁴	kʰu²⁴	─	kʰu⁵⁵	kʰu³¹³
誤		gu⁴³/vu⁴³	gu⁵⁵	gu⁵⁵	gu⁴⁴	vu⁴⁵
悟		gu⁴³/vu⁴³	─	gu⁵⁵	gu⁴⁴	vu⁴⁵
互		fu⁴³	fu⁵⁵	─	─	fu⁴⁵
護		fu⁴³；fu²⁴	fu⁵⁵	fu⁵⁵	─	fu⁴⁵
惡		o³¹	ɤʔ²	─	oʔ⁵³	uoʔ⁵⁴~vuoʔ⁵⁴
廬		lu¹³	lu²¹	lu²¹	lu²¹	lu¹¹³
徐		ʃy¹³	si²¹	ʃɿ²¹	ʃɿ²¹	tsʰiəu¹¹³
豬		tʃy³³	tsi³³	ku³³	ku²²	tsə³⁵³
