漢字	注釋	清流城關	清流林畬	清流長校(長校村)	清流長校(江坊村)	寧化石壁
炮		pʰɑɔ²⁴	pʰau²⁴	─	─	pʰau³¹³
泡		pʰɑɔ²⁴	pʰau²⁴	─	─	─
貌		mɑɔ⁴³	mau⁵⁵	mau⁵⁵	mau⁴⁴	mau⁴⁵
鬧		lɑɔ⁴³	lau⁵⁵	lau⁵⁵	lau⁴⁴	lau⁴⁵
罩		tʃɑɔ²⁴	─	─	─	─
笊		sɑɔ¹³	─	sau²¹	sau²¹	sau¹¹³
稍		siɑɔ³³	─	─	─	─
教	教育	kɑɔ²⁴	kau²⁴	kau⁴⁵	cau⁵⁵	kau³¹³
校	校對	hɑɔ⁴³	kau²⁴	kau⁴⁵	cau⁵⁵	hau⁴⁵
較		kɑɔ²⁴	kau²⁴	kau⁴⁵	cau⁵⁵	kau³¹³
酵		hɑɔ²⁴	hau⁵⁵	hau⁴⁵	hau⁵⁵	hau⁴⁵；hau³¹³
窖		kɑɔ²⁴	kau²⁴	─	cau⁵⁵	─
覺	睡覺	kiɑɔ²⁴	─	─	cau⁵⁵	kiau³¹³
孝		hɑɔ²⁴	hau²⁴	hau⁴⁵	hau⁵⁵	hau³¹³
效		hɑɔ⁴³	hau⁵⁵	hau⁵⁵	hau⁴⁴	hau⁴⁵
校	學校	hɑɔ⁴³	hau⁵⁵	kau⁴⁵	cau⁵⁵	hau⁴⁵
校	上校	hɑɔ⁴³	hau⁵⁵	─	─	hau⁴⁵
標		piɑɔ³³	piau³³	─	pio²²	piau³⁵³
飄		pʰiɑɔ³³	─	─	pʰio²²	pʰiau³⁵³
嫖		pʰiɑɔ¹³	─	─	─	pʰiau¹¹³
苗		miɑɔ¹³	miau²¹~biau²¹	bio²¹	bio²¹	miau¹¹³
描		miɑɔ¹³	biau²¹	─	─	miau¹¹³
貓		miɑɔ³³	miau²¹	─	bio²⁴	miau³¹³
燎		liɑɔ¹³	─	─	─	liau¹¹³
焦		tsiɑɔ³³	tsiau³³	tsio³³	tsio²²	tsiau³⁵³
蕉		tsiɑɔ³³	tsiau³³	tsio³³	tsio²²	tsiau³⁵³
椒		tsiɑɔ³³	tsiau³³	tsio³³	tsio²²	tsiau³⁵³
鍬		tsʰiɑɔ³³	─	─	─	tsʰiau³⁵³
樵		tsʰiɑɔ¹³	tsʰiau²¹	─	tsʰio²¹	tsʰiau¹¹³
消		siɑɔ³³	siau³³	─	sio²²	siau³⁵³
宵		siɑɔ³³	─	sio³³	sio²²	siau³⁵³
霄		siɑɔ³³	─	sio³³	sio²²	siau³⁵³
硝		siɑɔ³³	─	─	─	siau³⁵³
銷		siɑɔ³³	siau³³	─	─	siau³⁵³
朝		tʃɑɔ³³	─	tʃo³³	tʃo²²	tsau³⁵³
超		tʃʰɑɔ³³	tsʰau³³	tʃʰo³³	tʃʰo²²	tsʰau³⁵³
朝	朝代	tʃʰɑɔ¹³	tsʰau²¹	─	tʃʰo²¹	tsʰau¹¹³
潮		tʃʰɑɔ¹³	tsʰau²¹	─	─	tsʰau¹¹³
昭		tʃɑɔ³³	tsau³³	─	─	tsau³⁵³
招		tʃɑɔ³³	tsau³³	─	tʃo²²	tsau³⁵³
燒		ʃɑɔ³³	tsʰau³³	tʃʰo³³	tʃʰo²²	sau³⁵³
韶	韶關	ʃɑɔ¹³	sau³³	ʃo²¹	ʃo²¹	sau¹¹³
饒		iɑɔ¹³	iau³¹	io²¹	io²¹	ŋiau¹¹³
驕		kiɑɔ³³	kiau³³	kio³³	kio²²	kiau³⁵³
嬌		kiɑɔ³³	kiau³³	kio³³	kio²²	kiau³⁵³
喬		kʰiɑɔ¹³	kʰiau²¹	─	─	kʰiau¹¹³
僑		kʰiɑɔ¹³	kʰiau²¹	kʰio²¹	kʰio²¹	kʰiau¹¹³
橋		kʰiɑɔ¹³	kʰiau²¹	kʰio²¹	kʰio²¹	kʰiau¹¹³
蕎		kʰiɑɔ¹³	kʰiau²¹	─	─	kʰiau¹¹³
囂		siɑɔ³³	siau³³	─	sio²²	─
妖		iɑɔ³³	iau³³	─	io²²	iau³⁵³
邀		iɑɔ³³	iau³³	─	io²²	iau³⁵³
腰		iɑɔ³³	iau³³	─	io²²	iau³⁵³
要		iɑɔ³³	iau³³	─	io²²	iau³⁵³
搖		iɑɔ¹³	iau²¹	─	io²¹	iau¹¹³
謠		iɑɔ¹³	iau²¹	─	io²¹	iau¹¹³
窰		iɑɔ¹³	iau²¹	─	─	iau¹¹³
姚		iɑɔ¹³	iau²¹	─	─	iau¹¹³
表		piɑɔ³¹	piau³¹	pio²⁴	pio²⁴	piau³¹³
錶		piɑɔ³¹	piau³¹	pio²⁴	pio²⁴	piau³¹³
漂		pʰiɑɔ³³	─	pʰio²⁴	pʰio²⁴	pʰiau³¹³
藐		miɑɔ³¹	mau³¹	─	─	miau³¹³
渺		─	miau³¹	─	bio²⁴	miau³¹³
秒		miɑɔ³¹	miau³¹	─	bio²⁴	miau³¹³
燎		─	─	─	─	liau¹¹³
剿		kiɑɔ³¹	tsiau³¹	─	─	tsiau³¹³
悄		tsʰiɑɔ³³	─	─	─	─
小		siɑɔ³¹	siau³¹	sio²⁴	sio²⁴	siau³¹³
趙		tʃʰɑɔ⁴³/tsʰɑɔ⁴³	tsʰau⁵⁵	tʃʰo⁵⁵	tʃʰo⁴⁴	tsʰau⁴⁵
兆		tʃʰɑɔ⁴³	tsau²⁴	─	tʃo⁵⁵	tsʰau⁴⁵
沼		tʃɑɔ³³	─	─	─	─
少	多少	ʃɑɔ³¹	sau³¹	ʃo²⁴	ʃo²⁴	sau³¹³
紹		ʃɑɔ⁴³	sau⁵⁵	─	ʃ(i)o⁴⁴	sau⁴⁵
擾		iɑɔ³¹	ŋiau³¹	─	gio²⁴	lau³¹³
繞		lɑɔ³¹；iɑɔ³¹	lau³¹	─	─	lau³¹³
矯		kiɑɔ³¹	─	─	─	─
舀		iɑɔ³¹	iau³¹	─	─	iau³¹³
票	車票	pʰiɑɔ²⁴	pʰiau²⁴	─	pʰio⁵⁵	pʰiau³¹³
漂	漂亮	pʰiɑɔ²⁴	─	─	─	pʰiau³¹³
廟		miɑɔ⁴³	miau⁵⁵	bio⁵⁵	bio⁴⁴	miau⁴⁵
妙		miɑɔ⁴³	miau⁵⁵	bio⁵⁵	bio⁴⁴	miau⁵³
療		liɑɔ¹³	liau²¹	liau²¹	liau²¹	liau¹¹³
醮		tsiɑɔ²⁴	tsiau²⁴	─	tsio⁵⁵	tsiau³¹³
俏		─	─	─	─	tsʰiau³¹³
噍		─	tsʰiau⁵⁵	tsʰio⁵⁵	tsʰio⁴⁴	tsʰiau⁴⁵
笑		siɑɔ²⁴	siau²⁴	─	sio⁵⁵	siau³¹³
鞘		siɑɔ²⁴	─	─	tsʰio⁴⁴	─
召		tʃʰɑɔ⁴³號~；tʃɑɔ³³~集	tsau³³	─	tʃo⁵⁵	sau⁴⁵
照		tʃɑɔ²⁴	tsau²⁴	─	tʃo⁵⁵	tsau³¹³
詔		tʃʰɑɔ⁴³	─	─	─	tsau⁵³
少	少年	ʃɑɔ²⁴	sau²⁴	─	ʃio⁵⁵	sau³¹³
邵		ʃɑɔ⁴³	─	─	ʃio⁴⁴	sau⁴⁵
轎		kʰiɑɔ⁴³	kʰiau⁵⁵	kʰio⁵⁵	kʰio⁴⁴	kʰiau⁴⁵
要	重要	iɑɔ²⁴	iau²⁴	io⁴⁵	io⁵⁵	iau³¹³
耀		iɑɔ⁴³	iau⁵⁵	io⁵⁵	io⁴⁴	iau⁴⁵
鷂		iɑɔ⁴³	─	─	─	─
刁		tiɑɔ³³	tiau³³	─	─	tiau³⁵³
貂		tiɑɔ³³	─	─	─	tiau³⁵³
雕		tiɑɔ³³	tiau³³	─	tiau²²	tiau³⁵³
挑		tʰiɑɔ³³	tʰiau³³	─	tʰiau²²	tʰiau³⁵³
條		tʰiɑɔ¹³	tʰiau²¹	─	tʰiau²¹	tʰiau¹¹³
調	調和	tʰiɑɔ¹³	tʰiau²¹	─	tʰiau²¹	tʰiau¹¹³
跳		tʰiɑɔ²⁴	tʰiau²⁴	─	─	tʰiau³¹³
聊		liɑɔ¹³	liau²¹	liau²¹	liau²¹	liau¹¹³
遼		liɑɔ¹³	─	─	─	liau¹¹³
撩		liɑɔ³³(挑起)；liɑɔ¹³(捉弄)	liau³³	─	─	liau³⁵³
蕭		siɑɔ³³	siau³³	─	sio²²	siau³⁵³
簫		siɑɔ³³	siau³³	─	sio²²	siau³⁵³
澆		kiɑɔ³³	─	─	─	kiau³⁵³
堯		iɑɔ¹³	iau²¹	gio²¹	gio²¹	iau¹¹³
么		iɑɔ³³	iau³³	─	─	iau⁵⁵
鳥		tiɑɔ³¹	tau³¹	tau²⁴	tau²⁴	tiau³¹³；ŋiau³¹³
了	了結	liɑɔ³¹	liau³¹	─	liau²⁴	liau³¹³
繳		kiɑɔ³³	─	─	─	kiau³¹³
僥		─	─	─	─	kiau³¹³
曉		ʃiɑɔ³¹	sau³¹	ʃio²⁴	sio²⁴	hiau³¹³
釣		tiɑɔ²⁴	tiau²⁴	─	─	tiau³¹³
弔		tiɑɔ²⁴	tiau²⁴	─	─	tiau³¹³
跳		tʰiɑɔ²⁴	tʰiau²⁴	─	tʰiau⁵⁵	tʰiau³¹³
糶		tʰiɑɔ²⁴	tʰiau²⁴	tʰau⁴⁵	tʰau⁵⁵	tʰiau³¹³
掉		tiɑɔ²⁴	─	─	─	tiau⁵³
調	音調	tiɑɔ²⁴	tʰiau⁵⁵	─	tʰiau⁴⁴	tʰiau⁴⁵
調	調動	tiɑɔ²⁴	tiau²⁴	─	tiau⁵⁵	tiau³¹³
尿		ŋiɑɔ⁴³	(ŋ)iau⁵⁵	ŋio⁵⁵~gio⁵⁵	ŋio⁴⁴~gio⁴⁴	giau⁴⁵
料		liɑɔ⁴³	liau⁵⁵	liau⁵⁵	liau⁴⁴	liau⁴⁵
叫		─	─	─	─	kiau³¹³
竅		kʰiɑɔ²⁴	kʰiau²⁴	kʰio⁴⁵	kʰio⁵⁵	kʰiau³¹³
兜		tɤ³³	tai³³	─	tau²²	təu³⁵³
偷		tʰɤ³³	tʰai³³	─	tʰau²²	tʰieu³⁵³
頭		tʰɤ¹³	tʰai²¹	─	tʰau²¹	tʰieu¹¹³/tʰiəu¹¹³
投		tʰɤ¹³	tʰai²¹	─	tʰau²¹	tʰəu¹¹³
樓		lɤ¹³	lai²¹	─	lau²¹	ləu¹¹³
勾		kɤ³³	kai³³	─	─	kəu³⁵³
鉤		kɤ³³	kai³³	─	cau²²	kəu³⁵³
溝		kɤ³³	kai³³	─	cau²²	kəu³⁵³
摳		─	kʰai³³	─	─	kʰəu³⁵³
侯		hɤ¹³	hai²¹	hau²¹	hau²¹	həu¹¹³
喉		hɤ¹³	hai²¹	hau²¹	hau²¹	həu¹¹³
猴		hɤ¹³	hai²¹	hau²¹	hau²¹	həu¹¹³
歐		ɤ³³	ai³³	─	─	əu³⁵³
甌		ɤ³³	─	─	─	əu³⁵³
某		mɤ³¹/bɤ³¹	mai³¹	mau²⁴	mau²⁴	məu³¹³
畝		mɤ³¹/bɤ³¹	mai³¹	mau²⁴	mau²⁴	məu³¹³
牡		mɤ³¹/bɤ³¹	bu³¹	─	mau²⁴	məu³¹³
母		mɤ³¹/bɤ³¹；mu³¹/bu³¹	bue³¹(母親口語)；bu³¹父~	─	bu²⁴；bə²⁴	mə³¹³
拇		bu³¹	─	─	─	mu³¹³
斗		tɤ³¹	tai³¹	tau²⁴	tau²⁴	tieu³¹³
抖		tɤ³¹	tɵ³¹	─	─	─
敨		tʰɤ³¹	tʰai³¹	tʰau²⁴	tʰau²⁴	tʰieu³¹³
簍		lɤ³¹；luɛ³¹	lai³¹	lau²⁴	lau²⁴	ləu¹¹³
走		tsɤ³¹	tsɿ³¹；tsai³¹	tsau²⁴	tsau²⁴	tsəu³¹³
叟		ʃiɤ³¹	─	so²⁴	─	─
狗		kɤ³¹	kai³¹	kau²⁴	cau²⁴	kəu³¹³
口		kʰɤ³¹	kʰai³¹	kʰau²⁴	cʰau²⁴	həu³¹³門~、咬一~；kʰəu³¹³入~、進~
叩		kʰo³¹	kʰai²⁴	kʰo⁵³	kʰo⁵³	kʰəu³¹³
藕		ɤ³¹/ŋɤ³¹	─	au²⁴	au²⁴	əu³¹³
偶	配偶	─	─	au²⁴	au²⁴	əu³¹³
後		hɤ⁴³	hai⁵⁵	hau⁵⁵	hau⁴⁴	həu⁴⁵
厚		hɤ³³；hɤ⁴³	hai⁵⁵；hai³¹	─	─	həu³⁵³
后		hɤ⁴³	hai⁵⁵	─	─	həu⁴⁵
嘔		ɤ³¹	─	au²⁴	au²⁴	─
毆		ɤ²⁴	─	─	─	─
戊		u⁴³	u⁵⁵	─	vu⁴⁴	gu⁴⁵
茂		mɤ⁴³/bɤ⁴³	bau⁵⁵	─	bau⁴⁴	məu⁴⁵
貿		mɤ⁴³/bɤ⁴³	─	─	bau⁴⁴	məu⁴⁵
鬥		tɤ²⁴	tai²⁴	─	tau⁵⁵	təu³¹³
透		tʰɤ²⁴	tʰai²⁴	─	tʰau⁵⁵	tʰieu³¹³
豆		tʰɤ⁴³	tʰai⁵⁵	tʰau⁵⁵	tʰau⁴⁴	tʰieu⁴⁵
逗		─	tai²⁴	─	─	─
漏		lɤ⁴³	lai⁵⁵	lau⁵⁵	lau⁴⁴	liəu⁴⁵
陋		─	─	─	─	ləu⁴⁵
奏		tsɤ²⁴	tsai²⁴	─	tsau⁵⁵	tsəu³¹³
湊		tsʰɤ²⁴	tsʰai²⁴	─	tsʰau⁵⁵	tsʰəu³¹³
嗽		sɤ²⁴	─	sau⁴⁵	sau⁵⁵	səu³¹³
夠		kɤ²⁴	kai²⁴	─	cau⁵⁵	kəu³¹³
構		kɤ²⁴	kai²⁴	kau⁴⁵	cau⁵⁵	kəu³¹³
購		kɤ²⁴	kai²⁴	kau⁴⁵	cau⁵⁵	kəu³¹³
扣		kʰɤ²⁴	kʰai²⁴	kʰau⁴⁵	cʰau⁵⁵	kʰəu³¹³
寇		─	kʰai²⁴	─	─	─
候		hɤ⁴³	hai⁵⁵	hau⁵⁵	─	həu⁴⁵
漚		ɤ²⁴	ai²⁴	au⁴⁵	au⁵⁵	ŋəu³¹³
浮		pʰɑɔ¹³	pʰo²¹；fu²¹	pʰo²¹	pʰo²¹	pʰau¹¹³
謀		mɤ¹³	mai²¹	mau²¹	mau²¹	məu¹¹³
矛		mɑɔ¹³	mau²¹	mau²¹	mau²¹	mau¹¹³
流		liɤ¹³	liu²¹	tiəu²¹	tiəu²¹	liəu¹¹³
劉		liɤ¹³	liu²¹	tiəu²¹	tiəu²¹	liəu¹¹³
留		liɤ¹³	liu²¹	tiəu²¹	tiəu²¹	liəu¹¹³
榴		liɤ¹³	liu²¹	tiəu²¹	tiəu²¹	liəu¹¹³
硫		liɤ¹³	liu²¹	tiəu²¹	tiəu²¹	liəu¹¹³
琉		liɤ¹³	liu²¹	─	─	liəu¹¹³
秋		tsʰiɤ³³	tsʰiu³³	tsʰiəu³³	tsʰiəu²²	tsʰiəu³⁵³
修		siɤ³³	siu³³	siəu³³	siəu²²	siəu³⁵³
羞		siɤ³³	─	siəu³³	siəu²²	siəu³⁵³
囚		kʰiɤ¹³	kʰiu²¹	tsʰiəu²¹	kʰiəu²¹	kʰiəu¹¹³
泅		tsʰio¹³	─	─	─	─
抽		tʃʰɤ³³	tsʰiu³³	tʃʰəu³³	tʃʰəu²²	tsʰəu³⁵³
綢		tʃʰɤ¹³	tsʰiu²¹	tʃʰəu²¹	tʃʰəu²¹	tsʰəu¹¹³
稠		─	─	─	─	tsʰəu¹¹³
籌		tʃʰɤ¹³	tsʰiu²¹	─	─	tsʰəu¹¹³
鄒		tsɤ³³	─	tsau³³	tsau²²	tsəu³⁵³
愁		tʃʰɤ¹³	tsʰiu²¹	tʃʰəu²¹	tʃʰəu²¹	tsʰəu¹¹³
搜		ʃiɤ³³	siu³³	─	─	səu³⁵³
餿		sɤ³³	tsʰai³³	tsʰau³³	tsʰau²²	səu³⁵³
蒐		ʃiɤ³³	─	─	─	─
周		tʃiɤ³³	tsiu³³	tʃəu³³	tʃəu²²	tsəu³⁵³
舟		tʃiɤ³³	─	─	tʃəu²²	tsəu³⁵³
州		tʃiɤ³³	tsiu³³	─	─	tsəu³⁵³
洲		tʃiɤ³³	tsiu³³	─	tʃəu²²	tsəu³⁵³
收		ʃiɤ³³	siu³³	─	ʃəu²²	səu³⁵³
仇		tʃʰɤ¹³	tsʰiu²¹	tʃʰəu²¹	tʃʰ(i)əu²¹	səu¹¹³；tsʰəu¹¹³
酬		tʃʰɤ¹³	tsʰiu²¹	─	─	tsʰəu¹¹³
柔		─	lɵ²¹	─	lo²¹	ləu¹¹³
揉		gio¹³	lɵ²¹；(g)io³³	─	─	gio¹¹³
鳩		kɤ³³	ku³³	─	tsiəu²²	kəu³⁵³
鬮		kɤ³³	kai³³(勾)	kau³³	tsiəu²²	kəu³⁵³；kiəu³⁵³
糾		kiɤ³³	kiu³³	─	─	kiəu³⁵³
丘		kʰɤ³³	kʰiu³³	kʰiəu³³	kʰiəu²²	kʰəu³⁵³
求		kʰiɤ¹³	kʰiu²¹	─	kʰiəu²¹	kʰiəu¹¹³
球		kʰio¹³	kʰiu²¹	─	kʰiəu²¹	kʰiəu¹¹³
仇	姓	tʃʰɤ¹³	─	tʃʰəu²¹	tʃʰəu²¹	─
牛		ŋɤ¹³/gɤ¹³	gai²¹	gau²¹	ɟau²¹	ŋəu¹¹³
休		ʃiɤ³³/siɤ³³	siu³³	─	siəu²²	hiəu³⁵³
憂		iɤ³³	iu³³	iəu³³	iəu²²	iəu³⁵³
優		iɤ³³	iu³³	iəu³³	iəu²²	─
尤		iɤ¹³	iu²¹	─	─	iəu¹¹³
郵		iɤ¹³	iu²¹	iəu²¹	iəu²¹	iəu¹¹³
由		iɤ¹³	iu²¹	─	─	iəu¹¹³
油		iɤ¹³	iu²¹	iəu²¹	iəu²¹	iəu¹¹³
游		iɤ¹³	─	iəu²¹	iəu²¹	iəu¹¹³
猶		─	iu²¹	─	─	iəu¹¹³
悠		─	─	─	─	iəu³⁵³
否		fo³¹	─	fo²⁴	fo²⁴	fəu³¹³
婦		fu⁴³	fu⁵⁵	fu⁵⁵	fu⁴⁴	fu³⁵³
負		fu⁴³	fu⁵⁵	fu⁵⁵	fu⁴⁴	fu⁴⁵
阜		─	─	─	─	fu⁵³
紐		giɤ³¹	liu³¹	giəu²⁴	giəu²⁴	giəu³¹³
扭		giɤ³¹	giu⁵⁵；(g)iu³¹	giəu²⁴	giəu²⁴	giəu³¹³
柳		liɤ³¹	liu³¹	─	tiəu²⁴	liəu³¹³
酒		tsiɤ³¹	tsiu³¹	─	tsiəu²⁴	tsiəu³¹³
肘		─	─	tsʰoʔ²¹	tsʰoʔ²¹	─
丑		tʃʰɤ³¹	tsʰiu³¹	─	tʃʰəu²⁴	tsʰəu³¹³
紂		tʃɤ²⁴	tsiu²⁴	─	─	─
帚		─	─	─	tsau²⁴	tsəu³¹³
醜		tʃʰɤ³¹	tsʰiu³¹	tʃʰəu²⁴	tʃʰəu²⁴	tsʰəu³¹³
手		ʃiɤ³¹	siu³¹	ʃəu²⁴	ʃəu²⁴	səu³¹³
首		ʃiɤ³¹	siu³¹	─	ʃəu²⁴	səu³¹³
守		ʃiɤ³¹	siu³¹	─	ʃəu²⁴	səu³¹³
受		ʃiɤ⁴³	siu⁵⁵	─	ʃəu⁴⁴	səu⁴⁵
九		kiɤ³¹	kiu³¹	kiəu²⁴	cəu²⁴	kiəu³¹³
久		kiɤ³¹	kiu³¹	kiəu²⁴	cəu²⁴	kiəu³¹³
韭		kɤ³¹	kiu³¹	─	─	kəu³¹³
灸		kiɤ²⁴	tsiu²⁴	─	tsiəu⁵⁵	kiəu³¹³
臼		kʰɤ³³	─	─	─	kʰəu³⁵³
舅		kʰɤ³³	kʰi³¹	─	kʰiəu²²	kʰəu³⁵³
朽		ʃiɤ³¹	─	─	siəu²⁴	hiəu³¹³
有		iɤ³³；iɤ³¹	iu³¹	iəu³³	iəu²²	iəu³⁵³
友		iɤ³¹	iu³¹	iəu²⁴	iəu²⁴	iəu³¹³
酉		iɤ³¹	iu³¹	iəu²⁴	iəu²⁴	iəu³¹³
誘		─	iu⁵⁵	iəu⁵⁵	iəu⁴⁴	─
富		fu²⁴	fu²⁴	fu⁴⁵	fu⁵⁵	fu³¹³
副		fu²⁴	fu²⁴	fu⁴⁵	fu⁵⁵	fu³¹³
復		fu²⁴	fu²⁴(fuʔ⁵)	fu⁵⁵	fu⁴⁴	fuʔ⁵⁴
溜		liɤ³³	liu⁵⁵	liəu³³	liəu²²	liəu³⁵³；lio³⁵³
餾		─	─	─	─	liəu¹¹³
廖		liɑɔ⁴³	liau⁵⁵	liau⁵⁵	liau⁴⁴	liəu⁴⁵
就		tsʰiɤ⁴³	tsʰiu⁵⁵	tsʰiəu⁵⁵	tsʰiəu⁴⁴	tsʰiəu⁴⁵
秀		siɤ²⁴	siu²⁴	siəu⁴⁵	siəu⁵⁵	siəu³¹³
繡		siɤ²⁴	siu²⁴	siəu⁴⁵	siəu⁵⁵	siəu³¹³
宿	星宿	ʃy³¹	─	siəu⁴⁵	siəu⁵⁵	siəuʔ⁵⁴
銹		siɤ²⁴	─	siəu⁴⁵	siəu⁵⁵	siəu³¹³
袖		tsʰiɤ⁴³；siɤ⁴³	tsʰiu⁵⁵	tsʰiəu⁵⁵	tsʰiəu⁴⁴	tsʰiəu⁴⁵手~；siəu⁴⁵~套
晝		tʃɤ²⁴	tsiu²⁴；tu²⁴	tʃəu⁴⁵	tʃəu⁵⁵	tsəu³¹³
宙		tʃɤ²⁴	tsiu²⁴	tsau⁴⁵	tsau⁵⁵	tsʰəu⁴⁵
皺		tsɤ²⁴	tsai²⁴	tsau⁴⁵；tsiu⁴⁵	tsiu⁵⁵	tsəu³¹³
縐		tsɤ²⁴	─	─	─	─
瘦		sɤ²⁴~肉	─	─	sau⁵⁵	səu³¹³
漱		su²⁴	─	─	─	─
咒		tʃiɤ³¹	tsiu²⁴	─	tsau⁵⁵	tsəu³¹³
臭		tʃʰɤ²⁴	tsʰiu²⁴	tʃʰ(i)əu⁴⁵	tʃʰ(i)əu⁵⁵	tsʰəu³¹³
獸		ʃiɤ⁴³	siu²⁴	tʃʰəu⁵⁵	tʃʰəu⁴⁴	səu³¹³
壽		ʃiɤ⁴³	siu⁵⁵	ʃəu⁵⁵	ʃəu⁴⁴	səu⁴⁵
授		ʃiɤ⁴³	siu⁵⁵	ʃəu⁵⁵	ʃəu⁴⁴	səu⁴⁵
售		ʃiɤ⁴³	─	ʃəu⁵⁵	ʃəu⁴⁴	səu⁴⁵
救		kiɤ²⁴	kiu²⁴	─	kiəu⁵⁵	kəu³¹³
究		kiɤ²⁴	kiu²⁴	─	kiəu⁵⁵	kiəu³¹³
舊		kʰiɤ⁴³	kʰiu⁵⁵	─	kʰiəu⁴⁴	kʰəu⁴⁵
又		iɤ²⁴	iu⁵⁵	iəu⁵⁵	iəu⁴⁴	iəu⁴⁵
右		iɤ⁴³	iu⁵⁵	─	iəu⁴⁴	iəu⁴⁵
祐		iɤ⁴³	iu⁵⁵	─	─	iəu⁴⁵
柚		iɤ²⁴	iu²⁴	iəu⁵⁵	iəu⁴⁴	iəu³¹³
釉		iɤ⁴³	─	─	─	iəu⁴⁵
彪		piɑɔ³³	─	─	─	piau³⁵³
丟		─	─	─	─	tiəu³⁵³
幽		iɤ³³	iu³³	iəu³³	iəu²²	─
糾	糾正	kiɤ³¹	─	tsiəu³³	kiəu²²	kiəu³⁵³
謬		─	biau⁵⁵	bio⁵⁵	bio⁴⁴	─
幼		iɤ²⁴	iu²⁴	iəu⁵⁵	iəu⁴⁴	iəu³¹³
耽		taŋ³³/tã³³	toŋ³³	─	taŋ²²	tɑŋ³⁵³
貪		tʰaŋ³³/tʰã³³	tʰoŋ³³；tʰaŋ³³	─	tʰaŋ²²	tʰɑŋ³⁵³
潭		tʰoŋ¹³/tʰõ¹³	tʰoŋ²¹	tʰaŋ²¹	tʰoŋ²¹	tʰɑŋ¹¹³
譚		tʰoŋ¹³/tʰõ¹³	tʰoŋ²¹	─	tʰoŋ²¹	tʰɑŋ¹¹³
南		lã¹³	nã²¹	laŋ²¹	laŋ²¹	nɑŋ¹¹³~lɑŋ¹¹³
男		lã¹³	nã²¹	laŋ²¹	laŋ²¹	nɑŋ¹¹³~lɑŋ¹¹³
簪		tsã³³	tsaŋ³³	tsaŋ³³	tsaŋ²²	tsɑŋ³⁵³
參		sã³³	tsʰaŋ³³	tsʰaŋ³³	tsʰaŋ²²	tsʰɑŋ³⁵³
蠶		tsʰã¹³	tsʰaŋ²¹~tsʰã²¹	tsʰaŋ²¹	tsʰaŋ²¹	tsʰɑŋ¹¹³
堪		─	kʰoŋ³³	─	─	─
龕		─	─	koŋ³³	koŋ²²	─
含		hɛ̃¹³；hã¹³；huã¹³包~	huẽ²¹	─	haŋ²¹	hɑŋ¹¹³；heŋ¹¹³
函		─	huẽ²¹	─	haŋ²¹	hɑŋ¹¹³
庵		oŋ³³/õ³³	oŋ³³	─	─	voŋ³⁵³
慘		tsʰã³¹	tsʰaŋ³¹~tsʰã³¹	tsʰaŋ²⁴	tsʰaŋ²⁴	tsʰɑŋ³¹³
感		koŋ³¹/kõ³¹	koŋ³¹	─	kaŋ²⁴	koŋ³¹³
坎		kʰoŋ³¹/kʰõ³¹	kʰaŋ³¹	─	kʰaŋ²⁴	kʰoŋ³¹³
撼		─	hã²⁴	haŋ⁴⁵	haŋ⁵⁵	hɑŋ³¹³
揞		─	─	─	─	ŋeŋ³⁵³
探		tʰaŋ²⁴/tʰã²⁴	tʰoŋ²⁴；tʰaŋ²⁴~tʰã²⁴；taŋ²⁴~tã²⁴	─	tʰaŋ⁵⁵	tʰɑŋ³¹³
憾		─	huẽ²⁴	─	huaŋ⁵⁵	han⁵³
暗		oŋ²⁴/õ²⁴	oŋ²⁴	oŋ⁴⁵	─	voŋ³¹³
答		to³¹	taʔ²	tɒʔ⁵⁴	tɒʔ⁵³	tɑʔ⁵⁴
搭		to³¹	taʔ²	tɒʔ⁵⁴	tɒʔ⁵³	tɑʔ⁵⁴
踏		tʰoʔ⁵⁴	tʰa⁵⁵	tʰɒʔ³¹	tʰɒʔ³¹	tʰɑ⁴⁵
沓		─	─	tʰaʔ⁵⁴	tʰaʔ⁵³	─
納		loʔ⁵⁴	la⁵⁵	lɒʔ³¹	lɒʔ³¹	lɑ⁴⁵
拉		lɤ³³~過來；la³³拖拖~~	─	la³³	la²²	lɑ³⁵³
雜		tsʰoʔ⁵⁴	tsʰa⁵⁵	tsʰɒʔ³¹	tsʰɒʔ³¹	tsʰɑ⁴⁵
合	十合一升	─	─	koʔ⁵⁴	koʔ⁵³	kuoʔ⁵⁴~溪口；ka³¹³
蛤		ko³¹	─	─	─	─
鴿		ko³¹	kɵʔ²	─	─	─
喝		─	haʔ²	─	─	─
合		hoʔ⁵⁴	hɵ⁵⁵	─	hoʔ³¹	huo⁴⁵
盒		hoʔ⁵⁴	kʰɵʔ²	─	─	huo⁴⁵
擔	擔任	tã³³	tã³³	taŋ³³	taŋ²²	tɑŋ³⁵³
談		tʰã¹³	tʰã²¹	─	─	tʰɑŋ¹¹³
痰		tʰã¹³	─	─	tʰaŋ²¹	tʰɑŋ¹¹³
藍		lã¹³	nã²¹	laŋ²¹	laŋ²¹	lɑŋ¹¹³
籃		lã¹³	nã²¹	laŋ²¹	laŋ²¹	lɑŋ¹¹³
