繁體	简体	拼音	/IPa/	[IPA]	注释
羈	羁	ji1	tɕi˦˥	tɕɨ˦˥	
基	基	ji1	tɕi˦˥	tɕɨ˦˥	
姬	姬	ji1	tɕi˦˥	tɕɨ˦˥	
機	机	ji1	tɕi˦˥	tɕɨ˦˥	
譏	讥	ji1	tɕi˦˥	tɕɨ˦˥	
嘰	叽	ji1	tɕi˦˥	tɕɨ˦˥	
幾	几	ji1	tɕi˦˥	tɕɨ˦˥	
飢	饥	ji1	tɕi˦˥	tɕɨ˦˥	
肌	肌	ji1	tɕi˦˥	tɕɨ˦˥	
几	几	ji1	tɕi˦˥	tɕɨ˦˥	
吱	吱	ji1	tɕi˦˥	tɕɨ˦˥	白读
唧	唧	ji1	tɕi˦˥	tɕɨ˦˥	文读
织	织	ji1	tɕi˦˥	tɕɨ˦˥	拟声词，~布声
擠	挤	ji1	tɕi˦˥	tɕɨ˦˥	衣物尺码过小；强行穿尺码过小的衣物
臍	脐	ji1	tɕi˦˥	tɕɨ˦˥	肚~眼
薺	荠	ji1	tɕi˦˥	tɕɨ˦˥	荸~
膝	膝	ji1	tɕi˦˥	tɕɨ˦˥	乞~脑壳
錐	锥	ji1	tɕi˦˥	tɕɨ˦˥	戳、刺，~人
雎	雎	ji1	tɕi˦˥	tɕɨ˦˥	
𩐒	𩐒	ji1	tɕi˦˥	tɕɨ˦˥	
䪡	䪡	ji1	tɕi˦˥	tɕɨ˦˥	
㞓	㞓	ji1	tɕi˦˥	tɕɨ˦˥	男阴，粗语
季	季	ji1	tɕi˦˥	tɕɨ˦˥	四~豆
緝	缉	ji2	tɕi˨˩	tɕɨ˨˩	
輯	辑	ji2	tɕi˨˩	tɕɨ˨˩	
集	集	ji2	tɕi˨˩	tɕɨ˨˩	
級	级	ji2	tɕi˨˩	tɕɨ˨˩	
圾	圾	ji2	tɕi˨˩	tɕɨ˨˩	
吸	吸	ji2	tɕi˨˩	tɕɨ˨˩	
及	及	ji2	tɕi˨˩	tɕɨ˨˩	
疾	疾	ji2	tɕi˨˩	tɕɨ˨˩	
吉	吉	ji2	tɕi˨˩	tɕɨ˨˩	
桔	桔	ji2	tɕi˨˩	tɕɨ˨˩	文读
拮	拮	ji2	tɕi˨˩	tɕɨ˨˩	
狤	狤	ji2	tɕi˨˩	tɕɨ˨˩	
即	即	ji2	tɕi˨˩	tɕɨ˨˩	
鯽	鲫	ji2	tɕi˨˩	tɕɨ˨˩	
棘	棘	ji2	tɕi˨˩	tɕɨ˨˩	
極	极	ji2	tɕi˨˩	tɕɨ˨˩	
積	积	ji2	tɕi˨˩	tɕɨ˨˩	
跡	迹	ji2	tɕi˨˩	tɕɨ˨˩	
脊	脊	ji2	tɕi˨˩	tɕɨ˨˩	
籍	籍	ji2	tɕi˨˩	tɕɨ˨˩	
藉	藉	ji2	tɕi˨˩	tɕɨ˨˩	
戟	戟	ji2	tɕi˨˩	tɕɨ˨˩	
績	绩	ji2	tɕi˨˩	tɕɨ˨˩	文读
寂	寂	ji2	tɕi˨˩	tɕɨ˨˩	
擊	击	ji2	tɕi˨˩	tɕɨ˨˩	
激	激	ji2	tɕi˨˩	tɕɨ˨˩	
一	一	ji2	tɕi˨˩	tɕɨ˨˩	归归~~，指完成得很完美
己	己	ji2	tɕi˨˩	tɕɨ˨˩	妲~
杞	杞	ji2	tɕi˨˩	tɕɨ˨˩	枸~
紀	纪	ji2	tɕi˨˩	tɕɨ˨˩	年~
舉	举	ji3	tɕi˦˧	tɕɨ˦˧	
矩	矩	ji3	tɕi˦˧	tɕɨ˦˧	
枸	枸	ji3	tɕi˦˧	tɕɨ˦˧	~櫞酸
沮	沮	ji3	tɕi˦˧	tɕɨ˦˧	
咀	咀	ji3	tɕi˦˧	tɕɨ˦˧	文读
擠	挤	ji3	tɕi˦˧	tɕɨ˦˧	
幾	几	ji3	tɕi˦˧	tɕɨ˦˧	
己	己	ji3	tɕi˦˧	tɕɨ˦˧	
紀	纪	ji3	tɕi˦˧	tɕɨ˦˧	
起	起	ji3	tɕi˦˧	tɕɨ˦˧	动词或形容词后表示动作或状态的持续
麂	麂	ji3	tɕi˦˧	tɕɨ˦˧	
據	据	ji4	tɕi˨˦	tɕɨ˨˦	
鋸	锯	ji4	tɕi˨˦	tɕɨ˨˦	
踞	踞	ji4	tɕi˨˦	tɕɨ˨˦	
巨	巨	ji4	tɕi˨˦	tɕɨ˨˦	
拒	拒	ji4	tɕi˨˦	tɕɨ˨˦	
距	距	ji4	tɕi˨˦	tɕɨ˨˦	
櫃	柜	ji4	tɕi˨˦	tɕɨ˨˦	~柳
句	句	ji4	tɕi˨˦	tɕɨ˨˦	
聚	聚	ji4	tɕi˨˦	tɕɨ˨˦	
懼	惧	ji4	tɕi˨˦	tɕɨ˨˦	
濟	济	ji4	tɕi˨˦	tɕɨ˨˦	
薺	荠	ji4	tɕi˨˦	tɕɨ˨˦	
計	计	ji4	tɕi˨˦	tɕɨ˨˦	
骥	骥	ji4	tɕi˨˦	tɕɨ˨˦	文读
己	己	ji4	tɕi˨˦	tɕɨ˨˦	天干
記	记	ji4	tɕi˨˦	tɕɨ˨˦	
紀	纪	ji4	tɕi˨˦	tɕɨ˨˦	~念
忌	忌	ji4	tɕi˨˦	tɕɨ˨˦	
戒	戒	ji4	tɕi˨˦	tɕɨ˨˦	~烟
繼	继	ji4	tɕi˨˦	tɕɨ˨˦	
祭	祭	ji4	tɕi˨˦	tɕɨ˨˦	
際	际	ji4	tɕi˨˦	tɕɨ˨˦	
稷	稷	ji4	tɕi˨˦	tɕɨ˨˦	
技	技	ji4	tɕi˨˦	tɕɨ˨˦	
妓	妓	ji4	tɕi˨˦	tɕɨ˨˦	
既	既	ji4	tɕi˨˦	tɕɨ˨˦	
具	具	ji4	tɕi˨˦	tɕɨ˨˦	
俱	俱	ji4	tɕi˨˦	tɕɨ˨˦	家~
季	季	ji4	tɕi˨˦	tɕɨ˨˦	
系	系	ji4	tɕi˨˦	tɕɨ˨˦	~鞋带
髻	髻	ji4	tɕi˨˦	tɕɨ˨˦	
促	促	qi1	tɕʰi˦˥	tɕʰɨ˦˥	灶~织
织	织	qi1	tɕʰi˦˥	tɕʰɨ˦˥	灶促~
蛐	蛐	qi1	tɕʰi˦˥	tɕʰɨ˦˥	蟋蟀
伹	伹	qi1	tɕʰi˦˥	tɕʰɨ˦˥	
蛆	蛆	qi1	tɕʰi˦˥	tɕʰɨ˦˥	
欺	欺	qi1	tɕʰi˦˥	tɕʰɨ˦˥	
期	期	qi1	tɕʰi˦˥	tɕʰɨ˦˥	
溪	溪	qi1	tɕʰi˦˥	tɕʰɨ˦˥	
蹊	蹊	qi1	tɕʰi˦˥	tɕʰɨ˦˥	
區	区	qi1	tɕʰi˦˥	tɕʰɨ˦˥	
驅	驱	qi1	tɕʰi˦˥	tɕʰɨ˦˥	
軀	躯	qi1	tɕʰi˦˥	tɕʰɨ˦˥	
趨	趋	qi1	tɕʰi˦˥	tɕʰɨ˦˥	
妻	妻	qi1	tɕʰi˦˥	tɕʰɨ˦˥	
淒	凄	qi1	tɕʰi˦˥	tɕʰɨ˦˥	
棲	栖	qi1	tɕʰi˦˥	tɕʰɨ˦˥	
渠	渠	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
瞿	瞿	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
齊	齐	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
臍	脐	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
奇	奇	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
騎	骑	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
畸	畸	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
歧	歧	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
祁	祁	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
祈	祈	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
俟	俟	qi2	tɕʰi˨˩	tɕʰɨ˨˩	万~，少数民族复姓
其	其	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
棋	棋	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
旗	旗	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
淇	淇	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
七	七	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
柒	柒	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
㭍	㭍	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
剌	剌	qi2	tɕʰi˨˩	tɕʰɨ˨˩	~杀
桼	桼	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
漆	漆	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
膝	膝	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
䰍	䰍	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
乞	乞	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
迄	迄	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
訖	讫	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
戚	戚	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
嘁	嘁	qi2	tɕʰi˨˩	tɕʰɨ˨˩	
績	绩	qi2	tɕʰi˨˩	tɕʰɨ˨˩	~麻
錘	锤	qi2	tɕʰi˨˩	tɕʰɨ˨˩	~~捶，划拳游戏用语
捶	捶	qi2	tɕʰi˨˩	tɕʰɨ˨˩	锤锤~，划拳游戏用语
取	取	qi3	tɕʰi˦˧	tɕʰɨ˦˧	
娶	娶	qi3	tɕʰi˦˧	tɕʰɨ˦˧	
启	启	qi3	tɕʰi˦˧	tɕʰɨ˦˧	
綺	绮	qi3	tɕʰi˦˧	tɕʰɨ˦˧	
起	起	qi3	tɕʰi˦˧	tɕʰɨ˦˧	
岂	岂	qi3	tɕʰi˦˧	tɕʰɨ˦˧	
杞	杞	qi3	tɕʰi˦˧	tɕʰɨ˦˧	
泣	泣	qi3	tɕʰi˦˧	tɕʰɨ˦˧	哭~
啐	啐	qi3	tɕʰi˦˧	tɕʰɨ˦˧	语气词，表示不服气
去	去	qi4	tɕʰi˨˦	tɕʰɨ˨˦	文读
趣	趣	qi4	tɕʰi˨˦	tɕʰɨ˨˦	文读
覷	觑	qi4	tɕʰi˨˦	tɕʰɨ˨˦	文读
契	契	qi4	tɕʰi˨˦	tɕʰɨ˨˦	
鍥	锲	qi4	tɕʰi˨˦	tɕʰɨ˨˦	
楔	楔	qi4	tɕʰi˨˦	tɕʰɨ˨˦	
砌	砌	qi4	tɕʰi˨˦	tɕʰɨ˨˦	
企	企	qi4	tɕʰi˨˦	tɕʰɨ˨˦	
器	器	qi4	tɕʰi˨˦	tɕʰɨ˨˦	
棄	弃	qi4	tɕʰi˨˦	tɕʰɨ˨˦	
虛	虚	xi1	ɕi˦˥	ɕɨ˦˥	
噓	嘘	xi1	ɕi˦˥	ɕɨ˦˥	
胥	胥	xi1	ɕi˦˥	ɕɨ˦˥	
諝	谞	xi1	ɕi˦˥	ɕɨ˦˥	
須	须	xi1	ɕi˦˥	ɕɨ˦˥	
需	需	xi1	ɕi˦˥	ɕɨ˦˥	文读
奚	奚	xi1	ɕi˦˥	ɕɨ˦˥	
兮	兮	xi1	ɕi˦˥	ɕɨ˦˥	
诶	诶	xi1	ɕi˦˥	ɕɨ˦˥	文读
犀	犀	xi1	ɕi˦˥	ɕɨ˦˥	
西	西	xi1	ɕi˦˥	ɕɨ˦˥	
硒	硒	xi1	ɕi˦˥	ɕɨ˦˥	
羲	羲	xi1	ɕi˦˥	ɕɨ˦˥	
犧	牺	xi1	ɕi˦˥	ɕɨ˦˥	
曦	曦	xi1	ɕi˦˥	ɕɨ˦˥	
𨵤	𨵤	xi1	ɕi˦˥	ɕɨ˦˥	~缝
希	希	xi1	ɕi˦˥	ɕɨ˦˥	
稀	稀	xi1	ɕi˦˥	ɕɨ˦˥	
熙	熙	xi1	ɕi˦˥	ɕɨ˦˥	
嘻	嘻	xi1	ɕi˦˥	ɕɨ˦˥	
嬉	嬉	xi1	ɕi˦˥	ɕɨ˦˥	
尿	尿	xi1	ɕi˦˥	ɕɨ˦˥	~~；指小便；淌猫~，对轻易哭泣的嘲讽
雖	虽	xi1	ɕi˦˥	ɕɨ˦˥	~然
綏	绥	xi1	ɕi˦˥	ɕɨ˦˥	
浽	浽	xi1	ɕi˦˥	ɕɨ˦˥	
荽	荽	xi1	ɕi˦˥	ɕɨ˦˥	
膝	膝	xi1	ɕi˦˥	ɕɨ˦˥	乞~头
些	些	xi1	ɕi˦˥	ɕɨ˦˥	晚~家；黑~家
悉	悉	xi2	ɕi˨˩	ɕɨ˨˩	
蟋	蟋	xi2	ɕi˨˩	ɕɨ˨˩	
昔	昔	xi2	ɕi˨˩	ɕɨ˨˩	
惜	惜	xi2	ɕi˨˩	ɕɨ˨˩	
夕	夕	xi2	ɕi˨˩	ɕɨ˨˩	
汐	汐	xi2	ɕi˨˩	ɕɨ˨˩	
席	席	xi2	ɕi˨˩	ɕɨ˨˩	
吸	吸	xi2	ɕi˨˩	ɕɨ˨˩	~铁石
習	习	xi2	ɕi˨˩	ɕɨ˨˩	
泣	泣	xi2	ɕi˨˩	ɕɨ˨˩	
迄	迄	xi2	ɕi˨˩	ɕɨ˨˩	表示起源、初始时间或出发地
襲	袭	xi2	ɕi˨˩	ɕɨ˨˩	
息	息	xi2	ɕi˨˩	ɕɨ˨˩	
熄	熄	xi2	ɕi˨˩	ɕɨ˨˩	
媳	媳	xi2	ɕi˨˩	ɕɨ˨˩	
隙	隙	xi2	ɕi˨˩	ɕɨ˨˩	
錫	锡	xi2	ɕi˨˩	ɕɨ˨˩	
析	析	xi2	ɕi˨˩	ɕɨ˨˩	
晰	晰	xi2	ɕi˨˩	ɕɨ˨˩	
蜥	蜥	xi2	ɕi˨˩	ɕɨ˨˩	
徐	徐	xi2	ɕi˨˩	ɕɨ˨˩	
許	许	xi3	ɕi˦˧	ɕɨ˦˧	
洗	洗	xi3	ɕi˦˧	ɕɨ˦˧	
璽	玺	xi3	ɕi˦˧	ɕɨ˦˧	
徙	徙	xi3	ɕi˦˧	ɕɨ˦˧	
湑	湑	xi3	ɕi˦˧	ɕɨ˦˧	
醑	醑	xi3	ɕi˦˧	ɕɨ˦˧	
胥	胥	xi3	ɕi˦˧	ɕɨ˦˧	姓
栩	栩	xi3	ɕi˦˧	ɕɨ˦˧	
詡	诩	xi3	ɕi˦˧	ɕɨ˦˧	
喜	喜	xi3	ɕi˦˧	ɕɨ˦˧	
禧	禧	xi3	ɕi˦˧	ɕɨ˦˧	
囍	囍	xi3	ɕi˦˧	ɕɨ˦˧	
序	序	xi4	ɕi˨˦	ɕɨ˨˦	
敘	叙	xi4	ɕi˨˦	ɕɨ˨˦	
緒	绪	xi4	ɕi˨˦	ɕɨ˨˦	
絮	絮	xi4	ɕi˨˦	ɕɨ˨˦	
系	系	xi4	ɕi˨˦	ɕɨ˨˦	
細	细	xi4	ɕi˨˦	ɕɨ˨˦	
婿	婿	xi4	ɕi˨˦	ɕɨ˨˦	
戲	戏	xi4	ɕi˨˦	ɕɨ˨˦	
遂	遂	xi4	ɕi˨˦	ɕɨ˨˦	~宁
隧	隧	xi4	ɕi˨˦	ɕɨ˨˦	~洞
嘰	叽	gi1	ki˦˥	ɟ̊ɨ˦˥	~~咕咕，指低声细语
嘰	叽	ki1	kʰi˦˥	cʰɨ˦˥	~~咕咕，指低声发笑
去	去	ki4	kʰi˨˦	cʰɨ˨˦	白读1
迲	迲	ki4	kʰi˨˦	cʰɨ˨˦	白读1
嘻	嘻	hi1	xi˦˥	çɨ˦˥	~~哈哈
淤	淤	i1	i˦˥	ɦɨ˦˥	
伊	伊	i1	i˦˥	ɦɨ˦˥	
咿	咿	i1	i˦˥	ɦɨ˦˥	
醫	医	i1	i˦˥	ɦɨ˦˥	
衣	衣	i1	i˦˥	ɦɨ˦˥	
依	依	i1	i˦˥	ɦɨ˦˥	
裔	裔	i1	i˦˥	ɦɨ˦˥	
倚	倚	i1	i˦˥	ɦɨ˦˥	
椅	椅	i1	i˦˥	ɦɨ˦˥	桌~板凳
吁	吁	i1	i˦˥	ɦɨ˦˥	气喘~~；长~短叹
迂	迂	i1	i˦˥	ɦɨ˦˥	~腐
芋	芋	i1	i˦˥	ɦɨ˦˥	魔~豆腐
鬱	郁	i1	i˦˥	ɦɨ˦˥	~闷
咦	咦	i1	i˦˥	ɦɨ˦˥	语气词惊呼，表示感到不可思议
餘	余	i2	i˨˩	ɦɨ˨˩	
魚	鱼	i2	i˨˩	ɦɨ˨˩	
漁	渔	i2	i˨˩	ɦɨ˨˩	
迂	迂	i2	i˨˩	ɦɨ˨˩	
吁	吁	i2	i˨˩	ɦɨ˨˩	
於	于	i2	i˨˩	ɦɨ˨˩	
盂	盂	i2	i˨˩	ɦɨ˨˩	
榆	榆	i2	i˨˩	ɦɨ˨˩	
俞	俞	i2	i˨˩	ɦɨ˨˩	
愉	愉	i2	i˨˩	ɦɨ˨˩	
愈	愈	i2	i˨˩	ɦɨ˨˩	
愚	愚	i2	i˨˩	ɦɨ˨˩	
虞	虞	i2	i˨˩	ɦɨ˨˩	
娛	娱	i2	i˨˩	ɦɨ˨˩	
移	移	i2	i˨˩	ɦɨ˨˩	
夷	夷	i2	i˨˩	ɦɨ˨˩	
姨	姨	i2	i˨˩	ɦɨ˨˩	
懿	懿	i2	i˨˩	ɦɨ˨˩	
邑	邑	i2	i˨˩	ɦɨ˨˩	
揖	揖	i2	i˨˩	ɦɨ˨˩	
怡	怡	i2	i˨˩	ɦɨ˨˩	
貽	贻	i2	i˨˩	ɦɨ˨˩	
沂	沂	i2	i˨˩	ɦɨ˨˩	
螘	螘	i2	i˨˩	ɦɨ˨˩	
儀	仪	i2	i˨˩	ɦɨ˨˩	
乙	乙	i2	i˨˩	ɦɨ˨˩	
屹	屹	i2	i˨˩	ɦɨ˨˩	
一	一	i2	i˨˩	ɦɨ˨˩	
壹	壹	i2	i˨˩	ɦɨ˨˩	
益	益	i2	i˨˩	ɦɨ˨˩	
溢	溢	i2	i˨˩	ɦɨ˨˩	
亦	亦	i2	i˨˩	ɦɨ˨˩	
譯	译	i2	i˨˩	ɦɨ˨˩	
易	易	i2	i˨˩	ɦɨ˨˩	姓；地名；交~
蜴	蜴	i2	i˨˩	ɦɨ˨˩	
液	液	i2	i˨˩	ɦɨ˨˩	
腋	腋	i2	i˨˩	ɦɨ˨˩	
掖	掖	i2	i˨˩	ɦɨ˨˩	
翼	翼	i2	i˨˩	ɦɨ˨˩	羽~
逸	逸	i2	i˨˩	ɦɨ˨˩	
抑	抑	i2	i˨˩	ɦɨ˨˩	
遺	遗	i2	i˨˩	ɦɨ˨˩	
彝	彝	i2	i˨˩	ɦɨ˨˩	
頤	颐	i2	i˨˩	ɦɨ˨˩	
役	役	i2	i˨˩	ɦɨ˨˩	徭~
疫	疫	i2	i˨˩	ɦɨ˨˩	鼠~
預	预	i2	i˨˩	ɦɨ˨˩	~备——起，发令口号
與	与	i3	i˦˧	ɦɨ˦˧	
語	语	i3	i˦˧	ɦɨ˦˧	
雨	雨	i3	i˦˧	ɦɨ˦˧	
宇	宇	i3	i˦˧	ɦɨ˦˧	
禹	禹	i3	i˦˧	ɦɨ˦˧	
羽	羽	i3	i˦˧	ɦɨ˦˧	
椅	椅	i3	i˦˧	ɦɨ˦˧	
以	以	i3	i˦˧	ɦɨ˦˧	
已	已	i3	i˦˧	ɦɨ˦˧	
裡	里	i3	i˦˧	ɦɨ˦˧	即“以”，~头，指里头
蟻	蚁	i3	i˦˧	ɦɨ˦˧	
翼	翼	i4	i˨˦	ɦɨ˨˦	
冀	冀	i4	i˨˦	ɦɨ˨˦	
骥	骥	i4	i˨˦	ɦɨ˨˦	白读
譽	誉	i4	i˨˦	ɦɨ˨˦	
預	预	i4	i˨˦	ɦɨ˨˦	
豫	豫	i4	i˨˦	ɦɨ˨˦	
禦	御	i4	i˨˦	ɦɨ˨˦	
籲	吁	i4	i˨˦	ɦɨ˨˦	呼~
芋	芋	i4	i˨˦	ɦɨ˨˦	
喻	喻	i4	i˨˦	ɦɨ˨˦	
裕	裕	i4	i˨˦	ɦɨ˨˦	
浴	浴	i4	i˨˦	ɦɨ˨˦	人名
鋊	鋊	i4	i˨˦	ɦɨ˨˦	光滑发亮
昱	昱	i4	i˨˦	ɦɨ˨˦	人名
煜	煜	i4	i˨˦	ɦɨ˨˦	人名
遇	遇	i4	i˨˦	ɦɨ˨˦	
寓	寓	i4	i˨˦	ɦɨ˨˦	
瞖	瞖	i4	i˨˦	ɦɨ˨˦	
藝	艺	i4	i˨˦	ɦɨ˨˦	
義	义	i4	i˨˦	ɦɨ˨˦	
議	议	i4	i˨˦	ɦɨ˨˦	~论
刈	刈	i4	i˨˦	ɦɨ˨˦	
易	易	i4	i˨˦	ɦɨ˨˦	
肄	肄	i4	i˨˦	ɦɨ˨˦	
意	意	i4	i˨˦	ɦɨ˨˦	
憶	忆	i4	i˨˦	ɦɨ˨˦	
億	亿	i4	i˨˦	ɦɨ˨˦	
弋	弋	i4	i˨˦	ɦɨ˨˦	
羿	羿	i4	i˨˦	ɦɨ˨˦	
玉	玉	i4	i˨˦	ɦɨ˨˦	
尉	尉	i4	i˨˦	ɦɨ˨˦	姓
蔚	蔚	i4	i˨˦	ɦɨ˨˦	姓
慰	慰	i4	i˨˦	ɦɨ˨˦	劳~
餵	喂	i4	i˨˦	ɦɨ˨˦	~猪；~鸡
餧	喂	i4	i˨˦	ɦɨ˨˦	~猪；~鸡
吇	吇	jü3	tɕy˦˧	tɕʉ˦˧	拟声词，模仿鸟鸣
不	不	bu1	pu˦˥	b̥u˦˥	~有
不	不	bu2	pu˨˩	b̥u˨˩	
捕	捕	bu3	pu˦˧	b̥u˦˧	
補	补	bu3	pu˦˧	b̥u˦˧	
部	部	bu4	pu˨˦	b̥u˨˦	
簿	簿	bu4	pu˨˦	b̥u˨˦	
布	布	bu4	pu˨˦	b̥u˨˦	
怖	怖	bu4	pu˨˦	b̥u˨˦	
步	步	bu4	pu˨˦	b̥u˨˦	
阜	阜	bu4	pu˨˦	b̥u˨˦	
埠	埠	bu4	pu˨˦	b̥u˨˦	
蔔	卜	bu4	pu˨˦	b̥u˨˦	萝~
捕	捕	bu4	pu˨˦	b̥u˨˦	躲在掩体后偷看
鋪	铺	pu1	pʰu˦˥	pʰu˦˥	~盖
副	副	pu1	pʰu˦˥	pʰu˦˥	扑克牌量词：一~牌，即完整一套扑克牌
蒲	蒲	pu2	pʰu˨˩	pʰu˨˩	
葡	葡	pu2	pʰu˨˩	pʰu˨˩	
匍	匍	pu2	pʰu˨˩	pʰu˨˩	
脯	脯	pu2	pʰu˨˩	pʰu˨˩	胸~
菩	菩	pu2	pʰu˨˩	pʰu˨˩	
伏	伏	pu2	pʰu˨˩	pʰu˨˩	~起
赴	赴	pu2	pʰu˨˩	pʰu˨˩	前~后继；~汤蹈火
訃	讣	pu2	pʰu˨˩	pʰu˨˩	
卜	卜	pu2	pʰu˨˩	pʰu˨˩	
勃	勃	pu2	pʰu˨˩	pʰu˨˩	
渤	渤	pu2	pʰu˨˩	pʰu˨˩	
悖	悖	pu2	pʰu˨˩	pʰu˨˩	
脖	脖	pu2	pʰu˨˩	pʰu˨˩	~颈
荸	荸	pu2	pʰu˨˩	pʰu˨˩	
璞	璞	pu2	pʰu˨˩	pʰu˨˩	
濮	濮	pu2	pʰu˨˩	pʰu˨˩	
樸	朴	pu2	pʰu˨˩	pʰu˨˩	
撲	扑	pu2	pʰu˨˩	pʰu˨˩	
僕	仆	pu2	pʰu˨˩	pʰu˨˩	
曝	曝	pu2	pʰu˨˩	pʰu˨˩	
瀑	瀑	pu2	pʰu˨˩	pʰu˨˩	
潽	潽	pu2	pʰu˨˩	pʰu˨˩	
譜	谱	pu3	pʰu˦˧	pʰu˦˧	
普	普	pu3	pʰu˦˧	pʰu˦˧	
浦	浦	pu3	pʰu˦˧	pʰu˦˧	
輔	辅	pu3	pʰu˦˧	pʰu˦˧	~导
捕	捕	pu3	pʰu˦˧	pʰu˦˧	抓~
脯	脯	pu3	pʰu˦˧	pʰu˦˧	
哺	哺	pu3	pʰu˦˧	pʰu˦˧	
甫	甫	pu3	pʰu˦˧	pʰu˦˧	
堡	堡	pu3	pʰu˦˧	pʰu˦˧	地名
鋪	铺	pu4	pʰu˨˦	pʰu˨˦	
模	模	mu2	mu˨˩	mᵇu˨˩	~子；~范；~样；一~脱壳
木	木	mu2	mu˨˩	mᵇu˨˩	
沐	沐	mu2	mu˨˩	mᵇu˨˩	
目	目	mu2	mu˨˩	mᵇu˨˩	
穆	穆	mu2	mu˨˩	mᵇu˨˩	
蓦	蓦	mu2	mu˨˩	mᵇu˨˩	
牟	牟	mu2	mu˨˩	mᵇu˨˩	
眸	眸	mu2	mu˨˩	mᵇu˨˩	
哞	哞	mu2	mu˨˩	mᵇu˨˩	文读
牧	牧	mu2	mu˨˩	mᵇu˨˩	
沒	没	mu2	mu˨˩	mᵇu˨˩	沉没；消失；终结；没收
牡	牡	mu3	mu˦˧	mᵇu˦˧	
母	母	mu3	mu˦˧	mᵇu˦˧	
拇	拇	mu3	mu˦˧	mᵇu˦˧	
幕	幕	mu4	mu˨˦	mᵇu˨˦	
暮	暮	mu4	mu˨˦	mᵇu˨˦	
慕	慕	mu4	mu˨˦	mᵇu˨˦	
墓	墓	mu4	mu˨˦	mᵇu˨˦	
募	募	mu4	mu˨˦	mᵇu˨˦	
虎	虎	fu1	fu˦˥	fu˦˥	马马~~
謼	謼	fu1	fu˦˥	fu˦˥	
呼	呼	fu1	fu˦˥	fu˦˥	
夫	夫	fu1	fu˦˥	fu˦˥	
趺	趺	fu1	fu˦˥	fu˦˥	
呋	呋	fu1	fu˦˥	fu˦˥	
膚	肤	fu1	fu˦˥	fu˦˥	
敷	敷	fu1	fu˦˥	fu˦˥	
俘	俘	fu1	fu˦˥	fu˦˥	
胡	胡	fu2	fu˨˩	fu˨˩	
湖	湖	fu2	fu˨˩	fu˨˩	
糊	糊	fu2	fu˨˩	fu˨˩	
煳	煳	fu2	fu˨˩	fu˨˩	~辣角
醐	醐	fu2	fu˨˩	fu˨˩	
狐	狐	fu2	fu˨˩	fu˨˩	
壺	壶	fu2	fu˨˩	fu˨˩	
符	符	fu2	fu˨˩	fu˨˩	
扶	扶	fu2	fu˨˩	fu˨˩	
芙	芙	fu2	fu˨˩	fu˨˩	
呼	呼	fu2	fu˨˩	fu˨˩	咋~，即嘱咐
乎	乎	fu2	fu˨˩	fu˨˩	
孚	孚	fu2	fu˨˩	fu˨˩	
浮	浮	fu2	fu˨˩	fu˨˩	文读
骷	骷	fu2	fu˨˩	fu˨˩	
複	复	fu2	fu˨˩	fu˨˩	
腹	腹	fu2	fu˨˩	fu˨˩	
覆	覆	fu2	fu˨˩	fu˨˩	
忽	忽	fu2	fu˨˩	fu˨˩	
核	核	fu2	fu˨˩	fu˨˩	~~，指果核
和	和	fu2	fu˨˩	fu˨˩	~牌，麻将用语
弗	弗	fu2	fu˨˩	fu˨˩	
佛	佛	fu2	fu˨˩	fu˨˩	
狒	狒	fu2	fu˨˩	fu˨˩	
沸	沸	fu2	fu˨˩	fu˨˩	
彿	彿	fu2	fu˨˩	fu˨˩	
斛	斛	fu2	fu˨˩	fu˨˩	
福	福	fu2	fu˨˩	fu˨˩	
幅	幅	fu2	fu˨˩	fu˨˩	
蝠	蝠	fu2	fu˨˩	fu˨˩	
副	副	fu2	fu˨˩	fu˨˩	量词，一~
匐	匐	fu2	fu˨˩	fu˨˩	
服	服	fu2	fu˨˩	fu˨˩	
伏	伏	fu2	fu˨˩	fu˨˩	
洑	洑	fu2	fu˨˩	fu˨˩	
