"繁體"	"简体"	"音標"	"註釋"	"聲"	"韻"	"調"
"斁"	"斁"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"驛"	"驿"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"嶧"	"峄"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"醳"	"醳"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"腋"	"腋"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"掖"	"掖"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"䘸"	"䘸"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"痬"	"痬"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"蜴"	"蜴"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"圛"	"圛"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"襗"	"襗"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"墿"	"墿"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"焲"	"焲"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"㴒"	"㴒"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"燡"	"燡"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"㘁"	"㘁"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"嗌"	"嗌"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"齸"	"齸"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"膉"	"膉"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"益"	"益"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"亦"	"亦"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"譯"	"译"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"易"	"易"	"je̠ʔ˧"	"交易，貿易。"	"j"	"i̯e̠ʔ"	"˧"
"液"	"液"	"ji˩˧"	""	"j"	"i"	"˩˧"
"鷿"	"鷿"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"甓"	"甓"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"㱸"	"㱸"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"鼊"	"鼊"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"繴"	"繴"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"綼"	"綼"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"壁"	"壁"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"澼"	"澼"	"pʰi̯e̠ʔ˧"	""	"pʰ"	"i̯e̠ʔ"	"˧"
"憵"	"憵"	"pʰi̯e̠ʔ˧"	""	"pʰ"	"i̯e̠ʔ"	"˧"
"䤨"	"䤨"	"pʰi̯e̠ʔ˧"	""	"pʰ"	"i̯e̠ʔ"	"˧"
"霹"	"霹"	"pʰi̯e̠ʔ˧"	""	"pʰ"	"i̯e̠ʔ"	"˧"
"劈"	"劈"	"pʰi̯e̠ʔ˧"	""	"pʰ"	"i̯e̠ʔ"	"˧"
"覛"	"覛"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"幎"	"幎"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"幦"	"幦"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"䮭"	"䮭"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"鼏"	"鼏"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"冪"	"冪"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"汨"	"汨"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"㵋"	"㵋"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"漞"	"漞"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"䖑"	"䖑"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"蓂"	"蓂"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"覭"	"覭"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"䌐"	"䌐"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"濗"	"濗"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"塓"	"塓"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"䈿"	"䈿"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"覓"	"觅"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"滴"	"滴"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"嫡"	"嫡"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"魡"	"魡"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"啇"	"啇"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"扚"	"扚"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"玓"	"玓"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"樀"	"樀"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"蹢"	"蹢"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"鏑"	"镝"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"馰"	"馰"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"靮"	"靮"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"甋"	"甋"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"的"	"的"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"逖"	"逖"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"逷"	"逷"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"倜"	"倜"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"趯"	"趯"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"䢰"	"䢰"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"剔"	"剔"	"tʰi˦˥"	"白讀，作動詞"	"tʰ"	"i"	"˦˥"
"剔"	"剔"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"惕"	"惕"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"䯜"	"䯜"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"硩"	"硩"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"䚐"	"䚐"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"蓨"	"蓨"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"籊"	"籊"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"悐"	"悐"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"踢"	"踢"	"tʰi̯e̠ʔ˧"	""	"tʰ"	"i̯e̠ʔ"	"˧"
"迪"	"迪"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"籊"	"籊"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"翟"	"翟"	"ti̯e̠ʔ˧"	"江淮之間謂雉靑質五色皆備曰翟書"	"t"	"i̯e̠ʔ"	"˧"
"覿"	"觌"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"糴"	"糴"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"滌"	"涤"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"蓧"	"蓧"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"蔋"	"菽"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"踧"	"踧"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"䌦"	"䌦"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"䵂"	"䵂"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"樀"	"樀"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"頔"	"頔"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"梑"	"梑"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"䊮"	"䊮"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"䢮"	"䢮"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"㹍"	"㹍"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"苖"	"苖"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"㣙"	"㣙"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"狄"	"狄"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"篴	"	"篴	"	"ti̯e̠ʔ˧"	"通（笛）"	"t"	"i̯e̠ʔ"	"˧"
"笛"	"笛"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"敵"	"敌"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"糴"	"籴"	"ti̯e̠ʔ˧"	""	"t"	"i̯e̠ʔ"	"˧"
"虉"	"虉"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"鶂"	"鶂"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"鷁"	"鹢"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"艗"	"艗"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"惄"	"惄"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"愵"	"愵"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"溺"	"溺"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"靂"	"雳"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"䟐"	"䟐"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"酈"	"郦"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"癧"	"疬"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"轢"	"轹"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"鎘"	"镉"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"鎘"	"镉"	"kæ̠ʔ˧"	"元素名"	"k"	"æ̠ʔ"	"˧"
"䥶"	"䥶"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"礫"	"砾"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"瓅"	"瓅"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"秝"	"秝"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"櫪"	"枥"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"䍽"	"䍽"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"櫟"	"栎"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"藶"	"苈"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"糲"	"粝"	"nᵈi̯e̠ʔ˧"	"糲米飯"	"nᵈ"	"i̯e̠ʔ"	"˧"
"瀝"	"沥"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"磿"	"磿"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"鬲"	"鬲"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"㽁"	"㽁"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"蒚"	"蒚"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"皪"	"皪"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"䍥"	"䍥"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"躒"	"跞"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"䟏"	"䟏"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"厤"	"厤"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"攊"	"攊"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"䮥"	"䮥"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"䤙"	"䤙"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"㔏"	"㔏"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"蝷"	"蝷"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"翮"	"翮"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"歷"	"历"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"曆"	"历"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"勣"	"勣"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"樍"	"樍"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"𪄸"	"𪄸"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"績"	"绩"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"𢿣"	"𢿣"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"䍊"	"䍊"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"燩"	"燩"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"喫"	"喫"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"喫"	"喫"	"t͡ɕʰi˦˥"	"白讀，如：～飯"	"t͡ɕʰ"	"i"	"˦˥"
"墄"	"墄"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"戚"	"戚"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"慽"	"慽"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"鏚"	"鏚"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"鼜"	"鼜"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"慼"	"慼"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"𠴫"	"𠴫"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"䚐"	"䚐"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"寂"	"寂"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"赥"	"赥"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"䦧"	"䦧"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"䈪"	"䈪"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"㤸"	"㤸"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"㦦"	"㦦"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"㭊"	"㭊"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"裼"	"裼"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"晳"	"晳"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"緆"	"緆"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"蜥"	"蜥"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"菥"	"菥"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"淅"	"淅"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"惁"	"惁"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"㱤"	"㱤"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"錫"	"锡"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"析"	"析"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"覡"	"觋"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"薂"	"薂"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"鸄"	"鸄"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"獥"	"獥"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"椺"	"椺"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"䚫"	"䚫"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"墼"	"墼"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"轚"	"轚"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"獥"	"獥"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"敫"	"敫"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"鸄"	"鸄"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"擊"	"击"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"激"	"激"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"𣤩"	"𣤩"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"𥛚"	"𥛚"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"璧"	"璧"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"鐴"	"鐴"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"躄"	"躄"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"襞"	"襞"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"擗"	"擗"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"椑"	"椑"	"pi̯e̠ʔ˧"	"親身棺"	"p"	"i̯e̠ʔ"	"˧"
"躃"	"躃"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"闢"	"闢"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"㱸"	"㱸"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"僻"	"僻"	"pʰi̯e̠ʔ˧"	""	"pʰ"	"i̯e̠ʔ"	"˧"
"闢"	"辟"	"pʰi̯e̠ʔ˧"	""	"pʰ"	"i̯e̠ʔ"	"˧"
"癖"	"癖"	"pʰi̯e̠ʔ˧"	""	"pʰ"	"i̯e̠ʔ"	"˧"
"廦"	"廦"	"pʰi̯e̠ʔ˧"	""	"pʰ"	"i̯e̠ʔ"	"˧"
"闃"	"闃"	"t͡ɕʰy̑oʔ˧"	""	"t͡ɕʰ"	"y̑oʔ"	"˧"
"䠐"	"䠐"	"t͡ɕʰy̑oʔ˧"	""	"t͡ɕʰ"	"y̑oʔ"	"˧"
"郹"	"郹"	"t͡ɕy̑oʔ˧"	""	"t͡ɕ"	"y̑oʔ"	"˧"
"狊"	"狊"	"t͡ɕy̑oʔ˧"	""	"t͡ɕ"	"y̑oʔ"	"˧"
"鶪"	"鶪"	"t͡ɕy̑oʔ˧"	""	"t͡ɕ"	"y̑oʔ"	"˧"
"湨"	"湨"	"t͡ɕy̑oʔ˧"	""	"t͡ɕ"	"y̑oʔ"	"˧"
"鼳"	"鼳"	"t͡ɕy̑oʔ˧"	""	"t͡ɕ"	"y̑oʔ"	"˧"
"犑"	"犑"	"t͡ɕy̑oʔ˧"	""	"t͡ɕ"	"y̑oʔ"	"˧"
"砉"	"砉"	"ɕy̑oʔ˧"	""	"ɕ"	"y̑oʔ"	"˧"
"瞁"	"瞁"	"ɕy̑oʔ˧"	""	"ɕ"	"y̑oʔ"	"˧"
"焱"	"焱"	"ɕy̑oʔ˧"	""	"ɕ"	"y̑oʔ"	"˧"
"殈"	"殈"	"ɕy̑oʔ˧"	""	"ɕ"	"y̑oʔ"	"˧"
"橫"	"横"	"xwə̞n˨˩"	""	"x"	"wə̞n"	"˨˩"
"轟"	"轰"	"xoŋ˦˥"	""	"x"	"oŋ"	"˦˥"
"宏"	"宏"	"xoŋ˨˩"	""	"x"	"oŋ"	"˨˩"
"兄"	"兄"	"ɕy̑oŋ˦˥"	""	"ɕ"	"y̑oŋ"	"˨˩"
"榮"	"荣"	"ɥin˨˩"	""	"j"	"y̑in"	"˨˩"
"禜"	"禜"	"ɥin˨˩"	""	"j"	"y̑in"	"˨˩"
"蠑"	"蝾"	"ɥin˨˩"	""	"j"	"y̑in"	"˨˩"
"瑩"	"莹"	"ɥin˨˩"	""	"j"	"y̑in"	"˨˩"
"揘"	"揘"	"ɥin˨˩"	""	"j"	"y̑in"	"˨˩"
"嶸"	"嵘"	"ɥin˨˩"	""	"j"	"y̑in"	"˨˩"
"永"	"永"	"ɥin˦˩"	""	"j"	"y̑in"	"˦˩"
"栐"	"栐"	"ɥin˦˩"	""	"j"	"y̑in"	"˦˩"
"𦬺"	"𦬺"	"ɕy̑in˦˩"	""	"ɕ"	"y̑in"	"˦˩"
"憬"	"憬"	"t͡ɕy̑in˦˩"	""	"t͡ɕ"	"y̑in"	"˦˩"
"囧"	"囧"	"t͡ɕy̑in˦˩"	""	"t͡ɕ"	"y̑in"	"˦˩"
"煚"	"煚"	"t͡ɕy̑in˦˩"	""	"t͡ɕ"	"y̑in"	"˦˩"
"璟"	"璟"	"t͡ɕy̑in˦˩"	""	"t͡ɕ"	"y̑in"	"˦˩"
"臩"	"臩"	"t͡ɕy̑in˦˩"	""	"t͡ɕ"	"y̑in"	"˦˩"
"暻"	"暻"	"t͡ɕy̑in˦˩"	""	"t͡ɕ"	"y̑in"	"˦˩"
"泳"	"泳"	"ɥin˩˧"	""	"j"	"y̑in"	"˩˧"
"醟"	"醟"	"ɥin˩˧"	""	"j"	"y̑in"	"˩˧"
"禜"	"禜"	"ɥin˩˧"	""	"j"	"y̑in"	"˩˧"
"詠"	"咏"	"ɥin˦˩"	""	"j"	"y̑in"	"˦˩"
"傾"	"倾"	"t͡ɕʰy̑in˦˥"	""	"t͡ɕʰ"	"y̑in"	"˦˥"
"頃"	"顷"	"t͡ɕʰy̑in˦˥"	""	"t͡ɕʰ"	"y̑in"	"˦˥"
"瓊"	"琼"	"t͡ɕʰy̑in˨˩"	""	"t͡ɕʰ"	"y̑in"	"˨˩"
"藑"	"藑"	"t͡ɕʰy̑in˨˩"	""	"t͡ɕʰ"	"y̑in"	"˨˩"
"惸"	"惸"	"t͡ɕʰy̑in˨˩"	""	"t͡ɕʰ"	"y̑in"	"˨˩"
"𨍶"	"𨍶"	"t͡ɕʰy̑in˨˩"	""	"t͡ɕʰ"	"y̑in"	"˨˩"
"焭"	"焭"	"t͡ɕʰy̑in˨˩"	""	"t͡ɕʰ"	"y̑in"	"˨˩"
"𦾵"	"𦾵"	"t͡ɕʰy̑in˨˩"	""	"t͡ɕʰ"	"y̑in"	"˨˩"
"赹"	"赹"	"t͡ɕʰy̑in˨˩"	""	"t͡ɕʰ"	"y̑in"	"˨˩"
"𦽓"	"𦽓"	"t͡ɕʰy̑in˨˩"	""	"t͡ɕʰ"	"y̑in"	"˨˩"
"㒌"	"㒌"	"t͡ɕʰy̑in˨˩"	""	"t͡ɕʰ"	"y̑in"	"˨˩"
"𢗋"	"𢗋"	"t͡ɕʰy̑in˨˩"	""	"t͡ɕʰ"	"y̑in"	"˨˩"
"憌"	"憌"	"t͡ɕʰy̑in˨˩"	""	"t͡ɕʰ"	"y̑in"	"˨˩"
"𡞦"	"𡞦"	"t͡ɕʰy̑in˨˩"	""	"t͡ɕʰ"	"y̑in"	"˨˩"
