					#调值 [1]31 [2]55 [3]24 [4]212
历	l	i	31		
锡	ɕ	i	31		
击	tɕ	i	31		
吃	tsʰ	ɿ	31		
横	f	ən	55		
划	f	a	212		
兄	ɕ	iəŋ	31		
荣	z	əŋ	55		
永	Ǿ	iəŋ	24		
营	Ǿ	in	55		
蓬	pʰ	əŋ	55		
东	t	əŋ	31		
懂	t	əŋ	24		
冻	t	əŋ	212		
通	tʰ	əŋ	31		
桶	tʰ	əŋ	24		
痛	tʰ	əŋ	212		
铜	tʰ	əŋ	55		
动	t	əŋ	212		
洞	t	əŋ	212		
聋	l	əŋ	55		
弄	l	əŋ	212		
粽	ts	əŋ	212		
葱	tsʰ	əŋ	31		
送	s	əŋ	212		
公	k	əŋ	31		
孔	kʰ	əŋ	24		
烘	x	əŋ	31		
红	x	əŋ	55		
翁	Ǿ	əŋ	31		
木	m	u	31		
读	t	əu	55		
鹿	l	əu	31		
族	s	əu	55		
谷	k	u	31		
哭	kʰ	u	31		
屋	v	u	31		
冬	t	əŋ	31		
统	tʰ	əŋ	24		
脓	l	əŋ	55		
松	s	əŋ	31		
宋	s	əŋ	212		
毒	t	əu	55		
风	f	əŋ	31		
丰	f	əŋ	31		
凤	f	əŋ	212		
梦	m	əŋ	212		
中	ts	əŋ	31		
虫	tsʰ	əŋ	55		
终	ts	əŋ	31		
充	tsʰ	əŋ	31		
宫	k	əŋ	31		
穷	tɕʰ	iəŋ	55		
熊	ɕ	iəŋ	55		
雄	ɕ	iəŋ	55		
福	f	u	31		
服	f	u	31		
目	m	u	31		
六	l	əu	31		
宿	s	o	31		
竹	ts	əu	31		
畜	tsʰ	əu	31		
缩	s	o	31		
叔	s	əu	31		
熟	s	əu	55		
肉	z	əu	212		
菊	tʃ	y	31		
育	Ǿ	yo	31		
封	f	əŋ	31		
蜂	f	əŋ	31		
缝	f	əŋ	212		
浓	l	əŋ	55		
龙	l	əŋ	55		
松	s	əŋ	31		
重	ts	əŋ	212		
肿	ts	əŋ	24		
种	ts	əŋ	212		
冲	tsʰ	əŋ	31		
恭	k	əŋ	31		
共	k	əŋ	31		
凶	ɕ	iəŋ	31		
拥	Ǿ	iəŋ	24		
容	Ǿ	iəŋ	55		
用	Ǿ	iəŋ	212		
绿	l	əu	31		
足	ts	o	31		
烛	ts	əu	55		
赎	s	əu	55		
属	s	u	55		
褥	l	u	212		
曲	tʃʰ	yo	31		
局	tʃ	y	31		
玉	Ǿ	y	212		
浴	Ǿ	y	31		
