tsɿ⁵²	之知栀蜘兹咨姿资滋芝枝支肢
kuəi³⁵	癸贵桂鳜
kuəi³¹	柜跪
kʰuəi⁵²	亏盔窥奎
kʰuəi²²	葵魁逵
kʰuəi⁴⁴	傀
kʰuəi³⁵	溃
kʰuəi³¹	愧
uəi⁵²	威煨萎
uəi²²	危微围违桅唯惟维为
uəi⁴⁴	尾委
uəi³⁵	为
uəi³¹	伪卫未位味畏谓胃猬慰魏纬伟苇尉韦餵
pau⁵²	苞包
pau²²	袍
pau⁴⁴	胞宝饱保堡抱菢褒
pau³⁵	雹报豹暴爆匏{大脖子病叫~颈}
pau³¹	鲍铇
pʰau⁵²	抛泡
pʰau³⁵	炮疱泡{浸}
mau⁵²	冒帽貌
mau²²	毛矛茅猫
mau⁴⁴	卯牡
tau⁵²	刀叨
tau²²	逃掏陶淘萄桃
tau⁴⁴	导岛捣祷倒
tau³⁵	到悼盗道倒
tau³¹	稻
tʰau⁵²	涛滔
tʰau⁴⁴	讨
tʰau³⁵	套
lau²²	捞劳牢唠痨
lau⁴⁴	老恼脑瑙
lau³⁵	涝
lau³¹	闹
tsau⁵²	遭糟招昭沼诏召朝{今~}
tsau²²	潮巢嘲朝{~代}
tsau⁴⁴	找早枣蚤澡爪藻
tsau³⁵	兆糙窖灶皂躁照罩燥
tsau³¹	造赵
tsʰau⁵²	超操抄钞
tsʰau²²	曹槽
tsʰau⁴⁴	草吵炒
sau⁵²	烧搔骚臊筲
sau²²	韶
sau⁴⁴	嫂扫{打~}少{不多}
sau³⁵	邵绍潲扫{~把}少{~年}
kau⁵²	羔高篙糕膏
kau⁴⁴	搞稿
kau³⁵	告犒
kʰau⁵²	敲
kʰau⁴⁴	考烤
kʰau³⁵	拷靠
ŋau²²	嗷熬
ŋau⁴⁴	袄咬
ŋau³⁵	奥懊傲鏊噢岰坳
ŋau⁵	噩鳄
xau⁵²	蒿薅
xau²²	豪壕毫嚎蚝濠
xau⁴⁴	好{不坏}
xau³⁵	好{喜爱}
xau³¹	号浩耗
piau⁵²	彪标膘镖猋{疾奔}熛{火星飞迸}瀌{水飞溅}
piau²²	瓢嫖
piau⁴⁴	婊表錶
pʰiau⁵²	飘漂{~流}
pʰiau⁴⁴	瞟
pʰiau³⁵	票漂{~亮}
miau²²	苗描
miau⁴⁴	秒渺
miau³¹	庙妙
tiau⁵²	刁貂雕
tiau²²	条迢调{~和}跳{小孩乱动}
tiau⁴⁴	鸟
tiau³⁵	掉吊钓调{~动}
tʰiau⁵²	挑
tʰiau³⁵	跳
liau²²	辽聊撩燎瞭僚嘹镣疗缭
liau⁴⁴	了
liau³¹	廖料尿
liau⁵	疟
tɕiau⁵²	交郊娇浇骄胶椒焦蕉噍乔侨荞桥樵教{~书}
tɕiau²²	爵嚼蛟
tɕiau⁴⁴	狡绞饺铰搅剿缴荞
tɕiau³⁵	矫叫较教{~师}觉{睡~}
tɕiau³¹	轿噍{反~：反刍}
tɕiau⁵	脚
tɕʰiau⁵²	悄锹缲
tɕʰiau²²	瞧
tɕʰiau⁴⁴	巧
tɕʰiau³⁵	蹻窍俏撬翘
ɕiau⁵²	捎宵消逍萧硝销箫霄嚣淆肖稍鞘梢削
ɕiau⁴⁴	小晓
ɕiau³⁵	笑酵孝效校
iau⁵²	妖腰邀幺要{~求}
iau²²	饶桡尧姚窑谣摇遥挠
iau⁴⁴	扰舀
iau³⁵	耀跃绕要{重~}
iau³¹	鹞
iau⁵	药
məu²²	谋
məu⁴⁴	亩
məu³¹	暮茂贸募墓慕
fəu⁴⁴	否
təu⁵²	兜
təu²²	读毒投
təu⁴⁴	抖陡
təu³⁵	窦鬥
tsəu⁵²	州舟周洲邹
tsəu²²	愁酬仇
tsəu⁴⁴	肘
tsəu³⁵	纣绉昼皱奏揍凑做
tsəu⁵	帚
səu⁵²	搜馊飓艘
kəu⁵²	抠
kəu⁵	谷穀
kʰəu³⁵	叩扣寇
kʰəu⁵	哭
ŋəu⁵²	鸥
ŋəu⁴⁴	呕殴
xəu⁴⁴	吼
tiəu⁵²	丢
liəu²²	牛刘流留琉硫榴瘤
liəu⁴⁴	柳扭纽
liəu³¹	谬馏溜
liəu⁵	鹿六陆陸绿{~色}
tɕiəu⁵²	鸠阉州纠
tɕiəu²²	绸稠筹囚求泅球仇{姓}
tɕiəu⁴⁴	九久灸韭酒
tɕiəu³⁵	究救骤咒
tɕiəu³¹	旧柩就舅
tɕiəu⁵	撮竹粥揪卒
tɕʰiəu⁵²	抽丘秋蚯鳅鞦邱
tɕʰiəu²²	瞅
tɕʰiəu⁴⁴	丑醜
tɕʰiəu³⁵	臭
ɕiəu⁵²	收休修羞
ɕiəu²²	缩
ɕiəu⁴⁴	手守首黍朽
ɕiəu³⁵	携秀绣锈诱嗅
ɕiəu³¹	寿受兽售授袖
iəu⁵²	优忧幽悠犹
iəu²²	揉柔由邮油游尤
iəu⁴⁴	友有酉
iəu³¹	柚又右幼祐鼬釉
iəu⁵	肉
yu²²	如入育褥役疫儒辱
yu⁴⁴	汝
pã⁵²	班般颁斑搬
pã²²	盘扮扳
pã⁴⁴	板版
pã³⁵	半伴绊拌
pã³¹	办瓣
pʰã⁵²	藩潘攀
pʰã³⁵	襟判叛盼
mã²²	蛮馒瞒屘
mã⁴⁴	满
mã³¹	慢漫曼慢蔓
fã⁵²	番翻欢
fã²²	帆凡矾烦繁环桓还
fã⁴⁴	反返缓
fã³¹	饭贩幻宦换患焕犯泛唤范範
tã⁵²	丹耽单担{~任}
tã²²	掸谈痰谭潭檀坛罎弹{~簧}
tã⁴⁴	胆疽淡
tã³⁵	担{~子}
