"IPA"	"調號"	"調類"	"單字"	"参考：吴晓燕，绥宁梅坪话同音字汇 湖南人文科技学院学报  2008年6月第3期"
"liaɯ"	"2"	"24"	"辽疗聊撩[~起来]楼焯[(把菜放在开水里~)]燎[~原]瞭"	""
"liaɯ"	"3"	"11"	"了[~结]鸟纽杳[~无音信]"	""
"tsiaɯ "	"1"	"55"	"椒焦蕉[芭~，~香]邹"	""
"tsiaɯ "	"3"	"11"	"走"	""
"tsiaɯ "	"5"	"35"	"绉皱奏"	""
"tsʰiaɯ "	"1"	"55"	"搊[~起来]雀麻鹊[喜~]"	""
"tsʰiaɯ "	"2"	"24"	"愁樵瞧"	""
"tsʰiaɯ "	"5"	"35"	"凑"	""
"siaɯ"	"1"	"55"	"悄[静~]宵消萧硝销箫霄搜蒐[~集]馊[饭~了]飕"	""
"siaɯ"	"3"	"11"	"小"	""
"siaɯ"	"5"	"35"	"瘦笑"	""
"kiaɯ"	"1"	"55"	"羹勾[~当]沟鉤阄[拈~]"	""
"kiaɯ"	"3"	"11"	"狗苟"	""
"kiaɯ"	"5"	"35"	"构购够"	""
"kʰiaɯ"	"1"	"55"	"眍[眼~]丘"	""
"kʰiaɯ"	"3"	"11"	"口"	""
"kʰiaɯ"	"5"	"35"	"扣[~住]寇"	""
"xiaɯ"	"1"	"55"	"后後候"	""
"xiaɯ"	"2"	"24"	"侯喉"	""
"xiaɯ"	"5"	"35"	"猴"	""
"iaɯ"	"1"	"55"	"么[~二三]妖腰邀要[~求]耀幽悠[~~]"	""
"iaɯ"	"2"	"24"	"饶柔姚窑谣摇由犹邮"	""
"iaɯ"	"3"	"11"	"扰绕[围~]舀[~水]"	""
"iaɯ"	"5"	"35"	"怄[~气]要[重~]诱"	""
"tsʰuei"	"5"	"35"	"粹[纯~]"	""
"suei"	"5"	"35"	"隧[~道]穗"	""
"kuei"	"1"	"55"	"归圭龟规闺"	""
"kuei"	"3"	"11"	"轨诡鬼"	""
"kuei"	"5"	"35"	"贵桂"	""
"kʰuei"	"1"	"55"	"柜跪亏盔魁"	""
"kʰuei"	"2"	"24"	"癸奎逵葵"	""
"kʰuei"	"5"	"35"	"愧"	""
"xuei"	"1"	"55"	"飞妃非疿[~子]恢浑[~浊]"	""
"xuei"	"2"	"24"	"肥"	""
"xuei"	"3"	"11"	"匪"	""
"xuei"	"5"	"35"	"废肺费[~用]"	""
"uei"	"1"	"55"	"危威未味"	""
"uei"	"2"	"24"	"微为[作~]围违唯惟维"	""
"uei"	"3"	"11"	"伟伪[~装]伪虚尾纬苇芦委萎[~缩]魏"	""
"uei"	"5"	"35"	"为[~什么]卫位畏胃谓慰"	""
"pan"	"1"	"55"	"扳班般=颁斑扮"	""
"pan"	"3"	"11"	"板版"	""
"pʰan"	"1"	"55"	"攀盼"	""
"pʰan"	"5"	"35"	"办襻[纽~]"	""
"man"	"1"	"55"	"慢"	""
"man"	"2"	"24"	"蛮"	""
"man"	"5"	"35"	"瓣馒[~头]"	""
"tan"	"1"	"55"	"丹单[~独]担[~任]耽旦"	""
"tan"	"3"	"11"	"胆"	""
"tan"	"5"	"35"	"担[挑~]诞"	""
"tʰan"	"1"	"55"	"但=坍[~下来]摊=滩="	""
"tʰan"	"3"	"11"	"坦="	""
"lan"	"1"	"55"	"烂滥难[患~]齈[(多涕鼻疾)]"	""
"lan"	"2"	"24"	"兰拦栏蓝篮男南难[~易]"	""
"lan"	"3"	"11"	"览揽缆榄[橄~]懒"	""
"tsan"	"1"	"55"	"沾粘[~贴]氈瞻占[~卜]"	""
"tsan"	"3"	"11"	"攒[积~]斩盏"	""
"tsan"	"5"	"35"	"赞灒站[车~]站[~立]蘸[~酱油]"	""
"tsʰan"	"1"	"55"	"参餐搀錾[~子,~花]"	""
"tsʰan"	"2"	"24"	"残惭谗馋蝉"	""
"tsʰan"	"3"	"11"	"惨产铲"	""
"tsʰan"	"5"	"35"	"蚕灿禅[~宗]渐暂"	""
"san"	"1"	"55"	"三山删珊伞"	""
"san"	"3"	"11"	"散[~步]"	""
"san"	"5"	"35"	"散[分~]"	""
"kan"	"1"	"55"	"干甘肝尴[~尬]奸间[空~,中~]肩艰乾[~湿]"	""
"kan"	"3"	"11"	"竿[竹~]赶敢稈[稻~]感橄[~榄]擀[~面]拣减简"	""
"kan"	"5"	"35"	"幹间[~断]监[~视]舰鉴"	""
"kʰan"	"1"	"55"	"刊勘[~误,~探]堪"	""
"kʰan"	"3"	"11"	"龛坎砍"	""
"kʰan"	"5"	"35"	"看[~见]看[~守]"	""
"ŋan"	"1"	"55"	"鞍雁"	""
"ŋan"	"2"	"24"	"颜"	""
"ŋan"	"5"	"35"	"按案暗晏[(晚也)]"	""
"xan"	"1"	"55"	"贪探[试~]憾憨陷嵌[~玻璃]滩-摊-罕旱"	""
"xan"	"2"	"24"	"潭谭含函谈痰咸檀坛弹[~琴]寒韩闲"	""
"xan"	"3"	"11"	"毯淡喊坦="	""
"xan"	"5"	"35"	"叹炭汉"	""
"an"	"1"	"55"	"庵安岸="	""
"an"	"3"	"11"	"眼"	""
"an"	"5"	"35"	"案"	""
"kuan"	"1"	"55"	"关观[参~]"	""
"kuan"	"5"	"35"	"贯"	""
"kʰuan"	"1"	"55"	"凡帆番[几~]翻饭"	""
"kʰuan"	"2"	"24"	"凡烦繁磐还[~原]环"	""
"kʰuan"	"3"	"11"	"反"	""
"kʰuan"	"5"	"35"	"犯泛范範宦患贩"	""
"uan"	"1"	"55"	"豌[~豆]弯湾"	""
"uan"	"2"	"24"	"完顽[~皮,~固]"	""
"uan"	"3"	"11"	"挽晚皖[(安徽)]腕"	""
"uan"	"5"	"35"	"万醃"	""
"pən"	"1"	"55"	"奔崩宾彬槟[~榔]殡鬓冰兵"	""
"pən"	"3"	"11"	"本笨丙柄饼禀"	""
"pən"	"5"	"35"	"迸[~裂]併[合~]并殡"	""
"pʰən"	"1"	"55"	"拼"	""
"pʰən"	"2"	"24"	"盆彭膨[~胀]贫频[~繁]平=评凭坪屏[~围]瓶萍"	""
"pʰən"	"3"	"11"	"品"	""
"pʰən"	"5"	"35"	"拚[~命]喷[~香]聘病="	""
"mən"	"1"	"55"	"蚊-"	""
"mən"	"2"	"24"	"门名-明-鸣铭民"	""
"mən"	"3"	"11"	"敏"	""
"mən"	"5"	"35"	"闷命="	""
"tən"	"1"	"55"	"扽[(用力拉)]灯登瞪[~眼]丁钉=[铁~]靪[补鞋底]敦[~厚]墩蹲盾[矛~，赵~]钝饨[馄~]"	""
"tən"	"3"	"11"	"等顶鼎="	""
"tən"	"5"	"35"	"凳钉=[~住]订[约~]盾[矛~]顿"	""
"tʰən"	"1"	"55"	"吞邓"	""
"tʰən"	"2"	"24"	"腾廷=亭=庭=停=蜓[蜻~]"	""
"tʰən"	"3"	"11"	"挺艇"	""
"tʰən"	"5"	"35"	"定听[~其自然，~任]"	""
"lən"	"1"	"55"	"另嫩"	""
"lən"	"2"	"24"	"邻林临淋[~漓，~湿]燐鳞拎灵凌铃陵菱零伦沦轮嵛能宁[安~]宁[~可]"	""
"lən"	"3"	"11"	"冷=领="	""
"lən"	"5"	"35"	"令论[议~]"	""
"tsən"	"1"	"55"	"津晶睛[眼~]精[~神]曾[(姓)]增憎赠争睁筝尊遵"	""
"tsən"	"3"	"11"	"井="	""
"tsən"	"5"	"35"	"进晋浸静俊"	""
"tsʰən"	"1"	"55"	"村净亲[~家]青清蜻"	""
"tsʰən"	"2"	"24"	"层存秦情晴=寻曾[~经]"	""
"tsʰən"	"3"	"11"	"寝请="	""
"tsʰən"	"5"	"35"	"衬撑寸尽儘[~量]靖渗[水~,~透]侵"	""
"sən"	"1"	"55"	"参[人~]森僧生=牲孙心辛新薪星="	""
"sən"	"3"	"11"	"省[~反,节~,~长]损笋榫[~头]醒="	""
"sən"	"5"	"35"	"信姓性讯迅"	""
"ʧən"	"1"	"55"	"塍[田~]巾今斤金筋禁[~不住]京经经纬[~线]惊鲸径贞针侦珍真斟臻震征征[~求]蒸钧"	""
"ʧən"	"3"	"11"	"仅紧谨锦景警诊枕疹拯[~救]整[平~]振"	""
"ʧən"	"5"	"35"	"劲[~敌]劲[有~]禁[~止]竞竟敬镜镇正证政症境"	""
"ʧʰən"	"1"	"55"	"称[~呼,~重量]称[相~]趁乘澄[(水清)]钦轻[~重,年~]卿阵郑"	""
"ʧʰən"	"2"	"24"	"尘臣沉陈丞成呈承诚城乘程橙逞[~能]芹琴禽勤"	""
"ʧʰən"	"3"	"11"	"惩"	""
"ʧʰən"	"5"	"35"	"秤[一杆~]近庆肫[(鸟类的胃)]"	""
"ʃən"	"1"	"55"	"申伸身娠深升声=剩欣馨兴[高~]兴[~旺]"	""
"ʃən"	"2"	"24"	"辰晨衡神绳刑行[品~]形型"	""
"ʃən"	"3"	"11"	"沈审婶"	""
"ʃən"	"5"	"35"	"肾甚慎胜[~败]胜[~任]圣杏幸盛[~盛]"	""
"kən"	"1"	"55"	"根跟更=[~换,五~]庚耕"	""
"kən"	"3"	"11"	"耿"	""
"kən"	"5"	"35"	"更[~加]"	""
"kʰən"	"3"	"11"	"肯恳揿[(按)]"	""
"xən"	"1"	"55"	"邓-亨"	""
"xən"	"2"	"24"	"痕恒誊藤廷-亭-庭-停-蜓-[蜻~]"	""
"xən"	"3"	"11"	"很"	""
"xən"	"5"	"35"	"恨"	""
"in"	"1"	"55"	"认靱姻荫[屋子很~]音殷英莺婴缨鹦[~鹉，~哥]鹰蝇映"	""
"in"	"2"	"24"	"人仁寅淫迎盈赢"	""
"in"	"3"	"11"	"忍引饮[~米汤]饮[~酒]隐颖影=永-咏允泳-"	""
"in"	"5"	"35"	"任[(姓)]任[责~]紝[缝~]洇印应[~当,~用]应[~对,响~]孕[怀~]"	""
"kuən"	"3"	"11"	"滚"	""
"kuən"	"5"	"35"	"棍"	""
"kʰuən"	"1"	"55"	"崑荤坤昆"	""
"kʰuən"	"3"	"11"	"綑"	""
"kʰuən"	"5"	"35"	"困"	""
"xuən"	"1"	"55"	"分[~开]纷芬份[一~]昏婚"	""
"xuən"	"2"	"24"	"坟焚横-馄[~饨]魂"	""
"xuən"	"3"	"11"	"粉混[相~,~沌]"	""
"xuən"	"5"	"35"	"奋愤粪喷-[~水]"	""
"uən"	"1"	"55"	"温瘟问"	""
"uən"	"2"	"24"	"文纹闻蚊=吻"	""
"uən"	"3"	"11"	"稳"	""
"uən"	"5"	"35"	"滃[~死:淹死]"	""
"ʧʯn"	"1"	"55"	"军君均"	""
"ʧʯn"	"3"	"11"	"准"	""
"ʧʰʯn"	"1"	"55"	"春椿树"	""
"ʧʰʯn"	"2"	"24"	"唇裙群"	""
"ʧʰʯn"	"3"	"11"	"蠢窘菌"	""
"ʃʯn"	"1"	"55"	"勋熏薰"	""
"ʃʯn"	"2"	"24"	"巡旬荀循"	""
"ʃʯn"	"5"	"35"	"顺舜"	""
"ʯn"	"1"	"55"	"润闰晕[日~,月~]"	""
"ʯn"	"2"	"24"	"云匀雲"	""
"ʯn"	"3"	"11"	"尹"	""
"ʯn"	"5"	"35"	"运韵熨"	""
"taŋ"	"1"	"55"	"当[~时,应~]"	""
"taŋ"	"3"	"11"	"挡"	""
"taŋ"	"5"	"35"	"当[~作]当[典~]"	""
"tʰaŋ"	"3"	"11"	"躺"	""
"tʰaŋ"	"5"	"35"	"趟[一~]烫"	""
"laŋ"	"1"	"55"	"浪"	""
"laŋ"	"2"	"24"	"郎狼廊蜋"	""
"laŋ"	"3"	"11"	"朗冷-暖"	""
"tsaŋ"	"1"	"55"	"赃髒[(不干净)]争庄椿撞装="	""
"tsaŋ"	"5"	"35"	"葬壮"	""
"tsʰaŋ"	"1"	"55"	"仓苍疮窗状"	""
"tsʰaŋ"	"3"	"11"	"闯"	""
"tsʰaŋ"	"5"	"35"	"创"	""
"saŋ"	"1"	"55"	"丧[婚~]生-甥双[~生]双[一~鞋]桑"	""
"saŋ"	"3"	"11"	"嗓磉[(柱下石礅)]爽"	""
"saŋ"	"5"	"35"	"丧[~失]丧[婚~]"	""
"ʧaŋ"	"1"	"55"	"江姜僵薑疆经[~纬,~线]张章樟正[~月]"	""
"ʧaŋ"	"3"	"11"	"长=[生~]进=颈掌"	""
"ʧaŋ"	"5"	"35"	"降-[下~]帐账障[保~]瘴[~气]仗[打~杖]"	""
"ʧʰaŋ"	"1"	"55"	"昌菖[~蒲]倡[提~]腔轻-[~重]"	""
"ʧʰaŋ"	"2"	"24"	"长[~短]场[~地]场[~所]强[~大]"	""
"ʧʰaŋ"	"3"	"11"	"厂强丈仗[~势人"	""
"ʧʰaŋ"	"5"	"35"	"畅唱肠"	""
"ʃaŋ"	"1"	"55"	"伤商尚声-乡香"	""
"ʃaŋ"	"2"	"24"	"尝偿常降[~伏,投~]裳[衣~]"	""
"ʃaŋ"	"3"	"11"	"享饷響"	""
"ʃaŋ"	"5"	"35"	"上[~面]上[~山]向"	""
"kaŋ"	"1"	"55"	"冈刚江-纲缸钢更岗"	""
"kaŋ"	"3"	"11"	"港[~口]讲-"	""
"kaŋ"	"5"	"35"	"杠=梗[~子,茎]汞虹-[天上的~]降-[下~]扛"	""
"kʰaŋ"	"1"	"55"	"康糠坑[~出去]"	""
"kʰaŋ"	"3"	"11"	"慷[~慨]"	""
"kʰaŋ"	"5"	"35"	"烘[~干]抗炕"	""
"xaŋ"	"1"	"55"	"汤趟-"	""
"xaŋ"	"2"	"24"	"杭航唐堂棠塘糖螳[~螂]行[~列,银~]行[~路]"	""
"xaŋ"	"3"	"11"	"挡[阻~]党杠-"	""
"xaŋ"	"5"	"35"	"荡[放~]掭[~笔]"	""
"aŋ"	"1"	"55"	"骯[~脏]硬"	""
"aŋ"	"2"	"24"	"昂"	""
"aŋ"	"5"	"35"	"影-"	""
"pʰiaŋ"	"1"	"55"	"病-"	""
"pʰiaŋ"	"2"	"24"	"平-"	""
"miaŋ"	"1"	"55"	"命-"	""
"miaŋ"	"2"	"24"	"名-明-"	""
"tiaŋ"	"1"	"55"	"钉-[铁~]靪-[补鞋底]装-"	""
"tiaŋ"	"3"	"11"	"长-[生~]涨"	""
"tiaŋ"	"5"	"35"	"钉-[~住]鼎胀1"	""
"liaŋ"	"1"	"55"	"凉亮量[数~]"	""
"liaŋ"	"2"	"24"	"梁粮粱量-长短娘"	""
"liaŋ"	"3"	"11"	"两几-儿钱两~个辆岭领酿ts"	""
"tsiaŋ"	"1"	"55"	"将来浆精肉"	""
"tsiaŋ"	"3"	"11"	"奖蒋井"	""
"tsiaŋ"	"5"	"35"	"将大-桨酱ts'"	""
"tsʰiaŋ"	"1"	"55"	"匠枪青清像相~"	""
"tsʰiaŋ"	"2"	"24"	"墙晴详祥"	""
"tsʰiaŋ"	"3"	"11"	"抢请s"	""
"siaŋ"	"1"	"55"	"相互厢湘箱镶星腥"	""
"siaŋ"	"3"	"11"	"想醒"	""
"siaŋ"	"5"	"35"	"相-貌象大-像相像肖-橡胶0"	""
"iaŋ"	"1"	"55"	"壤[土~]让央秧烊[(融化)]样樱[~桃]"	""
"iaŋ"	"2"	"24"	"扬羊阳杨疡[溃~]洋赢"	""
"iaŋ"	"3"	"11"	"仰养痒"	""
"poŋ"	"3"	"11"	"~[(抱)]"	""
"pʰoŋ"	"2"	"24"	"朋蓬篷"	""
"pʰoŋ"	"3"	"11"	"捧"	""
"pʰoŋ"	"5"	"35"	"缝[一条~]"	""
"moŋ"	"1"	"55"	"木穆-孟"	""
"moŋ"	"2"	"24"	"萌盟蒙"	""
"moŋ"	"3"	"11"	"猛懵[~懂]母-拇-"	""
"moŋ"	"5"	"35"	"梦目牧-暮"	""
"toŋ"	"1"	"55"	"东冬中-[当~]"	""
"toŋ"	"3"	"11"	"董懂"	""
"toŋ"	"5"	"35"	"栋冻"	""
"tʰoŋ"	"1"	"55"	"通="	""
"tʰoŋ"	"3"	"11"	"统桶-"	""
"tʰoŋ"	"5"	"35"	"动[行~,劳~]动[运~,~力]痛-"	""
"loŋ"	"1"	"55"	"聋"	""
"loŋ"	"2"	"24"	"龙隆农浓脓"	""
"loŋ"	"3"	"11"	"垅拢"	""
"loŋ"	"5"	"35"	"笼弄"	""
"tsoŋ"	"1"	"55"	"宗棕鬃[马~，猪~]"	""
"tsoŋ"	"3"	"11"	"总"	""
"tsoŋ"	"5"	"35"	"综[织机上的~]粽"	""
"tsʰoŋ"	"1"	"55"	"囱[烟~]匆葱聪"	""
"tsʰoŋ"	"2"	"24"	"崇从[~容]从[跟~]丛松-"	""
"tsʰoŋ"	"5"	"35"	"焌[(把燃烧着的东西弄灭)]"	""
"soŋ"	"1"	"55"	"鬆"	""
"soŋ"	"5"	"35"	"讼宋诵送颂"	""
"ʧoŋ"	"1"	"55"	"供-[~老人]中=[当~]忠终盅鍾鐘"	""
"ʧoŋ"	"3"	"11"	"肿种[~类]"	""
"ʧoŋ"	"5"	"35"	"中[射~]种[~树]众"	""
"ʧʰoŋ"	"1"	"55"	"充冲舂[~米]"	""
"ʧʰoŋ"	"2"	"24"	"穷琼重[~复]"	""
"ʧʰoŋ"	"3"	"11"	"宠"	""
"ʧʰoŋ"	"5"	"35"	"铳[放~]铳[鸟~]重[~量]虫"	""
"ʃoŋ"	"1"	"55"	"凶[吉~]兄兇[~恶]胸"	""
"ʃoŋ"	"2"	"24"	"宏雄熊"	""
"ʃoŋ"	"5"	"35"	"嗅[(用鼻子闻)]"	""
"koŋ"	"1"	"55"	"工弓公功攻[~击]宫恭蚣[蜈~]躬"	""
"koŋ"	"3"	"11"	"巩[~固]拱[~手]"	""
"koŋ"	"5"	"35"	"供=[~给,~不起]供[上~]贡"	""
"kʰoŋ"	"1"	"55"	"空[~虚]"	""
"kʰoŋ"	"3"	"11"	"孔恐"	""
"kʰoŋ"	"5"	"35"	"共空[~缺]控"	""
"xoŋ"	"1"	"55"	"洞丰风枫封疯峰锋蜂讽奉轰通-"	""
"xoŋ"	"2"	"24"	"冯虹=缝[~衣服]弘红洪鸿同桐铜童筒"	""
"xoŋ"	"3"	"11"	"哄[~骗]揈[~出去]桶-"	""
"xoŋ"	"5"	"35"	"凤疼痛-"	""
"oŋ"	"1"	"55"	"翁壅[~肥]"	""
"iŋ"	"1"	"55"	"庸雍用"	""
"iŋ"	"2"	"24"	"绒茸[参~]荣容蓉[芙~]"	""
"iŋ"	"3"	"11"	"拥泳勇涌"	""
"mɛ̃"	"2"	"24"	"眉媚迷"	""
"mɛ̃"	"3"	"11"	"米"	""
"mɛ̃"	"5"	"35"	"弥谜泌密蜜"	""
"piɛ̃"	"1"	"55"	"边鞭辫"	""
"piɛ̃"	"3"	"11"	"贬扁匾"	""
"piɛ̃"	"5"	"35"	"变"	""
"pʰiɛ̃"	"1"	"55"	"编偏篇骗[欺~]"	""
"pʰiɛ̃"	"2"	"24"	"便[~宜]"	""
"pʰiɛ̃"	"5"	"35"	"便[方~]遍[~地]遍[一~]辨辩片"	""
"miɛ̃"	"1"	"55"	"面缅麺"	""
"miɛ̃"	"2"	"24"	"眠绵棉"	""
"miɛ̃"	"3"	"11"	"免勉娩[分~]"	""
"tiɛ̃"	"1"	"55"	"颠"	""
"tiɛ̃"	"3"	"11"	"典点"	""
"tiɛ̃"	"5"	"35"	"店垫[~钱]奠"	""
"tʰiɛ̃"	"1"	"55"	"天添"	""
"tʰiɛ̃"	"2"	"24"	"田甜填"	""
"tʰiɛ̃"	"5"	"35"	"电殿"	""
"liɛ̃"	"1"	"55"	"连帘莲联廉镰年鲇[~鱼]"	""
"liɛ̃"	"2"	"24"	"脸碾染"	""
"liɛ̃"	"3"	"11"	"练炼恋楝[~树]念验"	""
"tsiɛ̃"	"1"	"55"	"尖煎"	""
"tsiɛ̃"	"3"	"11"	"剪"	""
"tsiɛ̃"	"5"	"35"	"箭"	""
"tsʰiɛ̃"	"5"	"35"	"歼[~灭]贱千迁铅[~笔]签"	""
"tsʰiɛ̃"	"2"	"24"	"前钱全"	""
"tsʰiɛ̃"	"3"	"11"	"践浅潜"	""
"siɛ̃"	"1"	"55"	"仙先宣"	""
"siɛ̃"	"2"	"24"	"旋"	""
"siɛ̃"	"3"	"11"	"鲜[~少]鲜[新~]选癣"	""
"siɛ̃"	"5"	"35"	"腱线羡旋[临时，~吃~做]"	""
"ʨiɛ̃"	"1"	"55"	"坚兼"	""
"ʨiɛ̃"	"2"	"24"	"乾[~坤]"	""
"ʨiɛ̃"	"3"	"11"	"搛[~菜]柬茧检笕[以竹通水]碱展俭"	""
"ʨiɛ̃"	"5"	"35"	"颤见建剑舰佔战"	""
"ʨʰiɛ̃"	"1"	"55"	"件健键牵谦歉"	""
"ʨʰiɛ̃"	"2"	"24"	"缠钳"	""
"ʨʰiɛ̃"	"3"	"11"	"遣"	""
"ʨʰiɛ̃"	"5"	"35"	"欠"	""
"ɕiɛ̃"	"1"	"55"	"搧掀限"	""
"ɕiɛ̃"	"2"	"24"	"贤咸嫌"	""
"ɕiɛ̃"	"3"	"11"	"闪陕[~西]险"	""
"ɕiɛ̃"	"5"	"35"	"扇善宪献"	""
"iɛ̃"	"1"	"55"	"烟阉研"	""
"iɛ̃"	"2"	"24"	"然燃延严言沿炎盐阎簷"	""
"iɛ̃"	"3"	"11"	"演质"	""
"iɛ̃"	"5"	"35"	"筵厌宴艳谚焰燕[~京,姓]燕[~子]"	""
"ʧʯɛ̃"	"1"	"55"	"皴[(皮肤因受或风吹儿干裂)]捐绢专砖"	""
"ʧʯɛ̃"	"2"	"24"	"捲[~起]转[~眼,~送]"	""
"ʧʯɛ̃"	"5"	"35"	"卷转[~螺丝,~圆圈]券"	""
"ʧʰʯɛ̃"	"1"	"55"	"川穿串窜倦圈"	""
"ʧʰʯɛ̃"	"2"	"24"	"传[~达]船权泉拳颧[~骨]"	""
"ʧʰʯɛ̃"	"3"	"11"	"喘犬"	""
"ʧʰʯɛ̃"	"5"	"35"	"传[~记]劝赚"	""
"ʃʯɛ̃"	"1"	"55"	"县喧"	""
"ʃʯɛ̃"	"2"	"24"	"弦玄悬"	""
"ʃʯɛ̃"	"5"	"35"	"眩"	""
"ʯɛ̃"	"1"	"55"	"冤渊愿"	""
"ʯɛ̃"	"2"	"24"	"阮丸[肉~,弹~]元员园原圆袁援[~救]缘源辕"	""
"ʯɛ̃"	"3"	"11"	"软远"	""
"ʯɛ̃"	"5"	"35"	"怨院"	""
"põ"	"1"	"55"	"般搬邦帮浜[一条~]谤"	""
"põ"	"3"	"11"	"绑榜"	""
"põ"	"5"	"35"	"半蚌[~壳]棒囥[(藏起来)]"	""
"pʰõ"	"2"	"24"	"傍盘庞滂[~沱]旁螃[~蟹]"	""
"pʰõ"	"5"	"35"	"伴拌判叛胖"	""
"mõ"	"1"	"55"	"望-忘"	""
"mõ"	"2"	"24"	"瞒忙芒盲茫"	""
"mõ"	"3"	"11"	"满莽蟒网"	""
"tõ"	"1"	"55"	"端"	""
"tõ"	"3"	"11"	"短="	""
"tõ"	"5"	"35"	"断[决~]"	""
"tʰõ"	"1"	"55"	"缎="	""
"tʰõ"	"2"	"24"	"团="	""
"tʰõ"	"3"	"11"	"断=[~绝]"	""
"tʰõ"	"5"	"35"	"段锻[~炼]"	""
"lõ"	"1"	"55"	"乱"	""
"lõ"	"3"	"11"	"卵"	""
"tsõ"	"1"	"55"	"钻[(动词)]"	""
"tsõ"	"5"	"35"	"钻[(木工用具)]"	""
"tsʰõ"	"1"	"55"	"汆[~丸子]"	""
"tsʰõ"	"5"	"35"	"牚[椅子~儿]篡"	""
"sõ"	"5"	"35"	"蒜算"	""
"kuõ"	"1"	"55"	"观-[参~]官冠[衣~]棺光"	""
"kuõ"	"3"	"11"	"馆管广"	""
"kuõ"	"5"	"35"	"冠[~军]惯灌罐"	""
"kʰuõ"	"1"	"55"	"匡=筐=眶=宽"	""
"kʰuõ"	"2"	"24"	"逛狂"	""
"kʰuõ"	"3"	"11"	"款"	""
"kʰuõ"	"5"	"35"	"况旷矿"	""
"xuõ"	"1"	"55"	"缎-方芳欢荒慌"	""
"xuõ"	"2"	"24"	"防妨[~害]房肪[脂~]皇=黄=蝗=簧[锁~]团="	""
"xuõ"	"3"	"11"	"断-[~绝]仿[~效]仿[相~]访彷[~佛]纺缓晃[~眼]谎"	""
"xuõ"	"5"	"35"	"断=[~绝]放唤焕0"	""
"uõ"	"1"	"55"	"换汪[一~水]枉妄旺[兴~,火~]望="	""
"uõ"	"2"	"24"	"皇-黄-蝗-亡王"	""
"uõ"	"3"	"11"	"碗往"	""
"n"	"2"	"24"	"尼泥-凝-[~视]凝-[汤~成了冻]仪疑-沂-议-仪-银-"	""
"n"	"3"	"11"	"你-"	""
