来源	《安徽巢湖方言音韵研究》，“胖丁”整理修改
ɕ	[1]掀先{～生}[2]嫌[3]显险写[5]县献现羡线腺泻卸谢
∅	[1]烟焉腌阉胭嫣[2]言延严岩檐炎盐沿[3]掩淹衍野[5]燕厌宴验艳焰研焱苑夜鹦{鹦鹉}
#uɪ̃	
ʐ	[3]软染冉
#yɪ̃	
tɕ	[1]娟捐绢鹃涓[3]卷[5]卷倦眷毽
tɕʰ	[2]茄瘸全权泉拳荃痊[3]犬[5]劝
ɕ	[1]靴宣轩喧萱暄先仙鲜籼{～稻}[2]玄悬旋璇漩[3]选癣[5]旋眩炫
∅	[1]渊鸢鸳冤[2]阎元原员缘园圆源袁猿媛援[3]远阮[5]愿怨院
#ɯ̃	
p	[1]搬般{一～大}[5]半伴拌
pʰ	[1]潘[2]盘蟠磐[5]判畔叛绊
m	[1]满[2]馒瞒[5]漫
t	[1]端[3]短断{拦截，把路～着}[5]断段锻缎
tʰ	[1]湍[2]团
l	[2]峦銮鸾孪[3]卵暖[5]乱
ʦ	[1]钻[3]纂[5]钻攥
ʦʰ	[1]窜蹿[5]窜篡
s	[1]酸[5]算蒜
tʂ	[1]专砖颛毡-沾-粘-詹-[3]转[5]传转撰篆占-
tʂʰ	[1]穿川[2]船传椽缠-[3]喘[5]穿钏
ʂ	[1]扇-煽-[3]闪-陕-[5]善-扇-鳝-膳-鳝-蟮-
ʐ	[2]然燃[3]软染-冉苒-
#uɯ̃	
k	[1]官观棺冠{鸡～子}[3]管馆[5]冠灌罐
kʰ	[1]宽[3]款
x	[1]欢[2]桓横[3]缓[5]换焕唤浣涣宦
∅	[1]豌蜿[2]完丸烷纨玩{古～}[3]宛碗挽婉惋[5]腕
#ən	
p	[1]奔[3]本[5]笨迸
pʰ	[1]烹喷怦[2]盆
m	[2]门们[5]闷母{老母鸡，老母猪}
f	[1]分纷芬[2]坟焚[3]粉[5]奋愤粪份分
t	[1]登灯蹬蹲吨墩[3]等[5]邓凳瞪顿遁盾钝炖
tʰ	[1]吞[2]疼腾藤滕誊屯臀囤豚[5]褪{后退，往后～；去除，把衣服～的}
l	[1]□{随便应付}抡[2]棱能伦轮仑沦[3]冷[5]愣嫩论
ʦ	[1]僧曾增尊遵樽鳟争睁筝[3]怎[5]赠挣
ʦʰ	[1]参村皴撑[2]岑曾层存[3]碜{食物中夹杂砂石，～牙}[5]蹭寸衬
s	[1]孙狲森生笙牲甥参[3]省损笋榫[5]渗
tʂ	[1]诊真珍针贞斟甄侦砧征蒸[3]枕缜稹整拯[5]镇阵振震圳赈正证政郑症
tʂʰ	[1]伸郴称[2]臣陈尘宸成城乘诚承盛程丞橙[3]惩逞[5]称趁称秤
ʂ	[1]身深申绅声升[2]辰晨神什绳[3]沈审婶[5]甚肾蜃圣胜盛剩
ʐ	[1]扔[2]人任仁仍[3]忍[5]任认刃闰
k	[1]今{今年}跟根更耕庚羹[3]耿梗[5]亘更
kʰ	[1]坑吭[3]肯恳垦啃[5]掯{低着头，头～着}
x	[1]哼亨[2]痕恒衡蘅[3]很狠哄[5]恨
ŋ	[1]恩樱[2]嚚{脸皮厚，做事过分，一般教训孩子}[5]硬
#əŋ	
p	[1]崩绷[5]蹦
pʰ	[1]抨[2]蓬朋彭鹏棚篷澎膨[3]捧[5]碰
m	[1]闷蒙[2]蒙盟萌朦檬谋[3]蒙猛亩牡母某谋[5]梦孟茂贸
f	[1]风丰封峰蜂锋枫疯[2]冯逢缝[3]否[5]凤奉缝
t	[1]东冬[3]董懂[5]动洞冻栋
tʰ	[1]通[2]同铜童桐仝潼[3]统桶筒酮□{搬迁，这家店～到其他地方了}[5]痛
l	[2]龙笼隆聋胧侬浓侬脓[3]陇垄拢[5]弄
tʂ	[1]谆中终忠钟衷盅[3]准种肿[5]中种重众仲
tʂʰ	[1]充冲[2]重虫[3]宠[5]冲
ʐ	[2]绒戎茸
ʦ	[1]宗踪综鬃棕[3]总[5]纵粽
ʦʰ	[1]聪葱匆[2]从丛崇重
s	[1]松嵩[2]怂[3]耸悚[5]送宋诵颂讼
k	[1]公功宫攻工恭弓龚蚣[3]拱巩贡[5]共贡供
kʰ	[1]空[3]孔恐[5]空控
x	[1]轰烘[2]红弘洪鸿宏泓[3]哄[5]讧
#in	
p	[1]斌彬宾滨缤濒兵冰槟[3]饼禀丙秉炳柄[5]鬓殡病并
pʰ	[1]拼乒娉[2]贫频颦嫔平凭瓶萍苹评坪[3]品[5]聘
m	[2]民明名鸣冥铭茗盟[3]敏闵闽[5]命
t	[1]丁钉叮[3]鼎顶[5]定订腚
tʰ	[1]听厅[2]亭庭廷停婷霆蜓[3]挺艇
n	[1]拎[2]您宁凝柠林临邻麟鳞磷霖琳淋陵灵凌零菱龄玲铃聆[3]拧凛领岭[5]赁吝蔺令另
tɕ	[1]今金斤津巾筋经精惊京荆旌睛茎晶鲸肫：鸡～皮[3]锦紧仅瑾谨景井警颈[5]尽进近晋禁浸劲敬静境镜竞靖
tɕʰ	[1]亲侵钦[2]秦琴勤禽擒芹寻{～死,～钱}[3]寝[5]沁
ɕ	[1]心新辛欣薪馨莘锌馅芯兴星腥猩惺[2]行形邢刑型[3]省醒擤{～鼻子}[5]信姓性兴幸杏
∅	[1]音阴因殷姻茵应英莺婴鹰缨鹦瑛[2]银吟淫寅迎营盈莹萤荧萦赢楹蝇[3]引隐饮荫瘾蚓影颍郢颖[5]饮印应映
#iəŋ	
tɕʰ	[2]穷穹
ɕ	[1]兄凶胸[2]熊雄
∅	[1]庸[2]荣容蓉融雄{打雄}[3]雍勇涌拥[5]用
#uən	
tʂ	[1]谆中终忠钟衷盅[3]准种肿[5]中种重众仲
tʂʰ	[1]春椿充冲[2]鹑重虫[3]蠢宠[5]冲
ʂ	[2]纯唇淳醇[3]吮[5]顺舜瞬
ʐ	[2]绒戎茸
k	[3]滚衮[5]棍
kʰ	[1]坤昆鲲[3]捆[5]困睏
x	[1]昏婚荤[2]横魂浑混馄[5]混
∅	[1]温瘟翁嗡[2]文闻雯纹蚊[3]稳吻刎紊炆{～糖}[5]问汶瓮
#yn	
ʨ	[1]肫军君均钧[3]炯炅窘[5]俊骏郡峻竣菌
tɕʰ	[2]群裙琼[3]倾顷
ɕ	[1]熏勋薰曛[2]巡循旬荀询[5]训逊讯驯殉汛
∅	[1]晕氲[2]云芸匀耘[3]允陨殒永泳咏[5]运韵蕴孕酝熨润{～凉的，很舒服的凉}
#ɒ̃	
p	[1]帮邦梆[3]绑榜膀[5]傍棒蚌磅
pʰ	[1]滂乓[2]旁螃庞彷[5]胖
m	[2]忙芒茫盲邙[3]莽蟒
f	[1]方芳[2]房防妨[3]访仿纺[5]放
t	[1]当铛裆[3]党挡[5]当荡砀
tʰ	[1]汤趟[2]堂糖唐棠塘螳[3]倘躺淌[5]趟烫
l	[2]狼郎廊琅囊[3]□{左右摇晃的用水冲洗，～碗}朗□{恶～，恶心}[5]浪阆㫰{晾晒，～衣服}
ʦ	[1]脏赃[5]藏葬奘
ʦʰ	[1]苍沧仓舱[2]藏[5]□{摩擦，～到墙了}
s	[1]桑[3]嗓搡[5]丧□{厉害，你真～}
tʂ	[1]张章璋漳蟑獐樟[3]长掌涨[5]丈杖帐障胀
tʂʰ	[1]昌娼猖[2]长常尝嫦肠偿[3]场敞氅[5]唱怅畅倡
ʂ	[1]伤商[3]赏晌[5]上尚
ʐ	[2]瓤[3]酿壤攘[5]让
k	[1]江刚缸纲钢冈豇[3]港岗埂{田～}[5]杠虹{出～}行{～家，～路，步～}
kʰ	[1]康糠[2]扛[3]慷[5]抗炕亢伉
x	[1]夯[2]行杭航[5]项巷
ŋ	[1]肮[2]昂[5]盎
#iɒ̃	
n	[2]娘梁良量凉粮粱[3]仰魉[5]量亮辆谅
tɕ	[1]将姜僵疆缰[3]讲蒋奖桨[5]犟降酱匠
tɕʰ	[1]枪羌腔[2]墙强蔷祥详降翔[3]抢强
ɕ	[1]相香乡湘箱镶襄[3]想响享饷[5]相向像象橡
∅	[1]鸯央秧鞅[2]阳杨扬洋羊[3]养氧痒[5]样漾
#uɒ̃	
tʂ	[1]装庄妆桩[3]奘{粗大}[5]状壮
tʂʰ	[1]窗疮[2]床□{上下摇晃}[3]闯[5]创
ʂ	[1]双霜[3]爽
k	[1]光[3]广[5]逛
kʰ	[1]框匡筐诓[2]狂诳[5]况旷矿眶
x	[1]慌荒[2]黄皇煌惶璜磺凰蝗[3]谎愰[5]晃
∅	[1]汪[2]亡王[3]往枉网惘[5]望忘妄旺
#æʔ	
m	[7]抹{抹布}沫{吐沫子}
p	[7]八拔钵
f	[7]法乏发伐罚筏
t	[7]答搭沓达
tʰ	[7]塔踏
l	[7]蜡腊捺辣
ʦ	[7]杂
s	[7]撒萨靸{拖鞋或穿鞋的一种方式}
tʂ	[7]扎眨闸炸札铡
tʂʰ	[7]插察
ʂ	[7]杀煞
k	[7]夹
kʰ	[7]掐
x	[7]瞎辖
ŋ	[7]鸭押压
#iæʔ	
tɕ	[7]甲
tɕʰ	[7]恰
ɕ	[7]狭匣侠挟
∅	[7]押压
#uæʔ	
ʂ	[7]刷
k	[7]刮括
x	[7]滑猾划
∅	[7]挖袜
#eʔ	
p	[7]北百柏伯白帛
pʰ	[7]拍迫魄
m	[7]陌麦
ʦ	[7]宅窄摘择责
ʦʰ	[7]泽拆策侧测册
s	[7]色瑟
tʂ	[7]折哲蛰折浙辙
tʂʰ	[7]撤彻澈
ʂ	[7]摄涉舌设折
