#调值	[1]²² [2]⁴⁴ [3]⁴² [5]³⁵ [6]³³											
#ɿ												
tʰ	[1]瘫摊滩[2]弹{~琴}潭谈檀壇谭[3]毯坦[5]碳炭叹[6]弹{子~}但淡蛋氮											
l	[2]兰蓝篮拦栏[3]览揽缆懒[5]烂滥											
n	[2]难楠[6]难											
ts	[1]沾粘瞻占[3]攒斩盏崭展[5]赞栈湛绽站战蘸占											
tsʰ	[1]掺搀餐[2]惭涎残馋缠蝉蟾禅[3]铲产[5]灿[6]暂灒颤											
s	[1]三叁珊山删衫膻煽鳝[3]伞散闪陕[5]散扇搧[6]膳善单禅											
l	[2]燃然[3]染											
k	[1]尴间竿矸柑疳[3]拣赶感敢橄秆擀											
kʰ	[1]铅刊龛衔[3]槛坎砍侃[5]嵌											
x	[1]焊酣鼾[2]咸涵函韩邯[3]喊[6]陷撼憾											
ŋ	[1]淹鞍氨胺桉庵鹌[2]腌严{~实}[3]眼[5]晏按岸案暗[6]雁											
#uan												
k	[1]关[5]惯											
x	[2]环											
Ø	[1]湾弯[2]完玩还顽[3]挽晚绾[6]万											
#iɛn												
p	[1]鞭编边蝙[3]贬扁匾[5]变											
pʰ	[1]偏篇[2]便{~宜}[3]骗片遍[6]辩辫辨便汴											
m	[2]眠绵棉[3]缅免勉腼[6]面麺											
t	[1]掂颠癫癜滇[3]点碘典踮[5]店电碘佃奠											
tʰ	[1]添天[2]田甜填[3]舔腆[6]淀殿垫簟											
l	[2]连联莲怜廉镰帘簾鲢[3]脸[6]练链炼											
ȵ	[1]黏拈蔫[2]年严研鲶鲇[3]碾撵捻撵[6]念验											
tɕ	[1]尖兼煎坚肩艰奸兼[3]简检捡戬茧减[5]剑建荐见毽箭鉴											
tɕʰ	[1]签谦千迁牵谦褰[2]钱钳乾虔前潜泉全权[3]浅遣[5]欠歉[6]键腱贱件渐践健旋											
ɕ	[1]先仙鲜暹掀锨籼宣[2]旋闲嫌涎贤弦舷衔[3]险显选藓廯[5]宪羡限线献现[6]县现馅											
Ø	[1]腌醃焉鄢烟胭咽[2]盐炎阎延沿颜檐言阎闫[3]演掩[5]谚堰燕艳筵宴焰咽[6]雁											
#yɛn												
tɕ	[1]捐娟[3]卷捲[5]眷卷绢											
tɕʰ	[1]圈[2]颧蜷鹑[3]犬[5]券劝											
ɕ	[1]喧暄[2]玄旋[5]漩											
Ø	[3]软											
#on												
p	[1]搬般[5]半											
pʰ	[1]潘攀[2]盘蟠[5]盼判叛[6]拌伴绊											
m	[2]瞒馒[3]满[6]漫幔											
t	[1]端[3]短断[5]锻煅缎段											
tʰ	[1]贪[2]团抟坛[5]探[6]断											
l	[3]卵[6]乱											
n	[2]男南[3]暖											
ts	[1]钻{~进去}簪[5]钻攥											
tsʰ	[1]汆参掺[2]蚕[3]惨[5]篡蹿窜											
s	[1]酸[5]算蒜											
k	[1]干官棺甘柑肝[3]管馆感[5]冠罐灌											
kʰ	[1]宽看{~门}[3]款[5]看											
x	[1]憨欢獾[2]寒含[3]缓[5]汉[6]汗换患幻唤宦涣焕旱											
#uon												
Ø	[1]安豌[2]丸烷完[3]碗皖惋婉腕绾[6]换宛											
#ən												
p	[1]奔[3]本畚											
pʰ	[1]喷[2]盆[6]笨											
m	[2]门们[6]闷焖											
f	[1]分芬纷吩[2]坟焚[3]粉[5]愤粪忿奋[6]份分											
t	[1]灯登蹬吨墩敦礅镫[3]等盹[5]瞪炖盾遁顿燉											
tʰ	[1]吞[2]腾謄藤囤屯豚[6]邓											
l	[1]扔[2]轮纶仑论{~语}伦壬仍仁[3]冷忍[6]愣任刃纫韧剩论											
n	[2]能[6]嫩											
ts	[1]真曾姓增罾争针尊遵睁筝珍贞侦祯砧斟正{~月}征蒸[3]怎枕疹整[5]振挣赠憎镇震赈圳朕正{~确}证症郑政											
tsʰ	[1]称{~体重}蹭村撑皴称抻[2]层曾存尘臣晨沉陈成城诚程呈乘橙澄碜[3]惩逞[5]秤寸衬蹭趁[6]阵											
s	[1]深伸森参僧生升声牲笙孙甥[2]什盛{~饭}[3]省审损笋[5]渗[6]肾											
k	[1]跟根更耕羹庚[3]耿梗埂哽颈粳[5]更											
kʰ	[1]坑吭[3]肯啃恳垦[5]掯											
x	[1]哼亨[2]痕横恒衡[3]狠很[6]恨											
#in												
p	[1]彬冰兵宾槟傧斌[3]饼摈禀秉柄丙[5]柄殡并鬓											
pʰ	[1]拼乒姘[2]贫凭平评瓶屏苹萍坪频[3]品[5]聘[6]病并											
m	[1]敏抿闽悯闵[2]明名铭民鸣瞑[6]命											
t	[1]钉丁叮盯靪仃疔[3]顶鼎[5]钉订											
