nin	[1]粘拈黏	[2]年	[3]捻撵	[5]念	[9a]☐{乳房、乳汁}	
lin	[2]廉镰连怜莲帘	[4]敛殓	[5]练楝	[9b]链		
tʃin	[1]尖煎占{～卜}沾瞻毡	[3]展碾剪	[5]渐占{～有}战箭溅践贱饯荐			
tʃʰin	[1]千歼迁签{～名}签{牙～}	[2]潜钱缠前	[3]浅			
ʃin	[1]先仙鲜{新～}鲜{朝～}	[2]蟾梢蝉禅{～宗}	[3]陕闪癣	[4]鳝	[5]线扇{～子}扇{～动}善膳单{姓氏}羡{又}	
jin	[1]烟阉	[2]炎盐{食～}阎严延涎筵然燃言研贤弦	[3]淹掩演	[4]染	[5]燕{～京}验厌艳焰谚宴堰砚咽	[9b]燕{～子}
kin	[1]兼肩{文}坚	[3]检	[5]件见俭剑			
kʰin	[2]钳					
hin	[1]牵谦轩掀	[2]嫌	[3]险遣显	[5]欠歉苋宪献现		
pun	[1]般搬	[3]本	[5]半绊伴拌叛胖			
pʰun	[1]潘	[2]盘盆	[5]判			
mun	[2]瞒门	[4]满	[5]闷			
fun	[1]宽欢	[2]鼾寒韩桓	[3]罕款	[4]焊	[5]看{～守}看{～见}汉旱汗翰焕	
wun	[1]安	[3]宛碗腕	[5]岸按案唤换玩	[9b]豌鞍		
kʷun	[1]干{天～地支}干{～湿}竿肝官棺观{参～}观{道～}冠{衣～}	[3]赶管馆杆杆	[5]干{～部}冠{～军}贯灌罐			
taŋ	[1]耽担{～当}	[3]胆疸	[5]担{挑～}淡{文}			
tʰaŋ	[1]贪	[2]潭谭谈般毯	[4]淡{白}	[5]探		
naŋ	[2]南男	[4]𨂾{迈}				
laŋ	[2]蓝篮	[4]揽搂	[5]览缆滥舰	[9b]榄		
tʃaŋ	[1]簪	[3]斩	[5]站{～立}站{车～}暂			
tʃʰaŋ	[1]参{～加}	[2]蚕惭谗{～言}谗{嘴～}	[3]惨杉			
ʃaŋ	[1]三	[9a]衫				
kaŋ	[1]甘柑监{坐～}尴	[3]敢橄感减	[5]鉴监{国子～}			
ŋaŋ	[1]庵	[2]岩	[5]暗	[9a]啱		
haŋ	[2]函咸{～丰}咸{～鱼}衔	[3]砍嵌	[5]撼憾喊陷			
pɛŋ	[1]班斑颁	[3]扳板版	[5]扮办瓣			
pʰɛŋ	[1]攀烹	[2]朋棚绷彭膨	[4]棒	[5]盼☐{有不饱满的，～谷：秕谷}		
mɛŋ	[2]蛮盲	[4]晚孟猛	[5]慢馒鳗漫幔蔓万			
fɛŋ	[1]番翻	[2]凡帆烦矶藩繁	[3]反	[5]犯范{～围}范{姓氏}饭泛	[9b]贩	
wɛŋ	[1]弯湾	[2]还{～有}还{～原}环横{～直}	[4]挽	[5]幻患宦		
tɛŋ	[1]单{～独}丹	[5]旦但诞	[9a]弹{子～}蛋			
tʰɛŋ	[1]坍滩摊瘫	[2]弹{～琴}檀坛	[3]坦	[5]叹炭		
nɛŋ	[2]难{困～}	[5]难{患～}				
lɛŋ	[2]兰拦栏	[3]懒	[4]冷	[5]烂		
tʃɛŋ	[1]争筝睁	[3]盏栈	[5]赞赚			
tʃʰɛŋ	[1]餐	[2]残橙	[3]产铲	[5]灿撑顶住		
ʃɛŋ	[1]山珊删生牲笙甥	[3]散{松～}省{～长}省{节～}	[5]散{分～}伞疝篡			
kɛŋ	[1]艰间{中～}奸庚更{三～半夜}耕肩{白}	[3]碱简柬拣茧趼	[5]间{～断}涧	[9a]羹{匙～:汤匙}	[9b]羹{～汤}	
ŋɛŋ	[2]颜顽	[4]眼雁冷	[5]晏硬			
hɛŋ	[1]亨刊坑	[2]闲行{～走}	[5]限			
kʷɛŋ	[1]关	[5]惯				
kʰʷɛŋ	[3]梗{白}					
pœŋ	[3]饼	[5]病{白}柄偋{藏}				
pʰœŋ	[2]平{白}	[9a]瓶{白}				
mœŋ	[5]命	[9a]名{白}				
tœŋ	[1]钉{～书机}钉{铁～}疔	[3]顶{白}	[5]定{白}埞{☐[pʰɐu31]~：地方}			
tʰœŋ	[1]听{～见}	[3]艇	[9a]厅			
nœŋ	[2]娘	[3]蜋☐{[nɔŋ31]～：知了}				
lœŋ	[2]凉量{～尺寸}良粮梁粱	[3]两{斤～}辆	[4]两{～个}领{白}岭{白}	[5]亮谅量{数～}靓		
tʃœŋ	[1]将{～来，～军}张章樟浆	[3]奖桨蒋长{生～}掌井	[5]将{大～}酱匠象像{～章}橡障瘴涨账帐胀丈仗杖郑掷正{文，～反}			
tʃʰœŋ	[1]窗枪昌娼菖囱青{白}	[2]墙详祥长{～短}肠场	[3]抢	[5]畅唱		
ʃœŋ	[1]相{互～}箱厢湘襄镶商伤双腥声{白}	[2]常裳尝偿城{白}	[3]想赏	[5]相{～貌}上{～山}上{～面}尚	[9a]星{白}	
jœŋ	[1]央秧殃	[2]羊洋杨扬疡阳赢	[4]仰养痒	[5]让酿壤攘样		
kœŋ	[1]疆僵缰姜{生～}姜{～太公}	[3]颈	[5]镜{白}			
kʰœŋ	[2]强{～大}	[3]强{勉～}				
hœŋ	[1]香乡轻{白}	[3]响晌饷享	[5]向			
pɔŋ	[1]帮邦	[3]榜绑	[5]傍{依～}			
pʰɔŋ	[2]旁镑傍{～晚}滂庞	[4]蚌				
mɔŋ	[2]亡忙芒{～种}芒{锋～}茫忘蛇氓	[4]莽蟒网妄	[5]望			
fɔŋ	[1]方肪坊芳荒慌谎	[2]妨防房	[3]仿{～效}仿{相～}纺彷访晃	[5]放况		
wɔŋ	[1]汪	[2]黄簧皇蝗凰王	[3]枉	[4]往	[5]旺	
tɔŋ	[1]当{～时，应～}	[3]党挡	[5]当{～铺，～作}档荡			
tʰɔŋ	[1]汤	[2]堂蝗棠唐糖塘	[3]倘躺	[4]烫	[5]趟☐{宽～：宽敞}	
nɔŋ	[2]囊瓤☐{～蚭：蜻蜓}					
