"字頭"	"聲紐"	"呼"	"等"	"韻部"	"聲調"	"組"	"攝"	"聲母"	"韻母"	"聲調"	"備註"		"部首"	"單字筆畫"	"部首外筆畫"	"注音"	"解釋"	
"洞"	"定"	"開"	"一"	"東"	"去"	"端"	"通"	"d"	"ung"	6	"山～"		"水"	"09	"	"06	"	"ㄉㄨㄥˋ"	"(1)孔穴。如：「山洞」、「漏洞」、「這件衣服上有個破洞。」(2)透澈。如：「洞澈」、「洞察先機」。(3)洞房：A>隱密的房間。B>新婚夫婦的房間。如：「洞房花燭夜」。_x000D_
"	
"動"	"定"	"開"	"一"	"東"	"上"	"端"	"通"	"d"	"ung"	5			"力"	"11"	"09	"	"ㄉㄨㄥˋ"	"(1)事物改變原來的位置或脫離靜止狀態。如：「運動」、「動靜得宜」、「風吹草動」、「牽一髮動全身」。(2)有所行為。如：「動手」、「動員」、「動腦筋」、「動心思」。(3)行為。如：「行動」、「動作」、「一舉一動」。(4)心有所感。如：「感動」、「動心」、「動人」、「動怒」。(5)開始做。如：「動工」、「動筆」、「動土」、「動身前往」。(6)動輒：每每、往往、屢次。如：「動輒得咎」。(7)用在動詞之後，表示能力或效果。如：「提不動」、「你已經說動他了嗎？」_x000D_
"	
"豆"	"定"	"開"	"一"	"侯"	"去"	"端"	"流"	"d"	"au"	6			"豆"	"07	"	"00	"	"ㄉㄡˋ"	"(1)古代木製盛食品的器皿。如：「馨香俎豆」。(2)穀類植物。種類繁多。葉一般由三小葉合成，花為蝶形，實皆結莢。如：「綠豆」、「紅豆」、「黃豆」。(3)豆蔻年華：比喻年輕少女，多指女子十三、四歲的時候。或作「荳蔻年華」。
"	
"荳"	"定"	"開"	"一"	"侯"	"去"	"端"	"流"	"d"	"au"	6			"艸"	"11"	"07	"	"ㄉㄡˋ"	"荳蔻：A>一種多年生草本植物。種子香氣濃烈，可入中藥，治療嘔吐、腹瀉等病症。B>比喻十三、四歲的年輕美少女。如：「荳蔻年華」。_x000D_
"	
"痘"	"定"	"開"	"一"	"侯"	"去"	"端"	"流"	"d"	"au"	6			"疒"	"12"	"07	"	"ㄉㄡˋ"	"(1)水痘：幼齡兒童受病毒感染而引起的急性傳染病，出現發熱及斑點狀泡疹，病程約一週左右。(2)青春痘：青春期因內泌失調而使油脂在皮下形成的白色堆積物。(3)發生於牛體內的痘瘡，由濾過性病毒所引起，取其漿液製成疫苗，接種於人體內，可預防天花。_x000D_
"	
"竇"								"dd"	"au"	3	"白讀：雞~、狗~"							
"竇"	"定"	"開"	"一"	"侯"	"去"	"端"	"流"	"d"	"au"	6	"情~；姓"		"穴"	"20"	"15"	"ㄉㄡˋ"	"(1)孔洞。如：「狗竇」、「鼻竇」。(2)可疑之處。如：「疑竇」。_x000D_
"	
"毒"	"定"	"合"	"一"	"冬"	"入"	"端"	"通"	"d"	"uk"	9			"毋"	"08	"	"04	"	"ㄉㄨˊ"	"(1)對健康、生命有害的。如：「毒藥」、「毒品」、「毒素」、「毒氣」。(2)用藥加害。如：「毒害」、「毒殺」、「毒魚」。(3)殘害。如：「荼毒」。(4)凶狠。如：「狠毒」、「惡毒」、「毒打」、「毒手」、「毒計」。(5)特指嗎啡、海洛因等毒品。如：「販毒」、「吸毒」、「反毒運動」。_x000D_
"	
"獨"	"定"	"開"	"一"	"東"	"入"	"端"	"通"	"d"	"uk"	9			"犬"	"16"	"13"	"ㄉㄨˊ"	"(1)單獨、一個、獨自。如：「獨唱」、「獨身」、「獨處」、「獨一無二」、「獨門獨院」。(2)只。如：「不獨」、「大伙都贊成，獨他反對。」(3)特異的。如：「獨出心裁」、「特立獨行」。(4)專斷。如：「獨裁」、「獨夫」、「獨斷獨行」。_x000D_
"	
"犢"	"定"	"開"	"一"	"東"	"入"	"端"	"通"	"d"	"uk"	9			"牛"	"19"	"15"	"ㄉㄨˊ"	"小牛。如：「犢牛」、「初生之犢不怕虎。」_x000D_
"	
"讀"	"定"	"開"	"一"	"東"	"入"	"端"	"通"	"d"	"uk"	9			"言"	"22"	"15"	"ㄉㄨˊ
ㄉㄡˋ"	"1.(1)照著文字念。如：「誦讀」、「朗讀」、「宣讀」。(2)看。如：「閱讀」、「讀萬卷書，行萬里路。」(3)研究、專攻。如：「他是讀理科的。」2.句中語意未完，讀時須停頓的地方。通「逗」。如：「句讀」。_x000D_
"	
"土"	"透"	"開"	"一"	"模"	"上"	"端"	"遇"	"t"	"u"	2			"土"	"03	"	"00	"	"ㄊㄨˇ"	"(1)地上的沙、泥混合物。如：「泥土」、「沙土」、「黏土」。(2)土地。如：「寸土寸金」。(3)疆域。如：「國土」、「領土」。(4)國、鄉。如：「故土」、「吾土吾民」。(5)本地的。如：「土產」、「土話」、「土風」、「土生土長」。(6)不合潮流的、閉塞不通的。如：「土裡土氣」、「土頭土腦」。(7)古老流傳的、民間沿用的。如：「土法煉鋼」。
"	
"吐"	"透"	"開"	"一"	"模"	"上"	"端"	"遇"	"t"	"u"	3			"口"	"06	"	"03	"	"ㄊㄨˇ
ㄊㄨˋ"	"1.(1)東西從嘴裡出來。如：「吐口水」。(2)說出、發出。如：「吐露」、「堅不吐實」、「一吐為快」、「慈烏失其母，啞啞吐哀音。」(3)釋放。如：「窗外的夜來香吐放出濃郁的香氣。」(4)言詞。如：「談吐優雅」。2.(1)胸、腹腔內的東西從嘴裡湧出。如：「吐血」、「嘔吐」、「上吐下瀉」。(2)把私自占有的東西退還。如：「吐出公款」。_x000D_
"	
"兔"	"透"	"開"	"一"	"模"	"去"	"端"	"遇"	"t"	"u"	3			"儿"	"08	"	"06	"	"ㄊㄨˋ"	"脊椎動物哺乳類。草食性。耳大，尾短向上翹。上脣中間裂開。四腿，後腿較前腿長，善跳躍，跑得快。毛色為灰、白、褐等色，有家兔、野兔兩種。肉可食，毛可製筆或衣物。_x000D_
"	
"杜"	"定"	"開"	"一"	"模"	"上"	"端"	"遇"	"d"	"u"	6								
"度"								"d"	"ok"	10	"計算、推測"							
"杜"	"定"	"開"	"一"	"模"	"上"	"端"	"遇"	"d"	"u"	5	"又讀"		"木"	"07	"	"03	"	"ㄉㄨˋ"	"(1)阻塞。如：「杜絕」、「杜禍」、「防微杜漸」。(2)杜撰：憑空捏造事情。如：「這些話是他杜撰的，千萬不要相信。」(3)杜鵑：A>一種鳥，口大尾長，嘴黑色，春夏常晝夜不停啼叫，叫聲淒厲。B>常綠灌木。四至六月間開紅、紫或白色花，可供觀賞。_x000D_
"	
"肚"	"定"	"開"	"一"	"模"	"上"	"端"	"遇"	"d"	"u"	5			"肉"	"07	"	"03	"	"ㄉㄨˋ
ㄉㄨˇ"	"1.腹部。如：「肚子」、「肚痛」、「肚皮」。2.俗稱動物的胃為「肚」。如：「牛肚」、「豬肚子」、「炒羊肚絲」。_x000D_
"	
"段"	"定"	"合"	"一"	"寒"	"去"	"端"	"山"	"d"	"yun"	6			"殳"	"09	"	"05	"	"ㄉㄨㄢˋ"	"(1)具延續性質事物的一部分。如：「時段」、「段落」。(2)一種任務編組。如：「工務段」、「機務段」。(3)做事的方法或層次。如：「手段」。(4)量詞：A>計算長條物分成若干部分的單位。如：「兩段木頭」、「把這線剪成數段。」B>計算具有延續性質事物段落的單位。如：「一段路」、「一段情」、「一段話」、「一段時間」。_x000D_
"	
"緞"	"定"	"合"	"一"	"寒"	"上"	"端"	"山"	"d"	"yun"	6			"糸"	"15"	"09	"	"ㄉㄨㄢˋ"	"質地厚密，一面平滑有光彩的絲織品。如：「錦緞」、「綢緞」、「緞子」、「緞帶」。_x000D_
"	
"斷"	"定"	"合"	"一"	"桓"	"上"	"端"	"山"	"d"	"yun"	5	"判～"		"斤"	"18"	"14"	"ㄉㄨㄢˋ"	"(1)分開、隔絕。如：「砍斷」、「中斷」、「斷絕」、「斷交」、「一刀兩斷」。(2)判定。如：「斷案」、「診斷」、「當機立斷」。(3)一定、絕對。如：「斷然」、「斷無此理」、「斷不可行」。_x000D_
"	
"兌"	"定"	"合"	"一"	"泰"	"去"	"端"	"蟹"	"d"	"ui"	6			"儿"	"07	"	"05	"	"ㄉㄨㄟˋ"	"(1)交換。如：「兌換」。(2)憑票據支付或領取現金。如：「兌付」、「匯兌」、「擠兌」。(3)易經卦名。八卦之一。代表沼澤。_x000D_
"	
"隊"	"定"	"合"	"一"	"灰"	"去"	"端"	"蟹"	"d"	"ui"	6			"阜"	"12"	"09	"	"ㄉㄨㄟˋ"	"(1)行列。如：「路隊」、「車隊」、「隊伍」、「成群結隊」。(2)集合多人而成的團體。如：「棒球隊」、「探險隊」、「消防隊」。(3)軍旅。如：「軍隊」、「部隊」。(4)量詞。用於計算成隊的人或物的單位。如：「一隊人馬」。_x000D_
"	
"燉"	"定"	"合"	"一"	"魂"	"平"	"端"	"臻"	"d"	"an"	6			"火"	"16"	"12"	"ㄉㄨㄣˋ"	"一種烹調方法。將食物加水用文火煮到爛熟，或放入陶碗中隔水以慢火煮至熟軟。如：「燉雞」、「燉肉」。_x000D_
"	
"遁"	"定"	"合"	"一"	"魂"	"上"	"端"	"臻"	"d"	"an"	6			"辵"	"13"	"09	"	"ㄉㄨㄣˋ"	"(1)逃避。如：「逃遁」、「夜遁」、「地遁」。(2)隱匿、躲藏。如：「隱遁」、「無所遁形」。_x000D_
"	
"鈍"	"定"	"合"	"一"	"魂"	"去"	"端"	"臻"	"d"	"an"	6			"金"	"12"	"04	"	"ㄉㄨㄣˋ"	"(1)不鋒利。如：「鈍刀」、「鈍器」。(2)頭腦笨、不靈敏。如：「遲鈍」、「魯鈍」、「愚鈍」。_x000D_
"	
"奪"	"定"	"合"	"一"	"寒"	"入"	"端"	"山"	"d"	"yet"	10			"大"	"14"	"11"	"ㄉㄨㄛˊ"	"(1)強取。如：「搶奪」、「強搶豪奪」。(2)剝削、使失去。如：「剝奪」。(3)爭取。如：「爭奪」、「奪標」、「爭權奪利」。(4)裁決、決斷。如：「定奪」、「裁奪」。(5)衝過。如：「奪門而入」、「淚水奪眶而出」。(6)耀眼、眩目。如：「秀色奪人」、「光彩奪目」。_x000D_
"	
"舵"	"定"	"開"	"一"	"歌"	"上"	"端"	"果"	"d"	"eo"	4			"舟"	"11"	"05	"	"ㄉㄨㄛˋ"	"(1)泛指交通工具上用來控制方向的設備。如：「掌舵」、「船舵」、「升降舵」、「方向舵」。(2)比喻奮鬥的方針或憑藉。如：「人生之舵」。(3)舵手：行駛交通工具時負責控制方向的人。引申為領導者。如：「國家的舵手」、「時代的舵手」。_x000D_
"	
"墮"	"定"	"合"	"一"	"戈"	"上"	"端"	"果"	"d"	"oe"	6	"～落"		"土"	"15"	"12"	"ㄉㄨㄛˋ"	"(1)向下墜落。如：「墮地」、「墮胎」。(2)墮落：指人的品格下降、行為變壞。如：「他過去曾經墮落過，還好迷途知返，才能有現在的成就。」
"	
"沓"	"定"	"開"	"一"	"覃"	"入"	"端"	"咸"	"d"	"op"	10			"水"	"08	"	"04	"	"ㄊㄚˋ"	"眾多而重複。如：「雜沓」、「紛至沓來」。_x000D_
"	
"抬"	"定"	"開"	"一"	"咍"	"平"	"端"	"蟹"	"d"	"oi"	4			"手"	"08	"	"05	"	"ㄊㄞˊ"	"(1)由下往上舉起。如：「抬高」、「抬舉」、「高抬貴手」。(2)仰起。如：「抬頭挺胸」。(3)兩人以上共同扛舉東西。如：「抬轎子」。_x000D_
"	
"苔"	"定"	"開"	"一"	"咍"	"平"	"端"	"蟹"	"d"	"oi"	4			"艸"	"09	"	"05	"	"ㄊㄞˊ"	"(1)隱花植物。扁平微細，根、莖、葉區別不明顯，色綠。常延生於潮溼地面或石頭上。如：「青苔」。(2)像苔一樣的東西。如：「海苔」、「舌苔」。_x000D_
"	
"臺"	"定"	"開"	"一"	"咍"	"平"	"端"	"蟹"	"d"	"oi"	4			"至"	"14"	"08	"	"ㄊㄞˊ"	"(1)高出地面的平坦地方。如：「舞臺」、「月臺」、「樓臺」、「亭臺」、「講臺」。(2)器物的底座。如：「燈臺」、「燭臺」。(3)機構名稱。如：「氣象臺」、「電視臺」、「天文臺」、「廣播電臺」。(4)對人尊稱的敬辭。如：「兄臺」、「尊臺」。(5)臺灣的簡稱。如：「臺胞」。(6)量詞。用於計算機器或電子設備的單位。如：「一臺機器」、「兩臺電視」。_x000D_
"	
"檯"	"定"	"開"	"一"	"咍"	"平"	"端"	"蟹"	"d"	"oi"	4			"木"	"18"	"14"	"ㄊㄞˊ"	"桌子或形式、用途像桌子的器物。如：「櫃檯」、「寫字檯」、「梳妝檯」、「撞球檯」、「流理檯」。_x000D_
"	
"痰"	"定"	"開"	"一"	"談"	"平"	"端"	"咸"	"d"	"om"	4			"疒"	"13"	"08	"	"ㄊㄢˊ"	"從呼吸道、口腔或喉嚨表面所排出的黏液。含有唾液、膿、微生物、血液或吸入的微粒等。平常分泌量少，肺病或氣管生病時，量則增加。如：「吐痰」、「濃痰」。_x000D_
"	
"談"	"定"	"開"	"一"	"談"	"平"	"端"	"咸"	"d"	"om"	4			"言"	"15"	"08	"	"ㄊㄢˊ"	"(1)說話或討論。如：「談天」、「談心」、「談話」、「交談」、「會談」、「紙上談兵」。(2)言論。如：「奇談」、「美談」、「老生常談」。_x000D_
"	
"潭"	"定"	"開"	"一"	"覃"	"平"	"端"	"咸"	"d"	"om"	4			"水"	"15"	"12"	"ㄊㄢˊ"	"深水池。如：「日月潭」、「百花潭」、「龍潭虎穴」。_x000D_
"	
"壇"	"定"	"開"	"一"	"寒"	"平"	"端"	"山"	"d"	"on"	4			"土"	"16"	"13"	"ㄊㄢˊ"	"(1)古代用土石所築成的高臺，用來舉行祭祀、盟會、誓師等活動。如：「天壇」、「祭壇」、「登壇拜將」。(2)某些宗教舉行法事的場所。如：「神壇」、「七星壇」、「設壇禮佛」。(3)用土築成的平臺。如：「花壇」。(4)指某一事業的範圍。如：「文壇」、「影壇」、「體壇」。_x000D_
"	
"檀"	"定"	"開"	"一"	"寒"	"平"	"端"	"山"	"d"	"on"	4			"木"	"17"	"13"	"ㄊㄢˊ"	"檀香：半寄生性常綠小喬木，分布於亞洲東南部和南太平洋島嶼上。主幹和根部含有黃色芳香油，可提取白檀油，用以製造香料、香皂和藥材。木材質地密緻堅韌，可用來雕刻及製飾品、家具，香味可保持數年之久。
"	
"唐"	"定"	"開"	"一"	"唐"	"平"	"端"	"宕"	"d"	"ong"	4			"口"	"10"	"07	"	"ㄊㄤˊ"	"(1)荒唐：言行乖謬，誇大不實，不合禮法。(2)唐突：冒犯、抵觸、失禮。(3)徒然、虛空。如：「功不唐捐」。(4)朝代名。如：「唐堯」、「李唐」、「後唐」、「南唐」。(5)中國的別稱。如：「唐裝」、「唐人街」。(6)姓。_x000D_
"	
"堂"	"定"	"開"	"一"	"唐"	"平"	"端"	"宕"	"d"	"ong"	4			"土"	"11"	"08	"	"ㄊㄤˊ"	"(1)正房、大廳。如：「廳堂」、「升堂入室」。(2)有專門用途的屋子。如：「禮堂」、「教堂」、「課堂」、「食堂」、「澡堂」。(3)尊稱別人的母親。如：「令堂」、「高堂」。(4)與叔、伯子女間的親屬關係。如：「堂兄弟」、「堂姊妹」。(5)古代官府辦公的地方。如：「公堂」。(6)堂堂：A>形容人的容貌端正莊嚴。如：「儀表堂堂」。B>形容陣容盛大。：「堂堂之陣」。C>形容有志氣或有氣魄。如：「堂堂正正」。(7)量詞：A>計算成套物品的單位。如：「一堂瓷器」、「兩堂家具」。B>計算課程分節的單位。如：「一堂課」。
"	
"棠"	"定"	"開"	"一"	"唐"	"平"	"端"	"宕"	"d"	"ong"	4			"木"	"12"	"08	"	"ㄊㄤˊ"	"海棠：落葉喬木。葉叢生，呈卵形或長橢圓形，三、四月時開紅色花。種類很多，有單瓣或重瓣等。果實為球形，味酸。_x000D_
"	
"塘"	"定"	"開"	"一"	"唐"	"平"	"端"	"宕"	"d"	"ong"	4			"土"	"13"	"10"	"ㄊㄤˊ"	"(1)水池。如：「池塘」、「荷塘」、「魚塘」。(2)堤岸。如：「海塘」、「河塘」。_x000D_
"	
"膛"	"定"	"開"	"一"	"唐"	"平"	"端"	"宕"	"d"	"ong"	4			"肉"	"15"	"11"	"ㄊㄤˊ"	"(1)胸腔。如：「胸膛」、「開膛破肚」。(2)物體中空的部分。如：「槍膛」、「炮膛」。_x000D_
"	
"糖"	"定"	"開"	"一"	"唐"	"平"	"端"	"宕"	"d"	"ong"	4			"米"	"16"	"10"	"ㄊㄤˊ"	"(1)由甘蔗、甜菜等提煉出的甜物質。如：「蔗糖」、「紅糖」、「白糖」、「冰糖」、「麥芽糖」。(2)用糖製成的食品。如：「糖果」、「泡泡糖」、「花生糖」。_x000D_
"	
"螳"	"定"	"開"	"一"	"唐"	"平"	"端"	"宕"	"d"	"ong"	4			"虫"	"17"	"11"	"ㄊㄤˊ"	"螳螂：一種昆蟲。全身呈綠色或土黃色。體長，腹部肥大，頭呈三角形，前胸細長如頸，前肢作鐮刀形，有棘刺，以便捕食其他昆蟲。因捕食害蟲，有益農作物生長，被農人視為益蟲。或稱為「刀螂」、「天馬」。_x000D_
"	
"掏"	"定"	"開"	"一"	"豪"	"平"	"端"	"效"	"d"	"eou"	4			"手"	"11"	"08	"	"ㄊㄠ"	"(1)用手探而取出。如：「掏錢」、「掏名片」。(2)挖。如：「掏井」、「掏耳朵」。(3)掏心：比喻真心誠懇。如：「他是一個很容易對人掏心的人。」(4)掏腰包：比喻破費、花錢。如：「這些獎品都是老師掏腰包買的。」_x000D_
"	
"濤"	"定"	"開"	"一"	"豪"	"平"	"端"	"效"	"d"	"eou"	4			"水"	"17"	"14"	"ㄊㄠˊ"	"(1)大波浪。如：「怒濤拍岸」、「波濤洶湧」。(2)像波浪撞擊的聲音。如：「松濤」、「風濤」。_x000D_
"	
"逃"	"定"	"開"	"一"	"豪"	"平"	"端"	"效"	"d"	"eou"	4			"辵"	"10"	"06	"	"ㄊㄠˊ"	"(1)閃避、避開。如：「逃避」、「逃難」、「逃荒」。(2)溜走、出奔。如：「逃跑」、「潛逃」、「逃命」、「逃亡」。_x000D_
"	
"桃"	"定"	"開"	"一"	"豪"	"平"	"端"	"效"	"d"	"eou"	4			"木"	"10"	"06	"	"ㄊㄠˊ"	"(1)落葉喬木。初春開紅、白色花。果實圓形，外被細毛，頂端有尖，味酸甜可口。如：「桃樹」。(2)與男女情愛有關的。如：「桃花運」、「桃色事件」、「命帶桃花」。(3)形狀像桃子的食物。如：「壽桃」。_x000D_
"	
"萄"	"定"	"開"	"一"	"豪"	"平"	"端"	"效"	"d"	"eou"	4			"艸"	"12"	"08	"	"ㄊㄠˊ"	"葡萄：蔓生藤本植物。葉掌狀分裂，互生。花色黃綠，果實成串，呈紫或淡綠色，可食用，也可製酒。_x000D_
"	
"淘"	"定"	"開"	"一"	"豪"	"平"	"端"	"效"	"d"	"eou"	4			"水"	"11"	"08	"	"ㄊㄠˊ"	"(1)用水洗去雜質。如：「淘洗」、「淘米」、「淘金」、「淘澄」。(2)挖深、疏通。如：「淘深」、「淘井」、「淘水溝」。(3)去除不好的。如：「淘汰」。(4)淘氣：頑皮不聽話。如：「淘氣鬼」。_x000D_
"	
"特"	"定"	"開"	"一"	"登"	"入"	"端"	"曾"	"d"	"ak"	9			"牛"	"10"	"06	"	"ㄊㄜˋ"	"(1)與眾不同、和一般人不一樣的。如：「特別」、「特等」、「特徵」、「特大號」、「特立獨行」。(2)特別、專門。如：「特寫」、「特地」、「特派」。(3)但、只是。如：「不特」、「非特」。_x000D_
"	
"疼"	"定"	"合"	"一"	"冬"	"平"	"端"	"通"	"d"	"ang"	4	"1959年資料讀陽去"		"疒"	"10"	"05	"	"ㄊㄥˊ"	"(1)痛的感覺。如：「疼痛」、「心疼」、「頭疼」。(2)憐愛、喜愛。如：「疼愛」、「疼惜」、「弟弟聰明乖巧，十分惹人疼！」_x000D_
"	
"藤"	"定"	"開"	"一"	"登"	"平"	"端"	"曾"	"d"	"ang"	4			"艸"	"19"	"15"	"ㄊㄥˊ"	"(1)蔓生藤本或木本植物。莖細長有節，光滑。葉為羽狀複葉，線形或披針形。具攀緣特性。如紫藤、白藤等。白藤的細莖可編製家具。(2)蔓生植物的莖或卷鬚。如：「葡萄藤」、「西瓜藤」、「絲瓜藤」。_x000D_
"	
"騰"	"定"	"開"	"一"	"登"	"平"	"端"	"曾"	"d"	"ang"	4			"馬"	"20"	"10"	"ㄊㄥˊ"	"(1)奔跑。如：「奔騰」。(2)歡躍。如：「歡騰」。(3)上升。如：「升騰」、「騰雲駕霧」。(4)挪移。如：「這兩天，我得騰出些時間看書。」(5)折騰：反覆折磨。如：「為了完成這件事，可把我折騰夠了。」_x000D_
"	
"啼"	"定"	"開"	"四"	"齊"	"平"	"端"	"蟹"	"d"	"ai"	4			"口"	"12"	"09	"	"ㄊㄧˊ"	"(1)號哭。如：「啼哭」、「啼笑皆非」。(2)鳥獸鳴叫。如：「烏啼」、「鳥啼」、「雞啼」、「兩岸猿聲啼不住。」_x000D_
"	
"醍"	"定"	"開"	"四"	"齊"	"平"	"端"	"蟹"	"d"	"ai"	4								
"蹄"	"定"	"開"	"四"	"齊"	"平"	"端"	"蟹"	"d"	"ai"	4			"足"	"16"	"09	"	"ㄊㄧˊ"	"獸足趾端的角質部分。後用以借指獸足。如：「馬蹄」、「豬蹄」、「牛蹄」。_x000D_
"	
"題"	"定"	"開"	"四"	"齊"	"平"	"端"	"蟹"	"d"	"ai"	4			"頁"	"18"	"09	"	"ㄊㄧˊ"	"(1)額。如：「文身雕題」。(2)標識、寫在上面。如：「題字」、「題識」、「題名」、「題詩」。(3)詩歌、文章、演講等所標立的名目。如：「文題」、「詩題」、「標題」。(4)考試時，要求解答的條目。如：「試題」、「考題」、「選擇題」、「問答題」。(5)評論。如：「品題」、「題評」。(6)題目：A>指試題。如：「這次考試題目困難嗎？」B>指詩歌、文章的名目。如「這首詩的題目是什麼？」(7)量詞。用於計算題目的單位。如：「十題問答題」、「兩題申論題」。_x000D_
"	
"田"	"定"	"開"	"四"	"先"	"平"	"端"	"山"	"d"	"in"	4			"田"	"05	"	"00	"	"ㄊㄧㄢˊ"	"(1)可以種植農作物的土地。如：「農田」、「稻田」、「水田」、「菜田」。(2)打獵。如：「田獵」。(3)蘊藏資源的地帶。如：「鹽田」、「油田」、「煤田」。(4)田田：蓮葉鮮碧的樣子。如：「江南可採蓮，蓮葉何田田。」(5)田賽：體育競賽中，以距離遠近高低作競爭項目，如跳高、跳遠、推鉛球、鍊球等項目的運動比賽。如：「田賽項目是這次運動會的重頭戲！」(6)田地：A>種植農作物的土地。B>地步。如：「你怎麼會淪落到這種田地？」
"	
"恬"	"定"	"開"	"四"	"添"	"平"	"端"	"咸"	"d"	"im"	4			"心"	"09	"	"06	"	"ㄊㄧㄢˊ"	"坦然、安適。如：「恬適」、「恬靜」、「恬然」、「恬不知恥」。_x000D_
"	
"甜"	"定"	"開"	"四"	"添"	"平"	"端"	"咸"	"d"	"im"	4			"甘"	"11"	"06	"	"ㄊㄧㄢˊ"	"(1)味道甘美。如：「香甜」、「甜瓜」、「甜點」。(2)美好的、令人舒服的。如：「甜言蜜語」、「甜美日子」、「笑得好甜」。(3)舒適。如：「他睡得很甜，不要吵到他了！」(4)甜頭：比喻利益、好處。如：「這件事你究竟嚐到什麼甜頭？」_x000D_
"	
"填"	"定"	"開"	"四"	"先"	"平"	"端"	"山"	"d"	"in"	4	"文讀"		"土"	"13"	"10"	"ㄊㄧㄢˊ"	"(1)補空缺或漏洞。如：「填空」、「裝填」、「填充」、「填補」、「填平」。(2)按照表格所規定的項目寫入資料。如：「填表」、「填寫」、「填詞」。(3)按照一定的格律書寫。如：「填詞」。_x000D_
"	
"闐"	"定"	"開"	"四"	"先"	"平"	"端"	"山"	"d"	"in"	4			"門"	"18"	"10"	"ㄊㄧㄢˊ"	"(1)充塞、充滿。如：「賓客闐門」。(2)闐闐：A>形容車馬隊伍聲勢浩大。B>比喻為盛大的樣子。(3)和闐：大陸地區新疆省縣名，以產玉聞名。
"	
"條"	"定"	"開"	"四"	"蕭"	"平"	"端"	"效"	"d"	"iu"	4			"木"	"11"	"07	"	"ㄊㄧㄠˊ"	"(1)樹的小枝。如：「柳條」、「藤條」。(2)狹長的東西。如：「布條」、「麵條」、「金條」、「線條」、「油條」。(3)款目、項目。如：「法條」、「條款」、「條例」。(4)次序、系統。如：「井井有條」。(5)量詞：A>計算條狀物的單位。如：「一條魚」、「兩條線」、「三條香菸」、「五條裙子」。B>計算文書分項的單位。如：「民法共有一二二五條。」_x000D_
"	
"跳"	"定"	"開"	"四"	"蕭"	"平"	"端"	"效"	"d"	"iu"	4	"白讀：～上～落"		"足"	"13"	"06	"	"ㄊㄧㄠˋ"	"(1)兩腳用力往上或往前躍起。如：「跳高」、「跳遠」、「跳躍」、「雞飛狗跳」。(2)越過。如：「跳級」、「這一頁跳過去不看。」(3)振動。如：「跳動」、「心跳」、「眼皮跳」、「心驚肉跳」。(4)似跳的動作。如：「跳棋」、「跳舞」、「高空彈跳」。(5)脫離、逃出。如：「跳脫」。(6)跳腳：焦急跺腳的樣子。如：「你現在急得跳腳又有什麼用呢？」(7)跳機：A>從飛機上非法入境。如：「他因試圖跳機而遭警方逮捕。」B>機器故障。如：「因電廠機組跳機。今天全省緊急限電。」_x000D_
"	
"廷"	"定"	"開"	"四"	"青"	"平"	"端"	"梗"	"d"	"ing"	4			"廴"	"07	"	"04	"	"ㄊㄧㄥˊ"	"古代帝王處理政事的地方。如：「朝廷」、「宮廷」。_x000D_
"	
"亭"	"定"	"開"	"四"	"青"	"平"	"端"	"梗"	"d"	"ing"	4			"亠"	"09	"	"07	"	"ㄊㄧㄥˊ"	"(1)有柱子、屋頂，但沒有圍牆的建築物。一般蓋於花園或風景區中，供休息、乘涼之用。如：「涼亭」、「茅亭」、「六角亭」。(2)在路旁建造的小型房子，作辦公或營業之用。如：「票亭」、「車亭」、「郵亭」、「電話亭」。(3)至、當。如：「亭午時分」。(4)直立的樣子。如：「亭亭玉立」。_x000D_
"	
"庭"	"定"	"開"	"四"	"青"	"平"	"端"	"梗"	"d"	"ing"	4			"广"	"10"	"07	"	"ㄊㄧㄥˊ"	"(1)門牆內，正堂之前的空地。如：「庭院」、「庭園」、「中庭花園」。(2)寬闊的地方。如：「大庭廣眾」。(3)家。如：「家庭」、「庭訓」。(4)法院審理案件的地方。如：「法庭」、「出庭」。_x000D_
"	
"停"	"定"	"開"	"四"	"青"	"平"	"端"	"梗"	"d"	"ing"	4			"人"	"11"	"09	"	"ㄊㄧㄥˊ"	"(1)一種持續狀態的結束。如：「停止」、「停車」、「停火」、「停電」、「雨停了」、「時鐘停了」。(2)留。如：「停留」、「停滯」。(3)放置、擱置。如：「停放」、「停機坪」、「停屍間」。_x000D_
"	
"蜓"	"定"	"開"	"四"	"青"	"平"	"端"	"梗"	"d"	"ing"	4			"虫"	"13"	"07	"	"ㄊㄧㄥˊ"	"(1)蜻蜓：一種脈翅類昆蟲。分頭、胸、腹三部。頭部有一對複眼，腹部細長，分數節。會捕食昆蟲。(2)蜻蜓點水：雌蜻蜓常用尾巴點水，產卵在水中。A>比喻只有表面的接觸，而沒有深入的描寫、體會。如：「你的答案，只能算是蜻蜓點水，沒有深入的剖析。」B>形容來去匆匆，只有短暫的停留。如：「每次你到這兒來，總是蜻蜓點水般的，一來就走。」_x000D_
"	
"婷"	"定"	"開"	"四"	"青"	"平"	"端"	"梗"	"d"	"ing"	4			"女"	"12"	"09	"	"ㄊㄧㄥˊ"	"婷婷：形容女子容貌體態輕巧美好的樣子。如：「婷婷玉立」。_x000D_
"	
