汉字	IPA	注释
褚	tʰɯ3	
驴	lɯ2	
女	lɯ3	
旅	lɯ3	
汝	lɯ3	你
吕	lɯ5	
虑	lɯ5	
滤	lɯ5	
书	tsɯ1	
资	tsɯ1	
姿	tsɯ1	
诸	tsɯ1	
茲	tsɯ1	
滋	tsɯ1	
淄	tsɯ1	
辎	tsɯ1	
慈	tsɯ2	
磁	tsɯ2	
薯	tsɯ2	分～：红薯
子	tsɯ3	
仔	tsɯ3	～细
紫	tsɯ3	
梓	tsɯ3	
煮	tsɯ3	
自	tsɯ5	
痴	tsʰɯ1	
疵	tsʰɯ1	
雌	tsʰɯ1	
鼠	tsʰɯ3	
此	tsʰɯ3	
次	tsʰɯ5	
处	tsʰɯ5	～长
私	sɯ1	
斯	sɯ1	
撕	sɯ1	
师	sɯ1	
筛	sɯ1	又读
狮	sɯ1	
蛳	sɯ1	
司	sɯ1	
思	sɯ1	
施	sɯ1	
舒	sɯ1	
祠	sɯ2	
词	sɯ2	
辞	sɯ2	
叙	sɯ2	～述
饲	sɯ2	
时	sɯ2	
史	sɯ3	历～
使	sɯ3	
暑	sɯ3	
驶	sɯ3	
死	sɯ3	
始	sɯ3	
屎	sɯ3	
屿	sɯ4	
似	sɯ4	
士	sɯ4	
仕	sɯ4	
已	sɯ4	
祀	sɯ4	
姒	sɯ4	
序	sɯ4	
绪	sɯ4	
絮	sɯ4	
事	sɯ5	
赐	sɯ5	
恕	sɯ5	
如	zɯ2	
□	zɯ2	混乱
汝	zɯ3	
居	kɯ1	
车	kɯ1	～马炮
裾	kɯ1	大～：衣服的大襟
渠	kɯ2	
巨	kɯ2	
举	kɯ3	
矩	kɯ3	
拒	kɯ5	
据	kɯ5	
锯	kɯ5	
踞	kɯ5	
瞿	kɯ5	
去	kʰɯ5	
渔	ɡɯ2	
鱼	ɡɯ2	
语	ɡɯ3	
御	ɡɯ5	～林军，防御
虚	hɯ1	
墟	hɯ1	
鱼	hɯ2	白读
许	hɯ3	
于	ɯ1	～是
余	ɯ2	
与	ɯ3	
予	ɯ3	
誉	ɯ5	
预	ɯ5	
飞	pə1	白读
赔	pə2	白读
倍	pə4	白读
焙	pə4	白读，用微火烘
褙	pə5	裱糊
背	pə5	白读
坯	pʰə1	白读
□	pʰə1	～否：豁出去
皮	pʰə2	白读
被	pʰə4	白读，盖～
配	pʰə5	白读，门～：（饭）菜
糜	bə2	粥
袜	bə2	
尾	bə3	白读
未	bə5	白读
妹	bə5	白读
短	tə3	白读
袋	tə5	白读
块	tə5	白读，一～银：一块钱；一～厝：一座房子
推	tʰə1	白读，推托
退	tʰə5	白读，退
螺	lə2	白读
□	lə2	白读，手～：手指上的斗
儡	lə3	嘉～：傀儡
坐	tsə4	白读
罪	tsə4	白读
吹	tsʰə1	白读
炊	tsʰə1	白读
髓	tsʰə3	白读
撮	tsʰə3	白读
□	tsʰə5	寻找
脆	tsʰə5	白读
旋	sə2	白读
雪	sə3	白读
说	sə3	白读
税	sə5	白读
嗝	kə2	
□	kə3	大米做的年糕
□	kə3	～命：没命
郭	kə3	
过	kə5	白读
科	kʰə1	
瘸	kʰə2	
缺	kʰə3	白读
月	ɡə2	白读
灰	hə1	白读
回	hə2	白读，辞退
火	hə3	白读
伙	hə3	白读
货	hə5	白读
岁	hə5	白读
呃	ə3	打～：打嗝
仆	pɐ2	
缚	pɐ2	
薄	pɐ2	
别	pɐ2	白读，～侬：别人
北	pɐ3	
八	pɐ3	
剥	pɐ3	
腹	pɐ3	白读，～肚：肚子
幅	pɐ3	白读，一～布
驳	pɐ3	
卜	pɐ3	占～
□	pɐ3	认识
曝	pʰɐ2	白读，～日佛：晒太阳
扑	pʰɐ3	
朴	pʰɐ3	
博	pʰɐ3	
搏	pʰɐ3	
泊	pʰɐ3	
粕	pʰɐ3	
璞	pʰɐ3	
目	bɐ2	
木	bɐ2	
沐	bɐ2	
莫	bɐ2	
穆	bɐ2	
睦	bɐ2	
墨	bɐ2	白读
密	bɐ2	白读
达	tɐ2	
毒	tɐ2	
独	tɐ2	
铎	tɐ2	
渎	tɐ2	
沓	tɐ2	纷至～来
值	tɐ2	白读
逐	tɐ2	白读，～～个：每一个
督	tɐ3	
笃	tɐ3	
答	tɐ3	
啄	tɐ3	
触	tɐ3	白读，牛相～：牛打架
读	tʰɐ2	
头	tʰɐ2	白读，～壳：头
托	tʰɐ3	
塌	tʰɐ3	
榻	tʰɐ3	
踢	tʰɐ3	白读
纳	lɐ2	
衲	lɐ2	
力	lɐ2	白读
栗	lɐ2	白读，～子
六	lɐ2	
鹿	lɐ2	
乐	lɐ2	快～
洛	lɐ2	
骆	lɐ2	
络	lɐ2	
落	lɐ2	～后
禄	lɐ2	
落	lɐ3	往下掉
十	tsɐ2	白读
杂	tsɐ2	
族	tsɐ2	
汁	tsɐ3	
扎	tsɐ3	
节	tsɐ3	白读
作	tsɐ3	
贼	tsʰɐ2	
凿	tsʰɐ2	
察	tsʰɐ3	
擦	tsʰɐ3	
漆	tsʰɐ3	白读
撮	tsʰɐ3	
□	tsʰɐ3	干涉
杀	sɐ3	
煞	sɐ3	
虱	sɐ3	
萨	sɐ3	
束	sɐ3	
索	sɐ3	思～
□	kɐ2	扔
各	kɐ3	
谷	kɐ3	
鸽	kɐ3	
葛	kɐ3	
国	kɐ3	
觉	kɐ3	
角	kɐ3	
□	kɐ3	～子：檩条
割	kɐ3	～地
□	kʰɐ2	敲打
磕	kʰɐ3	
壳	kʰɐ3	
确	kʰɐ3	
曲	kʰɐ3	～霉等制成的块状物
哭	kʰɐ3	
扩	kʰɐ3	
酷	kʰɐ3	
咯	kʰɐ3	～痰
较	kʰɐ3	～好
恰	kʰɐ3	
渴	kʰɐ3	
岳	ɡɐ2	
狱	ɡɐ2	
乐	ɡɐ2	音～
鳄	ɡɐ2	
鄂	ɡɐ2	
腭	ɡɐ2	
鹤	ɡɐ2	
讫	ɡɐ3	
合	hɐ2	
盒	hɐ2	
核	hɐ2	
学	hɐ2	～习
服	hɐ2	
伏	hɐ2	
辖	hɐ3	
喝	hɐ3	
福	hɐ3	
蝠	hɐ3	
幅	hɐ3	
复	hɐ3	
腹	hɐ3	
霍	hɐ3	
郝	hɐ3	
□	hɐ3	那么
斛	hɐ3	
阿	ɐ2	～婶
压	ɐ3	
扼	ɐ3	
曷	ɐ3	
屋	ɐ3	
握	ɐ3	
沃	ɐ3	
恶	ɐ3	凶～
佛	puɐ2	
勃	puɐ2	
渤	puɐ2	
跋	puɐ2	～倒：跌倒
拔	puɐ2	提～
□	puɐ2	～涂：搓揉泥土
拨	puɐ3	
钵	puɐ3	
不	puɐ3	
泼	pʰuɐ3	～水
末	buɐ2	
物	buɐ2	
没	buɐ2	
牧	buɐ2	
沐	buɐ3	白读，～水：沾水
突	tuɐ2	
夺	tuɐ2	
□	tuɐ3	端（东西）
秃	tʰuɐ2	～头
脱	tʰuɐ3	
律	luɐ2	
率	luɐ2	
捋	luɐ2	
劣	luɐ3	
术	tsuɐ2	白～（药名）
秫	tsuɐ2	～米
绝	tsuɐ2	
卒	tsuɐ3	
拙	tsuɐ3	
出	tsʰuɐ3	
术	suɐ2	
述	suɐ2	
□	suɐ2	游荡
雪	suɐ3	
戌	suɐ3	
屑	suɐ3	
□	suɐ3	锯～：锯末
说	suɐ3	
率	suɐ3	～领
摔	suɐ3	抽打
刷	suɐ3	
滑	kuɐ2	
猾	kuɐ2	
掘	kuɐ2	～涂：挖土
□	kuɐ2	量词，一～涂
骨	kuɐ3	
决	kuɐ3	
诀	kuɐ3	
抉	kuɐ3	～择
括	kuɐ3	
刮	kuɐ3	～风
□	kʰuɐ2	～头：绝后
屈	kʰuɐ3	
倔	kʰuɐ3	
窟	kʰuɐ3	
阔	kʰuɐ3	
厥	kʰuɐ3	
阙	kʰuɐ3	
缺	kʰuɐ3	
□	kʰuɐ3	池塘
月	ɡuɐ2	
伐	huɐ2	
罚	huɐ2	
阀	huɐ2	
乏	huɐ2	
忽	huɐ3	
佛	huɐ3	仿～
拂	huɐ3	
发	huɐ3	
法	huɐ3	
越	uɐ2	
粤	uɐ2	
郁	uɐ3	
熨	uɐ3	～斗
斡	uɐ3	～弯
□	uɐ3	溺水
□	piu1	（水）喷射
谬	biu5	～论
丢	tiu1	
绸	tiu2	
稠	tiu2	
筹	tiu2	
□	tiu3	拽
粙	tiu4	稻子
昼	tiu4	
宙	tiu4	
纣	tiu4	
抽	tʰiu1	
丑	tʰiu3	
溜	liu1	滑～：滑
留	liu2	
瘤	liu2	
榴	liu2	
馏	liu2	
刘	liu2	
浏	liu2	
流	liu2	
硫	liu2	
琉	liu2	
柳	liu3	
绺	liu3	
纽	liu3	白读，儿～：纽扣
□	liu4	一～：一垅
馏	liu4	粿～：一种食品
周	tsiu1	
舟	tsiu1	
州	tsiu1	
洲	tsiu1	
珠	tsiu1	白读，目～：眼睛
啾	tsiu1	
□	tsiu1	苍蝇沾人或物
酒	tsiu3	
帚	tsiu3	
守	tsiu3	白读
咒	tsiu5	
蛀	tsiu5	白读
就	tsiu5	
鹫	tsiu5	
秋	tsʰiu1	
鳅	tsʰiu1	
鬚	tsʰiu1	白读，喙～：胡子
手	tsʰiu3	白读
树	tsʰiu5	白读
臭	tsʰiu5	
收	siu1	
羞	siu1	
修	siu1	
囚	siu2	
泅	siu2	～河：游泳
酬	siu2	
售	siu2	
仇	siu2	
守	siu3	
狩	siu3	
首	siu3	
受	siu4	
绶	siu4	
授	siu4	
寿	siu5	
袖	siu5	
岫	siu5	
秀	siu5	
莠	siu5	
绣	siu5	
锈	siu5	
兽	siu5	
柔	ziu2	
揉	ziu2	
□	kiu1	蜷缩
纠	kiu1	
赳	kiu1	
鸠	kiu1	又读
求	kiu2	
球	kiu2	
逑	kiu2	
久	kiu3	
九	kiu3	
玖	kiu3	
韭	kiu3	
□	kiu3	（写字）潦草
臼	kiu4	
舅	kiu4	
咎	kiu4	
救	kiu5	
究	kiu5	
灸	kiu5	
疚	kiu5	
旧	kiu5	
丘	kʰiu1	
蚯	kʰiu1	
邱	kʰiu1	
鸠	kʰiu1	
□	kʰiu2	缩
休	hiu1	
裘	hiu2	白读，棉～：棉袄
朽	hiu3	腐烂；永垂不～
□	hiu5	垂挂物摇动的样子
优	iu1	
忧	iu1	
悠	iu1	
幽	iu1	
由	iu2	
油	iu2	
铀	iu2	
邮	iu2	
尤	iu2	
犹	iu2	
鱿	iu2	
游	iu2	
酋	iu2	
猷	iu2	
友	iu3	
有	iu3	
酉	iu3	
又	iu5	
右	iu5	
佑	iu5	
釉	iu5	
□	iu5	细
幼	iu5	
肥	pui2	白读
痱	pui5	白读
吠	pui5	白读
屁	pʰui5	白读，放～
啡	pʰui5	吐（痰）
堆	tui1	
捶	tui2	
对	tui5	
兑	tui5	
碓	tui5	
推	tʰui1	
梯	tʰui1	白读，楼～
槌	tʰui2	
锤	tʰui2	
腿	tʰui3	
队	tʰui5	
坠	tʰui5	
雷	lui2	
镭	lui2	
垒	lui3	
累	lui3	积～，劳～
磊	lui3	
蕊	lui3	
儡	lui3	
蕾	lui3	
类	lui4	
擂	lui5	
泪	lui5	又读
锥	tsui1	
椎	tsui1	
睢	tsui1	
水	tsui3	白读
嘴	tsui3	
醉	tsui5	
崔	tsʰui1	
催	tsʰui1	
摧	tsʰui1	
吹	tsʰui1	
炊	tsʰui1	
髓	tsʰui3	
脆	tsʰui3	
翠	tsʰui5	
粹	tsʰui5	
碎	tsʰui5	白读
脆	tsʰui5	又读
喙	tsʰui5	嘴巴
虽	sui1	
绥	sui1	
荽	sui1	
蓑	sui1	粽～：蓑衣
垂	sui2	
谁	sui2	
随	sui2	
隋	sui2	
陲	sui2	边～
遂	sui2	
隧	sui2	
燧	sui2	
水	sui3	
睡	sui5	
瑞	sui5	
穗	sui5	
碎	sui5	
祟	sui5	
归	kui1	
龟	kui1	
规	kui1	
闺	kui1	
硅	kui1	
机	kui1	布～：织布机
癸	kui2	
葵	kui2	～花
暌	kui2	
逵	kui2	
鬼	kui3	
诡	kui3	～计
宄	kui3	奸～
几	kui3	白读，～工：几天
跪	kui4	
桂	kui5	
季	kui5	
贵	kui5	
柜	kui5	
亏	kʰui1	
窥	kʰui1	
开	kʰui1	白读，离～
傀	kʰui5	
愧	kʰui5	
溃	kʰui5	
块	kʰui5	
危	ɡui2	
桅	ɡui2	
巍	ɡui2	
魏	ɡui5	
飞	hui1	
非	hui1	
菲	hui1	
霏	hui1	
翡	hui1	
挥	hui1	
辉	hui1	
珲	hui1	
晖	hui1	
徽	hui1	
妃	hui1	
麾	hui1	
灰	hui1	
肥	hui2	
淝	hui2	
□	hui2	瓷器
匪	hui3	
诽	hui3	
血	hui3	白读
毁	hui3	
贿	hui3	
吠	hui5	
费	hui5	
肺	hui5	
惠	hui5	
废	hui5	
慧	hui5	
讳	hui5	
纬	hui5	
痱	hui5	
威	ui1	
□	ui1	～鸡：炖鸡
围	ui2	
违	ui2	
遗	ui2	
为	ui2	行～
伪	ui2	虚～
委	ui3	
萎	ui3	
苇	ui3	
伟	ui3	
侑	ui3	
□	ui3	挖
尉	ui5	
慰	ui5	
胃	ui5	
谓	ui5	
渭	ui5	
畏	ui5	
猥	ui5	
为	ui5	因～
位	ui5	
浮	pʰəu2	
剖	pʰəu3	
阜	pʰəu3	
谋	bəu2	
母	bəu3	
茂	bəu5	
兜	təu1	
投	təu2	
斗	təu3	升～
蚪	təu3	蝌～
抖	təu3	
陡	təu3	
豆	təu5	
痘	təu5	
斗	təu5	奋～
窦	təu5	
偷	tʰəu1	
头	tʰəu2	
透	tʰəu5	
□	ləu1	挖
楼	ləu2	
搂	ləu3	
篓	ləu3	
漏	ləu5	
邹	tsəu1	
走	tsəu3	
奏	tsəu5	
愁	tsʰəu2	
凑	tsʰəu5	
搜	səu1	
馊	səu1	
瘦	səu3	
嗽	səu3	～口
嗽	səu5	咳～
勾	kəu1	
沟	kəu1	
钩	kəu1	
狗	kəu3	
苟	kəu5	
购	kəu5	
够	kəu5	
构	kəu5	
媾	kəu5	
抠	kʰəu1	
口	kʰəu3	
扣	kʰəu5	
叩	kʰəu5	
寇	kʰəu5	
侯	həu2	
喉	həu2	
猴	həu2	
厚	həu4	
后	həu4	前～
候	həu5	
吼	həu5	怒
欧	əu1	
瓯	əu1	
殴	əu1	
呕	əu1	～吐
镖	pieu1	白读
标	pieu1	白读
彪	pieu1	白读
表	pieu3	白读
婊	pieu3	白读
裱	pieu3	白读
飘	pʰieu1	白读
萍	pʰieu2	白读
嫖	pʰieu2	白读
瓢	pʰieu2	白读
票	pʰieu5	白读
漂	pʰieu5	白读，～白
秒	bieu3	白读
庙	bieu5	白读
着	tieu2	白读，对：～显～：很对；拍～：打中
赵	tieu4	
钓	tieu5	白读
挑	tʰieu1	白读
粜	tʰieu5	白读，～米
撩	lieu2	白读，用网或网状物捞取液体上面的东西
招	tsieu1	白读
蕉	tsieu1	白读
礁	tsieu1	白读
椒	tsieu1	白读，辣～
石	tsieu2	白读，～头
少	tsieu3	白读
借	tsieu3	白读
照	tsieu5	白读
蓆	tsʰieu2	白读，草～
尺	tsʰieu3	白读
□	tsʰieu3	白读，鸭鹅等脖子较长嘴扁的家禽吃东西的动作
笑	tsʰieu5	白读
烧	sieu1	白读，身躯～：身体发烧
小	sieu3	白读，～弟
鞘	sieu5	白读
尿	zieu4	白读，放～：撒尿
桥	kieu2	白读
茄	kieu2	白读
叫	kieu5	白读
轿	kieu5	白读
□	kʰieu3	拾（东西）
□	kʰieu5	竹～：引水用的竹器
□	kʰieu5	水往下流
叶	hieu2	白读
歇	hieu3	白读
幺	ieu1	白读，～二三
腰	ieu1	白读
□	ieu1	带（孩子）
摇	ieu2	白读
窑	ieu2	白读
药	ieu2	白读
舀	ieu3	白读
鹞	ieu5	白读
鸢	ieu5	纸～：风筝
牌	pai2	
排	pai2	
摆	pai3	
拜	pai5	
败	pai5	
否	pʰai3	白读，坏，不好
派	pʰai5	
沛	pʰai5	
湃	pʰai5	
□	bai1	之～：女阴
埋	bai2	
□	bai3	～枝手：左手；～手向：左边
呆	tai1	
台	tai2	
□	tai3	油～：油底子
贷	tai4	
戴	tai5	
带	tai5	
逮	tai5	
大	tai5	
怠	tai5	
代	tai5	
岱	tai5	
袋	tai5	
黛	tai5	
苔	tʰai1	
胎	tʰai1	
台	tʰai1	风～：台风
筛	tʰai1	白读，米～：筛子
抬	tʰai2	
□	tʰai2	杀
太	tʰai5	
汰	tʰai5	
态	tʰai5	
待	tʰai5	
泰	tʰai5	
来	lai2	
梨	lai2	白读，消～：梨子
内	lai4	白读，～面：里面
利	lai5	白读，锋利
灾	tsai1	
斋	tsai1	
栽	tsai1	
知	tsai1	白读，知道
才	tsai2	
材	tsai2	
财	tsai2	
脐	tsai2	腹～：肚脐
宰	tsai3	
再	tsai3	
在	tsai4	
载	tsai5	
猜	tsʰai1	
柴	tsʰai2	
豺	tsʰai2	
裁	tsʰai2	
采	tsʰai3	
彩	tsʰai3	
睬	tsʰai3	
踩	tsʰai3	
菜	tsʰai5	
师	sai1	白读
狮	sai1	白读
筛	sai1	
西	sai1	白读
腮	sai1	
鳃	sai1	
屎	sai3	白读
驶	sai3	白读
姒	sai5	同～：妯娌
赛	sai5	
婿	sai5	
塞	sai5	～外
侍	sai5	白读，服～
帅	sai5	元～
该	kai1	
阶	kai1	
皆	kai1	
陔	kai1	
解	kai3	～放
改	kai3	
介	kai5	
界	kai5	
芥	kai5	
戒	kai5	
械	kai5	
丐	kai5	
钙	kai5	
盖	kai5	
届	kai5	
开	kʰai1	
楷	kʰai3	
凯	kʰai3	
溉	kʰai5	
忾	kʰai5	
概	kʰai5	
呆	ɡai2	又读
碍	ɡai5	
赅	hai1	大
孩	hai2	
颏	hai2	
海	hai3	
亥	hai4	
骇	hai4	
害	hai5	
哀	ai1	
埃	ai1	
挨	ai1	
矮	ai3	
□	ai3	～仔：江边的一种小螃蟹
蔼	ai3	
哎	ai4	叹气声
爱	ai5	
谒	ai5	
隘	ai5	
乖	kuai1	
拐	kuai3	
怪	kuai5	
快	kʰuai5	
筷	kʰuai5	
灰	huai1	白读，形容人无本领运气不好等
怀	huai2	
淮	huai2	
槐	huai2	
坏	huai5	
歪	uai1	
□	uai3	脚扭伤后步行不便的样子
包	pau1	
苞	pau1	
胞	pau1	
庖	pau2	
袍	pau2	
饱	pau3	
鲍	pau4	
□	pau5	突出来
抛	pʰau1	
□	pʰau1	柚子
跑	pʰau3	
泡	pʰau5	
炮	pʰau5	
抱	pʰau5	怀～
卯	bau3	
铆	bau3	
兜	tau1	白读
篼	tau1	
□	tau1	骹～：地上
□	tau1	～骹：一种旧时简易轿子
投	tau2	白读，～降
斗	tau3	白读，一～米
陡	tau3	白读
抖	tau3	白读
罩	tau5	
窦	tau5	
昼	tau5	白读，日～：中午
豆	tau5	白读
偷	tʰau1	白读，小～
头	tʰau2	白读
㪗	tʰau3	解开
透	tʰau5	白读
毒	tʰau5	毒死（虫类）
流	lau2	白读
留	lau2	白读
楼	lau2	白读
篓	lau3	
老	lau4	白读
漏	lau5	白读
糟	tsau1	白读，酒～
剿	tsau2	～灭
巢	tsau2	黄～
齐	tsau2	训读
走	tsau3	白读
蚤	tsau3	白读，家～：跳蚤
找	tsau3	
奏	tsau5	白读
灶	tsau5	
钞	tsʰau1	～票
操	tsʰau1	白读，做～
草	tsʰau3	白读
吵	tsʰau3	
炒	tsʰau3	
臭	tsʰau5	白读
凑	tsʰau5	白读
艄	sau1	
搜	sau1	白读
扫	sau5	
嗽	sau5	白读
交	kau1	
郊	kau1	
蛟	kau1	
勾	kau1	白读
钩	kau1	白读
沟	kau1	白读
猴	kau2	白读
玖	kau3	白读
九	kau3	白读
狗	kau3	白读
较	kau3	
饺	kau3	
枸	kau3	～杞
厚	kau4	白读
教	kau5	
到	kau5	白读
够	kau5	白读
校	kau5	～对
敲	kʰau1	
薅	kʰau1	白读，～草：除草
口	kʰau3	白读，出～
铐	kʰau5	
扣	kʰau5	白读
吼	hau3	白读，哭
孝	hau5	
酵	hau5	
效	hau5	
校	hau5	学～
凹	au1	
瓯	au1	白读，茶～：茶杯
□	au1	使……变弯
喉	au2	白读
□	au3	折叠
后	au4	白读，～生：年青
拗	au5	
沤	au5	白读，东西久浸水中
标	piau1	
膘	piau1	
镖	piau1	
表	piau3	
婊	piau3	
裱	piau3	
飘	pʰiau1	
嫖	pʰiau2	
瓢	pʰiau2	
剽	pʰiau2	
漂	pʰiau2	～白，～亮
票	pʰiau5	
苗	biau2	
瞄	biau2	
描	biau2	
锚	biau2	
猫	biau2	
秒	biau3	
渺	biau3	
藐	biau3	
□	biau3	
妙	biau5	
庙	biau5	
刁	tiau1	
貂	tiau1	
雕	tiau1	
凋	tiau1	
碉	tiau1	
朝	tiau1	～暮
牢	tiau2	白读，～显～：很牢固；牛～：牛栏
条	tiau2	
□	tiau3	腔调不正
调	tiau4	音～，～整
兆	tiau5	
召	tiau5	
吊	tiau5	
钓	tiau5	
挑	tʰiau1	
□	tʰiau1	～池：故意
迢	tʰiau2	
眺	tʰiau3	～望
柱	tʰiau4	栋～：柱子
跳	tʰiau5	
粜	tʰiau5	
辽	liau2	
疗	liau2	
僚	liau2	
燎	liau2	
嘹	liau2	
潦	liau2	
聊	liau2	
了	liau3	
料	liau5	
廖	liau5	
寥	liau5	
焦	tsiau1	
礁	tsiau1	
樵	tsiau1	～夫
昭	tsiau1	
招	tsiau1	
浇	tsiau1	
朝	tsiau2	白读，～东，～西
鸟	tsiau3	白读
照	tsiau5	
超	tsʰiau1	
抄	tsʰiau1	
□	tsʰiau2	理睬
朝	tsʰiau2	白读，又读，～东，～西
悄	tsʰiau3	
俏	tsʰiau3	
肖	siau1	
宵	siau1	
消	siau1	
硝	siau1	
萧	siau1	
箫	siau1	
□	siau2	精液
小	siau3	
少	siau3	
笑	siau5	
数	siau5	算～：算帐
绍	siau5	
□	ziau2	皱
爪	ziau3	
扰	ziau3	
绕	ziau3	
□	ziau5	挠（痒）
娇	kiau1	
骄	kiau1	
□	kiau1	～头：浇在粉条等面食上的佐料，多用鸡丝、肉丝等做成
乔	kiau2	
侨	kiau2	
桥	kiau2	
缴	kiau3	
饺	kiau3	
搅	kiau3	跋～：赌博
□	kiau3	～显～：（小孩）很顽皮
□	kiau4	咒骂；拗起来
叫	kiau5	
轿	kiau5	
□	kʰiau1	～骹：抬腿
跷	kʰiau1	～ku1：驼背
翘	kʰiau5	死～～（一种讥笑或诙谐说法）；弯曲不直
尧	ɡiau2	
饶	ɡiau2	
侥	hiau1	～幸
骁	hiau1	～勇
□	hiau1	否认说过的话，还跟别人争
嚣	hiau1	～张
晓	hiau3	
夭	iau1	
妖	iau1	
要	iau1	～求
么	iau1	
吆	iau1	
邀	iau1	
腰	iau1	
窈	iau1	～窕
枵	iau1	饿
摇	iau2	
瑶	iau2	
谣	iau2	
徭	iau2	
□	iau3	～未来：还未来
耀	iau5	
要	iau5	重要
班	pan1	
斑	pan1	
颁	pan1	
瘢	pan1	
般	pan1	
搬	pan1	
瓶	pan2	白读
板	pan3	
版	pan3	
坂	pan3	
阪	pan3	
扮	pan5	
办	pan5	
攀	pʰan1	
盼	pʰan5	
蛮	ban2	
□	ban3	摘
万	ban5	
曼	ban5	
蔓	ban5	
慢	ban5	
漫	ban5	
幔	ban5	
丹	tan1	
单	tan1	
郸	tan1	
钉	tan1	白读，钉子
耽	tan1	
眈	tan1	
担	tan1	～保
陈	tan2	姓
谈	tan2	
□	tan2	湿
□	tan2	响
弹	tan2	～棉花
亭	tan2	白读，路～：路边供行人休息的小亭子
等	tan3	白读
胆	tan3	
淡	tan4	
氮	tan4	
诞	tan5	
旦	tan5	
但	tan5	
蛋	tan5	
惮	tan5	
弹	tan5	子～
滩	tʰan1	
摊	tʰan1	
瘫	tʰan1	
贪	tʰan1	
蛏	tʰan1	白读，～干
痰	tʰan2	
覃	tʰan2	
潭	tʰan2	
谭	tʰan2	
檀	tʰan2	
坛	tʰan2	
昙	tʰan2	
坦	tʰan3	
袒	tʰan3	～护
毯	tʰan3	
□	tʰan4	形容走路慢的样子
叹	tʰan5	
炭	tʰan5	
趁	tʰan5	
探	tʰan5	
趁	tʰan5	赚
□	lan1	手～：手茧
□	lan1	下垂
兰	lan2	
拦	lan2	
栏	lan2	
澜	lan2	
蓝	lan2	
褴	lan2	
篮	lan2	
婪	lan2	
南	lan2	
楠	lan2	
男	lan2	
岚	lan2	
□	lan3	咱们
览	lan3	
揽	lan3	
滥	lan5	
烂	lan5	
曾	tsan1	姓
针	tsan1	白读
簪	tsan1	
层	tsan2	
□	tsan2	～猪：阉猪
盏	tsan3	
斩	tsan3	
崭	tsan3	
站	tsan4	
赞	tsan5	
暂	tsan5	
餐	tsʰan1	
参	tsʰan1	
掺	tsʰan1	
□	tsʰan1	呻吟
蚕	tsʰan2	
残	tsʰan2	
蝉	tsʰan2	
缠	tsʰan2	
塍	tsʰan2	田
馋	tsʰan2	
□	tsʰan2	形容干活起劲
产	tsʰan3	
铲	tsʰan3	～除
惨	tsʰan3	
灿	tsʰan5	
忏	tsʰan5	
谶	tsʰan5	预言
删	san1	
珊	san1	
山	san1	
疝	san1	
汕	san1	
舢	san1	～板
杉	san1	
三	san1	
衫	san1	
□	san1	沾在身上的污垢
馋	san2	白读，嘴馋
□	san3	瘦
散	san5	～步
干	kan1	～燥
奸	kan1	
杆	kan1	
肝	kan1	
艰	kan1	
竽	kan1	
艰	kan1	
间	kan1	中～
涧	kan1	
甘	kan1	
柑	kan1	
泔	kan1	
疳	kan1	
含	kan2	白读
简	kan3	
柬	kan3	
赶	kan3	
感	kan3	
敢	kan3	
干	kan5	～部
间	kan5	～断
监	kan5	
鉴	kan5	
刊	kʰan1	
牵	kʰan1	白读，～牛
戡	kʰan1	
堪	kʰan1	
龛	kʰan1	佛～
砍	kʰan3	
坎	kʰan3	
侃	kʰan3	
看	kʰan5	
颜	ɡan2	
岩	ɡan2	
癌	ɡan2	
凝	ɡan2	冷
眼	ɡan3	
雁	ɡan5	
谚	ɡan5	
□	ɡan5	～水：审察
蚶	han1	
酣	han1	
鼾	han1	
憨	han1	
韩	han2	
闲	han2	
寒	han2	
函	han2	
涵	han2	
咸	han2	
衔	han2	
翰	han2	
瀚	han2	
含	han2	
邯	han2	
闲	han2	
娴	han2	
罕	han3	
喊	han3	
限	han4	
旱	han4	
撼	han4	
汉	han5	
汗	han5	
焊	han5	
陷	han5	
憾	han5	
翰	han5	～林
岸	han5	
安	an1	
氨	an1	
鞍	an1	
痷	an1	
□	an2	紧
饮	an3	白读，米汤
案	an5	
按	an5	
暗	an5	
宴	an5	又读，～会
边	pian1	
鞭	pian1	
编	pian1	
扁	pian3	
匾	pian3	
蝙	pian3	
贬	pian3	
辨	pian4	
辩	pian4	
辫	pian4	
遍	pian5	
变	pian5	
卞	pian5	
便	pian5	方～
偏	pʰian1	
篇	pʰian1	
翩	pʰian1	
骈	pʰian2	
骗	pʰian5	
片	pʰian5	
棉	bian2	
绵	bian2	
眠	bian2	
免	bian3	
勉	bian3	
娩	bian3	
冕	bian3	
面	bian5	
缅	bian5	
颠	tian1	
癫	tian1	
砧	tian1	白读，案板
踮	tian1	用脚趾走路
巅	tian1	
田	tian2	
滇	tian2	
填	tian2	
展	tian3	
典	tian3	
碘	tian3	
点	tian3	
垫	tian4	
电	tian5	
殿	tian5	
奠	tian5	
佃	tian5	
淀	tian5	
甸	tian5	
店	tian5	
□	tian5	人藏起来
天	tʰian1	
添	tʰian1	
甜	tʰian2	
舔	tʰian2	
恬	tʰian2	
展	tʰian3	白读
□	tʰian3	张开
□	tʰian5	增添
拈	lian1	
粘	lian1	
捻	lian1	
□	lian1	～手～骹：蹑手蹑脚
蔫	lian1	
连	lian2	
