字音					
#i					
s	[1]纱-西= [2]垂-{小孩子抹唾沫的围巾} [3]□{筛} [5]世- [6]垂-{动词，垂下}				
k	[1]家- [2]枷 [3]□{~鸟，喜鹊}假-格-隔- [5]妓计-嫁- [6]下-{低} [8b]桀{卡住}				
kʰ	[3]启客- [5]下-{放} [8b]咳-				
g	[2]牙-个-呆-{瓯语借词，~大，糊涂蛋} [6]艺				
h	[1]瘕{~痀：哮喘} [2]虾- [3]吓 [6]系夏-				
∅	[1]哑□{~~，哥哥} [2]兮 [3]哑 [5]下-{~面} [6]会-解-{会}				
#ie					
p	[3]憋-				
t	[2]特 [3]得-				
tʰ	[3]贴-				
ts	[3]浙接-折-积-				
s	[5]设 [6]翅				
dz	[3]热 [6]二-				
tsʰ	[3]撤-七-				
k	[3]橘-				
∅	[3]一-				
#ue					
p	[1]杯碑 [2]陪 [3]八- [5]背贝辈 [8b]拨-				
pʰ	[1]批- [3]䫌{喙脸} [5]配=				
b	[3]买 [5]𠊉{“不会”的合音} [6]卖				
t	[2]题颓= [3]底 [5]苎 [6]地-				
tʰ	[3]体-{查某~，样子 } [5]退=底- [8b]摕{拿}				
l	[2]犁 [3]詈{骂} [5]銇{扒出} [8b]笠				
ts	[2]齐- [3]节- [5]做 [6]最 [8b]截-				
tsʰ	[1]初- [2]□{擦地行走，擦地} [3]切{小声哭泣}				
s	[1]蔬-梳疏 [3]洗- [5]细-				
dz	[2]揉				
k	[1]瓜-街-鸡- [2]鲑 [3]改-夹- [6]哙{容易}				
kʰ	[1]溪 [3]□{拥挤} [5]契{~母，干妈} [8b]夹挈{夹住}				
g	[3]筴 [6]外= [8b]挟				
h	[1]花-灰= [2]回= [3]悔 [5]废 [6]蟹-会=				
∅	[1]挨- [2]鞋 [3]矮 [6]画话卫 [8b]狭				
#iu					
p	[1]彪				
b	[6]谬				
t	[1]丢 [2]绸 [3]搐{~~弹} [5]昼= [6]粙{水稻}				
tʰ	[1]抽 [3]丑				
l	[1]溜 [2]流琉硫鎏刘瘤榴留= [3]柳纽 [5]溜{滑头} [6]馏				
ts	[1]州周珠-{目~，眼睛} [3]酒 [5]咒 [6]就 [8b]啾{拟声词，~~吼}				
tsʰ	[1]秋须 [2]愁囚- [3]手- [6]树-袖-				
s	[1]收修 [2]泅 [3]守= [5]秀 [6]兽袖寿 [8b]骕{拟声词}				
dz	[2]柔				
k	[1]勼{缩} [2]求球 [3]九= [5]救 [6]咎 [8b]趜{软~~}				
kʰ	[1]邱= [2]虬{卷曲} [3]搝{拉} [5]䊆{软而韧}				
h	[1]休 [2]裘{棉~} [3]朽 [5]溴{甩水}				
∅	[1]优幽 [2]油 [3]友 [5]幼 [6]右				
#ui					
p	[2]肥- [5]痱- [6]吠-				
pʰ	[3]呸 [5]屁				
b	[1]微-				
t	[1]堆碓搥 [2]捶 [5]对 [6]队				
tʰ	[1]梯- [2]锤 [3]腿 [5]替 [6]坠-				
l	[2]雷危- [3]垒 [6]类				
ts	[1]锥追 [3]□{路~，路}水- [5]醉做碎嘴				
tsʰ	[1]催吹= [3]璀 [5]碎嘴				
s	[1]虽 [2]垂随 [3]水= [6]穗岁				
dz	[2]□{揉碎}				
k	[1]规龟 [3]改-鬼几-轨 [5]贵桂季 [6]柜跪				
kʰ	[1]开-亏 [2]葵 [5]气-				
g	[2]危 [6]魏				
h	[1]辉 [2]肥= [3]悔匪血 [5]肺费 [6]惠				
∅	[1]威 [2]围 [3]挖- [5]胃 [6]卫位胃 [8b]划-				
#ai					
p	[1]□{动词，背} [2]排牌 [3]摆 [5]否拜 [6]败				
pʰ	[3]否- [5]派炮=				
b	[1]屄 [2]眉- [6]□{小看}				
t	[1]呆 [2]台□{埋} [3]滓- [5]带= [6]大=代=颓-{瓯语借词，男阴}				
tʰ	[1]胎=□{□li2,筛子} [2]台刣-{杀} [3]癞{~哥，麻风} [5]太 [6]待				
l	[2]来梨- [6]内里-裹				
ts	[1]知-摘栽脐 [2]财才脐 [3]指-宰 [5]再 [6]在				
tsʰ	[1]猜 [2]裁 [3]彩 [5]菜				
s	[1]西-师-狮 [3]屎 [5]赛婿 [6]侍-				
k	[1]该 [3]改=解= [5]介戒				
kʰ	[1]开= [3]凯 [5]概				
g	[6]碍				
h	[2]孩 [3]海 [6]害				
∅	[1]哀 [3]蔼 [5]爱 [8b]□{火烧~，失火}				
#uai					
ts	[5]跩{歪歪~~，不正}				
s	[1]摔 [6]率				
k	[1]乖 [3]拐 [5]怪=拐 [6]躗{~哥，不顺}				
kʰ	[5]快块				
h	[1]□{笨（亲昵义）} [2]怀 [5]坏				
∅	[1]歪				
#au					
p	[1]包 [2]雹袍 [3]饱= [5]豹= [8b]□{全部买下}				
pʰ	[1]抛= [3]跑 [6]炮泡				
b	[2]茅= [3]卯 [6]茂				
t	[1]兜= [2]投 [3]抖笃-{硬~} [5]罩=昼- [6]豆 [8b]沓{~~走：慢慢走}				
tʰ	[1]偷- [2]头- [3]敨{解开} [5]透 [6]酘{毒杀}				
l	[1]捞 [2]流楼 [3]篓 [5]涝{~屎，污} [6]老佬漏 [8b]落-				
ts	[1]糟 [2]巢 [3]找=走 [5]灶罩 [6]躁				
tsʰ	[1]钞抄= [2]撨{搬动} [3]草-□{挪动} [5]凑臭 [6]嘈{~~念，拟声词}				
s	[5]嗽				
k	[1]交勾沟钩-教 [2]猴 [3]狗九= [5]够 [6]厚 [8b]毂{软~~}				
kʰ	[1]阄 [3]口 [5]扣 [8b]觳{~~掣，因紧张而发抖}				
g	[2]□{能干}				
h	[1]嚣- [2]豪 [3]吼 [5]孝= [6]校				
∅	[1]瓯- [2]熬喉 [3]拗{折断} [6]后				
#iau					
p	[1]标= [3]表=				
pʰ	[1]飘 [2]嫖 [5]漂				
b	[3]秒 [6]妙				
t	[1]雕 [2]条= [5]吊 [6]调				
tʰ	[1]挑= [2]鲦 [3]窕 [5]跳= [6]柱-				
l	[2]辽寮僚疗撩 [3]了 [6]料				
ts	[1]皱焦=招=□{揉面} [2]樵= [3]鸟 [5]照=				
tsʰ	[1]超= [8b]嚼{好说话}				
s	[1]宵萧箫潇嚣= [2]韶 [3]痟{疯}小= [5]笑= [6]数-				
dz	[2]□{皱} [3]扰 [6]绕				
k	[1]娇佝 [2]侨 [3]缴饺 [6]挢{撬}				
kʰ	[1]跷 [2]譑{耍小脾气} [3]巧- [5]翘撬				
g	[2]尧				
h	[1]枭 [2]娆{女人行为不端正} [3]晓				
∅	[1]邀夭妖枵{饿} [2]姚 [5]要				
#an					
p	[1]扳班 [2]瓶 [3]板 [6]扮办				
pʰ	[1]攀 [5]盼				
b	[2]蛮= [3]挽- [6]万慢				
t	[1]丹担=钉- [2]饨陈- [3]等- [5]钉- [6]淡				
