cnd	character	iintian	fnian	tone	iote
961	福	f	uᶹ	21	
962	服	f	uᶹ	21	
963	目	m	uᶹ	21	
964	六	n	uᶹ	21	
965	宿	ɕ	yu	21	
965	宿	ɕ	iəu̜	13	星∽
966	竹	ts	uᶹ	21	
967	畜	ɕ	yu	21	
968	缩	s	o	21	
969	粥	ts	əu̜	35	
970	叔	s	uᶹ	21	
971	熟	s	uᶹ	21	
972	肉	z	uᶹ	21	
973	菊	tɕ	yu	21	
974	育	∅	yu	21	
975	封	f	oŋ	35	
976	蜂	f	oŋ	35	
977	缝	f	oŋ	13	
978	浓	n	oŋ	21	
979	龙	n	oŋ	21	
980	松	s	oŋ	35	
981	重	ts	oŋ	13	
982	肿	ts	oŋ	42	
983	种	ts	oŋ	13	
984	冲	tsh	oŋ	35	
985	恭	k	oŋ	35	
986	共	k	oŋ	13	
987	凶	ɕ	ioŋ	35	
988	拥	∅	ioŋ	42	
989	容	∅	ioŋ	21	
990	用	∅	ioŋ	13	
991	绿	n	uᶹ	21	
992	足	tɕ	yu	21	
993	烛	ts	uᶹ	21	
994	赎	ɕ	yu	21	
995	属	s	uᶹ	21	
996	褥	z	uᶹ	42	
997	曲	tɕh	yu	21	
998	局	tɕ	yu	21	
999	玉	∅	y	13	
1000	浴	∅	yu	21	
1001	我	ŋ	o	42	
1002	你	n	i	42	
1002	他	tʰ	a	35	
1003	也	∅	i	42	
1004	些	ɕ	i	35	
1005	瓮	∅	oŋ	13	
1006	是	s	ɿ	13	
1007	在	ts	ai	13	
1008	屈	tɕʰ	yu	21	
1009	蓄	ɕ	yu	21	
1010	旭	ɕ	yu	21	
1011	喝	x	o	35	∽酒
1012	黔	tɕʰ	iɛn	21	
1013	琼	tɕʰ	yn	21	
1014	窘	tɕ	yn	42	
1015	迵	tɕ	yn	42	
1016	炯	tɕ	yn	42	
1017	概	kʰ	ai	24	
1018	鄙	pʰ	i	42	
1019	械	k	ai	13	
