-a		
tsh	[1]侵深亲称青=清[3]寝请=[5]秤凊{凉}	
s	[1]芯心新薪升身星申伸声=[2]寻神辰晨臣乘承丞成诚荥蝇蟳{青蟹}[3]沈审婶省醒={~悟}[5]信讯迅性=姓=圣=[6]甚渗肾慎胜剩	
0	[1]烟-音阴荫因姻殷应鹰莺鹦樱英缨婴[2]淫人仁=寅盈荣营=莹赢=□{紧}[3]饮引隐永泳颖仍影=[5]印应{响~}[6]任刃纫润孕应{~该}	
-iaŋ		
p	[3]饼[5]摒{倒掉}并{合~}	
ph	[1]𩩍{背脊~}	
m	[2]名-明-{松~}[6]命-	
t	[2]埕□{走不稳}[3]鼎-{锅}点-{~火}[6]定-{肯~}□{懒}懒{懒}锭	
th	[1]厅听-[2]呈程[5]忝{痛}□{痛}□{爱}	
l	[3]岭领	
k	[1]惊-[3]囝[5]镜	
kh		
ŋ	[2]岩□{举高}迎-	
h	[1]兄-掀-[5]炫{~目}	
ts	[1]煎{~药}正{~月}[2]秦{~屿}[3]䭕{味淡}𩟗{味淡}[5]正-{~式}[6]净{纯~}	
tsh	[1]□{小刺}[2]寻{量词}[3]请-铲癣[5]倩	
s	[1]声-[2]成-城泉-{~水}[5]线圣-{灵验}[6]	
0	[2]营-赢-[3]影=	
-ieŋ		
p	[1]鞭编边[3]贬扁匾蝙[5]变[6]辨辩辫便卞	
ph	[1]篇偏翩[5]骗片遍	
m	[2]绵棉[3]免娩勉缅[6]面{片~}麵{一条~}	
t	[1]甜-颠癫[2]缠田=[3]展典[6]电佃奠	
th	[1]添天忝[5]䋎{缝}	
n	[1]拈[2]粘年[3]染[6]念=□{拧}	
l	[2]镰廉莲=连联怜林[3]脸□{滚}[6]敛练炼链	
k	[1]兼肩坚涓绢娟𱣤[2]舷-{边沿}[3]检俭柬茧减碱[5]剑犍建健键见[6]俭件	
kh	[1]谦愆{惹事}[2]钳乾擒-[3]遣谴[5]欠歉	
ŋ	[2]阎言严[3]碾研[5]砚瘾[6]验	
h	[1]轩掀=[2]贤嫌弦悬=[3]显险[5]献宪[6]现	
ts	[1]尖詹{姓}煎毡□{挤}[2]钱前=[3]践[5]箭战颤饯占{~领}荐[6]贱渐	
tsh	[1]签迁笺鲜-歼[2]潜[3]浅	
s	[1]仙鲜=先=腥=[2]禅婵[3]陕闪-鲜{朝~}[5]盐{~菜}扇[6]善膳羡鳝	
0	[1]淹阉蔫{不鲜}燕{~京}烟=渊[2]盐=檐然燃延筵圆{~圈}沿{边~}[3]掩魇演[5]燕宴厌[6]院	
-ioŋ		
p		
ph		
t	[1]张{姓}[2]长={特~}场[3]长{~辈}[5]账胀帐[6]丈{姑~}长{剩}	
th	[1]张{纸~}[5]畅[6]丈	
n	[2]娘酿{酒~}[5]让壤[6]酿{~酒}	
l	[2]凉良粮梁粱量{商~}[3]两=俩[6]亮谅量{数~}	
k	[1]疆僵姜缰[2]强{~壮}[3]强{勉~}	
kh	[1]匡框腔	
ŋ	[3]仰	
h	[1]香乡[3]享响[5]向饷□{阿~：那样}	
