單字	松柏(調類)	松柏(調值)	注释
輪	lɐn4	lɐn²¹	
倫	lɐn4	lɐn²¹	
綸	lɐn4	lɐn²¹	垂綸
鱗	lɐn4	lɐn²¹	
淪	lɐn4	lɐn²¹	
藺	lɐn6	lɐn⁵²	
遴	lɐn4	lɐn²¹	
吝	lɐn6	lɐn⁵²	
栗	lɐt9	lɐt⁵²	
律	lɐt9	lɐt⁵²	
慄	lɐt9	lɐt⁵²	
粼	lɐn4	lɐn²¹	
嶙	lɐn4	lɐn²¹	
躪			
侖	lɐn4	lɐn²¹	
遵	ʦin1	ʦin⁴⁵	
津	ʦɐn1	ʦɐn⁴⁵	
進	ʦɐn3	ʦɐn⁴⁴	
俊	ʦɐn3	ʦɐn⁴⁴	
晉	ʦɐn3	ʦɐn⁴⁴	
駿	ʦɐn3	ʦɐn⁴⁴	
卒	ʦɐt7	ʦɐt⁴	士卒
唧	ʦɪk7	ʦɪk⁴	
啐			
鈞	kʰɐn1	kʰɐn⁴⁵	
均	kʰɐn1	kʰɐn⁴⁵	
緊	kɐn2	kɐn²¹⁴	
橘	kɐt7	kɐt⁴	
吉	kɐt7	kɐt⁴	
拮	kit8	kit³	
秦	ʦʰɐn4	ʦʰɐn²¹	
盡	ʦɐn6	ʦɐn⁵²	
疾	ʦɐt9	ʦɐt⁵²	
脣	sɐn4	sɐn²¹	
神	sɐn4	sɐn²¹	
順	sɐn6	sɐn⁵²	
朮	sɐt9	sɐt⁵²	
實	sɐt9	sɐt⁵²	
述	sɐt9	sɐt⁵²	
術	sɐt9	sɐt⁵²	
盾	tʰɐn5	tʰɐn²¹²	
秫			
淳	sɐn4	sɐn²¹	
醇	sɐn4	sɐn²¹	
辰	sɐn4	sɐn²¹	
臣	sɐn4	sɐn²¹	
宸	sɐn4	sɐn²¹	
純	sɐn4	sɐn²¹	
鶉			鶉衣
鶉	tʰɐn4	tʰɐn²¹	鵪鶉，鵪鶉蛋
晨	sɐn4	sɐn²¹	
腎	sɐn5	sɐn²¹²	
慎	sɐn6	sɐn⁵²	
瞋			
春	ʦʰɐn1	ʦʰɐn⁴⁵	
蠢	ʦʰɐn2	ʦʰɐn²¹⁴	
蒓			
蜃	sɐn5	sɐn²¹²	
蜃			
蘋	pʰɪŋ4	pʰɪŋ²¹	
頻	pʰɐn4	pʰɐn²¹	
臏	pɐn3	pɐn⁴⁴	
牝			
顰	pʰɐn4	pʰɐn²¹	
濱	pɐn1	pɐn⁴⁵	
檳	pɐn1	pɐn⁴⁵	
賓	pɐn1	pɐn⁴⁵	
鬢	pɐn3	pɐn⁴⁴	
必	pit8	pit³	
畢	pɐt7	pɐt⁴	
殯	pɐn1	pɐn⁴⁵	
填	tʰin4	tʰin²¹	
屯	tʰin4	tʰin²¹	又读tɐn²¹
珍	ʦɐn1	ʦɐn⁴⁵	
鎮	ʦɐn3	ʦɐn⁴⁴	
茁	ʦʰit8	ʦʰit³	
窒	ʦɐt9	ʦɐt⁵²	
絀	ʦʰit8	ʦʰit³	
隕	wɐn5	wɐn²¹²	
汩			
殞	wɐn5	wɐn²¹²	
乙	jit8	jit³	
銀	ŋɐn4	ŋɐn²¹	
垠	ŋɐn4	ŋɐn²¹	
釁	hɐn3	hɐn⁴⁴	
率	sɐt7	sɐt⁴	率領
蟀	sɐt7	sɐt⁴	
窘	kʰɐn3	kʰɐn⁴⁴	
菌	kʰɐn5	kʰɐn²¹²	
瑾	kɐn2	kɐn²¹⁴	
僅	kɐn2	kɐn²¹⁴	
饉	kɐn2	kɐn²¹⁴	
覲	kɐn2	kɐn²¹⁴	
紉	jɐn6	jɐn⁵²	
暱	nɪk7	nɪk⁴	
昵			
岷	mɐn4	mɐn²¹	
閩	mɐn5	mɐn²¹²	
憫	mɐn5	mɐn²¹²	
敏	mɐn5	mɐn²¹²	
密	mɐt9	mɐt⁵²	
巾	kɐn1	kɐn⁴⁵	
襯	ʦʰɐn3	ʦʰɐn⁴⁴	
塵	ʦʰɐn4	ʦʰɐn²¹	
陳	ʦʰɐn4	ʦʰɐn²¹	
趁	ʦʰɐn3	ʦʰɐn⁴⁴	
陣	ʦɐn6	ʦɐn⁵²	
秩	tit9	tit⁵²	
姪	ʦɐt9	ʦɐt⁵²	
怵	ʦɐt7	ʦɐt⁴	
椿	ʦʰɐn1	ʦʰɐn⁴⁵	
黜			
貧	pʰɐn4	pʰɐn²¹	
弼			
份	fɐn6	fɐn⁵²	
彬	pɐn1	pɐn⁴⁵	
筆	pɐt7	pɐt⁴	
邠			
斌	pɐn1	pɐn⁴⁵	
櫛	ʦit8	ʦit³	
榛	ʦɐn1	ʦɐn⁴⁵	
臻	ʦɐn1	ʦɐn⁴⁵	
瑟	sɐt7	sɐt⁴	
蝨	sɐt7	sɐt⁴	
莘	sɐn1	sɐn⁴⁵	
嗚	wu1	wu⁴⁵	
烏	wu1	wu⁴⁵	
惡	wu3	wu⁴⁴	可惡
惡			惡乎
塢	wu1	wu⁴⁵	山塢
塢	wu1	wu⁴⁵	船塢
鎢			
鄔			
蜈	ʔʊŋ4	ʔʊŋ²¹	
梧	ʔʊŋ4	ʔʊŋ²¹	
吾	ʔʊŋ4	ʔʊŋ²¹	
吳	ʔʊŋ4	ʔʊŋ²¹	
午	ʔʊŋ5	ʔʊŋ²¹²	
五	ʔʊŋ5	ʔʊŋ²¹²	
伍	ʔʊŋ5	ʔʊŋ²¹²	
悟	ʔʊŋ6	ʔʊŋ⁵²	
寤	ʔʊŋ6	ʔʊŋ⁵²	
誤	ʔʊŋ6	ʔʊŋ⁵²	
晤	ʔʊŋ6	ʔʊŋ⁵²	
嗉			
愫	su3	su⁴⁴	
蘇	su1	su⁴⁵	
酥	su1	su⁴⁵	
穌	su1	su⁴⁵	
訴	su3	su⁴⁴	
塑	suɔk8	suɔk³	又读suɔk³
素	su3	su⁴⁴	
呼	fu1	fu⁴⁵	
琥	fu2	fu²¹⁴	
虎	fu2	fu²¹⁴	
滸	fu2	fu²¹⁴	
戽	fu3	fu⁴⁴	
糊	wu4	wu²¹	
瑚	wu4	wu²¹	
胡	wu4	wu²¹	
瓠			
壺	wu4	wu²¹	
湖	wu4	wu²¹	
弧	wu4	wu²¹	
葫	wu4	wu²¹	
狐	wu4	wu²¹	
乎	fu4	fu²¹	
雇	ku3	ku⁴⁴	
滬	wu6	wu⁵²	
扈	wu6	wu⁵²	
戶	wu6	wu⁵²	
互	wu6	wu⁵²	
護	wu6	wu⁵²	
猢	wu4	wu²¹	
鶘			
醐	wu4	wu²¹	
祜			
枯	kʰu1	kʰu⁴⁵	
苦	fu2	fu²¹⁴	
庫	fu3	fu⁴⁴	
土	tʰu2	tʰu²¹⁴	
吐	tʰu3	tʰu⁴⁴	
兔	tʰu3	tʰu⁴⁴	
措	ʦʰu3	ʦʰu⁴⁴	
醋	ʦʰu3	ʦʰu⁴⁴	
厝			
錯			同「措」
浦	pʰu2	pʰu²¹⁴	
普	pʰu2	pʰu²¹⁴	
怖	pu3	pu⁴⁴	
鋪	pʰu3	pʰu⁴⁴	店鋪
溥			
奴	nu4	nu²¹	
努	nu5	nu²¹²	
怒	nu6	nu⁵²	
弩	nu5	nu²¹²	
模	mu4	mu²¹	
摸	muɔ1	muɔ⁴⁵	
膜	muɔk8	muɔk³	膜拜
媽	ma5	ma²¹²	
莽	muɔŋ5	muɔŋ²¹²	
慕	mu6	mu⁵²	
墓	mu6	mu⁵²	
暮	mu6	mu⁵²	
募	mu6	mu⁵²	
姥			天姥
盧	lu4	lu²¹	
顱	lu4	lu²¹	
爐	lu4	lu²¹	
擄	lu5	lu²¹²	
虜	lu5	lu²¹²	
滷	lu5	lu²¹²	
魯	lu5	lu²¹²	
櫓	lu5	lu²¹²	
路	lu6	lu⁵²	
鷺	lu6	lu⁵²	
露	lu6	lu⁵²	
賂	lu6	lu⁵²	
鸕	lu4	lu²¹	
鹵	lu5	lu²¹²	
壚			
瀘	lu4	lu²¹	
璐	lu6	lu⁵²	
租	ʦu1	ʦu⁴⁵	
組	ʦu2	ʦu²¹⁴	
祖	ʦu2	ʦu²¹⁴	
作	ʦuɔk8	ʦuɔk³	
辜	ku1	ku⁴⁵	
箍	kʰu1	kʰu⁴⁵	
孤	ku1	ku⁴⁵	
呱			呱呱墜地
沽	ku1	ku⁴⁵	
姑	ku1	ku⁴⁵	
詁			
鼓	ku2	ku²¹⁴	
估	ku2	ku²¹⁴	估計
估			估衣
古	ku2	ku²¹⁴	
股	ku2	ku²¹⁴	
賈			商賈
固	ku3	ku⁴⁴	
鯝			
故	ku3	ku⁴⁴	
顧	ku3	ku⁴⁴	
錮	ku3	ku⁴⁴	
牯	ku2	ku²¹⁴	
蠱			
鴣			
瞽			
都	tu1	tu⁴⁵	
睹	tu2	tu²¹⁴	
堵	tu2	tu²¹⁴	
賭	tu2	tu²¹⁴	
妒	tu3	tu⁴⁴	
蠹			
圖	tʰu4	tʰu²¹	
途	tʰu4	tʰu²¹	
塗	tʰu4	tʰu²¹	
徒	tʰu4	tʰu²¹	
荼			如火如荼
鍍	tu6	tu⁵²	
菟	tʰu3	tʰu⁴⁴	
肚	tʰu5	tʰu²¹²	
杜	tu6	tu⁵²	
渡	tu6	tu⁵²	
度	tu6	tu⁵²	度量衡
粗	ʦʰu1	ʦʰu⁴⁵	
樸	pʰuɔk8	pʰuɔk³	
菩	pʰu4	pʰu²¹	
匍	pʰu4	pʰu²¹	
蒲	pʰu4	pʰu²¹	
簿	pu6	pu⁵²	
部	pu6	pu⁵²	
步	pu6	pu⁵²	
捕	pu6	pu⁵²	
哺	pu6	pu⁵²	
圃	pu2	pu²¹⁴	
譜	pʰu2	pʰu²¹⁴	
補	pu2	pu²¹⁴	
布	pu3	pu⁴⁴	
佈	pu3	pu⁴⁴	
逋	pu1	pu⁴⁵	
阻	ʦuɔ2	ʦuɔ²¹⁴	
俎			
詛	ʦui2	ʦui²¹⁴	
豬	ʦi1	ʦi⁴⁵	
著	ʦi3	ʦi⁴⁴	顯著
貯	ʦʰi5	ʦʰi²¹²	
諸	ʦi1	ʦi⁴⁵	
藷			藷蕷
淤	ji1	ji⁴⁵	又读ji²¹⁴
瘀	ji1	ji⁴⁵	
於	ji1	ji⁴⁵	
菸	jin1	jin⁴⁵	
予			古代第一人稱
予	ji5	ji²¹²	給予
餘	ji4	ji²¹	
輿	ji4	ji²¹	
與	ji5	ji²¹²	
譽	ji6	ji⁵²	
余	ji4	ji²¹	
豫	ji6	ji⁵²	
預	ji6	ji⁵²	
與	ji5	ji²¹²	我與你
蜍			
魚	ji4	ji²¹	
漁	ji4	ji²¹	
禦	ji6	ji⁵²	
語	ji5	ji²¹²	語言
語			不以語人
御	ji6	ji⁵²	
馭	ji6	ji⁵²	
衙	ŋa4	ŋa²¹	
圄			
齬			
胥	sɐi1	sɐi⁴⁵	
絮	si3	si⁴⁴	
緒	sui5	sui²¹²	
抒	si1	si⁴⁵	
徐	ʦʰi4	ʦʰi²¹	
嶼			島嶼
序	ʦi6	ʦi⁵²	
敘	ʦi6	ʦi⁵²	
虛	hi1	hi⁴⁵	
噓	hi1	hi⁴⁵	噓寒問暖
許	hi2	hi²¹⁴	
墟	hi1	hi⁴⁵	
去	hi3	hi⁴⁴	
舒	si1	si⁴⁵	
紓	si1	si⁴⁵	
書	si1	si⁴⁵	
鼠	si2	si²¹⁴	
暑	si2	si²¹⁴	
黍			
恕	si3	si⁴⁴	
庶	si3	si⁴⁴	
疏	suɔ1	suɔ⁴⁵	疏通
疏			註疏
蔬	suɔ1	suɔ⁴⁵	
梳	suɔ1	suɔ⁴⁵	
所	suɔ2	suɔ²¹⁴	
如	ji4	ji²¹	
茹	ji4	ji²¹	
汝	ji5	ji²¹²	
渠	kʰi4	kʰi²¹	
距	kʰi5	kʰi²¹²	
巨	ki6	ki⁵²	
炬	ki6	ki⁵²	
鉅	ki6	ki⁵²	
拒	kʰi5	kʰi²¹²	
遽	ki6	ki⁵²	
苣			
蛆	ʦʰi1	ʦʰi⁴⁵	
沮			沮水。水名
疽			
女	ni5	ni²¹²	
廬	lu4	lu²¹	
蘆	lu4	lu²¹	
櫚	lui5	lui²¹²	
驢	lu4	lu²¹	
旅	li5	li²¹²	
侶	lui5	lui²¹²	
呂	lui5	lui²¹²	
慮	li6	li⁵²	
且	ʦʰɛ2	ʦʰɛ²¹⁴	
沮			沮洳
車	ki1	ki⁴⁵	車馬炮
据	kʰi3	kʰi⁴⁴	
莒			
舉	ki2	ki²¹⁴	
櫸	ki2	ki²¹⁴	
踞	kʰi3	kʰi⁴⁴	
據	kʰi3	kʰi⁴⁴	
鋸	ki3	ki⁴⁴	
裾			
沮	ʦui2	ʦui²¹⁴	沮喪
咀	ʦui2	ʦui²¹⁴	
初	ʦʰuɔ1	ʦʰuɔ⁴⁵	
楚	ʦʰuɔ2	ʦʰuɔ²¹⁴	
礎	ʦʰuɔ2	ʦʰuɔ²¹⁴	
鋤	ʦʰuɔ4	ʦʰuɔ²¹	
助	ʦuɔ6	ʦuɔ⁵²	
涂	tʰu4	tʰu²¹	
躇	i4	i²¹	
除	ʦʰi4	ʦʰi²¹	
儲	ʦʰi2	ʦʰi²¹⁴	白读ʦʰu²¹²
屠	tʰu4	tʰu²¹	
杼			
佇			
苧			
箸	ʦi6	ʦi⁵²	
褚			
野	jɛ5	jɛ²¹²	
墅	sui5	sui²¹²	
曙	si5	si²¹²	
薯	si4	si²¹	
署	ʦʰi5	ʦʰi²¹²	
杵	ʦʰi5	ʦʰi²¹²	
處	ʦʰi2	ʦʰi²¹⁴	處理
處	ʦʰi3	ʦʰi⁴⁴	住處
株	ʦi1	ʦi⁴⁵	
列	lit9	lit⁵²	
蛛	ʦi1	ʦi⁴⁵	
拄	ʦi2	ʦi²¹⁴	
駐	ʦi3	ʦi⁴⁴	
誅			
朱	ʦi1	ʦi⁴⁵	
珠	ʦi1	ʦi⁴⁵	
侏	ʦi1	ʦi⁴⁵	
主	ʦi2	ʦi²¹⁴	
註	ʦi3	ʦi⁴⁴	
蛀	ʦi3	ʦi⁴⁴	
鑄	ʦi3	ʦi⁴⁴	
注	ʦi3	ʦi⁴⁴	
硃	ʦi1	ʦi⁴⁵	
炷			
孳	ʦi1	ʦi⁴⁵	
汙	wu1	wu⁴⁵	
迂	ji1	ji⁴⁵	
栩	hi2	hi²¹⁴	
竽			
于	ji1	ji⁴⁵	
芋	ji6	ji⁵²	白读wu⁵²
盂	ji4	ji²¹	
雨	ji5	ji²¹²	落雨
雨			雨我公田
羽	ji5	ji²¹²	
宇	ji5	ji²¹²	
禹	ji5	ji²¹²	
噢	ji2	ji²¹⁴	
嫗			
萸	ji4	ji²¹	
逾	ji6	ji⁵²	
瑜	ji4	ji²¹	
榆	ji4	ji²¹	
諛	ji4	ji²¹	
舀	jiu5	jiu²¹²	
渝	ji4	ji²¹	
愉	ji4	ji²¹	
愈	ji6	ji⁵²	
喻	ji6	ji⁵²	
諭	ji6	ji⁵²	
籲	ji6	ji⁵²	
裕	ji6	ji⁵²	
隅	ji4	ji²¹	
虞	ji4	ji²¹	
愚	ji4	ji²¹	
娛	ji4	ji²¹	
遇	ji6	ji⁵²	
寓	ji6	ji⁵²	
禺	ji4	ji²¹	
娶	ʦʰi2	ʦʰi²¹⁴	
鬚	su1	su⁴⁵	
需	si1	si⁴⁵	
須	si1	si⁴⁵	
煦	hi1	hi⁴⁵	
吁			
詡	hi2	hi²¹⁴	
酗			
嶇	kʰi1	kʰi⁴⁵	
軀	kʰi1	kʰi⁴⁵	
驅	kʰi1	kʰi⁴⁵	
摳	kʰɐu1	kʰɐu⁴⁵	
區	kʰi1	kʰi⁴⁵	區別
輸	si1	si⁴⁵	
戍	si6	si⁵²	
數	su2	su²¹⁴	～數
數	su3	su⁴⁴	數字
嚅	ji4	ji²¹	
儒	ji4	ji²¹	
乳	jui5	jui²¹²	
孺	ji4	ji²¹	
懦	nuɔ6	nuɔ⁵²	
瞿			瞿塘峽
句	ki3	ki⁴⁴	
具	ki6	ki⁵²	
懼	ki6	ki⁵²	
颶	ki6	ki⁵²	
趨	ʦʰi1	ʦʰi⁴⁵	
取	ʦʰi2	ʦʰi²¹⁴	
鋪	pʰu1	pʰu⁴⁵	鋪張
孵	fu1	fu⁴⁵	白读pou⁵²
敷	fu1	fu⁴⁵	
俘	fu1	fu⁴⁵	
撫	fu2	fu²¹⁴	
剖	pʰɐu2	pʰɐu²¹⁴	
仆	pʊk9	pʊk⁵²	
赴	fu6	fu⁵²	
麩			
訃	pʊk7	pʊk⁴	
孚	fu1	fu⁴⁵	
蕪	mu4	mu²¹	
無	mu4	mu²¹	
巫	mu4	mu²¹	
誣	mu4	mu²¹	
毋	mu4	mu²¹	
武	mu5	mu²¹²	
侮	mu5	mu²¹²	
鵡	mu5	mu²¹²	
舞	mu5	mu²¹²	
務	mu6	mu⁵²	
霧	mu6	mu⁵²	
婺	mu6	mu⁵²	
摟	lɐu5	lɐu²¹²	
鏤	lɐu5	lɐu²¹²	
縷	lɐu5	lɐu²¹²	
屢	lui5	lui²¹²	
足			足恭
俱	kʰi1	kʰi⁴⁵	又读ki⁵²
拘	kʰi1	kʰi⁴⁵	
瞿			瞿然一驚
矩	kʰi2	kʰi²¹⁴	又读ki²¹⁴
駒	kʰi1	kʰi⁴⁵	
聚	ʦi6	ʦi⁵²	
芻			
雛	ʦʰuɔ1	ʦʰuɔ⁴⁵	
廚	ʦʰi4	ʦʰi²¹	
柱	ʦʰi5	ʦʰi²¹²	
逗	tɐu6	tɐu⁵²	
住	ʦi6	ʦi⁵²	
殊	si4	si²¹	
樹	si6	si⁵²	
豎	si6	si⁵²	
茱	ʦi1	ʦi⁴⁵	
樞	si1	si⁴⁵	
銖			
夫			古代指示詞、代詞、助詞
符	fu4	fu²¹	
芙	fu4	fu²¹	
苻	fu4	fu²¹	
扶	fu4	fu²¹	
腐	fu6	fu⁵²	
輔	fu6	fu⁵²	
附	fu6	fu⁵²	
駙	fu6	fu⁵²	
釜	fu2	fu²¹⁴	
膚	fu1	fu⁴⁵	
夫	fu1	fu⁴⁵	農夫
斧	fu2	fu²¹⁴	白读pu²¹⁴
脯	pʰu2	pʰu²¹⁴	胸脯,又读fu²¹⁴
脯	pʰu2	pʰu²¹⁴	肉脯,又读fu²¹⁴
俯	fu2	fu²¹⁴	
父	fu6	fu⁵²	
府	fu2	fu²¹⁴	
甫			台甫
甫	pʰu2	pʰu²¹⁴	杜甫
付	fu6	fu⁵²	
搏	puɔk8	puɔk³	
傅	fu6	fu⁵²	師傅
賦	fu3	fu⁴⁴	
腑	fu2	fu²¹⁴	
莆			
穢	wɐi3	wɐi⁴⁴	
刈			
喙			
肺	fɐi3	fɐi⁴⁴	
吠	fɐi6	fɐi⁵²	
廢	fɐi3	fɐi⁴⁴	
喝	huɔt8	huɔt³	
話	wa6	wa⁵²	
快	fai3	fai⁴⁴	
邁	mai6	mai⁵²	
寨	ʦai6	ʦai⁵²	
敗	pai6	pai⁵²	
唄			
唉	ʔai1	ʔai⁴⁵	
哀	ʔuɔi1	ʔuɔi⁴⁵	
埃	ʔuɔi1	ʔuɔi⁴⁵	
欸			
愛	ʔuɔi3	ʔuɔi⁴⁴	
璦			
曖	ʔuɔi2	ʔuɔi²¹⁴	
皚	ʔuɔi2	ʔuɔi²¹⁴	
礙	ŋuɔi6	ŋuɔi⁵²	
獃	ŋuɔi4	ŋuɔi²¹	
塞			塞外
鰓	suɔi1	suɔi⁴⁵	
賽	ʦʰuɔi3	ʦʰuɔi⁴⁴	
海	huɔi2	huɔi²¹⁴	
孩	hai4	hai²¹	
咳			小兒笑
亥	huɔi6	huɔi⁵²	
開	huɔi1	huɔi⁴⁵	
凱	ʔuɔi2	ʔuɔi²¹⁴	
慨	kʰuɔi3	kʰuɔi⁴⁴	
愷	ʔuɔi2	ʔuɔi²¹⁴	
鎧	ʔuɔi2	ʔuɔi²¹⁴	
台			天台。地名
胎	tʰuɔi1	tʰuɔi⁴⁵	
態	tʰai3	tʰai⁴⁴	
貸	tʰai3	tʰai⁴⁴	
猜	ʦʰai1	ʦʰai⁴⁵	
採	ʦʰuɔi2	ʦʰuɔi²¹⁴	
采	ʦʰuɔi2	ʦʰuɔi²¹⁴	
彩	ʦʰuɔi2	ʦʰuɔi²¹⁴	
綵	ʦʰuɔi2	ʦʰuɔi²¹⁴	
菜	ʦʰuɔi3	ʦʰuɔi⁴⁴	
能	nɐŋ4	nɐŋ²¹	
迺	nai5	nai²¹²	
乃	nai5	nai²¹²	
耐	nuɔi6	nuɔi⁵²	
來	luɔi4	luɔi²¹	
萊	luɔi4	luɔi²¹	
睞	luɔi6	luɔi⁵²	
災	ʦuɔi1	ʦuɔi⁴⁵	
哉	ʦuɔi1	ʦuɔi⁴⁵	
栽	ʦuɔi1	ʦuɔi⁴⁵	
載	ʦuɔi2	ʦuɔi²¹⁴	一年半載
載	ʦuɔi3	ʦuɔi⁴⁴	記載
宰	ʦuɔi2	ʦuɔi²¹⁴	
再	ʦuɔi3	ʦuɔi⁴⁴	
該	kuɔi1	kuɔi⁴⁵	
賅	kuɔi1	kuɔi⁴⁵	
改	kuɔi2	kuɔi²¹⁴	
概	kʰuɔi3	kʰuɔi⁴⁴	
等	tɐŋ2	tɐŋ²¹⁴	
戴	tai3	tai⁴⁴	
臺	tʰuɔi4	tʰuɔi²¹	
檯	tʰuɔi4	tʰuɔi²¹	
苔	tʰuɔi4	tʰuɔi²¹	青苔
苔	tʰuɔi4	tʰuɔi²¹	舌苔
怠	tuɔi6	tuɔi⁵²	
待	tuɔi6	tuɔi⁵²	
殆			
岱			
代	tuɔi6	tuɔi⁵²	
袋	tuɔi6	tuɔi⁵²	
黛	tuɔi6	tuɔi⁵²	
材	ʦʰuɔi4	ʦʰuɔi²¹	
財	ʦʰuɔi4	ʦʰuɔi²¹	
裁	ʦʰuɔi4	ʦʰuɔi²¹	
才	ʦʰuɔi4	ʦʰuɔi²¹	
在	ʦuɔi6	ʦuɔi⁵²	
纔			
偎	wui1	wui⁴⁵	
煨			
桅	wɐi4	wɐi²¹	
嵬	ŋɐi4	ŋɐi²¹	
啐			
蓑	suɔ1	suɔ⁴⁵	
碎	sui3	sui⁴⁴	
灰	fui1	fui⁴⁵	
悔	fui3	fui⁴⁴	
賄	kʰui5	kʰui²¹²	又读kʰui⁴⁴;fui²¹⁴
誨	fui3	fui⁴⁴	
晦	fui3	fui⁴⁴	
回	wui4	wui²¹	
瑰	kɐi3	kɐi⁴⁴	玫瑰
洄	wui4	wui²¹	
迴	wui4	wui²¹	
徊	wui4	wui²¹	
潰	kʰui3	kʰui⁴⁴	
茴	wui4	wui²¹	
蛔	wui4	wui²¹	
傀	kʰui1	kʰui⁴⁵	傀儡
恢	fui1	fui⁴⁵	
魁	fui1	fui⁴⁵	
盔	fui1	fui⁴⁵	又读kɐi⁴⁵
塊	kʰai3	kʰai⁴⁴	
詼	fui1	fui⁴⁵	
腿	tʰui2	tʰui²¹⁴	
退	tʰui3	tʰui⁴⁴	
淬	ʦʰui3	ʦʰui⁴⁴	
崔	ʦʰui1	ʦʰui⁴⁵	
催	ʦʰui1	ʦʰui⁴⁵	
璀	ʦʰui1	ʦʰui⁴⁵	
啐			
啡	fɛ1	fɛ⁴⁵	
配	pʰui3	pʰui⁴⁴	
坯	pʰui1	pʰui⁴⁵	
餒	lui5	lui²¹²	
內	nuɔi6	nuɔi⁵²	
媒	mui4	mui²¹	
莓	mui4	mui²¹	
梅	mui4	mui²¹	
枚	mui4	mui²¹	
煤	mui4	mui²¹	
每	mui5	mui²¹²	
妹	mui6	mui⁵²	
昧	mi6	mi⁵²	
瑁			玳瑁
雷	lui4	lui²¹	
儡	lui5	lui²¹²	
鐳	lui4	lui²¹	
蕾	lui4	lui²¹	
磊	lui5	lui²¹²	
傀			傀偉
瑰	kɐi3	kɐi⁴⁴	瑰麗
搥	ʦʰui4	ʦʰui²¹	
堆	tui1	tui⁴⁵	
敦	tɐn1	tɐn⁴⁵	
對	tui3	tui⁴⁴	
碓			
頹	tʰui4	tʰui²¹	
隊	tui6	tui⁵²	
頽	tʰui4	tʰui²¹	
摧	ʦʰui1	ʦʰui⁴⁵	
罪	ʦui6	ʦui⁵²	
陪	pʰui4	pʰui²¹	
徘	pʰai4	pʰai²¹	
培	pʰui4	pʰui²¹	
蓓	pʰui5	pʰui²¹²	
倍	pʰui5	pʰui²¹²	
背	pui3	pui⁴⁴	背書
悖			
珮	pʰui3	pʰui⁴⁴	
佩	pʰui3	pʰui⁴⁴	
杯	pui1	pui⁴⁵	
盃	pui1	pui⁴⁵	
輩	pui3	pui⁴⁴	
背	pui3	pui⁴⁴	背後
制	ʦɐi3	ʦɐi⁴⁴	
贅	ʦui6	ʦui⁵²	
製	ʦɐi3	ʦɐi⁴⁴	
洩			洩洩
銳	jui6	jui⁵²	
曳	jɐi6	jɐi⁵²	
裔	jui6	jui⁵²	
睿	jui6	jui⁵²	
泄	sit8	sit³	
藝	ŋɐi6	ŋɐi⁵²	
囈			
歲	sui3	sui⁴⁴	
說	sui3	sui⁴⁴	以言服人
世	sɐi3	sɐi⁴⁴	
稅	sui3	sui⁴⁴	
勢	sɐi3	sɐi⁴⁴	
蛻	tʰui3	tʰui⁴⁴	
鈉	nap9	nap⁵²	
芮			
脆	ʦʰui3	ʦʰui⁴⁴	
厲	lɐi6	lɐi⁵²	
例	lɐi6	lɐi⁵²	
蠣	lɐi6	lɐi⁵²	
勵	lɐi6	lɐi⁵²	
際	ʦɐi3	ʦɐi⁴⁴	
祭	ʦɐi3	ʦɐi⁴⁴	
穄			
逝	sɐi6	sɐi⁵²	
噬	sɐi6	sɐi⁵²	
誓	sɐi6	sɐi⁵²	
掣	ʦɐi3	ʦɐi⁴⁴	
敝	pɐi6	pɐi⁵²	
斃	pɐi6	pɐi⁵²	
弊	pɐi6	pɐi⁵²	
幣	pɐi6	pɐi⁵²	
蔽	pɐi3	pɐi⁴⁴	
彆	pit9	pit⁵²	
輟	ʦʰit8	ʦʰit³	
啜	ʦʰit8	ʦʰit³	
綴	ʦui6	ʦui⁵²	點綴
衛	wɐi6	wɐi⁵²	
憩	hi3	hi⁴⁴	
揭	kʰit8	kʰit³	
偈			
鱖			
滯	ʦɐi6	ʦɐi⁵²	
債	ʦai3	ʦai⁴⁴	
蛙	wa1	wa⁴⁵	
哇	wa1	wa⁴⁵	
娃	wa1	wa⁴⁵	
矮	ʔɐi2	ʔɐi²¹⁴	又读ʔai²¹⁴
隘	ʔɐi3	ʔɐi⁴⁴	
鞋	hai4	hai²¹	
夥	fuɔ2	fuɔ²¹⁴	
解	hai6	hai⁵²	解姓
蟹	hai5	hai²¹²	
邂	hai5	hai²¹²	
畫	wa6	wa⁵²	圖畫
曬	sai3	sai⁴⁴	
崽	ʦɐi2	ʦɐi²¹⁴	
拐	kai2	kai²¹⁴	
派	pʰai3	pʰai⁴⁴	
買	mai5	mai²¹²	
賣	mai6	mai⁵²	
蝸	wuɔ1	wuɔ⁴⁵	
佳	kai1	kai⁴⁵	
街	kai1	kai⁴⁵	
媧	wuɔ1	wuɔ⁴⁵	
枴	kai2	kai²¹⁴	
解	kai2	kai²¹⁴	解決
解			解款
掛	kʰa3	kʰa⁴⁴	
懈	hai6	hai⁵²	
卦	ka3	ka⁴⁴	
差	ʦʰai1	ʦʰai⁴⁵	出差
叉	ʦʰa1	ʦʰa⁴⁵	
釵	ʦʰa1	ʦʰa⁴⁵	
柴	ʦʰai4	ʦʰai²¹	
牌	pʰai4	pʰai²¹	
稗			
擺	pai2	pai²¹⁴	
齋	ʦai1	ʦai⁴⁵	
挨	ʔai1	ʔai⁴⁵	又读ʔɐi⁴⁵
骸	huɔi4	huɔi²¹	
淮	wai4	wai²¹	
