// HSD Syllabary Data Partition
// 地区：山西省-大同市-渾源縣-永安鎮
// 来源：張津《渾源方言調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-大同市-渾源縣-永安鎮
@SRC	張津《渾源方言調查研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	k	kʰ	x	Ø
@FIN	a
ts	au	去聲	造1{制~} 糙1{粗~} 照 趙 灶 皂 躁 燥 罩 笊2{~籬；~毛} 兆2{~頭：預~} 糟2{胡圪~} 噪2
tsʰ	au	陰平	抄{~寫：麥子凍斷腰，一苗打~~（諺語）} 操1{~作} 巢 剿1{~匪} 超 吵1{圪~：小聲說話}
tsʰ	au	陽平	曹 槽1 糟1{衣物髒了，但髒的程度較淺} 朝3{~代：臉~裡} 潮 嘲
tsʰ	au	上聲	草 吵2{圪~：小聲說話} 炒
tsʰ	au	去聲	造2{舊} 糙2{粗~} 鈔{~票：冥幣} 操{~牆：刷牆} 肉{~他媽：罵人話} 撬1{~棍} 操2{~嘡：破口大罵}
s	au	陰平	梢1{~信：吆喝驢馬倒退} 梢 強 燒1{~火} 臊1{尿~} 艄
s	au	陽平	勺{~子} 芍{~藥} 紹 邵 韶
s	au	上聲	少1{多~} 嫂 梢1 掃1{~地}
s	au	去聲	哨1{~~的：感覺孤單寂寞} 削1{~穀子} 少2{~年} 梢{~地：酒水} 躁 燒2{~啦：出了覆；因日光曬而褪色} 梢2{用拳掌打、淘打；因日光曬而褪色} 掃2{~帚} 噪2{害~：肉~} 子 梢2{~兒：生日或年除兒的前一天，~須兒化}
s	au	輕聲	鞘1{鞭打~} 哨2{形容詞詞尾：幹~、高~}
z	au	陰平	繞1{~~啥哩：後一個~讀輕聲}
z	au	陽平	饒2{~恕：副詞，例如：~來了吃了，走頓還再拿上}
z	au	上聲	繞2{~遠：圍~} 擾 嬈{妖~}
z	au	去聲	繞3{~圈兒} 饒3{~舌}
k	au	陰平	羔 糕1{黃~；雪~} 高1 膏1{~藥} 蒿1{~草}
k	au	上聲	搞 高2{~興} 膏2{牙~；~子：墨水} 稿 鎬 篙 篙 稿 糕2{雪~} 藁{~蔓：野草名} 睪{~丸}
k	au	去聲	告 膏3{~油；~車} 誥
kʰ	au	上聲	烤 考 拷
kʰ	au	去聲	靠 銬 鎬
x	au	陰平	蒿2{~子} 嗸{吆喝豬的聲音} 薵{~田} 涸1{風~；日曬}
x	au	陽平	豪 嚎{幹~；~喪} 壕 毫 耗1{消~} 號1{~啕大哭；~叫；~喪} 嗥
x	au	上聲	好1{~壞}
x	au	去聲	號2{~脈；~~；三合~：村名} 耗2{~子} 好2{愛~} 浩 皓
