字頭	呼	等	韻部	聲調	組	聲紐	攝	聲母	韻母	聲調	備註
仲	開	三	東	去	知	澄	通	z	ung	6	
蟬	開	三	仙A	平	章	常	山	s	im	4	
鷺	開	一	模	去	來	來	遇	l	u	6	
驢	開	三	魚	平	來	來	遇	l	u	4	
滯	開	三	祭B	去	知	澄	蟹	d	ai	6	見《广西通志・汉语方言志》
重	開	三	鍾	上	知	澄	通	z	ung	5	輕~，嚴~
豸	開	三	支B	上	知	澄	止	z	i	5	蟲~
重	開	三	鍾	平	知	澄	通	z	ung	4	~複
軸	開	三	東	入	知	澄	通	z	uk	9	
宙	開	三	尤	去	知	澄	流	z	au	6	
紂	開	三	尤	上	知	澄	流	z	au	5	
逐	開	三	東	入	知	澄	通	z	uk	9	文讀：驅~
住	合	三	虞	去	知	澄	遇	z	yu	6	
佇	開	三	魚	上	知	澄	遇	z	yu	5	
杼	開	三	魚	上	知	澄	遇	z	yu	5	
柱	合	三	虞	上	知	澄	遇	z	yu	5	
賺	開	二	咸	去	知	澄	咸	z	on	6	
撞	開	二	江	去	知	澄	江	z	ong	6	
幢	開	二	江	去	知	澄	江	z	ong	6	
歲	合	三	祭A	去	精	心	蟹	sl	ui	3	
贅	合	三	祭A	去	章	章	蟹	z	ui	3	
濁	開	二	江	入	知	澄	江	z	ok	10	
懲	開	三	蒸	平	知	澄	曾	z	ing	4	
晁	開	三	宵B	平	知	澄	效	z	iu	4	
澄	開	二	庚	平	知	澄	梗	z	ing	4	
疇	開	三	尤	平	知	澄	流	z	au	4	
躊	開	三	尤	平	知	澄	流	z	au	4	
躇	開	三	魚	平	知	澄	遇	z	yu	4	
朕	開	三	侵B	上	知	澄	深	z	am	6	
緻	開	三	脂B	去	知	澄	止	z	i	6	
擲	開	三	清B	入	知	澄	梗	z	ik	9	
胄	開	三	尤	去	知	澄	流	z	au	6	
冑	開	三	尤	去	知	澄	流	z	au	6	
筑	開	三	東	入	知	澄	通	z	uk	7	貴陽市簡稱；樂器
擢	開	二	江	入	知	澄	江	z	ok	10	
濯	開	二	肴	去	知	澄	效	z	ok	10	
廂	開	三	陽	平	精	心	宕	sl	aa	1	
湘	開	三	陽	平	精	心	宕	sl	aa	1	
查	開	二	佳	平	莊	崇	蟹	z	o	4	
潺	開	二	山	平	莊	崇	山	z	on	4	
巢	開	二	肴	平	莊	崇	效	z	ou	4	
鋤	開	三	魚	平	莊	崇	遇	z	eo	4	
涂	合	一	模	平	定	定	遇	d	u	4	
乍	開	二	麻	去	莊	崇	假	z	o	3	忽也，猝也
嶄	開	二	咸	上	莊	崇	咸	z	om	2	
棧	開	二	山	上	莊	崇	山	z	on	6	
箱	開	三	陽	平	精	心	宕	sl	aa	1	
屠	合	一	模	平	定	定	遇	d	u	4	
撰	合	二	刪	上	莊	崇	山	z	yun	5	
狀	開	三	陽	去	莊	崇	宕	z	ong	6	形~|奬~|~元
襄	開	三	陽	平	精	心	宕	sl	aa	1	
朮	合	三	真B	入	知	澄	臻	z	at	9	
嘈	開	一	豪	平	精	從	效	z	ou	4	
想	開	三	陽	上	精	心	宕	sl	aa	2	
僮	開	一	東	平	端	定	通	z	ong	6	~族
蛻	合	一	泰	去	端	透	蟹	t	ui	3	
佔	開	四	添	平	端	端	咸	z	im	3	
竺	開	三	東	入	知	知	通	z	uk	7	
串	合	二	刪	去	見	見	山	c	yun	3	
棘	開	三	蒸	入	見	見	曾	c	ik	7	
襟	開	三	侵B	平	見	見	深	c	am	1	
砝	開	一	談	入	見	見	咸	f	ot	8	
車	開	四	魚	平	見	見	遇	g	yu	1	象棋
嘎	開	二	山	入	見	見	山	g	ap	9	擬鴨叫
尬	開	二	皆	去	見	見	蟹	g	oi	3	
該	開	一	咍	平	見	見	蟹	g	oi	1	
改	開	一	咍	上	見	見	蟹	g	oi	2	
蓋	開	一	泰	去	見	見	蟹	g	oi	3	
甘	開	一	談	平	見	見	咸	g	om	1	
肝	開	一	寒	平	見	見	山	g	on	1	
柑	開	一	談	平	見	見	咸	g	om	1	
竿	開	一	寒	平	見	見	山	g	on	1	
尷	開	二	咸	平	見	見	咸	g	om	1	
杆	開	一	寒	去	見	見	山	g	on	2	
敢	開	一	談	上	見	見	咸	g	om	2	
稈	開	一	寒	上	見	見	山	g	on	2	
感	開	一	覃	上	見	見	咸	g	om	2	
趕	開	一	寒	上	見	見	山	g	on	1	
橄	開	一	談	上	見	見	咸	g	om	2	
干	開	一	寒	平	見	見	山	g	on	1	
幹	開	一	寒	去	見	見	山	g	on	3	
稅	合	三	祭A	去	章	書	蟹	s	ui	3	
綴	合	三	祭B	去	知	知	蟹	z	ui	3	縫合；連接；著作；装飾
春	合	三	真A	平	章	昌	臻	c	an	1	
肛	開	二	江	平	見	見	江	g	ong	1	
蠢	合	三	真A	上	章	昌	臻	c	an	2	
岡	開	一	唐	平	見	見	宕	g	ong	1	
嗟	開	三	麻	平	精	精	假	z	e	1	
揪	開	三	尤	平	精	精	流	z	iu	5	
圳	開	三	侵A	去	精	精	深	z	an	3	深~：地名，在廣東
雛	合	三	虞	平	莊	崇	遇	z	u	4	
擦	開	一	寒	入	精	清	山	z	ot	10	白讀
擦	開	一	寒	入	精	清	山	z	oet	10	白讀
仇	開	三	尤	平	見	群	流	z	au	4	姓
及	開	三	侵B	入	見	群	深	z	ap	9	
臼	開	三	尤	上	見	群	流	z	au	5	
桕	開	三	尤	上	見	群	流	z	au	5	
舅	開	三	尤	上	見	群	流	z	au	5	
舊	開	三	尤	去	見	群	流	z	au	6	
碾	開	三	仙B	去	知	娘	山	l	in	2	訓讀
拿	開	二	麻	平	知	娘	假	n	o	4	
拿	開	二	麻	平	知	娘	假	n	o	1	用於「~穩」「十~九穩」
吶	合	三	仙B	入	知	娘	山	n	op	10	
奶								n	oi	1	二~|師~
奶	開	二	佳	上	知	娘	蟹	n	oi	5	
喃	開	二	咸	平	知	娘	咸	n	om	1	
呶	開	二	肴	平	知	娘	效	n	ou	4	暄囂，熱鬧
鬧	開	二	肴	去	知	娘	效	n	eou	6	
呢	開	四	脂B	平	知	娘	止	n	e	02	句尾疑問語氣助詞，用法與普通話大致同
池	開	三	支B	平	知	澄	止	z	i	4	
持	開	三	之	平	知	澄	止	z	i	4	
馳	開	三	支B	平	知	澄	止	z	i	4	
匿	開	三	蒸	入	知	娘	曾	n	ik	9	
膩	開	三	脂B	去	知	娘	止	n	ai	6	
黏	開	三	鹽B	平	知	娘	咸	n	im	1	
削	開	三	陽	入	精	心	宕	sl	aa	2	
嫦	開	三	陽	平	章	常	宕	s	aa	4	
聶	開	三	鹽B	入	知	娘	咸	n	ep	10	
躡	開	三	鹽B	入	知	娘	咸	n	ep	10	
獰	開	二	庚	平	知	娘	梗	n	ing	4	
檸	開	二	庚	上	知	娘	梗	n	ing	4	
扭	開	三	尤	上	知	娘	流	n	au	2	
紐	開	三	尤	上	知	娘	流	n	au	5	
鈕	開	三	尤	上	知	娘	流	n	au	5	
濃	開	三	鍾	平	知	娘	通	n	ung	4	
女	開	三	魚	上	知	娘	遇	n	yu	5	
償	開	三	陽	平	章	常	宕	s	aa	4	
粘	開	三	鹽B	平	知	娘	咸	n	im	1	
剛	開	一	唐	平	見	見	宕	g	ong	1	
恢	合	一	灰	平	見	溪	蟹	w	ui	1	
暱	開	三	真B	入	知	娘	臻	n	ik	9	
曾	開	一	登	平	精	精	曾	dd	ang	1	姓
撮	合	一	寒	入	精	精	山	dd	yut	7	
積	開	三	支A	去	精	精	止	dd	ik	7	
即	開	三	蒸	入	精	精	曾	dd	ik	7	
脊	開	三	清A	入	精	精	梗	dd	ik	7	
擠	開	四	齊	平	精	精	蟹	dd	ai	1	
祭	開	三	祭A	去	精	精	蟹	dd	ai	3	
跡	開	三	清A	入	精	精	梗	dd	ik	7	
際	開	三	祭A	去	精	精	蟹	dd	ai	3	
圭	合	四	齊	平	見	見	蟹	gw	ai	1	
濟	開	四	齊	上	精	精	蟹	dd	ai	3	
績	開	四	青	入	精	精	梗	dd	ik	7	
蹟	開	三	清A	入	精	精	梗	dd	ik	7	
尖	開	三	鹽A	平	精	精	咸	dd	im	1	
煎	開	三	仙A	平	精	精	山	dd	in	1	
煎	開	三	仙A	平	精	精	山	dd	in	3	（用肥肉）煉油
箋	開	四	先	平	精	精	山	dd	in	1	
剪	開	三	仙A	上	精	精	山	dd	in	2	
翦	開	三	仙A	上	精	精	山	dd	in	2	
漸	開	三	鹽A	上	精	從	咸	d	im	6	
箭	開	三	仙A	去	精	精	山	dd	in	3	
薦	開	四	先	去	精	精	山	dd	in	3	
祥	開	三	陽	平	精	邪	宕	d	aa	4	
翔	開	三	陽	平	精	邪	宕	d	aa	4	
象	開	三	陽	上	精	邪	宕	d	aa	5	一種動物
象	開	三	陽	上	精	邪	宕	d	aa	6	印~
像	開	三	陽	上	精	邪	宕	d	aa	5	似
像	開	三	陽	上	精	邪	宕	d	aa	6	雕~，偶~
橡	開	三	陽	上	精	邪	宕	d	aa	6	
椒	開	三	宵A	平	精	精	效	dd	iu	1	
焦	開	三	宵A	平	精	精	效	dd	iu	1	
蕉	開	三	宵A	平	精	精	效	dd	iu	1	
剿	開	三	小	上	精	精	效	dd	iu	2	
接	開	三	鹽A	入	精	精	咸	dd	ip	7	
節	開	四	先	入	精	精	山	dd	it	7	
姐	開	三	麻	上	精	精	假	dd	e	2	
借	開	三	麻	去	精	精	假	dd	e	3	
津	開	三	真A	平	精	精	臻	dd	an	1	
晉	開	三	真A	去	精	精	臻	dd	an	3	
進	開	三	真A	去	精	精	臻	dd	an	3	
晶	開	三	清A	平	精	精	梗	dd	ing	1	
睛	開	三	清A	平	精	精	梗	dd	ing	1	
精	開	三	清A	平	精	精	梗	dd	ing	1	
井	開	三	清A	上	精	精	梗	dd	ing	2	
酒	開	三	尤	上	精	精	流	dd	au	2	
俊	合	三	真A	去	精	精	臻	dd	an	3	
駿	合	三	真A	去	精	精	臻	dd	an	3	
庠	開	三	陽	平	精	邪	宕	d	aa	4	
災	開	一	咍	平	精	精	蟹	dd	oi	1	
哉	開	一	咍	平	精	精	蟹	dd	oi	1	
栽	開	一	咍	平	精	精	蟹	dd	oi	1	
仔	開	一	咍	上	精	精	蟹	dd	ai	2	牛~
遲	開	三	脂B	平	知	澄	止	z	i	4	
宰	開	一	咍	上	精	精	蟹	dd	oi	2	
載								dd	oi	2	年
載	開	一	咍	上	精	精	蟹	dd	oi	3	裝~|記~
再	開	一	咍	去	精	精	蟹	dd	oi	3	
贊	開	一	寒	去	精	精	山	dd	on	3	
讚	開	一	寒	去	精	精	山	dd	on	3	
贓	開	一	唐	平	精	精	宕	dd	ong	1	
髒	開	一	唐	上	精	精	宕	dd	ong	3	
葬	開	一	唐	去	精	精	宕	dd	ong	3	
遭	開	一	豪	平	精	精	效	dd	eou	1	
糟	開	一	豪	平	精	精	效	dd	eou	1	甜~
早	開	一	豪	上	精	精	效	dd	eou	2	
蚤	開	一	豪	上	精	精	效	dd	eou	2	
棗	開	一	豪	上	精	精	效	dd	eou	2	
澡	開	一	豪	上	精	精	效	dd	eou	2	
灶	開	一	豪	去	端	精	效	dd	eou	3	
則	開	一	登	入	精	精	曾	dd	ak	7	
增	開	一	登	平	精	精	曾	dd	ang	1	
憎	開	一	登	平	精	精	曾	dd	ang	1	
治	開	三	脂	去	知	澄	止	z	i	6	
侈	開	三	支A	上	章	昌	止	c	i	2	
齒	開	三	之	上	章	昌	止	c	i	2	
稚	開	三	脂B	去	知	澄	止	z	i	5	
峙	開	三	之	上	知	澄	止	z	i	5	
尼	開	三	脂B	平	知	娘	止	n	i	4	
你	開	三	之	上	知	娘	止	n	i	5	
仔	開	三	之	上	精	精	止	dd	i	2	~細
姿	開	三	脂A	平	精	精	止	dd	i	1	
宗	合	一	冬	平	精	精	通	dd	ung	1	
棕	開	一	東	去	精	精	通	dd	ung	3	
綜	合	一	冬	去	精	精	通	dd	ung	1	
蹤	開	三	鍾	平	精	精	通	dd	ung	1	
總	開	一	東	上	精	精	通	dd	ung	2	
粽	開	一	東	去	精	精	通	dd	ung	3	
縱	開	三	鍾	平	精	精	通	dd	ung	1	見1959年字表
縱	開	三	鍾	去	精	精	通	dd	ung	3	文讀，見1959年字表
縱	開	三	鍾	上	精	精	通	dd	ung	2	又讀，見《玉林市志》。《康》又足勇切，音褷。
走	開	一	侯	上	精	精	流	dd	au	2	
奏	開	一	侯	去	精	精	流	dd	au	3	
揍	開	一	侯	去	精	精	流	dd	au	3	
助	開	三	魚	去	莊	崇	遇	z	u	6	
足	合	三	虞	去	精	精	遇	dd	uk	7	
卒	合	三	真A	入	精	精	臻	dd	at	7	
組	開	一	模	上	精	精	遇	z	u	2	
鑽	合	一	寒	平	精	精	山	dd	yun	1	
鑽	合	一	桓	去	精	精	山	dd	yun	3	
盔	合	一	灰	平	見	溪	蟹	w	ui	1	
魁	合	一	灰	平	見	溪	蟹	w	ui	1	
徊	合	一	灰	平	影	匣	蟹	w	ui	4	
尊	合	一	魂	平	精	精	臻	dd	yun	1	
遵	合	三	真A	平	精	精	臻	dd	yun	1	
左	開	一	歌	上	精	精	果	dd	eo	2	
佐	開	一	歌	去	精	精	果	dd	eo	2	
作	開	一	模	去	精	精	遇	dd	ok	8	
租	開	一	模	平	精	精	遇	dd	u	1	
旌	開	三	清	平	精	精	梗	sl	ing	1	
縱	開	三	鍾	去	精	精	通	sl	ung	2	放~。見《玉林话研究》
唧	開	三	真A	入	精	精	臻	dd	ik	7	
槽	開	一	豪	平	精	從	效	d	eou	4	
灒	開	三	仙	去	精	精	山	d	en	6	濺
濺	開	三	仙	去	精	精	山	d	in	6	文讀
睫	開	三	鹽A	入	精	精	咸	d	ep	10	
琴	開	三	侵B	平	見	群	深	z	am	4	
禽	開	三	侵B	平	見	群	深	z	am	4	
擒	開	三	侵B	平	見	群	深	z	am	4	
求	開	三	尤	平	見	群	流	z	au	4	
挫	合	一	歌	去	精	精	果	t	oe	3	
挫								dd	e	1	用手指按
章	開	三	陽	平	章	章	宕	z	aa	1	
蜻	開	四	青	平	精	清	梗	t	ing	1	
彰	開	三	陽	平	章	章	宕	z	aa	1	
躁	開	一	豪	去	精	精	效	t	eou	3	
樅	開	三	鍾	平	精	精	通	dd	ung	1	~陽：地名，在安徽
樅	開	三	鍾	平	精	清	通	t	ung	1	樹名
蹙	開	三	東	入	精	精	通	t	uk	7	
浹	開	四	添	入	精	精	咸	l	op	8	
癤	開	四	先	入	精	精	山	dd	it	7	
菁	開	三	清A	平	精	精	梗	dd	ing	1	
婥	開	三	藥	入	章	昌	宕	c	ok	8	
藻	開	一	豪	上	精	精	效	dd	eou	2	
滋	開	三	之	平	精	精	止	dd	i	1	
浸	開	三	侵A	去	精	精	深	dd	am	3	
竣	合	三	真A	平	精	清	臻	dd	an	3	
崗	開	一	唐	平	見	見	宕	g	ong	1	
臉	開	三	鹽A	平	精	清	咸	l	im	5	
沁	開	三	侵A	去	精	清	深	sl	am	2	
樟	開	三	陽	平	章	章	宕	z	aa	1	
掌	開	三	陽	上	章	章	宕	z	aa	2	
簇	開	一	東	入	精	清	通	d	uk	9	見《玉林市志》
詮	合	三	仙A	平	精	清	山	d	yun	4	
銓	合	三	仙A	平	精	清	山	d	yun	4	
球	開	三	尤	平	見	群	流	z	au	4	
毬	開	三	尤	平	見	群	流	z	au	4	
擦	開	一	寒	入	精	清	山	t	ot	8	搓（雙掌反復摩擦）；摩挲；擦拭。本字可能是「攃」或「礤」（也就上古多个r少个r的區别（（（
采	開	一	咍	上	精	清	蟹	t	oi	2	
採	開	一	咍	上	精	清	蟹	t	oi	2	
彩	開	一	咍	上	精	清	蟹	t	oi	2	
睬	開	一	咍	上	精	清	蟹	t	oi	2	
綵	開	一	咍	上	精	清	蟹	t	oi	2	
菜	開	一	咍	去	精	清	蟹	t	oi	3	
蔡	開	一	泰	去	精	清	蟹	t	oi	3	
參	開	一	覃	平	精	清	咸	t	om	1	~加
參	開	三	侵	平	莊	初	深	c	om	1	~差
餐	開	一	寒	平	精	清	山	t	on	1	
慘	開	一	覃	上	精	清	咸	t	om	2	
倉	開	一	唐	平	精	清	宕	t	ong	1	
蒼	開	一	唐	平	精	清	宕	t	ong	1	
滄	開	一	唐	平	精	清	宕	t	ong	1	
艙	開	一	唐	平	精	清	宕	t	ong	1	
操	開	一	豪	平	精	清	效	t	eou	1	
糙	開	一	豪	去	精	清	效	t	eou	3	
草	開	一	豪	上	精	清	效	t	eou	2	
赤	開	四	錫	入	精	清	梗	t	ik	7	~腳
資	開	三	脂A	平	精	精	止	dd	i	1	
諮	開	三	脂A	平	精	精	止	dd	i	1	
子	開	三	之	上	精	精	止	dd	i	2	
姊	開	三	脂A	上	精	精	止	dd	i	2	
刺								t	ik	7	以針繡物
匆	開	一	東	平	精	清	通	t	ung	1	
囪	開	一	東	平	精	清	通	t	ung	1	
蔥	開	一	東	平	精	清	通	t	ung	1	
聰	開	一	東	平	精	清	通	t	ung	1	
湊	開	一	侯	去	精	清	流	t	au	3	
促	開	三	鍾	入	精	清	通	t	uk	7	
祖	開	一	模	上	精	精	遇	dd	u	2	
回	合	一	灰	平	影	匣	蟹	w	ui	4	
迴	合	一	灰	平	影	匣	蟹	w	ui	4	
洄	合	一	灰	平	影	匣	蟹	w	ui	4	
灰	合	一	灰	平	影	曉	蟹	w	ui	1	
悔	合	一	灰	上	影	曉	蟹	w	ui	2	
村	合	一	魂	平	精	清	臻	t	yun	1	
忖	合	一	魂	上	精	清	臻	d	yun	4	
寸	合	一	魂	去	精	清	臻	t	yun	3	
搓	開	一	歌	平	精	清	果	t	eo	1	
做	開	一	模	去	精	精	遇	dd	u	3	
錯	開	一	模	去	精	清	遇	t	ok	8	
緝	開	三	侵A	入	精	清	深	t	ap	7	
七	開	三	真A	入	精	清	臻	t	at	7	
妻	開	四	齊	平	精	清	蟹	t	ai	1	
柒	開	三	真A	入	精	清	臻	t	at	7	
戚	開	四	青	入	精	清	梗	t	ik	7	
淒	開	四	齊	平	精	清	蟹	t	ai	1	
漆	開	三	真A	入	精	清	臻	t	at	7	
砌	開	四	齊	去	精	清	蟹	t	ai	3	
千	開	四	先	平	精	清	山	t	in	1	
仟	開	四	先	平	精	清	山	t	in	1	
遷	開	三	仙A	平	精	清	山	t	im	1	
簽	開	三	鹽A	平	精	清	咸	t	im	1	
籤	開	三	鹽A	平	精	清	咸	t	im	1	
淺	開	三	仙	上	精	清	山	t	in	2	
障	開	三	陽	去	章	章	宕	z	aa	3	
閶	開	三	陽	平	章	昌	宕	c	aa	1	
暢	開	三	陽	去	知	徹	宕	c	aa	2	
悄	開	三	宵A	上	精	清	效	t	iu	2	
俏	開	三	宵A	去	精	清	效	t	iu	3	
峭	開	三	宵A	去	精	清	效	t	iu	3	
切	開	四	齊	去	精	清	蟹	t	it	7	
且	開	三	麻	上	精	清	假	t	e	2	
妾	開	三	鹽A	入	精	清	咸	t	ip	7	
竊	開	四	先	入	精	清	山	t	ip	7	
侵	開	三	侵A	平	精	清	深	t	am	1	
寢	開	三	侵A	上	精	清	深	t	am	2	
青	開	四	青	平	精	清	梗	t	ing	1	
清	開	三	清A	平	精	清	梗	t	ing	1	
親	開	三	真A	平	精	清	臻	t	an	1	
秋	開	三	尤	平	精	清	流	t	au	1	
鰍	開	三	尤	平	精	清	流	t	au	1	
蛆	開	三	魚	平	精	清	遇	t	yu	1	
趨	合	三	虞	平	精	清	遇	t	yu	1	
取	合	三	虞	上	精	清	遇	t	yu	2	
醋	開	一	模	去	精	清	遇	t	u	3	
娶	合	三	虞	去	精	清	遇	t	yu	2	文讀
趣	開	一	侯	上	精	清	流	t	yu	3	
悵	開	三	陽	去	知	徹	宕	c	aa	3	
造	開	一	豪	去	精	清	效	t	eou	3	~詣|~訪|~次|登峰~極
造								d	eou	6	農作物一年成熟的次數：一年兩~
綽	開	三	陽	入	章	昌	宕	c	ok	8	
闡	開	三	仙A	上	章	昌	山	c	in	2	
燦	開	一	寒	去	精	清	山	t	on	2	
上	開	三	陽	上	章	常	宕	s	aa	5	~山
上	開	三	陽	去	章	常	宕	s	aa	6	山~
瞋	開	三	真A	平	章	昌	臻	c	an	1	
璨	開	一	寒	去	精	清	山	t	on	3	
蹴	開	三	東	入	精	清	通	t	uk	7	
賄	合	一	灰	上	影	曉	蟹	w	ui	2	《广西通志·汉语方言志》及1959年字表中的記音
磋	合	一	戈	去	精	清	果	t	oe	3	
蹉	開	一	歌	平	精	清	果	t	eo	1	
措	開	一	模	去	精	清	遇	t	u	3	
沮	開	三	魚	平	精	清	遇	dd	yu	1	河流
沮	開	三	魚	上	精	從	遇	dd	yu	2	~喪
沏	開	四	先	入	精	清	山	t	it	7	
萋	開	四	齊	平	精	清	蟹	t	ai	1	
悽	開	四	齊	平	精	清	蟹	t	ai	1	
阡	開	四	先	平	精	清	山	t	in	1	
塹	開	三	鹽A	去	精	清	咸	t	im	3	
尚	開	二	陽	去	章	常	宕	s	aa	5	~且
沁	開	三	侵A	去	精	清	深	t	am	3	
覷	開	三	魚	去	精	清	遇	t	yu	3	
痊	合	三	仙A	平	精	清	山	d	yun	4	
蹲	合	一	魂	平	精	從	臻	dd	yun	1	
荐	開	四	先	去	精	從	山	dd	in	3	
踐	開	三	仙A	上	精	從	山	dd	in	2	
誨	合	一	灰	去	影	曉	蟹	w	ui	2	見《玉林话研究》
樵	開	三	宵A	平	精	從	效	dd	iu	1	
瞧	開	三	宵A	平	精	從	效	dd	iu	1	
鬃	合	一	冬	平	精	從	通	dd	ung	1	
叢	開	一	東	平	精	從	通	sl	ung	1	見1959年字表
才	開	一	咍	平	精	從	蟹	d	oi	4	
材	開	一	咍	平	精	從	蟹	d	oi	4	
財	開	一	咍	平	精	從	蟹	d	oi	4	
裁	開	一	咍	平	精	從	蟹	d	oi	4	
殘	開	一	寒	平	精	從	山	d	on	4	
慚	開	一	談	平	精	從	咸	d	im	4	
蠶	開	一	覃	平	精	從	咸	d	om	4	
藏	開	一	唐	平	精	從	宕	d	ong	4	~匿
藏	開	一	唐	去	精	從	宕	d	ong	6	西~|寳~|~經閣
曹	開	一	豪	平	精	從	效	d	eou	4	
曾	開	一	登	平	精	從	曾	d	ang	4	
層	開	一	登	平	精	從	曾	d	ang	4	
梓	開	三	之	上	精	精	止	dd	i	2	
紫	開	三	支A	上	精	精	止	dd	i	2	
恣	開	三	脂A	去	精	精	止	dd	i	3	兇惡
從	開	三	鍾	平	精	從	通	d	ung	4	
叢	開	一	東	平	精	從	通	d	ung	4	見《玉林市志》
存	合	一	魂	平	精	從	臻	d	yun	4	
疾	開	三	真A	入	精	從	臻	d	at	9	
集	開	三	侵A	入	精	從	深	d	ap	9	
藉	開	三	麻	去	精	從	假	d	ik	9	
籍	開	三	清A	入	精	從	梗	d	ik	9	
寂	開	四	青	入	精	從	梗	d	ik	9	
賤	開	三	仙A	去	精	從	山	d	in	6	
灒								d	on	6	濺
踐	開	三	仙A	上	精	從	山	d	en	6	白讀。跺腳
倀	開	三	陽	平	知	徹	宕	c	aa	1	
捷	開	三	鹽A	入	精	從	咸	d	ep	10	
截	開	四	先	入	精	從	山	d	et	10	
盡	開	三	真A	上	精	從	臻	d	an	5	
淨	開	三	清A	去	精	從	梗	d	ing	6	
靖	開	三	清A	上	精	從	梗	d	ing	5	
靖								d	ing	6	六~ ：地名，在北流，原名「六淨」
靜	開	三	清A	上	精	從	梗	d	ing	5	
就	開	三	尤	去	精	從	流	d	au	6	
聚	合	三	虞	上	精	從	遇	d	yu	5	
絕	合	三	仙A	入	精	從	山	d	oet	10	
齊	開	四	齊	平	精	從	蟹	d	ai	4	
臍	開	四	齊	平	精	從	蟹	d	ai	4	
前	開	四	先	平	精	從	山	d	in	4	
潛	開	三	鹽A	平	精	從	咸	d	im	4	
錢	開	三	仙A	平	精	從	山	d	in	4	
鬯	開	三	陽	去	知	徹	宕	c	aa	3	
尚	開	三	陽	去	章	常	宕	s	aa	6	和~|崇~|~書
秦	開	三	真A	平	精	從	臻	d	an	4	
情	開	三	清A	平	精	從	梗	d	ing	4	
晴	開	三	清A	平	精	從	梗	d	ing	4	
全	合	三	仙A	平	精	從	山	d	yun	4	
泉	合	三	仙A	平	精	從	山	d	yun	4	
砸	開	一	寒	入	精	從	山	d	ot	10	
雜	開	一	覃	入	精	從	咸	d	op	10	
在	開	一	咍	上	精	從	蟹	d	oi	5	
暫	開	一	談	去	精	從	咸	z	om	6	
暫	開	一	談	去	精	從	咸	d	om	6	
暫	開	一	談	去	精	從	咸	d	im	6	
鑿	開	一	東	入	精	從	通	d	ok	10	
皂	開	一	豪	上	精	從	效	d	eou	5	
造	開	一	豪	上	精	從	效	d	eou	5	創~
賊	開	一	登	入	精	從	曾	d	ak	9	
贈	開	一	登	去	精	從	曾	d	ang	6	
孜	開	三	之	平	精	精	止	dd	i	1	
雌	開	三	支A	平	精	清	止	t	i	1	
此	開	三	支A	上	精	清	止	t	i	2	
族	開	一	東	入	精	從	通	d	uk	9	
晦	合	一	灰	去	影	曉	蟹	w	ui	3	
昨	開	一	唐	入	精	從	宕	d	ok	10	
坐	合	一	歌	上	精	從	果	d	oe	5	
座	合	一	歌	去	精	從	果	d	oe	6	
澀	開	三	侵B	入	莊	生	深	z	op	8	又讀
澀	開	三	侵B	入	莊	生	深	z	op	10	又讀
次	開	三	脂A	去	精	清	止	t	i	3	
娶	合	三	虞	去	精	清	遇	t	u	2	白讀
惠	合	四	齊	去	影	匣	蟹	j	ui	6	「優惠」也有人讀wai6，但「惠州」一定讀jui6
輯	開	三	侵A	入	精	從	深	t	ap	7	
裳	開	三	陽	平	章	常	宕	s	aa	4	
請	開	三	清A	平	精	從	梗	t	ing	2	
賊	開	一	登	入	精	從	曾	t	ak	9	又讀
刺	開	三	支A	去	精	清	止	t	i	3	
淙	合	一	冬	平	精	從	通	d	ung	4	
慧	合	四	齊	去	影	匣	蟹	j	ui	6	
蕙	合	四	齊	去	影	匣	蟹	j	ui	6	
嫉	開	三	脂A	去	精	從	止	d	at	9	
瘠	開	三	清A	入	精	從	梗	d	ik	9	
餞	開	三	仙A	上	精	從	山	dd	in	2	
阱	開	三	清A	上	精	從	梗	d	ing	5	
鷲	開	三	尤	去	精	從	流	d	au	6	
雋	合	三	仙A	上	精	從	山	d	yun	5	
憔	開	三	宵A	平	精	從	效	d	iu	4	
奘	開	一	唐	上	精	從	宕	d	ong	6	
瓷	開	三	脂A	平	精	從	止	d	i	4	
鱒	合	一	魂	上	精	從	臻	dd	yun	1	
峻	合	三	真A	去	精	心	臻	sl	an	3	斜坡
僧	開	一	登	平	精	心	曾	dd	ang	1	
叄	開	一	談	平	精	心	咸	sl	om	1	
賜	開	三	支A	去	精	心	止	sl	yu	3	天官~福
彗	合	三	祭B	去	影	云	蟹	j	ui	6	
撒	開	一	寒	入	精	心	山	sl	ot	8	
卅	開	一	覃	入	精	心	咸	sl	op	8	
薩	開	一	寒	入	精	心	山	sl	ot	8	
腮	開	一	咍	平	精	心	蟹	sl	oi	1	
塞	開	一	德	入	精	心	曾	sl	ak	7	堵~
塞	開	一	咍	去	精	心	蟹	sl	oi	3	邊~
鰓	開	一	咍	平	精	心	蟹	sl	oi	1	
賽	開	一	咍	去	精	心	蟹	sl	oi	3	
三	開	一	談	平	精	心	咸	sl	om	1	
傘	開	一	寒	上	精	心	山	sl	on	3	
散	開	一	寒	去	精	心	山	sl	on	3	解~
散	開	一	寒	上	精	心	山	sl	on	2	鬆~
桑	開	一	唐	平	精	心	宕	sl	ong	1	
桑	開	一	唐	平	精	心	宕	s	ong	1	夏~菊：中藥方，誕生于二十世紀八十年代廣東
喪	開	一	唐	平	精	心	宕	sl	ong	1	奔~|~事
喪	開	一	唐	去	精	心	宕	sl	ong	3	~失
