汉字	钟山	郎岱	岩脚	响水	鸡场坪	陡箐	玉舍	营盘
敲	kʰau1(白)/tɕiau1(文)	kʰau1(白)/tɕiau1(文)	kʰau1(白)/tɕiau1(文)	kʰau1(白)/tɕiau1(文)	kʰau1(白)/tɕiau1(文)	tɕiau1	kʰɔu1(白)/tɕiɔu1(文)	kʰau1(白)/tɕiau1(文)
孝	ɕiau5	ɕiau5	ɕiau5	ɕiau5	ɕiau5	ɕiau5	ɕiɔu5	ɕiau5
校(学～)	ɕiau5	ɕiau5	ɕiau5	ɕiau5	ɕiau5	ɕiau5	ɕiɔu5	ɕiau5
表(手～)	piau3	piau3	piau3	piau3	piau3	piau3	piɔu3	piau3
票	pʰiau5	pʰiau5	pʰiau5	pʰiau5	pʰiau5	pʰiau5	pʰiɔu5	pʰiau5
庙	miau5	miau5	miau5	miau5	miau5	miau5	miɔu5	miau5
焦	tɕiau1	tɕiau1	tɕiau1	tɕiau1	tɕiau1	tɕiau1	tɕiɔu1	tɕiau1
小	ɕiau3	ɕiau3	ɕiau3	ɕiau3	ɕiau3	ɕiau3	ɕiɔu3	ɕiau3
笑	ɕiau5	ɕiau5	ɕiau5	ɕiau5	ɕiau5	ɕiau5	ɕiɔu5	ɕiau5
朝(～代)	tsʰau2	tsʰau2	tsʰau2	tsʰau2	tsʰau2	tsʰau2	tsʰɔu2	tsʰau2
照	tsau5	tsau5	tsau5	tsau5	tsau5	tsau5	tsɔu5	tsau5
烧	sau1	sau1	sau1	sau1	sau1	sau1	sɔu1	sau1
绕(～线)	zau5	zau5	zau5	zau5	zau5	zau5	zɔu5	zau5
桥	tɕʰiau2	tɕʰiau2	tɕʰiau2	tɕʰiau2	tɕʰiau2	tɕʰiau2	tɕʰiɔu2	tɕʰiau2
轿	tɕʰiau5	tɕʰiau5	tɕʰiau5	tɕʰiau5	tɕʰiau5	tɕʰiau5	tɕʰiɔu5	tɕʰiau5
腰	iau1	iau1	iau1	iau1	iau1	iau1	iɔu1	iau1
要(重～)	iau5	iau5	iau5	iau5	iau5	iau5	iɔu5	iau5
摇	iau2	iau2	iau2	iau2	iau2	iau2	iɔu2	iau2
鸟	liau3	niau3	niau3	niau3	liau3	niau3	niɔu3	liau3
钓	tiau5	tiau5	tiau5	tiau5	tiau5	tiau5	tiɔu5	tiau5
条	tʰiau2	tʰiau2	tʰiau2	tʰiau2	tʰiau2	tʰiau2	tʰiɔu2	tʰiau2
料	liau5	niau5	niau5	niau5	liau5	niau5	niɔu5	liau5
箫	ɕiau1	ɕiau1	ɕiau1	ɕiau1	ɕiau1	ɕiau1	ɕiɔu1	ɕiau1
叫	tɕiau5	tɕiau5	tɕiau5	tɕiau5	tɕiau5	tɕiau5	tɕiɔu5	tɕiau5
母(丈～，舅～)	mu3	mu3	mu3	mu3	mu3	mu3	mu3	mu3
抖	tʰəu3(白)/təu3(文)	tʰəu3	tʰəu3	tou3	tou3	tʰəu3	tou3	tou3
偷	tʰəu1	tʰəu1	tʰəu1	tʰou1	tʰou1	tʰəu1	tʰou1	tʰou1
头	tʰəu2	tʰəu2	tʰəu2	tʰou2	tʰou2	tʰəu2	tʰou2	tʰou2
豆	təu5	təu5	təu5	tou5	tou5	təu5	tou5	tou5
楼	ləu2	nəu2	nəu2	nou2	lou2	nəu2	nou2	lou2
走	tsəu3	tsəu3	tsəu3	tsou3	tsou3	tsəu3	tsou3	tsou3
凑	tsʰəu5	tsʰəu5	tsʰəu5	tsʰou5	tsʰou5	tsʰəu5	tsʰou5	tsʰou5
钩	kəu1	kəu1	kəu1	kou1	kou1	kəu1	kou1	kou1
狗	kəu3	kəu3	kəu3	kou3	kou3	kəu3	kou3	kou3
够	kəu5	kəu5	kəu5	kou5	kou5	kəu5	kou5	kou5
口	kʰəu3	kʰəu3	kʰəu3	kʰou3	kʰou3	kʰəu3	kʰou3	kʰou3
藕	ŋəu3	ŋəu3	əu3	ou3	ou3	əu3	ŋou3	ŋou3
后(前～)	xəu5	xəu5	xəu5	xou5	xou5	xəu5	xou5	xou5
厚	xəu5	xəu5	xəu5	xou5	xou5	xəu5	xou5	xou5
富	fu5	fu5	fu5	fu5	fu5	fu5	fu5	fu5
副	fu5	fu5	fu5	fu5	fu5	fu5	fu5	fu5
浮	fu2	fu2	fəu2	fu2	fəu2	fu2	fu2	fu2
妇	fu5	fu5	fu5	fu5	fu5	fu5	fu5	fu5
流	liəu2	niəu2	niəu2	niou2	liou2	niəu2	niou2	liou2
酒	tɕiəu3	tɕiəu3	tɕiəu3	tɕiou3	tɕiou3	tɕiəu3	tɕiou3	tɕiou3
修	ɕiəu1	ɕiəu1	ɕiəu1	ɕiou1	ɕiou1	ɕiəu1	ɕiou1	ɕiou1
袖	ɕiəu5	ɕiəu5	ɕiəu5	ɕiou5	ɕiou5	ɕiəu5	tsʰou5	ɕiou5
抽	tsʰəu1	tsʰəu1	tsʰəu1	tsʰou1	tsʰou1	tsʰəu1	tsʰou1	tsʰou1
绸	tsʰəu2	tsʰəu2	tsʰəu2	tsʰou2	tsʰou2	tsʰəu2	tsʰou2	tsʰou2
愁	tsʰəu2	tsʰəu2	tsʰəu2	tsʰou2	tsʰou2	tsʰəu2	sou2	tsʰou2
瘦	səu5	səu5	səu5	sou5	sou5	səu5	tsou5	sou5
州	tsəu1	tsəu1	tsəu1	tsou1	tsou1	tsəu1	tsʰou1	tsou1
臭(香～)	tsʰəu5	tsʰəu5	tsʰəu5	tsʰou5	tsʰou5	tsʰəu5	sou5	tsʰou5
手	səu3	səu3	səu3	sou3	sou3	səu3	NA3	sou3
寿	səu5	səu5	səu5	sou5	sou5	səu5	sou5	sou5
九	tɕiəu3	tɕiəu3	tɕiəu3	tɕiou3	tɕiou3	tɕiəu3	tɕiou3	tɕiou3
球	tɕʰiəu2	tɕʰiəu2	tɕʰiəu2	tɕʰiou2	tɕʰiou2	tɕʰiəu2	tɕʰiou2	tɕʰiou2
舅	tɕiəu5	tɕiəu5	tɕiəu5	tɕiou5	tɕiou5	tɕiəu5	tɕiou5	tɕiou5
旧	tɕiəu5	tɕiəu5	tɕiəu5	tɕiou5	tɕiou5	tɕiəu5	tɕiou5	tɕiou5
牛	liəu2	niəu2	niəu2	niou2	liou2	niəu2	niou2	liou2
休	ɕiəu1	ɕiəu1	ɕiəu1	ɕiou1	ɕiou1	ɕiəu1	ɕiou1	ɕiou1
优	iəu1	iəu1	iəu1	iou1	iou1	iəu1	iou1	iou1
有	iəu3	iəu3	iəu3	iou3	iou3	iəu3	iou3	iou3
右	iəu5	iəu5	iəu5	iou5	iou5	iəu5	iou5	iou5
油	iəu2	iəu2	iəu2	iou2	iou2	iəu2	iou2	iou2
丢	tiəu1	tiəu1	tiəu1	tiou1	tiou1	tiəu1	tiou1	tiou1
幼	iəu5	iəu5	iəu5	iou5	iou5	iəu5	iou5	iou5
贪	tʰan1	tʰã1	tʰan1	tʰan1	tʰan1	tʰan1	tʰan1	tʰan1
潭	tʰan2	tʰã2	tʰan2	tʰan2	tʰan2	tʰan2	tʰan2	tʰan2
南	lan2	nã2	nan2	nan2	lan2	nan2	nan2	lan2
蚕	tsʰan2	tsʰã2	tsʰan2	tsʰan2	tsʰan2	tsʰan2	tsʰan2	tsʰan2
感	kan3	kã3	kan3	kan3	kan3	kan3	kan3	kan3
含(～一口水)	xan2	xã2	xan2	xan2	xan2	xan2	xan2	xan2
暗	ŋan5	ŋã5	an5	an5	ŋan5	ŋan5	ŋan5	ŋan5
搭	ta2	ta2	ta2	ta2	ta2	ta2	ta2	ta2
踏	tʰa2	tʰa2	tʰa2	tʰa2	tʰa2	tʰa2	tʰa2	tʰa2
拉	la1	la1	la1	la1	la1	la1	la1	la1
杂	tsa2	tsa2	tsa2	tsa2	tsa2	tsa2	tsa2	tsa2
鸽	ko2	ko2	ko2	ko2	ko2	ko2	ko2	ko2
盒	xo2	xo2	xo2	xo2	xo2	xo2	xo2	xo2
胆	tan3	tã3	tan3	tan3	tan3	tan3	tan3	tan3
毯	tʰan3	tʰã3	tʰan3	tʰan3	tʰan3	tʰan3	tʰan3	tʰan3
淡	tan5	tã5	tan5	tan5	tan5	tan5	tan5	tan5
蓝	lan2	nã2	nan2	nan2	lan2	nan2	nan2	lan2
三	san1	sã1	san1	san1	san1	san1	san1	san1
甘	kan1	kã1	kan1	kan1	kan1	kan1	kan1	kan1
敢	kan3	kã3	kan3	kan3	kan3	kan3	kan3	kan3
喊	xan3	xã3	xan3	xan3	xan3	xan3	xan3	xan3
塔	tʰa2	tʰa2	tʰa2	tʰa2	tʰa2	tʰa2	tʰa2	tʰa2
蜡	la2	na2	na2	na2	la2	na2	na2	la2
赚	tsuan5	tsuã5	tsuan5	tsuan5	tsuan5	tsuan5	tsuan5	tsuan5
杉(～木)	sa1	sa1	sa1	sa1	sa1	sa1	sa1	sa1
减	tɕian3	tɕiɛ̃3	tɕian3	tɕian3	tɕian3	tɕian3	tɕian3	tɕian3
咸(～淡)	ɕian2	ɕiɛ̃2	ɕian2	ɕian2	ɕian2	ɕian2	ɕian2	ɕian2
插	tsʰa2	tsʰa2	tsʰa2	tsʰa2	tsʰa2	tsʰa2	tsʰa2	tsʰa2
闸	tsa2	tsa2	tsa2	tsa2	tsa2	tsa2	tsa2	tsa2
夹(～子)	tɕia2	tɕia2	tɕia2	tɕia2	tɕia2	tɕia2	tɕia2	tɕia2
衫	san1	sã1	san1	san1	san1	san1	san1	san1
监	tɕian1	tɕiɛ̃1	tɕian1	tɕian1	tɕian1	tɕian1	tɕian1	tɕian1
岩		ŋai2	ŋai2	ai2	ŋai2	ŋai2	ŋai2	ŋai2
甲	tɕia2	tɕia2	tɕia2	tɕia2	tɕia2	tɕia2	tɕia2	tɕia2
鸭	ia2	ia2	ia2	ia2	ia2	ia2	ia2	ia2
黏(～液)	lian2	niɛ̃2	nian2	nian2	lian2	nian2	nian2	lian2
尖	tɕian1	tɕiɛ̃1	tɕian1	tɕian1	tɕian1	tɕian1	tɕian1	tɕian1
签(～名)	tɕʰian1	tɕʰiɛ̃1	tɕʰian1	tɕʰian1	tɕʰian1	tɕʰian1	tɕʰian1	tɕʰian1
占(～领)	tsan5	tsan5	tsan5	tsan5	tsan5	tsan5	tsan5	tsan5
染	zan3	zan3	zan3	zan3	zan3	zan3	zan3	zan3
钳	tɕʰian2	tɕʰiɛ̃2	tɕʰian2	tɕʰian2	tɕʰian2	tɕʰian2	tɕʰian2	tɕʰian2
验	lian5	niɛ̃5	nian5	nian5	lian5	nian5	nian5	lian5
险	ɕian3	ɕiɛ̃3	ɕian3	ɕian3	ɕian3	ɕian3	ɕian3	ɕian3
厌	ian5	iɛ̃5	ian5	ian5	ian5	ian5	ian5	ian5
炎	ian1	iɛ̃1	ian1	ian1	ian1	ian1	ian1	ian1
盐	ian2	iɛ̃2	ian2	ian2	ian2	ian2	ian2	ian2
接	tɕi2	tɕie2	tɕiɛ2	tɕiɛ2	tɕiɛ2	tɕi2	tɕi2	tɕi2
折(～叠)	tsei2	tsei2	tsei2	tsei2	tsei2	tsei2	tsei2	tsei2
叶(树～)	i2	ie2	iɛ2	iɛ2	iɛ2	i2	i2	i2
剑	tɕian5	tɕiiɛ̃5	tɕian5	tɕian5	tɕian5	tɕian5	tɕian5	tɕian5
欠	tɕʰian5	tɕʰiɛ̃5	tɕʰian5	tɕʰian5	tɕʰian5	tɕʰian5	tɕʰian5	tɕʰian5
严	lian2	niɛ̃2	nian2	ian2	ian2	nian2	nian2	ian2
业	li2	nie2	niɛ2	niɛ2	niɛ2	ni2(老派)/i2(新派)	ni2	li2
点	tian3	tiɛ̃3	tian3	tian3	tian3	tian3	tian3	tian3
店	tian5	tiɛ̃5	tian5	tian5	tian5	tian5	tian5	tian5
添	tʰian1	tʰiɛ̃1	tʰian1	tʰian1	tʰian1	tʰian1	tʰian1	tʰian1
甜	tʰian2	tʰiɛ̃2	tʰian2	tʰian2	tʰian2	tʰian2	tʰian2	tʰian2
念	nian5	niɛ̃5	nian5	nian5	nian5	nian5	nian5	nian5
嫌	ɕian2	ɕiɛ̃2	ɕian2	ɕian2	ɕian2	ɕian2	ɕian2	ɕian2
跌	ti2	tie2	tiɛ2	tiɛ2	tiɛ2	ti2	ti2	ti2
贴	tʰi2	tʰie2	tʰiɛ2	tʰiɛ2	tʰiɛ2	tʰi2	tʰi2	tʰi2
碟	ti2	tie2	tiɛ2	tiɛ2	tiɛ2	ti2	ti2	ti2
协	ɕi2	ɕie2	ɕiɛ2	ɕiɛ2	ɕiɛ2	ɕi2	ɕi2	ɕi2
犯	fan5	fã5	fan5	fan5	fan5	fan5	fan5	fan5
法	fa2	fa2	fa2	fa2	fa2	fa2	fa2	fa2
品	pʰin3	pʰin3	pʰin3	pʰin3	pʰin3	pʰin3	pʰin3	pʰin3
林	lin2	nin2	nin2	nin2	lin2	nin2	nin2	lin2
浸	tɕʰin5	tɕʰin5	tɕʰin5	tɕin5	tɕin5	tɕʰin5	tɕʰin5	tɕʰin5
心	ɕin1	ɕin1	ɕin1	ɕin1	ɕin1	ɕin1	ɕin1	ɕin1
寻	ɕyn2	ɕin2	ɕin2	ɕin2	ɕin2	ɕyn2	ɕyn2	ɕin2
沉	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2
参(人～)	sen1	sen1	sen1	sen1	sen1	sen1	sen1	sen1
针	tsen1	tsen1	tsen1	tsen1	tsen1	tsen1	tsen1	tsen1
深	sen1	sen1	sen1	sen1	sen1	sen1	sen1	sen1
任(责～)	zen5	zen5	zen5	zen5	zen5	zen5	zen5	zen5
金	tɕin1	tɕin1	tɕin1	tɕin1	tɕin1	tɕin1	tɕin1	tɕin1
琴	tɕʰin2	tɕʰin2	tɕʰin2	tɕʰin2	tɕʰin2	tɕʰin2	tɕʰin2	tɕʰin2
音	in1	in1	in1	in1	in1	in1	in1	in1
立	li2	ni2	ni2	nei2	li2	ni2	ni2	li2
集	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2
习	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2
汁	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2
十	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2
入	zu2	zu2	zu2	zu2	zu2	zu2	zu2	zu2
急	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2
及	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2
吸	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2
单(简～)	tan1	tã1	tan1	tan1	tan1	tan1	tan1	tan1
炭	tʰan5	tʰã5	tʰan5	tʰan5	tʰan5	tʰan5	tʰan5	tʰan5
弹(~琴)	tʰan2	tʰã2	tʰan2	tʰan2	tʰan2	tʰan2	tʰan2	tʰan2
难(～易)	lan2	nã2	nan2	nan2	lan2	nan2	nan2	lan2
兰	lan2	nã2	nan2	nan2	lan2	nan2	nan2	lan2
懒	lan3	nã3	nan3	nan3	lan3	nan3	nan3	lan3
烂	lan5	nã5	nan5	nan5	lan5	nan5	nan5	lan5
伞	san3	sã3	san3	san3	san3	san3	san3	san3
肝	kan1	kã1	kan1	kan1	kan1	kan1	kan1	kan1
看(～见)	kʰan5	kʰã5	kʰan5	kʰan5	kʰan5	kʰan5	kʰan5	kʰan5
岸	ŋan5	ŋã5	ŋan5	an5	ŋan5	ŋan5	ŋan5	ŋan5
汉	xan5	xã5	xan5	xan5	xan5	xan5	xan5	xan5
汗	xan5	xã5	xan5	xan5	xan5	xan5	xan5	xan5
安	ŋan1	ŋã1	ŋan1	an1	ŋan1	ŋan1	ŋan1	ŋan1
达	ta2	ta2	ta2	ta2	ta2	ta2	ta2	ta2
辣	la2	na2	na2	na2	la2	na2	na2	la2
擦	tsʰa2	tsʰa2	tsʰa2	tsʰa2	tsʰa2	tsʰa2	tsʰa2	tsʰa2
割	ko2	ko2	ko2	ko2	ko2	ko2	ko2	ko2
渴	kʰo2	kʰo2	kʰo2	kʰo2	kʰo2	kʰo2	kʰo2	kʰo2
扮	pan5	pã5	pan5	pan5	pan5	pan5	pan5	pan5
办	pan5	pã5	pan5	pan5	pan5	pan5	pan5	pan5
铲	tsʰan3	tsʰã3	tsʰan3	tsʰan3	tsʰan3	tsʰan3	tsʰan3	tsʰan3
山	san1	sã1	san1	san1	san1	san1	san1	san1
产(～妇)	tsʰan3	tsʰã3	tsʰan3	tsʰan3	tsʰan3	tsʰan3	tsʰan3	tsʰan3
间(房～，一～房)	kan1(白)/tɕian1(文)	tɕiɛ̃1	tɕian1	tɕian1	tɕian1	tɕian1	kan1(白)/tɕian1(文)	kan1(白)/tɕian1(文)
眼	ian3	iɛ̃3	ian3	ian3	ian3	ian3	ian3	ian3
限	ɕian5	ɕiɛ̃5	ɕian5	ɕian5	ɕian5	ɕian5	ɕian5	ɕian5
八	pa2	pa2	pa2	pa2	pa2	pa2	pa2	pa2
扎	tsa2	tsa2	tsa2	tsa2	tsa2	tsa2	tsa2	tsa2
杀	sa2	sa2	sa2	sa2	sa2	sa2	sa2	sa2
班	pan1	pã1	pan1	pan1	pan1	pan1	pan1	pan1
板	pan3	pã3	pan3	pan3	pan3	pan3	pan3	pan3
慢	man5	mã5	man5	man5	man5	man5	man5	man5
奸	tɕian1	tɕiɛ̃1	tɕian1	tɕian1	tɕian1	tɕian1	tɕian1	tɕian1
颜	ian2	iɛ̃2	ian2	ian2	ian2	ian2	ian2	ian2
瞎	ɕia2	ɕia2	ɕia2	ɕia2	ɕia2	ɕia2	ɕia2	ɕia2
变	pian5	piɛ̃5	pian5	pian5	pian5	pian5	pian5	pian5
骗(欺～)	pʰian5	pʰiɛ̃5	pʰian5	pʰian5	pʰian5	pʰian5	pʰian5	pʰian5
便(方～)	pian5	piɛ̃5	pian5	pian5	pian5	pian5	pian5	pian5
棉	mian2	miɛ̃2	mian2	mian2	mian2	mian2	mian2	mian2
面(～孔)	mian5	miɛ̃5	mian5	mian5	mian5	mian5	mian5	mian5
连	lian2	niɛ̃2	nian2	nian2	lian2	nian2	nian2	lian2
剪	tɕian3	tɕiɛ̃3	tɕian3	tɕian3	tɕian3	tɕian3	tɕian3	tɕian3
浅	tɕʰian3	tɕʰiɛ̃3	tɕʰian3	tɕʰian3	tɕʰian3	tɕʰian3	tɕʰian3	tɕʰian3
钱	tɕʰian2	tɕʰiɛ̃2	tɕʰian2	tɕʰian2	tɕʰian2	tɕʰian2	tɕʰian2	tɕʰian2
鲜	ɕyan1	ɕiɛ̃1	ɕian1	ɕian1	ɕian1	ɕyan1	ɕyan1	ɕian1
线	ɕian5	ɕiɛ̃5	ɕian5	ɕian5	ɕian5	ɕian5	ɕian5	ɕian5
缠	tsʰan2	tsʰã2	tsʰan2	tsʰan2	tsʰan2	tsʰan2	tsʰan2	tsʰan2
战	tsan5	tsã5	tsan5	tsan5	tsan5	tsan5	tsan5	tsan5
扇(名)	san5	sã5	san5	san5	san5	san5	san5	san5
善	san5	sã5	san5	san5	san5	san5	san5	san5
件	tɕian5	tɕiɛ̃5	tɕian5	tɕian5	tɕian5	tɕian5	tɕian5	tɕian5
延	ian2	iɛ̃2	ian2	ian2	ian2	ian2	ian2	ian2
别(～人)	pi2	pie2	piɛ2	piɛ2	piɛ2	pi2	pi2	pi2
灭	mi2	mie2	miɛ2	miɛ2	miɛ2	mi2	mi2	mi2
列	li2	nie2	niɛ2	niɛ2	liɛ2	ni2	ni2	lie2
撤	tsʰei2	tsʰei2	tsʰei2	tsʰei2	tsʰei2	tsʰei2	tsʰei2	tsʰei2
舌	sei2	sei2	sei2	sei2	sei2	sei2	sei2	sei2
设	sei2	sei2	sei2	sei2	sei2	sei2	sei2	sei2
热	zei2	zei2	zei2	zei2	zei2	zei2	zei2	zei2
杰	tɕi2	tɕie2	tɕiɛ2	tɕiɛ2	tɕiɛ2	tɕi2	tɕi2	tɕi2
孽	li2	nie2	niɛ2	niɛ2	liɛ2	ni2	ni2	li2
建	tɕian5	tɕiɛ̃5	tɕian5	tɕian5	tɕian5	tɕian5	tɕian5	tɕian5
健	tɕian5	tɕiɛ̃5	tɕian5	tɕian5	tɕian5	tɕian5	tɕian5	tɕian5
言	ian2	iɛ̃2	ian2	ian2	ian2	ian2	ian2	ian2
歇	ɕi2	ɕie2	ɕiɛ2	ɕiɛ2	ɕiɛ2	ɕi2	ɕi2	ɕi2
扁	pian3	piɛ̃3	pian3	pian3	pian3	pian3	pian3	pian3
片	pʰian5	pʰiɛ̃5	pʰian5	pʰian5	pʰian5	pʰian5	pʰian5	pʰian5
面(～条)	mian5	miɛ̃5	mian5	mian5	mian5	mian5	mian5	mian5
典	tian3	tiɛ̃3	tian3	tian3	tian3	tian3	tian3	tian3
天	tʰian1	tʰiɛ̃1	tʰian1	tʰian1	tʰian1	tʰian1	tʰian1	tʰian1
田	tʰian2	tʰiɛ̃2	tʰian2	tʰian2	tʰian2	tʰian2	tʰian2	tʰian2
垫	tian5	tiɛ̃5	tian5	tian5	tian5	tian5	tian5	tian5
年	lian2	niɛ̃2	nian2	nian2	lian2	nian2	nian2	lian2
莲	lian2	niɛ̃2	nian2	nian2	lian2	nian2	nian2	lian2
前	tɕʰian2	tɕʰiɛ̃2	tɕʰian2	tɕʰian2	tɕʰian2	tɕʰian2	tɕʰian2	tɕʰian2
先	ɕian1	ɕiɛ̃1	ɕian1	ɕian1	ɕian1	ɕian1	ɕian1	ɕian1
肩	tɕian1	tɕiɛ̃1	tɕian1	tɕian1	tɕian1	tɕian1	tɕian1	tɕian1
见	tɕian5	tɕiɛ̃5	tɕian5	tɕian5	tɕian5	tɕian5	tɕian5	tɕian5
牵	tɕʰian1	tɕʰiɛ̃1	tɕʰian1	tɕʰian1	tɕʰian1	tɕʰian1	tɕʰian1	tɕʰian1
显	ɕian3	ɕiɛ̃3	ɕian3	ɕian3	ɕian3	ɕian3	ɕian3	ɕian3
现	ɕian5	ɕiɛ̃5	ɕian5	ɕian5	ɕian5	ɕian5	ɕian5	ɕian5
烟	ian1	iɛ̃1	ian1	ian1	ian1	ian1	ian1	ian1
憋	pi2	pie2	piɛ2	piɛ2	piɛ2	pi2	pi2	pi2
篾	mi2	mie2	miɛ2	miɛ2	miɛ2	mi2	mi2	mi2
铁	tʰi2	tʰie2	tʰiɛ2	tʰiɛ2	tʰiɛ2	tʰi2	tʰi2	tʰi2
捏	li2	nie2	niɛ2	niɛ2	liɛ2	ni2	ni2	ni2
节	tɕi2	tɕie2	tɕiɛ2	tɕiɛ2	tɕiɛ2	tɕi2	tɕi2	tɕi2
切(动)	tɕʰi2	tɕʰie2	tɕʰiɛ2	tɕʰiɛ2	tɕʰiɛ2	tɕʰi2	tɕʰi2	tɕʰi2
截	tɕi2	tɕie2	tɕiɛ2	tɕiɛ2	tɕiɛ2	tɕi2	tɕi2	tɕi2
结	tɕi2	tɕie2	tɕiɛ2	tɕiɛ2	tɕiɛ2	tɕi2	tɕi2	tɕi2
搬	pan1	pã1	pan1	pan1	pan1	pan1	pan1	pan1
半	pan5	pã5	pan5	pan5	pan5	pan5	pan5	pan5
判	pʰan5	pʰã5	pʰan5	pʰan5	pʰan5	pʰan5	pʰan5	pʰan5
盘	pʰan2	pʰã2	pʰan2	pʰan2	pʰan2	pʰan2	pʰan2	pʰan2
满	man3	mã3	man3	man3	man3	man3	man3	man3
端(～午)	tuan1	tuã1	tuan1	tuan1	tuan1	tuan1	tuan1	tuan1
短	tuan5	tuã5	tuan5	tuan5	tuan5	tuan5	tuan5	tuan5
断(绳～了)	tuan5	tuã5	tuan5	tuan5	tuan5	tuan5	tuan5	tuan5
暖	luan2	nuã2	nuan2	nuan2	luan2	nuan2	nuan2	luan2
乱	luan5	nuã5	nuan5	nuan5	luan5	nuan5	nuan5	luan5
酸	suan1	suã1	suan1	suan1	suan1	suan1	suan1	suan1
算	suan5	suaã5	suan5	suan5	suan5	suan5	suan5	suan5
官	kuan1	kuã1	kuan1	kuan1	kuan1	kuan1	kuan1	kuan1
宽	kʰuan1	kʰuã1	kʰuan1	kʰuan1	kʰuan1	kʰuan1	kʰuan1	kʰuan1
欢	xuan1	xuã1	xuan1	xuan1	xuan1	xuan1	xuan1	xuan1
完	uan2	uã2	uan2	uan2	uan2	uan2	uan2	uan2
换	xuan5	xuã5	xuan5	xuan5	xuan5	xuan5	xuan5	xuan5
碗	uan3	uã3	uan3	uan3	uan3	uan3	uan3	uan3
拨	po2	po2	po2	pou2	po2	po2	po2	po2
泼	pʰo2	pʰo2	pʰo2	pʰou2	pʰo2	pʰo2	pʰo2	pʰo2
末	mo2	mo2	mo2	mou2	mo2	mo2	mo2	mo2
脱	tʰo2	tʰo2	tʰo2	tʰo2	tʰo2	tʰo2	tʰo2	tʰo2
夺	to2	to2	to2	to2	to2	to2	to2	to2
阔	kʰuei2	kʰuei2	kʰuei2	kʰuei2	kʰuei2	kʰuai2	kʰuai2	kʰuei2
活	xo2	xo2	xo2	xo2	xo2	xo2	xo2	xo2
顽(～皮，～固)	uan2	uã2	uan2	uan2	uan2	uan2	uan2	uan2
滑	xua2	xua2	xua2	xua2	xua2	xua2	xua2	xua2
挖	ua1	ua1	ua1	ua1	ua1	ua1	ua1	ua1
闩	suan1	ɕiau5	ɕiau5	ɕiau1	ɕiau1	ɕiau1	ɕiɔu1	ɕiau1
关(～门)	kuan1	kuã1	kuan1	kuan1	kuan1	kuan1	kuan1	kuan1
惯	kuan5	kuã5	kuan5	kuan5	kuan5	kuan5	kuan5	kuan5
还(动)	xuan2	xuã2	xuan2	xuan2	xuan2	xuan2	xuan2	xuan2
还(副)	xai2	xai2	xai2	xai2	xai2	xai2	xai2	xai2
弯	uan1	uã1	uan1	uan1	uan1	uan1	uan1	uan1
刷	sua2	sua2	sua2	sua2	sua2	sua2	sua2	sua2
刮	kua2	kua2	kua2	kua2	kua2	kua2	kua2	kua2
全	tɕʰyan2	tɕʰiɛ̃2	tɕʰian2	tɕʰian2	tɕʰian2	tɕʰyan2	tɕʰyan2	tɕʰian2
选	ɕyan3	ɕiɛ̃3	ɕian3	ɕian3	ɕian3	ɕyan3	ɕyan3	ɕian3
转(～眼，～送)	tsuan3	tsuã3	tsuan3	tsuan3	tsuan3	tsuan3	tsuan3	tsuan3
传(～下来)	tsʰuan2	tsʰuã2	tsʰuan2	tsʰuan2	tsʰuan2	tsʰuan2	tsʰuan2	tsʰuan2
传(～记)	tsuan5	tsuã5	tsuan5	tsuan5	tsuan5	tsuan5	tsuan5	tsuan5
砖	tsuan1	tsuã1	tsuan1	tsuan1	tsuan1	tsuan1	tsuan1	tsuan1
船	tsʰuan2	tsʰuã2	tsʰuan2	tsʰuan2	tsʰuan2	tsʰuan2	tsʰuan2	tsʰuan2
软	zuan3	zuã3	zuan3	zuan3	zuan3	zuan3	zuan3	zuan3
卷(～起)	tɕyan2	tɕiɛ̃2	tɕian2	tɕian2	tɕian2	tɕyan2	tɕyan2	tɕian2
圈(圆～)	tɕʰyan1	tɕʰiɛ̃1	tɕʰian1	tɕʰian1	tɕʰian1	tɕʰyan1	tɕʰyan1	tɕʰian1
权	tɕʰyan2	tɕʰiɛ̃2	tɕʰian2	tɕʰian2	tɕʰian2	tɕʰyan2	tɕʰyan2	tɕʰian2
圆	yan2	iɛ̃2	ian2	ian2	ian2	yan2	yan2	ian2
院	yan5	iɛ̃5	ian5	ian5	ian5	yan5	yan5	ian5
铅(～笔)	tɕʰian1	tɕʰiɛ̃1	tɕʰian1	tɕʰian1	tɕʰian1	tɕʰian1	tɕʰian1	tɕʰian1
