	阴平	阳平	阴上	阳上	阴去	阳去	阴入	阳入	
kʰø	看（~守）				看（~见）				
ŋø						岸			
hø	欢-獾				汉唤焕				
hɦø		寒韩		旱		汗焊翰罕鼾□（将就：~~）			
ʔø	儿-而-耳-安尔饵				按案晏（晚）鞍				
ɦø		二（又音）							
tɕyø	捐		捲		眷卷绢				
tɕʰyø	圈（圆~）		犬		劝券				
dʑyø		拳权颧蜷鬈		圈（羊~）倦隽（~永）					
ȵyø		原源元		软		愿			
ɕyø	喧（又音）				楦				
ʔyø	冤□（折叠）				怨				
ɦyø		圆员缘元（又音）原（又音）源（又音）袁辕园援玄悬渊眩		远		院县			
pɛ	擘（一虎口长叫一~）		摆=		拜=				
bɛ		排=				败=			
mɛ	娒（姆~，妗~，婶~）	埋=		买=		卖=			
tɛ	獃		□（说讽刺性的捧场话：你勿要~我）□（捉住）		戴□（不小心被戳着：~着一记）				
tʰɛ	胎苔（舌~）		态		太□（套：~上去）				
dɛ		台抬		怠		代袋贷待绐（宕下）逮（~捕）			
nɛ	乃					奈耐			
lɛ	□（勿~三）	来							
tsɛ	灾栽		宰载		再载（~重）				
tsʰɛ	猜		采彩探睬踩		菜				
dzɛ		豺才材财		在					
sɛ	腮鳃衰		□（~头：毒疮的脓头）		赛帅				
zɛ		裁材（棺~）□（都）		罪（~过：表示歉意）		傤（~船）			
kɛ	该赅		改		概溉盖丐				
kʰɛ	开		凯		慨隑（依傍）				
gɛ						隑（又音）			
ŋɛ		呆埃（又音）				艾碍			
hɛ	咍		海						
hɦɛ		孩□（都）□（大声叫喊）		唉-		亥害骇			
ʔɛ	哀				爱蔼霭隘还（~有，~要）				
ɦɛ		谐-埃		唉=		械-懈-			
ɦiɛ		埃（又音）谐=				械=懈=			
kuɛ	乖=				怪=				
kʰuɛ	□（~得住~不住：即吃得消吃不消）				快=				
huɛ	□（自满自得）								
ʔuɛ	喂								
ɦuɛ		怀淮=				外=坏=			
pæ	班斑颁扳掰般		板版扮粄（酒~：酒酿）		绊-瓣				
pʰæ	攀				襻（纽~）盼				
bæ		爿爬-（~出来：起身）				办			
mæ	蛮（很：~好，横~）	蛮				慢漫幔蔓万-			
fæ	翻番		反返		泛贩㽹（心~：作呕）				
væ		凡帆范（模~）藩烦繁矾		犯		饭万=			
tæ	耽担（~当）		胆		担（挑~）诞旦				
tʰæ	坍毯		坦袒		探（试~）坍（又音）				
dæ		潭谭谈痰坛（讲~）		淡		但			
næ	拿-	□（现在；那末的合音）	览揽赖（依~）			□（硬塞给人）			
læ		篮兰蓝榄		懒		滥缆烂			
tsæ	劗（切：~一刀肉）		斩盏崭		蘸				
tsʰæ	搀餐（吃一~）□（推）		产铲		忏（拜~）				
dzæ		谗馋		赚惭饯（喝：~一~）嶃（陡）		暂站栈寨馔绽			
sæ	三杉衫珊萨（菩~）山删				疝				
zæ		□（口水）							
kæ	监尴间-奸-		减-裥拣橄间（~一天：隔一天）碱□（擦：~屁眼）		鉴（又音）				
kʰæ	刊铅		舰		嵌				
ŋæ	啱（~~：刚才）	颜-衔（军~）		眼		颜（配颜色，刺绣时几种颜色搭配得好，叫~来好）			
hæ	□（小孩不听话）				喊				
hɦæ		咸（~味）衔闲		限					
ʔæ	还-（~有𠲎?）								
kuæ	关鳏莞（~草）		□（~着一眼：眼梢瞥见）		惯				
kʰuæ					筷				
guæ		顽（~固）环		掼		环（耳饰）			
ŋuæ		顽（又音）							
huæ	□（小孩听话）豩（年老体健）				甩				
ʔuæ	弯湾		挽浼（央人从中说合某事）绾		晚湾（台~）幻患宦豢				
ɦuæ		还=（归~）							
pɑ	爸		摆-		拜-				
pʰɑ	派（~司）				派（~别）				
bɑ		排-牌簰（筏）□（拉：~人）		罢		稗败-			
mɑ	妈	埋-		买-		卖-			
tɑ	多-（~时）				带戴（~帽子）				
tʰɑ	他拖（~鼻涕）				泰太（~平）				
dɑ		□（移动）		□（蹓跶）□（称秤人的篮子）		大=汏埭（量词）			
nɑ	哪=那	拿=挪		奶（乳房）					
lɑ	拉	拉（~屎~污）		哪-□（强烈的欲望：心里~）		辣-赖（~帐）			
tsɑ	斋抓□（看）□（ɕiɑ~：聪明）				债				
tsʰɑ	差（出~）		扯（匀开）		蔡				
