cʰaracter	initian	finan	tone	note								
厅	tʰ	in	44									
听	tʰ	in	13									
听	tʰ	in	44									
停	tʰ	in	21									
挺	tʰ	in	45									
定	t	in	13									
零	n	in	21									
青	tɕʰ	in	44									
星	ɕ	in	44									
经	tɕ	in	44									
形	ɕ	in	21									
壁	p	i	21									
劈	pʰ	i	21									
踢	tʰ	i	21									
笛	t	i	21									
历	n	i	21									
锡	ɕ	i	21									
击	tɕ	i	21									
锡	ɕ	ʑ̩	21									
击	tɕ	ʑ̩	21									
吃	tsʰ	ɿ	21									
横	x	uən	21									
划	x	ua	13									
兄	ɕ	ioŋ	44									
荣	∅	ioŋ	21									
亩	m	oŋ	45									
营	∅	in	21									
蓬	pʰ	oŋ	21									
蓬	pʰ	ən	21									
东	t	oŋ	44									
懂	t	oŋ	45									
冻	t	oŋ	13									
通	tʰ	oŋ	44									
桶	tʰ	oŋ	45									
痛	tʰ	oŋ	13									
铜	tʰ	oŋ	21									
动	t	oŋ	13									
洞	t	oŋ	13									
聋	n	oŋ	44									
弄	n	oŋ	13									
粽	ts	oŋ	13									
葱	tsʰ	oŋ	44									
送	s	oŋ	13									
公	k	oŋ	44									
孔	kʰ	oŋ	45									
烘	x	oŋ	44									
红	x	oŋ	21									
翁	∅	oŋ	44									
木	m	uᶹ	21									
读	t	uᶹ	21									
鹿	n	uᶹ	21									
族	tɕʰ	yu	21									
谷	k	uᶹ	21									
哭	kʰ	uᶹ	21									
屋	v	uᶹ	21									
冬	t	oŋ	44									
统	tʰ	oŋ	45									
脓	n	oŋ	21									
松	s	oŋ	44									
宋	s	oŋ	13									
毒	t	uᶹ	21									
风	f	oŋ	44									
丰	f	oŋ	44									
粉	f	oŋ	45									
凤	f	oŋ	13									
梦	m	oŋ	13									
中	ts	oŋ	44									
虫	tsʰ	oŋ	21									
终	ts	oŋ	44									
充	tsʰ	oŋ	44									
宫	k	oŋ	44									
穷	tɕʰ	ioŋ	21									
熊	ɕ	ioŋ	21									
雄	ɕ	ioŋ	21									
福	f	uᶹ	21									
服	f	uᶹ	21									
目	m	uᶹ	21									
六	n	uᶹ	21									
宿	ɕ	yu	21									
宿	ɕ	iəu	13	星∽								
竹	ts	uᶹ	21									
畜	tsʰ	uᶹ	21									
缩	s	o	21									
粥	ts	əu	44									
叔	s	uᶹ	21									
熟	s	uᶹ	21									
肉	z	uᶹ	21									
菊	tɕ	yu	21									
育	∅	yu	21									
封	f	oŋ	44									
蜂	f	oŋ	44									
缝	f	oŋ	13									
浓	n	oŋ	21									
龙	n	oŋ	21									
松	s	oŋ	44									
重	ts	oŋ	13									
肿	ts	oŋ	45									
种	ts	oŋ	13									
冲	tsʰ	oŋ	44									
恭	k	oŋ	44									
共	k	oŋ	13									
凶	ɕ	ioŋ	44									
拥	∅	ioŋ	45									
容	∅	ioŋ	21									
用	∅	ioŋ	13									
绿	n	uᶹ	21									
足	ts	uᶹ	21									
烛	ts	uᶹ	21									
赎	s	uᶹ	21									
属	s	uᶹ	21									
褥	z	uᶹ	21									
曲	tɕʰ	yu	21									
局	tɕ	yu	21									
玉	∅	y	13									
浴	∅	yu	21									
我	ŋ	o	45									
他	n	a	44									
他	tʰ	a	44									
泉	tɕʰ	yɛ	21									
是	s	ɿ	13									
贸	m	əu	13									
