音標	調類	
ʦʰəɯ	5	奏湊
səɯ	1	搜餿
səɯ	3	叟
səɯ	5	瘦
kəɯ	1	鉤勾溝
kəɯ	3	狗枸苟
kəɯ	5	購夠
kʰəɯ	1	摳
kʰəɯ	2	□（～人）
kʰəɯ	3	口
kʰəɯ	5	扣叩蔻寇
ŋəɯ	1	謳歐
ŋəɯ	3	嘔
ŋəɯ	4	偶藕
ŋəɯ	5	慪
xəɯ	1	齁
xəɯ	2	猴喉䞀侯
xəɯ	3	吼否
xəɯ	4	厚（白）
xəɯ	5	后候（文）後（文）厚（文）
xəɯ	6	候（白）後（白）
pã	1	班斑頒扳
pã	3	板版
pã	5	扮絆瓣
pʰã	1	攀
pʰã	4	□（扔）
pʰã	5	盼襻
pʰã	6	辦
mã	2	蠻
mã	4	晚₁
mã	5	曼幔蔓（文）
mã	6	慢蔓（白）蟎
fã	1	番翻
fã	2	帆煩蕃藩樊繁凡
fã	3	反返㽹（罵人）
fã	5	犯（文）範販泛梵氾範（文）
fã	6	犯（白）範（白）飯
tã	1	擔耽丹單眈覘
tã	3	膽撣
tã	5	旦但（文）彈₁（文）擔蛋淡（文）憚萏
tʰã	1	灘攤貪坍
tʰã	2	彈₂潭痰檀壇譚談
tʰã	3	坦毯
tʰã	4	彈₁（白1）蛋（白）淡（白）
tʰã	5	探炭碳
tʰã	6	彈₁（白2）
lã	2	男藍南藍蘭攔難₁欄闌
lã	4	覽欖纜懶
lã	5	濫難₂（文）
lã	6	爛難₂（白）
ʦã	1	簪
ʦã	3	斬嶄盞
ʦã	5	贊站₁綻䋎
ʦʰã	1	參餐攙
ʦʰã	2	殘涎蠶饞讒□（昆蟲蜇人）慚
ʦʰã	3	慘產鏟
ʦʰã	4	□（擋住）
ʦʰã	5	燦懺粲
ʦʰã	6	站₂暫
sã	1	衫山訕三閂刪珊
sã	3	散₁傘
sã	5	散₂涮疝
kã	1	甘泔柑幹肝間₁奸尷竿干
kã	3	敢橄感杆減簡揀擀柬鹼（白）梘（白，洋梘：肥皂）
kã	5	間₂諫幹艦鑒監檻₁
kʰã	1	刊勘堪龕嵌艱
kʰã	3	坎侃砍檻₂
kʰã	5	看
ŋã	1	安鞍庵淹鵪諳
ŋã	2	顏（白）嚴（白）頑（白）
ŋã	4	眼掩（白）
ŋã	5	暗雁晏按案岸（文）
ŋã	6	岸（白）
xã	1	酣鼾憨
xã	2	鹹銜閑寒函含韓閒
xã	3	喊瞰
xã	5	漢旱（文）翰憾撼陷（文）限（文）汗（文）焊（文）菡
xã	6	早（白）焊（白）陷（白）限（白）汗（白）莧
kuã	1	關
kuã	5	慣
kʰuã	4	摜
uã	1	灣彎豌
uã	2	頑（文）玩
uã	3	腕
uã	4	晚挽
uã	5	萬（文）
uã	6	萬（白）
pə̃	1	般搬
pə̃	5	伴（文）半
pʰə̃	1	潘
pʰə̃	2	盤
pʰə̃	4	伴（白）
pʰə̃	5	判叛畔泮
mə̃	2	饅瞞
mə̃	4	滿
fə̃	1	歡
fə̃	2	桓完（文）
fə̃	3	緩
fə̃	5	煥喚患浣幻
fə̃	6	換
tə̃	1	端燈（白）
tə̃	3	等短□（攔截）
tə̃	5	段（文）鍛緞斷₁凳
tʰə̃	1	吞□（延緩)
tʰə̃	2	團騰（白₁）藤
tʰə̃	3	磴震
tʰə̃	4	段（白）斷₂窞
tʰə̃	5	騰（白₂）稱₂□（～手：幫手、朋友等）
tʰə̃	6	塅
lə̃	2	鸞圞欒
lə̃	4	卵
lə̃	5	亂（文）
lə̃	6	亂（白）
ʦə̃	1	鑽₁
ʦə̃	3	䂎
ʦə̃	5	鑽₂（文）
ʦʰə̃	1	氽竄
ʦʰə̃	2	層
ʦʰə̃	3	□（程度深）
ʦʰə̃	4	捘
ʦʰə̃	5	篡
ʦʰə̃	6	鑽（白2）
sə̃	1	酸生（文1）參₂（白）
sə̃	5	蒜算
tʂə̃	1	瞻詹沾氈粘
tʂə̃	3	展輾
tʂə̃	5	占戰顫
tʂʰə̃	2	纏蟾嬋
tʂʰə̃	4	□（風刮）
ʂə̃	1	扇₁（～薄：很薄）
ʂə̃	3	閃陝
ʂə̃	5	扇蟮膳擅單₂善
kə̃	1	根（白）跟（白）
kə̃	3	整₁
kʰə̃	3	肯啃
ŋə̃	3	□（硌）
xə̃	1	哼
xə̃	3	狠
xə̃	5	恨
piẽ	1	邊蝙鞭蝙鲏（鳑～屎：魚名，即鳑鲏）
piẽ	3	扁貶比₂
piẽ	5	變辯辨辮（文）便₁（文）
pʰiẽ	1	偏篇編
pʰiẽ	2	便₂駢
pʰiẽ	3	匾
pʰiẽ	5	騙片汴遍避₂
pʰiẽ	6	便₁（白）辮（白）
miẽ	2	棉眠綿□（經允許拿人東西）
miẽ	4	免勉緬娩
miẽ	5	面（文）□（牽、拉）
miẽ	6	面（白）
tiẽ	1	癲巔顛
tiẽ	3	典點
tiẽ	5	店奠電殿（文）佃墊（文）
tʰiẽ	1	添天
tʰiẽ	2	田甜恬填忝
tʰiẽ	3	舔
tʰiẽ	4	簟
tʰiẽ	6	墊（白）殿（白）
liẽ	2	帘聯憐連鰱蓮漣簾濂廉鐮
liẽ	4	臉斂
liẽ	5	煉練戀
liẽ	6	鏈
ʨiẽ	1	尖煎₁肩兼堅𣚙前₂（灶門～：廚房，弱讀混入）蒹
ʨiẽ	3	踐剪繭儉堿（文）揀撿檢梘（文，高～：地名，在今金井鎮石井村）
ʨiẽ	5	濺賤煎₂漸薦僭箭健（文）鍵建劍見
ʨʰiẽ	1	謙千牽₁殲簽遷纖箋
ʨʰiẽ	2	錢全泉痊挦鉗乾虔前₁
ʨʰiẽ	3	淺遣
ʨʰiẽ	5	歉牽₂欠芡
ʨʰiẽ	6	件旋（白）健（白）
ȵiẽ	1	粘研
ȵiẽ	2	年嚴（文）顏閻言（白）源（白）原（白）燃（白）
ȵiẽ	4	儼輦攆撚碾
ȵiẽ	5	念（文）硯（文）諺驗
ȵiẽ	6	念（白）硯（白）釅日（白：今～）
ɕiẽ	1	鮮₁先仙宣瑄軒掀
ɕiẽ	2	旋（文）旋賢嫌
ɕiẽ	3	選癬鮮₂險顯
ɕiẽ	5	線羨現（文）憲餡
ɕiẽ	6	縣現（白）
iẽ	1	煙胭閹醃焉
iẽ	2	鹽炎筵₁延簷芫言（文）
iẽ	4	演掩（文）
iẽ	5	豔宴焰厭咽
iẽ	6	筵₂（發客～，時音）
kuə̃	1	官棺觀₁冠₁
kuə̃	3	管館
kuə̃	5	貫灌罐觀₂冠₂
kʰuə̃	1	寬
kʰuə̃	2	□（彎曲）
kʰuə̃	3	款
kʰuə̃	5	墈
uə̃	3	碗婉
uə̃	4	婉宛
ɕyẽ	1	喧揎
ɕyẽ	2	玄懸眩椽弦絃
ɕyẽ	5	楦炫
ʨyẽ	1	捐磚涓娟
ʨyẽ	3	捲鬈轉₁
ʨyẽ	5	轉卷券眷絹倦傳₁（文)眷
ʨʰyẽ	1	圈釧川穿
ʨʰyẽ	2	傳₂船蟬顴拳
ʨʰyẽ	3	犬喘舛
ʨʰyẽ	5	傳₁（白）
ʨʰyẽ	6	串勸
yẽ	1	冤淵箢鴛
yẽ	2	元原（文）源（文）園（文）袁緣沿鉛援丸圓垣然燃（文）完（白）
yẽ	4	遠軟阮染
yẽ	5	院怨願（文）
yẽ	6	願（白）
pən	1	畚奔₁崩
pən	3	本□₁（氹氹～～：坑坑窪窪）
pən	5	笨（文）奔₂蹦
pʰən	1	噴（文）烹
pʰən	2	盆湓彭澎
pʰən	3	□₂（氹氹～～：坑坑窪窪）
pʰən	4	拌（白）
pʰən	5	噴₂碰
pʰən	6	笨（白）
mən	1	蚊
mən	2	萌盟門₁
mən	5	悶（文）
mən	6	悶（白）門₂
fən	1	分紛渾芬葷昏婚
fən	2	墳魂餛焚橫（文）
fən	3	粉
fən	4	混
fən	5	奮糞忿憤噴（白）份（文）
fən	6	分₂份（白）
tən	1	敦（文）蹲登燈（文）
tən	3	等（文）戥礅
tən	5	頓盾遁鄧瞪噸敦（白）鈍₁
tʰən	1	腯
tʰən	2	屯鈍豚臀謄囤
tʰən	3	□（打～：停住）
tʰən	6	蹬
lən	2	輪論倫論₁侖能
lən	4	冷（文）
lən	5	論₂嫩（文）
lən	6	嫩（白）
ʦən	1	遵尊樽曾₁僧增爭箏睜
ʦən	3	怎
ʦən	5	贈憎俊浚竣
ʦʰən	1	村撐（文）皴
ʦʰən	2	存
ʦʰən	5	寸襯
sən	1	孫生（文2）甥笙參₂（文）
sən	2	旬詢荀巡循
sən	3	省（文）損筍
sən	5	遜（文）絢滲瘆
tʂən	1	真珍針偵貞臻榛蒸
tʂən	3	診枕整₁（文）
tʂən	5	正₁（文）症證陣（文）震₂振鎮疹鄭政
tʂʰən	1	稱₁抻蟶
tʂʰən	2	陳沉塵臣澄橙型呈誠城成（文）承（文）懲
tʂʰən	5	稱₂趁秤
tʂʰən	6	陣（白）
ʂən	1	身申伸深升勝₁聲（文）
ʂən	2	神晨辰唇乘繩承（白）
ʂən	3	沈審嬸
ʂən	4	甚（白）
ʂən	5	甚（文）勝₁葚聖盛慎腎剩（文）
ʂən	6	剩（白）
kən	1	根（文）跟（文）更₁（文）耕庚（文）羹（文）
kən	3	耿哽（文）
kən	5	更₂
kʰən	1	坑（文）
kʰən	3	肯（文）
ŋən	1	恩
ŋən	6	硬（文）
xən	1	亨
xən	2	痕衡恒
xən	3	很狠（文）
xən	5	恨（文）
pin	1	冰繽濱殯檳兵賓彬
pin	3	餅（文）丙柄稟
pin	5	並₁（文）迸病（文）鬢
pʰin	1	拼姘娉
pʰin	2	貧頻憑平（文）評萍蘋瓶屏
pʰin	3	品並₂
pʰin	5	聘牝
pʰin	6	並₁（白）
min	2	民泯鳴名（文）明（文）銘冥
min	4	敏（白）憫皿抿閩
min	5	命（文）
min	7	敏（文，限於人名）
tin	1	丁釘（文）砧
tin	3	頂鼎
tin	5	釘（文）訂（文）定（文）錠
tʰin	1	汀廳
tʰin	2	停婷亭廷蜓
tʰin	3	挺艇
tʰin	5	聽₁
tʰin	6	定（白1）訂（白1）
lin	1	□（ʨʰia⁴⁴～～：悄悄兒）
lin	2	淋林臨鄰鱗粼磷陵菱淩₁靈鈴零（文）翎
lin	4	領（文）嶺（文）凜檁廩
lin	5	令（文）另（文）
lin	6	令（白）淩₂另（白）
ʨin	1	精（文）睛（文）旌京鯨驚荊經兢津晶斤筋金襟今矜衿
ʨin	3	井（文）緊侭謹景頸（文）警錦
ʨin	5	莖竸徑靖勁竟境鏡敬禁近（文）進晉靜（文）淨（文）盡（文）
ʨʰin	1	親欽侵卿清（文）蜻青（文）
ʨʰin	2	尋情晴（文）秦禽擒芹勤芹擎（文）
ʨʰin	3	欽請（文）寢
ʨʰin	4	近（白）噤
ʨʰin	5	慶罄磬僅浸
ʨʰin	6	盡（白）靜（白）淨（白1）
ȵin	2	寧銀凝吟人（白）
ȵin	4	擰
ȵin	5	佞
ȵin	6	認（白）
ɕin	1	心新薪辛欣馨興₁星（文）
ɕin	2	型形刑行₂
ɕin	3	醒（文）擤
ɕin	4	杏（白）□（蠢）
ɕin	5	幸杏（文）興₂腥（文）性（文）姓迅訊信
in	1	因姻殷音陰蔭₁英鷹鶯嬰櫻纓鸚
in	2	寅繩迎淫贏盈
in	3	隱（白）
in	4	隱（文）引影（文）飲₁穎尹
in	5	印蔭₂映應飲₂
kuən	3	滾袞鯀
kuən	5	棍
kʰuən	1	昆坤鯤焜堃琨傾（文1）
kʰuən	3	捆
kʰuən	5	困睏
uən	1	溫
uən	2	紋文聞雯玟
uən	3	穩
uən	4	吻刎
uən	5	汶問（文）
uən	6	問（白）
ɕyən	1	勳熏薰
ɕyən	3	迥（白）
ɕyən	5	訓馴
ɕyən	7	迥（文，僅限人名）
ʨyən	1	諄
ʨyən	3	准
ʨʰyən	1	春
ʨʰyən	3	蠢
ɕyən	2	純淳醇
ɕyən	3	瞬
ɕyən	5	舜順（文）
ɕyən	6	順（白）
ʨyən	1	軍君均鈞
ʨyən	5	菌（文）窘郡圳
ʨʰyən	1	傾（文2）
ʨʰyən	2	群裙
ʨʰyən	3	頃
ʨʰyən	4	菌（白）肫（鷄～）
yən	1	暈
yən	2	雲勻（文）螢（文）瑩熒縈（文）仁任人（文）壬榮瀠溁
yən	4	允
yən	5	運（文）韻熨刃泳詠潤（文）孕韌仞紉韞慍醞氳蘊
yən	6	潤（白）運（白）閏認（文）
pɑŋ	1	繃（白）浜
pʰɑŋ	2	旁龐螃鳑棚（白）朋（白）
pʰɑŋ	4	閛蚌
pʰɑŋ	7	乓
mɑŋ	1	□（蒙上）
mɑŋ	2	芒茫盲
mɑŋ	4	莽蟒
mɑŋ	5	□（蒙上：三角～：內褲）
mɑŋ	5	帽
fɑŋ	1	芳方荒
fɑŋ	2	黃簧皇凰防妨
fɑŋ	3	仿彷恍
fɑŋ	5	放
tɑŋ	5	蕩（文）
tʰɑŋ	5	趟
ʦɑŋ	1	髒爭（白）
ʦɑŋ	3	早₂
ʦɑŋ	5	葬（文）藏
ʦʰɑŋ	1	撐（白）
ʦʰɑŋ	2	藏
ʦʰɑŋ	5	牚
sɑŋ	1	生（白₁）
sɑŋ	3	省
sɑŋ	5	喪₂
tʂɑŋ	1	朝₃正₁
tʂɑŋ	3	整（白）
tʂɑŋ	5	正₂（白）
tʂʰɑŋ	5	悵
ʂɑŋ	1	聲（白）
ʂɑŋ	2	成（白）嘗償裳常
ʂɑŋ	3	賞
ʂɑŋ	5	尚（文）
kɑŋ	1	更₁（白）
kɑŋ	3	哽港（文）
kɑŋ	5	□（淩～：冰淩）
kʰɑŋ	1	坑（文）慷
kʰɑŋ	3	□（咳嗽）
kʰɑŋ	5	抗炕
ŋɑŋ	1	肮
ŋɑŋ	2	昂
ŋɑŋ	6	硬（白）
xɑŋ	1	夯
xɑŋ	2	行₂杭航
xɑŋ	5	項（白）
piaŋ	3	餅□₁（一～：很多）
pʰiaŋ	2	坪平（白）
pʰiaŋ	3	□₂（一～：很多）
pʰiaŋ	6	病（白）
miaŋ	2	明（白）名（白）
miaŋ	6	命（白）
tiaŋ	1	釘（白1）丁（白）翎（白1，蟬～：蟬）
tiaŋ	5	釘（白2）□（～重个：很重）
tʰiaŋ	2	翎（白2，～胛：翅膀）
tʰiaŋ	3	挺（白）
tʰiaŋ	5	聽₂
tʰiaŋ	6	定（白2）
liaŋ	2	零（白）
liaŋ	4	冷（白）領（白）嶺（白）
ʨiaŋ	1	精（白）睛（白）
ʨiaŋ	3	頸（白）井（白）
ʨiaŋ	5	降₁將₂
ʨʰiaŋ	1	清（白）青（白）輕（白）
ʨʰiaŋ	2	晴（白）擎（白）
ʨʰiaŋ	3	請（白）
ʨʰiaŋ	5	戧₁
ʨʰiaŋ	6	淨（白）
ȵiaŋ	3	□₁（閒逛）
ȵiaŋ	5	□₂（閒逛）
ɕiaŋ	1	星（白）
ɕiaŋ	3	醒（白）
ɕiaŋ	5	性（白）腥（白）
kuɑŋ	1	光
kuɑŋ	3	廣梗（白）
kʰuɑŋ	1	匡傾（白）
kʰuɑŋ	2	狂
kʰuɑŋ	4	哐
kʰuɑŋ	5	曠況礦
uɑŋ	1	汪（文）
uɑŋ	2	橫（白1）王忘亡
uɑŋ	4	往枉網惘
uɑŋ	5	望（文）旺
uɑŋ	6	橫（白2）
ɕyɑŋ	1	雙（文）霜（文）孀閂（文）刪（文）
ʨyɑŋ	1	裝（文）莊（文）妝（文）粧（文）
ʨyɑŋ	5	狀（文）壯（文）撞（文）
ʨʰyɑŋ	1	窗（文）
ʨʰyɑŋ	3	創（文）闖
yɑŋ	1	縈（白）
yɑŋ	2	螢（白）贏（白）
yɑŋ	3	影（白）
yɑŋ	4	壤攘讓（文）
pɑŋ	1	幫梆邦
pɑŋ	3	綁榜
pɑŋ	5	棒
pʰɑŋ	5	胖
pʰɑŋ	6	塝傍
mɑŋ	2	忙
tɑŋ	1	當₁
tɑŋ	3	擋₁檔₁黨
tɑŋ	5	當₂檔₂
tʰɑŋ	1	湯
tʰɑŋ	2	糖唐塘溏堂螳搪
tʰɑŋ	3	擋₂
tʰɑŋ	4	蕩（白1）
tʰɑŋ	5	燙盪
tʰɑŋ	6	蕩（白2）
lɑŋ	2	郎囊狼
lɑŋ	4	□（搖晃）
lɑŋ	5	浪（文）
lɑŋ	6	浪（白）
ʦɑŋ	1	樁贓妝（白）粧（白）
ʦɑŋ	5	壯（白）葬（白）
ʦʰɑŋ	1	倉蒼瘡窗（白）
ʦʰɑŋ	2	床
ʦʰɑŋ	3	創（白）
ʦʰɑŋ	4	撞（白）
ʦʰɑŋ	6	狀（白）
sɑŋ	1	雙（白）霜（白）喪₁桑
sɑŋ	3	爽嗓搡顙磉
sɑŋ	5	喪₂
tʂɑŋ	1	張章樟彰裝（白）薑
tʂɑŋ	3	長₁漲
tʂɑŋ	5	脹瘴
tʂʰɑŋ	1	倡昌猖框
tʂʰɑŋ	2	長₂場腸
tʂʰɑŋ	3	廠敞
tʂʰɑŋ	4	丈
tʂʰɑŋ	5	唱暢
ʂɑŋ	1	商傷
ʂɑŋ	2	償
ʂɑŋ	4	上₁
ʂɑŋ	5	上₂（最～庵：雙江廟名）
ʂɑŋ	6	上₃尚（白）
kɑŋ	1	鋼缸港（白，社～：瀏陽鎮名）江（白，平～，双～口：平江地名）
kɑŋ	3	講
kɑŋ	5	虹（白）絳（～色）
kʰɑŋ	1	康糠匡
kʰɑŋ	2	□（彎曲)
kʰɑŋ	4	□（狗叫：外孫狗，吃著～～走（童謠）)
kʰɑŋ	5	炕（白）
xɑŋ	1	方荒坊
xɑŋ	2	房
xɑŋ	4	巷₁（～子）
xɑŋ	5	放
xɑŋ	6	巷₂（～口：地名，在金井鎮王梓園村）
liɑŋ	2	糧涼梁粱樑量
liɑŋ	4	兩
liɑŋ	5	量（文）
liɑŋ	6	諒亮量（白）
ʨiɑŋ	1	將₁江（文）
ʨiɑŋ	3	講奬槳
ʨiɑŋ	5	醬將₂匠（文）絳（～色）
ʨʰiɑŋ	1	槍腔疆羌韁
ʨʰiɑŋ	2	牆強翔詳祥
ʨʰiɑŋ	3	搶
ʨʰiɑŋ	4	像
ʨʰiɑŋ	5	戧₂
ʨʰiɑŋ	6	匠（白）
ȵiɑŋ	2	娘
ȵiɑŋ	6	釀讓（白）
ɕiɑŋ	1	香湘（白）相₁廂鄉（白）
ɕiɑŋ	2	降
ɕiɑŋ	3	響想
ɕiɑŋ	5	向相₂
iɑŋ	1	秧殃鴦
iɑŋ	2	洋羊陽（白）楊
iɑŋ	4	養癢
iɑŋ	5	樣（文）漾恙
iɑŋ	6	樣（白）
pən	1	繃（文）
pən	5	蹦
pən	7	□（象聲詞）
pʰən	2	棚（文）朋（文）蓬鵬
pʰən	3	捧
pʰən	5	碰
mən	1	蒙₁
mən	2	蒙₂
mən	4	猛懵
mən	5	夢（文）孟
mən	6	夢（白）
tən	1	冬東
tən	3	董懂抍
tən	5	棟凍動（文）洞（文）
tʰən	1	通
tʰən	2	同筒桐銅童瞳
tʰən	3	桶統捅
tʰən	4	動（白）
tʰən	5	痛
tʰən	6	洞（白）
lən	1	聾
lən	2	龍籠隆農膿儂穠濃
lən	3	□（蘸)
lən	4	攏壟隴
lən	5	怒弄
ʦən	1	棕₁蹤淙宗鬃
ʦən	3	總
ʦən	5	棕₂縱皺（白）
ʦʰən	1	聰驄匆蔥從
ʦʰən	2	從松（白）崇
ʦʰən	3	□（推）
sən	1	松（文）嵩鬆
sən	2	慫
sən	3	聳
sən	5	送誦頌宋
tʂən	1	中₁終忠種盅
tʂən	3	腫種₁塚
tʂən	5	仲中₂重₁（文）種₂
tʂʰən	1	充沖₁舂囪
tʂʰən	2	蟲重₂
tʂʰən	3	寵
tʂʰən	4	重₁（白）
tʂʰən	5	沖₂
kən	1	公₁工攻功弓躬恭供宮
kən	3	鞏拱汞
kən	4	公₂
kən	5	供貢共（文）公₃羾
kʰən	1	空₁
kʰən	3	恐孔
kʰən	4	□（攪）
kʰən	5	控空₂
kʰən	6	共（白）
xən	1	轟烘豐風瘋楓封峰鋒蜂
xən	2	紅洪宏泓弘虹（文）鴻馮逢縫₁
xən	3	哄諷
xən	5	俸奉（文）鳳（文）
xən	6	鳳（白）縫蕻奉（白）
ən	1	翁
ən	5	蓊甕
ʨʰin	2	穹窮
ɕin	1	胸匈凶兄洶
ɕin	2	熊雄鱅
ɕin	5	嗅（白）
in	1	雍
in	2	戎絨融茸容溶庸
in	4	勇冗甬湧擁
in	5	用（文）
in	6	用（白）
m̩	1	姆（～媽）
n̩	3	毋
n̩	4	爾₂
