字	注释	南宁老口	南宁万秀	武鸣府城	
屜	抽屜	tʰɐi24	tɐi21		
題		tɐi31	tɐi21	tɐi31	
提		tɐi31	tɐi21	tɐi31	
蹄		tɐi31	tɐi21	tɐi31	
啼		tɐi31	tɐi21	tɐi31	
弟		tɐi223	tɐi21	tɐi31	
第		tɐi223	tɐi21	tɐi22	
遞		tɐi223	tɐi21	tɐi22	
泥		nɐi31	nɐi21	nɐi31	
犂		lɐi31	lɐi21	lɐi31	
黎		lɐi31	lɐi21	lɐi31	
禮		lɐi21	lɐi13	lɐi21	
麗	美麗	lɐi223	lɐi21	lɐi22	
棣		tɐi223	tɐi21	tɐi22	
擠		tʃɐi33	tsɛ55	tsɐi33	
濟		tʃɐi24	tsɐi55	tsɐi35	
妻		tʃʰɐi55	tsʰɐi42	tsʰɐi55	
砌		tʃʰɐi24	tsʰɐi55		
齊		tʃɐi31	tsɐi21	tsɐi31	
臍		tʃɐi31	tsɐi21	tsɐi31	
薺		tʃɐi31		tsɐi31	
劑	一劑藥	tʃɐi55	tsɐi55	tsɐi35	
西		ɬɐi55	ɬɐi42	ɬɐi55	
棲		tʃʰɐi55	tsʰɐi42		
犀		ɬɐi55	ɬɐi42	ɬɐi55	
洗		ɬɐi33	ɬɐi33	ɬɐi33	
細		ɬɐi24	ɬɐi55	ɬɐi35	
婿	女婿	ɬɐi24	ɬɐi55	ɬɐi35	
鷄		kɐi55	kɐi42	kɐi55	
稽		kʰɐi55	kʰɐi42	kɐi55	
計		kɐi24	kɐi55	koi35	
繼		koi24	kɐi55	koi35	
繫	繫鞋帶	hoi24	kʰɐi55	hoi35	
髻		kɐi24	kɐi55	hoi35	
溪		kʰɐi55	kʰɐi42	hoi35	
啓		hoi33	kʰɐi33	hoi33	
契	契約	kɐi24	kʰɐi55	hoi35	
倪		ɲi31	ni21	ȵi31	
奚		kʰɐi55	kɐi42	hoi55	
兮		hi55	hi21	hoi55	
系	系統	hoi24	hɐi21	hoi35	
繫	連繫	hoi24	hɐi21	hoi35	
係	是	hoi24	hɐi21	hoi35	
縊		ʔəkʰ33			
瞖	目瞖				
杯		pɔi55	poi42	pɔi55	
輩		pɔi24	poi55	pɔi35	
背	背誦	pɔi24	poi55	pɔi35	
胚	胚胎	pʰoi55	pʰoi42	pɔi55	
坯	土坯		pʰoi42	pɔi55	
配		pʰɔi24	pʰoi55	pɔi35	
培		pɔi31	poi21	pɔi31	
陪		pɔi31	poi21	pɔi31	
賠		pɔi31	poi21	pɔi31	
裴		pɔi31	poi21	pɔi31	
倍		pɔi21	poi13	pɔi21	
佩		pʰɔi24	pʰoi55	pʰoi35	
背	背誦	pɔi24	poi55	pɔi35	
焙	焙乾	pɔi21	poi21		
梅		mɔi31	moi21	mɔi31	
枚		mɔi31	moi21	mɔi31	
媒		mɔi31	moi21	mɔi31	
煤		mɔi31	moi21	mɔi31	
每		mɔi21	moi13	mɔi21	
妹		mɔi223	moi21	mɔi22	
昧		mɔi223	mui21		
堆		tɔi55	toi42	tɔi55	
對		tɔi24	toi55	tɔi35	
碓		tɔi24	toi55	tɔi35	
推		tʰɔi55	tʰoi42	tɔi55	
腿		tʰɔi33	tʰui33	tɔi33	
退		tʰɔi24	tʰui55	tɔi35	
隊		tɔi223	toi21	tɔi22	
内		nɔi223	noi21	nɔi22	
雷		lɔi31	loi21	lɔi31	
儡	傀儡	luəi31	lui13	lui21	
累	極睏	luəi21	lui21	lui22	
催		tʃʰɔi55	tsʰoi42	tsʰɔi55	
崔	姓	tʃʰɔi55	tsʰoi42	tsʰɔi55	
罪		tʃɔi223	tsoi33	tsɔi22	
碎		ɬɔi24	ɬoi55	ɬɔi35	
盔		fɔi55	hoi42	wɔi55	
魁		kʰuəi55	kʰui42	kui55	
恢		hɔi55	hoi42	hɔi55	
傀	傀儡	kuəi33	kui33	kui33	
塊		wai24	wai55	wai35	
桅	船桅杆	wəi31	ʔui21	woi31	
灰		hɔi55	hoi42	hɔi55	
賄		jou24	fi33	woi33	
悔		hɔi33	fi33	woi33	
晦		mɔi21	moi21		
回		hɔi31	ʔui21	hɔi31	
茴	茴香	hɔi31	ʔui21	hɔi31	
匯		hɔi223	hoi21	hɔi22	
潰	潰膿	kʰuəi24	kʰui55	kʰui35	
煨		ʔɔi55	ʔoi42	ʔɔi55	
蜕		tʰɔi24	toi21	tɔi22	
兑		tɔi223	toi21	tɔi22	
最		tʃuəi24	tsui55	tsui35	
會	會計	hɔi223	ʔui21	hɔi22	
會	會計			kʰuai35	
劊		kʰuai33	kʰuai55	kʰuai35	
檜	喬木名，秦檜	kʰuai24	kʰuai55	kʰuai35	
外		wai223	wai21	wai22	
會	會議	hɔi223	ʔui21	hɔi22	
會	會不會	hɔi223	ʔui21	hɔi22	
繪		hɔi223	ʔui21	hɔi22	
乖		kuai55	kuai42	kuai55	
怪		kuai24	kuai55	kuai33	
蒯		kʰuai24	kʰuai33		
塊		wai24	wai55	wai35	
懷		wai31	wai21	wai31	
槐		wai31	wai21	wai31	
淮		wai31	wai21	wai31	
壞		wai223	wai21	wai22	
柺		kuai33	kʰuai33	kuai33	
掛		kua24	kua55	kua35	
卦		kua24	kua55	kua35	
歪		wai55	wai42	wai55	
畫	名詞，動詞	wa223	wak22	wa22	
畫	名詞，動詞			wai22	
蛙		kʰua55	wa42	wa55	
快		wai24	wai55	wai35	
筷		kʰuai24	kʰuai55	kʰuai35	
話		wa223	wa21	wa22	
脆		tʃʰuəi24	tsʰui55	tsʰui35	
歲		ɬuəi24	ɬui55	ɬui35	
綴	點綴	tʃutʰ22	tsui55	tsit33	
贅		tʃuəi223	tsui55	tsui35	
税		ʃuəi24	sui55	sui35	
芮	姓	nɔi223			
鱖		kuəi24			
衛		wəi223	ʔui21	woi22	
鋭		juəi223	jyui55	jyui35	
廢		foi24	fi55	foi35	
肺		foi24	fi55	foi35	
吠		foi223	fi21	foi22	
穢		kɐu24	ɬui55	woi22	
圭		kuəi31	kui42	kui31	
閨		kuəi31	kui42	kui31	
桂		kuəi24	kui55	kui35	
奎		kuəi31	kui21	kui31	
携		kuəi31	kui21	kui31	
畦	菜畦	kuəi31	kui21	kui31	
惠		wəi223	ʔui21	woi22	
慧		wəi24	ʔui55	woi22	
碑		poi55	pɐi42	poi55	
卑		poi55	pɐi42	poi55	
彼		pʰoi33	pʰi33	pʰoi33	
俾		pʰoi33	pi42	poi31	
臂		poi24	pi55	poi35	
披		pʰoi55	pʰi42	pʰoi55	
譬	譬喻	poi24	pi33	poi33	
皮		poi31	pi21	poi31	
疲		poi31	pʰi42	poi31	
脾		poi31	pi21	poi31	
被	被子	poi21	pi13	poi21	
婢		poi223	pi21	poi22	
被	被打	poi223	pi21	poi22	
避		poi223	pi21	poi22	
糜	糜子	moi31			
糜	粥	moi31			
彌		moi31	mi21	moi31	
䉲		moi31			
靡		foi24	mi21		
離	離別	loi31	li21	loi31	
籬		loi31	li21	loi31	
璃	玻璃	loi31	li21	loi31	
荔	荔支	lɐi223	lɐi21	lɐi22	
離	離開半寸	loi31	li21	loi31	
紫		tʃʰi33	tsi33	tsʰi33	
雌		tʃʰi55	tsʰi42	tsʰi55	
此		tʃʰi33	tsʰi33	tsʰi33	
刺		tʃʰi24	tsʰi55	tsʰi35	
疵	吹毛求疵	tʃʰi55	tsʰi21	tsʰi31	
斯		ɬoi55	ɬi42	ɬoi55	
廝		ɬoi55	ɬi42	ɬoi55	
撕		ɬoi55	ɬi42	ɬoi55	
璽		ɬai33	ɬɐi33		
徙		ɬai33	ɬɐi33	ɬi33	
賜		tʃʰi24	tsʰi55	tsʰi35	
知		tʃi55	tsi42	tsi55	
蜘	蜘蛛	tʃi55	tsi42	tsi55	
智		tʃi24	tsi55	tsi35	
池		tʃi31	tsi21	tsi31	
馳		tʃi31	tsi21	tsi31	
差	參差	tʃʰa55	tsʰa42	tsʰa55	
篩	篩子	ʃai55	sai42	sai55	
支		tʃi55	tsi42	tsi55	
枝		tʃi55	tsi42	tsi55	
肢		tʃi55	tsi42	tsi55	
梔	梔子花		tsi42	tsi55	
紙		tʃi33	tsi33	tsi33	
只	只有	tʃi33	tsi33	tsi55	
眵	眼眵				
侈	奢侈	tʃʰi33	tsʰi33	si33	
舐	以舌取物				
施		ʃi55	si42	si55	
豕		ʃi21			
翅		tʃʰi24	tsʰi55	tsʰɛ321	
匙	湯匙，鑰匙	ʃi31	si21	si31	
是		ʃi223	si21	si22	
氏		ʃi223	si21	si22	
豉		ʃi223	si21		
兒		ɲi31	ni21	ni31	
爾		lə21	ȵi13	lə21	
寄		koi24	ki55	koi35	
企		koi21	kʰi33	koi22	
奇		ki31	ki21	ki31	
騎		koi31	ki21	koi31	
岐		ki31	ki21	ki31	
徛	立	koi21	ki13	koi21	
技		koi223	ki21	koi35	
妓		koi223	ki21	koi35	
宜		ni31	ni21	ni31	
儀		ɲi31	ȵi21	ni31	
蟻		ɲi21	ŋɐi13	ni21	
誼		ni31	ni21	ȵi31	
義		ɲi223	ȵi21	ni22	
議		ɲi21	ȵi13	ni22	
犧		hoi55	hi42	hoi55	
戲		hoi24	hi55	hoi35	
倚		ʔoi33	ʔi42	ʔoi55	
椅		ʔoi33	ʔi42	ʔoi33	
移		hoi31	ʔi21	hi31	
易	難易	hoi223	ʔi21	hoi22	
悲		poi55	pɐi42	poi55	
鄙		pʰoi33	pi33	pʰoi55	
比	比較	poi33	pi33	poi33	
秕	秕子	poi33			
祕		poi24	mi55	moi35	
泌		poi24	mi55	moi35	
辔		poi24			
庇		poi24	pi55	poi35	
痹	麻痹	poi24	pi55	poi35	
丕		pʰoi55	pʰi42		
屁		pʰoi24	pi55	pʰoi35	
琵	琵琶	poi31	pi21	poi31	
枇	枇杷	poi31	pi21	poi31	
備		poi223	pi21	poi22	
鼻		pɐt32	pɐt13	pɐt22	
篦		pɐi223	pɐi21	pɐi22	
眉		moi31	mi21	moi31	
楣		moi31	mi21	moi31	
黴		mɔi31	mi21	mɔi31	
美		moi21	mɐi13	moi21	
媚		moi31	mi21	moi31	
寐		moi21	mi21		
地		toi223	ti21	toi22	
尼		nɐi31	ni21	nɐi31	
膩		ni223	ni21	ni22	
梨		loi31	li21	loi31	
履		loi21		loi21	
利		loi223	li21	loi22	
痢		loi223	li21	loi22	
資		tʃi55	tsi42	tsi55	
姿		tʃi55	tsi42	tsi55	
咨		tʃi55	tsi42	tsi55	
姊		tʃe33	tsɛ33	tsɛ33	
次		tʃʰi24	tsʰi55	tsʰi35	
瓷	瓷器	tʃi31	tsi21	tsi31	
餈	餈巴	tʃi31	tsi21	tsi31	
自		tʃi223	tsi21	tsi22	
私		ɬoi55	ɬi21	ɬoi55	
死		ɬoi33	ɬi33	ɬoi33	
四		ɬoi24	ɬi55	ɬoi35	
肆		ɬoi24	ɬi55	soi35	
致		tʃi24	tsi55	tsi35	
遲		tʃi31	tsi21	tsi31	
雉	雉雞	tʃi223	tsi21	tsi22	
稚	幼稚	tʃi24	tsi55	tsi35	
師		ʃɐi55	sɐi42	sɐi55	
獅		ʃɐi55	sɐi42	sɐi55	
脂		tʃi55	tsi42	tsi55	
旨		tʃi33	tsi33	tsi33	
指		tʃi33	tsi33	tsi33	
至		tʃi223	tsi55	tsi35	
示		ʃi223	si55	si21	
尸	尸體	ʃi55	si42	si55	
屍	空位	ʃi55	si42	si55	
矢		tʃi24	si33		
屎		ʃi33	si33	si33	
視		ʃi55	si21	si21	
嗜		ʃi55	si55	si22	
二		ɲi223	ȵi21	ni22	
貳	貳心，大寫二	ɲi223	ȵi21	ni22	
饑		koi55	ki42	koi55	
肌		koi55	ki42	koi55	
几	茶几	koi33	ki33	koi33	
冀		ʔi24	kʰi55	hoi35	
器		hoi24	hi55	hoi35	
棄		hoi24	hi55	hoi35	
祁		ki31	ki21	ki31	
鰭		ki31	ki21	ki31	
伊		ʔoi55	ʔi42		
夷		ʔoi31	ʔi21	hi31	
姨		hoi31	ʔi21	hoi31	
肄	肄業	ʔi24	ʔi55	ʔi35	
你		noi21	ni13	noi21	
釐		loi31	li21	loi31	
狸		loi31	li21	loi31	
李		loi21	li13	loi21	
里		loi21	li13	loi21	
裏	裏外	loi21	li13	loi21	
理		loi21	li13	loi21	
鯉		loi21	li13	loi21	
吏		loi223	lɐi21	loi22	
兹		tʃi55	tsi42	tsi31	
滋		tʃi55	tsi42	tsi31	
子		tʃi33	tsi33	tsi33	
梓		tʃi33	tsi33	tsi33	
慈		tʃi31	tsi21	tsi31	
磁	磁石	tʃi31	tsi21	tsi31	
字		tʃi223	tsi21	tsi22	
牸	牸牛			tsi22	
司		ɬoi55	ɬi42	ɬoi55	
絲		ɬoi55	ɬi42	ɬoi55	
思	思念	ɬoi55	ɬi42	ɬoi55	
伺		tʃi31	tsʰi55	ɬoi55	
思	意思	ɬoi55	ɬi42	ɬoi55	
辭		tʃi31	tsi21	tsi31	
詞		tʃi31	tsi21	tsi31	
祠		tʃi31	tsi21	tsi31	
似		tʃʰi31	tsʰi55	tsʰi35	
祀	祭祀	tʃi223	tsi55	tsi35	
巳	辰巳	tʃi223	tsi55	tsi22	
寺		tʃi24	tsi21	tsi22	
嗣		tʃi31	tsi21	tsi31	
飼		tʃi31	tsi21	tsi31	
置		tʃi24	tsi55	tsoi35	
癡		tʃʰi55	tsʰi42	tsʰi55	
耻		tʃʰi33	tsʰi33	tsʰi33	
持		tʃi31	tsi21	tsi31	
痔		tʃi223	tsi21	tsi35	
治		tʃi223	tsi21	tsi22	
輜	輜重	tʃi55			
滓		tʃai33		tsai33	
厠	厠所	tʃʰɐk33	tsʰɐk33	tsʰi35	
士		ʃɐi223	sɐi21	sɐi22	
仕		ʃɐi223	sɐi21	sɐi22	
柿		ʃɐi223	sɐi21	sɐi22	
俟			sɐi21		
事		ʃɐi223	sɐi21	sɐi22	
使		ʃɐi33	sɐi33	sɐi33	
史		ʃɐi55	sɐi33	sɐi35	
駛		ʃɐi55	sɐi33	sɐi35	
之		tʃi55	tsi42	tsi55	
芝		tʃi55	tsi42	tsi55	
止		tʃi33	tsi33	tsi33	
趾		tʃi33	tsi33	tsi33	
址		tʃi33	tsi33	tsi33	
志	志向	tʃi24	tsi55	tsi35	
誌	雜誌	tʃi24	tsi55	tsi35	
痣		tʃi24	tsi55	tsi35	
嗤	嗤笑	tʃi55	tsʰi42	tsʰi55	
齒		tʃʰi33	tsʰi33	tsʰi33	
詩		ʃi55	si42	si55	
始		ʃi21	si33	si21	
試		ʃi24	si13	si35	
時		ʃi31	si21	si31	
鰣			si21		
市		ʃi21	si13	si21	
恃		ʃi21	tsʰi55	si21	
侍		tʃi223	tsʰi55		
而		lə31	ʔi21	lə31	
耳		ɲi21	ȵi13	ni21	
餌		ɲi21	ȵi13	ȵi21	
基		koi55	ki42	kʰoi55	
己		koi33	ki33	koi33	
紀	紀律，世紀	koi33	ki33	koi33	
記		koi24	ki55	koi35	
欺		hoi55	hi42	hoi55	
起		hoi33	hi33	hoi33	
杞		koi33	kʰi33	koi33	
其		ki31	ki21	ki31	
棋		ki31	ki21	ki31	
期	時期	ki31	ki21	ki31	
旗		ki31	ki21	ki31	
忌		koi223	ki21	koi22	
疑		ni31	ni21	ŋi31	
擬		ni21	ni13	ȵi21	
嬉		hoi55	hi42	hoi55	
熙		hoi55	hi42	hoi55	
喜		hoi33	hi33	hoi33	
蟢	蟢子				
醫		ʔoi55	ʔi42	ʔoi55	
意		ʔoi24	ʔi55	ʔoi35	
矣		ʔi21	ʔi13	hi21	
飴	高梁飴	hoi31	ʔi21		
已		ʔi21	ʔi13	ʔi21	
以		ʔi21	ʔi13	hi21	
異		ʔi24	ʔi55	ʔi35	
幾	幾乎	koi55	ki33	koi33	
機		koi55	ki42	koi55	
譏		koi55	ki42	koi55	
饑	饑荒	koi55	ki42	koi55	
幾	幾個	koi33	ki33	koi33	
既		koi24	ki55	koi35	
豈		hoi33	ki33	hoi33	
氣		hoi24	ki55	hoi35	
汽		hoi24	ki55	hoi35	
祈		ki31	ki21	ki31	
沂	沂河	kɐn31			
毅		ŋɐi223	ŋɐi21	ŋɐi22	
希		hoi55	hi42	hoi55	
稀		hoi55	hi42	hoi55	
衣		ʔoi55	ʔi42	ʔoi55	
依		ʔoi55	ʔi42	ʔoi55	
累	累積	luəi21	lui13	lui22	
累	勞累	luəi223	lui21	lui22	
嘴		tʃuəi33	tsui33	tsui33	
髓		ʃuəi223	tsui21	tsui31	
隨		tʃuəi31	sui21	tsui31	
揣	揣度	tʃʰuəi33			
吹		tʃʰuəi55	tsʰui42	tsʰui55	
炊		tʃʰuəi55	tsoi42	tsʰui55	
垂		ʃuəi31	sui21	sui31	
睡		ʃuəi223	sui21	sui22	
瑞		ʃuəi223	sui21	ɬui22	
蕊		ɲiuəi21	jyui13		
規		kʰuəi55	kʰui42	kʰui55	
詭		kuɐi33	kui33	kui33	
虧		kʰuəi55	kʰui42	kʰui55	
窺		kʰuəi55	kʰui42	kʰui55	
跪		kuəi223	kui21	kui22	
危		wɐi31	ŋɐi21	woi31	
僞		wɐi223	ŋɐi21	wɐi22	
麾			wɐi42		
毁		wəi33	wɐi33	woi33	
萎	氣萎	wəi33	wɐi33	woi55	
委		wəi33	wɐi33	woi33	
餵		wəi24	ʔui55	ʔui55	
爲	作為	wəi31	ʔui21	woi22	
爲	為什麽	wəi223	ʔui21	woi22	
壘		luəi21	lui13	lui33	
類		luəi223	lui21	lui22	
淚		luəi223	lui21	lui22	
醉		tʃuəi24	tsui55	tsui35	
翠		tʃʰuəi24	tsʰui55	tsʰui35	
雖		ɬə55	ɬui42	ɬoi55	
綏		ɬə55	ɬui42	ɬoi55	
粹	純粹	tʃʰuəi24	tsʰui55	tsʰui35	
遂		ɬuəi24	sui21	ɬoi35	
隧	隧道	ɬuəi24	sui21	ɬoi35	
穗		ɬuəi24	sui21	tsʰui35	
追		tʃuəi55	tsui42	tsui55	
槌		tʃuəi31	tsui21	tsui31	
錘		tʃuəi31	tsui21	tsui31	
墜	與墮異	tʃuəi223	tsui21		
衰		ʃai55	sui42	sai55	
摔		ʃai55		sai55	
帥		ʃuəi24	sui55	sai35	
錐		tʃuəi24	tsui42	tsui55	
水		ʃuəi33	sui33	sui33	
誰		ʃuəi31	sui21	sui31	
龜		kuəi55	kui42	kui55	
軌		kuəi33	kui33	kui33	
癸		kuəi24	kui55	kui55	
愧		kʰuəi24	kʰui55	kʰui35	
季		koi24		koi35	
逵		kuəi31	kui21	kui31	
葵		kuəi31	kui21	kui31	
櫃		kuəi223	kui21	kui22	
位		wəi223	ʔui21	woi22	
維		wəi31	ʔui21	woi22	
惟		wəi31	ʔui21	woi22	
遺		hoi31		hoi31	
遺			ʔi21	hi21	
唯		wəi31	ʔui21	woi31	
非		foi55	fi42	foi55	
飛		foi55	fi42	foi55	
匪		foi33	fi33	foi33	
榧	榧子				
疿	疿子	foi24	fi55	foi35	
妃		foi55	fi42	foi55	
費	費用	foi24	fi55	foi35	
肥		foi31	fi21	foi31	
翡	翡翠	foi55	fi42	foi35	
微		foi31	mi21	foi31	
尾		moi21	mi13	moi21	
未		moi223	mi21	moi22	
味		moi223	mi21	moi22	
歸		kuəi55	kui42	kui55	
歸		kʰoi33			
鬼		kuəi33	kui33	kui33	
貴		kuəi33	kui55	kui35	
魏		wɐi223	ʔui21	woi22	
揮		kʰuəi55	wɐi42	woi55	
輝		kʰuəi55	wɐi42	woi55	
徽		foi55	hoi42	woi55	
諱			ʔui33	woi33	
威		wəi55	wɐi42	woi55	
畏		wəi24	ʔui55	woi22	
慰		wəi24	ʔui55	woi22	
違		wəi33	ʔui21	woi31	
圍		wəi31	ʔui21	woi31	
偉		wəi33	ʔui33	woi33	
葦	蘆葦	wəi21	ʔui21	woi31	
緯		wəi24	ʔui33	woi33	
胃		wəi223	ʔui21	wɔiɔi22	
謂		wəi223	ʔui21	wɔiɔi22	
蝟		wəi223	ʔui21	wɔiɔi22	
彙		hɔi223	ʔui21	woi22	
褒	褒獎	pau33	pau42	pau55	
保		pau33	pau33	pau33	
堡		pau33	pau33	pau33	
寶		pau33	pau33	pau33	
報		pau24	pau55	pau35	
袍		pau31	pau21	pau31	
抱		pau21	pau13	pau21	
暴		pau223	pau21	pau35	
菢	菢小雞	pau223	pau21	pau22	
毛		mau31	mau21	mau31	
冒		mau223	mau21	mau22	
帽		mau223	mau21	mau22	
刀		tau55	tau42	tau55	
叨	嘮叨	tʰau55	tau42	tau55	
禱		tau31	tau21	tʰau33	
島		tau33	tau33	tau33	
倒	打倒	tau33	tau33	tau33	
到		tau24	tau55	tau35	
倒	倒水	tau33	tau33	tau33	
滔		tʰau55	tʰu42	tʰau33	
掏	掏出來	tau31	tau21	tʰau33	
討		tʰau33	tʰu33	tʰau33	
套		tʰau24	tʰu55	tʰau35	
桃		tau31	tau21	tau31	
逃		tau31	tau21	tau31	
淘	淘米	tau31	tau21	tau31	
陶		tau31	tau21	tau31	
萄		tau31	tau21	tau31	
濤		tau31	tau21	tau31	
道		tau223	tau21	tau22	
稻		tau223	tau21	tau22	
盗		tau223	tau21	tau22	
導		tau223	tau21	tau22	
腦		nau21	nau13	nau21	
惱		nau21	nau13	nau21	
惱		nɐu55			
勞		lau31	lau21	lau31	
撈	撈錢，打撈	lau31	lau21	lau31	
牢		lau31	lau21	lau31	
嘮	嘮叨	lau31	lau21	lau31	
老		lau21	lau13	lau21	
澇	旱澇	lau31	lau13	lau22	
遭		tʃau55	tsau42	tsau31	
糟		tʃau55	tsau42	tsau31	
早		tʃau33	tsau33	tsau33	
棗		tʃau33	tsau33	tsau33	
蚤		tʃau33	tsau33	tsau33	
澡		tʃau33	tsau33	tsʰau55	
躁		tʃʰau24	tsʰau55	tsʰau35	
竈		tʃau24	tsau55	tsau35	
操	操作	tʃʰau55	tsʰau42	tsʰau55	
草		tʃʰau33	tsʰau33	tsʰau33	
騲					
糙	粗糙	tʃʰau24	tsʰau55	tsʰau35	
曹		tʃau31	tsau21	tsau31	
槽		tʃau31	tsau21	tsau31	
皂		tʃau223	tsau21	tsʰau35	
造	建造	tʃau223	tsau21	tsau22	
騷		ɬau55	ɬau42	tsʰɐu55	
臊	臊氣	ɬau55	ɬau42	tsʰɐu55	
掃	掃地	ɬau24	ɬau55	ɬau35	
嫂		ɬau33	ɬau33	ɬau33	
掃	掃帚	ɬau24	ɬau55	ɬau35	
高		kau55	kau42	kau55	
膏		kau55	kau42	kau55	
篙	進船竿	kau55	kau42	kau55	
羔		kau55	kau42	kau55	
糕		kau55	kau42	kau55	
稿		kau33	kau33	kau33	
告		kau24	kau55	kau35	
膏	膏油	kau55	kau42	kau55	
考		kʰau33	kʰu33	kʰau33	
烤		kʰau33	kʰu33	kʰau33	
靠		kʰau24	kʰu55	kʰau35	
犒			kʰu55	kʰau35	
熬		ŋau31	ŋau21	ŋau31	
傲		ŋau223	ŋau21	ŋau22	
鏊	烙餅用具				
蒿	蓬蒿	hau55		kau55	
薅	除田草	hau55			
好	好壞	hau33	hau33	hau33	
好	喜好	hau24	hau55	hau35	
耗		hau24	hau55	hau35	
豪		hau31	hau21	hau31	
壕		hau31	hau21	hau31	
毫		hau31	hau21	hau31	
號	呼號	hau223	hau21	hau22	
浩		hau223	hau21	hau22	
號	號數	hau223	hau21	hau22	
爊	爊白菜				
襖		ŋau24	ŋau33	ʔau35	
懊	懊惱	ŋau24	ʔau33	ʔau35	
奥		ŋau24	ʔau55	ʔau35	
懊	懊悔	ŋau24	ʔau55	ʔau35	
包		pau55	pau42	pau55	
胞		pau55	pau42	pau55	
飽		pau33	pau33	pau33	
豹		pau24	pau55	pau35	
爆		pʰau24	pau55	pau35	
泡		pʰau24	pʰu55	pau35	
抛		pʰau55	pʰu42	pʰau33	
炮	槍炮	pʰau24	pʰu55	pʰau35	
泡	泡水裏	pʰau24	pʰu55	pʰau35	
跑		pʰau55	pʰu33	pʰau33	
刨		pau31	pau21	pau31	
麅					
鮑	姓，鮑魚	pau21	pau33	pau55	
鉋		pau223	pau21	pau22	
茅		mau31	mau21	mau31	
貓		meu24	meu55	meu35	
錨		nau31	mau21		
卯		mau21	mau13	mau21	
貌		mau223	mau21	mau22	
鐃			nau21		
撓		nau31	nau21	niu31	
鬧		nau223	nau21	nau22	
罩		tʃau24	tsai21	tsau35	
櫂	槳				
抓		tʃa55	tsa42	tsa55	
爪	爪牙	tʃau33	tsau33	tsau33	
找		tʃau33	tsau33	tsau33	
笊	笊籬				
抄	抄寫	tʃʰau55	tsʰau42	tsʰau55	
鈔	鑼鈔	tʃʰau55	tsʰau42	tsʰau55	
炒		tʃʰau33	tsʰau33	tsʰau33	
吵		tʃʰau33	tsʰau33	tsʰau33	
巢		tʃau31	tsau21	tsau31	
梢	樹梢	ɬiu55	sau42	ɬiu55	
捎	捎帶	ɬiu55	sau42	ɬiu55	
稍		ɬiu55	sau42	ɬiu55	
潲	豬食	ʃau24	sau55	sau35	
潲	潲雨	kau55	sau55		
交		kau55	kau42	kau55	
郊		kau55	kau42	kau55	
膠		kau55	kau42	kau55	
教	教書	kau24	kau55	kau35	
絞		kau33	kau33	kau33	
狡		kau55	kau33	kau33	
鉸			kau33	kau33	
攪		kau33	kau33	kau33	
搞		kau33	kau33	kau33	
教	教書	kau24	kau55	kau35	
校	校對	kau24	kau55	kau35	
較		kau24	kau55	kau35	
酵		hau24	hau55	hau35	
窖		kau24	kau55	kau35	
覺	睡覺	kau24	kau55	kau35	
敲		hau55	hau42	hau35	
敲				kʰau33	
巧		kʰiu33	kʰiu33	kʰiu33	
咬		ɲiau21	ȵiau33	ȵiau21	
孝		hau24	hau55	hau35	
肴		ŋau31	ŋau21	ŋau31	
淆		ŋau31	ŋau21	ŋau31	
效		hau24	hau21	hau35	
校	學校	kau24	kau55	kau35	
校	上校	hau24	hau21	kau35	
坳	山坳	ʔau24	ʔau33	ʔau55	
靿	靴靿				
臕	肥臕	piu55	piu42		
標		piu55	piu42	piu55	
表		piu33	piu33	piu33	
錶	鐘錶	piu55	piu42	piu55	
飄		pʰiu55	pʰiu42	pʰiu55	
漂		pʰiu33	pʰiu33	pʰiu35	
票	車票	pʰiu24	pʰiu55	pʰiu35	
漂	漂亮	pʰiu24	pʰiu55	pʰiu35	
瓢		piu31	piu21	piu31	
嫖	嫖賭	piu31	piu21	piu31	
鰾		pʰiu33			
苗		miu31	miu21	miu31	
描		miu31	miu21	miu31	
貓		meu24	meu55	meu35	
藐		miu21	miu33	miu21	
渺		miu21	miu33	miu21	
秒		miu21	miu33	miu21	
廟		miu223	miu21	miu22	
妙		miu21	miu21	miu21	
燎		liu31	liu21	liu31	
燎	燎眉毛	liu31	liu21	liu31	
療		liu31	liu21	liu31	
焦		tʃiu55	tsiu42	tsiu55	
蕉	芭蕉	tʃiu55	tsiu42	tsiu55	
椒		tʃiu55	tsiu42	tsiu55	
剿		tʃʰiu33	tsiu33	tsʰiu33	
醮	打醮	tʃiu24		tsiu55	
鍬		tʃʰiu55	tsʰiu42	tsʰiu55	
繰	繰邊				
悄	靜悄悄	kʰiu55	tsʰiu33	ɬiu33	
俏		tʃʰiu24	tsʰiu55	tsʰiu35	
偢	傻				
樵		tʃiu55	tsiu21	tsiu55	
瞧		tʃiu55		tsiu55	
噍	牛到噍				
消		ɬiu55	ɬiu42	ɬiu55	
宵		ɬiu55	ɬiu42	ɬiu55	
霄		ɬiu55	ɬiu42	ɬiu55	
硝		ɬiu55	ɬiu42	ɬiu55	
銷		ɬiu55	ɬiu42	ɬiu55	
小		ɬiu33	ɬiu33	ɬiu33	
笑		ɬiu24	ɬiu55	ɬiu35	
鞘	刀鞘	ɬiu24	ɬiu55		
朝	今朝	tʃiu55	tsiu42	tsiu55	
超		tʃʰiu55	tsʰiu42	tsʰiu55	
朝	朝代	tʃiu31	tsiu21	tsiu31	
