IPA	调值	调类	Hanzi
ɕyɛn	311	1	轩宣萱喧煊勋熏薰
ɕyɛn	52	5	炫绚旋渲训讯汛迅驯徇逊殉
ɚ	213	3	尔耳饵迩
ɚ	24	2	儿而
ɚ	52	5	二贰
ʋan	213	3	晚碗
ʋan	24	2	丸纨完玩顽
ʋan	311	1	弯剜湾蜿豌
ʋan	52	5	万腕
ʋei	213	3	伟伪苇尾纬委诿萎猥
ʋei	24	2	韦为圩违围桅唯帷惟维
ʋei	311	1	危委威逶偎微巍薇
ʋei	52	5	卫为未位味畏谓尉喂蔚慰魏
ʋen	213	3	刎吻紊稳
ʋen	24	2	文纹闻蚊
ʋen	311	1	温瘟
ʋen	52	5	问汶
ʋɛe̞	213	3	崴
ʋɛe̞	311	1	歪
ʋɛe̞	52	5	外
ʋɑŋ	213	3	网枉罔往惘魍
ʋɑŋ	24	2	王亡
ʋɑŋ	311	1	汪
ʋɑŋ	52	5	王妄忘旺望
ʋɤŋ	311	1	翁嗡
ʋɤŋ	52	5	瓮
ʋᴀ	213	3	瓦挖
ʋᴀ	24	2	娃
ʋᴀ	311	1	凹哇洼蛙
ʋᴀ	52	5	袜
ʦan	213	3	攒斩展
ʦan	24	2	咱
ʦan	311	1	簪粘沾詹
ʦan	52	5	暂錾赞站占湛战
ʦu	213	3	诅阻组俎祖竹（老）主嘱
ʦu	311	1	猪珠
ʦu	24	2	逐烛舳躅足卒族竹（新）
ʦu	52	5	伫助住杼贮注著蛀铸筑
ʦuan	311	1	钻攥专砖
ʦuan	52	5	纂转篆賺
ʦuei	213	3	嘴
ʦuei	311	1	追锥椎
ʦuei	52	5	坠缀惴缒赘最罪醉
ʦʊŋ	52	5	纵粽重
ʦuɑŋ	311	1	妆庄桩装
ʦuɤ	213	3	桌柞
ʦuɤ	24	2	昨琢
ʦuɤ	311	1	拙捉作（~坊）
ʦuɤ	52	5	作坐座做
ʦuᴀ	213	3	爪
ʦuᴀ	311	1	抓
ʦɛe̞	213	3	仔载宰崽窄
ʦɛe̞	24	2	翟宅
ʦɛe̞	311	1	栽灾哉摘斋
ʦɛe̞	52	5	再在载寨债
ʦɑŋ	213	3	涨掌
ʦɑŋ	311	1	赃脏臧张章
ʦɑŋ	52	5	脏奘葬藏
ʦɑɔ	213	3	早枣澡蚤藻找
ʦɑɔ	24	2	凿
ʦɑɔ	311	1	遭糟招召昭
ʦɑɔ	52	5	皂造慥噪燥躁赵肇照
ʦɯɤ	213	3	摘窄折浙蜇褶
ʦɯɤ	24	2	则责择咋泽啧辙折
ʦɯɤ	52	5	仄这
ʦən	213	3	怎
ʦəu	52	5	奏揍
ʦɤŋ	311	1	曾增憎
ʦɤŋ	52	5	锃赠
ʦɿ	213	3	之指质纸止职只籽梓
ʦɿ	24	2	直值执植
ʦɿ	311	1	孜咨姿资辎滋吱汁知芝
ʦɿ	52	5	自字渍治智志
ʦʰan	213	3	惨铲产
ʦʰan	24	2	残蚕惭婵蝉禅缠
ʦʰan	311	1	参餐掺
ʦʰan	52	5	灿璨颤
ʦʰuan	213	3	喘
ʦʰuan	24	2	攒船传
ʦʰuan	311	1	撺（~掇）川钏穿
ʦʰuan	52	5	窜篡串
ʦʰuei	213	3	璀（~璨）
ʦʰuei	24	2	垂锤捶陲
ʦʰuei	311	1	崔催摧吹炊
ʦʰuei	52	5	脆翠
ʦʰʊŋ	213	3	宠
ʦʰʊŋ	24	2	从丛重虫
ʦʰʊŋ	311	1	匆葱聪冲充
ʦʰuɤ	213	3	戳撮
ʦʰuɤ	24	2	矬痤
ʦʰuɤ	311	1	搓磋
ʦʰuɤ	52	5	挫（~败）措错辍龊绰
ʦʰuən	213	3	忖（~度）蠢
ʦʰuən	24	2	存纯唇醇
ʦʰuən	311	1	村春椿
ʦʰuən	52	5	寸
ʦʰɛe̞	213	3	采彩睬踩䜺
ʦʰɛe̞	24	2	才材财裁柴豺
ʦʰɛe̞	311	1	猜拆钗
ʦʰɛe̞	52	5	菜蔡
ʦʰɑŋ	213		厂场
ʦʰɑŋ	24	2	藏长常肠
ʦʰɑŋ	311	1	仓苍沧舱昌娼
ʦʰɑɔ	213	3	草炒吵
ʦʰɑɔ	24	2	曹槽潮朝嘲
ʦʰɑɔ	311	1	操糙抄超
ʦʰɯɤ	213	3	撤扯册策测
ʦʰɯɤ	311	1	车
ʦʰɯɤ	52	5	厕侧彻澈
ʦʰəu	213	3	丑瞅
ʦʰəu	24	2	愁仇筹稠绸畴
ʦʰəu	311	1	抽
ʦʰəu	52	5	凑
ʦʰɤŋ	213	3	惩骋
ʦʰɤŋ	24	2	层曾成城程诚乘
ʦʰɤŋ	311	1	撑称蛏
ʦʰɤŋ	53	5	秤
ʦʰɿ	213	3	此吃尺赤
ʦʰɿ	24	2	词祠瓷辞慈磁雌迟持池
ʦʰɿ	311	1	刺（~溜）疵吃（新）
ʦʰɿ	52	5	次伺刺赐斥翅
ʦʰᴀ	213	3	插碴擦
ʦʰᴀ	24	2	查察茬
ʦʰᴀ	311	1	叉
ʦʰᴀ	52	5	叉差
ʦᴀ	213	3	咋眨扎紮
ʦᴀ	24	2	杂砸炸闸
ʦᴀ	311	1	扎匝咂渣
ʦᴀ	53	5	炸榨
ʧʰu	213	3	处础储楚出触促
ʧʰu	24	2	除厨锄雏躇
ʧʰu	311	1	初
ʧʰu	52	5	处（~所）畜醋猝簇
ʧʰuɛe̞	213	3	揣（~测）
ʧʰuɛe̞	311	1	揣
ʧʰuɛe̞	52	5	踹
ʧʰuɑŋ	213	3	闯
ʧʰuɑŋ	24	2	床
ʧʰuɑŋ	311	1	创（~伤）窗
ʧʰuɑŋ	52	5	创（~办）怆
ʧʰən	24	2	尘辰沉陈晨岑
ʧʰən	311	1	抻
ʧʰən	52	5	衬称趁
ʨi	213	3	几己纪（姓）挤济给吉级积
ʨi	24	2	及岌汲极即佶亟急疾棘集楫辑嫉
ʨi	311	1	几讥击饥机肌鸡基姬缉箕稽
ʨi	52	5	计记纪技系忌际妓季剂迹济既继祭寄
ʨiaŋ	213	3	讲奖桨蒋
ʨiaŋ	311	1	江将姜浆僵缰疆
ʨiaŋ	52	5	匠降将绛强酱犟糨
ʨin	213	3	仅尽紧锦谨
ʨin	311	1	巾斤今金津矜筋禁襟
ʨin	52	5	尽进近劲晋浸禁觐噤
ʨiŋ	213	3	井颈景儆警
ʨiŋ	311	1	茎京泾经荆菁旌惊晶腈粳兢精鲸
ʨiŋ	52	5	劲径净胫痉竞竟敬靖静境镜
ʨiɑɔ	213	3	角（文）觉较侥佼狡饺绞矫皎脚搅剿缴
ʨiɑɔ	24	2	嚼
ʨiɑɔ	311	1	交郊茭浇娇姣骄胶教蛟焦蕉礁
ʨiɑɔ	52	5	叫校轿教窖酵
ʨiəu	213	3	九久灸韭酒
ʨiəu	311	1	纠鸠究赳阄揪啾
ʨiəu	52	5	旧臼咎救就舅
ʨiɛ	213	3	姐解结节接
ʨiɛ	24	2	孑劫杰诘洁桀捷婕睫截竭羯
ʨiɛ	311	1	阶皆揭喈嗟
ʨiɛ	52	5	介戒芥届界疮诫借解
ʨiɛn	213	3	拣茧俭捡检减剪简
ʨiɛn	311	1	戋尖奸歼坚间肩艰监兼笺渐缄蒹煎
ʨiɛn	52	5	见件间饯建荐贱剑监健键僭箭
ʨiʰᴀ	213	3	卡掐
ʨiʰᴀ	311	1	
ʨiʰᴀ	52	5	洽恰
ʨiᴀ	213	3	甲胛贾钾假角（白）夹
ʨiᴀ	24	2	夹戛
ʨiᴀ	311	1	加夹佳家葭嘉
ʨiᴀ	52	5	价驾架假嫁
ʨy	213	3	咀沮矩举踽橘
ʨy	24	2	局菊焗
ʨy	311	1	车拘狙居驹据鞠
ʨy	52	5	巨句拒具俱倨剧据距惧飓锯
	213		菌
ʨyn	311	1	军均钧筠
ʨyn	52	5	俊郡峻骏竣
ʨyʊŋ	213	3	冏炅迥
ʨyɛ	24	2	孓决诀抉珏绝倔掘崛爵矍攫
ʨyɛ	311	1	撅噘
ʨyɛ	52	5	倔
ʨyɛn	213	3	卷
ʨyɛn	311	1	捐涓娟圈镌
ʨyɛn	52	5	卷隽倦狷绢圈眷
ʨʰi	213	3	乞岂企杞启起绮七
ʨʰi	24	2	齐祁岐其奇歧祈颀脐畦崎骑棋旗鳍麒
ʨʰi	311	1	沏妻栖凄萋戚期欺蹊漆
ʨʰi	52	5	气迄弃汽泣契器憩
ʨʰin	213	3	寝
ʨʰin	24	2	芹禽勤擒
ʨʰin	311	1	钦侵亲
ʨʰin	52	5	沁
ʨʰiŋ	213	3	顷请
ʨʰiŋ	24	2	情晴擎
ʨʰiŋ	311	1	青轻氢倾卿清蜻
ʨʰiŋ	52	5	庆亲磬罄
ʨʰiɑŋ	213	3	抢强襁
ʨʰiɑŋ	24	2	强墙蔷樯
ʨʰiɑŋ	311	1	抢呛羌枪戗戕腔蹡镪
ʨʰiɑŋ	52	5	呛跄
ʨʰiɑɔ	213	3	巧悄愀雀（白）
ʨʰiɑɔ	24	2	乔侨荞桥翘樵瞧
ʨʰiɑɔ	311	1	悄跷锹敲
ʨʰiɑɔ	52	5	壳俏峭窍翘撬
ʨʰiəu	213	3	糗
ʨʰiəu	24	2	仇囚求虬酋球遒
ʨʰiəu	311	1	丘邱秋蚯
ʨʰiɛ	213	3	且客切
ʨʰiɛ	24	2	茄
ʨʰiɛ	52	5	妾怯砌窃惬锲
ʨʰiɛn	213	3	浅遣谴缱
ʨʰiɛn	24	2	荨前虔钱钳乾潜黔
ʨʰiɛn	311	1	千阡扦芊迁牵铅签悭谦愆
ʨʰiɛn	52	5	欠纤芡茜倩堑嵌歉
ʨʰy	213	3	曲取娶龋麯屈
ʨʰy	24	2	渠瞿蘧
ʨʰy	311	1	区曲驱祛蛆躯趋
ʨʰy	52	5	去觑
ʨʰyn	24	2	裙群
ʨʰyn	311	1	逡
ʨʰyʊŋ	24	2	穷穹茕琼
ʨʰyɛ	213	3	缺折
ʨʰyɛ	311	1	阙瘸
ʨʰyɛ	52	5	却雀确鹊榷黢
ʨʰyɛn	213	3	犬畎
ʨʰyɛn	24	2	权全诠泉拳颧
ʨʰyɛn	311	1	圈
ʨʰyɛn	52	5	劝券
ᴀ	311	1	阿（~公）啊
