cid	cʰaracter	initian	finan	tone	note								
798	能	n	ən	21									
799	层	tsʰ	ən	21									
800	僧	s	ən	44-33									
801	肯	kʰ	ən	45									
802	北	p	æ	21									
803	墨	m	æ	21									
804	得	t	æ	21									
805	特	tʰ	æ	21									
806	贼	ts	uei	21	白								
806	贼	ts	æ	21									
807	塞	s	æ	21									
808	刻	kʰ	æ	21									
809	黑	x	æ	21									
810	冰	p	in	44-33									
811	证	ts	ən	13									
812	秤	tsʰ	ən	13									
813	绳	s	uən	21									
814	剩	s	ən	13									
815	升	s	ən	44-33									
816	兴	ɕ	in	13									
817	蝇	∅	in	44-33									
818	逼	p	i	21									
819	力	n	i	21									
820	息	ɕ	i	21									
820	息	ɕ	ʑ̩	21									
821	直	ts	ɿ	21									
822	侧	ts	æ	21	白								
822	侧	tsʰ	æ	21									
823	测	tsʰ	æ	21									
824	色	s	æ	21									
825	织	ts	ɿ	21									
826	食	s	ɿ	21									
827	式	s	ɿ	13									
828	极	tɕ	i	21									
829	国	k	uæ	21									
830	或	x	uæ	21									
831	猛	m	oŋ	45									
832	打	t	a	45									
	冷	n	ən	45									
834	生	s	ən	44-33									
835	省	s	ən	45									
836	更	k	ən	44-33									
837	梗	k	ən	45									
838	坑	kʰ	ən	44-33									
839	硬	ŋ	ən	13									
840	行	ɕ	in	21									
841	百	p	æ	21									
842	拍	pʰ	æ	21									
	般	p	æ	44-33									
843	白	p	æ	21									
	拆	tsʰ	æ	21									
845	择	ts	æ	21									
846	窄	ts	æ	21									
847	格	k	æ	21									
848	客	kʰ	æ	21									
849	额	ŋ	æ	21									
850	棚	pʰ	oŋ	21									
850	棚	pʰ	ən	21									
851	争	ts	ən	44-33									
852	耕	k	ən	44-33									
853	麦	m	æ	21									
854	摘	ts	æ	21									
855	策	tsʰ	æ	21									
	干	k	æ	44-33									
856	隔	k	æ	21									
	秆	k	æ	45									
	干	k	æ	13									
857	兵	p	in	44-33									
858	柄	p	in	45									
859	平	pʰ	in	21									
860	病	p	in	13									
861	明	m	in	21									
862	命	m	in	13									
863	镜	tɕ	in	13									
864	庆	tɕʰ	in	13									
865	迎	∅	in	21									
866	影	∅	in	45									
867	剧	tɕ	y	13									
868	饼	p	in	45									
869	名	m	in	21									
870	领	n	in	45									
871	井	tɕ	in	45									
872	清	tɕʰ	in	44-33									
873	静	tɕ	in	13									
874	姓	ɕ	in	13									
875	贞	ts	ən	44-33									
876	程	tsʰ	ən	21									
877	整	k	ən	45	白								
877	整	ts	ən	45									
878	正	ts	ən	13									
879	声	s	ən	44-33									
880	城	tsʰ	ən	21									
881	轻	tɕʰ	in	44-33									
882	赢	∅	in	21									
883	积	tɕ	i	21									
884	惜	ɕ	i	21									
885	席	ɕ	i	21									
883	积	tɕ	ʑ̩	21									
884	惜	ɕ	ʑ̩	21									
885	席	ɕ	ʑ̩	21									
886	尺	tsʰ	ɿ	21									
887	石	s	ɿ	21									
888	益	∅	i	21									
888	益	∅	ʑ̩	21									
889	瓶	pʰ	in	21									
890	钉	t	in	44-33									
891	顶	t	in	45									
892	厅	tʰ	in	44-33									
893	听	tʰ	in	13									
893	听	tʰ	in	44-33									
894	停	tʰ	in	21									
895	挺	tʰ	in	45									
896	定	t	in	13									
897	零	n	in	21									
898	青	tɕʰ	in	44-33									
899	星	ɕ	in	44-33									
900	经	tɕ	in	44-33									
901	形	ɕ	in	21									
902	壁	p	i	21									
903	劈	pʰ	i	21									
904	踢	tʰ	i	21									
905	笛	t	i	21									
906	历	n	i	21									
907	锡	ɕ	i	21									
908	击	tɕ	i	21									
907	锡	ɕ	ʑ̩	21									
908	击	tɕ	ʑ̩	21									
909	吃	tsʰ	ɿ	21									
910	横	x	uən	21									
911	划	x	ua	13									
912	兄	ɕ	ioŋ	44-33									
913	荣	∅	ioŋ	21									
914	亩	m	oŋ	45									
915	营	∅	in	21									
916	蓬	pʰ	oŋ	21									
916	蓬	pʰ	ən	21									
917	东	t	oŋ	44-33									
918	懂	t	oŋ	45									
919	冻	t	oŋ	13									
920	通	tʰ	oŋ	44-33									
921	桶	tʰ	oŋ	45									
922	痛	tʰ	oŋ	13									
923	铜	tʰ	oŋ	21									
924	动	t	oŋ	13									
925	洞	t	oŋ	13									
926	聋	n	oŋ	44-33									
927	弄	n	oŋ	13									
928	粽	ts	oŋ	13									
929	葱	tsʰ	oŋ	44-33									
930	送	s	oŋ	13									
931	公	k	oŋ	44-33									
932	孔	kʰ	oŋ	45									
	烘	x	oŋ	44-33									
934	红	x	oŋ	21									
935	翁	∅	oŋ	44-33									
936	木	m	uᶹ	21									
937	读	t	uᶹ	21									
938	鹿	n	uᶹ	21									
939	族	tɕʰ	yu	21									
940	谷	k	uᶹ	21									
941	哭	kʰ	uᶹ	21									
942	屋	v	uᶹ	21									
943	冬	t	oŋ	44-33									
	统	tʰ	oŋ	45									
945	脓	n	oŋ	21									
946	松	s	oŋ	44-33									
947	宋	s	oŋ	13									
948	毒	t	uᶹ	21									
949	风	f	oŋ	44-33									
950	丰	f	oŋ	44-33									
951	凤	f	oŋ	13									
952	梦	m	oŋ	13									
953	中	ts	oŋ	44-33									
954	虫	tsʰ	oŋ	21									
955	终	ts	oŋ	44-33									
956	充	tsʰ	oŋ	44-33									
957	宫	k	oŋ	44-33									
958	穷	tɕʰ	ioŋ	21									
959	熊	ɕ	ioŋ	21									
960	雄	ɕ	ioŋ	21									
961	福	f	uᶹ	21									
962	服	f	uᶹ	21									
963	目	m	uᶹ	21									
964	六	n	uᶹ	21									
965	宿	ɕ	yu	21									
965	宿	ɕ	iəu	13	星∽								
966	竹	ts	uᶹ	21									
967	畜	tsʰ	uᶹ	21									
968	缩	s	o	21									
969	粥	ts	əu	44-33									
970	叔	s	uᶹ	21									
971	熟	s	uᶹ	21									
972	肉	z	uᶹ	21									
973	菊	tɕ	yu	21									
974	育	∅	yu	21									
975	封	f	oŋ	44-33									
976	蜂	f	oŋ	44-33									
977	缝	f	oŋ	13									
978	浓	n	oŋ	21									
979	龙	n	oŋ	21									
980	松	s	oŋ	44-33									
981	重	ts	oŋ	13									
982	肿	ts	oŋ	45									
983	种	ts	oŋ	13									
984	冲	tsʰ	oŋ	44-33									
985	恭	k	oŋ	44-33									
986	共	k	oŋ	13									
987	凶	ɕ	ioŋ	44-33									
988	拥	∅	ioŋ	45									
989	容	∅	ioŋ	21									
990	用	∅	ioŋ	13									
991	绿	n	uᶹ	21									
992	足	ts	uᶹ	21									
993	烛	ts	uᶹ	21									
994	赎	s	uᶹ	21									
995	属	s	uᶹ	21									
996	褥	z	uᶹ	21									
997	曲	tɕʰ	yu	21									
998	局	tɕ	yu	21									
999	玉	∅	y	13									
1000	浴	∅	yu	21									
1001	我	ŋ	o	45									
1002	他	n	a	44-33									
1003	他	tʰ	a	44-33									
1004	泉	tɕʰ	yɛ	21									
1005	是	s	ɿ	13									
1006	贸	m	əu	13									
