註：
1.“今音”一欄的音值來自《淮安市誌·方言編》。
2.調號：1=陰平42	2=陽平24
3=上聲212/11	4=去聲44
5=入聲4。	古今音差異總結：
1.*iʔ與*iɪʔ合流爲iɪʔ。
2.*uʔ>ɔʔ。
3.*ɑʔ>ʌʔ。
4.*ʊʔ>oʔ。
5.沒*məʔ>moʔ。
6.迫*ʊʔ>ɔʔ。
7.恩*ɻən>ən。
8.埋獃苔奶腮*iɛ>ɛ；皆*ʨiɛ>ʨiɛ／ʦɛ。
9.*iuʔ／*yʔ>iɔʔ
10.屈*yʔ>yɪʔ
11.衰*ɕyei>suɛ，摔上聲變去聲。
12.*ei>ɛi（存疑）。
今音	*擬音	調	字
uən	uən	4	問
uəʔ	uəʔ	5	物
uɑŋ	uɑŋ	1	汪
uɑŋ	uɑŋ	2	王亡忘
uɑŋ	uɑŋ	3	往網
uɑŋ	uɑŋ	4	望旺
uʌʔ	uɑʔ	5	□（⿰咢勿 嘔吐）
ʦua	ʦua	1	抓
ʦuɛi	ʦuei	2	追錐
ʦuɛi	ʦuei	4	墜
ʦuæ̃	ʦuæ̃	3	賺
ʦuən	ʦuən	1	諄
ʦuən	ʦuən	3	准準
ʦuəʔ	ʦuəʔ	5	术
ʦuɑŋ	ʦuɑŋ	1	莊裝妝粧樁
ʦuɑŋ	ʦuɑŋ	4	壯狀撞
ʦuʌʔ	ʦuɑʔ	5	卓桌捉鐲
ʦʰuɛi	ʦʰuei	1	吹
ʦʰuɛi	ʦʰuei	2	垂搥
ʦʰuən	ʦʰuən	1	春椿
ʦʰuən	ʦʰuən	3	蠢
ʦʰuəʔ	ʦʰuəʔ	5	出
ʦʰuɑŋ	ʦʰuɑŋ	1	窗瘡
ʦʰuɑŋ	ʦʰuɑŋ	2	牀
ʦʰuɑŋ	ʦʰuɑŋ	3	闖
ʦʰuɑŋ	ʦʰuɑŋ	4	創
ʦʰuʌʔ	ʦʰuɑʔ	5	戳
sua	sua	3	耍
suɛi	suei	2	誰
suɛi	suei	3	水
suɛi	suei	4	稅睡
suæ̃	suæ̃	1	閂拴
suæ̃	suæ̃	4	疝（～氣）
suæʔ	suæʔ	5	刷
suən	suən	2	純
suən	suən	4	順
suəʔ	suəʔ	5	術
suɑŋ	suɑŋ	1	霜雙
suɑŋ	suɑŋ	3	爽
suʌʔ	suɑʔ	5	朔
pi	pi	3	比彼
pi	pi	4	篦弊閉
piɪ̃	piɪ̃	1	邊鞭編
piɪ̃	piɪ̃	3	扁匾
piɪ̃	piɪ̃	4	便辮辨遍變
piɪʔ	piɪʔ	5	別鼈癟
pin	pin	1	兵冰
pin	pin	3	餠
pin	pin	4	病柄並殯
piɪʔ	piʔ	5	必筆鼻逼碧壁
piɔ	piɔ	1	標
piɔ	piɔ	3	表錶裱婊
piɔ	piɔ	4	鰾
pʰi	pʰi	1	批披
pʰi	pʰi	2	皮琵脾
pʰi	pʰi	3	痞庇
pʰi	pʰi	4	屁
pʰiɪ̃	pʰiɪ̃	1	篇偏
pʰiɪ̃	pʰiɪ̃	2	駢
pʰiɪ̃	pʰiɪ̃	4	片騙
pʰiɪʔ	pʰiɪʔ	5	撇
pʰin	pʰin	1	拼
pʰin	pʰin	2	平萍貧甁憑
pʰin	pʰin	3	品
pʰin	pʰin	4	聘
pʰiɪʔ	pʰiʔ	5	匹疋劈
pʰiɔ	pʰiɔ	1	飄
pʰiɔ	pʰiɔ	2	瓢
pʰiɔ	pʰiɔ	3	漂
pʰiɔ	pʰiɔ	4	票
mi	mi	2	彌
mi	mi	3	米
miɪ̃	miɪ̃	2	棉綿
miɪ̃	miɪ̃	3	免勉
miɪ̃	miɪ̃	4	面麵麪
miɪʔ	miɪʔ	5	滅蔑
min	min	2	民名明鳴
min	min	3	敏冥
min	min	4	命
miɪʔ	miʔ	5	密蜜
mɛ	miɛ	2	埋
mɛ	miɛ	3	買
mɛ	miɛ	4	賣
miɔ	miɔ	2	苗描
miɔ	miɔ	3	秒
miɔ	miɔ	4	妙廟
ti	ti	1	低爹（～～奶奶）
ti	ti	3	底抵
ti	ti	4	弟第地的遞（拿東西～把人）帝蒂
tiɪ̃	tiɪ̃	1	癲掂
tiɪ̃	tiɪ̃	3	典點
tiɪ̃	tiɪ̃	4	店殿電墊佃
tiɪʔ	tiɪʔ	5	蝶碟跌
tin	tin	1	釘疔叮
tin	tin	3	頂
tin	tin	4	定訂錠
tiɪʔ	tiʔ	5	笛滴嫡
tiɤɯ	tiɤɯ	1	丟
tɛ	tiɛ	1	獃（癡～）呆（同獃）
tɛ	tiɛ	3	歹
tɛ	tiɛ	4	代袋怠（不肯用心叫懈～）待帶
tiɔ	tiɔ	1	刁雕
tiɔ	tiɔ	4	釣掉弔吊
tʰi	tʰi	1	梯
tʰi	tʰi	2	題蹄啼提
tʰi	tʰi	3	體
tʰi	tʰi	4	剃替屜
tʰiɪ̃	tʰiɪ̃	1	天添
tʰiɪ̃	tʰiɪ̃	2	田甜
tʰiɪ̃	tʰiɪ̃	3	舔
tʰiɪ̃	tʰiɪ̃	5	貼帖鐵
tʰin	tʰin	1	聽廳
tʰin	tʰin	2	亭停
tʰin	tʰin	3	挺
tʰin	tʰin	4	聽
tʰiɪʔ	tʰiʔ	5	剔踢
tʰɛ	tʰiɛ	1	苔（靑綠～子 舌～）胎
tʰɛ	tʰiɛ	2	臺擡
tʰɛ	tʰiɛ	4	太泰態
tʰiɔ	tʰiɔ	1	挑
tʰiɔ	tʰiɔ	2	條
tʰiɔ	tʰiɔ	3	挑
tʰiɔ	tʰiɔ	4	跳
li	li	2	泥
li	li	3	你
li	li	4	膩
liɪ̃	liɪ̃	2	年連蓮簾憐黏
liɪ̃	liɪ̃	3	捻碾臉
liɪ̃	liɪ̃	4	念殮
liɪʔ	liɪʔ	5	裂捏獵
lin	lin	2	林鈴零靈菱鄰
lin	lin	3	領
lin	lin	4	令另
liɪʔ	liʔ	5	力立栗
ly	ly	2	驢
ly	ly	3	女呂
ly	ly	4	慮濾
liɤɯ	liɤɯ	1	溜
liɤɯ	liɤɯ	2	牛留流
liɤɯ	liɤɯ	3	柳鈕
liɤɯ	liɤɯ	4	溜
liɛ	liɛ	2	來
liɛ	liɛ	3	奶
liɛ	liɛ	4	耐賴癩
liɔ	liɔ	2	聊鐐撩
liɔ	liɔ	3	了鳥
liɔ	liɔ	4	料撂
liɑŋ	liɑŋ	2	娘涼
liɑŋ	liɑŋ	3	兩
liɑŋ	liɑŋ	4	亮輛
liʌʔ	liɑʔ	5	掠略
ʨi	ʨi	1	雞基箕飢機
ʨi	ʨi	3	几己姊擠
ʨi	ʨi	4	借記寄計既
ʨiɪ̃	ʨiɪ̃	1	尖肩煎氈
ʨiɪ̃	ʨiɪ̃	3	翦
ʨiɪ̃	ʨiɪ̃	4	見件儉薦戰佔顫
ʨiɪʔ	ʨiɪʔ	5	結接節摺劫
ʨin	ʨin	1	金巾斤今精京驚
ʨin	ʨin	3	井景警緊頸
ʨin	ʨin	4	近鏡進勁淨靜禁盡
ʨiɪʔ	ʨiʔ	5	即及吉極脊集跡急
ʨiuŋ	ʨiuŋ	3	窘
ʨiɔʔ	ʨiuʔ	4	局菊
ʨy	ʨy	1	居拘
ʨy	ʨy	3	舉矩
ʨy	ʨy	4	苣句具鋸據懼聚
ʨia	ʨia	1	加家傢
ʨia	ʨia	3	假
ʨia	ʨia	4	架駕價嫁稼假
ʨiɤɯ	ʨiɤɯ	1	柩
ʨiɤɯ	ʨiɤɯ	3	九玖酒韭久
ʨiɤɯ	ʨiɤɯ	4	臼（碓～子）舅舊就救究
ʨiɛ／ʦɛ	ʨiɛ	1	皆栽齋災
ʨiɛ／ʦɛ	ʨiɛ	3	宰解
ʨiɛ／ʦɛ	ʨiɛ	4	在再界債戒
ʨiɔ	ʨiɔ	1	交蛟焦蕉嬌膠澆椒
ʨiɔ	ʨiɔ	3	狡絞餃
ʨiɔ	ʨiɔ	4	教叫較轎
ʨiɑŋ	ʨiɑŋ	1	江間將漿薑奸艱
ʨiɑŋ	ʨiɑŋ	3	減講
ʨiɑŋ	ʨiɑŋ	4	匠醬諫
ʨiʌʔ	ʨiɑʔ	5	覺腳脚（同腳）甲夾嚼
ʨyɪ̃	ʨyɪ̃	1	捐
ʨyɪ̃	ʨyɪ̃	3	捲
ʨyɪ̃	ʨyɪ̃	4	倦絹眷菌
ʨyɪʔ	ʨyɪʔ	5	決訣絕
ʨyn	ʨyn	1	君軍
ʨyn	ʨyn	4	俊
ʨiɔʔ	ʨyʔ	5	橘
ʨʰi	ʨʰi	1	妻欹期車
ʨʰi	ʨʰi	2	棋麒奇騎齊臍茄
ʨʰi	ʨʰi	3	起扯
ʨʰi	ʨʰi	4	氣器契砌
ʨʰiɪ̃	ʨʰiɪ̃	1	千遷謙籤
ʨʰiɪ̃	ʨʰiɪ̃	2	前錢
ʨʰiɪ̃	ʨʰiɪ̃	3	淺
ʨʰiɪ̃	ʨʰiɪ̃	4	欠縴
ʨʰiɪʔ	ʨʰiɪʔ	5	切撤竊
ʨʰin	ʨʰin	1	靑淸輕親
ʨʰin	ʨʰin	2	芹勤琴晴情
ʨʰin	ʨʰin	3	請頃
ʨʰin	ʨʰin	4	慶磬
ʨʰiɪʔ	ʨʰiʔ	5	七柒喫吃漆戚
ʨʰiuŋ	ʨʰiuŋ	1	傾
ʨʰiuŋ	ʨʰiuŋ	2	窮
ʨʰiɔʔ	ʨʰiuʔ	5	曲麯
ʨʰy	ʨʰy	1	區蛆
ʨʰy	ʨʰy	2	徐
ʨʰy	ʨʰy	3	取娶
ʨʰy	ʨʰy	4	去趣
ʨʰia	ʨʰia	3	卡（收稅的關～子）
ʨʰiɤɯ	ʨʰiɤɯ	1	秋
ʨʰiɤɯ	ʨʰiɤɯ	2	求球
ʨʰiɤɯ	ʨʰiɤɯ	3	揪
ʨʰiɛ	ʨʰiɛ	1	猜差
ʨʰiɛ	ʨʰiɛ	2	才材財柴裁纔
ʨʰiɛ	ʨʰiɛ	3	採彩啋綵跴（腳～）
ʨʰiɛ	ʨʰiɛ	4	菜
ʨʰiɔ	ʨʰiɔ	1	蹺
ʨʰiɔ	ʨʰiɔ	2	橋蕎瞧
ʨʰiɔ	ʨʰiɔ	3	巧
ʨʰiɔ	ʨʰiɔ	4	竅撬
ʨʰiɑŋ	ʨʰiɑŋ	1	腔鎗
ʨʰiɑŋ	ʨʰiɑŋ	2	強祥牆
ʨʰiɑŋ	ʨʰiɑŋ	3	搶強
ʨʰiɑŋ	ʨʰiɑŋ	4	覵（看 暗暗的看）
ʨʰiʌʔ	ʨʰiɑʔ	5	雀鵲確却
ʨʰyɪ	ʨʰyɪ	2	跛（本字瘸）
ʨʰyɪ̃	ʨʰyɪ̃	1	圈
ʨʰyɪ̃	ʨʰyɪ̃	2	全泉拳顴
ʨʰyɪ̃	ʨʰyɪ̃	3	犬
ʨʰyɪ̃	ʨʰyɪ̃	4	勸
ʨʰyɪʔ	ʨʰyɪʔ	5	缺
ʨʰyn	ʨʰyn	2	裙脣（嘴～子）唇（同脣）
ʨʰyɪʔ	ʨʰyʔ	5	屈
ʦʰuɛ	ʨʰyei	3	揣
未錄	ʨʰyei	4	嘬（一同喫 全吃完了）
ɕi	ɕi	1	西稀些賒
ɕi	ɕi	2	蛇邪
ɕi	ɕi	3	洗且喜寫
ɕi	ɕi	4	細戲謝卸瀉
ɕiɪ̃	ɕiɪ̃	1	先仙鮮掀搧秈
ɕiɪ̃	ɕiɪ̃	2	賢嫌
ɕiɪ̃	ɕiɪ̃	3	閃險顯
ɕiɪ̃	ɕiɪ̃	4	善鱔現扇線縣
ɕiɪʔ	ɕiɪʔ	5	舌歇蠍
ɕin	ɕin	1	心星腥辛新
ɕin	ɕin	2	行形刑
ɕin	ɕin	3	醒
ɕin	ɕin	4	信杏姓性
ɕiɪʔ	ɕiʔ	5	席蓆熄媳惜錫習膝
ɕiuŋ	ɕiuŋ	1	兄兇胸
ɕiuŋ	ɕiuŋ	2	雄
ɕiɔʔ	ɕiuʔ	5	蓄
ɕy	ɕy	1	須需虛靴
ɕy	ɕy	3	許
ɕy	ɕy	4	序婿
ɕia	ɕia	1	蝦
ɕia	ɕia	2	霞
ɕia	ɕia	4	下夏
ɕiɤɯ	ɕiɤɯ	1	修羞
ɕiɤɯ	ɕiɤɯ	3	朽
ɕiɤɯ	ɕiɤɯ	4	秀袖繡鏽
ɕiɛ／sɛ	ɕiɛ	1	篩腮鰓
ɕiɛ	ɕiɛ	2	偕
ɕiɛ	ɕiɛ	4	曬晒賽
ɕiɔ	ɕiɔ	1	簫硝消銷
ɕiɔ	ɕiɔ	2	殽
ɕiɔ	ɕiɔ	3	小曉
ɕiɔ	ɕiɔ	4	孝笑
ɕiɑŋ	ɕiɑŋ	1	香相箱鑲鄕
ɕiɑŋ	ɕiɑŋ	2	閒
ɕiɑŋ	ɕiɑŋ	3	想響餉
ɕiɑŋ	ɕiɑŋ	4	象限相
ɕiʌʔ	ɕiɑʔ	5	學狹削
ɕyɪ̃	ɕyɪ̃	1	宣
ɕyɪ̃	ɕyɪ̃	2	玄懸
ɕyɪ̃	ɕyɪ̃	3	選癬
ɕyɪ̃	ɕyɪ̃	4	羨券
ɕyɪʔ	ɕyɪʔ	5	雪屑血
ɕyn	ɕyn	1	薰
ɕyn	ɕyn	2	巡
ɕyn	ɕyn	4	訓
ɕyɪʔ	ɕyʔ	5	戌
suɛ	ɕyei	1	衰
suɛ	ɕyei	3	摔
suɛ	ɕyei	4	帥
iuŋ	iuŋ	1	雍
iuŋ	iuŋ	2	榮容
iuŋ	iuŋ	3	永勇
iuŋ	iuŋ	4	用
iɔʔ	iuʔ	5	欲獄
ia	ia	1	鴉丫
ia	ia	2	牙芽衙
ia	ia	3	雅啞
ia	ia	4	亞
iɤɯ	iɤɯ	1	憂
iɤɯ	iɤɯ	2	油游
iɤɯ	iɤɯ	3	有友酉
iɤɯ	iɤɯ	4	右又誘
iɔ	iɔ	1	腰
iɔ	iɔ	2	搖謠窯
iɔ	iɔ	3	舀
iɔ	iɔ	4	要
iɑŋ	iɑŋ	1	秧殃
iɑŋ	iɑŋ	2	羊洋陽楊
iɑŋ	iɑŋ	3	仰養癢
iɑŋ	iɑŋ	4	恙樣
iʌʔ	iɑʔ	5	藥約嶽鑰
yɪ̃	yɪ̃	1	冤
yɪ̃	yɪ̃	2	元園源圓緣
yɪ̃	yɪ̃	3	遠
yɪ̃	yɪ̃	4	院怨願
yɪʔ	yɪʔ	5	月悅越
yn	yn	1	雲勻
yn	yn	3	允
yn	yn	4	運暈熨
ɻuɛi	yei	3	蕊
ɻuɛi	yei	4	銳
ɚ	ɚ	2	兒
ɚ	ɚ	3	耳
ɚ	ɚ	4	二貳
