"字目"	"读音"	"注释"	"声母"	"韵母"	"声调"	"重复数"	"潮语拼音"	"罗马字拼音"
"偷"	"tʰau22"	""	"tʰ"	"au"	"22"	"1"	"tao1"	"tau1"
"套"	"tʰau21"	""	"tʰ"	"au"	"21"	"1"	"tao3"	"tau3"
"透"	"tʰau21"	""	"tʰ"	"au"	"21"	"1"	"tao3"	"tau3"
"頭"	"tʰau44"	""	"tʰ"	"au"	"44"	"1"	"tao5"	"tau5"
"投"	"tau44"	""	"t"	"au"	"44"	"1"	"dao5"	"tau5"
"笃"	"tau44"	"又"	"t"	"au"	"44"	"3"	"dao5"	"tau5"
"岛"	"tau53"	""	"t"	"au"	"53"	"1"	"dao2"	"tau2"
"倒"	"tau53"	""	"t"	"au"	"53"	"2"	"dao2"	"tau2"
"找"	"tau53"	""	"t"	"au"	"53"	"1"	"dao2"	"tau2"
"斗"	"tau53"	""	"t"	"au"	"53"	"2"	"dao2"	"tau2"
"刀"	"tau22"	""	"t"	"au"	"22"	"1"	"dao1"	"tau1"
"叨"	"tau22"	"又"	"t"	"au"	"22"	"2"	"dao1"	"tau1"
"兜"	"tau22"	""	"t"	"au"	"22"	"1"	"dao1"	"tau1"
"□"	"tau21"	"安装"	"t"	"au"	"21"	"55"	"dao3"	"tau3"
"到"	"tau21"	""	"t"	"au"	"21"	"2"	"dao3"	"tau3"
"道"	"tau13"	""	"t"	"au"	"13"	"1"	"dao6"	"tau6"
"稻"	"tau13"	""	"t"	"au"	"13"	"2"	"dao6"	"tau6"
"盗"	"tau13"	""	"t"	"au"	"13"	"1"	"dao6"	"tau6"
"导"	"tau13"	""	"t"	"au"	"13"	"1"	"dao6"	"tau6"
"蹈"	"tau13"	""	"t"	"au"	"13"	"1"	"dao6"	"tau6"
"豆"	"tau311"	""	"t"	"au"	"311"	"1"	"dao7"	"tau7"
"痘"	"tau311"	""	"t"	"au"	"311"	"1"	"dao7"	"tau7"
"逗"	"tau311"	""	"t"	"au"	"311"	"1"	"dao7"	"tau7"
"島"	"tau53"	""	"t"	"au"	"53"	"1"	"dao2"	"tau2"
"鬥"	"tau53"	""	"t"	"au"	"53"	"2"	"dao2"	"tau2"
"盜"	"tau13"	""	"t"	"au"	"13"	"1"	"dao6"	"tau6"
"導"	"tau13"	""	"t"	"au"	"13"	"1"	"dao6"	"tau6"
"骚"	"sau22"	""	"s"	"au"	"22"	"1"	"sao1"	"sau1"
"稍"	"sau22"	"新"	"s"	"au"	"22"	"2"	"sao1"	"sau1"
"□"	"sau22"	"形容人声音沙哑；扬声器声音模糊不清"	"s"	"au"	"22"	"55"	"sao1"	"sau1"
"扫"	"sau21"	""	"s"	"au"	"21"	"1"	"sao3"	"sau3"
"嗽"	"sau21"	""	"s"	"au"	"21"	"1"	"sao3"	"sau3"
"騷"	"sau22"	""	"s"	"au"	"22"	"1"	"sao1"	"sau1"
"掃"	"sau21"	""	"s"	"au"	"21"	"1"	"sao3"	"sau3"
"袍"	"pʰau44"	""	"pʰ"	"au"	"44"	"1"	"pao5"	"phau5"
"刨"	"pʰau44"	""	"pʰ"	"au"	"44"	"1"	"pao5"	"phau5"
"跑"	"pʰau53"	""	"pʰ"	"au"	"53"	"1"	"pao2"	"phau2"
"褒"	"pʰau22"	""	"pʰ"	"au"	"22"	"1"	"pao1"	"phau1"
"苞"	"pʰau22"	""	"pʰ"	"au"	"22"	"1"	"pao1"	"phau1"
"奅"	"pʰau21"	"奢大～，吹牛"	"pʰ"	"au"	"21"	"1"	"pao3"	"phau3"
"炮"	"pʰau21"	""	"pʰ"	"au"	"21"	"1"	"pao3"	"phau3"
"抛"	"pʰau22"	""	"pʰ"	"au"	"22"	"2"	"pao1"	"phau1"
"抱"	"pʰau13"	""	"pʰ"	"au"	"13"	"2"	"pao6"	"phau6"
"拋"	"pʰau22"	""	"pʰ"	"au"	"22"	"2"	"pao1"	"phau1"
"堡"	"pau53"	""	"p"	"au"	"53"	"1"	"bao2"	"pau2"
"包"	"pau22"	""	"p"	"au"	"22"	"2"	"bao1"	"pau1"
"胞"	"pau22"	""	"p"	"au"	"22"	"1"	"bao1"	"pau1"
"鲍"	"pau22"	""	"p"	"au"	"22"	"1"	"bao1"	"pau1"
"暴"	"pau13"	""	"p"	"au"	"13"	"1"	"bao6"	"pau6"
"爆"	"pau13"	""	"p"	"au"	"13"	"1"	"bao6"	"pau6"
"鮑"	"pau22"	""	"p"	"au"	"22"	"1"	"bao1"	"pau1"
"熬"	"ŋau44"	""	"ŋ"	"au"	"44"	"2"	"ngao5"	"ngau5"
"敖"	"ŋau44"	""	"ŋ"	"au"	"44"	"1"	"ngao5"	"ngau5"
"肴"	"ŋau44"	""	"ŋ"	"au"	"44"	"1"	"ngao5"	"ngau5"
"淆"	"ŋau44"	""	"ŋ"	"au"	"44"	"1"	"ngao5"	"ngau5"
"嚣"	"ŋau22"	""	"ŋ"	"au"	"22"	"2"	"ngao1"	"ngau1"
"乐"	"ŋau311"	"文"	"ŋ"	"au"	"311"	"3"	"ngao7"	"ngau7"
"囂"	"ŋau22"	""	"ŋ"	"au"	"22"	"2"	"ngao1"	"ngau1"
"樂"	"ŋau311"	"文"	"ŋ"	"au"	"311"	"3"	"ngao7"	"ngau7"
"浇"	"nau44"	""	"n"	"au"	"44"	"2"	"nao5"	"nau5"
"澆"	"nau44"	""	"n"	"au"	"44"	"2"	"nao5"	"nau5"
"脑"	"nau53"	""	"n"	"au"	"53"	"1"	"nao2"	"nau2"
"恼"	"nau53"	"～羞成怒"	"n"	"au"	"53"	"2"	"nao2"	"nau2"
"闹"	"nau13"	"热～，～钟"	"n"	"au"	"13"	"2"	"nao6"	"nau6"
"藕"	"nau13"	""	"n"	"au"	"13"	"2"	"nao6"	"nau6"
"扭"	"nau13"	""	"n"	"au"	"13"	"2"	"nao6"	"nau6"
"腦"	"nau53"	""	"n"	"au"	"53"	"1"	"nao2"	"nau2"
"惱"	"nau53"	"～羞成怒"	"n"	"au"	"53"	"2"	"nao2"	"nau2"
"鬧"	"nau13"	"热～，～钟"	"n"	"au"	"13"	"2"	"nao6"	"nau6"
"矛"	"mau44"	""	"m"	"au"	"44"	"1"	"mao5"	"mau5"
"茅"	"mau44"	""	"m"	"au"	"44"	"1"	"mao5"	"mau5"
"冒"	"mau13"	""	"m"	"au"	"13"	"1"	"mao6"	"mau6"
"貌"	"mau13"	""	"m"	"au"	"13"	"1"	"mao6"	"mau6"
"劳"	"lau44"	""	"l"	"au"	"44"	"2"	"lao5"	"lau5"
"楼"	"lau44"	""	"l"	"au"	"44"	"1"	"lao5"	"lau5"
"流"	"lau44"	""	"l"	"au"	"44"	"2"	"lao5"	"lau5"
"留"	"lau44"	""	"l"	"au"	"44"	"2"	"lao5"	"lau5"
"刘"	"lau44"	""	"l"	"au"	"44"	"1"	"lao5"	"lau5"
"瘤"	"lau44"	""	"l"	"au"	"44"	"1"	"lao5"	"lau5"
"落"	"lau44"	"ka1～，掉落"	"l"	"au"	"44"	"4"	"lao5"	"lau5"
"老"	"lau53"	""	"l"	"au"	"53"	"2"	"lao2"	"lau2"
"佬"	"lau53"	""	"l"	"au"	"53"	"2"	"lao2"	"lau2"
"唠"	"lau22"	""	"l"	"au"	"22"	"1"	"lao1"	"lau1"
"袄"	"lau22"	"训"	"l"	"au"	"22"	"2"	"lao1"	"lau1"
"褛"	"lau22"	""	"l"	"au"	"22"	"2"	"lao1"	"lau1"
"落"	"lau21"	"拉稀"	"l"	"au"	"21"	"4"	"lao3"	"lau3"
"老"	"lau13"	""	"l"	"au"	"13"	"2"	"lao6"	"lau6"
"佬"	"lau13"	""	"l"	"au"	"13"	"2"	"lao6"	"lau6"
"袄"	"lau13"	"又训"	"l"	"au"	"13"	"2"	"lao6"	"lau6"
"闹"	"lau13"	"训"	"l"	"au"	"13"	"2"	"lao6"	"lau6"
"褛"	"lau13"	"又"	"l"	"au"	"13"	"2"	"lao6"	"lau6"
"漏"	"lau311"	""	"l"	"au"	"311"	"1"	"lao7"	"lau7"
"勞"	"lau44"	""	"l"	"au"	"44"	"2"	"lao5"	"lau5"
"樓"	"lau44"	""	"l"	"au"	"44"	"1"	"lao5"	"lau5"
"劉"	"lau44"	""	"l"	"au"	"44"	"1"	"lao5"	"lau5"
"嘮"	"lau22"	""	"l"	"au"	"22"	"1"	"lao1"	"lau1"
"襖"	"lau22"	"训"	"l"	"au"	"22"	"2"	"lao1"	"lau1"
"褸"	"lau22"	""	"l"	"au"	"22"	"2"	"lao1"	"lau1"
"襖"	"lau13"	"又训"	"l"	"au"	"13"	"2"	"lao6"	"lau6"
"鬧"	"lau13"	"训"	"l"	"au"	"13"	"2"	"lao6"	"lau6"
"褸"	"lau13"	"又"	"l"	"au"	"13"	"2"	"lao6"	"lau6"
"考"	"kʰau53"	""	"kʰ"	"au"	"53"	"1"	"kao2"	"khau2"
"拷"	"kʰau53"	""	"kʰ"	"au"	"53"	"1"	"kao2"	"khau2"
"烤"	"kʰau53"	""	"kʰ"	"au"	"53"	"1"	"kao2"	"khau2"
"口"	"kʰau53"	""	"kʰ"	"au"	"53"	"1"	"kao2"	"khau2"
"薅"	"kʰau22"	""	"kʰ"	"au"	"22"	"1"	"kao1"	"khau1"
"□"	"kʰau44"	"剃毛"	"kʰ"	"au"	"44"	"55"	"kao5"	"khau5"
"抠"	"kʰau22"	""	"kʰ"	"au"	"22"	"2"	"kao1"	"khau1"
"叩"	"kʰau21"	""	"kʰ"	"au"	"21"	"1"	"kao3"	"khau3"
"扣"	"kʰau21"	""	"kʰ"	"au"	"21"	"2"	"kao3"	"khau3"
"哭"	"kʰau21"	""	"kʰ"	"au"	"21"	"1"	"kao3"	"khau3"
"摳"	"kʰau22"	""	"kʰ"	"au"	"22"	"2"	"kao1"	"khau1"
"猴"	"kau44"	""	"k"	"au"	"44"	"1"	"gao5"	"kau5"
"狡"	"kau53"	""	"k"	"au"	"53"	"1"	"gao2"	"kau2"
"搞"	"kau53"	""	"k"	"au"	"53"	"1"	"gao2"	"kau2"
"狗"	"kau53"	""	"k"	"au"	"53"	"1"	"gao2"	"kau2"
"垢"	"kau53"	""	"k"	"au"	"53"	"1"	"gao2"	"kau2"
"九"	"kau53"	""	"k"	"au"	"53"	"2"	"gao2"	"kau2"
"高"	"kau22"	""	"k"	"au"	"22"	"2"	"gao1"	"kau1"
"交"	"kau22"	""	"k"	"au"	"22"	"2"	"gao1"	"kau1"
"郊"	"kau22"	""	"k"	"au"	"22"	"1"	"gao1"	"kau1"
"勾"	"kau22"	""	"k"	"au"	"22"	"1"	"gao1"	"kau1"
"钩"	"kau22"	""	"k"	"au"	"22"	"1"	"gao1"	"kau1"
"沟"	"kau22"	""	"k"	"au"	"22"	"1"	"gao1"	"kau1"
"到"	"kau21"	""	"k"	"au"	"21"	"2"	"gao3"	"kau3"
"够"	"kau21"	""	"k"	"au"	"21"	"2"	"gao3"	"kau3"
"究"	"kau21"	""	"k"	"au"	"21"	"2"	"gao3"	"kau3"
"鉤"	"kau22"	""	"k"	"au"	"22"	"1"	"gao1"	"kau1"
"溝"	"kau22"	""	"k"	"au"	"22"	"1"	"gao1"	"kau1"
"夠"	"kau21"	""	"k"	"au"	"21"	"2"	"gao3"	"kau3"
"豪"	"hau44"	""	"h"	"au"	"44"	"2"	"hao5"	"hau5"
"壕"	"hau44"	""	"h"	"au"	"44"	"1"	"hao5"	"hau5"
"毫"	"hau44"	""	"h"	"au"	"44"	"1"	"hao5"	"hau5"
"皓"	"hau53"	""	"h"	"au"	"53"	"1"	"hao2"	"hau2"
"浩"	"hau53"	""	"h"	"au"	"53"	"1"	"hao2"	"hau2"
"灏"	"hau53"	""	"h"	"au"	"53"	"1"	"hao2"	"hau2"
"颢"	"hau53"	""	"h"	"au"	"53"	"1"	"hao2"	"hau2"
"昊"	"hau53"	""	"h"	"au"	"53"	"1"	"hao2"	"hau2"
"镐"	"hau53"	""	"h"	"au"	"53"	"1"	"hao2"	"hau2"
"吼"	"hau53"	""	"h"	"au"	"53"	"1"	"hao2"	"hau2"
"哮"	"hau22"	""	"h"	"au"	"22"	"1"	"hao1"	"hau1"
"孝"	"hau21"	""	"h"	"au"	"21"	"2"	"hao3"	"hau3"
"校"	"hau13"	""	"h"	"au"	"13"	"2"	"hao6"	"hau6"
"效"	"hau311"	""	"h"	"au"	"311"	"1"	"hao7"	"hau7"
"後"	"hau13"	""	"h"	"au"	"13"	"2"	"hao6"	"hau6"
"侯"	"hau311"	"闽～，地名，在福建"	"h"	"au"	"311"	"2"	"hao7"	"hau7"
"候"	"hau311"	""	"h"	"au"	"311"	"1"	"hao7"	"hau7"
"鲎"	"hau311"	""	"h"	"au"	"311"	"1"	"hao7"	"hau7"
"佝"	"hau22"	""	"h"	"au"	"22"	"2"	"hao1"	"hau1"
"熬"	"hau44"	"白，～me2（熬夜）"	"h"	"au"	"44"	"2"	"hao5"	"hau5"
"灝"	"hau53"	""	"h"	"au"	"53"	"1"	"hao2"	"hau2"
"顥"	"hau53"	""	"h"	"au"	"53"	"1"	"hao2"	"hau2"
"鎬"	"hau53"	""	"h"	"au"	"53"	"1"	"hao2"	"hau2"
"鱟"	"hau311"	""	"h"	"au"	"311"	"1"	"hao7"	"hau7"
"卯"	"bau53"	""	"b"	"au"	"53"	"1"	"bhao2"	"bau2"
"□"	"kʰauʔ32"	"形容炸得脆，又读pʰauʔ"	"kʰ"	"auʔ"	"32"	"55"	"kaoh4"	"khauh4"
"翹"	"kʰauʔ32"	""	"kʰ"	"auʔ"	"32"	"3"	"kaoh4"	"khauh4"
"捲"	"kauʔ32"	"训"	"k"	"auʔ"	"32"	"1"	"gaoh4"	"kauh4"
"笃"	"tauʔ32"	"～～（发育得好）"	"t"	"auʔ"	"32"	"3"	"daoh4"	"tauh4"
"乐"	"gauʔ54"	"音～"	"g"	"auʔ"	"54"	"3"	"ghaoh8"	"gauh8"
"樂"	"gauʔ54"	"音～"	"g"	"auʔ"	"54"	"3"	"ghaoh8"	"gauh8"
"□"	"ãu53"	"口齿不清"	""	"ãu"	"53"	"55"	"aon2"	"aunn2"
"□"	"ãu22"	"卷曲；～tsau（糟蹋）"	""	"ãu"	"22"	"55"	"aon1"	"aunn1"
"咬"	"ãuʔ54"	"口语"	""	"ãuʔ"	"54"	"2"	"aonh8"	"aunnh8"
"鸭"	"aʔ32"	""	""	"aʔ"	"32"	"1"	"ah4"	"ah4"
"押"	"aʔ32"	""	""	"aʔ"	"32"	"1"	"ah4"	"ah4"
"鴨"	"aʔ32"	""	""	"aʔ"	"32"	"1"	"ah4"	"ah4"
"插"	"tsʰaʔ32"	""	"tsʰ"	"aʔ"	"32"	"2"	"cah4"	"tshah4"
"闸"	"tsaʔ54"	""	"ts"	"aʔ"	"54"	"1"	"zah8"	"tsah8"
"栅"	"tsaʔ54"	""	"ts"	"aʔ"	"54"	"1"	"zah8"	"tsah8"
"揸"	"tsaʔ32"	"携带"	"ts"	"aʔ"	"32"	"1"	"zah4"	"tsah4"
"閘"	"tsaʔ54"	""	"ts"	"aʔ"	"54"	"1"	"zah8"	"tsah8"
"柵"	"tsaʔ54"	""	"ts"	"aʔ"	"54"	"1"	"zah8"	"tsah8"
"摣"	"tsaʔ32"	"携带"	"ts"	"aʔ"	"32"	"1"	"zah4"	"tsah4"
"摞"	"tʰaʔ54"	"训"	"tʰ"	"aʔ"	"54"	"2"	"tah8"	"tah8"
"叠"	"tʰaʔ54"	""	"tʰ"	"aʔ"	"54"	"2"	"tah8"	"tah8"
"塔"	"tʰaʔ32"	""	"tʰ"	"aʔ"	"32"	"1"	"tah4"	"tah4"
"疊"	"tʰaʔ54"	""	"tʰ"	"aʔ"	"54"	"2"	"tah8"	"tah8"
"达"	"taʔ54"	"～濠，汕头地名"	"t"	"aʔ"	"54"	"2"	"dah8"	"tah8"
"踏"	"taʔ54"	""	"t"	"aʔ"	"54"	"1"	"dah8"	"tah8"
"搭"	"taʔ32"	""	"t"	"aʔ"	"32"	"1"	"dah4"	"tah4"
"遢"	"taʔ32"	""	"t"	"aʔ"	"32"	"1"	"dah4"	"tah4"
"贴"	"taʔ32"	""	"t"	"aʔ"	"32"	"2"	"dah4"	"tah4"
"貼"	"taʔ32"	""	"t"	"aʔ"	"32"	"2"	"dah4"	"tah4"
"煠"	"saʔ54"	""	"s"	"aʔ"	"54"	"2"	"sah8"	"sah8"
"搏"	"pʰaʔ32"	""	"pʰ"	"aʔ"	"32"	"2"	"pah4"	"phah4"
"拍"	"pʰaʔ32"	""	"pʰ"	"aʔ"	"32"	"1"	"pah4"	"phah4"
"打"	"pʰaʔ32"	"训"	"pʰ"	"aʔ"	"32"	"3"	"pah4"	"phah4"
"凹"	"naʔ32"	"训"	"n"	"aʔ"	"32"	"2"	"nah4"	"nah4"
"垃"	"naʔ32"	""	"n"	"aʔ"	"32"	"2"	"nah4"	"nah4"
"辣"	"laʔ"	"固定读[32]，不变调"	"l"	"aʔ"	""	"2"	"#N/A"	"#N/A"
"腊"	"laʔ54"	""	"l"	"aʔ"	"54"	"1"	"lah8"	"lah8"
"蜡"	"laʔ54"	""	"l"	"aʔ"	"54"	"1"	"lah8"	"lah8"
"邋"	"laʔ54"	""	"l"	"aʔ"	"54"	"1"	"lah8"	"lah8"
"猎"	"laʔ54"	""	"l"	"aʔ"	"54"	"1"	"lah8"	"lah8"
"历"	"laʔ54"	"曆，～日（老派音）"	"l"	"aʔ"	"54"	"2"	"lah8"	"lah8"
"臘"	"laʔ54"	""	"l"	"aʔ"	"54"	"1"	"lah8"	"lah8"
"蠟"	"laʔ54"	""	"l"	"aʔ"	"54"	"1"	"lah8"	"lah8"
"獵"	"laʔ54"	""	"l"	"aʔ"	"54"	"1"	"lah8"	"lah8"
"曆"	"laʔ54"	"曆，～日（老派音）。多用leʔ"	"l"	"aʔ"	"54"	"2"	"lah8"	"lah8"
"客"	"kʰaʔ32"	"老派音"	"kʰ"	"aʔ"	"32"	"2"	"kah4"	"khah4"
"芥"	"kaʔ32"	""	"k"	"aʔ"	"32"	"2"	"gah4"	"kah4"
"合"	"kaʔ32"	"和"	"k"	"aʔ"	"32"	"5"	"gah4"	"kah4"
"蛤"	"kaʔ32"	""	"k"	"aʔ"	"32"	"1"	"gah4"	"kah4"
"甲"	"kaʔ32"	""	"k"	"aʔ"	"32"	"1"	"gah4"	"kah4"
"觉"	"kaʔ32"	"～顾（留意到）"	"k"	"aʔ"	"32"	"2"	"gah4"	"kah4"
"覺"	"kaʔ32"	"～顾（留意到）"	"k"	"aʔ"	"32"	"2"	"gah4"	"kah4"
"合"	"haʔ54"	""	"h"	"aʔ"	"54"	"5"	"hah8"	"hah8"
"合"	"haʔ32"	"页"	"h"	"aʔ"	"32"	"5"	"hah4"	"hah4"
"哑"	"e53"	""	""	"e"	"53"	"1"	"ê2"	"e2"
"下"	"e13"	"方位"	""	"e"	"13"	"5"	"ê6"	"e6"
"华"	"e13"	"地名用音，～溪，村名，在流沙"	""	"e"	"13"	"2"	"ê6"	"e6"
"下"	"e311"	"一下"	""	"e"	"311"	"5"	"ê7"	"e7"
"啞"	"e53"	""	""	"e"	"53"	"1"	"ê2"	"e2"
"華"	"e13"	""	""	"e"	"13"	"2"	"ê6"	"e6"
"查"	"tsʰe44"	""	"tsʰ"	"e"	"44"	"2"	"cê5"	"tshe5"
"扯"	"tsʰe53"	""	"tsʰ"	"e"	"53"	"1"	"cê2"	"tshe2"
"叉"	"tsʰe22"	""	"tsʰ"	"e"	"22"	"1"	"cê1"	"tshe1"
"杈"	"tsʰe22"	""	"tsʰ"	"e"	"22"	"1"	"cê1"	"tshe1"
"差"	"tsʰe22"	"出～、参～（交错）"	"tsʰ"	"e"	"22"	"2"	"cê1"	"tshe1"
"厕"	"tsʰe21"	""	"tsʰ"	"e"	"21"	"1"	"cê3"	"tshe3"
"廁"	"tsʰe21"	""	"tsʰ"	"e"	"21"	"1"	"cê3"	"tshe3"
"姐"	"tse53"	"训"	"ts"	"e"	"53"	"2"	"zê2"	"tse2"
"者"	"tse53"	"这"	"ts"	"e"	"53"	"3"	"zê2"	"tse2"
"这"	"tse53"	""	"ts"	"e"	"53"	"1"	"zê2"	"tse2"
"姊"	"tse53"	"白，阿～"	"ts"	"e"	"53"	"2"	"zê2"	"tse2"
"斋"	"tse22"	""	"ts"	"e"	"22"	"1"	"zê1"	"tse1"
"债"	"tse21"	""	"ts"	"e"	"21"	"1"	"zê3"	"tse3"
"寨"	"tse311"	""	"ts"	"e"	"311"	"1"	"zê7"	"tse7"
"這"	"tse53"	""	"ts"	"e"	"53"	"1"	"zê2"	"tse2"
"齋"	"tse22"	""	"ts"	"e"	"22"	"1"	"zê1"	"tse1"
"債"	"tse21"	""	"ts"	"e"	"21"	"1"	"zê3"	"tse3"
"茶"	"te44"	""	"t"	"e"	"44"	"1"	"dê5"	"te5"
"□"	"te21"	"过滤"	"t"	"e"	"21"	"55"	"dê3"	"te3"
"纱"	"se22"	""	"s"	"e"	"22"	"1"	"sê1"	"se1"
"泻"	"se21"	"摔"	"s"	"e"	"21"	"2"	"sê3"	"se3"
"紗"	"se22"	""	"s"	"e"	"22"	"1"	"sê1"	"se1"
"瀉"	"se21"	"摔"	"s"	"e"	"21"	"2"	"sê3"	"se3"
"帕"	"pʰe21"	""	"pʰ"	"e"	"21"	"1"	"pê3"	"phe3"
"爬"	"pe44"	""	"p"	"e"	"44"	"3"	"bê5"	"pe5"
"琶"	"pe44"	""	"p"	"e"	"44"	"1"	"bê5"	"pe5"
"杷"	"pe44"	""	"p"	"e"	"44"	"1"	"bê5"	"pe5"
"把"	"pe53"	""	"p"	"e"	"53"	"3"	"bê2"	"pe2"
"把"	"pe21"	""	"p"	"e"	"21"	"3"	"bê3"	"pe3"
"父"	"pe13"	"训"	"p"	"e"	"13"	"2"	"bê6"	"pe6"
"硬"	"ŋe13"	""	"ŋ"	"e"	"13"	"1"	"ngê6"	"nge6"
"㫰"	"ne44"	""	"n"	"e"	"44"	"1"	"nê5"	"ne5"
"晾"	"ne44"	""	"n"	"e"	"44"	"1"	"nê5"	"ne5"
"凉"	"ne44"	""	"n"	"e"	"44"	"2"	"nê5"	"ne5"
"冷"	"ne53"	""	"n"	"e"	"53"	"1"	"nê2"	"ne2"
"奶"	"ne13"	"训"	"n"	"e"	"13"	"2"	"nê6"	"ne6"
"涼"	"ne44"	""	"n"	"e"	"44"	"2"	"nê5"	"ne5"
"夜"	"me44"	"训"	"m"	"e"	"44"	"1"	"mê5"	"me5"
"盲"	"me44"	"青盲"	"m"	"e"	"44"	"2"	"mê5"	"me5"
"暝"	"me44"	"夜"	"m"	"e"	"44"	"1"	"mê5"	"me5"
"猛"	"me53"	""	"m"	"e"	"53"	"1"	"mê2"	"me2"
"骂"	"me311"	""	"m"	"e"	"311"	"1"	"mê7"	"me7"
"罵"	"me311"	""	"m"	"e"	"311"	"1"	"mê7"	"me7"
"丽"	"le44"	"～丽菜"	"l"	"e"	"44"	"3"	"lê5"	"le5"
"麗"	"le44"	"～丽菜"	"l"	"e"	"44"	"3"	"lê5"	"le5"
"架"	"ke44"	"训，衫～（衣架）"	"k"	"e"	"44"	"2"	"gê5"	"ke5"
"假"	"ke53"	"真～"	"k"	"e"	"53"	"6"	"gê2"	"ke2"
"家"	"ke22"	""	"k"	"e"	"22"	"3"	"gê1"	"ke1"
"加"	"ke22"	"白"	"k"	"e"	"22"	"2"	"gê1"	"ke1"
"假"	"ke21"	"年～"	"k"	"e"	"21"	"6"	"gê3"	"ke3"
"架"	"ke21"	""	"k"	"e"	"21"	"2"	"gê3"	"ke3"
"驾"	"ke21"	""	"k"	"e"	"21"	"1"	"gê3"	"ke3"
"嫁"	"ke21"	""	"k"	"e"	"21"	"1"	"gê3"	"ke3"
"下"	"ke13"	"低"	"k"	"e"	"13"	"5"	"gê6"	"ke6"
"駕"	"ke21"	""	"k"	"e"	"21"	"1"	"gê3"	"ke3"
"虾"	"he44"	""	"h"	"e"	"44"	"1"	"hê5"	"he5"
"下"	"he13"	"播种"	"h"	"e"	"13"	"5"	"hê6"	"he6"
"厦"	"he311"	""	"h"	"e"	"311"	"1"	"hê7"	"he7"
"夏"	"he311"	""	"h"	"e"	"311"	"1"	"hê7"	"he7"
"蝦"	"he44"	""	"h"	"e"	"44"	"1"	"hê5"	"he5"
"廈"	"he311"	""	"h"	"e"	"311"	"1"	"hê7"	"he7"
"牙"	"ge44"	""	"g"	"e"	"44"	"2"	"ghê5"	"ge5"
"芽"	"ge44"	""	"g"	"e"	"44"	"1"	"ghê5"	"ge5"
"衙"	"ge44"	""	"g"	"e"	"44"	"1"	"ghê5"	"ge5"
"马"	"be53"	""	"b"	"e"	"53"	"3"	"bhê2"	"be2"
"码"	"be53"	""	"b"	"e"	"53"	"1"	"bhê2"	"be2"
"馬"	"be53"	""	"b"	"e"	"53"	"3"	"bhê2"	"be2"
"碼"	"be53"	""	"b"	"e"	"53"	"1"	"bhê2"	"be2"
"醒"	"tsʰẽ53"	""	"tsʰ"	"ẽ"	"53"	"1"	"cên2"	"tshenn2"
"生"	"tsʰẽ22"	"不熟"	"tsʰ"	"ẽ"	"22"	"3"	"cên1"	"tshenn1"
"青"	"tsʰẽ22"	""	"tsʰ"	"ẽ"	"22"	"1"	"cên1"	"tshenn1"
"星"	"tsʰẽ22"	""	"tsʰ"	"ẽ"	"22"	"1"	"cên1"	"tshenn1"
"腥"	"tsʰẽ22"	"文"	"tsʰ"	"ẽ"	"22"	"2"	"cên1"	"tshenn1"
"井"	"tsẽ53"	""	"ts"	"ẽ"	"53"	"1"	"zên2"	"tsenn2"
"争"	"tsẽ22"	""	"ts"	"ẽ"	"22"	"1"	"zên1"	"tsenn1"
"静"	"tsẽ13"	""	"ts"	"ẽ"	"13"	"1"	"zên6"	"tsenn6"
"爭"	"tsẽ22"	""	"ts"	"ẽ"	"22"	"1"	"zên1"	"tsenn1"
"靜"	"tsẽ13"	""	"ts"	"ẽ"	"13"	"1"	"zên6"	"tsenn6"
"撑"	"tʰẽ22"	""	"tʰ"	"ẽ"	"22"	"1"	"tên1"	"tenn1"
"撐"	"tʰẽ22"	""	"tʰ"	"ẽ"	"22"	"1"	"tên1"	"tenn1"
"假"	"tẽ53"	"～意（假装）"	"t"	"ẽ"	"53"	"6"	"dên2"	"tenn2"
"挡"	"tẽ44"	"借字"	"t"	"ẽ"	"44"	"2"	"dên5"	"tenn5"
"捏"	"tẽ13"	"借字"	"t"	"ẽ"	"13"	"2"	"dên6"	"tenn6"
"郑"	"tẽ311"	""	"t"	"ẽ"	"311"	"3"	"dên7"	"tenn7"
"鄭"	"tẽ311"	""	"t"	"ẽ"	"311"	"1"	"dên7"	"tenn7"
"假"	"tẽ53"	"假意"	"t"	"ẽ"	"53"	"6"	"dên2"	"tenn2"
"诈"	"tẽ21"	"训，假装"	"t"	"ẽ"	"21"	"2"	"dên3"	"tenn3"
"捏"	"tẽ13"	"训"	"t"	"ẽ"	"13"	"2"	"dên6"	"tenn6"
"□"	"tẽ44"	"挡"	"t"	"ẽ"	"44"	"55"	"dên5"	"tenn5"
"詐"	"tẽ21"	"训，假装"	"t"	"ẽ"	"21"	"2"	"dên3"	"tenn3"
"省"	"sẽ53"	""	"s"	"ẽ"	"53"	"2"	"sên2"	"senn2"
"些"	"sẽ22"	""	"s"	"ẽ"	"22"	"1"	"sên1"	"senn1"
"生"	"sẽ22"	"生活"	"s"	"ẽ"	"22"	"3"	"sên1"	"senn1"
"牲"	"sẽ22"	""	"s"	"ẽ"	"22"	"3"	"sên1"	"senn1"
"性"	"sẽ21"	""	"s"	"ẽ"	"21"	"1"	"sên3"	"senn3"
"姓"	"sẽ21"	""	"s"	"ẽ"	"21"	"1"	"sên3"	"senn3"
