汉字	注释	大槐树	赵城	辛村	山头	堤村	淹底
刺		ʦʰɿ33	ʦʰɿ24	ʦʰɿ44	ʦʰɿ24	ʦʰɿ24	ʦʰɿ44
斯		sɿ21	sɿ21	sɿ21	sɿ21	sɿ21	sɿ21
撕		sɿ21	sɿ21	sɿ21	sɿ21	sɿ21	sɿ21
知		tʂʅ21	tʂʅ21	tʂʅ21	tʂʅ21	tʂʅ21	tʂʅ21
智		tʂʅ33	tʂʅ24	tʂʅ44	tʂʅ24	tʂʅ24	tʂʅ44
池		tʂʰʅ24	tʂʰʅ24	tʂʰʅ24	tʂʰʅ24	tʂʰʅ24	tʂʰʅ24
驰		tʂʰʅ24	tʂʰʅ24	tʂʰʅ24	tʂʰʅ24	tʂʰʅ24	tʂʰʅ24
支		ʦɿ21	ʦɿ21	ʦɿ21	ʦɿ21	ʦɿ21	ʦɿ21
纸		ʦɿ42	ʦɿ42	ʦɿ42	ʦɿ42	ʦɿ42	ʦɿ42
只	～有	ʦɿ21	ʦɿ21	ʦɿ21	ʦɿ21	ʦɿ21	ʦɿ21
施		ʂʅ21	sɿ21	ʂʅ21	sɿ21	sɿ21	sɿ21
是		sɿ53	sɿ53	sɿ53	sɿ53	sɿ53	sɿ53
儿		ər24	ər24	ər24	ər24	ər24	ər24
寄		ʨi33	ʨi21	ʨi44	ʨi24	ʨi24	ʨi44
骑		ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24
技		ʨi33	ʨi24	ʨi44	ʨi24	ʨi24	ʨi44
议		i33	i53	i44	i53	i53	i44
戏		ɕi33	ɕi24	ɕi44	ɕi24	ɕi24	ɕi44
椅		ȵi42	ȵi42	ȵi42	ȵi42	ȵi42	ȵi42
移		i24	i24	i24	i24	i24	i24
易	难～	i21	i24	i21	i21	i21	i53
悲		pei21	pei21	pei21	pei21	pei21	pei21
比	～较	pi42	pi42	pi42	pi42	pi42	pi42
鼻		pʰi24	pʰi24	pʰi24	pʰi24	pʰi24	pʰi24
眉		mi24	mi24	mi24	mi24	mi24	mi24
美		mei42	mei42	mei42	mei42	mei42	mei42
地		tʰi53	tʰi53	tʰi53	tʰi53	tʰi53	tʰi53
尼		ȵi24	ȵi24	ȵi24	ȵi24	ȵi24	ȵi24
腻		ȵi53	ȵi53	ȵi53	ȵi53	ȵi53	ȵi53
梨		li24	li24	li24	li24	li24	li24
利		li33	li53	li53	li53	li53	li53
资		ʦɿ21	ʦɿ21	ʦɿ21	ʦɿ21	ʦɿ21	ʦɿ21
姿		ʦɿ21	ʦɿ21	ʦɿ21	ʦɿ21	ʦɿ21	ʦɿ21
次		ʦʰɿ33	ʦʰɿ24	ʦʰɿ44	ʦʰɿ24	ʦʰɿ24	ʦʰɿ44
瓷		ʦʰɿ24	ʦʰɿ24	ʦʰɿ24	ʦʰɿ24	ʦʰɿ24	ʦʰɿ24
自		ʦɿ53	ʦɿ53	ʦɿ44	ʦɿ53	ʦɿ53	ʦɿ53
私		sɿ21	sɿ21	sɿ21	sɿ21	sɿ21	sɿ21
死		sɿ42	sɿ42	sɿ42	sɿ42	sɿ42	sɿ42
四		sɿ33	sɿ24	sɿ44	sɿ24	sɿ24	sɿ44
师		sɿ21	sɿ21	sɿ21	sɿ21	sɿ21	sɿ21
狮		sɿ21	sɿ21	sɿ21	sɿ21	sɿ21	sɿ21
指		ʦɿ42	ʦɿ42	ʦɿ42/tʂe21～头	ʦɿ42	ʦɿ42	ʦɿ42
示		sɿ21	sɿ21	sɿ21	sɿ21	sɿ21	sɿ21
二		ər53	ər53	ər53	ər53	ər53	ər53
饥	～饿	ʨi21	ʨi21	ʨi21	ʨi21	ʨi21	ʨi21
肌		ʨi21	ʨi21	ʨi21	ʨi21	ʨi21	ʨi21
器		ʨʰi33	ʨʰi24	ʨʰi44	ʨʰi24	ʨʰi24	ʨʰi44
姨		i24	i24	i24	i24	i24	i24
你		ȵi33	ȵi24	ȵi44	ȵi24	ȵi24	ȵi44
李		li42	li42	li42	li42	li42	li42
里		li42	li42	li42	li24	li42	li42
子		ʦɿ42	ʦɿ42	ʦɿ42	ʦɿ42	ʦɿ42	ʦɿ42
字		ʦʰɿ53	ʦʰɿ53	ʦʰɿ53	ʦʰɿ53	ʦʰɿ53	ʦʰɿ53
丝		sɿ21	sɿ21	sɿ21	sɿ21	sɿ21	sɿ21
思		sɿ21	sɿ21	sɿ21	sɿ21	sɿ21	sɿ21
词		ʦʰɿ24	ʦʰɿ24	ʦʰɿ24	ʦʰɿ24	ʦʰɿ24	ʦʰɿ24
置		tʂʅ33	tʂʅ24	tʂʅ44	tʂʅ24	tʂʅ24	tʂʅ44
持		tʂʰʅ24	tʂʰʅ24	tʂʰʅ24	tʂʰʅ24	tʂʰʅ24	tʂʰʅ24
治		tʂʅ33	tʂʅ24	tʂʅ44	tʂʅ24	tʂʅ24	tʂʅ44
柿		sɿ53	sɿ53	sɿ53	sɿ53	sɿ53	sɿ53
事		sɿ53	sɿ53	sɿ53	sɿ53	sɿ53	sɿ53
使		sɿ21	sɿ21	ʂʅ21	sɿ42	sɿ21	sɿ42
史		sɿ21	sɿ21	sɿ21	sɿ21	sɿ21	sɿ21
志		ʦɿ33	ʦɿ24	ʦɿ44	ʦɿ24	ʦɿ24	tʂʅ44
始		sɿ42	sɿ42	sɿ42	sɿ42	sɿ42	sɿ42
试		sɿ33	sɿ53	sɿ44	sɿ53	sɿ53	ʂʅ44
时		sɿ24	sɿ24	sɿ24	sɿ24	sɿ24	sɿ24
市		sɿ53	sɿ53	sɿ53	sɿ53	sɿ53	sɿ53
而		ər24	ər24	ər24	ər24	ər24	ər42
耳		ər24	ər24	ər24	ər24	ər24	ər24
基		ʨi21	ʨi21	ʨi21	ʨi21	ʨi21	ʨi21
记		ʨi33	ʨi24	ʨi44	ʨi24	ʨi24	ʨi44
欺		ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21
起		ʨʰi42	ʨʰi42	ʨʰi42	ʨʰi42	ʨʰi42	ʨʰi42
棋		ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24
期		ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21
旗		ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24
疑		ȵi24	ȵi24	ȵi24	ȵi24	ȵi24	ȵi24
喜		ɕi42	ɕi42	ɕi42	ɕi42	ɕi42	ɕi42
医		i21	i21	i21	i21	i21	i21
意		i24	i24	i44	i24	i24	i44
以		i21	i21	i21	i21	i21	i21
机		ʨi21	ʨi21	ʨi21	ʨi21	ʨi21	ʨi21
气		ʨʰi33	ʨʰi24	ʨʰi44	ʨʰi24	ʨʰi24	ʨʰi44
稀		ɕi21	ɕi21	ɕi21	ɕi21	ɕi21	ɕi21
衣		ȵi21	ȵi21	ȵi21	ȵi21	ȵi21	ȵi21
嘴		ʨy42	ʨy42	ʨy42	ʨy42	ʨy42	ʨy42
随		suei24	suei24	suei24	suei24	suei24	suei24
吹		tʂʰu21-/tʂʰuei21=	tʂʰu21-/tʂʰuei21=	tʂʰu21-/ʦʰuei21=	tʂʰu21-/tʂʰuei21=	tʂʰu21-/tʂʰuei21=	tʂʰu21-/tʂʰuei21=
睡		fu53	ʂu53	fu53	ʂu53	ʂu53	fu53
规		kuei21	kuei21	kuei21	kuei21	kuei21	kuei21
亏		kʰuei21	kʰuei21	kʰuei21	kʰuei21	kʰuei21	kʰuei21
跪		kuei53	kuei53	kuei53	kuei53	kuei53	kuei53
危		uei21	uei21	uei21	uei21	uei21	uei21
委		uei24	uei24	uei24	uei24	uei24	uei24
类		lei53	lei53	lei53	lei53	lei53	lei53
泪		ly53	ly53	ly53	ly53	ly53	ly53
醉		ʦuei33	ʨy24	ʨy44	ʨy24	ʨy24	ʦuei44
追		tʂuei21	tʂuei21	tʂuei21	ʦuei21	tʂuei21	ʦuei21
锤		tʂʰuei24	tʂʰuei24	tʂʰuei24	ʦʰuei24	tʂʰuei24	tʂʰuei24
帅		ʂuai33	ʂuai53	ʂuai44	suai24	ʂuai24	ʂuai44
水		fu42	ʂu42	fu42	ʂu42	ʂu42	fu42
季		ʨi33	ʨi24	ʨi44	ʨi24	ʨi24	ʨi44
柜		kuei53	kuei53	kuei53	kuei53	kuei53	kuei53
位		uei33	uei53	uei44	uei53	uei53	uei44
飞		fei21	fei21	fei21	fei21	fei21	fei21
匪		fei21	fei24	fei21	fei24	fei21	fei21
肥		fei24	fei24	fei24	fei24	fei24	fei24
尾		i24/vei42	i24/vei42	i24/vei42	i24/vei42	uei42	i24/vei42
味		vei53	vei53	vei53	vei53	vei53	vei53
归		kuei21	kuei21	kuei21	kuei21	kuei21	kuei21
鬼		kuei42	kuei42	kuei42	kuei42	kuei42	kuei42
贵		kuei33	kuei24	kuei44	kuei24	kuei24	kuei44
威		uei21	uei21	uei21	uei21	uei21	uei21
围		uei24	uei24	uei24	uei24	uei24	uei24
伟		uei53	uei53	uei53	uei53	uei53	uei53
胃		uei53	uei53	uei53	uei53	uei53	uei53
保		pao42	pao42	pao42	pao42	pao42	pao42
宝		pao42	pao42	pao42	pao42	pao42	pao42
报		pao33	pao24	pao44	pao24	pao24	pao44
抱		pao53	pao53	pao53	pao53	pao53	pao53
毛		mao24	mao24	mao24	mao24	mao24	mao24
帽		mao33	mao53	mao44	mao53	mao53	mao44
刀		tao21	tao21	tao21	tao21	tao21	tao21
岛		tao42	tao24	tao42	tao24	tao24	tao42
到		tao33	tao24	tao44	tao24	tao24	tao44
讨		tʰao42	tʰao24	tʰao42	tʰao24	tʰao42	tʰao42
套		tʰao33	tʰao53	tʰao44	tʰao53	tʰao53	tʰao44
桃		tʰao24	tʰao24	tʰao24	tʰao24	tʰao24	tʰao24
逃		tʰao24	tʰao24	tʰao24	tʰao24	tʰao24	tʰao24
道		tʰao53	tʰao53	tʰao53	tʰao53	tʰao53	tʰao53
导		tao53	tao53	tao53	tao53	tao53	tao53
脑		nao24	nao24	nao24	nao24	nao24	nao24
劳		lao24	lao24	lao24	lao24	lao24	lao24
牢		lao24	lao24	lao24	lao24	lao24	lao24
老		lao42	lao42	lao42	lao42	lao42	lao42
糟		ʦao21	ʦao21	ʦao21	ʦao21	ʦao21	ʦao21
早		ʦao42	ʦao42	ʦao42	ʦao42	ʦao42	ʦao42
枣		ʦao24	ʦao24	ʦao24	ʦao24	ʦao24	ʦao24
灶		ʦao33	ʦao53	ʦao44	ʦao24	ʦao53	ʦao44
草		ʦʰao42	ʦʰao42	ʦʰao42	ʦʰao42	ʦʰao42	ʦʰao42
曹		ʦʰao24	ʦʰao24	ʦʰao24	ʦʰao24	ʦʰao24	ʦʰao24
嫂		sao33	sao42	sao44	sao24	sao42	sao44
高		kao21	kao21	kao21	kao21	kao21	kao21
羔		kao21	kao21	kao21	kao21	kao21	kao21
告		kao33	kao24	kao44	kao24	kao24	kao44
考		kʰao42	kʰao42	kʰao42	kʰao42	kʰao42	kʰao42
烤		kʰao42	kʰao42	kʰao42	kʰao42	kʰao42	kʰao42
靠		kʰao33	kʰao24	kʰao44	kʰao24	kʰao24	kʰao44
耗		xao33	xao24	xao44	xao24	xao24	xao44
豪		xao24	xao24	xao24	xao24	xao24	xao24
包		pao21	pao21	pao21	pao21	pao21	pao21
饱		pao42	pao42	pao42	pao42	pao42	pao42
豹		pao33	pao24	pao44	pao24	pao24	pao44
炮	枪～	pʰao33	pʰao24	pʰao44	pʰao24	pʰao24	pʰao44
跑		pʰao24	pʰao24	pʰao24	pʰao24	pʰao24	pʰao24
猫		mao24	mao24	mao24	mao24	mao24	mao24
闹		nao53	nao53	nao53	nao53	nao53	nao53
罩		ʦao53	ʦao53	ʦao53	ʦao53	ʦao53	ʦao53
抓		tʂua21	tʂua21	tʂua21	tʂua21	tʂua24	tʂua21
找		tʂao42	tʂao42	ʦao42	ʦao42	tʂao42	tʂao42
吵		ʦʰao42	ʦʰao42	ʦʰao42	ʦʰao42	ʦʰao42	ʦʰao42
交		tiao21-/ʨiao21=	tiao21-/ʨiao21=	tiao21-/ʨiao21=	tiao21-/ʨiao21=	tiao21-/ʨiao21=	tiao21-/ʨiao21=
搞		kao42	kao42	kao42	kao42	kao24	kao42
较		ʨiao21	ʨiao21	ʨiao21	ʨiao21	ʨiao21	ʨiao21
窖		ʨiao33	iao24	ʨiao44	tiao53	iao24	ʨiao44
敲		tʰiao21	tʰiao21	tʰiao21	tʰiao21	tʰiao21	tʰiao21
巧		ʨʰiao42	ʨʰiao42	ʨʰiao42	ʨʰiao42	ʨʰiao42	ʨʰiao42
咬		ȵiao53	ȵiao53	ȵiao53	ȵiao53	ȵiao53	ȵiao53
效		ɕiao33	ɕiao53	ɕiao44	ɕiao53	ɕiao53	ɕiao44
校	学～	ɕiao53	ɕiao53	ɕiao53	ɕiao53	ɕiao53	ɕiao53
标		piao21	piao21	piao21	piao21	piao21	piao21
表		piao42	piao42	piao42	piao42	piao42	piao42
飘		pʰiao21	pʰiao21	pʰiao21	pʰiao21	pʰiao21	pʰiao21
票	车～	pʰiao33	pʰiao24	pʰiao44	pʰiao24	pʰiao24	pʰiao44
瓢		pʰiao24	pʰiao24	pʰiao24	pʰiao24	pʰiao24	pʰiao24
苗		miao24	miao24	miao24	miao24	miao24	miao24
庙		miao53	miao53	miao53	miao53	miao53	miao53
焦		ʨiao21	ʨiao21	ʨiao21	ʨiao21	ʨiao21	ʨiao21
椒		tio21辣～/ʨiao21青～	tio21辣～/ʨiao21青～	tio21辣～/ʨiao21青～	tio21辣～/ʨiao21青～	tio21辣～/ʨiao21青～	tio21辣～/ʨiao21青～
悄	静～～	ʨʰiao21	ʨʰiao21	ʨʰiao21	ʨʰiao21	ʨʰiao21	ʨʰiao21
消		ɕiao21	ɕiao21	ɕiao21	ɕiao21	ɕiao21	ɕiao21
小		ɕiao42	ɕiao42	ɕiao42	ɕiao42	ɕiao42	ɕiao42
笑		ɕiao33	ɕiao24	ɕiao44	ɕiao24	ɕiao24	ɕiao44
超		tʂʰao21	tʂʰao21	tʂʰao21	tʂʰao21	tʂʰao21	tʂʰao21
潮		tʂʰao24	tʂʰao24	tʂʰao24	tʂʰao24	tʂʰao24	tʂʰao24
赵		tʂao53	tʂʰao53	tʂʰao53	tʂao53	tʂao53	tʂʰao53
招		tʂao21	tʂao21	tʂao21	tʂao21	tʂao21	tʂao21
照		tʂao33	tʂao24	tʂao44	tʂao24	tʂao24	tʂao44
烧		ʂao21	ʂao21	ʂao21	ʂao21	ʂao21	ʂao21
少	多～	ʂao42	ʂao42	ʂao42	ʂao42	ʂao42	ʂao42
绍		ʂao53	ʂao53	ʂao53	ʂao53	ʂao53	ʂao53
桥		ʨʰiao24	ʨʰiao24	ʨʰiao24	ʨʰiao24	ʨʰiao24	ʨʰiao24
轿		tʰiao53	tʰiao53	tʰiao53	tʰiao53	tʰiao53	ʨʰiao53
腰		iao21	iao21	iao21	iao21	iao21	iao21
摇		iao24	iao24	iao24	iao24	iao24	iao24
窑		iao24	iao24	iao24	iao24	iao24	iao24
姚		iao24	iao24	iao24	iao24	iao24	iao24
挑		tʰiao21	tʰiao21	tʰiao21	tʰiao21	tʰiao21	tʰiao21
条		tʰiao24	tʰiao24	tʰiao24	tʰiao24	tʰiao24	tʰiao24
跳		tʰiao33	tʰiao24	tʰiao44	tʰiao24	tʰiao24	tʰiao44
料		liao53	liao53	ȵiao53	liao53	liao53	liao53
叫		ʨiao33	ʨiao24	ʨiao44	ʨiao24	ʨiao24	ʨiao44
母		mu42	mu42	mu42	mu42	mu42	mu42
抖		tou42	tou42	tou42	tou42	tou42	tou42
陡		tou42	tou42	tou42	tou42	tou42	tou42
偷		tʰou21	tʰou21	tʰou21	tʰou21	tʰou21	tʰou21
透		tʰou33	tʰou24	tʰou44	tʰou24	tʰou24	tʰou44
头		tʰou24	tʰou24	tʰou24	tʰou24	tʰou24	tʰou24
豆		tʰou53	tʰou53	tʰou53	tʰou53	tʰou53	tʰou53
逗		tou33	tou24	tou44	tou24	tou24	tou44
楼		lou24	lou24	lou24	lou24	lou24	lou24
漏		lou53	lou53	lou53	lou53	lou53	lou53
走		ʦou42	ʦou42	ʦou42	ʦou42	ʦou42	ʦou42
凑		ʦʰou33	ʦʰou53	ʦʰou44	ʦʰou53	ʦʰou53	ʦʰou44
沟		kou21	kou21	kou21	kou21	kou21	kou21
狗		kou42	kou24	kou42	kou24	kou24	kou42
够		kou33	kou24	kou44	kou24	kou24	kou44
口		kʰou42	kʰou42	kʰou42	kʰou42	kʰou42	kʰou42
扣	～住	kʰou24	kʰou24	kʰou24	kʰou24	kʰou24	kʰou44
猴		xou24	xou24	xou24	xou24	xou24	xou24
厚		xou53	xou53	xou53	xou53	xou53	xou53
富		fu33	fu24	fu44	fu24	fu24	fu44
妇		fu33	fu53	fu44	fu53	fu53	fu44
纽		ȵiou42	ȵiou42	ȵiou42	niou42	ȵiou42	ȵiou42
刘		liou24	liou24	liou24	liou24	liou24	liou24
留		liou24	liou24	liou24	liou24	liou24	liou24
柳		liou42	liou42	liou42	liou42	liou24	liou42
酒		ʨiou42	ʨiou42	ʨiou42	ʨiou42	ʨiou42	ʨiou42
秋	～天	ʨʰiou21	ʨʰiou21	ʨʰiou21	ʨʰiou21	ʨʰiou21	ʨʰiou21
就		ʨʰiou53	ʨiou53	ʨʰiou53	ʨiou53	ʨiou53	ʨʰiou53
修		ɕiou21	ɕiou21	ɕiou21	ɕiou21	ɕiou21	ɕiou21
锈	铁～	ɕiou33	ɕiou24	ɕiou44	ɕiou24	ɕiou24	ɕiou44
袖		ɕiou53	ɕiou53	ɕiou53	ɕiou53	ɕiou53	ɕiou53
愁		tʂʰou24	ʦʰou24	ʦʰou24	ʦʰou24	ʦʰou24	tʂʰou24
周		tʂou21	tʂou21	tʂou21	tʂou21	tʂou21	tʂou21
州		tʂou21	tʂou21	tʂou21	tʂou21	tʂou21	tʂou21
臭	香～	tʂʰou33	tʂʰou24	tʂʰou44	tʂʰou24	tʂʰou24	ʦʰou44
收		ʂou21	ʂou21	ʂou21	ʂou21	ʂou21	ʂou21
手		ʂou42	ʂou42	ʂou42	ʂou42	ʂou42	ʂou42
守		ʂou42	ʂou42	ʂou42	ʂou42	ʂou42	ʂou42
兽		ʂou33	ʂou53	ʂou44	ʂou53	ʂou53	ʂou44
仇	～恨	tʂʰou24	tʂʰou24	tʂʰou24	tʂʰou24	tʂʰou24	tʂʰou24
寿		ʂou53	ʂou53	ʂou53	ʂou53	ʂou53	ʂou53
九		ʨiou42	ʨiou42	ʨiou42	ʨiou42	ʨiou42	ʨiou42
久		ʨiou42	ʨiou42	ʨiou42	ʨiou42	ʨiou42	ʨiou42
救		ʨiou33	ʨiou24	ʨiou44	ʨiou24	ʨiou24	ʨiou44
球		ʨʰiou24	ʨʰiou24	ʨʰiou24	ʨʰiou24	ʨʰiou24	ʨʰiou24
舅		ʨʰiou53	ʨʰiou53	ʨʰiou53	ʨʰiou53	ʨʰiou53	ʨʰiou53
旧		ʨʰiou53	ʨʰiou53	ʨʰiou53	ʨʰiou53	ʨʰiou53	ʨʰiou53
牛		ȵiou24	ȵiou24	ȵiou24	niou24	ȵiou24	ȵiou24
休		ɕiou21	ɕiou21	ɕiou21	ɕiou21	ɕiou21	ɕiou21
优		iou21	iou21	iou21	iou21	iou21	iou21
有		iou42	iou42	iou42	iou42	iou42	iou42
友		iou53	iou53	iou53	iou53	iou53	iou53
又		iou53	iou53	iou53	iou53	iou53	iou53
右		iou53	iou53	iou53	iou53	iou53	iou53
油		iou24	iou24	iou24	iou24	iou24	iou24
游		iou24	iou24	iou24	iou24	iou24	iou24
幼		iou33	iou24	iou44	iou24	iou24	iou44
耽		tan21	tan21	tan21	tan21	tan21	tan21
贪		tʰan21	tʰan21	tʰan21	tʰan21	tʰan21	tʰan21
潭		tʰan24	tʰan24	tʰan24	tʰan24	tʰan24	tʰan24
谭		tʰan24	tʰan24	tʰan24	tʰan24	tʰan24	tʰan24
南		nan24	nan24	nan24	nan24	nan24	nan24
男		nan24	nan24	nan24	nan24	nan24	nan24
惨		ʦʰan42	ʦʰan42	ʦʰan42	ʦʰan42	ʦʰan42	ʦʰan42
感		kan42	kan42	kan42	kan42	kan42	kan42
砍		kʰan42	kʰan42	kʰan42	kʰan42	kʰan42	kʰan42
暗		ŋan33	ŋan24	ŋan44	ŋan24	ŋan24	ŋan44
答		ta24	ta53	ta53	ta53	ta53	ta21
踏		tʰa33	tʰa24	tʰa44	tʰa24	tʰa24	tʰa44
拉		la21	la21	la21	la21	la21	la21
杂		ʦʰa24	ʦʰa24	ʦʰa24	ʦʰa24	ʦʰa24	ʦʰa24
盒	烟～	xo24	xɤ24	xuo24	xɤ24	xɤ24	xo24
胆		tan42	tan42	tan42	tan42	tan42	tan42
毯		tʰan42	tʰan42	tʰan42	tʰan42	tʰan42	tʰan42
淡		tʰan53	tʰan53	tʰan53	tʰan53	tʰan53	tʰan53
蓝		lan24	lan24	lan24	lan24	lan24	lan24
滥		lan53	lan53	lan53	lan53	lan53	lan53
三		san21	san21	san21	san21	san21	san21
甘		kan21	kan21	kan21	kan21	kan21	kan21
敢		kan42	kan42	kan42	kan42	kan42	kan42
喊		xan42	xan42	xan42	xan42	xan42	xan42
塔		tʰa21	tʰa21	tʰa21	tʰa21	tʰa21	tʰa21
腊		la21	la21	la21	la21	la21	la21
磕		kʰo21	kʰɤ21	kʰuo21	kʰɤ21	kʰɤ21	kʰo21
赚		tʂuan33	tʂuan53	tʂuan44	tʂuan53	tʂuan53	tʂuan44
站	车～	ʦan53	ʦan53	ʦan53	ʦan53	ʦan53	ʦan53
蘸	～酱油	ʦan33	ʦan24	ʦan44	ʦan24	ʦan24	ʦan44
馋		tʂʰan24	tʂʰan24	tʂʰan24	ʦʰan24	tʂʰan24	ʦʰan24
减		ʨian42	ʨian42	ʨian42	ʨian42	ʨian42	ʨian42
咸	～菜	xan24	xan24	xan24	xan24	xan24	xan24
馅		ɕian53	ɕian53	ɕian53	ɕian53	ɕian53	ɕian53
眨	～眼	ʦa53	ʦa24	ʦa53	ʦa53	ʦa24	ʦa53
插		ʦʰa21	ʦʰa21	ʦʰa21	ʦʰa21	ʦʰa21	ʦʰa21
夹		tia21	tia21	tia21	tia21	tia21	ʨia21
恰		ʨʰia33	ʨʰia21	ʨʰia44	ʨʰia21	ʨʰia21	ʨʰia44
监	～察	ʨian21	ʨian21	ʨian21	ʨian21	ʨian21	ʨian21
甲		ʨia21	ʨia21	ʨia21	ʨia42	ʨia21	ʨia42
鸭		ȵia42	ȵia42	ȵia42	ȵia42	ȵia42	ȵia42
押		ȵia42	ȵia42	ȵia42	ȵia42	ȵia42	ȵia42
压		ȵia42	ȵia42	ȵia42	ȵia42	ȵia42	ȵia42
镰		lian24	lian24	lian24	lian24	lian24	lian24
尖		ʨian21	ʨian21	ʨian21	ʨian21	ʨian21	ʨian21
签		ʨʰian21	ʨʰian21	ʨʰian21	ʨʰian21	ʨʰian21	ʨʰian21
渐		ʨian53	ʨian24	ʨian53	ʨian24	ʨian24	ʨian53
沾		tʂan21	tʂan21	tʂan21	tʂan21	tʂan21	tʂan21
陕	～西	ʂan42	ʂan42	ʂan42	ʂan42	ʂan42	san42
闪		ʂan42	ʂan42	ʂan42	ʂan42	ʂan42	ʂan42
染		ʐan42	ʐan42	ʐan42	ʐan42	ʐan42	ʐan42
检		ʨian42	ʨian42	ʨian42	ʨian42	ʨian42	ʨian42
脸		lian42	lian42	lian42	lian42	lian42	lian42
钳		ʨʰian24	ʨʰian24	ʨʰian24	ʨʰian24	ʨʰian24	ʨʰian24
俭		ʨian53	ʨian53	ʨian53	ʨian53	ʨian53	ʨian53
险		ɕian42	ɕian42	ɕian42	ɕian42	ɕian42	ɕian42
盐		ian24	ian24	ian24	ian24	ian24	ian24
阎		ian24	ian24	ian24	ian24	ian24	ian24
檐		ian24	ian24	ian24	ian24	ian24	ian24
焰		ian53	ian53	ian53	ian53	ian53	ian53
聂	姓	ȵie21	ȵie21	ȵie21	ȵie21	ȵie21	ȵie21
猎		lie21	lie21	lie42	lie21	lie21	lie21
接		ʨie21	ʨie21	ʨie21	ʨie21	ʨie21	ʨie21
叶		ie42	ie42	ie42	ie42	ie42	ie42
页		ie42	ie42	ie42	ie42	ie42	ie42
剑		ʨian33	ʨian24	ʨian44	ʨian24	ʨian24	ʨian44
欠		ʨʰian33	ʨʰian53	ʨʰian44	ʨʰian53	ʨʰian53	ʨʰian44
业		ȵie21	ie21	ȵie21	ie21	ie21	ȵie21
点		tian42	tian42	tian42	tian42	tian42	tian42
店		tian33	tian24	tian44	tian24	tian24	tian44
添		tʰian21	tʰian21	tʰian21	tʰian21	tʰian21	tʰian21
舔	以舌取物	tʰian42	tʰian42	tʰian42	tʰian42	tʰian42	tʰian42
甜		tʰian24	tʰian24	tʰian24	tʰian24	tʰian24	tʰian24
念		ȵian53	ȵian53	ȵian53	ȵian53	ȵian53	ȵian53
兼		ʨian21	ʨian21	ʨian21	ʨian21	ʨian21	ʨian21
嫌		ɕian24	ɕian24	ɕian24	ɕian24	ɕian24	ɕian24
贴		tʰie21	tʰie21	tʰie21	tʰie21	tʰie21	tʰie21
碟		tʰie24	tʰie24	tʰie24	tʰie24	tʰie24	tʰie24
协		ɕie24	ɕie24	ɕie24	ɕie24	ɕie24	ɕie24
凡		fan24	fan24	fan24	fan24	fan24	fan24
范		fan33	fan53	fan44	fan53	fan53	fan44
犯		fan53	fan53	fan53	fan53	fan53	fan53
法	方～、法子	fa21	fa21	fa21	fa21	fa21	fa21
品		pʰien42	pʰiə̃42	pʰien42	pʰiə̃42	pʰien42	pʰien42
林		lien24	liə̃24	lien24	liə̃24	lien24	lien24
心		ɕien21	ɕiə̃21	ɕien21	ɕiə̃21	ɕien21	ɕien21
寻		ɕien24	ɕiə̃24	ɕien24	ɕiə̃24	ɕien24	ɕien24
沉		tʂʰen24	tʂʰə̃24	tʂʰen24	tʂʰə̃24	tʂʰen24	tʂʰen24
针		tʂen21	tʂə̃21	tʂen21	tʂə̃21	tʂen21	tʂen21
枕		tʂen42	tʂə̃42	tʂen42	tʂə̃42	tʂen42	tʂen42
深		ʂen21	ʂə̃21	ʂen21	ʂə̃21	ʂen21	ʂen21
沈		ʂen42	ʂə̃42	ʂen42	ʂə̃42	ʂen24	ʂen42
婶		ʂen24	ʂə̃42	ʂen24	ʂə̃42	ʂen42	ʂen24
今		ʨien21	ʨiə̃21	ʨien21	ʨiə̃21	ʨien21	ʨien21
金		ʨien21	ʨiə̃21	ʨien21	ʨiə̃21	ʨien21	ʨien21
锦		ʨien42	ʨiə̃42	ʨien42	ʨiə̃42	ʨien21	ʨien44
钦		ʨʰien21	ʨʰiə̃21	ʨʰien21	ʨʰiə̃21	ʨʰien21	ʨʰien21
琴		ʨʰien24	ʨʰiə̃24	ʨʰien24	ʨʰiə̃24	ʨʰien24	ʨʰien24
吟		ien24	iə̃24	ien24	iə̃24	ien24	ien42
音		ien21	iə̃21	ien21	iə̃21	ien21	ien21
阴		ȵien21	ȵiə̃21	ȵien21	ȵiə̃21	ȵien21	ȵien21
立		li21	li21	li21	li21	li21	li21
集		ʨi24	ʨi24	ʨi24	ʨi24	ʨi24	ʨi24
习		ɕi24	ɕi24	ɕi21	ɕi24	ɕi24	ɕi24
湿		ʂʅ21	ʂʅ21	ʂʅ21	ʂʅ21	ʂʅ21	ʂʅ21
十		ʂʅ24	ʂʅ24	ʂʅ24	ʂʅ24	ʂʅ24	ʂʅ24
入		vu21	ʐu21	vu21	ʐu21	ʐu21	vu21
急		ʨi24	ʨi24	ʨi24	ʨi24	ʨi24	ʨi24
