	單字	合水(調類)	合水(調值)	注释
727	薪	ɬɐn1	ɬɐn⁴⁵	
728	詢	ʦʰɐn4	ʦʰɐn³¹	
729	新	ɬɐn1	ɬɐn⁴⁵	
730	辛	ɬɐn1	ɬɐn⁴⁵	
731	筍	ɬɐn2	ɬɐn³²³	
732	訊	ɬɐn3	ɬɐn³³	
733	迅	ɬɐn3	ɬɐn³³	
734	信	ɬɐn3	ɬɐn³³	
735	窸	ɬɪk7	ɬɪk⁴⁵	
736	悉	ɬɪk7	ɬɪk⁴⁵	
737	膝	ɬɐt7	ɬɐt⁴⁵	
738	恤	ɬɐt7	ɬɐt⁴⁵	
739	蟋	ɬɪk7	ɬɪk⁴⁵	
740	戌	ɬɐt7	ɬɐt⁴⁵	
741	殉	ɬɐn3	ɬɐn³³	
742	巡	ʦʰɐn4	ʦʰɐn³¹	
743	馴	fɐn3	fɐn³³	
744	旬	ʦʰɐn4	ʦʰɐn³¹	
745	循	ʦʰɐn4	ʦʰɐn³¹	
746	詰	kʰit3	kʰit³³	
747	身	sɐn1	sɐn⁴⁵	
748	申	sɐn1	sɐn⁴⁵	
749	伸	sɐn1	sɐn⁴⁵	
750	紳	sɐn1	sɐn⁴⁵	
751	呻	sɐn1	sɐn⁴⁵	白读sɐn³³
752	舜	sɐn6	sɐn⁵²	
753	瞬	sɐn3	sɐn³³	
754	失	sɐt7	sɐt⁴⁵	
755	室	sɐt7	sɐt⁴⁵	
756	娠	sɐn4	sɐn³¹	妊娠
757	人	ȵɐn4	ȵɐn³¹	
758	仁	ȵɐn4	ȵɐn³¹	
759	忍	ȵɐn2	ȵɐn³²³	
760	仞	ȵɐn6	ȵɐn⁵²	
761	閏	ȵɐn6	ȵɐn⁵²	
762	刃	ȵɐn6	ȵɐn⁵²	
763	認	ȵɐn6	ȵɐn⁵²	
764	潤	ȵɐn6	ȵɐn⁵²	
765	韌	ȵɐn6	ȵɐn⁵²	
766	日	ȵɐt9	ȵɐt⁵²	
767	軔	ȵɐn6	ȵɐn⁵²	
768	竣	ʦɐn3	ʦɐn³³	
769	親	ʦʰɐn1	ʦʰɐn⁴⁵	親人
770	親	ʦʰɐn3	ʦʰɐn³³	親家
771	柒	ʦʰɐt7	ʦʰɐt⁴⁵	
772	七	ʦʰɐt7	ʦʰɐt⁴⁵	
773	漆	ʦʰɐt7	ʦʰɐt⁴⁵	
774	皴			
775	黢	ʦɐn3	ʦɐn³³	
776	繽	pɐn1	pɐn⁴⁵	
777	匹	pʰɐt7	pʰɐt⁴⁵	
778	民	mɐn4	mɐn³¹	
779	謐	mɐt9	mɐt⁵²	
780	蜜	mɐt9	mɐt⁵²	
781	泯	mɐn5	mɐn³¹²	
782	麟	lɐn4	lɐn³¹	
783	掄			
784	磷	lɐn4	lɐn³¹	
785	鄰	lɐn4	lɐn³¹	
786	輪	lɐn4	lɐn³¹	
787	倫	lɐn4	lɐn³¹	
788	綸	lɐn4	lɐn³¹	垂綸
789	鱗	lɐn4	lɐn³¹	
790	淪	lɐn4	lɐn³¹	
791	藺	lɐn6	lɐn⁵²	
792	遴	lɐn4	lɐn³¹	
793	吝	lɐn6	lɐn⁵²	
794	栗	lɐt9	lɐt⁵²	
795	律	lɐt9	lɐt⁵²	
796	慄	lɐt9	lɐt⁵²	
797	粼	lɐn4	lɐn³¹	
798	嶙	lɐn4	lɐn³¹	
799	躪			
800	侖	lɐn4	lɐn³¹	
801	遵	ʦun1	ʦun⁴⁵	
802	津	ʦɐn1	ʦɐn⁴⁵	
803	進	ʦɐn3	ʦɐn³³	
804	俊	ʦɐn3	ʦɐn³³	
805	晉	ʦɐn3	ʦɐn³³	
806	駿	ʦɐn3	ʦɐn³³	
807	卒	ʦɐt7	ʦɐt⁴⁵	士卒
808	唧	ʦɪk7	ʦɪk⁴⁵	
809	啐			
810	鈞	kʰɐn1	kʰɐn⁴⁵	
811	均	kʰɐn1	kʰɐn⁴⁵	
812	緊	kɐn2	kɐn³²³	
813	橘	kɐt7	kɐt⁴⁵	
814	吉	kɐt7	kɐt⁴⁵	
815	拮	kit8	kit³	
816	秦	ʦʰɐn4	ʦʰɐn³¹	
817	盡	ʦɐn6	ʦɐn⁵²	
818	疾	ʦɐt9	ʦɐt⁵²	
819	脣	sɐn4	sɐn³¹	
820	神	sɐn4	sɐn³¹	
821	順	sɐn6	sɐn⁵²	
822	朮	sɐt9	sɐt⁵²	
823	實	sɐt9	sɐt⁵²	
824	述	sɐt9	sɐt⁵²	
825	術	sɐt9	sɐt⁵²	
826	盾	tʰɐn5	tʰɐn³¹²	
827	秫			
828	淳	sɐn4	sɐn³¹	
829	醇	sɐn4	sɐn³¹	
830	辰	sɐn4	sɐn³¹	
831	臣	sɐn4	sɐn³¹	
832	宸	sɐn4	sɐn³¹	
833	純	sɐn4	sɐn³¹	
834	鶉			鶉衣
835	鶉	tʰɐn4	tʰɐn³¹	鵪鶉，鵪鶉蛋
836	晨	sɐn4	sɐn³¹	
837	腎	sɐn5	sɐn³¹²	
838	慎	sɐn6	sɐn⁵²	
839	瞋			
840	春	ʦʰɐn1	ʦʰɐn⁴⁵	
841	蠢	ʦʰɐn2	ʦʰɐn³²³	
842	蒓			
843	蜃	sɐn5	sɐn³¹²	
844	蜃			
845	蘋	pʰɪŋ4	pʰɪŋ³¹	
846	頻	pʰɐn4	pʰɐn³¹	
847	臏	pɐn3	pɐn³³	
848	牝			
849	顰	pʰɐn4	pʰɐn³¹	
850	濱	pɐn1	pɐn⁴⁵	
851	檳	pɐn1	pɐn⁴⁵	
852	賓	pɐn1	pɐn⁴⁵	
853	鬢	pɐn3	pɐn³³	
854	必	pit8	pit³	
855	畢	pɐt7	pɐt⁴⁵	
856	殯	pɐn1	pɐn⁴⁵	
857	填	tʰin4	tʰin³¹	
858	屯	tʰun4	tʰun³¹	又读tɐn³¹
859	珍	ʦɐn1	ʦɐn⁴⁵	
860	鎮	ʦɐn3	ʦɐn³³	
861	茁	ʦʰut8	ʦʰut³	
862	窒	ʦɐt9	ʦɐt⁵²	
863	絀	ʦʰut8	ʦʰut³	
864	隕	wɐn5	wɐn³¹²	
865	汩			
866	殞	wɐn5	wɐn³¹²	
867	乙	jit8	jit³	
868	銀	ŋɐn4	ŋɐn³¹	
869	垠	ŋɐn4	ŋɐn³¹	
870	釁	hɐn3	hɐn³³	
871	率	ɬɐt7	ɬɐt⁴⁵	率領
872	蟀	ɬɐt7	ɬɐt⁴⁵	
873	窘	kʰɐn3	kʰɐn³³	
874	菌	kʰɐn5	kʰɐn³¹²	
875	瑾	kɐn2	kɐn³²³	
876	僅	kɐn2	kɐn³²³	
877	饉	kɐn2	kɐn³²³	
878	覲	kɐn2	kɐn³²³	
879	紉	ȵɐn6	ȵɐn⁵²	
880	暱	nɪk7	nɪk⁴⁵	
881	昵			
882	岷	mɐn4	mɐn³¹	
883	閩	mɐn5	mɐn³¹²	
884	憫	mɐn5	mɐn³¹²	
885	敏	mɐn5	mɐn³¹²	
886	密	mɐt9	mɐt⁵²	
887	巾	kɐn1	kɐn⁴⁵	
888	襯	ʦʰɐn3	ʦʰɐn³³	
889	塵	ʦʰɐn4	ʦʰɐn³¹	
890	陳	ʦʰɐn4	ʦʰɐn³¹	
891	趁	ʦʰɐn3	ʦʰɐn³³	
892	陣	ʦɐn6	ʦɐn⁵²	
893	秩	tit9	tit⁵²	
894	姪	ʦɐt9	ʦɐt⁵²	
895	怵	ʦɐt7	ʦɐt⁴⁵	
896	椿	ʦʰɐn1	ʦʰɐn⁴⁵	
897	黜			
898	貧	pʰɐn4	pʰɐn³¹	
899	弼			
900	份	fɐn6	fɐn⁵²	
901	彬	pɐn1	pɐn⁴⁵	
902	筆	pɐt7	pɐt⁴⁵	
903	邠			
904	斌	pɐn1	pɐn⁴⁵	
905	櫛	ʦit8	ʦit³	
906	榛	ʦɐn1	ʦɐn⁴⁵	
907	臻	ʦɐn1	ʦɐn⁴⁵	
908	瑟	ɬɐt7	ɬɐt⁴⁵	
909	蝨	ɬɐt7	ɬɐt⁴⁵	
910	莘	ɬɐn1	ɬɐn⁴⁵	
911	嗚	wu1	wu⁴⁵	
912	烏	wu1	wu⁴⁵	
913	惡	wu3	wu³³	可惡
914	惡			惡乎
915	塢	wu1	wu⁴⁵	山塢
916	塢	wu1	wu⁴⁵	船塢
917	鎢			
918	鄔			
919	蜈	ʔʊŋ4	ʔʊŋ³¹	
920	梧	ʔʊŋ4	ʔʊŋ³¹	
921	吾	ʔʊŋ4	ʔʊŋ³¹	
922	吳	ʔʊŋ4	ʔʊŋ³¹	
923	午	ʔʊŋ5	ʔʊŋ³¹²	
924	五	ʔʊŋ5	ʔʊŋ³¹²	
925	伍	ʔʊŋ5	ʔʊŋ³¹²	
926	悟	ʔʊŋ6	ʔʊŋ⁵²	
927	寤	ʔʊŋ6	ʔʊŋ⁵²	
928	誤	ʔʊŋ6	ʔʊŋ⁵²	
929	晤	ʔʊŋ6	ʔʊŋ⁵²	
930	嗉			
931	愫	ɬou3	ɬou³³	
932	蘇	ɬou1	ɬou⁴⁵	
933	酥	ɬou1	ɬou⁴⁵	
934	穌	ɬou1	ɬou⁴⁵	
935	訴	ɬou3	ɬou³³	
936	塑	suɔk8	suɔk³	又读ɬuɔk³
937	素	ɬou3	ɬou³³	
938	呼	fu1	fu⁴⁵	
939	琥	fu2	fu³²³	
940	虎	fu2	fu³²³	
941	滸	fu2	fu³²³	
942	戽	fu3	fu³³	
943	糊	wu4	wu³¹	
944	瑚	wu4	wu³¹	
945	胡	wu4	wu³¹	
946	瓠			
947	壺	wu4	wu³¹	
948	湖	wu4	wu³¹	
949	弧	wu4	wu³¹	
950	葫	wu4	wu³¹	
951	狐	wu4	wu³¹	
952	乎	fu4	fu³¹	
953	雇	ku3	ku³³	
954	滬	wu6	wu⁵²	
955	扈	wu6	wu⁵²	
956	戶	wu6	wu⁵²	
957	互	wu6	wu⁵²	
958	護	wu6	wu⁵²	
959	猢	wu4	wu³¹	
960	鶘			
961	醐	wu4	wu³¹	
962	祜			
963	枯	kʰu1	kʰu⁴⁵	
964	苦	fu2	fu³²³	
965	庫	fu3	fu³³	
966	土	tʰou2	tʰou³²³	
967	吐	tʰou3	tʰou³³	
968	兔	tʰou3	tʰou³³	
969	措	ʦʰou3	ʦʰou³³	
970	醋	ʦʰou3	ʦʰou³³	
971	厝			
972	錯			同「措」
973	浦	pʰou2	pʰou³²³	
974	普	pʰou2	pʰou³²³	
975	怖	pou3	pou³³	
976	鋪	pʰou3	pʰou³³	店鋪
977	溥			
978	奴	nou4	nou³¹	
979	努	nou5	nou³¹²	
980	怒	nou6	nou⁵²	
981	弩	nou5	nou³¹²	
982	模	mou4	mou³¹	
983	摸	muɔ1	muɔ⁴⁵	
984	膜	muɔk8	muɔk³	膜拜
985	媽	ma5	ma³¹²	
986	莽	muɔŋ5	muɔŋ³¹²	
987	慕	mou6	mou⁵²	
988	墓	mou6	mou⁵²	
989	暮	mou6	mou⁵²	
990	募	mou6	mou⁵²	
991	姥			天姥
992	盧	lou4	lou³¹	
993	顱	lou4	lou³¹	
994	爐	lou4	lou³¹	
995	擄	lou5	lou³¹²	
996	虜	lou5	lou³¹²	
997	滷	lou5	lou³¹²	
998	魯	lou5	lou³¹²	
999	櫓	lou5	lou³¹²	
1000	路	lou6	lou⁵²	
1001	鷺	lou6	lou⁵²	
1002	露	lou6	lou⁵²	
1003	賂	lou6	lou⁵²	
1004	鸕	lou4	lou³¹	
1005	鹵	lou5	lou³¹²	
1006	壚			
1007	瀘	lou4	lou³¹	
1008	璐	lou6	lou⁵²	
1009	租	ʦou1	ʦou⁴⁵	
1010	組	ʦou2	ʦou³²³	
1011	祖	ʦou2	ʦou³²³	
1012	作	ʦuɔk8	ʦuɔk³	
1013	辜	ku1	ku⁴⁵	
1014	箍	kʰu1	kʰu⁴⁵	
1015	孤	ku1	ku⁴⁵	
1016	呱			呱呱墜地
1017	沽	ku1	ku⁴⁵	
1018	姑	ku1	ku⁴⁵	
1019	詁			
1020	鼓	ku2	ku³²³	
1021	估	ku2	ku³²³	估計
1022	估			估衣
1023	古	ku2	ku³²³	
1024	股	ku2	ku³²³	
1025	賈			商賈
1026	固	ku3	ku³³	
1027	鯝			
1028	故	ku3	ku³³	
1029	顧	ku3	ku³³	
1030	錮	ku3	ku³³	
1031	牯	ku2	ku³²³	
1032	蠱			
1033	鴣			
1034	瞽			
1035	都	tou1	tou⁴⁵	
1036	睹	tou2	tou³²³	
1037	堵	tou2	tou³²³	
1038	賭	tou2	tou³²³	
1039	妒	tou3	tou³³	
1040	蠹			
1041	圖	tʰou4	tʰou³¹	
1042	途	tʰou4	tʰou³¹	
1043	塗	tʰou4	tʰou³¹	
1044	徒	tʰou4	tʰou³¹	
1045	荼			如火如荼
1046	鍍	tou6	tou⁵²	
1047	菟	tʰou3	tʰou³³	
1048	肚	tʰou5	tʰou³¹²	
1049	杜	tou6	tou⁵²	
1050	渡	tou6	tou⁵²	
1051	度	tou6	tou⁵²	度量衡
1052	粗	ʦʰou1	ʦʰou⁴⁵	
1053	樸	pʰuɔk8	pʰuɔk³	
1054	菩	pʰou4	pʰou³¹	
1055	匍	pʰou4	pʰou³¹	
1056	蒲	pʰou4	pʰou³¹	
1057	簿	pou6	pou⁵²	
1058	部	pou6	pou⁵²	
1059	步	pou6	pou⁵²	
1060	捕	pou6	pou⁵²	
1061	哺	pou6	pou⁵²	
1062	圃	pou2	pou³²³	
1063	譜	pʰou2	pʰou³²³	
1064	補	pou2	pou³²³	
1065	布	pou3	pou³³	
1066	佈	pou3	pou³³	
1067	逋	pou1	pou⁴⁵	
1068	阻	ʦuɔ2	ʦuɔ³²³	
1069	俎			
1070	詛	ʦui2	ʦui³²³	
1071	豬	ʦi1	ʦi⁴⁵	
1072	著	ʦi3	ʦi³³	顯著
1073	貯	ʦʰi5	ʦʰi³¹²	
1074	諸	ʦi1	ʦi⁴⁵	
1075	藷			藷蕷
1076	淤	ji1	ji⁴⁵	又读ji³²³
1077	瘀	ji1	ji⁴⁵	
1078	於	ji1	ji⁴⁵	
1079	菸	jin1	jin⁴⁵	
1080	予			古代第一人稱
1081	予	ji5	ji³¹²	給予
1082	餘	ji4	ji³¹	
1083	輿	ji4	ji³¹	
1084	與	ji5	ji³¹²	
1085	譽	ji6	ji⁵²	
1086	余	ji4	ji³¹	
1087	豫	ji6	ji⁵²	
1088	預	ji6	ji⁵²	
1089	與	ji5	ji³¹²	我與你
1090	蜍			
1091	魚	ȵi4	ȵi³¹	
1092	漁	ȵi4	ȵi³¹	
1093	禦	ji6	ji⁵²	
1094	語	ȵi5	ȵi³¹²	語言
1095	語			不以語人
1096	御	ji6	ji⁵²	
1097	馭	ji6	ji⁵²	
1098	衙	ŋa4	ŋa³¹	
1099	圄			
1100	齬			
1101	胥	ɬɐi1	ɬɐi⁴⁵	
1102	絮	ɬei5	ɬei³¹²	
1103	緒	ɬui5	ɬui³¹²	
1104	抒	si1	si⁴⁵	
1105	徐	ʦʰei4	ʦʰei³¹	
1106	嶼			島嶼
1107	序	ʦei6	ʦei⁵²	
1108	敘	ʦei6	ʦei⁵²	
1109	虛	hei1	hei⁴⁵	
1110	噓	hei1	hei⁴⁵	噓寒問暖
1111	許	hei2	hei³²³	
1112	墟	hei1	hei⁴⁵	
1113	去	hei3	hei³³	
1114	舒	si1	si⁴⁵	
1115	紓	si1	si⁴⁵	
1116	書	si1	si⁴⁵	
1117	鼠	si2	si³²³	
1118	暑	si2	si³²³	
1119	黍			
1120	恕	si3	si³³	
1121	庶	si3	si³³	
1122	疏	suɔ1	suɔ⁴⁵	疏通
1123	疏			註疏
1124	蔬	suɔ1	suɔ⁴⁵	
1125	梳	suɔ1	suɔ⁴⁵	
1126	所	suɔ2	suɔ³²³	
1127	如	ȵi4	ȵi³¹	
1128	茹	ȵi4	ȵi³¹	
1129	汝	ȵi5	ȵi³¹²	
1130	渠	kʰei4	kʰei³¹	
1131	距	kʰei5	kʰei³¹²	
1132	巨	kei6	kei⁵²	
1133	炬	kei6	kei⁵²	
1134	鉅	kei6	kei⁵²	
1135	拒	kʰei5	kʰei³¹²	
1136	遽	kei6	kei⁵²	
1137	苣			
1138	蛆	ʦʰei1	ʦʰei⁴⁵	
1139	沮			沮水。水名
1140	疽			
1141	女	nei5	nei³¹²	
1142	廬	lou4	lou³¹	
1143	蘆	lou4	lou³¹	
1144	櫚	lui5	lui³¹²	
1145	驢	lou4	lou³¹	
1146	旅	lei5	lei³¹²	
1147	侶	lui5	lui³¹²	
1148	呂	lui5	lui³¹²	
1149	慮	lei6	lei⁵²	
1150	且	ʦʰɛ2	ʦʰɛ³²³	
1151	沮			沮洳
1152	車	kei1	kei⁴⁵	車馬炮
1153	据	kʰei3	kʰei³³	
1154	莒			
1155	舉	kei2	kei³²³	
1156	櫸	kei2	kei³²³	
1157	踞	kʰei3	kʰei³³	
1158	據	kʰei3	kʰei³³	
1159	鋸	kei3	kei³³	
1160	裾			
1161	沮	ʦui2	ʦui³²³	沮喪
1162	咀	ʦui2	ʦui³²³	
1163	初	ʦʰuɔ1	ʦʰuɔ⁴⁵	
1164	楚	ʦʰuɔ2	ʦʰuɔ³²³	
1165	礎	ʦʰuɔ2	ʦʰuɔ³²³	
1166	鋤	ʦʰuɔ4	ʦʰuɔ³¹	
1167	助	ʦuɔ6	ʦuɔ⁵²	
1168	涂	tʰou4	tʰou³¹	
1169	躇	i4	i³¹	
1170	除	ʦʰi4	ʦʰi³¹	
1171	儲	ʦʰi2	ʦʰi³²³	白读ʦʰou³¹²
1172	屠	tʰou4	tʰou³¹	
1173	杼			
1174	佇			
1175	苧			
1176	箸	ʦi6	ʦi⁵²	
1177	褚			
1178	野	jɛ5	jɛ³¹²	
1179	墅	ɬui5	ɬui³¹²	
1180	曙	si5	si³¹²	
1181	薯	si4	si³¹	
1182	署	ʦʰi5	ʦʰi³¹²	
1183	杵	ʦʰi5	ʦʰi³¹²	
1184	處	ʦʰi2	ʦʰi³²³	處理
1185	處	ʦʰi3	ʦʰi³³	住處
1186	株	ʦi1	ʦi⁴⁵	
1187	列	lit9	lit⁵²	
1188	蛛	ʦi1	ʦi⁴⁵	
1189	拄	ʦi2	ʦi³²³	
1190	駐	ʦi3	ʦi³³	
1191	誅			
1192	朱	ʦi1	ʦi⁴⁵	
1193	珠	ʦi1	ʦi⁴⁵	
1194	侏	ʦi1	ʦi⁴⁵	
1195	主	ʦi2	ʦi³²³	
1196	註	ʦi3	ʦi³³	
1197	蛀	ʦi3	ʦi³³	
1198	鑄	ʦi3	ʦi³³	
1199	注	ʦi3	ʦi³³	
1200	硃	ʦi1	ʦi⁴⁵	
1201	炷			
1202	孳	ʦei1	ʦei⁴⁵	
1203	汙	wu1	wu⁴⁵	
1204	迂	ji1	ji⁴⁵	
1205	栩	hei2	hei³²³	
1206	竽			
1207	于	ji1	ji⁴⁵	
1208	芋	wu6	wu⁵²	
1209	盂	ji4	ji³¹	
1210	雨	ji5	ji³¹²	落雨
1211	雨			雨我公田
1212	羽	ji5	ji³¹²	
1213	宇	ji5	ji³¹²	
1214	禹	ji5	ji³¹²	
1215	噢	ji2	ji³²³	
1216	嫗			
1217	萸	ji4	ji³¹	
1218	逾	ji6	ji⁵²	
1219	瑜	ji4	ji³¹	
1220	榆	ji4	ji³¹	
1221	諛	ji4	ji³¹	
1222	舀	jiu5	jiu³¹²	
1223	渝	ji4	ji³¹	
1224	愉	ji4	ji³¹	
1225	愈	ji6	ji⁵²	
1226	喻	ji6	ji⁵²	
1227	諭	ji6	ji⁵²	
1228	籲	ji6	ji⁵²	
1229	裕	ji6	ji⁵²	
1230	隅	ji4	ji³¹	
1231	虞	ji4	ji³¹	
1232	愚	ji4	ji³¹	
1233	娛	ji4	ji³¹	
1234	遇	ji6	ji⁵²	
1235	寓	ji6	ji⁵²	
1236	禺	ji4	ji³¹	
1237	娶	ʦʰei2	ʦʰei³²³	
1238	鬚	ɬou1	ɬou⁴⁵	
1239	需	ɬei1	ɬei⁴⁵	
1240	須	ɬei1	ɬei⁴⁵	
1241	煦	hei1	hei⁴⁵	
1242	吁			
1243	詡	hei2	hei³²³	
1244	酗			
1245	嶇	kʰei1	kʰei⁴⁵	
1246	軀	kʰei1	kʰei⁴⁵	
1247	驅	kʰei1	kʰei⁴⁵	
1248	摳	kʰɐu1	kʰɐu⁴⁵	
1249	區	kʰei1	kʰei⁴⁵	區別
1250	輸	si1	si⁴⁵	
1251	戍	si6	si⁵²	
1252	數	ɬou2	ɬou³²³	～數
1253	數	ɬou3	ɬou³³	數字
1254	嚅	ji4	ji³¹	
1255	儒	ji4	ji³¹	
1256	乳	ȵui5	ȵui³¹²	
1257	孺	ji4	ji³¹	
1258	懦	nuɔ6	nuɔ⁵²	
1259	瞿			瞿塘峽
1260	句	kei3	kei³³	
1261	具	kei6	kei⁵²	
1262	懼	kei6	kei⁵²	
1263	颶	kei6	kei⁵²	
1264	趨	ʦʰei1	ʦʰei⁴⁵	
1265	取	ʦʰei2	ʦʰei³²³	
1266	鋪	pʰou1	pʰou⁴⁵	鋪張
1267	孵	fu1	fu⁴⁵	白读pou⁵²
1268	敷	fu1	fu⁴⁵	
1269	俘	fu1	fu⁴⁵	
1270	撫	fu2	fu³²³	
1271	剖	pʰɐu2	pʰɐu³²³	
1272	仆	pʊk9	pʊk⁵²	
1273	赴	fu6	fu⁵²	
1274	麩			
1275	訃	pʊk7	pʊk⁴⁵	
1276	孚	fu1	fu⁴⁵	
1277	蕪	mou4	mou³¹	
1278	無	mou4	mou³¹	
1279	巫	mou4	mou³¹	
1280	誣	mou4	mou³¹	
1281	毋	mou4	mou³¹	
1282	武	mou5	mou³¹²	
1283	侮	mou5	mou³¹²	
1284	鵡	mou5	mou³¹²	
1285	舞	mou5	mou³¹²	
1286	務	mou6	mou⁵²	
1287	霧	mou6	mou⁵²	
1288	婺	mou6	mou⁵²	
1289	摟	lɐu5	lɐu³¹²	
1290	鏤	lɐu5	lɐu³¹²	
1291	縷	lɐu5	lɐu³¹²	
1292	屢	lui5	lui³¹²	
1293	足			足恭
1294	俱	kʰei1	kʰei⁴⁵	又读kei⁵²
1295	拘	kʰei1	kʰei⁴⁵	
1296	瞿			瞿然一驚
1297	矩	kʰei2	kʰei³²³	又读kei³²³
1298	駒	kʰei1	kʰei⁴⁵	
1299	聚	ʦei6	ʦei⁵²	
1300	芻			
1301	雛	ʦʰuɔ1	ʦʰuɔ⁴⁵	
1302	廚	ʦʰi4	ʦʰi³¹	
1303	柱	ʦʰi5	ʦʰi³¹²	
1304	逗	tɐu6	tɐu⁵²	
1305	住	ʦi6	ʦi⁵²	
1306	殊	si4	si³¹	
1307	樹	si6	si⁵²	
1308	豎	si6	si⁵²	
1309	茱	ʦi1	ʦi⁴⁵	
1310	樞	si1	si⁴⁵	
1311	銖			
1312	夫			古代指示詞、代詞、助詞
1313	符	fu4	fu³¹	
1314	芙	fu4	fu³¹	
1315	苻	fu4	fu³¹	
1316	扶	fu4	fu³¹	
1317	腐	fu6	fu⁵²	
1318	輔	fu6	fu⁵²	
1319	附	fu6	fu⁵²	
1320	駙	fu6	fu⁵²	
1321	釜	fu2	fu³²³	
1322	膚	fu1	fu⁴⁵	
1323	夫	fu1	fu⁴⁵	農夫
1324	斧	fu2	fu³²³	白读pou³²³
1325	脯	pʰou2	pʰou³²³	胸脯,又读fu³²³
1326	脯	pʰou2	pʰou³²³	肉脯,又读fu³²³
1327	俯	fu2	fu³²³	
1328	父	fu6	fu⁵²	
1329	府	fu2	fu³²³	
1330	甫			台甫
1331	甫	pʰou2	pʰou³²³	杜甫
1332	付	fu6	fu⁵²	
1333	搏	puɔk8	puɔk³	
1334	傅	fu6	fu⁵²	師傅
1335	賦	fu3	fu³³	
1336	腑	fu2	fu³²³	
1337	莆			
1338	穢	wɐi3	wɐi³³	
1339	刈			
1340	喙			
1341	肺	fɐi3	fɐi³³	
1342	吠	fɐi6	fɐi⁵²	
1343	廢	fɐi3	fɐi³³	
1344	喝	huɔt8	huɔt³	
1345	話	wa6	wa⁵²	
1346	快	fai3	fai³³	
1347	邁	mai6	mai⁵²	
1348	寨	ʦai6	ʦai⁵²	
1349	敗	pai6	pai⁵²	
1350	唄			
1351	唉	ʔai1	ʔai⁴⁵	
1352	哀	ʔuɔi1	ʔuɔi⁴⁵	
1353	埃	ʔuɔi1	ʔuɔi⁴⁵	
1354	欸			
1355	愛	ʔuɔi3	ʔuɔi³³	
1356	璦			
1357	曖	ʔuɔi2	ʔuɔi³²³	
1358	皚	ʔuɔi2	ʔuɔi³²³	
1359	礙	ŋuɔi6	ŋuɔi⁵²	
1360	獃	ŋuɔi4	ŋuɔi³¹	
1361	塞			塞外
1362	鰓	ɬuɔi1	ɬuɔi⁴⁵	
1363	賽	ʦʰuɔi3	ʦʰuɔi³³	
1364	海	huɔi2	huɔi³²³	
1365	孩	hai4	hai³¹	
1366	咳			小兒笑
1367	亥	huɔi6	huɔi⁵²	
1368	開	huɔi1	huɔi⁴⁵	
1369	凱	ʔuɔi2	ʔuɔi³²³	
1370	慨	kʰuɔi3	kʰuɔi³³	
1371	愷	ʔuɔi2	ʔuɔi³²³	
1372	鎧	ʔuɔi2	ʔuɔi³²³	
1373	台			天台。地名
1374	胎	tʰuɔi1	tʰuɔi⁴⁵	
1375	態	tʰai3	tʰai³³	
1376	貸	tʰai3	tʰai³³	
1377	猜	ʦʰai1	ʦʰai⁴⁵	
1378	採	ʦʰuɔi2	ʦʰuɔi³²³	
1379	采	ʦʰuɔi2	ʦʰuɔi³²³	
1380	彩	ʦʰuɔi2	ʦʰuɔi³²³	
1381	綵	ʦʰuɔi2	ʦʰuɔi³²³	
1382	菜	ʦʰuɔi3	ʦʰuɔi³³	
1383	能	nɐŋ4	nɐŋ³¹	
1384	迺	nai5	nai³¹²	
1385	乃	nai5	nai³¹²	
1386	耐	nuɔi6	nuɔi⁵²	
1387	來	luɔi4	luɔi³¹	
1388	萊	luɔi4	luɔi³¹	
1389	睞	luɔi6	luɔi⁵²	
1390	災	ʦuɔi1	ʦuɔi⁴⁵	
1391	哉	ʦuɔi1	ʦuɔi⁴⁵	
1392	栽	ʦuɔi1	ʦuɔi⁴⁵	
1393	載	ʦuɔi2	ʦuɔi³²³	一年半載
1394	載	ʦuɔi3	ʦuɔi³³	記載
1395	宰	ʦuɔi2	ʦuɔi³²³	
1396	再	ʦuɔi3	ʦuɔi³³	
1397	該	kuɔi1	kuɔi⁴⁵	
1398	賅	kuɔi1	kuɔi⁴⁵	
1399	改	kuɔi2	kuɔi³²³	
1400	概	kʰuɔi3	kʰuɔi³³	
1401	等	tɐŋ2	tɐŋ³²³	
1402	戴	tai3	tai³³	
1403	臺	tʰuɔi4	tʰuɔi³¹	
1404	檯	tʰuɔi4	tʰuɔi³¹	
1405	苔	tʰuɔi4	tʰuɔi³¹	青苔
1406	苔	tʰuɔi4	tʰuɔi³¹	舌苔
1407	怠	tuɔi6	tuɔi⁵²	
1408	待	tuɔi6	tuɔi⁵²	
1409	殆			
1410	岱			
1411	代	tuɔi6	tuɔi⁵²	
1412	袋	tuɔi6	tuɔi⁵²	
1413	黛	tuɔi6	tuɔi⁵²	
1414	材	ʦʰuɔi4	ʦʰuɔi³¹	
1415	財	ʦʰuɔi4	ʦʰuɔi³¹	
1416	裁	ʦʰuɔi4	ʦʰuɔi³¹	
1417	才	ʦʰuɔi4	ʦʰuɔi³¹	
1418	在	ʦuɔi6	ʦuɔi⁵²	
1419	纔			
1420	偎	wui1	wui⁴⁵	
1421	煨			
1422	桅	wɐi4	wɐi³¹	
1423	嵬	ŋɐi4	ŋɐi³¹	
1424	啐			
1425	蓑	suɔ1	suɔ⁴⁵	
