#ɿ
k [33]兼[31]檢儉[52]劍
kʰ [33]謙[21]鉗[52]歉欠
ŋ [21]嚴閻鮎黏[52]驗念焰染{污～丨～色}
h [21]嫌[31]險
∅ [33]閹[21]鹽炎簷[31]掩[52]厭豔

#im
l [21]林臨
ts [33]針斟[31]枕[52]浸
tsʰ [33]侵[21]沉尋潜{【粤】～水}[31]寢
s [33]心森{2～林}深[21]岑[31]審沈嬸[52]甚渗
k [33]金今{～日}禁{不～ }[31]錦[52]禁{～止}
kʰ [33]欽襟[21]琴禽擒[52]撳{动词，按压，～图钉}
ŋ [21]吟淫壬[52]任紝
∅ [33]音陰蔭[31]飲{～料}

#em
n [21]腍{～柿：柿子}[31]諗{想}
l [31]□{掏（口袋）}
s [33]森{1～林}參{人～}
kʰ [31]冚{动词，盖住}□{咳嗽}
∅ [33]揞{捂住丨～～伏（覆）：趴着睡}

#an
p [33]般班搬斑頒[31]板版扳粄[52]半瓣伴={～随}
pʰ [33]攀番潘□{扇（耳光）丨（往下）倾倒}[21]盤[52]判扮拌叛绊伴-{无～}辦盼
m [33]晚[21]蠻瞞[31]滿[52]慢萬漫蔓饅鰻㿸{皮肤上的泥垢}
f [33]藩翻{1～书}番{1～薯}[21]繁環帆凡煩礬桓還{1～原}[31]反[52]泛販患飯={～店}翻{2 呕吐}犯
w [33]灣彎[21]頑完{～全}還{2～钱}[31]皖[52]換{1 金不换}
t [33]單{1～独}丹[52]旦誕
tʰ [33]灘攤瘫坍□{～冷：（水）晾凉}[21]壇檀彈{～琴}□{煎～：平底煎锅}[31]坦[52]但嘆蛋炭彈{子～}
n [21]難{困～ }[52]難{逃～}
l [33]懶-[21]蘭欄攔[31]懶=[52]爛
ts [31]展盞[52]戰贊綻
tsʰ [33]餐=[21]殘纏蟾禪{～宗}泉[31]產鏟諂{奸～：狡猾}[52]燦賺颤棧
s [33]山刪珊䀹{～眼：闭眼}[31]散{1 药～ }[52]膳疝單{2 姓氏}散{2 分～，解～}搧{动词，扇（扇子、耳光）}禪{～让}
k [33]奸間{房～丨中～ }[31]簡揀鹻梘[52]間-{隔开丨离～}
kʰ [33]刊[31]砍坎[52]□{～踭：胳膊肘}
ŋ [21]玩顏[31]眼碾{畀车～：被车压到脚}[52]雁
h [33]慳{节省}[21]閑函還{～有}[52]限撼莧
∅ [31]咹{程度副词，这么、很}[52]晏

#uan
k [33]關觀{～音}[52]慣觀{道～}

#in
p [33]兵冰{1 }賓滨鬢彬檳畀{替，给，被}[31]禀[52]殯□{坐～□[pɔ²¹]：荡秋千}併{合～}
pʰ [33]拼{～音}[21]評屏貧頻萍平{和～}憑{1 文～ }[31]品[52]聘拚{～命}
m [21]民鳴閩眠{1～床}明{清～丨～白}[31]敏憫抿皿[52]命{～令}
f [21]□{动词，（把衣服）甩（干）}[52]□{动词，甩动丨打～秋：荡秋千}
w [21]暈
t [33]仃{伶～洋}[31]鼎頂={～唔得（顶不住）}
tʰ [21]停庭亭蜓[31]挺{坚～ }[52]定汀
l [33]鱗-□{绕着某处逛}[21]鱗=靈={幽～}鄰陵鈴淋淩菱燐翎伶={聪明～俐}[31]凛嶺={～南}𡳞{～屎：精液}[52]令
ts [33]珍精蒸真睛津晶偵貞臻徵{～求}[31]震-診疹整={～体}[52]證進鎮政晉症振正{立～}丨{～好}
tsʰ [33]卿清親{～家丨父～}稱{～呼}[21]陳秦承塵呈臣懲辰丞情{感～}乘{加减～除}程-澄{～清}[31]逞[52]陣靜趁秤襯靖盡{～量丨～力}儘{～早}稱{～心如意丨对～}
s [33]新身辛升申薪猩星伸{延～ }[21]神誠晨繩成{1～功丨完～}乘{～机}[31]省{1反～ }[52]盛性信聖慎勝{～利}腎{～病}葚
k [33]斤京巾筋莖鯨齦經={念～丨～济}荊={～州（地名） }[31]緊景警[52]境徑勁竟敬競
kʰ [33]傾胗{鸡～（鸡肫） }[21]勤頃[31]懇[52]慶
ŋ [21]人仍仁凝{1～聚}寧{～波丨～可}[52]認刃
h [33]馨興{～旺}[21]形型刑[52]釁興{高～丨～趣}
∅ [33]因英鷹櫻姻鶯嬰殷穎纓應{～该}[21]榮蠅盈寅營{～养}[31]引隱瘾尹[52]印{～象}剩應{～用丨响～}洇{～出界：～纸}

#ɔn
f [33]歡番{2 一～被：一床被子}[31]款=[52]幻喚煥飯-{食～：吃饭}
w [31]碗腕豌[52]換{2～水}
t [33]端[31]短[52]斷={1 判～}
tʰ [33]斷-{2 线～了}[21]團{～结}糰{饭～ }[52]段鍛緞斷={3～绝}
n [33]暖
l [21]鸞[31]卵[52]亂僆{鸡～：小母鸡}
ts [33]專磚鑽{1 动词，～孔}[31]攒轉{1～学}[52]篆纂轉{2～圈}鑽{2 名词，～石}
tsʰ [33]穿餐-川閂[21]傳{1～达，流～ }[31]喘[52]串篡傳{2～记}□{头顶的发旋}
s [33]酸拴[21]船[52]算蒜
k [33]官=竿桿稈肝棺干{～扰}亁{烘～，饼～ }[31]趕[52]幹{～部，才～}
kʰ [33]寬[52]看{～守所丨～到}
ŋ [52]岸
h [33]旱鼾[21]寒韓[31]罕[52]汗漢銲翰
∅ [33]安鞍[52]按案

#iɔn
ŋ [33]軟

#uɔn
k [33]冠{1 衣～}官{家～：公公}[31]館管[52]貫罐冠{2～军}灌
kʰ [31]款-

#en
p [33]崩邊鞭冰{2 }辮{～仔}編{主～丨～辑}[21]蝙[31]扁匾貶[52]變辯
pʰ [33]偏篇[21]朋便{1～宜}[52]片遍辨騙汴便{2 方～}憑{2 倚靠，～墙}
m [33]□{□[liɔŋ⁵²]～：怎样}[21]棉眠{2 }綿[31]免勉緬娩[52]面{～子}麵{～粉}
f [21]宏
t [33]燈登丁顛癫瞪-{～眼}[31]等[52]凳殿瞪={目～口呆}
tʰ [33]天[21]田騰藤填謄[52]電鄧墊奠
n [21]能[52]乳{訓，食～：吃奶}蹨{踮脚}
l [21]連聯蓮憐{可～}□{喉～：喉咙}縺{～衫：缝衣服}[52]練鍊戀链
ts [33]增煎憎氈曾{姓氏}砧爭={斗～ }[31]剪拯[52]箭踐贈薦
tsʰ [33]千遷[21]全錢前潛曾{～经}澄={～清}[31]遣淺[52]賤濺
s [33]先仙宣生={～理：生意}鮮{新～}僧={唐～ }[21]旋弦[31]選癬鮮{朝～（国名）}省={2～长}[52]線善扇{名词，扇子}擤{～鼻公}
k [33]根堅跟艱肩捐更{1～新}[31]梗={心肌～塞}繭捲{动词，～起来}[52]更{2～加}卷{名词，试～}見建鍵腱眷絹
kʰ [33]圈牽[21]權拳乾虔[31]犬墾肯{～定丨中～ }[52]健件勸券倦凝{2 訓，液体冻结}
h [33]軒喧[21]玄衡賢痕懸{～挂}緪{形容词，（扭得）紧、牢固}[31]顯肯-{～去：愿意}䘆{虫～：蚯蚓}[52]現幸獻杏羨憲恨眩
∅ [33]恩

#ien
ŋ [33]研{～究}[21]年言原[31]撚{用虎口捏}[52]願諺
∅ [33]煙淵淹嚥冤掀{～被}[21]然圓延緣園員源燃沿鉛援袁丸轅元{～旦}芫{～荽}[31]遠演[52]院宴燕縣怨硯

#un
p [33]分-{给}奔[31]本[52]笨畚逩{投～}
pʰ [21]盆[52]噴
m [33]蚊炆{小火煮}[21]門[52]問悶
f [33]昏婚紛芬分={～数，区～}葷[21]魂墳焚渾={～浊}[31]粉[52]份混愤奮糞忿
w [33]溫瘟[21]聞文紋渾-{水～ }[31]穩吻
t [33]敦蹲墩[52]頓
tʰ [33]吞[21]屯豚囤[52]盾鈍沌
n [52]嫩
l [21]輪倫崙淪[52]論潤=
ts [33]尊遵[31]准{批～}準{瞄～}震={地～ }[52]俊圳
tsʰ [33]春村椿[21]存脣={嘴～ }[31]蠢[52]寸
s [33]孫伸-{～手}[21]純循巡旬詢醇脣-{嘴～ }[31]損筍榫[52]迅順殉舜訊遜順{煲～：煲汤}
k [31]滾□{修理（家具） }[52]棍
kʰ [33]昆坤[31]綑[52]困

#iun
k [33]軍均君鈞[31]僅謹[52]郡
kʰ [33]近-{蛮～：很近}[21]群瓊裙芹[52]菌近={最～（近来）}
ŋ [33]忍[21]銀[52]靭{不易断}
h [33]勳欣薰熏{～陶，烟～人}[52]訓
∅ [33]允[21]勻云{古人～}雲{乌～ }[52]運閏潤-韻孕

#aŋ
p [33]㧍{拔}
pʰ [21]龐彭膨㧍
m [33]猛芒{～花草（可制扫帚）}掹{动词，拔，～秧丨～胡须}[21]盲虻[31]蟒蜢{草～：蚂蚱}
w [21]橫{1～直}[52]橫{2 猛摔}
t [33]叮{1 蚊～，虫蛰}釘{名词，铁～ }[31]頂-{山～ }[52]釘{动词，～铁钉}
tʰ [52]聽{～话}□{处所、地方，通～：到处丨外～人：外地人}
l [33]冷[21]零伶-{～俐：干净}[52]另
ts [33]睜踭爭-{～唔多：差不多}正{～月}征{长～ }[31]整-{修理，～车}[52]正
tsʰ [33]□{～仔：锥子丨家～：工具}[21]層橙成-{2 两～ }[52]撐鄭
s [33]聲甥生-{“死”的反义词丨学～}僧-{～人}牲{头～丨牺～ }[21]城成{3 做～ }[31]省-{3 节～}
k [33]庚更耕羹[31]耿哽梗-{茎，菜～}埂{田间高起的小路}[52]經-{绊倒}
ŋ [52]硬
h [33]坑[21]恒橫={3 蛮～}行{走丨～为}[52]□{时候，□[ŋia³¹]～：这会儿}
∅ [33]罌{～仔：小瓶子}

#iaŋ
p [31]餅丙秉[52]柄屏{替，躲藏}
pʰ [21]瓶坪平-{～头丨～地}[52]病並{～且丨～排}
m [21]名銘[52]命-{算～}
t [52]掟{动词，扔，投掷}
tʰ [33]廳[21]廷挺-{～起来}[52]艇訂
l [33]領嶺-{～岗}[21]瓴{屋～：屋檐}靈-{好～：好灵验}[52]靓
ts [33]腈{～肉：瘦肉}[31]井
tsʰ [33]青蜻[21]晴[31]請[52]淨
s [33]腥{～味丨臭镬～ }[31]醒[52]姓
k [33]驚荊-{布～子（中药） }[31]頸[52]鏡
kʰ [33]輕{年～丨～松}[21]擎[52]□{～嘴：戒口}
ŋ [21]迎
∅ [21]贏營-{～长}[31]影映[52]印{替，器皿或衣物上的痕迹}

#ɔŋ
