字頭	聲紐	韻部	小韻	調類	字義	擬音(聲母)	擬音(韻母)	擬音(聲調)	粵拼(聲母)	粵拼(韻母)	粵拼(聲調)
䏭	照	諸	諸	陰平	面䏭	tʃ	y	53	zh	yu	1
蛛	照	諸	諸	陰平	蜘蛛	tʃ	y	53	zh	yu	1
咮	照	諸	諸	陰平	多言貌	tʃ	y	53	zh	yu	1
潴	照	諸	諸	陰平	潴水水所聚	tʃ	y	53	zh	yu	1
銖	照	諸	諸	陰平	鍿銖	tʃ	y	53	zh	yu	1
趨	淸	諸	趨	陰平	趨向	tsʰ	y	53	c	yu	1
趋	淸	諸	趨	陰平	同上(趨向)	tsʰ	y	53	c	yu	1
蛆	淸	諸	趨	陰平	蛆蟲	tsʰ	y	53	c	yu	1
沮	精	諸	沮	陰平	水名	ts	y	53	z	yu	1
且	精	諸	沮	陰平	語詞	ts	y	53	z	yu	1
菹	精	諸	沮	陰平	淹菜	ts	y	53	z	yu	1
趄	精	諸	沮	陰平	趦趄行不進也	ts	y	53	z	yu	1
苴	精	諸	沮	陰平	麻無子曰苴又受賄賂曰包苴	ts	y	53	z	yu	1
疽	精	諸	沮	陰平	癰疽	ts	y	53	z	yu	1
雎	精	諸	沮	陰平	水鳥詩關關雎鳩	ts	y	53	z	yu	1
拘	溪	諸	拘	陰平	拘泥	kʰ	y	53	k	yu	1
驅	溪	諸	拘	陰平	馳驅	kʰ	y	53	k	yu	1
區	溪	諸	拘	陰平	區域	kʰ	y	53	k	yu	1
駒	溪	諸	拘	陰平	馬二歲曰駒美子弟謂吾家千里駒	kʰ	y	53	k	yu	1
敺	溪	諸	拘	陰平	逐也	kʰ	y	53	k	yu	1
袪	溪	諸	拘	陰平	袖口也又却也	kʰ	y	53	k	yu	1
軀	溪	諸	拘	陰平	身體也	kʰ	y	53	k	yu	1
居	見	諸	居	陰平	居住	k	y	53	g	yu	1
裾	見	諸	居	陰平	衣袖也曳裾侯門	k	y	53	g	yu	1
琚	見	諸	居	陰平	珮玉名	k	y	53	g	yu	1
椐	見	諸	居	陰平	木名又音巨	k	y	53	g	yu	1
車	見	諸	居	陰平	車馬	k	y	53	g	yu	1
俱	見	諸	居	陰平	皆也	k	y	53	g	yu	1
舒	審	諸	舒	陰平	舒徐不迫也又申舒展書	ʃ	y	53	sh	yu	1
紓	審	諸	舒	陰平	緩也	ʃ	y	53	sh	yu	1
抒	審	諸	舒	陰平	挹也又除也	ʃ	y	53	sh	yu	1
書	審	諸	舒	陰平	書史	ʃ	y	53	sh	yu	1
攄	審	諸	舒	陰平	舒也又摛也	ʃ	y	53	sh	yu	1
輸	審	諸	舒	陰平	輸贏又輸納	ʃ	y	53	sh	yu	1
（樗）	審	諸	舒	陰平	惡木也	ʃ	y	53	sh	yu	1
㻬	審	諸	舒	陰平	玉名	ʃ	y	53	sh	yu	1
胥	心	諸	胥	陰平	相也又吏胥	s	y	53	s	yu	1
糈	心	諸	胥	陰平	糧也	s	y	53	s	yu	1
諝	心	諸	胥	陰平	智也	s	y	53	s	yu	1
須	心	諸	胥	陰平	須臾又面毛也又資用也	s	y	53	s	yu	1
鬚	心	諸	胥	陰平	鬚眉	s	y	53	s	yu	1
需	心	諸	胥	陰平	需用又待也又索也	s	y	53	s	yu	1
濡	心	諸	胥	陰平	沾濡又滯也	s	y	53	s	yu	1
繻	心	諸	胥	陰平	繪采色終軍棄繻	s	y	53	s	yu	1
嚅	心	諸	胥	陰平	囁嚅多言也	s	y	53	s	yu	1
虛	曉	諸	虛	陰平	空也	h	y	53	h	yu	1
噓	曉	諸	虛	陰平	吹嘘	h	y	53	h	yu	1
墟	曉	諸	虛	陰平	墟市又舊國曰故墟	h	y	53	h	yu	1
迂	曉	諸	虛	陰平	遠也闊也	h	y	53	h	yu	1
吁	曉	諸	虛	陰平	嘆詞	h	y	53	h	yu	1
盱	曉	諸	虛	陰平	張目上視	h	y	53	h	yu	1
訏	曉	諸	虛	陰平	大也誇也	h	y	53	h	yu	1
歔	曉	諸	虛	陰平	欷歔	h	y	53	h	yu	1
於	以	諸	於	陰平	語詞與于同	ɥ	y	53	j	yu	1
于	以	諸	于	陽平	於也	ɥ	y	21	j	yu	4
余	以	諸	于	陽平	我也又姓	ɥ	y	21	j	yu	4
予	以	諸	于	陽平	我也又姓	ɥ	y	21	j	yu	4
餘	以	諸	于	陽平	餘剩也	ɥ	y	21	j	yu	4
輿	以	諸	于	陽平	車輿	ɥ	y	21	j	yu	4
舁	以	諸	于	陽平	對舉也	ɥ	y	21	j	yu	4
蜍	以	諸	于	陽平	蟾蜍	ɥ	y	21	j	yu	4
儒	以	諸	于	陽平	學士之稱	ɥ	y	21	j	yu	4
璵	以	諸	于	陽平	璠璵玉名	ɥ	y	21	j	yu	4
歟	以	諸	于	陽平	疑而萬定之詞	ɥ	y	21	j	yu	4
與	以	諸	于	陽平	同上(疑而萬定之詞)	ɥ	y	21	j	yu	4
愚	以	諸	于	陽平	蠢也	ɥ	y	21	j	yu	4
禺	以	諸	于	陽平	番禺縣名	ɥ	y	21	j	yu	4
嵎	以	諸	于	陽平	山曲曰嵎	ɥ	y	21	j	yu	4
隅	以	諸	于	陽平	廉稜又方隅	ɥ	y	21	j	yu	4
虞	以	諸	于	陽平	唐虞又憂虞	ɥ	y	21	j	yu	4
娛	以	諸	于	陽平	娛樂	ɥ	y	21	j	yu	4
妤	以	諸	于	陽平	婕妤妃嬪之稱	ɥ	y	21	j	yu	4
孺	以	諸	于	陽平	孺子孺人	ɥ	y	21	j	yu	4
諛	以	諸	于	陽平	諂諛	ɥ	y	21	j	yu	4
庾	以	諸	于	陽平	露積曰庾	ɥ	y	21	j	yu	4
臾	以	諸	于	陽平	須臾即頃刻也	ɥ	y	21	j	yu	4
榆	以	諸	于	陽平	木名	ɥ	y	21	j	yu	4
窬	以	諸	于	陽平	穿窬	ɥ	y	21	j	yu	4
盂	以	諸	于	陽平	飰盂盤盂	ɥ	y	21	j	yu	4
萸	以	諸	于	陽平	茱萸藥名	ɥ	y	21	j	yu	4
雩	以	諸	于	陽平	舞雩山名	ɥ	y	21	j	yu	4
腴	以	諸	于	陽平	肥田曰膏腴	ɥ	y	21	j	yu	4
愉	以	諸	于	陽平	顔色和悅也	ɥ	y	21	j	yu	4
竽	以	諸	于	陽平	笙竽	ɥ	y	21	j	yu	4
渝	以	諸	于	陽平	變也	ɥ	y	21	j	yu	4
楰	以	諸	于	陽平	木名	ɥ	y	21	j	yu	4
閭	來	諸	閭	陽平	閭舍門舍	l	y	21	l	yu	4
廬	來	諸	閭	陽平	盧舍又州名	l	y	21	l	yu	4
驢	來	諸	閭	陽平	馬類長耳者	l	y	21	l	yu	4
櫨	來	諸	閭	陽平	𣝍櫨梁上短柱也	l	y	21	l	yu	4
蔞	來	諸	閭	陽平	詩言刈其蔞	l	y	21	l	yu	4
徐	淸	諸	徐	陽平	緩也又姓	tsʰ	y	21	c	yu	4
除	淸	諸	除	陽平	消除	tsʰ	y	21	c	yu	4
滁	淸	諸	除	陽平	水名	tsʰ	y	21	c	yu	4
篨	淸	諸	除	陽平	籧篨醜疾也	tsʰ	y	21	c	yu	4
廚	淸	諸	除	陽平	庖廚	tsʰ	y	21	c	yu	4
躕	淸	諸	除	陽平	踟躕	tsʰ	y	21	c	yu	4
躇	淸	諸	除	陽平	躊躇猶豫也	tsʰ	y	21	c	yu	4
魚	日	諸	魚	陽平	鱗物	ȵ	y	21	nj	yu	4
漁	日	諸	魚	陽平	捕魚人也又侵漁	ȵ	y	21	nj	yu	4
洳	日	諸	魚	陽平	沮洳水浸下濕之地	ȵ	y	21	nj	yu	4
如	日	諸	魚	陽平	似也又往也	ȵ	y	21	nj	yu	4
渠	溪	諸	渠	陽平	溝渠	kʰ	y	21	k	yu	4
蕖	溪	諸	渠	陽平	芙蕖荷花也	kʰ	y	21	k	yu	4
璩	溪	諸	渠	陽平	環屬又姓	kʰ	y	21	k	yu	4
𨙊	溪	諸	渠	陽平	麥也又姓	kʰ	y	21	k	yu	4
籧	溪	諸	渠	陽平	籧篨惡疾也	kʰ	y	21	k	yu	4
劬	溪	諸	渠	陽平	劬勞	kʰ	y	21	k	yu	4
鐻	溪	諸	渠	陽平	金銀器	kʰ	y	21	k	yu	4
瞿	溪	諸	渠	陽平	戟屬又姓	kʰ	y	21	k	yu	4
鸜	溪	諸	渠	陽平	鸜鵒鳥名	kʰ	y	21	k	yu	4
衢	溪	諸	渠	陽平	通衢街道也	kʰ	y	21	k	yu	4
癯	溪	諸	渠	陽平	瘦瘠也	kʰ	y	21	k	yu	4
殊	審	諸	殊	陽平	異也	ʃ	y	21	sh	yu	4
殳	審	諸	殊	陽平	杖也兵器	ʃ	y	21	sh	yu	4
薯	審	諸	殊	陽平	薯蕷藥名	ʃ	y	21	sh	yu	4
主	照	諸	主	陰上	君也宰也又賓主	tʃ	y	35	zh	yu	2
麈	照	諸	主	陰上	鹿之大者尾能主風	tʃ	y	35	zh	yu	2
翥	照	諸	主	陰上	飛舉也	tʃ	y	35	zh	yu	2
煑	照	諸	主	陰上	烹飪也	tʃ	y	35	zh	yu	2
渚	照	諸	主	陰上	小洲也	tʃ	y	35	zh	yu	2
許	曉	諸	許	陰上	與也可也又姓	h	y	35	h	yu	2
詡	曉	諸	許	陰上	大言也	h	y	35	h	yu	2
栩	曉	諸	許	陰上	木名	h	y	35	h	yu	2
珝	曉	諸	許	陰上	玉名	h	y	35	h	yu	2
冔	曉	諸	許	陰上	殷冠也	h	y	35	h	yu	2
舉	見	諸	舉	陰上	薦也舉也動也又皆也又稱引也	k	y	35	g	yu	2
矩	見	諸	舉	陰上	規矩所以爲方之器又法則也	k	y	35	g	yu	2
莒	見	諸	舉	陰上	地名	k	y	35	g	yu	2
筥	見	諸	舉	陰上	竹器員曰筥	k	y	35	g	yu	2
踽	見	諸	舉	陰上	踽踽獨行之貌	k	y	35	g	yu	2
楀	見	諸	舉	陰上	木名	k	y	35	g	yu	2
暑	審	諸	暑	陰上	夏天曰暑	ʃ	y	35	sh	yu	2
黍	審	諸	暑	陰上	粟名	ʃ	y	35	sh	yu	2
鼠	審	諸	暑	陰上	老鼠	ʃ	y	35	sh	yu	2
癙	審	諸	暑	陰上	隱憂曰癙憂	ʃ	y	35	sh	yu	2
咀	精	諸	咀	陰上	咀嚼	ts	y	35	z	yu	2
沮	精	諸	咀	陰上	沮邱	ts	y	35	z	yu	2
齟	精	諸	咀	陰上	齟齬不相合也	ts	y	35	z	yu	2
處	穿	諸	處	陰上	止居也又處置	tʃʰ	y	35	ch	yu	2
䖏	穿	諸	處	陰上	同上(止居也又處置)	tʃʰ	y	35	ch	yu	2
処	穿	諸	處	陰上	同上(止居也又處置)	tʃʰ	y	35	ch	yu	2
嫗	以	諸	嫗	陰上	嫗暑切老婦之稱	ɥ	y	35	j	yu	2
取	淸	諸	取	陰上	索也獲也收也愛也攬也受也	tsʰ	y	35	c	yu	2
宇	以	諸	宇	陽上	天地四方曰宇又星四垂爲宇	ɥ	y	23	j	yu	5
㝢	以	諸	宇	陽上	同上(天地四方曰宇又星四垂爲宇)	ɥ	y	23	j	yu	5
與	以	諸	宇	陽上	黨與施與又共也及也許也受也	ɥ	y	23	j	yu	5
瑀	以	諸	宇	陽上	石似玉俗讀作矩	ɥ	y	23	j	yu	5
予	以	諸	宇	陽上	賜也又賦	ɥ	y	23	j	yu	5
窳	以	諸	宇	陽上	器中空也又惰也惡也和也	ɥ	y	23	j	yu	5
羽	以	諸	宇	陽上	禽毛也又羽翼	ɥ	y	23	j	yu	5
雨	以	諸	宇	陽上	風雨	ɥ	y	23	j	yu	5
禹	以	諸	宇	陽上	夏王之號	ɥ	y	23	j	yu	5
呂	來	諸	呂	陽上	律呂又脊骨又姓	l	y	23	l	yu	5
侶	來	諸	呂	陽上	儔侶徒伴也	l	y	23	l	yu	5
裏	來	諸	呂	陽上	内也	l	y	23	l	yu	5
裡	來	諸	呂	陽上	表裡亦内也	l	y	23	l	yu	5
旅	來	諸	呂	陽上	衆也又客旅師旅又祭名	l	y	23	l	yu	5
膂	來	諸	呂	陽上	膂力又脊骨	l	y	23	l	yu	5
語	日	諸	語	陽上	言語	ȵ	y	23	nj	yu	5
齬	日	諸	語	陽上	齟齬不相值也	ȵ	y	23	nj	yu	5
鋙	日	諸	語	陽上	鉏鋙物不相當	ȵ	y	23	nj	yu	5
𣣄	日	諸	語	陽上	樂器	ȵ	y	23	nj	yu	5
圄	日	諸	語	陽上	囹圄獄也	ȵ	y	23	nj	yu	5
圉	日	諸	語	陽上	圉人掌養馬者又邊圉又祝圉又圉而未伸之貌	ȵ	y	23	nj	yu	5
乳	日	諸	語	陽上	乳汁也又育也	ȵ	y	23	nj	yu	5
麌	日	諸	語	陽上	鹿之多也	ȵ	y	23	nj	yu	5
俁	日	諸	語	陽上	大也	ȵ	y	23	nj	yu	5
汝	日	諸	語	陽上	伱也	ȵ	y	23	nj	yu	5
女	日	諸	語	陽上	同上(伱也)	ȵ	y	23	nj	yu	5
虞	日	諸	語	陽上	衆也	ȵ	y	23	nj	yu	5
緒	心	諸	緒	陽上	端緒	s	y	23	s	yu	5
曙	心	諸	緒	陽上	光明也又天曉曰曙	s	y	23	s	yu	5
絮	心	諸	緒	陽上	綿絮	s	y	23	s	yu	5
墅	心	諸	緒	陽上	田廬也又村也	s	y	23	s	yu	5
醑	心	諸	緒	陽上	釃酒泲又美酒又盛也	s	y	23	s	yu	5
宁	穿	諸	宁	陽上	門屏之間曰宁	tʃʰ	y	23	ch	yu	5
佇	穿	諸	宁	陽上	立也	tʃʰ	y	23	ch	yu	5
竚	穿	諸	宁	陽上	久立又企也	tʃʰ	y	23	ch	yu	5
貯	穿	諸	宁	陽上	積貯	tʃʰ	y	23	ch	yu	5
羜	穿	諸	宁	陽上	未成羊也	tʃʰ	y	23	ch	yu	5
苧	穿	諸	宁	陽上	苧麻	tʃʰ	y	23	ch	yu	5
杼	穿	諸	宁	陽上	杼柚機之緯也	tʃʰ	y	23	ch	yu	5
紵	穿	諸	宁	陽上	絲屬	tʃʰ	y	23	ch	yu	5
柱	穿	諸	宁	陽上	屋之棟也	tʃʰ	y	23	ch	yu	5
杵	穿	諸	宁	陽上	舂杵	tʃʰ	y	23	ch	yu	5
拒	溪	諸	拒	陽上	抗也止也	kʰ	y	23	k	yu	5
距	溪	諸	拒	陽上	雞距	kʰ	y	23	k	yu	5
女	泥	諸	女	陽上	男女	n	y	23	n	yu	5
著	照	諸	著	陰去	明也又著述	tʃ	y	33	zh	yu	3
註	照	諸	著	陰去	訓釋也記也	tʃ	y	33	zh	yu	3
注	照	諸	著	陰去	意之所主又灌注厝注	tʃ	y	33	zh	yu	3
炷	照	諸	著	陰去	炷香	tʃ	y	33	zh	yu	3
蛀	照	諸	著	陰去	蟲名	tʃ	y	33	zh	yu	3
駐	照	諸	著	陰去	馬止也	tʃ	y	33	zh	yu	3
馵	照	諸	著	陰去	馬後左白曰馵	tʃ	y	33	zh	yu	3
霔	照	諸	著	陰去	時雨也	tʃ	y	33	zh	yu	3
鑄	照	諸	著	陰去	鎔鑄	tʃ	y	33	zh	yu	3
句	見	諸	句	陰去	文詞止處曰句	k	y	33	g	yu	3
鋸	見	諸	句	陰去	刀鋸	k	y	33	g	yu	3
庶	審	諸	庶	陰去	衆也近也又嫡庶	ʃ	y	33	sh	yu	3
恕	審	諸	庶	陰去	忠恕推己及人也	ʃ	y	33	sh	yu	3
戍	審	諸	庶	陰去	屯兵以守邊也	ʃ	y	33	sh	yu	3
飫	以	諸	飫	陰去	飽飫	ɥ	y	33	j	yu	3
饇	以	諸	飫	陰去	同上(飽飫)	ɥ	y	33	j	yu	3
酗	以	諸	飫	陰去	醉怒以酒行兇曰酗	ɥ	y	33	j	yu	3
煦	以	諸	飫	陰去	溫和也	ɥ	y	33	j	yu	3
瘀	以	諸	飫	陰去	血病壅也	ɥ	y	33	j	yu	3
淤	以	諸	飫	陰去	水障不通也	ɥ	y	33	j	yu	3
娶	淸	諸	娶	陰去	取婦曰娶	tsʰ	y	33	c	yu	3
趣	淸	諸	娶	陰去	趣味趣致	tsʰ	y	33	c	yu	3
覰	淸	諸	娶	陰去	竊視曰覰	tsʰ	y	33	c	yu	3
去	曉	諸	去	陰去	往也	h	y	33	h	yu	3
處	穿	諸	處	陰去	處所	tʃʰ	y	33	ch	yu	3
諭	以	諸	諭	陽去	曉諭告諭譬諭又諫也	ɥ	y	22	j	yu	6
喻	以	諸	諭	陽去	同上(曉諭告諭譬諭又諫也)	ɥ	y	22	j	yu	6
愈	以	諸	諭	陽去	勝也又病好曰愈	ɥ	y	22	j	yu	6
俞	以	諸	諭	陽去	然也諸也	ɥ	y	22	j	yu	6
預	以	諸	諭	陽去	先也又干涉也	ɥ	y	22	j	yu	6
蕷	以	諸	諭	陽去	山藥	ɥ	y	22	j	yu	6
豫	以	諸	諭	陽去	先也悅也逸也又忘也	ɥ	y	22	j	yu	6
裕	以	諸	諭	陽去	饒也寬也有餘之意	ɥ	y	22	j	yu	6
鸒	以	諸	諭	陽去	鳥名	ɥ	y	22	j	yu	6
踰	以	諸	諭	陽去	越也	ɥ	y	22	j	yu	6
瑜	以	諸	諭	陽去	瑾瑜美玉也又瑕瑜	ɥ	y	22	j	yu	6
逾	以	諸	諭	陽去	越進也	ɥ	y	22	j	yu	6
覦	以	諸	諭	陽去	覬覦	ɥ	y	22	j	yu	6
芋	以	諸	諭	陽去	芋頭	ɥ	y	22	j	yu	6
澦	以	諸	諭	陽去	灩澦	ɥ	y	22	j	yu	6
具	見	諸	具	陽去	備也辦也又器具	k	y	22	g	yu	6
遽	見	諸	具	陽去	急遽	k	y	22	g	yu	6
據	見	諸	具	陽去	憑依也守也	k	y	22	g	yu	6
颶	見	諸	具	陽去	颶風	k	y	22	g	yu	6
巨	見	諸	具	陽去	大也	k	y	22	g	yu	6
詎	見	諸	具	陽去	豈也	k	y	22	g	yu	6
倨	見	諸	具	陽去	傲慢也	k	y	22	g	yu	6
踞	見	諸	具	陽去	蹲踞	k	y	22	g	yu	6
鐻	見	諸	具	陽去	樂名	k	y	22	g	yu	6
鉅	見	諸	具	陽去	大也剛也	k	y	22	g	yu	6
秬	見	諸	具	陽去	黒黍也	k	y	22	g	yu	6
懼	見	諸	具	陽去	惶恐也	k	y	22	g	yu	6
惧	見	諸	具	陽去	同上(惶恐也)	k	y	22	g	yu	6
簴	見	諸	具	陽去	植木以懸鐘磬者橫曰簨縱曰簴	k	y	22	g	yu	6
序	精	諸	序	陽去	次也又學名	ts	y	22	z	yu	6
敘	精	諸	序	陽去	會也又陳述也又天敘五倫也	ts	y	22	z	yu	6
聚	精	諸	序	陽去	會也又積聚	ts	y	22	z	yu	6
足	精	諸	序	陽去	足恭恭之過也	ts	y	22	z	yu	6
藇	精	諸	序	陽去	美也	ts	y	22	z	yu	6
鱮	精	諸	序	陽去	魴鱮魚名	ts	y	22	z	yu	6
茹	日	諸	茹	陽去	食也又草根	ȵ	y	22	nj	yu	6
御	日	諸	茹	陽去	侍御撫御統御又進也治也使也天子用物皆曰御	ȵ	y	22	nj	yu	6
禦	日	諸	茹	陽去	當也捍也應答也	ȵ	y	22	nj	yu	6
馭	日	諸	茹	陽去	駕馭使也	ȵ	y	22	nj	yu	6
遇	日	諸	茹	陽去	逢也合也	ȵ	y	22	nj	yu	6
寓	日	諸	茹	陽去	寄也托也	ȵ	y	22	nj	yu	6
慮	來	諸	慮	陽去	思慮謀慮憂慮	l	y	22	l	yu	6
𧭜	來	諸	慮	陽去	詐也	l	y	22	l	yu	6
鑢	來	諸	慮	陽去	磨錯之物	l	y	22	l	yu	6
屢	來	諸	慮	陽去	屢次煩數也多也	l	y	22	l	yu	6
屡	來	諸	慮	陽去	同上(屢次煩數也多也)	l	y	22	l	yu	6
窶	來	諸	慮	陽去	貧窶空乏也	l	y	22	l	yu	6
褸	來	諸	慮	陽去	襤褸敝也	l	y	22	l	yu	6
縷	來	諸	慮	陽去	布縷麻縷	l	y	22	l	yu	6
屨	來	諸	慮	陽去	鞋也	l	y	22	l	yu	6
樹	審	諸	樹	陽去	木之總名又植立也	ʃ	y	22	sh	yu	6
澍	審	諸	樹	陽去	時雨	ʃ	y	22	sh	yu	6
豎	審	諸	樹	陽去	牧豎童僕之未冠者	ʃ	y	22	sh	yu	6
竪	審	諸	樹	陽去	立也植也	ʃ	y	22	sh	yu	6
住	照	諸	住	陽去	居住	tʃ	y	22	zh	yu	6
筯	照	諸	住	陽去	筷子	tʃ	y	22	zh	yu	6
箸	照	諸	住	陽去	同上(筷子)	tʃ	y	22	zh	yu	6
修	心	修	修	陰平	修飾又作葺理也	s	ɐu	53	s	au	1
羞	心	修	修	陰平	羞辱愧恥也又饌也	s	ɐu	53	s	au	1
颼	心	修	修	陰平	風聲	s	ɐu	53	s	au	1
廋	心	修	修	陰平	匿也	s	ɐu	53	s	au	1
區	亞	修	區	陰平	人姓又音拘	ʔ	ɐu	53		au	1
歐	亞	修	區	陰平	歐陽覆姓也	ʔ	ɐu	53		au	1
謳	亞	修	區	陰平	謳歌長吟也	ʔ	ɐu	53		au	1
鷗	亞	修	區	陰平	水鳥	ʔ	ɐu	53		au	1
甌	亞	修	區	陰平	荼甌	ʔ	ɐu	53		au	1
漚	亞	修	區	陰平	水上泡	ʔ	ɐu	53		au	1
周	照	修	周	陰平	周密周濟周備周遍又姓	tʃ	ɐu	53	zh	au	1
賙	照	修	周	陰平	賬恤也	tʃ	ɐu	53	zh	au	1
週	照	修	周	陰平	回也	tʃ	ɐu	53	zh	au	1
輖	照	修	周	陰平	匣也	tʃ	ɐu	53	zh	au	1
輈	照	修	周	陰平	車轅	tʃ	ɐu	53	zh	au	1
舟	照	修	周	陰平	船也	tʃ	ɐu	53	zh	au	1
州	照	修	周	陰平	九州	tʃ	ɐu	53	zh	au	1
洲	照	修	周	陰平	水中可居之也	tʃ	ɐu	53	zh	au	1
侜	照	修	周	陰平	載也	tʃ	ɐu	53	zh	au	1
譸	照	修	周	陰平	書經譸張爲幻	tʃ	ɐu	53	zh	au	1
憂	以	修	憂	陰平	懼也愁也	j	ɐu	53	j	au	1
優	以	修	憂	陰平	有餘也勝也暇也	j	ɐu	53	j	au	1
耰	以	修	憂	陰平	以土覆種曰耰	j	ɐu	53	j	au	1
休	以	修	憂	陰平	美也慶也息也安也又罷也	j	ɐu	53	j	au	1
貅	以	修	憂	陰平	貔貅猛獸之名	j	ɐu	53	j	au	1
咻	以	修	憂	陰平	嚾也	j	ɐu	53	j	au	1
㹯	以	修	憂	陰平	與貅同	j	ɐu	53	j	au	1
庥	以	修	憂	陰平	庇廕也	j	ɐu	53	j	au	1
鵂	以	修	憂	陰平	惡鳥食雀者	j	ɐu	53	j	au	1
𩢮	以	修	憂	陰平	馬名	j	ɐu	53	j	au	1
丘	以	修	憂	陰平	高地也	j	ɐu	53	j	au	1
坵	以	修	憂	陰平	田之似也	j	ɐu	53	j	au	1
蚯	以	修	憂	陰平	蚯蚓	j	ɐu	53	j	au	1
麀	以	修	憂	陰平	牝鹿	j	ɐu	53	j	au	1
呦	以	修	憂	陰平	鹿鳴之聲	j	ɐu	53	j	au	1
幽	以	修	憂	陰平	㴱也暗也隱微也	j	ɐu	53	j	au	1
秋	淸	修	秋	陰平	四季之一	tsʰ	ɐu	53	c	au	1
龝	淸	修	秋	陰平	同上(四季之一)	tsʰ	ɐu	53	c	au	1
楸	淸	修	秋	陰平	木名	tsʰ	ɐu	53	c	au	1
鰍	淸	修	秋	陰平	魚名	tsʰ	ɐu	53	c	au	1
愀	淸	修	秋	陰平	色變也	tsʰ	ɐu	53	c	au	1
甃	淸	修	秋	陰平	井甃又結砌也	tsʰ	ɐu	53	c	au	1
鰌	淸	修	秋	陰平	與鰍同泥鰌又海鰌魚	tsʰ	ɐu	53	c	au	1
鶖	淸	修	秋	陰平	秃鶖食魚之鳥	tsʰ	ɐu	53	c	au	1
湫	淸	修	秋	陰平	水名	tsʰ	ɐu	53	c	au	1
鞦	淸	修	秋	陰平	馬靷又鞦韆	tsʰ	ɐu	53	c	au	1
抽	穿	修	抽	陰平	收也援引也	tʃʰ	ɐu	53	ch	au	1
篘	穿	修	抽	陰平	酒篘	tʃʰ	ɐu	53	ch	au	1
瘳	穿	修	抽	陰平	病好曰瘳	tʃʰ	ɐu	53	ch	au	1
廋	穿	修	抽	陰平	匿也	tʃʰ	ɐu	53	ch	au	1
鄒	精	修	鄒	陰平	國名又姓	ts	ɐu	53	z	au	1
騶	精	修	鄒	陰平	騶虞仁獸	ts	ɐu	53	z	au	1
鄹	精	修	鄒	陰平	孔子故鄉	ts	ɐu	53	z	au	1
啾	精	修	鄒	陰平	啾唧小聲也	ts	ɐu	53	z	au	1
陬	精	修	鄒	陰平	遐陬	ts	ɐu	53	z	au	1
諏	精	修	鄒	陰平	咨事曰諏	ts	ɐu	53	z	au	1
緅	精	修	鄒	陰平	青赤色	ts	ɐu	53	z	au	1
鯫	精	修	鄒	陰平	魚名又鯫生小人也	ts	ɐu	53	z	au	1
棸	精	修	鄒	陰平	木名又姓	ts	ɐu	53	z	au	1
掫	精	修	鄒	陰平	擊也守夜擊刀斗之類	ts	ɐu	53	z	au	1
溝	見	修	溝	陰平	水渠	k	ɐu	53	g	au	1
鉤	見	修	溝	陰平	曲也又探取之義	k	ɐu	53	g	au	1
絇	見	修	溝	陰平	絇縱	k	ɐu	53	g	au	1
句	見	修	溝	陰平	曲也引也又索取也	k	ɐu	53	g	au	1
鳩	見	修	溝	陰平	鳥名	k	ɐu	53	g	au	1
樛	見	修	溝	陰平	木名也	k	ɐu	53	g	au	1
𨷺	見	修	溝	陰平	拈籌分物也	k	ɐu	53	g	au	1
裒	幫	修	裒	陰平	聚也又多笑貌	p	ɐu	53	b	au	1
彪	幫	修	裒	陰平	虎文又小虎也	p	ɐu	53	b	au	1
滮	幫	修	裒	陰平	水流貌	p	ɐu	53	b	au	1
缶	非	修	缶	陰平	瓦器	f	ɐu	53	f	au	1
罘	非	修	缶	陰平	罘罳屏風也	f	ɐu	53	f	au	1
坯	非	修	缶	陰平	一坯之土	f	ɐu	53	f	au	1
抷	非	修	缶	陰平	以手掬物也	f	ɐu	53	f	au	1
偷	透	修	偷	陰平	盜也又薄也	tʰ	ɐu	53	t	au	1
鍮	透	修	偷	陰平	石似玉	tʰ	ɐu	53	t	au	1
兜	端	修	兜	陰平	兜鍪	t	ɐu	53	d	au	1
㨮	端	修	兜	陰平	裝起曰㨮	t	ɐu	53	d	au	1
篼	端	修	兜	陰平	箭竹	t	ɐu	53	d	au	1
收	審	修	收	陰平	聚也取也	ʃ	ɐu	53	sh	au	1
蔞	來	修	蔞	陰平	蔞葉	l	ɐu	53	l	au	1
蒌	來	修	蔞	陰平	同上(蔞葉)	l	ɐu	53	l	au	1
摳	溪	修	摳	陰平	挈起也	kʰ	ɐu	53	k	au	1
彄	溪	修	摳	陰平	弓囊	kʰ	ɐu	53	k	au	1
吼	曉	修	吼	陰平	獅子吼	h	ɐu	53	h	au	1
㖃	曉	修	吼	陰平	忿聲又厚怒也	h	ɐu	53	h	au	1
由	以	修	由	陽平	自從也行也因也	j	ɐu	21	j	au	4
繇	以	修	由	陽平	同上(自從也行也因也)	j	ɐu	21	j	au	4
油	以	修	由	陽平	點燈用又雲盛貌又和也	j	ɐu	21	j	au	4
柚	以	修	由	陽平	柚子果名	j	ɐu	21	j	au	4
蘨	以	修	由	陽平	草盛	j	ɐu	21	j	au	4
攸	以	修	由	陽平	所也曰相攸言擇其可嫁之所	j	ɐu	21	j	au	4
悠	以	修	由	陽平	遠也長也	j	ɐu	21	j	au	4
滺	以	修	由	陽平	水流貌	j	ɐu	21	j	au	4
