繁体	简体	IPA	注释	来源		#說明：	
返	返	fæ̃3	~靑	墳派			
販	贩	fæ̃5	~私貨：比喩文章或語言中夾雜私自的東西	墳派			
泛	泛	fæ̃5	河底~：由於氣溫驟變，河水急劇上下對流的現象	墳派			
汎	汎	fæ̃5	同“泛”，漂浮；普遍，廣泛	墳派			
氾	氾	fæ̃5	大水漫溢	墳派			
渢	沨	fæ̃5	《集韻》：孚梵切	墳派			
譒	譒	fæ̃5		墳派			
寰	寰	ɡuæ̃2	大地、宇內：~宇	墳派			
儇	儇	ɡuæ̃2	慧黠而輕薄	墳派			
圜	圜	ɡuæ̃2	環繞、圍繞	墳派			
闤	阛	ɡuæ̃2	市場的圍墻，也借指市場	墳派			
鬟	鬟	ɡuæ̃2	古代婦女梳的環形髮髻	墳派			
摜	掼	ɡuæ̃6	~稻	墳派			
乾	乾	dʑiɛ̃2	~宅：結婚時男方的家庭	墳派			
虔	虔	dʑiɛ̃2	~誠	墳派			
掮	掮	dʑiɛ̃2	~耜頭	墳派			
揵	揵	dʑiɛ̃2	擧起：手~起來；~木梢（受人利用，給人當槍使）	墳派			
鍵	键	dʑiɛ̃2	鑰匙	墳派			
犍	犍	dʑiɛ̃2	~爲：地名，在四川省	墳派			
捷	捷	dʑiɛ̃2		墳派			
鈐	钤	dʑiɛ̃2	~鍵：鎖鑰，關鍵；比喩機謀	墳派			
黔	黔	dʑiɛ̃2	①黑色。②貴州省的簡稱	墳派			
儉	俭	dʑiɛ̃4	本音：~樸	墳派			
件	件	dʑiɛ̃4	量詞：一~衣裳；一~行李	墳派			
鍵	键	dʑiɛ̃4	關~	墳派			
楗	楗	dʑiɛ̃4	門上關插的木條，橫的叫“關”，豎的叫“楗”	墳派			
揵	揵	dʑiɛ̃4	①難。②擧。	墳派			
件	件	dʑiɛ̃6		墳派			
儉	俭	dʑiɛ̃6	又音	墳派			
健	健	dʑiɛ̃6	康~	墳派			
鯨	鲸	dʑiɪn2	~魚	墳派			
覲	觐	dʑiɪn6	朝見君主或朝拜聖地	墳派			
勁	劲	dʑiɪn6		墳派			
琴	琴	dʑiən2	口~	墳派			
禽	禽	dʑiən2	~獸	墳派			
擒	擒	dʑiən2	~拿	墳派			
芹	芹	dʑiən2	~菜	墳派			
近	近	dʑiən6	~段：附近	墳派			
窘	窘	dʑyən4	《廣韻》：渠殞切	墳派			
箘	箘	dʑyən4	一種細長無節的竹子，可作箭桿	墳派			
郡	郡	dʑyən6	吳~	墳派			
甝	甝	hæ̃1		墳派			
喊	喊	hæ̃3	叫~	墳派			
海	海	hæ̃3	理論上應讀[he⁵¹]	鄉音字類			
海	海	he3	~貨	蘇州同音常用字彙			
闞	阚	hæ̃3	虎叫聲	墳派			
醢	醢	hæ̃3	肉醬。理論上應讀[he⁵¹]	墳派			
呵	呵	hu1	~斥	墳派			
訶	诃	hu1	大聲斥責、怒罵	墳派			
滹	滹	hu1	~沱河：在河北省西部	墳派			
虖	虖	hu1	嗚~：同“嗚呼”	墳派			
火	火	hu3	~冒：發怒。|~鉗、~夾：用灶頭燒火時夾住稻草送進灶膛的工具	墳派			
虎	虎	hu3	老~	墳派			
琥	琥	hu3	~珀	墳派			
滸	浒	hu3	水~	墳派			
滸	浒	ɕy3	~墅關	蘇州同音常用字彙			
貨	货	hu5	大興~：假冒僞劣的貨物	墳派			
戽	戽	hu5	~鬥：形狀似鬥，用於汲水灌田的老式農具	墳派			
荷	荷	hu5	薄~	墳派			
甩	甩	huæ̃5	濫~	墳派			
花	花	huo1	~頭經	鄉音字類			
化	化	huo5	場~：地方	鄉音字類			
駭	骇	ɕie3	讀書音：驚~	墳派			
軒	轩	ɕiɛ̃1	翻~	墳派			
掀	掀	ɕiɛ̃1	~起來	墳派			
蜆	蚬	ɕiɛ̃3	~子山	墳派			
險	险	ɕiɛ̃3	~脚乎：差一點。|打花~：打哈欠	墳派			
顯	显	ɕiɛ̃3	~煥：有光彩，有面子	墳派			
獫	猃	ɕiɛ̃3	~狁：中國古代北方的民族，春秋時稱“戎”“狄”，戰國後稱“匈奴”	墳派			
玁	猃	ɕiɛ̃3	~狁：中國古代北方的民族，春秋時稱“戎”“狄”，戰國後稱“匈奴”	墳派			
嶮	崄	ɕiɛ̃3	高峻的樣子	墳派			
僴	僴	ɕiɛ̃3	①威武勇猛。②胸襟寬大開闊	墳派			
撊	撊	ɕiɛ̃3	①兇猛。②遮防禁止	墳派			
俔	伣	ɕiɛ̃5		墳派			
莧	苋	ɕiɛ̃5	~菜。今讀陰上	墳派			
憲	宪	ɕiɛ̃5	~法	墳派			
獻	献	ɕiɛ̃5	~醜：謙辭。變調爲55-21	墳派			
幰	幰	ɕiɛ̃5	馬車上的帷幔。理論應讀陰上	墳派			
靴	靴	ɕiu1	釘~	墳派			
馨	馨	ɕiɪn1	~香	墳派			
興	兴	ɕiɪn1	~盛	墳派			
