繁体	简体	IPA	注释	来源		#說明：	
鍬	锹	ʦʰəʏ1		鄉音字類			
揪	揪	ʦʰəʏ1	疑記錯，聲母應爲精母	蘇州同音常用字彙			
嗾	嗾	ʦʰəʏ5		鄉音字類			
蔟	蔟	ʦʰəʏ5		鄉音字類			
輳	辏	ʦʰəʏ5		鄉音字類			
腠	腠	ʦʰəʏ5		鄉音字類			
簉	簉	ʦʰəʏ5		鄉音字類			
修	修	səʏ1		鄉音字類			
脩	脩	səʏ1	束~	鄉音字類			
羞	羞	səʏ1	~耻	鄉音字類			
饈	馐	səʏ1		鄉音字類			
搜	搜	səʏ1		鄉音字類			
鎪	锼	səʏ1		鄉音字類			
颼	飕	səʏ1		鄉音字類			
廋	廋	səʏ1		鄉音字類			
廀	廋	səʏ1		鄉音字類			
蒐	蒐	səʏ1		鄉音字類			
溲	溲	səʏ1		鄉音字類			
叟	叟	səʏ1		鄉音字類			
餿	馊	səʏ1	~粥~飯	蘇州同音常用字彙			
叟	叟	səʏ3	童~無欺	蘇州同音常用字彙			
滫	滫	səʏ3		鄉音字類			
醙	醙	səʏ3		鄉音字類			
溲	溲	səʏ3	~粉	鄉音字類			
瞍	瞍	səʏ3		鄉音字類			
藪	薮	səʏ3		鄉音字類			
擻	擞	səʏ3		鄉音字類			
秀	秀	səʏ5		鄉音字類			
銹	锈	səʏ5	鐵~	蘇州同音常用字彙			
琇	琇	səʏ5		鄉音字類			
嗽	嗽	səʏ5		鄉音字類			
漱	漱	səʏ5	~口	鄉音字類			
瘦	瘦	səʏ5		鄉音字類			
宿	宿	səʏ5	星~	蘇州同音常用字彙			
酋	酋	zəʏ2		鄉音字類			
遒	遒	zəʏ2		鄉音字類			
囚	囚	zəʏ2	~犯	鄉音字類			
泅	泅	zəʏ2	~水	蘇州同音常用字彙			
愁	愁	zəʏ2	~眉哭蹙：形容憂愁欲哭的樣子	鄉音字類			
就	就	zəʏ6		鄉音字類			
鷲	鹫	zəʏ6	靈~寺	鄉音字類			
袖	袖	zəʏ6	~口	鄉音字類			
柚	柚	zəʏ6	~子。該讀音來源不明	蘇州同音常用字彙			
岫	岫	zəʏ6		鄉音字類			
褎	袖	zəʏ6	衣袖	鄉音字類			
驟	骤	zəʏ6		鄉音字類			
僦	僦	zəʏ6		鄉音字類			
溝	沟	kəʏ1	開~	鄉音字類			
韝	韝	kəʏ1		鄉音字類			
篝	篝	kəʏ1		鄉音字類			
钩	钩	kəʏ1		鄉音字類			
勾	勾	kəʏ1		鄉音字類			
苟	苟	kəʏ3	~且	鄉音字類			
笱	笱	kəʏ3		鄉音字類			
狗	狗	kəʏ3		鄉音字類			
耈	耈	kəʏ3		鄉音字類			
垢	垢	kəʏ3		鄉音字類			
岣	岣	kəʏ3		鄉音字類			
郈	郈	kəʏ3		鄉音字類			
冓	冓	kəʏ5		鄉音字類			
搆	搆	kəʏ5		鄉音字類			
媾	媾	kəʏ5		鄉音字類			
構	构	kəʏ5	~造	鄉音字類			
購	购	kəʏ5		鄉音字類			
遘	遘	kəʏ5		鄉音字類			
觏	觏	kəʏ5		鄉音字類			
詬	诟	kəʏ5		鄉音字類			
逅	逅	kəʏ5		鄉音字類			
姤	姤	kəʏ5		鄉音字類			
雊	雊	kəʏ5		鄉音字類			
彀	彀	kəʏ5		鄉音字類			
摳	抠	kʰəʏ1	~進去	鄉音字類			
驅	驱	kʰəʏ1		鄉音字類			
芤	芤	kʰəʏ1		鄉音字類			
口	口	kʰəʏ3	~舌	鄉音字類			
釦	扣	kʰəʏ3	鈕~	蘇州同音常用字彙			
冦	冦	kʰəʏ5		鄉音字類			
扣	扣	kʰəʏ5	~住	鄉音字類			
叩	叩	kʰəʏ5	~首	鄉音字類			
敂	敂	kʰəʏ5		鄉音字類			
蔻	蔻	kʰəʏ5	豆~	鄉音字類			
吼	吼	həʏ3	大~一聲	鄉音字類			
侯	侯	ɦəʏ2	姓	鄉音字類			
猴	猴	ɦəʏ2		鄉音字類			
㗋	喉	ɦəʏ2		鄉音字類			
喉	喉	ɦəʏ2		蘇州同音常用字彙			
餱	糇	ɦəʏ2		鄉音字類			
緱	缑	ɦəʏ2		鄉音字類			
厚	厚	ɦəʏ4		鄉音字類			
後	后	ɦəʏ4	摸~髈：做別人早已做過的事	鄉音字類			
候	候	ɦəʏ6	時~	鄉音字類			
堠	堠	ɦəʏ6		鄉音字類			
后	后	ɦəʏ6		鄉音字類			
偶	偶	ŋəʏ6	~然	蘇州同音常用字彙			
偶	偶	ŋəʏ4		鄉音字類			
耦	耦	ŋəʏ4		鄉音字類			
藕	藕	ŋəʏ4		鄉音字類			
甌	瓯	əʏ1		鄉音字類			
歐	欧	əʏ1		鄉音字類			
謳	讴	əʏ1		鄉音字類			
鷗	鸥	əʏ1		鄉音字類			
漚	沤	əʏ1	①水泡：浮~。②通“鷗”，水鳥	鄉音字類			
嘔	呕	əʏ3		鄉音字類			
毆	殴	əʏ3		鄉音字類			
傴	伛	əʏ3		鄉音字類			
鳩	鸠	ʨiʏ1		鄉音字類			
鬮	阄	ʨiʏ1	拈~子	鄉音字類			
樛	樛	ʨiʏ1		鄉音字類			
摎	摎	ʨiʏ1		鄉音字類			
轇	轇	ʨiʏ1		鄉音字類			
九	九	ʨiʏ3		鄉音字類			
久	久	ʨiʏ3		鄉音字類			
玖	玖	ʨiʏ3	①比玉稍差的黑色美石。②九的大寫	鄉音字類			
韭	韭	ʨiʏ3	~菜	鄉音字類			
赳	赳	ʨiʏ3		鄉音字類			
糾	纠	ʨiʏ1	~察隊。據《集韻》：居虬切	蘇州同音常用字彙			
糾	纠	ʨiʏ3	又音。據《廣韻》：居黝切	鄉音字類			
糺	糺	ʨiʏ3		鄉音字類			
究	究	ʨiʏ5		鄉音字類			
廄	厩	ʨiʏ5		鄉音字類			
救	救	ʨiʏ5		鄉音字類			
疚	疚	ʨiʏ5		鄉音字類			
灸	灸	ʨiʏ3	針~	蘇州同音常用字彙			
灸	灸	ʨiʏ5	又音	鄉音字類			
丘	丘	ʨʰiʏ1		鄉音字類			
邱	邱	ʨʰiʏ1	虎~山	鄉音字類			
求	求	ʥiʏ2	~人不如~己	鄉音字類			
裘	裘	ʥiʏ2		鄉音字類			
俅	俅	ʥiʏ2		鄉音字類			
絿	絿	ʥiʏ2		鄉音字類			
毬	毬	ʥiʏ2		鄉音字類			
球	球	ʥiʏ2	地~是圓葛	鄉音字類			
厹	厹	ʥiʏ2		鄉音字類			
仇	仇	ʥiʏ2	~人	鄉音字類			
朹	朹	ʥiʏ2		鄉音字類			
璆	璆	ʥiʏ2		鄉音字類			
觩	觩	ʥiʏ2		鄉音字類			
虬	虬	ʥiʏ2		鄉音字類			
虯	虯	ʥiʏ2		鄉音字類			
舅	舅	ʥiʏ4	娘~	鄉音字類			
咎	咎	ʥiʏ4		鄉音字類			
臼	臼	ʥiʏ4	石~	鄉音字類			
桕	桕	ʥiʏ4	~油	蘇州同音常用字彙			
柩	柩	ʥiʏ4		鄉音字類			
舊	旧	ʥiʏ6	~收貨	鄉音字類			
柩	柩	ʥiʏ6	靈~	蘇州同音常用字彙			
牛	牛	ȵiʏ2		鄉音字類			
狃	狃	ȵiʏ4		鄉音字類			
鈕	钮	ȵiʏ4	~頭	鄉音字類			
紐	纽	ȵiʏ4	稱~	鄉音字類			
杻	杻	ȵiʏ4		鄉音字類			
忸	忸	ȵiʏ4		鄉音字類			
扭	扭	ȵiʏ3	用手指夾住旋動	蘇州同音常用字彙			
扭	扭	ȵiʏ4	~牢仔俚弗肯放。~牢，糾纏住	蘇州同音常用字彙			
休	休	ɕiʏ1	~息	鄉音字類			
庥	庥	ɕiʏ1		鄉音字類			
鵂	鸺	ɕiʏ1		鄉音字類			
貅	貅	ɕiʏ1		鄉音字類			
朽	朽	ɕiʏ3	~腐	鄉音字類			
糗	糗	ɕiʏ3		鄉音字類			
尤	尤	ɦiʏ2	姓	鄉音字類			
訧	訧	ɦiʏ2		鄉音字類			
郵	邮	ɦiʏ2	~務局	鄉音字類			
猶	犹	ɦiʏ2	~之乎	鄉音字類			
猷	猷	ɦiʏ2		鄉音字類			
蕕	蕕	ɦiʏ2		鄉音字類			
輶	輶	ɦiʏ2		鄉音字類			
油	油	ɦiʏ2		鄉音字類			
由	由	ɦiʏ2		鄉音字類			
岫	岫	ɦiʏ2	據《集韻》：夷周切，音由	蘇州同音常用字彙			
紬	䌷	ɦiʏ2		鄉音字類			
斿	斿	ɦiʏ2		鄉音字類			
逰	游	ɦiʏ2		鄉音字類			
游	游	ɦiʏ2		鄉音字類			
蝣	蝣	ɦiʏ2		鄉音字類			
沋	沋	ɦiʏ2		鄉音字類			
㾞	㾞	ɦiʏ2		鄉音字類			
有	有	ɦiʏ4	~歇：有一會兒	鄉音字類			
友	友	ɦiʏ4	本音：朋~淘裏（朋友之間）	鄉音字類			
牖	牖	ɦiʏ4		鄉音字類			
羑	羑	ɦiʏ4		鄉音字類			
酉	酉	ɦiʏ4	~時	鄉音字類			
槱	槱	ɦiʏ4		鄉音字類			
卣	卣	ɦiʏ4		鄉音字類			
誘	诱	ɦiʏ4		鄉音字類			
誘	诱	iʏ3	文讀：~騙	蘇州同音常用字彙			
莠	莠	ɦiʏ4		鄉音字類			
庮	庮	ɦiʏ4		鄉音字類			
梄	梄	ɦiʏ4		鄉音字類			
懮	懮	ɦiʏ4		鄉音字類			
黝	黝	ɦiʏ4		鄉音字類			
又	又	ɦiʏ6	文讀	鄉音字類			
祐	祐	ɦiʏ6		鄉音字類			
右	右	ɦiʏ6	~手	鄉音字類			
柚	柚	ɦiʏ6		鄉音字類			
憂	忧	iʏ1	~愁	鄉音字類			
優	优	iʏ1	~等	鄉音字類			
耰	耰	iʏ1		鄉音字類			
麀	麀	iʏ1		鄉音字類			
呦	呦	iʏ1		鄉音字類			
幽	幽	iʏ1		鄉音字類			
攸	攸	iʏ1		鄉音字類			
悠	悠	iʏ1		鄉音字類			
櫌	櫌	iʏ3		鄉音字類			
幼	幼	iʏ5	~稚園	鄉音字類			
侑	侑	iʏ5		鄉音字類			
宥	宥	iʏ5	寬~	鄉音字類			
囿	囿	iʏ5		鄉音字類			
八	八	poʔ7		鄉音字類			
捌	捌	poʔ7		鄉音字類			
卜	卜	poʔ7		鄉音字類			
北	北	poʔ7		鄉音字類			
剥	剥	poʔ7	~削	鄉音字類			
駁	驳	poʔ7		鄉音字類			
駮	駮	poʔ7	~船	鄉音字類			
襮	襮	poʔ7		鄉音字類			
博	博	poʔ7	賭~	鄉音字類			
搏	搏	poʔ7		鄉音字類			
鎛	鎛	poʔ7		鄉音字類			
簙	簙	poʔ7		鄉音字類			
膊	膊	poʔ7	赤~	鄉音字類			
撲	扑	pʰoʔ7		鄉音字類			
扑	扑	pʰoʔ7		鄉音字類			
璞	璞	pʰoʔ7		鄉音字類			
樸	朴	pʰoʔ7	簡~	鄉音字類			
朴	朴	pʰoʔ7	厚~	蘇州同音常用字彙			
帕	帕	pʰoʔ7	手~子	鄉音字類			
襆	襆	pʰoʔ7		鄉音字類			
舶	舶	pʰoʔ7	~來品	蘇州同音常用字彙			
泊	泊	pʰoʔ7		蘇州同音常用字彙			
舶	舶	boʔ8		鄉音字類			
粕	粕	boʔ8		鄉音字類			
泊	泊	boʔ8		鄉音字類			
箔	箔	boʔ8	錫~	鄉音字類			
礴	礴	boʔ8		鄉音字類			
薄	薄	boʔ8		鄉音字類			
薄	薄	bu2	~荷	蘇州同音常用字彙			
亳	亳	boʔ8		鄉音字類			
僕	仆	boʔ8	公~	鄉音字類			
瀑	瀑	boʔ8	~布	鄉音字類			
匐	匐	boʔ8		鄉音字類			
濮	濮	boʔ8		鄉音字類			
纀	纀	boʔ8		鄉音字類			
爆	爆	boʔ8		鄉音字類			
雹	雹	boʔ8		鄉音字類			
仢	仢	boʔ8		鄉音字類			
瓝	瓝	boʔ8		鄉音字類			
蔔	蔔	boʔ8	蘿~	鄉音字類			
莫	莫	moʔ8	約~着	鄉音字類			
漠	漠	moʔ8		鄉音字類			
摸	摸	moʔ8		鄉音字類			
膜	膜	moʔ8		鄉音字類			
瘼	瘼	moʔ8		鄉音字類			
幕	幕	moʔ8		鄉音字類			
寞	寞	moʔ8		鄉音字類			
木	木	moʔ8		鄉音字類			
沐	沐	moʔ8		鄉音字類			
霂	霂	moʔ8		鄉音字類			
楘	楘	moʔ8		鄉音字類			
睦	睦	moʔ8		鄉音字類			
牧	牧	moʔ8	~羊	鄉音字類			
穆	穆	moʔ8		鄉音字類			
繆	缪	moʔ8		鄉音字類			
目	目	moʔ8		鄉音字類			
苜	苜	moʔ8		鄉音字類			
坶	坶	moʔ8		鄉音字類			
邈	邈	moʔ8		鄉音字類			
福	福	foʔ7		鄉音字類			
蝠	蝠	foʔ7		鄉音字類			
幅	幅	foʔ7		鄉音字類			
輻	辐	foʔ7		鄉音字類			
楅	楅	foʔ7		鄉音字類			
葍	葍	foʔ7		鄉音字類			
腹	腹	foʔ7		鄉音字類			
複	复	foʔ7	~壁板	鄉音字類			
馥	馥	foʔ7		鄉音字類			
覆	覆	foʔ7	~信	鄉音字類			
服	服	voʔ8		鄉音字類			
鵩	鵩	voʔ8		鄉音字類			
菔	菔	voʔ8		鄉音字類			
茯	茯	voʔ8		鄉音字類			
伏	伏	voʔ8		鄉音字類			
袱	袱	voʔ8	包~	鄉音字類			
洑	洑	voʔ8		鄉音字類			
虙	虙	voʔ8		鄉音字類			
復	复	voʔ8	報~	鄉音字類			
箙	箙	voʔ8		鄉音字類			
縛	缚	voʔ8		鄉音字類			
宓	宓	voʔ8		鄉音字類			
篤	笃	toʔ7		鄉音字類			
督	督	toʔ7		鄉音字類			
沰	沰	toʔ7	滴~	蘇州同音常用字彙			
秃	秃	tʰoʔ7	~頭	鄉音字類			
柝	柝	tʰoʔ7		鄉音字類			
託	讬	tʰoʔ7		鄉音字類			
拓	拓	tʰoʔ7	開~	鄉音字類			
橐	橐	tʰoʔ7		鄉音字類			
𣟄	𣟄	tʰoʔ7		鄉音字類			
蘀	萚	tʰoʔ7		鄉音字類			
籜	箨	tʰoʔ7		鄉音字類			
飥	饦	tʰoʔ7		鄉音字類			
侂	侂	tʰoʔ7		鄉音字類			
托	托	tʰoʔ7		鄉音字類			
庹	庹	tʰoʔ7	有一~長	蘇州同音常用字彙			
讀	读	doʔ8		鄉音字類			
瀆	渎	doʔ8	木~	鄉音字類			
櫝	椟	doʔ8		鄉音字類			
讟	讟	doʔ8		鄉音字類			
牘	牍	doʔ8	尺~	鄉音字類			
犢	犊	doʔ8	小牛	鄉音字類			
黷	黩	doʔ8	褻~	鄉音字類			
殰	殰	doʔ8		鄉音字類			
匵	椟	doʔ8		鄉音字類			
獨	独	doʔ8		鄉音字類			
毒	毒	doʔ8		鄉音字類			
碡	碡	doʔ8	碌~	鄉音字類			
⿱毒絲	纛	doʔ8	大~旗。應爲“纛”	蘇州同音常用字彙			
諾	诺	noʔ8		鄉音字類			
玀	猡	lo2	豬~~	蘇州同音常用字彙			
六	六	loʔ8		鄉音字類			
坴	坴	loʔ8		鄉音字類			
陆	陆	loʔ8		鄉音字類			
稑	稑	loʔ8		鄉音字類			
蓼	蓼	loʔ8		鄉音字類			
蓼	蓼	liæ4	~花	蘇州同音常用字彙			
穋	穋	loʔ8		鄉音字類			
勠	勠	loʔ8		鄉音字類			
戮	戮	loʔ8		鄉音字類			
僇	僇	loʔ8		鄉音字類			
洛	洛	loʔ8		鄉音字類			
絡	络	loʔ8	筋~	鄉音字類			
烙	烙	loʔ8		鄉音字類			
珞	珞	loʔ8		鄉音字類			
酪	酪	loʔ8		鄉音字類			
駱	骆	loʔ8	姓	鄉音字類			
落	落	loʔ8		鄉音字類			
雒	雒	loʔ8		鄉音字類			
禄	禄	loʔ8		鄉音字類			
睩	睩	loʔ8		鄉音字類			
淥	渌	loʔ8		鄉音字類			
鹿	鹿	loʔ8		鄉音字類			
轆	辘	loʔ8	~轤	鄉音字類			
漉	漉	loʔ8		鄉音字類			
麓	麓	loʔ8		鄉音字類			
簏	簏	loʔ8		鄉音字類			
碌	碌	loʔ8		鄉音字類			
盝	盝	loʔ8		鄉音字類			
綠	绿	loʔ8		鄉音字類			
緑	绿	loʔ8		蘇州同音常用字彙			
録	录	loʔ8		鄉音字類			
騄	騄	loʔ8		鄉音字類			
醁	醁	loʔ8		鄉音字類			
菉	菉	loʔ8		鄉音字類			
籙	箓	loʔ8		鄉音字類			
犖	荦	loʔ8		鄉音字類			
足	足	ʦoʔ7	~够	鄉音字類			
作	作	ʦoʔ7	~場	鄉音字類			
顣	蹙	ʦʰoʔ7		鄉音字類			
踧	踧	ʦʰoʔ7		鄉音字類			
噈	噈	ʦʰoʔ7		鄉音字類			
蹙	蹙	ʦʰoʔ7		鄉音字類			
蹴	蹴	ʦʰoʔ7		鄉音字類			
簇	簇	ʦʰoʔ7	~新	鄉音字類			
瘯	瘯	ʦʰoʔ7		鄉音字類			
鏃	镞	ʦʰoʔ7		鄉音字類			
鷟	鷟	ʦʰoʔ7		鄉音字類			
促	促	ʦʰoʔ7	侷~	鄉音字類			
錯	错	ʦʰoʔ7	山珍海~	鄉音字類			
剒	剒	ʦʰoʔ7		鄉音字類			
齪	龊	ʦʰoʔ7		鄉音字類			
肅	肃	soʔ7		鄉音字類			
夙	夙	soʔ7		鄉音字類			
蓿	蓿	soʔ7		鄉音字類			
宿	宿	soʔ7	隔~	鄉音字類			
速	速	soʔ7	迅~	鄉音字類			
涑	涑	soʔ7		鄉音字類			
餗	餗	soʔ7		鄉音字類			
觫	觫	soʔ7		鄉音字類			
藗	藗	soʔ7		鄉音字類			
樕	樕	soʔ7		鄉音字類			
簌	簌	soʔ7		鄉音字類			
索	索	soʔ7	繩~	鄉音字類			
謖	谡	soʔ7		鄉音字類			
粟	粟	soʔ7	罌~	鄉音字類			
𡩡	𡩡	soʔ7		鄉音字類			
俗	俗	zoʔ8	~語	鄉音字類			
續	续	zoʔ8	陸~	鄉音字類			
藚	藚	zoʔ8		鄉音字類			
昨	昨	zoʔ8	白讀：~日	鄉音字類			
怍	怍	zoʔ8		鄉音字類			
酢	酢	zoʔ8		鄉音字類			
族	族	zoʔ8		鄉音字類			
鑿	凿	zoʔ8		鄉音字類			
筰	筰	zoʔ8		鄉音字類			
射	射	zoʔ8	白讀：~箭	蘇州同音常用字彙			
各	各	koʔ7	~人一本	鄉音字類			
閣	阁	koʔ7	~樓	鄉音字類			
擱	搁	koʔ7		鄉音字類			
谷	谷	koʔ7	山~	鄉音字類			
毂	毂	koʔ7		鄉音字類			
轂	毂	koʔ7		鄉音字類			
穀	谷	koʔ7	~雨	鄉音字類			
糓	谷	koʔ7		鄉音字類			
鵠	鹄	koʔ7		鄉音字類			
梏	梏	koʔ7		鄉音字類			
牿	牿	koʔ7		鄉音字類			
𣪺	𣪺	koʔ7		鄉音字類			
嚳	喾	kʰoʔ7		鄉音字類			
酷	酷	kʰoʔ7	~虐	鄉音字類			
殻	壳	kʰoʔ7		鄉音字類			
殼	壳	kʰoʔ7	蛻~：有些昆蟲和蛇類成長過程中要脫殼，如知了（蟬）蛻下的殼稱蟬衣，可以入藥。蛇蛻下的殼稱蛇殼	蘇州同音常用字彙			
哭	哭	kʰoʔ7		鄉音字類			
貉	貉	ŋoʔ8		鄉音字類			
萼	萼	ŋoʔ8		鄉音字類			
鍔	锷	ŋoʔ8		鄉音字類			
諤	谔	ŋoʔ8		鄉音字類			
鄂	鄂	ŋoʔ8		鄉音字類			
愕	愕	ŋoʔ8		鄉音字類			
鶚	鹗	ŋoʔ8		鄉音字類			
噩	噩	ŋoʔ8		鄉音字類			
鱷	鳄	ŋoʔ8		鄉音字類			
㕺	㕺	ŋoʔ8		鄉音字類			
翯	翯	ŋoʔ8		鄉音字類			
嶽	岳	ŋoʔ8		鄉音字類			
岳	岳	ŋoʔ8	姓	鄉音字類			
鸑	鸑	ŋoʔ8		鄉音字類			
玉	玉	ŋoʔ8		鄉音字類			
獄	狱	ŋoʔ8		鄉音字類			
衂	衄	ŋoʔ8		鄉音字類			
鶴	鹤	ŋoʔ8	仙~	鄉音字類			
壑	壑	hoʔ7	溝~	蘇州同音常用字彙			
齶	齶	hoʔ7	上~有點腫	蘇州同音常用字彙			
霍	霍	hoʔ7	~亂吐瀉	鄉音字類			
藿	藿	hoʔ7	~香	鄉音字類			
攉	攉	hoʔ7	~親	鄉音字類			
癨	癨	hoʔ7		鄉音字類			
矐	矐	hoʔ7		鄉音字類			
臛	臛	hoʔ7		鄉音字類			
壡	壡	hoʔ7		鄉音字類			
郝	郝	hoʔ7		鄉音字類			
熇	熇	hoʔ7		鄉音字類			
謞	謞	hoʔ7		鄉音字類			
涸	涸	hoʔ7	乾~~	鄉音字類			
斛	斛	ɦoʔ8	~子	鄉音字類			
槲	槲	ɦoʔ8		鄉音字類			
鑊	镬	ɦoʔ8		鄉音字類			
雘	雘	ɦoʔ8		鄉音字類			
觳	觳	ɦoʔ8		鄉音字類			
穫	获	ɦoʔ8		鄉音字類			
蠖	蠖	ɦoʔ8		鄉音字類			
擭	擭	ɦoʔ8		鄉音字類			
檴	檴	ɦoʔ8		鄉音字類			
屋	屋	oʔ7	車~	鄉音字類			
握	握	oʔ7		鄉音字類			
渥	渥	oʔ7		鄉音字類			
喔	喔	oʔ7	~唷	鄉音字類			
幄	幄	oʔ7		鄉音字類			
偓	偓	oʔ7		鄉音字類			
齷	齷	oʔ7	~齪	鄉音字類			
沃	沃	oʔ7		鄉音字類			
鋈	鋈	oʔ7		鄉音字類			
覺	觉	ʨioʔ7	文讀：感~	蘇州同音常用字彙			
匊	匊	ʨioʔ7		鄉音字類			
踘	踘	ʨioʔ7		鄉音字類			
菊	菊	ʨioʔ7	~花	鄉音字類			
㥌	㥌	ʨioʔ7		鄉音字類			
鞠	鞠	ʨioʔ7	~躬	鄉音字類			
鵴	鵴	ʨioʔ7		鄉音字類			
掬	掬	ʨioʔ7		鄉音字類			
鞫	鞫	ʨioʔ7		鄉音字類			
角	角	ʨioʔ7	文讀	鄉音字類			
桷	桷	ʨioʔ7		鄉音字類			
珏	珏	ʨioʔ7		鄉音字類			
瑴	瑴	ʨioʔ7		鄉音字類			
觉	觉	ʨioʔ7	文讀	鄉音字類			
矍	矍	ʨioʔ7	~鑠	鄉音字類			
攫	攫	ʨioʔ7		鄉音字類			
躩	躩	ʨioʔ7		鄉音字類			
戄	戄	ʨioʔ7		鄉音字類			
貜	貜	ʨioʔ7		鄉音字類			
輂	輂	ʨioʔ7		鄉音字類			
挶	挶	ʨioʔ7		鄉音字類			
梮	梮	ʨioʔ7		鄉音字類			
曲	曲	ʨʰioʔ7	唱~子	鄉音字類			
麯	麯	ʨʰioʔ7	酒~	鄉音字類			
麴	麴	ʨʰioʔ7		鄉音字類			
恪	恪	ʨʰioʔ7		鄉音字類			
愨	悫	ʨʰioʔ7		鄉音字類			
確	确	ʨʰioʔ7	的~	鄉音字類			
搉	搉	ʨʰioʔ7		鄉音字類			
㩁	搉	ʨʰioʔ7	商~	蘇州同音常用字彙			
榷	榷	ʨʰioʔ7		鄉音字類			
局	局	ʥioʔ8		鄉音字類			
侷	局	ʥioʔ8	~促	鄉音字類			
跼	跼	ʥioʔ8		鄉音字類			
旭	旭	ɕioʔ7	~日	鄉音字類			
勖	勖	ɕioʔ7		鄉音字類			
頊	顼	ɕioʔ7		鄉音字類			
蓄	蓄	ɕioʔ7	積~	鄉音字類			
畜	畜	ɕioʔ7	~牧	鄉音字類			
慉	慉	ɕioʔ7		鄉音字類			
浴	浴	ɦioʔ8		鄉音字類			
欲	欲	ɦioʔ8		鄉音字類			
慾	欲	ɦioʔ8		鄉音字類			
鵒	鹆	ɦioʔ8		鄉音字類			
鬻	鬻	ɦioʔ8		鄉音字類			
樂	乐	ɦioʔ8	文讀：音~	鄉音字類			
學	学	ɦioʔ8	文讀	鄉音字類			
澩	泶	ɦioʔ8		鄉音字類			
嶨	峃	ɦioʔ8		鄉音字類			
确	确	ɦioʔ8		鄉音字類			
育	育	ioʔ7		鄉音字類			
唷	唷	ioʔ7		蘇州同音常用字彙			
煜	煜	ioʔ7		鄉音字類			
毓	毓	ioʔ7		鄉音字類			
昱	昱	ioʔ7		鄉音字類			
儥	儥	ioʔ7		鄉音字類			
彧	彧	ioʔ7		鄉音字類			
郁	郁	ioʔ7	姓	鄉音字類			
噢	噢	ioʔ7		鄉音字類			
澳	澳	ioʔ7		鄉音字類			
燠	燠	ioʔ7		鄉音字類			
不	不	pəʔ7		鄉音字類			
檗	檗	pəʔ7		鄉音字類			
擘	擘	pəʔ7		鄉音字類			
糪	糪	pəʔ7		鄉音字類			
撥	撥	pəʔ7	挑~	鄉音字類			
襏	襏	pəʔ7		鄉音字類			
鉢	鉢	pəʔ7		鄉音字類			
盋	盋	pəʔ7		鄉音字類			
迫	迫	pəʔ7	强~	鄉音字類			
百	百	pəʔ7		鄉音字類			
柏	柏	pəʔ7		鄉音字類			
伯	伯	pəʔ7		鄉音字類			
䞟	䞟	pəʔ7		鄉音字類			
拍	拍	pʰəʔ7		鄉音字類			
珀	珀	pʰəʔ7		鄉音字類			
魄	魄	pʰəʔ7		鄉音字類			
潑	潑	pʰəʔ7	~水	鄉音字類			
帛	帛	bəʔ8		鄉音字類			
白	白	bəʔ8	~相	鄉音字類			
魃	魃	bəʔ8		鄉音字類			
茇	茇	bəʔ8		鄉音字類			
鈸	钹	bəʔ8		鄉音字類			
跋	跋	bəʔ8	~涉	鄉音字類			
鵓	鵓	bəʔ8	~鴿	鄉音字類			
渤	渤	bəʔ8		鄉音字類			
勃	勃	bəʔ8		鄉音字類			
浡	浡	bəʔ8		鄉音字類			
孛	孛	bəʔ8		鄉音字類			
荸	荸	bəʔ8	~薺	鄉音字類			
末	末	məʔ8	著~	鄉音字類			
茉	茉	məʔ8		鄉音字類			
茉	茉	moʔ8	~莉花。今一般讀[məʔ²³]	蘇州同音常用字彙			
沫	沫	məʔ8	吐~	鄉音字類			
秣	秣	məʔ8		鄉音字類			
抹	抹	məʔ8	~布	鄉音字類			
昧	昧	məʔ8		鄉音字類			
沒	沒	məʔ8		鄉音字類			
歿	歿	məʔ8		鄉音字類			
歾	歾	məʔ8		鄉音字類			
陌	陌	məʔ8		鄉音字類			
貊	貊	məʔ8		鄉音字類			
麥	麥	məʔ8		鄉音字類			
霢	霢	məʔ8		鄉音字類			
脈	脈	məʔ8		鄉音字類			
墨	墨	məʔ8	筆~	鄉音字類			
纆	纆	məʔ8		鄉音字類			
默	默	məʔ8		鄉音字類			
嘿	嘿	məʔ8		鄉音字類			
黻	黻	fəʔ7		鄉音字類			
韍	韍	fəʔ7		鄉音字類			
紱	紱	fəʔ7		鄉音字類			
芾	芾	fəʔ7		鄉音字類			
綍	綍	fəʔ7		鄉音字類			
弗	弗	fəʔ7		鄉音字類			
紼	紼	fəʔ7		鄉音字類			
笰	笰	fəʔ7		鄉音字類			
祓	祓	fəʔ7		鄉音字類			
拂	拂	fəʔ7	~帚	鄉音字類			
茀	茀	fəʔ7		鄉音字類			
彿	彿	fəʔ7	彷~	鄉音字類			
髴	髴	fəʔ7		鄉音字類			
艴	艴	fəʔ7		鄉音字類			
刜	刜	fəʔ7		鄉音字類			
咈	咈	fəʔ7	~布	鄉音字類			
怫	怫	fəʔ7		鄉音字類			
勿	勿	vəʔ8		鄉音字類			
物	物	vəʔ8		鄉音字類			
佛	佛	vəʔ8	唸~	鄉音字類			
得	得	təʔ7	~意	鄉音字類			
德	德	təʔ7		鄉音字類			
答	答	təʔ7	問~	鄉音字類			
掇	掇	təʔ7	攛~	鄉音字類			
慝	慝	tʰəʔ7		鄉音字類			
脱	脱	tʰəʔ7	奪~	鄉音字類			
