"t0序"	"t0用字"	"记音"	"备注"
"763"	"穄"	"ʨi5"	""
"764"	"漈"	"ʨi5"	""
"765"	"滯"	"ʦɿ5"	""
"766"	"制"	"ʦɿ5"	""
"767"	"製"	"ʦɿ5"	""
"768"	"世"	"sɿ5"	""
"769"	"贳"	"sɿ5"	""
"770"	"勢"	"sɿ5"	""
"771"	"誓"	"sɿ5"	""
"772"	"逝"	"sɿ5"	""
"773"	"藝"	"ȵi5"	""
"774"	"刈"	"ȵi5"	""
"775"	"蓖"	"pi5"	""
"776"	"閉"	"pi5"	""
"777"	"箅"	"pi5"	""
"778"	"批"	"pʰei1"	""
"779"	"砒"	"pʰei1"	""
"780"	"陛"	"pi5"	""
"781"	"鐾"	"pi5"	""
"782"	"迷"	"mi2"	""
"783"	"米"	"mi3"	""
"784"	"謎"	"mi2"	""
"785"	"低"	"ti1"	""
"786"	"堤"	"tʰi2"	""
"787"	"底"	"ti3"	""
"788"	"抵"	"ti3"	""
"789"	"帝"	"ti5"	""
"790"	"渧"	"ti5"	""
"791"	"蒂"	"ti5"	""
"792"	"嚏"	"tʰi2"	""
"793"	"梯"	"tʰi1"	""
"794"	"體"	"tʰi3"	""
"795"	"替"	"tʰi5"	""
"796"	"涕"	"tʰi5"	""
"797"	"剃"	"tʰi5"	""
"798"	"屜"	"tʰi5"	""
"799"	"題"	"tʰi2"	""
"800"	"提"	"tʰi2"	""
"800"	"提"	"tia1"	""
"801"	"蹄"	"tʰi2"	""
"802"	"啼"	"tʰi2"	""
"803"	"弟"	"ti5"	""
"804"	"第"	"ti5"	""
"805"	"遞"	"ti5"	""
"806"	"泥"	"ȵi2"	""
"807"	"犁"	"li2"	""
"808"	"黎"	"li2"	""
"809"	"禮"	"li3"	""
"810"	"麗"	"li5"	""
"811"	"隸"	"ti5"	""
"812"	"莉"	"li5"	""
"813"	"擠"	"ʨi3"	""
"813"	"擠"	"ʨy3"	""
"814"	"濟"	"ʨi5"	""
"815"	"妻"	"ʨʰi1"	""
"816"	"淒"	"ʨʰi1"	""
"817"	"悽"	"ʨʰi1"	""
"818"	"砌"	"ʨʰi5"	""
"819"	"沏"	"ʨʰi5"	""
"820"	"磜"	"ʨʰi5"	""
"821"	"齊"	"ʨʰi2"	""
"822"	"臍"	"ʨi5"	""
"823"	"薺"	"ʨi5"	""
"824"	"劑"	"ʨi5"	""
"825"	"西"	"ɕi1"	""
"826"	"棲"	"ɕi1"	""
"827"	"犀"	"ɕi1"	""
"828"	"粞"	"ɕi1"	""
"829"	"洗"	"ɕi3"	""
"830"	"細"	"ɕi5"	""
"831"	"婿"	"ɕy2"	""
"832"	"雞"	"ʨi1"	""
"833"	"稽"	"ʨi1"	""
"834"	"計"	"ʨi5"	""
"835"	"繼"	"ʨi5"	""
"836"	"繋"	"ʨi5"	""
"837"	"髻"	"ʨi5"	""
"838"	"溪"	"ʨʰi1"	""
"839"	"啟"	"ʨʰi3"	""
"840"	"契"	"ʨʰi5"	""
"841"	"倪"	"ȵi2"	""
"842"	"诣"	"ȵi2"	""
"843"	"奚"	"ɕi1"	""
"844"	"兮"	"ɕi1"	""
"845"	"系"	"ɕi5"	""
"846"	"繫"	"ɕi5"	""
"847"	"係"	"ɕi5"	""
"848"	"縊"	"i5"	""
"849"	"瞖"	"i5"	""
"850"	"杯"	"pei1"	""
"851"	"輩"	"pei5"	""
"852"	"背"	"pei5"	""
"853"	"褙"	"pei5"	""
"854"	"胚"	"pʰi"	""
"855"	"坯"	"pʰei1"	""
"856"	"配"	"pʰei5"	""
"857"	"培"	"pʰei2"	""
"858"	"陪"	"pʰei2"	""
"859"	"賠"	"pʰei2"	""
"860"	"裴"	"pʰei2"	""
"861"	"倍"	"pei5"	""
"862"	"佩"	"pʰei5"	""
"863"	"背"	"pʰei5"	""
"864"	"焙"	"pʰei2"	""
"865"	"梅"	"mei2"	""
"866"	"枚"	"mei2"	""
"867"	"媒"	"mei2"	""
"868"	"煤"	"mei2"	""
"869"	"莓"	"mei2"	""
"870"	"玫"	"mei2"	""
"871"	"每"	"mei3"	""
"872"	"妹"	"mei5"	""
"873"	"昧"	"mi5"	""
"874"	"堆"	"tuei1"	""
"875"	"對"	"tuei5"	""
"876"	"碓"	"tuei5"	""
"877"	"推"	"tʰuei1"	""
"878"	"㷟"	"tʰuei1"	""
"879"	"腿"	"tʰuei3"	""
"880"	"退"	"tʰuei5"	""
"881"	"隊"	"tuei5"	""
"882"	"頹"	"tʰuei2"	""
"883"	"馁"	"luei3"	""
"884"	"内"	"luei5"	""
"885"	"雷"	"luei2"	""
"886"	"儡"	"luei3"	""
"887"	"蕾"	"luei3"	""
"888"	"累"	"luei5"	""
"889"	"擂"	"luei5"	""
"890"	"脧"	"ʨyɛn1"	""
"891"	"催"	"ʦʰuei1"	""
"892"	"崔"	"ʦʰuei1"	""
"893"	"摧"	"ʦʰuei1"	""
"894"	"罪"	"ʦuei5"	""
"895"	"碎"	"suei5"	""
"896"	"瑰"	"kuei1"	""
"897"	"盔"	"kʰuei1"	""
"898"	"魁"	"kʰuei2"	""
"899"	"恢"	"xuei1"	""
"900"	"诙"	"xuei1"	""
"901"	"傀"	"kʰuei3"	""
"902"	"塊"	"kʰuai3"	""
"903"	"桅"	"uei2"	""
"904"	"灰"	"xuei1"	""
"905"	"賄"	"xuei5"	""
"906"	"悔"	"xuei3"	""
"907"	"晦"	"xuei5"	""
"908"	"回"	"xuei2"	""
"909"	"茴"	"xuei2"	""
"910"	"蛔"	"xuei2"	""
"911"	"徊"	"xuei2"	""
"912"	"匯"	"xuei5"	""
"913"	"潰"	"kʰuei5"	""
"914"	"煨"	"uei1"	""
"915"	"蜕"	"tʰuei5"	""
"916"	"兑"	"tuei5"	""
"917"	"最"	"ʦuei5"	""
"918"	"會"	"xuei5"	""
"919"	"劊"	"xuei5"	""
"920"	"檜"	"xuei5"	""
"921"	"外"	"uai5"	""
"922"	"會"	"kʰuai5"	""
"924"	"繪"	"xuei5"	""
"925"	"燴"	"xuei5"	""
"926"	"𢶀"	"ʦʰuei5"	""
"927"	"乖"	"kuai1"	""
"928"	"怪"	"kuai5"	""
"929"	"蒯"	"kʰuai5"	""
"930"	"塊"	"kʰuai3"	""
"931"	"懷"	"xuai2"	""
"932"	"槐"	"xuai2"	""
"933"	"淮"	"xuai2"	""
"934"	"壞"	"xuai5"	""
"935"	"枴"	"kuai3"	""
"936"	"掛"	"kua5"	""
"937"	"卦"	"kua5"	""
"938"	"褂"	"kua5"	""
"939"	"歪"	"uai1"	""
"940"	"畫"	"xua5"	""
"941"	"蛙"	"ua1"	""
"942"	"快"	"kʰuai5"	""
"943"	"筷"	"kʰuai5"	""
"944"	"話"	"xua5"	""
"945"	"脆"	"ʦʰuei5"	""
"946"	"歲"	"suei5"	""
"947"	"綴"	"ʦuei5"	""
"948"	"贅"	"ʦuei5"	""
"949"	"喙"	"xuei5"	""
"950"	"税"	"suei5"	""
"951"	"芮"	"zuei5"	""
"952"	"鱖"	"kuei5"	""
"953"	"衛"	"uei5"	""
"954"	"鋭"	"zuei5"	""
"955"	"廢"	"fei5"	""
"956"	"肺"	"fei5"	""
"957"	"杮"	"fei5"	""
"958"	"吠"	"fei5"	""
"959"	"穢"	"xuei5"	""
"960"	"圭"	"kuei1"	""
"961"	"閨"	"kuei1"	""
"962"	"桂"	"kuei5"	""
"963"	"奎"	"kuei1"	""
"964"	"攜"	"ɕie2"	""
"965"	"畦"	"ʨʰi2"	""
"966"	"惠"	"xuei5"	""
"967"	"慧"	"xuei5"	""
"968"	"碑"	"pei1"	""
"969"	"卑"	"pei1"	""
"970"	"彼"	"pei3"	""
"971"	"俾"	"pei3"	""
"972"	"臂"	"pei5"	""
"973"	"披"	"pʰei1"	""
"974"	"譬"	"pʰi5"	""
"975"	"皮"	"pʰi2"	""
"976"	"疲"	"pʰi2"	""
"977"	"脾"	"pʰi2"	""
"978"	"被"	"pi5"	""
"979"	"婢"	"pi5"	""
"980"	"被"	"pei5"	""
"981"	"避"	"pi5"	""
"982"	"糜"	"mi2"	""
"983"	"彌"	"mi2"	""
"984"	"籋"	"mi2"	""
"985"	"靡"	"mi2"	""
"986"	"離"	"li2"	""
"987"	"籬"	"li2"	""
"988"	"璃"	"li2"	""
"989"	"漓"	"li2"	""
"990"	"荔"	"li5"	""
"991"	"離"	"li5"	""
"992"	"紫"	"ʦɿ3"	""
"993"	"雌"	"ʦʰɿ2"	""
"994"	"此"	"ʦʰɿ3"	""
"995"	"刺"	"ʦʰɿ5"	""
"996"	"疵"	"ʦʰɿ1"	""
"997"	"斯"	"sɿ1"	""
"998"	"廝"	"sɿ1"	""
"999"	"撕"	"sɿ1"	""
"1000"	"璽"	"ɕi2"	""
"1001"	"徙"	"ɕi2"	""
"1002"	"賜"	"ʦʰɿ5"	""
"1003"	"知"	"ʦɿ1"	""
"1004"	"蜘"	"ʦɿ1"	""
"1005"	"智"	"ʦɿ5"	""
"1006"	"池"	"ʦʰɿ2"	""
"1007"	"馳"	"ʦʰɿ2"	""
"1008"	"龇"	"ʦɿ1"	""
"1009"	"差"	"ʦʰɿ1"	""
"1010"	"篩"	"sai1"	""
"1011"	"支"	"ʦɿ1"	""
"1012"	"枝"	"ʦɿ1"	""
"1013"	"肢"	"ʦɿ1"	""
"1014"	"梔"	"ʦɿ1"	""
"1015"	"紙"	"ʦɿ3"	""
"1016"	"只"	"ʦɿ3"	""
"1017"	"眵"	"ʦʰɿ1"	""
"1018"	"侈"	"ʦʰɿ3"	""
"1019"	"舐"	"sɿ5"	""
"1020"	"施"	"sɿ1"	""
"1021"	"豕"	"sɿ3"	""
"1022"	"翅"	"ʦɿ5"	""
"1022"	"翅"	"ʦʰɿ5"	""
"1023"	"施"	"sɿ1"	""
"1024"	"匙"	"sɿ2"	""
"1025"	"是"	"sɿ5"	""
"1026"	"氏"	"sɿ5"	""
"1027"	"豉"	"sɿ2"	""
"1028"	"兒"	"ɭ2"	""
"1029"	"爾"	"ɭ2"	""
"1030"	"羁"	"ʨi1"	""
"1031"	"奇"	"ʨʰi2"	""
"1032"	"寄"	"ʨi5"	""
"1033"	"企"	"ʨʰi5"	""
"1034"	"奇"	"ʨi1"	""
"1035"	"騎"	"ʨʰi2"	""
"1036"	"崎"	"ʨʰi2"	""
"1037"	"岐"	"ʨʰi2"	""
"1038"	"徛"	"ʨʰi5"	""
"1039"	"技"	"ʨi5"	""
"1040"	"妓"	"ʨi5"	""
"1041"	"宜"	"ȵi2"	""
"1042"	"儀"	"ȵi2"	""
"1043"	"蟻"	"i2"	""
"1044"	"誼"	"ȵi2"	""
"1045"	"義"	"ȵi5"	""
"1046"	"議"	"ȵi5"	""
"1047"	"犧"	"ɕi2"	""
"1048"	"桸"	"ɕi1"	""
"1049"	"戲"	"ɕi5"	""
"1050"	"倚"	"i3"	""
"1051"	"椅"	"i3"	""
"1052"	"移"	"i2"	""
"1053"	"易"	"i5"	""
"1054"	"悲"	"pi1"	""
"1055"	"屄"	"pʰi1"	""
"1056"	"鄙"	"pʰi3"	""
"1057"	"比"	"pi3"	""
"1058"	"秕"	"pi3"	""
"1059"	"袐"	"pi5"	""
"1060"	"泌"	"mi5"	""
"1061"	"轡"	"pi5"	""
"1062"	"庇"	"pi5"	""
"1063"	"痹"	"pei5"	""
"1064"	"丕"	"pʰei1"	""
"1065"	"屁"	"pʰi5"	""
"1066"	"琵"	"pʰi2"	""
"1067"	"枇"	"pʰi2"	""
"1068"	"痞"	"pʰi3"	""
"1069"	"備"	"pi5"	""
"1070"	"憊"	"pei5"	""
"1071"	"鼻"	"pi2"	""
"1072"	"篦"	"pi5"	""
"1073"	"眉"	"mi2"	""
"1074"	"楣"	"mi2"	""
"1075"	"黴"	"mei2"	""
"1076"	"美"	"mei3"	""
"1077"	"媚"	"mei5"	""
"1078"	"寐"	"mi5"	""
"1079"	"胝"	"ʦɿ1"	""
"1080"	"地"	"ti5"	""
"1081"	"尼"	"ȵi2"	""
"1082"	"呢"	"ȵi2"	""
"1082"	"呢"	"le1"	""
"1083"	"膩"	"ȵi5"	""
"1084"	"梨"	"li2"	""
"1085"	"履"	"ly3"	""
"1086"	"利"	"li5"	""
"1087"	"痢"	"li5"	""
"1088"	"資"	"ʦɿ1"	""
"1089"	"姿"	"ʦɿ1"	""
"1090"	"咨"	"ʦɿ1"	""
"1091"	"姊"	"ʦɿ3"	""
"1092"	"次"	"ʦʰɿ5"	""
"1093"	"瓷"	"ʦʰɿ2"	""
"1094"	"餈"	"ʦʰɿ2"	""
"1095"	"自"	"ʦɿ5"	""
"1096"	"私"	"sɿ1"	""
"1097"	"死"	"sɿ3"	""
"1098"	"四"	"sɿ5"	""
"1099"	"肆"	"sɿ5"	""
"1100"	"黹"	"ʦɿ3"	""
"1101"	"致"	"ʦɿ5"	""
"1102"	"遲"	"ʦʰɿ2"	""
"1103"	"雉"	"ʦɿ5"	""
"1104"	"稚"	"ʦɿ5"	""
"1105"	"致"	"ʦɿ5"	""
"1106"	"師"	"sɿ1"	""
"1107"	"獅"	"sɿ1"	""
"1108"	"螄"	"sɿ1"	""
"1109"	"脂"	"ʦɿ1"	""
"1110"	"旨"	"ʦɿ3"	""
"1111"	"指"	"ʦɿ3"	""
"1112"	"至"	"ʦɿ5"	""
"1113"	"示"	"sɿ5"	""
"1114"	"尸"	"sɿ1"	""
"1115"	"屍"	"sɿ1"	""
"1116"	"矢"	"sɿ3"	""
"1117"	"屎"	"sɿ3"	""
"1118"	"視"	"sɿ5"	""
"1119"	"嗜"	"sɿ5"	""
"1120"	"二"	"ɭ5"	""
"1121"	"貳"	"ɭ5"	""
"1122"	"飢"	"ʨi1"	""
"1123"	"肌"	"ʨi1"	""
"1124"	"几"	"ʨi3"	""
"1125"	"麂"	"ʨi3"	""
"1126"	"冀"	"ʨi5"	""
"1127"	"器"	"ʨʰi5"	""
"1128"	"棄"	"ʨʰi5"	""
"1129"	"祁"	"ʨʰi2"	""
"1130"	"鰭"	"ʨʰi2"	""
"1131"	"伊"	"i1"	""
"1132"	"懿"	"i5"	""
"1133"	"夷"	"i2"	""
"1134"	"姨"	"i2"	""
"1135"	"胰"	"i2"	""
"1136"	"肄"	"i5"	""
"1137"	"你"	"ȵi3"	""
"1138"	"釐"	"li2"	""
"1139"	"狸"	"li2"	""
"1140"	"李"	"li3"	""
"1141"	"里"	"li3"	""
"1142"	"裏"	"i3"	""
"1143"	"理"	"li3"	""
"1144"	"鯉"	"li3"	""
"1145"	"吏"	"li5"	""
"1146"	"兹"	"ʦɿ3"	""
"1147"	"滋"	"ʦɿ3"	""
"1148"	"子"	"ʦɿ3"	""
"1149"	"梓"	"ʦɿ3"	""
"1150"	"慈"	"ʦʰɿ2"	""
"1151"	"磁"	"ʦʰɿ2"	""
"1152"	"鹚"	"ʦʰɿ2"	""
"1153"	"字"	"ʦɿ5"	""
"1154"	"牸"	"ʦɿ5"	""
"1155"	"司"	"sɿ1"	""
"1156"	"絲"	"sɿ1"	""
"1157"	"思"	"sɿ1"	""
"1158"	"伺"	"sɿ5"	""
"1159"	"思"	"sɿ5"	""
"1160"	"辭"	"ʦʰɿ2"	""
"1161"	"詞"	"ʦʰɿ2"	""
"1162"	"祠"	"ʦʰɿ2"	""
"1163"	"似"	"ʦʰɿ5"	""
"1163"	"似"	"sɿ5"	""
"1164"	"祀"	"sɿ5"	""
"1165"	"巳"	"sɿ5"	""
"1166"	"寺"	"sɿ5"	""
"1167"	"嗣"	"sɿ5"	""
"1168"	"飼"	"sɿ5"	""
"1169"	"置"	"ʦɿ2"	""
"1170"	"癡"	"ʦʰɿ1"	""
"1171"	"恥"	"ʦʰɿ3"	""
"1172"	"持"	"ʦʰɿ2"	""
"1173"	"痔"	"ʦɿ5"	""
"1174"	"峙"	"ʦɿ5"	""
"1175"	"治"	"ʦɿ5"	""
"1176"	"輜"	"ʦɿ1"	""
"1177"	"淄"	"ʦɿ1"	""
"1178"	"滓"	"ʦɿ3"	""
"1179"	"廁"	"sɿ1"	""
"1179"	"廁"	"ʦʰe2"	""
"1180"	"士"	"sɿ5"	""
"1181"	"仕"	"sɿ5"	""
"1182"	"柿"	"sɿ5"	""
"1183"	"俟"	"sɿ5"	""
"1184"	"事"	"sɿ5"	""
"1185"	"使"	"sɿ3"	""
"1186"	"史"	"sɿ3"	""
"1187"	"駛"	"sɿ3"	""
"1188"	"之"	"ʦɿ1"	""
"1189"	"芝"	"ʦɿ1"	""
"1190"	"止"	"ʦɿ3"	""
"1191"	"趾"	"ʦɿ3"	""
"1192"	"址"	"ʦɿ3"	""
"1193"	"志"	"ʦɿ5"	""
"1194"	"誌"	"ʦɿ5"	""
"1195"	"痣"	"ʦɿ5"	""
"1196"	"嗤"	"ʦʰɿ2"	""
"1197"	"齒"	"ʦʰɿ3"	""
"1198"	"詩"	"sɿ1"	""
"1199"	"始"	"sɿ3"	""
"1200"	"試"	"sɿ5"	""
"1201"	"時"	"sɿ2"	""
"1202"	"鰣"	"sɿ2"	""
"1203"	"市"	"sɿ5"	""
"1204"	"恃"	"sɿ5"	""
"1205"	"侍"	"sɿ5"	""
"1206"	"而"	"ɭ2"	""
"1207"	"耳"	"ɭ3"	""
"1208"	"餌"	"ɭ3"	""
"1209"	"基"	"ʨi1"	""
"1210"	"萁"	"ʨi1"	""
"1211"	"箕"	"ʨi1"	""
"1212"	"姬"	"ʨi1"	""
"1213"	"己"	"ʨi3"	""
"1214"	"紀"	"ʨi3"	""
"1215"	"記"	"ʨi5"	""
"1216"	"欺"	"ʨʰi1"	""
"1217"	"起"	"ʨʰi3"	""
"1218"	"杞"	"ʨi2"	""
"1219"	"其"	"ʨʰi2"	""
"1220"	"棋"	"ʨʰi2"	""
"1221"	"期"	"ʨʰi1"	""
"1222"	"旗"	"ʨʰi2"	""
"1223"	"忌"	"ʨi5"	""
"1224"	"疑"	"ȵi2"	""
"1225"	"擬"	"ȵi2"	""
"1226"	"嬉"	"ɕi1"	""
"1227"	"熙"	"ɕi1"	""
"1228"	"嘻"	"ɕi1"	""
"1229"	"禧"	"ɕi1"	""
"1230"	"熹"	"ɕi1"	""
"1231"	"喜"	"ɕi3"	""
"1232"	"蟢"	"ɕi3"	""
"1233"	"醫"	"i1"	""
"1234"	"意"	"i5"	""
"1235"	"矣"	"i3"	""
"1236"	"飴"	"i2"	""
"1237"	"怡"	"i2"	""
"1238"	"贻"	"i2"	""
"1239"	"已"	"i3"	""
"1240"	"以"	"i3"	""
"1241"	"異"	"i5"	""
"1242"	"幾"	"ʨi1"	""
"1243"	"機"	"ʨi1"	""
"1244"	"譏"	"ʨi1"	""
"1245"	"饑"	"ʨi1"	""
"1247"	"幾"	"ʨi3"	""
"1248"	"既"	"ʨi5"	""
"1249"	"豈"	"ʨʰi3"	""
"1250"	"氣"	"ʨʰi5"	""
"1251"	"汽"	"ʨʰi5"	""
"1252"	"祈"	"ʨʰi2"	""
"1253"	"沂"	"ȵi2"	""
"1254"	"毅"	"i5"	""
"1255"	"希"	"ɕi1"	""
"1256"	"稀"	"ɕi1"	""
"1257"	"衣"	"i1"	""
"1258"	"依"	"i1"	""
"1259"	"累"	"luei3"	""
"1260"	"累"	"luei5"	""
"1261"	"嘴"	"ʦuei3"	""
"1262"	"髓"	"suei3"	""
"1263"	"隨"	"suei2"	""
"1264"	"隋"	"suei2"	""
"1265"	"揣"	"ʦʰuai3"	""
"1266"	"吹"	"ʦʰuei1"	""
"1267"	"炊"	"ʦʰuei1"	""
"1268"	"垂"	"ʦʰuei2"	""
"1269"	"睡"	"suei5"	""
"1270"	"瑞"	"suei5"	""
"1271"	"蘂"	"suei3"	""
"1272"	"規"	"kuei1"	""
"1273"	"詭"	"kuei3"	""
"1274"	"虧"	"kʰuei1"	""
"1275"	"窺"	"kʰuei1"	""
"1276"	"跪"	"kʰuei3"	""
"1276"	"跪"	"kuei5"	""
"1277"	"危"	"uei2"	""
"1278"	"偽"	"uei3"	""
"1279"	"麾"	"xuei1"	""
"1280"	"毁"	"xuei3"	""
"1281"	"萎"	"uei3"	""
"1282"	"委"	"uei3"	""
"1283"	"餧"	"uei5"	""
"1284"	"為"	"uei2"	""
"1285"	"為"	"uei5"	""
"1286"	"壘"	"luei3"	""
"1287"	"類"	"luei5"	""
"1288"	"淚"	"luei5"	""
"1289"	"醉"	"ʦuei5"	""
"1290"	"翠"	"ʦʰuei5"	""
"1291"	"悴"	"ʦʰuei5"	""
"1292"	"雖"	"ɕy1"	""
"1293"	"綏"	"ɕy1"	""
"1294"	"粹"	"suei5"	""
"1295"	"遂"	"suei5"	""
"1296"	"隧"	"ɕy5"	""
"1297"	"穗"	"suei5"	""
"1298"	"追"	"ʦuei1"	""
"1299"	"槌"	"ʦʰuei2"	""
"1300"	"錘"	"ʦʰuei"	""
"1301"	"椎"	"ʦʰuei"	""
"1302"	"墜"	"ʦuei5"	""
"1303"	"衰"	"suai1"	""
"1304"	"摔"	"suai1"	""
"1304"	"摔"	"ʦuai1"	""
"1305"	"帥"	"suai5"	""
"1306"	"錐"	"ʦuei1"	""
"1306"	"錐"	"ʦy1"	""
"1307"	"水"	"suei3"	""
"1308"	"誰"	"suei2"	""
"1309"	"龜"	"kuei1"	""
"1310"	"軌"	"kuei3"	""
"1311"	"癸"	"kuei3"	""
"1312"	"愧"	"kʰuei5"	""
"1313"	"季"	"ʨi5"	""
"1314"	"逵"	"kʰuei2"	""
"1315"	"葵"	"kʰuei2"	""
"1316"	"櫃"	"kʰuei5"	""
"1317"	"饋"	"kʰuei5"	""
"1318"	"位"	"uei5"	""
"1319"	"維"	"uei2"	""
"1320"	"惟"	"uei2"	""
"1321"	"濰"	"uei2"	""
"1322"	"帷"	"uei2"	""
"1323"	"遺"	"uei2"	""
"1323"	"遺"	"i2"	""
"1324"	"唯"	"uei2"	""
"1325"	"非"	"fei1"	""
"1326"	"飛"	"fei1"	""
"1327"	"匪"	"fei3"	""
"1328"	"榧"	"fei3"	""
"1329"	"疿"	"fei5"	""
"1330"	"沸"	"fu2"	""
"1331"	"妃"	"fei1"	""
"1332"	"菲"	"fei1"	""
"1333"	"費"	"fei5"	""
"1334"	"肥"	"fei2"	""
"1335"	"翡"	"fei3"	""
"1336"	"微"	"uei2"	""
"1337"	"薇"	"uei1"	""
"1338"	"尾"	"uei3"	""
"1339"	"未"	"uei5"	""
"1339"	"未"	"mei1"	""
"1339"	"未"	"y5"	""
"1340"	"味"	"uei5"	""
"1341"	"歸"	"kuei1"	""
"1342"	"鬼"	"kuei3"	""
"1343"	"貴"	"kuei5"	""
"1344"	"巍"	"uei1"	""
"1345"	"魏"	"uei5"	""
"1346"	"揮"	"xuei1"	""
"1347"	"輝"	"xuei1"	""
"1348"	"徽"	"xuei1"	""
"1349"	"卉"	"xuei5"	""
"1350"	"諱"	"xuei5"	""
"1352"	"威"	"uei1"	""
"1353"	"畏"	"uei5"	""
"1354"	"慰"	"uei5"	""
"1355"	"尉"	"uei5"	""
"1356"	"違"	"uei2"	""
"1357"	"圍"	"uei2"	""
"1358"	"偉"	"uei3"	""
"1359"	"葦"	"uei3"	""
"1360"	"韋"	"uei3"	""
"1361"	"緯"	"uei3"	""
"1362"	"胃"	"uei5"	""
"1363"	"謂"	"uei5"	""
"1364"	"蝟"	"uei5"	""
"1365"	"渭"	"uei5"	""
"1366"	"彙"	"uei5"	""
"1367"	"褒"	"pɑu1"	""
"1368"	"保"	"pɑu3"	""
"1369"	"堡"	"pɑu3"	""
"1370"	"寶"	"pɑu3"	""
"1371"	"報"	"pɑu5"	""
"1372"	"袍"	"pʰɑu2"	""
"1373"	"抱"	"pɑu5"	""
"1374"	"暴"	"pɑu5"	""
"1375"	"菢"	"pɑu5"	""
"1376"	"毛"	"mɑu2"	""
"1377"	"冒"	"mɑu5"	""
"1378"	"帽"	"mɑu5"	""
"1379"	"刀"	"tɑu1"	""
"1380"	"叨"	"tɑu1"	""
"1381"	"禱"	"tɑu3"	""
"1382"	"島"	"tɑu3"	""
"1383"	"倒"	"tɑu3"	""
"1384"	"搗"	"tɑu3"	""
"1385"	"到"	"tɑu5"	""
"1386"	"倒"	"tɑu5"	""
"1387"	"滔"	"tʰɑu1"	""
"1388"	"掏"	"tʰɑu1"	""
"1389"	"討"	"tʰɑu3"	""
"1390"	"套"	"tʰɑu5"	""
"1391"	"桃"	"tʰɑu2"	""
"1392"	"逃"	"tʰɑu2"	""
"1392"	"逃"	"tʰiɑu2"	""
"1393"	"淘"	"tʰɑu2"	""
"1394"	"陶"	"tʰɑu2"	""
"1395"	"萄"	"tʰɑu2"	""
"1396"	"濤"	"tʰɑu2"	""
"1397"	"道"	"tɑu5"	""
"1398"	"稻"	"tɑu5"	""
"1399"	"盗"	"tɑu5"	""
"1400"	"導"	"tʰɑu5"	""
"1401"	"蹈"	"tʰɑu5"	""
"1402"	"腦"	"lɑu3"	""
"1403"	"惱"	"lɑu3"	""
"1404"	"勞"	"lɑu2"	""
"1405"	"嘮"	"lɑu2"	""
"1406"	"撈"	"lɑu1"	""
"1407"	"癆"	"lɑu5"	""
"1408"	"牢"	"lɑu2"	""
"1409"	"老"	"lɑu3"	""
"1410"	"佬"	"lɑu3"	""
"1411"	"澇"	"lɑu5"	""
"1412"	"遭"	"ʦɑu1"	""
"1413"	"糟"	"ʦɑu1"	""
"1414"	"早"	"ʦɑu3"	""
"1415"	"棗"	"ʦɑu3"	""
"1416"	"蚤"	"ʦɑu3"	""
"1417"	"澡"	"ʦɑu3"	""
"1418"	"藻"	"ʦɑu3"	""
"1419"	"躁"	"ʦʰɑu5"	""
"1420"	"竈"	"ʦɑu5"	""
"1421"	"操"	"ʦʰɑu1"	""
"1422"	"草"	"ʦʰɑu3"	""
"1423"	"騲"	"ʦʰɑu3"	""
"1424"	"糙"	"ʦʰɑu1"	""
"1425"	"曹"	"ʦʰɑu2"	""
"1426"	"槽"	"ʦʰɑu2"	""
"1427"	"皂"	"ʦʰɑu5"	""
"1428"	"造"	"ʦʰɑu5"	""
"1429"	"騷"	"sɑu1"	""
"1430"	"臊"	"sɑu1"	""
"1431"	"掃"	"sɑu3"	""
"1432"	"嫂"	"sɑu3"	""
"1433"	"掃"	"sɑu5"	""
"1434"	"燥"	"ʦʰɑu5"	""
"1435"	"高"	"kɑu1"	""
"1436"	"膏"	"kɑu1"	""
"1437"	"篙"	"xɑu1"	""
"1438"	"羔"	"kɑu1"	""
"1439"	"糕"	"kɑu1"	""
"1440"	"稿"	"kɑu3"	""
"1441"	"告"	"kɑu5"	""
"1442"	"膏"	"kɑu5"	""
"1443"	"考"	"kʰɑu3"	""
"1444"	"烤"	"kʰɑu3"	""
"1445"	"拷"	"kʰɑu5"	""
"1446"	"靠"	"kʰɑu5"	""
"1447"	"犒"	"kʰɑu5"	""
"1448"	"銬"	"kʰɑu5"	""
"1449"	"熬"	"ŋɑu2"	""
"1450"	"敖"	"ŋɑu2"	""
"1451"	"傲"	"ŋɑu5"	""
"1452"	"鏊"	"ŋɑu5"	""
"1453"	"蒿"	"xɑu1"	""
"1454"	"薅"	"xɑu1"	""
"1455"	"好"	"xɑu3"	""
"1456"	"好"	"xɑu5"	""
"1457"	"耗"	"xɑu2"	""
"1458"	"豪"	"xɑu2"	""
"1459"	"壕"	"xɑu2"	""
"1460"	"毫"	"xɑu2"	""
"1461"	"號"	"xɑu2"	""
"1462"	"蠔"	"xɑu2"	""
"1463"	"浩"	"xɑu5"	""
"1464"	"號"	"xɑu5"	""
"1465"	"爊"	"ŋɑu2"	""
"1466"	"襖"	"ŋɑu3"	""
"1467"	"懊"	"ŋɑu3"	""
"1468"	"奥"	"ŋɑu5"	""
"1469"	"懊"	"ŋɑu5"	""
"1470"	"澳"	"ŋɑu5"	""
"1471"	"包"	"pɑu1"	""
