字	IPA	原文	客拼	源	備注		到格拉夫覈校，2024年12月更新		
闤	fan2	fan2	fan2	客法辭典					
鬟	fan2	fan2	fan2	客法辭典					
睆	fon3	fon3	fon3	客法辭典					
睆	kuon3	kouon3	guon3	客法辭典					
緩	fon5	fon5	fon5	客法辭典					
緩	mon3	mon3	mon3	客法辭典					
緩	man3	man3	man3	客法辭典					
幻	fam5	fam5	fam5	客法辭典					
奐	fon5	fon5	fon5	客法辭典					
宦	fon5	fon5	fon5	客法辭典					
圂	fun5	foun5	fun5	客法辭典					
浣	fon5	fon5	fon5	客法辭典					
浣	fan5	fan5	fan5	客法辭典					
浣	van2	van2	van2	客法辭典					
患	fam1	fam1	fam1	客法辭典					
患	fam5	fam5	fam5	客法辭典					
逭	kuon3	kouon3	guon3	客法辭典					
換	fon5	fon5	fon5	客法辭典					
換	von5	von5	von5	客法辭典					
喚	fon5	fon5	fon5	客法辭典					
渙	fon5	fon5	fon5	客法辭典					
豢	fam5	fam5	fam5	客法辭典					
煥	fon5	fon5	fon5	客法辭典					
瘓	fon5	fon5	fon5	客法辭典					
槵	fam5	fam5	fam5	客法辭典					
擐	fan2	fan2	fan2	客法辭典					
巟	foŋ1	fong1	fong1	客法辭典					
肓	foŋ1	fong1	fong1	客法辭典					
荒	foŋ1	fong1	fong1	客法辭典					
衁	foŋ1	fong1	fong1	客法辭典					
慌	foŋ3	fong3	fong3	客法辭典					
皇	foŋ2	fong2	fong2	客法辭典					
皇	voŋ2	vong2	vong2	客法辭典					
凰	foŋ2	fong2	fong2	客法辭典					
隍	foŋ2	fong2	fong2	客法辭典					
黃	voŋ2	vong2	vong2	客法辭典					
喤	foŋ2	fong2	fong2	客法辭典					
遑	foŋ2	fong2	fong2	客法辭典					
徨	foŋ2	fong2	fong2	客法辭典					
惶	foŋ2	fong2	fong2	客法辭典					
煌	foŋ2	fong2	fong2	客法辭典					
蝗	foŋ2	fong2	fong2	客法辭典					
篁	foŋ2	fong2	fong2	客法辭典					
艎	foŋ2	fong2	fong2	客法辭典					
磺	voŋ2	vong2	vong2	客法辭典					
簧	voŋ2	vong2	vong2	客法辭典					
鍠	foŋ2	fong2	fong2	客法辭典					
怳	foŋ3	fong3	fong3	客法辭典					
恍	foŋ3	fong3	fong3	客法辭典					
晃	foŋ3	fong3	fong3	客法辭典					
幌	foŋ3	fong3	fong3	客法辭典					
詤	foŋ3	fong3	fong3	客法辭典					
謊	foŋ3	fong3	fong3	客法辭典					
愰	foŋ3	fong3	fong3	客法辭典					
榥	foŋ3	fong3	fong3	客法辭典					
鎤	foŋ3	fong3	fong3	客法辭典					
𧮞	fok7	fok7	fog7	客法辭典	【替字】欺騙。生人～死鬼，夥人騙死鬼。				
灰	foi1	foe'1	foi1	客法辭典					
虺	fi3	fi3	fi3	客法辭典					
虺	fui3	foui3	fui3	客法辭典					
虺	foi3	foe'3	foi3	客法辭典					
虺	vui3	voui3	vui3	客法辭典					
恢	foi1	foe'1	foi1	客法辭典					
豗	foi1	foe'1	foi1	客法辭典					
揮	fi1	fi1	fi1	客法辭典					
揮	vun3	voun3	vun3	客法辭典					
隓	fi1	fi1	fi1	客法辭典					
隓	tʰo3	t'o3	to3	客法辭典					
媈	fun2	foun2	fun2	客法辭典					
楎	fi1	fi1	fi1	客法辭典					
楎	fui1	foui1	fui1	客法辭典					
暉	fi1	fi1	fi1	客法辭典					
暉	fui1	foui1	fui1	客法辭典					
詼	foi1	foe'1	foi1	客法辭典					
煇	fi1	fi1	fi1	客法辭典					
煇	fui1	foui1	fui1	客法辭典					
輝	fi1	fi1	fi1	客法辭典					
輝	fui1	foui1	fui1	客法辭典					
麾	fi1	fi1	fi1	客法辭典					
麾	fui1	foui1	fui1	客法辭典					
翬	fi1	fi1	fi1	客法辭典					
翬	fui1	foui1	fui1	客法辭典					
徽	fi1	fi1	fi1	客法辭典					
徽	fui1	foui1	fui1	客法辭典					
隳	fi1	fi1	fi1	客法辭典					
隳	tʰo3	t'o3	to3	客法辭典					
囘	fi2	fi2	fi2	客法辭典					
囘	fui2	foui2	fui2	客法辭典					
回	fi2	fi2	fi2	客法辭典					
回	fui2	foui2	fui2	客法辭典					
回	foi2	foe'2	foi2	客法辭典					
囬	fi2	fi2	fi2	客法辭典					
囬	fui2	foui2	fui2	客法辭典					
廻	fi2	fi2	fi2	客法辭典					
廻	fui2	foui2	fui2	客法辭典					
茴	fi2	fi2	fi2	客法辭典					
茴	fui2	foui2	fui2	客法辭典					
迴	fi2	fi2	fi2	客法辭典					
迴	fui2	foui2	fui2	客法辭典					
洄	fi2	fi2	fi2	客法辭典					
洄	fui2	foui2	fui2	客法辭典					
恛	fi2	fi2	fi2	客法辭典					
恛	fui2	foui2	fui2	客法辭典					
蛔	fi2	fi2	fi2	客法辭典					
蛔	fui2	foui2	fui2	客法辭典					
悔	fi5	fi5	fi5	客法辭典					
悔	fui5	foui5	fui5	客法辭典					
毀	kʰui3	k'oui3	kui3	客法辭典					
毀	fui1	foui1	fui1	客法辭典					
燬	kʰui3	k'oui3	kui3	客法辭典					
燬	fui1	foui1	fui1	客法辭典					
譭	kʰui3	k'oui3	kui3	客法辭典					
恚	fi5	fi5	fi5	客法辭典					
恚	fui5	foui5	fui5	客法辭典					
彗	sui5	soui5	sui5	客法辭典					
晦	fi5	fi5	fi5	客法辭典					
晦	fui5	foui5	fui5	客法辭典					
惠	fi3	fi3	fi3	客法辭典					
惠	fui5	foui5	fui5	客法辭典					
湏	moi5	moe'5	moi5	客法辭典					
匯	fi5	fi5	fi5	客法辭典					
匯	fui3	foui3	fui3	客法辭典					
賄	iu5	you5	iu5	客法辭典					
會	fi5	fi5	fi5	客法辭典					
會	fui3	foui3	fui3	客法辭典					
滙	fi5	fi5	fi5	客法辭典					
滙	fui3	foui3	fui3	客法辭典					
彙	lui5	loui5	lui5	客法辭典					
嘒	fi5	fi5	fi5	客法辭典					
誨	fi5	fi5	fi5	客法辭典					
瘣	fi5	fi5	fi5	客法辭典					
瘣	fui5	foui5	fui5	客法辭典					
慧	fi5	fi5	fi5	客法辭典					
槥	sui5	soui5	sui5	客法辭典					
暳	fi5	fi5	fi5	客法辭典					
暳	fui5	foui5	fui5	客法辭典					
憓	fi5	fi5	fi5	客法辭典					
憓	fui3	foui3	fui3	客法辭典					
薈	ve5	ve5	ve5	客法辭典					
殨	kʰui5	k'oui5	kui5	客法辭典					
諱	fi5	fi5	fi5	客法辭典					
諱	vi5	vy5	vi5	客法辭典					
諱	vui5	voui5	vui5	客法辭典					
澮	kʰuai5	k'ouai5	kuai5	客法辭典					
檜	kʰuai5	k'ouai5	kuai5	客法辭典					
篲	sui5	soui5	sui5	客法辭典					
蟪	fi5	fi5	fi5	客法辭典					
蟪	fui5	foui5	fui5	客法辭典					
穢	ve5	ve5	ve5	客法辭典					
穢	ie5	ye5	ie5	客法辭典					
穢	vai5	vai5	vai5	客法辭典					
繢	kʰui5	k'oui5	kui5	客法辭典					
譓	fi5	fi5	fi5	客法辭典					
繪	fi5	fi5	fi5	客法辭典					
繪	fui5	foui5	fui5	客法辭典					
繪	kʰui5	k'oui5	kui5	客法辭典					
闠	kʰui5	k'oui5	kui5	客法辭典					
靧	fi5	fi5	fi5	客法辭典					
靧	fui5	foui5	fui5	客法辭典					
昏	fun1	foun1	fun1	客法辭典					
昬	fun1	foun1	fun1	客法辭典					
涽	men3	men3	men3	客法辭典					
惛	fun1	foun1	fun1	客法辭典					
婚	fun1	foun1	fun1	客法辭典					
葷	fun1	foun1	fun1	客法辭典					
殙	fun1	foun1	fun1	客法辭典					
睧	fun1	foun1	fun1	客法辭典					
閽	fun1	foun1	fun1	客法辭典					
忶	fun2	foun2	fun2	客法辭典					
渾	fun2	foun2	fun2	客法辭典					
渾	von2	von2	von2	客法辭典					
魂	fun2	foun2	fun2	客法辭典					
俒	fun5	foun5	fun5	客法辭典					
掍	kun3	koun3	gun3	客法辭典					
混	fun3	foun3	fun3	客法辭典					
溷	fun5	foun5	fun5	客法辭典					
慁	fun5	foun5	fun5	客法辭典					
剨	vak8	vac8	vag8	客法辭典					
嚄	vok7	voc7	vog7	客法辭典					
豁	vat7	vat7	vad7	客法辭典					
豁	hat7	hat7	had7	客法辭典					
佸	kuat7	kouat7	guad7	客法辭典					
活	fat8	fat8	fad8	客法辭典					
火	fo3	fo3	fo3	客法辭典					
伙	fo3	fo3	fo3	客法辭典					
夥	fo2	fo2	fo2	客法辭典					
或	fet8	fet8	fed8	客法辭典					
貨	fo5	fo5	fo5	客法辭典					
惑	fet8	fet8	fed8	客法辭典					
湱	vak8	vac8	vag8	客法辭典					
禍	fo5	fo5	fo5	客法辭典					
霍	kʰok7	k'oc7	kog7	客法辭典					
獲	fet8	fet8	fed8	客法辭典					
濩	vok7	voc7	vog7	客法辭典					
穫	vok7	voc7	vog7	客法辭典					
藿	kʰok7	k'oc7	kog7	客法辭典					
蠖	vok7	voc7	vog7	客法辭典					
鑊	vok8	voc8	vog8	客法辭典					
癨	kʰok7	k'oc7	kog7	客法辭典					
芨	kʰip7	k'ip7	kib7	客法辭典					
乩	ki1	ki1	gi1	客法辭典					
肌	ki1	ki1	gi1	客法辭典					
唧	tsit8	tsit8	zid8	客法辭典					
笄	ki5	ki5	gi5	客法辭典					
飢	ki1	ki1	gi1	客法辭典					
屐	kʰiak8	k'iac8	kiag8	客法辭典					
𡰵	kʰiak8	k'iac8	kiag8	客法辭典	同「屐」。				
𢲈	kʰiak8	k'iac8	kiag8	客法辭典	【替字】①強迫。佢～我做，他強迫我做。②艱難、不公平。佢咹會～，他知道如何把你帶到他想要你去的地方。				
姬	kʰi1	k'i1	ki1	客法辭典					
姬	hi1	hi1	hi1	客法辭典					
基	ki1	ki1	gi1	客法辭典					
敧	kʰi1	k'i1	ki1	客法辭典					
畸	kʰi2	k'i2	ki2	客法辭典					
毄	kit7	kit7	gid7	客法辭典					
箕	ki1	ki1	gi1	客法辭典					
稽	hi1	hi1	hi1	客法辭典					
緝	sip8	sip8	sib8	客法辭典					
緝	tsʰip8	ts'ip8	cib8	客法辭典					
畿	kʰi2	k'i2	ki2	客法辭典					
璣	ki1	ki1	gi1	客法辭典					
機	ki1	ki1	gi1	客法辭典					
機	kia2	kia2	gia2	客法辭典	【替字】泥塑。人公～，人偶娃娃。				
墼	kit7	kit7	gid7	客法辭典					
積	tsit7	tsit7	zid7	客法辭典					
激	kit7	kit7	gid7	客法辭典					
隮	tsi1	tsi1	zi1	客法辭典					
賷	tsɿ1	tze1	zii1	客法辭典					
擊	kit7	kit7	gid7	客法辭典					
雞	kai1	kai1	gai1	客法辭典					
雞	ke1	ke1	ge1	客法辭典					
譏	ki1	ki1	gi1	客法辭典					
韲	tsi1	tsi1	zi1	客法辭典					
饑	ki1	ki1	gi1	客法辭典					
躋	tsi1	tsi1	zi1	客法辭典					
鷄	kʰe1	k'e1	ke1	客法辭典					
鷄	kai1	kai1	gai1	客法辭典					
齎	tsɿ1	tze1	zii1	客法辭典					
羇	ki1	ki1	gi1	客法辭典					
齏	tsi1	tsi1	zi1	客法辭典					
羈	ki1	ki1	gi1	客法辭典					
覊	ki1	ki1	gi1	客法辭典					
亼	sip8	sip8	sib8	客法辭典					
及	kʰip8	k'ip8	kib8	客法辭典					
伋	kʰip7	k'ip7	kib7	客法辭典					
吉	kit7	kit7	gid7	客法辭典					
岌	kʰip7	k'ip7	kib7	客法辭典					
彶	kiak8	kiac8	giag8	客法辭典	【替字】疑誤，今音kiak7。快。行～。				
汲	kep7	kep7	geb7	客法辭典					
汲	kʰip7	k'ip7	kib7	客法辭典					
即	tsit7	tsit7	zid7	客法辭典					
亟	kit7	kit7	gid7	客法辭典					
笈	kʰip7	k'ip7	kib7	客法辭典					
卽	tsit7	tsit7	zid7	客法辭典					
急	kip7	kip7	gib7	客法辭典					
急	kʰip8	k'ip8	kib8	客法辭典					
級	kʰip7	k'ip7	kib7	客法辭典					
疾	tsʰit8	ts'it8	cid8	客法辭典					
卙	sip8	sip8	sib8	客法辭典					
楖	tsiet7	tsiet7	zied7	客法辭典					
偮	sip8	sip8	sib8	客法辭典					
偮	tsʰip8	ts'ip8	cib8	客法辭典					
極	kʰit8	k'it8	kid8	客法辭典					
棘	kit7	kit7	gid7	客法辭典					
戢	sip8	sip8	sib8	客法辭典					
戢	tsʰip8	ts'ip8	cib8	客法辭典					
集	sip8	sip8	sib8	客法辭典					
塉	tsit7	tsit7	zid7	客法辭典					
蒺	tsʰit8	ts'it8	cid8	客法辭典					
楫	tsiap7	tsiap7	ziab7	客法辭典					
蝍	tsit7	tsit7	zid7	客法辭典					
嫉	tsʰit8	ts'it8	cid8	客法辭典					
耤	sit8	sit8	sid8	客法辭典					
踖	sit7	sit7	sid7	客法辭典					
瘠	tsit7	tsit7	zid7	客法辭典					
濈	sip8	sip8	sib8	客法辭典					
濈	tsʰip8	ts'ip8	cib8	客法辭典					
潗	sip8	sip8	sib8	客法辭典					
潗	tsʰip8	ts'ip8	cib8	客法辭典					
輯	sip8	sip8	sib8	客法辭典					
輯	tsʰip8	ts'ip8	cib8	客法辭典					
藉	tsia5	tsia5	zia5	客法辭典					
蹐	tsit7	tsit7	zid7	客法辭典					
簎	sit8	sit8	sid8	客法辭典					
襋	kit7	kit7	gid7	客法辭典					
艥	tsiap7	tsiap7	ziab7	客法辭典					
霵	sip8	sip8	sib8	客法辭典					
霵	tsʰip8	ts'ip8	cib8	客法辭典					
籍	sit8	sit8	sid8	客法辭典					
覿	tʰuk8	t'ouc8	tug8	客法辭典					
几	ki1	ki1	gi1	客法辭典					
己	ki3	ki3	gi3	客法辭典					
泲	tsi5	tsi5	zi5	客法辭典					
脊	tsit7	tsit7	zid7	客法辭典					
戟	kit7	kit7	gid7	客法辭典					
幾	ki1	ki1	gi1	客法辭典					
幾	ki3	ki3	gi3	客法辭典					
撠	kit7	kit7	gid7	客法辭典					
擠	tsi1	tsi1	zi1	客法辭典					
擠	tsi5	tsi5	zi5	客法辭典					
彐	ki5	ki5	gi5	客法辭典					
伎	kʰi3	k'i3	ki3	客法辭典					
技	kʰi3	k'i3	ki3	客法辭典					
芰	kʰi3	k'i3	ki3	客法辭典					
忌	kʰi3	k'i3	ki3	客法辭典					
妓	ki3	ki3	gi3	客法辭典					
妓	kʰi3	k'i3	ki3	客法辭典					
季	kui5	koui5	gui5	客法辭典					
㨳	ke2	ke2	ge2	客法辭典	【替字】挑輕的擔子。～麼个，背着什麼。toŋ2 toŋ2～～，擔子輕而搖搖晃晃。				
計	ke2	ke2	ge2	客法辭典	【替字】叨叨。㧯佢～，和他叨叨。				
計	kʰe5	k'e5	ke5	客法辭典					
計	ki5	ki5	gi5	客法辭典					
迹	tsiak7	tsiac7	ziag7	客法辭典					
迹	tsit7	tsit7	zid7	客法辭典					
洎	kʰoi3	k'oi3	koi3	客法辭典					
既	ki5	ki5	gi5	客法辭典					
紀	ki3	ki3	gi3	客法辭典					
畟	tsit7	tsit7	zid7	客法辭典					
記	ki5	ki5	gi5	客法辭典					
偈	kiet7	kiet7	gied7	客法辭典					
旣	ki5	ki5	gi5	客法辭典					
徛	kʰi1	k'i1	ki1	客法辭典					
祭	tsi5	tsi5	zi5	客法辭典					
悸	ki5	ki5	gi5	客法辭典					
悸	kui5	koui5	gui5	客法辭典					
寄	ki5	ki5	gi5	客法辭典					
寂	sip7	sip7	sib7	客法辭典					
寂	tsʰip7	ts'ip7	cib7	客法辭典					
惎	kʰi5	k'i5	ki5	客法辭典					
蔇	ki5	ki5	gi5	客法辭典					
勣	tsit7	tsit7	zid7	客法辭典					
跡	tsiak7	tsiac7	ziag7	客法辭典					
跡	tsit7	tsit7	zid7	客法辭典					
痵	ki5	ki5	gi5	客法辭典					
際	tsi5	tsi5	zi5	客法辭典					
跽	kʰi3	k'i3	ki3	客法辭典					
誋	kʰi3	k'i3	ki3	客法辭典					
稷	tsit7	tsit7	zid7	客法辭典					
髻	ki5	ki5	gi5	客法辭典					
冀	ki3	ki3	gi3	客法辭典					
穄	tsi5	tsi5	zi5	客法辭典					
劑	tsi5	tsi5	zi5	客法辭典					
縘	he5	he5	he5	客法辭典					
覬	kʰoi3	k'oi3	koi3	客法辭典					
濟	tsi5	tsi5	zi5	客法辭典					
績	tsiak7	tsiac7	ziag7	客法辭典					
績	tsʰiak8	ts'iac8	ciag8	客法辭典					
績	tsit7	tsit7	zid7	客法辭典					
蹟	tsiak7	tsiac7	ziag7	客法辭典					
蹟	tsit7	tsit7	zid7	客法辭典					
鯽	tsit8	tsit8	zid8	客法辭典					
繫	he5	he5	he5	客法辭典					
穧	tsi1	tsi1	zi1	客法辭典					
穧	tsi5	tsi5	zi5	客法辭典					
癠	tsi1	tsi1	zi1	客法辭典					
懻	ki3	ki3	gi3	客法辭典					
繼	ki5	ki5	gi5	客法辭典					
霽	tsi5	tsi5	zi5	客法辭典					
鱭	tsʰi5	ts'i5	ci5	客法辭典					
鱭	tsɿ5	tze5	zii5	客法辭典					
驥	ki3	ki3	gi3	客法辭典					
加	ka1	ka1	ga1	客法辭典					
抸	hiap8	hiap8	hiab8	客法辭典					
抸	kiap8	kiap8	giab8	客法辭典					
抸	kʰiap8	k'iap8	kiab8	客法辭典					
抸	tsep7	tsep7	zeb7	客法辭典	【重定向】僅用手指前部抓。				
佳	ka1	ka1	ga1	客法辭典					
迦	ka1	ka1	ga1	客法辭典					
枷	ka1	ka1	ga1	客法辭典					
痂	ka1	ka1	ga1	客法辭典					
痂	kʰio2	k'io2	kio2	客法辭典	【替字】本字爲「瘸」。				
瘸	kʰio2	k'io2	kio2	客法辭典	【重定向】				
浹	kiap7	kiap7	giab7	客法辭典					
家	ka1	ka1	ga1	客法辭典					
耞	ka1	ka1	ga1	客法辭典					
梜	kiap7	kiap7	giab7	客法辭典					
笳	ka1	ka1	ga1	客法辭典					
袈	ka1	ka1	ga1	客法辭典					
葭	ka1	ka1	ga1	客法辭典					
跏	ka1	ka1	ga1	客法辭典					
傢	ka1	ka1	ga1	客法辭典					
猳	ka1	ka1	ga1	客法辭典					
裌	kap7	kap7	gab7	客法辭典					
筴	tsʰet7	ts'et7	ced7	客法辭典					
嘉	ka1	ka1	ga1	客法辭典					
圿	kʰat7	k'at7	kad7	客法辭典					
夾	kap8	kap8	gab8	客法辭典	①拍打、湧撞。荷水會～，挑水水會湧撞桶。②象聲詞。～～響。				
夾	kap7	kap7	gab7	客法辭典	①咬。狗～下來，狗咬過來。②【替字】本字爲「合佮」。～死做，拼命做。				
夾	kiap8	kiap8	giab8	客法辭典					
恝	kʰat7	k'at7	kad7	客法辭典					
莢	kiap8	kiap8	giab8	客法辭典					
袷	kap7	kap7	gab7	客法辭典					
袷	kiap7	kiap7	giab7	客法辭典					
跲	kʰap7	k'ap7	kab7	客法辭典					
蛺	kiap7	kiap7	giab7	客法辭典					
鋏	kiap7	kiap7	giab7	客法辭典					
頰	kap7	kap7	gab7	客法辭典					
甲	kap7	kap7	gab7	客法辭典					
岬	kap7	kap7	gab7	客法辭典					
胛	kap7	kap7	gab7	客法辭典					
假	ka3	ka3	ga3	客法辭典	①不真。～精，只是看着聰明。～借來講，讓我們做個假設。②借用。～手於。				
假	ka5	ka5	ga5	客法辭典	額外休息日。放～。				
斝	ka5	ka5	ga5	客法辭典					
椵	ka5	ka5	ga5	客法辭典					
賈	ku3	kou3	gu3	客法辭典					
鉀	kap7	kap7	gab7	客法辭典					
榎	ka5	ka5	ga5	客法辭典					
瘕	ha2	ha2	ha2	客法辭典					
瘕	ka5	ka5	ga5	客法辭典					
檟	ka5	ka5	ga5	客法辭典					
价	kiai5	kiai5	giai5	客法辭典					
架	ka5	ka5	ga5	客法辭典					
嫁	ka5	ka5	ga5	客法辭典					
稼	ka5	ka5	ga5	客法辭典					
價	ka5	ka5	ga5	客法辭典					
駕	ka5	ka5	ga5	客法辭典					
駱	lok8	loc8	log8	客法辭典					
幵	kian1	kian1	gian1	客法辭典					
尖	tsiam1	tsiam1	ziam1	客法辭典					
奸	kian1	kian1	gian1	客法辭典					
戔	tsien1	tsien1	zien1	客法辭典					
肩	kian1	kian1	gian1	客法辭典					
肩	kin1	kin1	gin1	客法辭典					
姦	kian1	kian1	gian1	客法辭典					
兼	kiam1	kiam1	giam1	客法辭典					
菅	kian1	kian1	gian1	客法辭典					
菅	kuon1	kouon1	guon1	客法辭典					
堅	kian1	kian1	gian1	客法辭典					
揃	tsien5	tsien5	zien5	客法辭典					
間	kian1	kian1	gian1	客法辭典					
間	kian5	kian5	gian5	客法辭典					
犍	kian1	kian1	gian1	客法辭典					
牋	tsien1	tsien1	zien1	客法辭典					
傔	kʰiam5	k'iam5	kiam5	客法辭典					
湔	tsien1	tsien1	zien1	客法辭典					
蒹	kiam1	kiam1	giam1	客法辭典					
椷	kʰiam2	k'iam2	kiam2	客法辭典					
豣	kian1	kian1	gian1	客法辭典					
煎	tsien1	tsien1	zien1	客法辭典					
監	kam1	kam1	gam1	客法辭典	①強迫。～你來，逼你來。②拘禁。坐～，坐牢。				
監	kam5	kam5	gam5	客法辭典	①督查。～督。②官署、宦官。太～。～札，文憑。				
箋	tsien1	tsien1	zien1	客法辭典					
蕳	kian1	kian1	gian1	客法辭典					
緘	kʰiam2	k'iam2	kiam2	客法辭典					
縑	kiam1	kiam1	giam1	客法辭典					
艱	kian1	kian1	gian1	客法辭典					
鞬	kian1	kian1	gian1	客法辭典					
瀸	siam2	siam2	siam2	客法辭典					
殲	siam2	siam2	siam2	客法辭典					
韀	tsien1	tsien1	zien1	客法辭典					
鰹	kian1	kian1	gian1	客法辭典					
鑯	tsʰiam1	ts'iam1	ciam1	客法辭典					
囝	kʰian3	k'ian3	kian3	客法辭典					
柬	kian3	kian3	gian3	客法辭典					
梘	kian3	kian3	gian3	客法辭典					
减	kam3	kam3	gam3	客法辭典					
剪	tsien3	tsien3	zien3	客法辭典					
揀	kian3	kian3	gian3	客法辭典					
減	kam3	kam3	gam3	客法辭典					
筧	kian3	kian3	gian3	客法辭典					
絸	kian3	kian3	gian3	客法辭典					
戩	tsien3	tsien3	zien3	客法辭典					
儉	kʰiam5	k'iam5	kiam5	客法辭典					
儉	kʰiaŋ3	k'eang3	kiang3	客法辭典					
翦	tsien3	tsien3	zien3	客法辭典					
撿	kiam3	kiam3	giam3	客法辭典					
檢	kiam3	kiam3	giam3	客法辭典					
蹇	kʰian3	k'ian3	kian3	客法辭典					
繭	kian3	kian3	gian3	客法辭典					
簡	kian3	kian3	gian3	客法辭典					
謭	tsien3	tsien3	zien3	客法辭典					
鬋	tsien5	tsien5	zien5	客法辭典					
蠒	kian3	kian3	gian3	客法辭典					
鹹	ham2	ham2	ham2	客法辭典	①味道鹹。～魚。～水話，當地人說的語言(尤指粵語)。②充滿汗漬灰塵而髒。～衫，髒衣。③不節制吃東西。細人子毋愛咹～，小孩別一下吃這麼多。				
騫	kʰian1	k'ian1	kian1	客法辭典					
鹻	kiam5	kiam5	giam5	客法辭典					
籛	tsʰien2	ts'ien2	cien2	客法辭典					
譾	tsien3	tsien3	zien3	客法辭典					
襺	kian3	kian3	gian3	客法辭典					
鹼	kian3	kian3	gian3	客法辭典					
鹼	kiam5	kiam5	giam5	客法辭典					
件	kʰian5	k'ian5	kian5	客法辭典					
見	hien5	hien5	hien5	客法辭典					
見	kian5	kian5	gian5	客法辭典					
建	kian5	kian5	gian5	客法辭典					
荐	tsien5	tsien5	zien5	客法辭典					
牮	tsien5	tsien5	zien5	客法辭典					
栫	tsien5	tsien5	zien5	客法辭典					
俴	tsʰien3	ts'ien3	cien3	客法辭典					
健	kʰian5	k'ian5	kian5	客法辭典					
揵	kʰian3	k'ian3	kian3	客法辭典					
楗	kʰian5	k'ian5	kian5	客法辭典					
臶	tsien5	tsien5	zien5	客法辭典					
毽	kian3	kian3	gian3	客法辭典					
腱	kʰian5	k'ian5	kian5	客法辭典					
僭	tsiam5	tsiam5	ziam5	客法辭典					
漸	tsʰiam5	ts'iam5	ciam5	客法辭典					
趝	niam5	niam5	niam5	客法辭典					
趝	kiam5	kiam5	giam5	客法辭典					
賤	tsʰien5	ts'ien5	cien5	客法辭典					
踐	tsʰien5	ts'ien5	cien5	客法辭典					
箭	tsien5	tsien5	zien5	客法辭典					
劍	kiam5	kiam5	giam5	客法辭典					
諓	tsʰien3	ts'ien3	cien3	客法辭典					
澗	kian3	kian3	gian3	客法辭典					
薦	tsien5	tsien5	zien5	客法辭典					
鍵	kʰian3	k'ian3	kian3	客法辭典					
餞	tsien5	tsien5	zien5	客法辭典					
諫	kian3	kian3	gian3	客法辭典					
瞯	han2	han2	han2	客法辭典					
濺	tsʰien5	ts'ien5	cien5	客法辭典					
覵	han2	han2	han2	客法辭典					
艦	kam5	kam5	gam5	客法辭典					
轞	kam5	kam5	gam5	客法辭典					
鑒	kam5	kam5	gam5	客法辭典					
鑑	kam5	kam5	gam5	客法辭典					
江	koŋ1	kong1	gong1	客法辭典					
駘	kʰioi5	k'ioi5	kioi5	客法辭典	【替字】本字可能是「睡」。疲憊。行～，走累。				
姜	kioŋ1	keong1	giong1	客法辭典					
將	tsioŋ1	tseong1	ziong1	客法辭典					
將	tsioŋ5	tseong5	ziong5	客法辭典					
僵	kioŋ1	keong1	giong1	客法辭典					
漿	tsioŋ1	tseong1	ziong1	客法辭典					
漿	tsioŋ3	tseong3	ziong3	客法辭典					
薑	kioŋ1	keong1	giong1	客法辭典					
殭	kioŋ1	keong1	giong1	客法辭典					
螿	tsioŋ1	tseong1	ziong1	客法辭典					
礓	kioŋ1	keong1	giong1	客法辭典					
疆	kioŋ1	keong1	giong1	客法辭典					
疆	kʰioŋ1	k'eong1	kiong1	客法辭典					
繮	kioŋ1	keong1	giong1	客法辭典					
韁	kioŋ1	keong1	giong1	客法辭典					
蔣	tsioŋ1	tseong1	ziong1	客法辭典					
奬	tsioŋ3	tseong3	ziong3	客法辭典					
獎	tsioŋ3	tseong3	ziong3	客法辭典					
耩	koŋ3	kong3	gong3	客法辭典					
講	koŋ3	kong3	gong3	客法辭典					
匠	sioŋ5	seong5	siong5	客法辭典					
降	hoŋ2	hong2	hong2	客法辭典					
降	koŋ5	kong5	gong5	客法辭典					
洚	koŋ5	kong5	gong5	客法辭典					
弶	kioŋ3	keong3	giong3	客法辭典					
絳	koŋ5	kong5	gong5	客法辭典					
糡	kʰioŋ5	k'eong5	kiong5	客法辭典					
醬	tsioŋ5	tseong5	ziong5	客法辭典					
艽	keu1	keou1	geu1	客法辭典					
交	kau1	kao1	gau1	客法辭典					
交	kau2	kao2	gau2	客法辭典	①失去、糟蹋。咹多豬肉煮倒毋好～撇了。人過番～撇了，人出國對家人來說就是死了。②混雜、攪亂。～糊，給小孩熬粥、羹。				
交	kau5	kao5	gau5	客法辭典					
交	kʰau1	k'ao1	kau1	客法辭典					
郊	kʰau1	k'ao1	kau1	客法辭典					
郊	kau1	kao1	gau1	客法辭典					
茭	kau1	kao1	gau1	客法辭典					
姣	hau2	hao2	hau2	客法辭典					
姣	hiau2	hiao2	hiau2	客法辭典					
椒	tsiau1	tsiao1	ziau1	客法辭典					
蛟	kau1	kao1	gau1	客法辭典					
焦	tsiau1	tsiao1	ziau1	客法辭典					
僬	tsiau1	tsiao1	ziau1	客法辭典					
蕉	tsiau1	tsiao1	ziau1	客法辭典					
嶕	tsiau1	tsiao1	ziau1	客法辭典					
膠	kau1	kao1	gau1	客法辭典					
澆	hiau1	hiao1	hiau1	客法辭典					
憍	kiau1	kiao1	giau1	客法辭典					
嬌	kiau1	kiao1	giau1	客法辭典					
膲	tsiau1	tsiao1	ziau1	客法辭典					
燋	tsiau1	tsiao1	ziau1	客法辭典					
鮫	kau1	kao1	gau1	客法辭典					
轇	kau1	kao1	gau1	客法辭典					
